s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
1.426822692155838013e-01,1.672990024089813232e-01,1.514602750539779663e-01,1.414862573146820068e-01,1.615071296691894531e-01,1.418145000934600830e-01,1.596071124076843262e-01,1.191086769104003906e-01,6.583204865455627441e-01,1.289744228124618530e-01
1.642951518297195435e-01,1.659998744726181030e-01,1.012060642242431641e-01,1.631128042936325073e-01,1.716067939996719360e-01,1.575518399477005005e-01,6.357895731925964355e-01,1.638395488262176514e-01,1.458052098751068115e-01,1.662131994962692261e-01
1.225756108760833740e-01,1.280844956636428833e-01,1.562229394912719727e-01,6.421245336532592773e-01,1.394234150648117065e-01,1.108879074454307556e-01,1.738435924053192139e-01,2.129326611757278442e-01,1.307370066642761230e-01,1.495886892080307007e-01
2.563152611255645752e-01,2.453164011240005493e-01,2.586929798126220703e-01,2.648280262947082520e-01,2.630364298820495605e-01,3.016658425331115723e-01,2.639407515525817871e-01,2.724708616733551025e-01,3.025934696197509766e-01,2.790859639644622803e-01
1.472827345132827759e-01,1.934791654348373413e-01,1.921504884958267212e-01,1.482173353433609009e-01,7.029028534889221191e-01,1.366858780384063721e-01,1.438414305448532104e-01,1.700948774814605713e-01,1.188872754573822021e-01,1.390724033117294312e-01
2.429714351892471313e-01,2.878286242485046387e-01,2.576563060283660889e-01,2.699695825576782227e-01,2.887712121009826660e-01,2.503373622894287109e-01,2.507472634315490723e-01,2.317853122949600220e-01,3.315692842006683350e-01,3.243462443351745605e-01
6.409016847610473633e-01,1.489233970642089844e-01,1.358196288347244263e-01,1.437857151031494141e-01,1.614674925804138184e-01,1.302809715270996094e-01,1.847577840089797974e-01,1.263108402490615845e-01,1.216916739940643311e-01,1.146446540951728821e-01
3.274506926536560059e-01,3.095577955245971680e-01,2.925707697868347168e-01,2.755464017391204834e-01,2.240295410156250000e-01,2.523259222507476807e-01,3.245180249214172363e-01,2.495285272598266602e-01,2.940738499164581299e-01,2.291586399078369141e-01
1.596896201372146606e-01,1.327232122421264648e-01,6.236978769302368164e-01,1.187293156981468201e-01,1.790459156036376953e-01,1.146888956427574158e-01,1.963372677564620972e-01,1.192559003829956055e-01,1.865013837814331055e-01,1.326506882905960083e-01
2.803902328014373779e-01,2.318456023931503296e-01,2.815926969051361084e-01,2.459427416324615479e-01,2.646200954914093018e-01,2.997212409973144531e-01,2.324813008308410645e-01,2.596660256385803223e-01,2.237679660320281982e-01,3.038105666637420654e-01
2.570823431015014648e-01,2.606195807456970215e-01,3.120208680629730225e-01,2.586233019828796387e-01,3.087077140808105469e-01,2.389100790023803711e-01,3.040324151515960693e-01,2.695520520210266113e-01,3.356418013572692871e-01,3.045354783535003662e-01
1.850989609956741333e-01,1.397084444761276245e-01,1.597741544246673584e-01,1.700576245784759521e-01,1.505226194858551025e-01,1.787746399641036987e-01,1.175746917724609375e-01,1.523608267307281494e-01,1.517877727746963501e-01,6.654450893402099609e-01
2.710465788841247559e-01,2.291728407144546509e-01,2.655722796916961670e-01,2.817357778549194336e-01,2.367789894342422485e-01,2.354972809553146362e-01,2.898137569427490234e-01,2.404606193304061890e-01,2.852248251438140869e-01,2.389313131570816040e-01
2.772901654243469238e-01,2.907627224922180176e-01,3.093093931674957275e-01,2.860199511051177979e-01,2.846134305000305176e-01,2.525160908699035645e-01,2.492861300706863403e-01,2.368350625038146973e-01,2.552115023136138916e-01,2.707670032978057861e-01
1.449868381023406982e-01,1.441260129213333130e-01,1.141772121191024780e-01,6.468154788017272949e-01,1.374504864215850830e-01,1.518086045980453491e-01,1.372938156127929688e-01,1.840177625417709351e-01,1.911298334598541260e-01,2.034861296415328979e-01
2.438411861658096313e-01,2.436808794736862183e-01,2.441058605909347534e-01,2.528714835643768311e-01,2.608563899993896484e-01,2.280695587396621704e-01,3.027772903442382812e-01,2.977902889251708984e-01,3.052209615707397461e-01,3.117763996124267578e-01
1.509701609611511230e-01,1.427579075098037720e-01,1.874385029077529907e-01,1.525918841361999512e-01,1.950112730264663696e-01,2.141305953264236450e-01,6.610950231552124023e-01,1.425371766090393066e-01,1.210899204015731812e-01,9.936915338039398193e-02
2.625121176242828369e-01,2.396026551723480225e-01,2.652254700660705566e-01,2.696056365966796875e-01,2.345702648162841797e-01,2.952414453029632568e-01,2.692932784557342529e-01,3.145747184753417969e-01,3.210072815418243408e-01,2.954885363578796387e-01
2.415684312582015991e-01,2.927916944026947021e-01,2.319620251655578613e-01,3.097957670688629150e-01,2.394136488437652588e-01,2.954353988170623779e-01,2.579042613506317139e-01,3.172764480113983154e-01,2.823385894298553467e-01,2.362786382436752319e-01
2.686158418655395508e-01,2.719780206680297852e-01,2.263093292713165283e-01,3.262687623500823975e-01,3.291815221309661865e-01,2.469087094068527222e-01,2.677197456359863281e-01,2.382592260837554932e-01,2.573689818382263184e-01,2.387051582336425781e-01
2.858966588973999023e-01,3.080668151378631592e-01,3.331968784332275391e-01,2.521760165691375732e-01,3.197737634181976318e-01,2.242604196071624756e-01,3.338861465454101562e-01,3.080523610115051270e-01,2.350035011768341064e-01,2.815047204494476318e-01
2.283669263124465942e-01,2.244689613580703735e-01,2.806128859519958496e-01,3.177667856216430664e-01,2.813670933246612549e-01,3.385735452175140381e-01,3.135823309421539307e-01,2.472526580095291138e-01,2.343766093254089355e-01,2.784743905067443848e-01
3.048038780689239502e-01,3.273988068103790283e-01,3.264161944389343262e-01,2.661904394626617432e-01,3.257598578929901123e-01,3.385037183761596680e-01,3.306208252906799316e-01,2.886887192726135254e-01,3.264771699905395508e-01,2.739355862140655518e-01
1.417377740144729614e-01,1.892634183168411255e-01,6.237651705741882324e-01,1.376769095659255981e-01,1.918504834175109863e-01,1.646293848752975464e-01,1.511338204145431519e-01,1.233747303485870361e-01,1.670798659324645996e-01,1.923616379499435425e-01
1.603049188852310181e-01,1.775991171598434448e-01,1.554776728153228760e-01,1.412080228328704834e-01,1.006926670670509338e-01,1.345239877700805664e-01,1.204194799065589905e-01,1.585590243339538574e-01,1.878155767917633057e-01,6.893708109855651855e-01
2.929271757602691650e-01,3.084094524383544922e-01,2.909685373306274414e-01,2.786417007446289062e-01,3.297032117843627930e-01,3.213120996952056885e-01,2.418375611305236816e-01,2.402057647705078125e-01,2.457812875509262085e-01,3.033221364021301270e-01
2.382060289382934570e-01,2.933449447154998779e-01,2.515899837017059326e-01,2.570732235908508301e-01,2.516914904117584229e-01,3.317808210849761963e-01,2.797698974609375000e-01,2.938828468322753906e-01,2.480573207139968872e-01,2.992186844348907471e-01
