s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
-7.018258416971091540e-01,-7.345761828037256080e-01,-6.829368660402088675e-01,-7.006555140040953145e-01,-7.224138742449323081e-01,-6.278840713071819346e-01,-7.146735792455247704e-01,-7.385122634468733738e-01,6.530046239751858828e-01,-6.842219661604523884e-01
-7.016063300481393261e-01,-6.562720949433740181e-01,-7.107985946864879834e-01,-7.215435874173901087e-01,-6.753963993923253195e-01,-6.457871470620693000e-01,6.943124508544045170e-01,-6.687354832311754871e-01,-6.775623451422074783e-01,-6.233279350963696341e-01
-6.163279599973228162e-01,-6.570452554223156216e-01,-7.147890798035844151e-01,7.169024516790942769e-01,-6.940024476387500751e-01,-6.620810712055980041e-01,-6.417476218284113854e-01,-6.206147272741121546e-01,-7.102433976324105114e-01,-6.960577819699076407e-01
-6.372866715470927312e-01,-6.899731718688982829e-01,-6.895572862786293333e-01,-7.248573634434635204e-01,-7.161682802052830032e-01,-6.796204707239318354e-01,-7.222286300141920190e-01,-7.254624963990711217e-01,-6.801625006182688837e-01,-7.015297682249203026e-01
-7.037682727907651481e-01,-7.177965894548378190e-01,-6.925595504909679567e-01,-6.961462518765678675e-01,7.435948027254929427e-01,-7.479426043593014883e-01,-7.618520615460597778e-01,-7.013699344129109559e-01,-7.048253144604506026e-01,-7.075634977429506867e-01
-6.516388951065203994e-01,-7.007264083402219290e-01,-7.254911751904726813e-01,-7.195238667743184546e-01,-7.272422354558385482e-01,-6.321177545356797545e-01,-7.213968456943270491e-01,-7.049148367708658602e-01,-7.203230294573405024e-01,-7.229349766373848185e-01
6.757424715004923810e-01,-6.932819632332886117e-01,-6.946159657702641876e-01,-6.567771399389978892e-01,-7.235008898628172425e-01,-7.225644326437618004e-01,-7.161935418078935189e-01,-6.532399291451680412e-01,-7.009540577404079764e-01,-6.484411493187818287e-01
-7.147874694558866704e-01,-6.642290717204641926e-01,-6.756497211608785136e-01,-6.762621574864354779e-01,-7.279484745709353666e-01,-7.550546313930353026e-01,-7.184632736784124507e-01,-6.602917386237202590e-01,-6.910042495038273280e-01,-7.184893728551371428e-01
-6.778422154283958445e-01,-6.687011510296162475e-01,6.900362501550298955e-01,-6.801784929070455732e-01,-7.151416939148206309e-01,-6.398195509300597106e-01,-7.110765973445264398e-01,-7.160694589729926784e-01,-6.861132927653624813e-01,-6.928493283230447997e-01
-6.841811923646685667e-01,-6.978686337736507150e-01,-7.511375538245509409e-01,-6.858950537402694891e-01,-6.927243492842609651e-01,-6.742147206012596428e-01,-7.244718172903685804e-01,-6.761193873728668091e-01,-7.259729916117622084e-01,-7.247206182874852409e-01
-7.175116655782134423e-01,-6.577925055183276859e-01,-7.446077841502209971e-01,-7.335878367398062094e-01,-7.179589271822066632e-01,-6.935521338672907543e-01,-7.030421054920836799e-01,-6.656255768810694917e-01,-7.154705281956017515e-01,-7.371797391850823944e-01
-6.539788438255854652e-01,-6.629367419074037038e-01,-6.264243426691891159e-01,-7.012692059879199746e-01,-6.820330371020594251e-01,-6.931747241808512427e-01,-6.826365318601030907e-01,-7.007764496145842958e-01,-6.945871286640814546e-01,7.280275597035306134e-01
-6.939821942691433154e-01,-6.714407035209456476e-01,-7.056997538301770234e-01,-6.803079871411151780e-01,-6.819973208230935002e-01,-6.282357560756691717e-01,-6.579588527257699271e-01,-6.539784679044738924e-01,-6.806370485565719219e-01,-7.006461106689760854e-01
-7.086891912543422656e-01,-6.998597905373331596e-01,-6.840701640128595828e-01,-7.135233921095270881e-01,-7.149346602833467346e-01,-6.882171031646309167e-01,-6.631512137332831180e-01,-7.346453676695695600e-01,-6.739417454347738090e-01,-6.644790033846121879e-01
-6.683491155095858671e-01,-7.022558849965351291e-01,-7.209773660862206501e-01,6.980706831866207995e-01,-6.998580533706965090e-01,-6.731559269007848512e-01,-7.135715535907958262e-01,-6.965644339717396161e-01,-6.554638285857102842e-01,-6.894213638114278231e-01
-7.099091420761871607e-01,-6.951716243611292256e-01,-6.804751201717443854e-01,-6.884538838626786950e-01,-7.166911756350046181e-01,-6.858729207311634601e-01,-7.515431298989997400e-01,-6.798197830698521349e-01,-6.823003024164512320e-01,-7.047022302458334497e-01
-6.679010134180571878e-01,-6.204188762475418839e-01,-6.592134369336327682e-01,-7.086397016226165801e-01,-7.079989482685925539e-01,-7.030762574749818139e-01,6.921430475684322570e-01,-7.171644121185297704e-01,-6.844975605455451140e-01,-6.751017677994431976e-01
-6.504069940795110805e-01,-6.761525565194014264e-01,-7.311769713918434555e-01,-7.101187325007145557e-01,-6.887483516788696081e-01,-6.945379058157989949e-01,-7.385370294314531625e-01,-6.784009004556400546e-01,-6.955532271033370018e-01,-6.842114770272796909e-01
-6.693483207538177826e-01,-6.655124103594733942e-01,-7.244152576623374973e-01,-7.150881801431192564e-01,-7.066045883917625448e-01,-7.131408822806769576e-01,-7.090710979346008802e-01,-7.361297307159174741e-01,-7.270037901617473208e-01,-7.159595014645498967e-01
-7.346115675414042201e-01,-6.853553145193603813e-01,-6.794042468518504130e-01,-7.268182642207752231e-01,-6.913186720082407088e-01,-6.494465460381797506e-01,-6.710159598166489658e-01,-7.350599525531819056e-01,-7.310645696011647265e-01,-6.719871537081295587e-01
-6.841873234229874923e-01,-6.964428743611317252e-01,-7.489103057076159642e-01,-6.808079341187055489e-01,-6.771331737320697153e-01,-7.007517188959864196e-01,-7.268805390456972715e-01,-6.956026615929484791e-01,-7.034429279635623367e-01,-6.836106056111689311e-01
-6.841609031497732918e-01,-7.007935862649893322e-01,-7.430104591347269638e-01,-7.252021008196815055e-01,-7.391608410949487284e-01,-6.891290073281202133e-01,-7.209675115709260895e-01,-7.350382752301061196e-01,-7.284678749972156586e-01,-7.132711967059027769e-01
-7.128792131515402364e-01,-6.994953270645500876e-01,-6.960641397186601020e-01,-6.732416041418263219e-01,-7.059739571075358544e-01,-7.332037675351340544e-01,-7.118871254192614684e-01,-7.027386702959519393e-01,-6.899073021696938701e-01,-7.181168512968093554e-01
-7.077441514618536544e-01,-6.792765096224738786e-01,7.407310821330647110e-01,-7.026756980047141887e-01,-6.964113959368448681e-01,-6.534635648270140651e-01,-6.993938768257520477e-01,-7.089435856857292384e-01,-7.298044351793251394e-01,-7.469725769358797063e-01
-6.759270557103642663e-01,-6.476593605636630224e-01,-6.457146923879785172e-01,-7.067311086649692431e-01,-6.744800757750692988e-01,-7.135278007952450263e-01,-7.234079389147451966e-01,-6.632326389567428926e-01,-6.919368590252519269e-01,6.468436902541748745e-01
-7.317270758112880413e-01,-7.307827504135514518e-01,-6.972394535589249154e-01,-7.267858255842731818e-01,-7.170134513745886062e-01,-7.036599270132128936e-01,-7.259436034335395860e-01,-7.127781916577269339e-01,-6.897391267384086477e-01,-6.925127120220083698e-01
-7.145417217343662530e-01,-6.794593984406409604e-01,-7.080410969017996159e-01,-7.103770457177863706e-01,-7.060737897617932468e-01,-6.716944392891130988e-01,-7.175039564572555095e-01,-6.668102021914097399e-01,-6.829588692715630183e-01,-6.322064420443923582e-01
-6.854408138765800684e-01,-6.982031072986779607e-01,-6.670160955482289378e-01,-7.357851945819385842e-01,-6.887233851904506210e-01,-7.062777957835333353e-01,-6.931628333443684564e-01,-7.214808322802406249e-01,-7.308573971961571658e-01,-7.157736286892041333e-01
-6.538153861515024756e-01,-6.707798346850419868e-01,-6.641597691530217729e-01,-7.307688419716112938e-01,-7.136355383052319645e-01,6.526824027603683742e-01,-7.170819031003472510e-01,-6.946672751781953759e-01,-7.023788566641550046e-01,-6.956387568787208986e-01
-7.169302044528957918e-01,6.852432823720323585e-01,-6.933961285251035722e-01,-7.162957815741355372e-01,-6.738980971773366191e-01,-7.436312944895332455e-01,-7.037423003978761082e-01,-7.058205452347940945e-01,-7.159914864695934300e-01,-6.815552467459240482e-01
-6.782308919955587490e-01,-6.568177164690459646e-01,7.113213347334049752e-01,-7.258868103210135425e-01,-7.250816930478590772e-01,-6.950128242590679628e-01,-6.995851325004264210e-01,-7.118469092524114528e-01,-6.978146174713216743e-01,-6.869176093623653445e-01
-7.240564380194034477e-01,-6.851346192869569585e-01,-7.017761128480480837e-01,-7.212351276020597668e-01,-7.153744711338216877e-01,-7.392954343189579447e-01,-6.687810671948021257e-01,-7.244949989401522350e-01,-7.267640005732364239e-01,-7.273789727710711084e-01
-7.122655861264048927e-01,-6.845865262533428197e-01,-6.998123447987075751e-01,-7.265628369109622398e-01,-6.892374959281134528e-01,-6.947668326624385493e-01,-7.040397565645840627e-01,-6.505685155200198189e-01,-6.820642194172539252e-01,-6.839052160277371284e-01
-6.582619267834557419e-01,-6.769744655801930300e-01,-7.122196069008749353e-01,-6.934599774941277994e-01,7.161373664108942050e-01,-6.642298463149723942e-01,-7.253650648982006288e-01,-7.529401569565248309e-01,-7.035002171752089417e-01,-6.640629851903918635e-01
-6.395001430030882172e-01,-7.171917032654415713e-01,-6.868070938738535247e-01,-7.029280136432866088e-01,-7.051636263475673516e-01,-6.718694342011292120e-01,-7.099146846473811667e-01,-7.157292085514033175e-01,-7.079581141666728694e-01,-6.437597964028758390e-01
-6.672375355246681350e-01,-7.106171320021751336e-01,-6.013355990543820528e-01,-6.963907408795271259e-01,-6.563530028134033634e-01,-6.839496932063764412e-01,-6.842772654261477516e-01,-7.171688152396157312e-01,-6.461546576709863432e-01,-7.148012721773392419e-01
-7.142475056029697900e-01,-6.932891031818954053e-01,-7.466317237266801854e-01,-6.921826799262600360e-01,-6.986817506955343982e-01,-6.366555218417668804e-01,-7.220877389841052763e-01,-7.168691072695528854e-01,-7.386521117559426974e-01,-6.935606868076765741e-01
-6.923375072891354565e-01,-6.707739800616749903e-01,-6.942948859251756311e-01,-7.036247013241770931e-01,-7.055839513358980186e-01,-6.991936234173550258e-01,-7.107086664658225361e-01,-7.152529681782494597e-01,-6.962638488414925053e-01,-7.568730325615347088e-01
-6.869611090159101208e-01,-7.236729522667754155e-01,-7.030102030063802854e-01,-7.205530991432560484e-01,-6.978419992552890028e-01,6.625153700365155052e-01,-7.269967010855041822e-01,-6.996798878109866671e-01,-7.086628224740171289e-01,-7.018726426438133270e-01
-6.816559970765480037e-01,-6.924386648385284504e-01,-6.919800833525853179e-01,-7.097026655668207118e-01,-7.311658239132547976e-01,-6.740025305896419905e-01,-7.050587359370196205e-01,-6.726587480105957750e-01,6.790021430420131177e-01,-6.583186545074346530e-01
-7.172432938020062432e-01,-7.558076129604629489e-01,-7.013396108213939550e-01,7.059182247617186157e-01,-7.197656469876494434e-01,-7.454018939413058487e-01,-6.895503029578001764e-01,-7.308647048627859855e-01,-7.343371911683975739e-01,-7.119306424864524363e-01
-7.273485172814037059e-01,-6.879322399210865413e-01,-6.759195209506005941e-01,-7.109645383010502195e-01,-6.995585489307145632e-01,-6.558724068904348004e-01,-7.176270736078040891e-01,-6.953995739746356985e-01,-6.962753290278911322e-01,-6.900102523426498990e-01
-7.281386756601880839e-01,-6.500807012540923413e-01,-7.056027443004987409e-01,-7.033519662025007335e-01,-6.695055321816983929e-01,-7.278466669107577225e-01,-7.163132968094421127e-01,-6.848946935655465529e-01,-7.095683102337034809e-01,-7.049060037274976764e-01
-6.883879645937859282e-01,-7.567191370584954724e-01,-6.899902134376245666e-01,-7.310168177193988592e-01,-7.193879244912444459e-01,6.874013502878497661e-01,-6.868209941576054467e-01,-6.845269519863503849e-01,-7.263766435209808581e-01,-6.950628402873192391e-01
-6.739435215991028683e-01,-7.140250283598814640e-01,-6.822303868099675039e-01,6.934665981161324266e-01,-7.157881971722728220e-01,-7.288188137552241708e-01,-6.882562569162047339e-01,-6.565527277412581686e-01,-7.020973768843686846e-01,-7.015687695254506639e-01
-7.054138194545815921e-01,6.873955876383817110e-01,-6.900554508166885093e-01,-7.191757497606995342e-01,-7.058587193990674136e-01,-7.076326392241255592e-01,-7.141949232889681642e-01,-6.931903033417942117e-01,-7.273912194632712325e-01,-7.041074187995338685e-01
-7.329728049721641048e-01,6.913259303473434647e-01,-6.847112262249567260e-01,-6.908706011547026682e-01,-6.950374241945487253e-01,-6.732457417830105539e-01,-7.156162887208551426e-01,-6.997678653157137774e-01,-6.892493315207195437e-01,-7.125307599203112296e-01
-6.890394101298991103e-01,-6.959476224437234348e-01,-6.698847017500739742e-01,-6.622009307385067212e-01,-6.642197716162958621e-01,-6.846306018232344304e-01,-7.067206167474237022e-01,-6.450344449664618951e-01,-6.828312963940551539e-01,-7.167248622892851140e-01
6.208028219263910241e-01,-6.806987487668992864e-01,-7.293220097454746753e-01,-6.858445582812522368e-01,-6.785402755907862238e-01,-7.090622454208546088e-01,-7.168685083603080210e-01,-7.130672178194193966e-01,-6.932787936046569399e-01,-7.365912808327518269e-01
-6.762725326146958871e-01,-6.014460141774329305e-01,-7.357566444920096149e-01,-6.987850329097116120e-01,-7.087811218586093087e-01,-6.844898940514221319e-01,-7.233705160106788101e-01,-7.454411171562022043e-01,-7.098281438330198423e-01,-7.094245740334479411e-01
-6.839092838451181766e-01,-7.045165080828400539e-01,-7.102838087227331121e-01,-7.508790212007607767e-01,-7.046960711901020247e-01,-6.584483941922891770e-01,-6.780230904812289960e-01,-7.163103369886630878e-01,-7.317710595601215617e-01,-6.869431263396601484e-01
-7.130263712647575414e-01,-6.676146111397661675e-01,-6.774605758304520498e-01,-6.820394263600396689e-01,-7.026467891888454886e-01,-6.955967829437790240e-01,-6.888896300389584226e-01,-7.079687115711748024e-01,-7.103491999743812846e-01,-7.131610267734603825e-01
-6.814399662321428686e-01,-6.539334931742526447e-01,-7.118430355679252752e-01,-7.150449151648599067e-01,-7.397825486777084292e-01,-6.567533221965783374e-01,-6.587592887058577595e-01,-7.010738224502413019e-01,-6.467631972026850473e-01,-6.486269730739109285e-01
-7.245965585398923547e-01,-7.403434658714475036e-01,-7.233047544042510157e-01,-7.446380565033008381e-01,-6.784757012086852779e-01,-6.938151335419678878e-01,-7.573390271172173449e-01,-6.775702816972781761e-01,7.013831464316094833e-01,-7.009562159076615506e-01
-7.114136578234339092e-01,-7.082313560176231038e-01,-6.971706714618204348e-01,-7.144027739122987830e-01,-6.977784032866487518e-01,-6.771485903507423743e-01,-6.955037974327556993e-01,-7.274374525000510960e-01,-7.149293456626720777e-01,-6.737905158916441817e-01
-6.991792562247969300e-01,-6.999718344732990261e-01,-6.858699046466848470e-01,-7.199884711592863251e-01,-6.814610452707053900e-01,-6.421486718570961205e-01,-7.030035852871784341e-01,-7.167418344893261573e-01,-6.673234029317233196e-01,-7.041134709997945995e-01
6.879821156205833121e-01,-7.271162122624239554e-01,-6.844948916254234295e-01,-6.970365951023010931e-01,-7.236145345266856710e-01,-6.231057651732295755e-01,-6.903839001456125724e-01,-6.952655584523366183e-01,-7.124002975711983821e-01,-6.860820838848642467e-01
-6.978844363954527230e-01,-6.586001062261358507e-01,-7.307760019324920364e-01,-6.669426711270273200e-01,-6.690898640311195855e-01,-6.768398383185931788e-01,-6.921754786191092190e-01,-7.052937624576807174e-01,-7.387560269381567846e-01,-6.721522299294991898e-01
-6.667279664822935992e-01,-6.417520482664264003e-01,-7.231181330940927854e-01,7.032216766734343816e-01,-7.319767951107635229e-01,-6.957689182243017578e-01,-6.677431955275175968e-01,-7.125687083183440684e-01,-7.008833578730394587e-01,-6.799811929023233947e-01
-6.888777758206527935e-01,-7.272417349091093719e-01,6.675845853355656390e-01,-7.116220787417922855e-01,-7.301461412242934435e-01,-7.499377388127576038e-01,-7.135542671044156071e-01,-6.885729252750248941e-01,-7.256385435971522968e-01,-6.853282413103650716e-01
-7.277913183618475168e-01,-6.953825649609349790e-01,-7.392075301347674765e-01,-6.867155785520900890e-01,-7.771319812573164176e-01,-6.598856720852631641e-01,-6.819284130346902062e-01,-7.017006698344079307e-01,-7.151033513146743958e-01,-7.350983917218069097e-01
-6.964853375709456618e-01,-6.661479827339737980e-01,-6.443931441606219890e-01,-6.900767121881843380e-01,7.264902960943125931e-01,-6.959097977707151550e-01,-6.486638676686582450e-01,-6.572256797815149154e-01,-6.897621083006787446e-01,-6.740103445102999524e-01
