s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
1.091471239924430847e-01,1.462443470954895020e-01,1.524027884006500244e-01,1.645509302616119385e-01,1.100976690649986267e-01,1.298152953386306763e-01,1.395730972290039062e-01,1.353632360696792603e-01,6.692552566528320312e-01,1.426056176424026489e-01
1.801472753286361694e-01,1.632660925388336182e-01,1.120172291994094849e-01,2.132108360528945923e-01,1.939190030097961426e-01,1.475331038236618042e-01,5.658375620841979980e-01,1.753624528646469116e-01,1.676362603902816772e-01,1.363583356142044067e-01
1.625653654336929321e-01,1.515460163354873657e-01,1.437655091285705566e-01,2.431115508079528809e-01,1.430268138647079468e-01,1.358309090137481689e-01,1.449853926897048950e-01,1.542131155729293823e-01,1.588855981826782227e-01,2.015628367662429810e-01
2.969307005405426025e-01,3.250137865543365479e-01,2.565289139747619629e-01,3.317619264125823975e-01,3.262467682361602783e-01,2.886819541454315186e-01,3.321474194526672363e-01,2.257644832134246826e-01,2.235716283321380615e-01,2.600416243076324463e-01
1.692867130041122437e-01,1.435319781303405762e-01,1.344185322523117065e-01,1.446104794740676880e-01,3.506455421447753906e-01,1.188684031367301941e-01,1.629731804132461548e-01,1.547230780124664307e-01,1.549855023622512817e-01,1.269007325172424316e-01
2.239232212305068970e-01,2.827895581722259521e-01,3.351926207542419434e-01,2.675634920597076416e-01,2.538616359233856201e-01,3.375243842601776123e-01,3.168662190437316895e-01,2.466937601566314697e-01,2.652103006839752197e-01,3.341444432735443115e-01
1.058914810419082642e-01,1.565644890069961548e-01,1.555452495813369751e-01,1.387344300746917725e-01,1.664211601018905640e-01,1.612796336412429810e-01,1.436373442411422729e-01,1.362518221139907837e-01,1.131405755877494812e-01,1.821682155132293701e-01
2.805868089199066162e-01,3.382507562637329102e-01,2.332394570112228394e-01,2.629598379135131836e-01,2.665919661521911621e-01,3.112612962722778320e-01,3.124570548534393311e-01,2.633723914623260498e-01,2.411772012710571289e-01,2.591649293899536133e-01
1.416309922933578491e-01,1.694441735744476318e-01,1.640307903289794922e-01,1.277368366718292236e-01,1.716134697198867798e-01,1.905235946178436279e-01,1.590305268764495850e-01,1.754058897495269775e-01,1.407840251922607422e-01,1.640039533376693726e-01
2.936012744903564453e-01,3.055864274501800537e-01,2.402204275131225586e-01,2.732561230659484863e-01,3.292847871780395508e-01,2.469457536935806274e-01,3.070282042026519775e-01,2.333217114210128784e-01,3.203448355197906494e-01,2.669640481472015381e-01
2.594377994537353516e-01,2.909997403621673584e-01,2.788222730159759521e-01,2.790212631225585938e-01,2.881976664066314697e-01,2.352474480867385864e-01,2.920270562171936035e-01,2.796663939952850342e-01,2.911255955696105957e-01,2.692261636257171631e-01
1.635404974222183228e-01,1.566127091646194458e-01,1.084121093153953552e-01,1.158868819475173950e-01,1.346150487661361694e-01,1.587621867656707764e-01,2.024896144866943359e-01,1.623982787132263184e-01,2.125292569398880005e-01,7.151797413825988770e-01
3.021902143955230713e-01,2.942830920219421387e-01,2.880623340606689453e-01,2.964820861816406250e-01,3.298141360282897949e-01,3.249688148498535156e-01,2.683643698692321777e-01,3.124807476997375488e-01,3.327440917491912842e-01,3.091560602188110352e-01
2.389729917049407959e-01,3.078750371932983398e-01,2.787643671035766602e-01,2.922299802303314209e-01,2.970016300678253174e-01,2.750430107116699219e-01,2.518141269683837891e-01,3.373165726661682129e-01,2.579271197319030762e-01,3.350491523742675781e-01
2.043374031782150269e-01,1.487168371677398682e-01,1.865894645452499390e-01,2.431115508079528809e-01,1.755705624818801880e-01,1.188804507255554199e-01,1.472489535808563232e-01,1.679531186819076538e-01,1.575614660978317261e-01,1.609046757221221924e-01
2.481680214405059814e-01,2.907578349113464355e-01,2.902018129825592041e-01,2.648202478885650635e-01,3.250028491020202637e-01,2.555467486381530762e-01,3.264850676059722900e-01,2.284956723451614380e-01,3.000295162200927734e-01,2.519283592700958252e-01
1.159092560410499573e-01,1.327209174633026123e-01,1.647239923477172852e-01,1.357877999544143677e-01,1.785386353731155396e-01,1.693208366632461548e-01,5.665874481201171875e-01,1.723882704973220825e-01,1.703527420759201050e-01,2.058672904968261719e-01
2.870378196239471436e-01,2.690274417400360107e-01,3.011795282363891602e-01,3.089804351329803467e-01,2.952530682086944580e-01,3.377424180507659912e-01,2.702258527278900146e-01,2.318938076496124268e-01,3.240988850593566895e-01,2.729122042655944824e-01
3.103569746017456055e-01,2.763836383819580078e-01,2.724404335021972656e-01,2.366311401128768921e-01,2.380220144987106323e-01,2.914346456527709961e-01,2.797856628894805908e-01,2.882762551307678223e-01,2.260949164628982544e-01,2.535919845104217529e-01
2.634120285511016846e-01,2.686896026134490967e-01,3.249555230140686035e-01,2.720693051815032959e-01,2.561176121234893799e-01,2.245581746101379395e-01,2.636628746986389160e-01,2.811222374439239502e-01,2.830444276332855225e-01,2.881188392639160156e-01
3.247966170310974121e-01,2.929848730564117432e-01,2.353103011846542358e-01,2.384137511253356934e-01,2.701221704483032227e-01,3.203927576541900635e-01,3.290954828262329102e-01,3.027062714099884033e-01,2.917981147766113281e-01,2.825815975666046143e-01
