s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
-6.948013185209017450e+00,-7.598550711799044954e+00,-7.331737926363021352e+00,-7.364397946766932712e+00,-7.386776072256224346e+00,-7.119360240772423687e+00,-7.025038688874210457e+00,-6.528753785457265479e+00,6.283722683889082283e+00,-5.181458045083874531e+00
-7.347673178376603609e+00,-7.339779694746759731e+00,-7.544167089928929038e+00,-7.191795815227710165e+00,-7.160356246334681707e+00,-6.953330338294281709e+00,7.234488851902807660e+00,-6.712651514804331754e+00,-6.114027933037554874e+00,-5.049818805059059557e+00
-7.244121053181467929e+00,-7.377081454072300204e+00,-7.709315953343563343e+00,7.472486089364188899e+00,-7.066637803816335328e+00,-6.850054117724009295e+00,-6.809162782679889503e+00,-6.520893250990191348e+00,-5.812912777946949383e+00,-5.164042276484110516e+00
-7.689462092515586100e+00,-7.378776962260556793e+00,-7.235405838739351836e+00,-7.391505021641169293e+00,-7.399759044723599466e+00,-6.618195119035212848e+00,-6.835528274791816017e+00,-6.494767426248960085e+00,-6.432779761088593951e+00,-5.144869649033914527e+00
-7.797038128658140721e+00,-7.478533960542226744e+00,-7.803110168902207100e+00,-7.326135956200384491e+00,7.318208034844513321e+00,-6.611324004193424919e+00,-6.635406082299214248e+00,-6.635166323248742337e+00,-6.132714587141893325e+00,-5.183553771236582008e+00
-7.763809103083369578e+00,-7.759129167566446661e+00,-7.453988831623134637e+00,-7.253334724369513431e+00,-7.023621730831189680e+00,-7.222858376601744901e+00,-6.671206019417424748e+00,-6.455753711636212699e+00,-6.073838258829248993e+00,-5.310788271935758864e+00
7.722048095635426712e+00,-7.152934645941115832e+00,-7.535801326368951614e+00,-7.430019917129690121e+00,-6.909482802074180086e+00,-7.281147231629468308e+00,-7.050130019425160377e+00,-6.317180498372457542e+00,-6.029128538639296764e+00,-5.046123421966047573e+00
-7.650300720467378746e+00,-6.865050881275313266e+00,-7.381131264209861875e+00,-7.341536306918617250e+00,-7.517160208668161481e+00,-6.444452048962363122e+00,-7.036957927748921371e+00,-6.840137552809141930e+00,-6.273466867961591475e+00,-5.342963208835135980e+00
-7.559437530891132795e+00,-7.291153891862133030e+00,7.589373527735289393e+00,-7.052714915835662346e+00,-7.367504150748484193e+00,-6.845667520190709787e+00,-6.966296427467411512e+00,-6.612366894016556529e+00,-6.459889473224562195e+00,-5.325010813843981339e+00
-7.376705509682171424e+00,-7.522477674665354996e+00,-7.115233996802730942e+00,-7.542511097826011479e+00,-7.291246283232511338e+00,-7.105831878687879133e+00,-6.939170157463768085e+00,-6.960711013515802570e+00,-6.515086771882800498e+00,-5.438826804728390307e+00
-7.328769887567367469e+00,-7.591114373346201205e+00,-7.500764879473003965e+00,-7.243967499526100973e+00,-7.529319012363274055e+00,-7.510863378350852493e+00,-7.328268587298357950e+00,-6.952546622463792403e+00,-6.479769749033258641e+00,-5.524649209571964370e+00
-7.094914789015766665e+00,-7.677067290054962356e+00,-7.855362398862427931e+00,-7.666494342889338398e+00,-7.505304344280498086e+00,-7.159102271993839750e+00,-6.594274593412500884e+00,-6.256626825164921968e+00,-5.913740974004010553e+00,5.180666291591641937e+00
-7.276434820473393295e+00,-7.790006624995961637e+00,-7.234724039327368850e+00,-7.649473904106167232e+00,-7.429442073780601064e+00,-6.839365079982796303e+00,-7.089372576768890433e+00,-6.932299138906345526e+00,-6.578314483613641350e+00,-5.815115292486562559e+00
-7.413478503865011504e+00,-6.854174947548643537e+00,-7.360876637233571884e+00,-7.255272843610058864e+00,-7.259010070817547344e+00,-7.469850104186599893e+00,-6.935562703329964052e+00,-6.839909455181588882e+00,-6.147346484601539984e+00,-5.449073992825622881e+00
-7.546186370866953652e+00,-7.074637614203949987e+00,-7.101381800666757727e+00,7.048822427638753219e+00,-7.218475991593097163e+00,-7.068032974375027422e+00,-7.163763388373405760e+00,-6.204840534022179277e+00,-5.972824209954867847e+00,-5.297838891074636791e+00
-7.463320738675752963e+00,-7.382110866577862751e+00,-7.448554015318628707e+00,-8.006711223449645587e+00,-7.018031664060074171e+00,-7.313881286159522155e+00,-6.691526380662267570e+00,-6.661066214604159264e+00,-6.138330364385631732e+00,-5.298805005436988402e+00
-7.303817770802893072e+00,-7.517516573094897403e+00,-7.156919403534257818e+00,-7.578164526176865756e+00,-7.621310782615133839e+00,-6.770829843896151168e+00,7.288043561237957491e+00,-6.153671767030422401e+00,-6.371327989104728751e+00,-5.317688359952144062e+00
-7.695257496888929793e+00,-7.666518699336168474e+00,-7.644725796790522665e+00,-7.302075634193315956e+00,-7.584050752841635656e+00,-6.996676254601606360e+00,-7.104221240253997038e+00,-6.706734458588929471e+00,-6.591898544955530070e+00,-5.536820607219705259e+00
-7.249617669484998750e+00,-7.432077480012031501e+00,-7.280589612677549560e+00,-7.349499951975651868e+00,-7.602030019581939690e+00,-7.322981733541974236e+00,-6.821297928056856641e+00,-6.355431624203669472e+00,-6.354164043038164067e+00,-5.581055366757917469e+00
-7.887628164896878680e+00,-7.186464730348609997e+00,-7.402146604501409932e+00,-7.656289937463788497e+00,-7.580503850295003510e+00,-7.218406026476187343e+00,-7.061908835342718405e+00,-6.919234220118419820e+00,-6.313978643310889538e+00,-5.706142982517194540e+00
-8.087674322927771442e+00,-7.613419465426447097e+00,-7.714959723626123811e+00,-7.721443020858600015e+00,-7.798716408065970995e+00,-7.164321070605467412e+00,-7.070520782375157687e+00,-6.547768223604472304e+00,-6.312741889396873418e+00,-5.166582058405247757e+00
-7.772405656007902230e+00,-7.517059203285953117e+00,-7.347747357436330340e+00,-7.409554747229528004e+00,-7.303705046086693464e+00,-6.832620061091854602e+00,-6.397210890119234605e+00,-6.219705665583215470e+00,-6.277172025076303896e+00,-5.190925249632101668e+00
-7.311598638073831147e+00,-7.549922082309821647e+00,-7.519827856538056743e+00,-6.914148913679948549e+00,-7.522052497824478046e+00,-6.792863153070553217e+00,-6.869867018042927320e+00,-6.757760025352251176e+00,-6.225902124714039587e+00,-5.258857470155748004e+00
-7.670489777368966422e+00,-7.644967875788577061e+00,7.785995138902953805e+00,-7.551125557327249105e+00,-7.475801924043790514e+00,-6.869711280679652532e+00,-6.833679640647007503e+00,-6.412859984620149056e+00,-6.107320407876258628e+00,-5.285966469936518308e+00
-7.735062880553553732e+00,-7.639254138631749846e+00,-7.410357502082998593e+00,-6.988679813389803819e+00,-7.678565511637068575e+00,-7.352464751372033369e+00,-6.914827785472470900e+00,-6.814918818795769440e+00,-6.134322870031018837e+00,5.369375079881606005e+00
-7.538064857606857849e+00,-7.356161711311684392e+00,-7.430788805341538072e+00,-7.605099881731308464e+00,-7.385020332339626847e+00,-6.993901407563348549e+00,-6.853531224903952612e+00,-6.861207619341153752e+00,-5.977711488830035336e+00,-5.251676035507098383e+00
-7.284921483131284958e+00,-6.983861757573405882e+00,-7.677860836335282713e+00,-7.343002092128036118e+00,-7.110263475625720808e+00,-6.735032701407080324e+00,-6.678443650868800319e+00,-6.493816802154674050e+00,-6.670565360033794633e+00,-5.494175838632136433e+00
-7.520688939551865460e+00,-7.799831004807495916e+00,-7.638842356491275076e+00,-7.597858423036055520e+00,-7.476241708536088382e+00,-7.625787706466341298e+00,-7.096558160975027008e+00,-6.807869155167158404e+00,-5.995544701540827859e+00,-5.472175271982834488e+00
-7.193846303219193494e+00,-7.833515274909385262e+00,-7.363602328654408780e+00,-7.440852526121604527e+00,-7.361961981865920990e+00,6.980377241557139456e+00,-7.087881979532983046e+00,-6.632176765304027555e+00,-6.506710157546770290e+00,-5.198184341327186431e+00
-7.892616847119652945e+00,7.641122480980834020e+00,-7.503119498588529446e+00,-7.249087636915517052e+00,-7.443236028299900831e+00,-7.672387465741494772e+00,-6.716392959947617314e+00,-6.895940532568063830e+00,-5.928020037562903966e+00,-5.591853524867985925e+00
-7.561337794882295071e+00,-7.262000694957488456e+00,7.542508538363566828e+00,-7.325936857982915384e+00,-7.411959598662217097e+00,-6.898627415771292348e+00,-6.859823878899220517e+00,-6.427020576066224677e+00,-6.174935720575765785e+00,-5.399420851881261640e+00
-7.692239601270340899e+00,-7.990338412227931286e+00,-7.851246766778681163e+00,-7.612049196439562238e+00,-7.399703109277742108e+00,-7.123821075917041945e+00,-6.687489205645433366e+00,-7.074665454797907316e+00,-6.139437821415176799e+00,-5.380148921549515073e+00
-7.397830713776150091e+00,-7.263670030873532468e+00,-7.526873857359523079e+00,-7.447847468501799462e+00,-7.213940730476177343e+00,-7.123964289357389568e+00,-7.227023907971734218e+00,-6.801123992329085155e+00,-6.535494737360601825e+00,-5.555592396020026413e+00
-6.910187924375171598e+00,-7.378616426485546498e+00,-7.577381802909143538e+00,-7.093459376198380184e+00,6.993629397802910930e+00,-6.778838602221846088e+00,-6.740058216256646695e+00,-6.358408944992934408e+00,-6.097004256100411190e+00,-5.438117005561420747e+00
-7.510373757229235281e+00,-6.841457537585245774e+00,-7.571171433273245377e+00,-7.226273759691379084e+00,-7.074659145358743295e+00,-6.614531321279280895e+00,-6.644658593949747782e+00,-6.613389966193489400e+00,-6.258903210714515275e+00,-5.399389317844937253e+00
-7.563021653558837265e+00,-7.358437711735517084e+00,-7.031375792235799338e+00,-6.664283756601393272e+00,-6.945382579437929138e+00,-7.432802329251176232e+00,-7.087010134197270439e+00,-6.638232224058080000e+00,-5.924473390128485839e+00,-5.375987281064578127e+00
-7.571103170910631341e+00,-6.921930547357643349e+00,-7.603547704955319730e+00,-7.218427821957810409e+00,-7.282680399493012935e+00,-7.002085744493958153e+00,-6.790134955488853485e+00,-6.661239877344511839e+00,-6.486165461778287344e+00,-5.488055068305688344e+00
-7.703581276196040939e+00,-8.085891119117651016e+00,-7.612120345502739305e+00,-7.538984783994632011e+00,-7.582269323851003051e+00,-7.285933395024370540e+00,-6.911842575354613771e+00,-6.816416022775418249e+00,-6.348034436996546681e+00,-5.451318497794838791e+00
-7.632245376008391702e+00,-7.781199937055661486e+00,-7.340935190819696032e+00,-7.341849361340279323e+00,-7.216549005196526423e+00,7.092389638555209430e+00,-7.092562417064649516e+00,-6.631034577740973823e+00,-6.556195604076534345e+00,-5.609283879598432776e+00
-7.966695307577307261e+00,-7.113107118520356487e+00,-7.401942453672909039e+00,-7.104904050806034377e+00,-7.271010520553549128e+00,-7.092822808472390328e+00,-6.847392581940892065e+00,-6.475169551760919795e+00,6.321650129195296230e+00,-5.253615860782733016e+00
-7.062423542445389835e+00,-7.572307883484945101e+00,-7.013037242296633167e+00,7.420686401155641931e+00,-7.266538612658435703e+00,-6.827098807152505167e+00,-7.126469579556007794e+00,-6.484461252446475754e+00,-6.246050581891865683e+00,-5.345739284983763717e+00
-7.408528500603885902e+00,-7.541816432475789256e+00,-7.456108413178212935e+00,-7.623912544383345313e+00,-7.699128588834104114e+00,-7.169327084324066846e+00,-7.125821845934082077e+00,-6.431251115062315726e+00,-6.328027171747263147e+00,-5.225770685816720551e+00
-7.076783731825653234e+00,-7.267575101501634549e+00,-8.090765478483733730e+00,-7.171391685764138657e+00,-7.606548567726964194e+00,-7.106332756456957611e+00,-7.077969913322702311e+00,-6.828546942963694910e+00,-6.242159914071153004e+00,-5.495658791413301714e+00
