s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
2.053984260559083008e-01,1.826467263698581256e-01,2.334267759323103153e-01,2.302873468399024848e-01,2.507221102714511929e-01,1.457280969619736410e-01,2.093757295608518199e-01,1.800084781646711374e-01,-5.919164818525299410e+00,1.474389076232851536e-01
1.908680725097633424e-01,1.699356484413100943e-01,2.170970857143366128e-01,2.140098202228497559e-01,2.328737378120355750e-01,1.364396166801414845e-01,-6.496243431568111681e+00,1.683982276916500265e-01,1.770001101493781093e-01,1.360312652587856164e-01
1.799262237548820975e-01,1.604354596137995692e-01,2.054760277271256985e-01,-6.956215782165505068e+00,2.222469210624671287e-01,1.301227879524217146e-01,1.894318687915810262e-01,1.623157501220670040e-01,1.733337759971558256e-01,1.331592559814369636e-01
3.556113290786721559e-01,3.141648578643789214e-01,4.023501944541927888e-01,3.988752102851865211e-01,4.374155998229967701e-01,2.570513057708747051e-01,3.742971634864797337e-01,3.205461168289180374e-01,3.419215917587297149e-01,2.618912363052405823e-01
1.822052383422860800e-01,1.623791170120206795e-01,2.075000560283636331e-01,2.052233111858335901e-01,-6.833499965667692244e+00,1.313881802558858336e-01,1.902094852924326451e-01,1.628621387481672400e-01,1.738974058627977826e-01,1.336478805541929660e-01
3.556113290786721559e-01,3.141648578643789214e-01,4.023501944541927888e-01,3.988752102851865211e-01,4.374155998229967701e-01,2.570513057708747051e-01,3.742971634864797337e-01,3.205461168289180374e-01,3.419215917587297149e-01,2.618912363052405823e-01
-6.996578636169422438e+00,1.590787053108220217e-01,2.031140053272230128e-01,2.012294101715076389e-01,2.206580400466912062e-01,1.297045516967796353e-01,1.889610505104060145e-01,1.619448947906479974e-01,1.729320728778764860e-01,1.327981185913067463e-01
3.556113290786721559e-01,3.141648578643789214e-01,4.023501944541927888e-01,3.988752102851865211e-01,4.374155998229967701e-01,2.570513057708747051e-01,3.742971634864797337e-01,3.205461168289180374e-01,3.419215917587297149e-01,2.618912363052405823e-01
1.785124492645249195e-01,1.594882130622833349e-01,-7.024602820873226960e+00,2.020009481906855919e-01,2.209154486656143002e-01,1.297858643531770717e-01,1.890440547466272214e-01,1.620058345794654908e-01,1.729981255531232165e-01,1.328613471984763095e-01
3.556113290786721559e-01,3.141648578643789214e-01,4.023501944541927888e-01,3.988752102851865211e-01,4.374155998229967701e-01,2.570513057708747051e-01,3.742971634864797337e-01,3.205461168289180374e-01,3.419215917587297149e-01,2.618912363052405823e-01
3.556113290786721559e-01,3.141648578643789214e-01,4.023501944541927888e-01,3.988752102851865211e-01,4.374155998229967701e-01,2.570513057708747051e-01,3.742971634864797337e-01,3.205461168289180374e-01,3.419215917587297149e-01,2.618912363052405823e-01
2.265181875228874930e-01,2.011278247833254429e-01,2.571915960311884075e-01,2.540516519546512364e-01,2.771114349365245144e-01,1.615153264999390492e-01,2.327047228813172164e-01,1.974220895767210826e-01,2.131626951694505223e-01,-5.103961235284807607e+00
3.556113290786721559e-01,3.141648578643789214e-01,4.023501944541927888e-01,3.988752102851865211e-01,4.374155998229967701e-01,2.570513057708747051e-01,3.742971634864797337e-01,3.205461168289180374e-01,3.419215917587297149e-01,2.618912363052405823e-01
3.556113290786721559e-01,3.141648578643789214e-01,4.023501944541927888e-01,3.988752102851865211e-01,4.374155998229967701e-01,2.570513057708747051e-01,3.742971634864797337e-01,3.205461168289180374e-01,3.419215917587297149e-01,2.618912363052405823e-01
1.799262237548820975e-01,1.604354596137995692e-01,2.054760277271256985e-01,-6.956215782165505068e+00,2.222469210624671287e-01,1.301227879524217146e-01,1.894318687915810262e-01,1.623157501220670040e-01,1.733337759971558256e-01,1.331592559814369636e-01
3.556113290786721559e-01,3.141648578643789214e-01,4.023501944541927888e-01,3.988752102851865211e-01,4.374155998229967701e-01,2.570513057708747051e-01,3.742971634864797337e-01,3.205461168289180374e-01,3.419215917587297149e-01,2.618912363052405823e-01
1.908680725097633424e-01,1.699356484413100943e-01,2.170970857143366128e-01,2.140098202228497559e-01,2.328737378120355750e-01,1.364396166801414845e-01,-6.496243431568111681e+00,1.683982276916500265e-01,1.770001101493781093e-01,1.360312652587856164e-01
3.556113290786721559e-01,3.141648578643789214e-01,4.023501944541927888e-01,3.988752102851865211e-01,4.374155998229967701e-01,2.570513057708747051e-01,3.742971634864797337e-01,3.205461168289180374e-01,3.419215917587297149e-01,2.618912363052405823e-01
3.556113290786721559e-01,3.141648578643789214e-01,4.023501944541927888e-01,3.988752102851865211e-01,4.374155998229967701e-01,2.570513057708747051e-01,3.742971634864797337e-01,3.205461168289180374e-01,3.419215917587297149e-01,2.618912363052405823e-01
3.556113290786721559e-01,3.141648578643789214e-01,4.023501944541927888e-01,3.988752102851865211e-01,4.374155998229967701e-01,2.570513057708747051e-01,3.742971634864797337e-01,3.205461168289180374e-01,3.419215917587297149e-01,2.618912363052405823e-01
3.556113290786721559e-01,3.141648578643789214e-01,4.023501944541927888e-01,3.988752102851865211e-01,4.374155998229967701e-01,2.570513057708747051e-01,3.742971634864797337e-01,3.205461168289180374e-01,3.419215917587297149e-01,2.618912363052405823e-01
3.556113290786721559e-01,3.141648578643789214e-01,4.023501944541927888e-01,3.988752102851865211e-01,4.374155998229967701e-01,2.570513057708747051e-01,3.742971634864797337e-01,3.205461168289180374e-01,3.419215917587297149e-01,2.618912363052405823e-01
3.556113290786721559e-01,3.141648578643789214e-01,4.023501944541927888e-01,3.988752102851865211e-01,4.374155998229967701e-01,2.570513057708747051e-01,3.742971634864797337e-01,3.205461168289180374e-01,3.419215917587297149e-01,2.618912363052405823e-01
1.785124492645249195e-01,1.594882130622833349e-01,-7.024602820873226960e+00,2.020009481906855919e-01,2.209154486656143002e-01,1.297858643531770717e-01,1.890440547466272214e-01,1.620058345794654908e-01,1.729981255531232165e-01,1.328613471984763095e-01
2.265181875228874930e-01,2.011278247833254429e-01,2.571915960311884075e-01,2.540516519546512364e-01,2.771114349365245144e-01,1.615153264999390492e-01,2.327047228813172164e-01,1.974220895767210826e-01,2.131626951694505223e-01,-5.103961235284807607e+00
3.556113290786721559e-01,3.141648578643789214e-01,4.023501944541927888e-01,3.988752102851865211e-01,4.374155998229967701e-01,2.570513057708747051e-01,3.742971634864797337e-01,3.205461168289180374e-01,3.419215917587297149e-01,2.618912363052405823e-01
3.556113290786721559e-01,3.141648578643789214e-01,4.023501944541927888e-01,3.988752102851865211e-01,4.374155998229967701e-01,2.570513057708747051e-01,3.742971634864797337e-01,3.205461168289180374e-01,3.419215917587297149e-01,2.618912363052405823e-01
3.556113290786721559e-01,3.141648578643789214e-01,4.023501944541927888e-01,3.988752102851865211e-01,4.374155998229967701e-01,2.570513057708747051e-01,3.742971634864797337e-01,3.205461168289180374e-01,3.419215917587297149e-01,2.618912363052405823e-01
1.858156490325916232e-01,1.655215263366700551e-01,2.114520919322964154e-01,2.084823501110046884e-01,2.279771208763086143e-01,-6.770325525999044025e+00,1.933796894550335876e-01,1.639991569519009262e-01,1.749367666244419084e-01,1.345099544525076851e-01
1.783699607849116298e-01,-7.101552652120573406e+00,2.034802293777441262e-01,2.012230110168452546e-01,2.205788373947122905e-01,1.296426916122425110e-01,1.888596153259255450e-01,1.618517303466791013e-01,1.728267967700904961e-01,1.327060317993140615e-01
