s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
1.864682286977767944e-01,1.581028848886489868e-01,1.552567631006240845e-01,1.515139788389205933e-01,1.376627236604690552e-01,1.347420215606689453e-01,1.541397720575332642e-01,1.255890130996704102e-01,1.205915659666061401e-01,1.630558967590332031e-01
1.975498199462890625e-01,1.092439293861389160e-01,1.356639862060546875e-01,1.641259044408798218e-01,1.622938662767410278e-01,1.539327949285507202e-01,1.441895663738250732e-01,1.365306824445724487e-01,1.951006799936294556e-01,1.603652387857437134e-01
8.584422618150711060e-02,1.053114682435989380e-01,9.093346446752548218e-02,7.146614789962768555e-02,7.775218784809112549e-02,7.626435160636901855e-02,7.640428841114044189e-02,8.137507736682891846e-02,7.639620453119277954e-02,9.454999864101409912e-02
1.334097832441329956e-01,1.620495468378067017e-01,1.763675212860107422e-01,1.478315293788909912e-01,1.036116406321525574e-01,1.343653351068496704e-01,1.351505070924758911e-01,1.449322849512100220e-01,1.600396633148193359e-01,1.975777745246887207e-01
7.938007265329360962e-02,7.400365918874740601e-02,7.119495421648025513e-02,7.459031045436859131e-02,9.235872328281402588e-02,6.129644811153411865e-02,1.251437216997146606e-01,7.628658413887023926e-02,7.436960935592651367e-02,9.400390833616256714e-02
1.499425619840621948e-01,1.790188848972320557e-01,1.510877609252929688e-01,1.687528043985366821e-01,1.111101657152175903e-01,1.330007165670394897e-01,1.894156783819198608e-01,1.614791601896286011e-01,1.148240864276885986e-01,1.569622308015823364e-01
1.638292372226715088e-01,1.364150047302246094e-01,1.426327377557754517e-01,1.700155287981033325e-01,1.181285083293914795e-01,1.309630125761032104e-01,1.328156441450119019e-01,1.452558189630508423e-01,1.626469790935516357e-01,1.473315358161926270e-01
1.007878407835960388e-01,1.107715368270874023e-01,7.421793788671493530e-02,8.707188069820404053e-02,7.998231053352355957e-02,7.967378199100494385e-02,8.323182910680770874e-02,6.219857931137084961e-02,1.105107069015502930e-01,6.561056524515151978e-02
1.224421113729476929e-01,1.949368417263031006e-01,1.585667580366134644e-01,1.742551624774932861e-01,1.768730133771896362e-01,1.613332182168960571e-01,1.473384648561477661e-01,1.861584335565567017e-01,1.682360768318176270e-01,1.175194233655929565e-01
8.855491131544113159e-02,1.154143437743186951e-01,7.469537854194641113e-02,1.030672937631607056e-01,6.930460780858993530e-02,7.453503459692001343e-02,6.959486007690429688e-02,9.534979611635208130e-02,8.749770373106002808e-02,1.050198376178741455e-01
9.712424129247665405e-02,7.328255474567413330e-02,1.288067251443862915e-01,9.896459430456161499e-02,9.332115203142166138e-02,5.708725750446319580e-02,5.110275372862815857e-02,7.378124445676803589e-02,9.612523019313812256e-02,9.016183763742446899e-02
1.533083617687225342e-01,1.138064041733741760e-01,1.533613950014114380e-01,1.195831969380378723e-01,1.158142015337944031e-01,1.339396387338638306e-01,1.280250996351242065e-01,1.792938858270645142e-01,1.902633607387542725e-01,9.874207526445388794e-02
9.331120550632476807e-02,1.033503711223602295e-01,8.003269881010055542e-02,1.117127165198326111e-01,8.350054174661636353e-02,1.135386750102043152e-01,9.329886734485626221e-02,8.002439141273498535e-02,9.339426457881927490e-02,9.711957722902297974e-02
7.966409623622894287e-02,7.144912332296371460e-02,7.916380465030670166e-02,1.059309914708137512e-01,1.067451015114784241e-01,1.165539547801017761e-01,7.253514230251312256e-02,1.047488823533058167e-01,8.339698612689971924e-02,1.057998836040496826e-01
1.026625782251358032e-01,8.244086802005767822e-02,1.020621955394744873e-01,6.727502495050430298e-02,9.191731363534927368e-02,7.722519338130950928e-02,8.301714062690734863e-02,9.429013729095458984e-02,6.590083241462707520e-02,8.494562655687332153e-02
1.727551370859146118e-01,1.712546795606613159e-01,1.186809092760086060e-01,1.584414839744567871e-01,1.780762374401092529e-01,1.580744683742523193e-01,1.406774073839187622e-01,1.504285186529159546e-01,1.424026936292648315e-01,1.636262685060501099e-01
1.070629581809043884e-01,9.937769174575805664e-02,8.572617173194885254e-02,1.103494986891746521e-01,9.421051293611526489e-02,9.527923911809921265e-02,7.149437069892883301e-02,1.291643828153610229e-01,8.376418799161911011e-02,8.016283810138702393e-02
1.214318275451660156e-01,1.782939881086349487e-01,1.787612736225128174e-01,1.663134545087814331e-01,1.457464843988418579e-01,1.853204369544982910e-01,1.399634182453155518e-01,1.618714630603790283e-01,2.037440389394760132e-01,1.035242676734924316e-01
1.459915041923522949e-01,1.868643164634704590e-01,1.539233624935150146e-01,1.009638980031013489e-01,1.544724553823471069e-01,1.436015367507934570e-01,1.407554149627685547e-01,1.416728794574737549e-01,2.098874747753143311e-01,1.671689152717590332e-01
1.362341195344924927e-01,1.483938395977020264e-01,1.450129300355911255e-01,1.435979753732681274e-01,1.930908858776092529e-01,2.008154988288879395e-01,1.010101363062858582e-01,1.635968983173370361e-01,1.725245416164398193e-01,1.541966646909713745e-01
1.452714651823043823e-01,1.152772828936576843e-01,2.081868648529052734e-01,1.501377224922180176e-01,1.205964908003807068e-01,1.944180727005004883e-01,1.561280786991119385e-01,1.444748640060424805e-01,1.777953207492828369e-01,1.364724785089492798e-01
9.402959048748016357e-02,8.131304383277893066e-02,9.591016918420791626e-02,7.892011851072311401e-02,1.287272125482559204e-01,9.018567949533462524e-02,7.840691506862640381e-02,6.849218159914016724e-02,1.045105382800102234e-01,8.734863251447677612e-02
1.075430363416671753e-01,1.060686260461807251e-01,1.113915890455245972e-01,1.110265105962753296e-01,5.956901609897613525e-02,1.028159931302070618e-01,5.697040632367134094e-02,7.297851145267486572e-02,8.630006760358810425e-02,1.100886464118957520e-01
1.507797688245773315e-01,1.293418854475021362e-01,1.511128842830657959e-01,1.545566916465759277e-01,1.415756046772003174e-01,1.597307622432708740e-01,1.403573006391525269e-01,1.500606238842010498e-01,1.460390686988830566e-01,1.186124682426452637e-01
1.259652525186538696e-01,1.656942069530487061e-01,1.324198395013809204e-01,1.687801629304885864e-01,1.017706096172332764e-01,1.606103032827377319e-01,1.456750333309173584e-01,1.156724765896797180e-01,1.236504837870597839e-01,1.527125835418701172e-01
1.492559164762496948e-01,1.405983716249465942e-01,1.529975384473800659e-01,1.917791813611984253e-01,1.039882972836494446e-01,1.472105532884597778e-01,1.669175177812576294e-01,1.109213158488273621e-01,1.347564309835433960e-01,1.452005803585052490e-01
9.856867045164108276e-02,8.017375320196151733e-02,1.029848232865333557e-01,7.649526596069335938e-01,8.623529076576232910e-01,6.935960054397583008e-02,9.838099032640457153e-02,9.859530627727508545e-02,1.205059513449668884e-01,7.729503512382507324e-02
1.533308029174804688e-01,1.550378650426864624e-01,1.632862538099288940e-01,1.343592554330825806e-01,1.590174287557601929e-01,1.272450387477874756e-01,1.426674276590347290e-01,1.072994098067283630e-01,1.272494941949844360e-01,1.802412122488021851e-01
5.900910124182701111e-02,9.083148092031478882e-02,7.362504303455352783e-02,7.300341874361038208e-02,9.176007658243179321e-02,7.786504030227661133e-01,1.007401943206787109e-01,9.129560738801956177e-02,8.331869840621948242e-01,8.756570518016815186e-02
1.179046705365180969e-01,1.255300343036651611e-01,1.506673693656921387e-01,1.363849937915802002e-01,1.403737068176269531e-01,1.470153331756591797e-01,1.792156845331192017e-01,1.737186163663864136e-01,1.700207293033599854e-01,1.757749617099761963e-01
