s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
3.919335035551130275e-01,-3.542704180434375627e-01,-3.973697405960002205e-01,-3.972658503664830421e-01,-3.874328767820972019e-01,-3.727658571546922928e-01,-3.587514844515273249e-01,-3.577300159781525157e-01,-3.630897065816001690e-01,-3.772071240969130379e-01
-3.759627576038965246e-01,-3.456592500698894566e-01,-3.708888505032941207e-01,-3.677884355469705491e-01,-3.714777318379187121e-01,-3.770866923064294940e-01,-3.781984036841973262e-01,-3.853287047619218808e-01,-3.859712653330812371e-01,3.785848005360039625e-01
-3.363432565675835151e-01,-3.710907928197213490e-01,-3.746881150870294830e-01,3.966001926656138599e-01,-3.925889539511496773e-01,-3.500237503773047099e-01,-3.659486403154269540e-01,-3.828566668516559801e-01,3.768766196413474434e-01,-3.811183027562529690e-01
-3.891954524295934692e-01,-3.572236514975137833e-01,-3.831429523537892012e-01,-3.714547903290562614e-01,3.747190502114299271e-01,-3.695959859969837891e-01,-3.756985116973966532e-01,-3.708016842701756799e-01,-3.821288888049215737e-01,-3.869194283115396371e-01
-3.933212191270183400e-01,-3.673321977706383024e-01,3.818303869807096462e-01,3.673506988063932055e-01,-3.885568348678644646e-01,-3.883017562277537582e-01,-3.652694940352976261e-01,-3.862997918453978663e-01,-3.578349110032758018e-01,-3.926773894114050645e-01
-3.775280044086355424e-01,-3.717642488025213465e-01,-3.895794863320001244e-01,-3.787860668799589159e-01,-3.800582730559401989e-01,-3.812394185371139055e-01,-3.824379585369290790e-01,-3.814147050526082161e-01,-3.786326846566325233e-01,3.779537648881963197e-01
-3.734529526352989293e-01,-3.733807919961694699e-01,-3.893330170345729035e-01,-3.852585391601665576e-01,-3.828171755728609349e-01,-3.769273534961312677e-01,-3.821526811085447783e-01,-3.886497656758722830e-01,-3.715077831519883467e-01,3.625804600170755565e-01
-3.658647773759789446e-01,-3.689258474238978902e-01,-3.733220908555892059e-01,-3.897444423367812383e-01,-3.853695452018948697e-01,3.941871189714880042e-01,4.022834889850468998e-01,-3.588904539331563837e-01,-3.792961228654539996e-01,-3.776641454940904974e-01
-3.724782931640347461e-01,-3.800441284955450305e-01,3.816550403113289636e-01,-3.530912431482243763e-01,-3.795482935203294828e-01,-3.683426455707164426e-01,-4.028862392533570924e-01,-3.622450645145616210e-01,-3.696001860249723547e-01,-3.690862307700460421e-01
-3.816620481311737145e-01,-3.709501790548296873e-01,-3.749722630305576399e-01,3.801056440171799999e-01,3.804152757908443316e-01,-3.776490570144492298e-01,-3.602170731035474471e-01,-3.584000858130166889e-01,-3.843676412741319770e-01,-3.637990866221791908e-01
-3.853385462301273101e-01,3.707431773253408447e-01,-3.645945823126688357e-01,-3.855909132227692826e-01,3.817331267282418339e-01,-3.819562512772992635e-01,-3.743047849559363316e-01,-3.782753971411131899e-01,-4.037945008766283816e-01,-3.660399029894826350e-01
-3.699134521328757974e-01,-3.820418839810792999e-01,-3.746531165321471679e-01,-3.759902999278360580e-01,-3.796378609299528306e-01,-3.618635203896394259e-01,3.970159520089727168e-01,-3.786066598948721884e-01,-3.804778381270056964e-01,-3.808530533717918720e-01
-3.471321389134991997e-01,-3.576203090282971675e-01,-3.813595426442902836e-01,-3.834337385407226018e-01,-3.640013723559928360e-01,-3.674496317230542264e-01,-3.618834699033533497e-01,3.921662752165012700e-01,3.977405632316839412e-01,-3.753689212913320361e-01
-3.833130359923940800e-01,-3.567237940693057663e-01,-3.898195555176436899e-01,-3.782186875775733759e-01,-3.425174676968870680e-01,-3.783362287266613389e-01,3.699026303305226748e-01,-3.512950759653201138e-01,3.734541030875907497e-01,-3.966084799418971851e-01
-3.619624717621487964e-01,-3.947233716158604078e-01,3.649906297077256667e-01,3.722216174789020893e-01,-3.752320741717455332e-01,-3.882134919218847569e-01,-3.487919432810262510e-01,-3.659939577795572330e-01,-3.629386785133524307e-01,-3.938318945748102706e-01
-3.659266323989399106e-01,-3.661666905343983203e-01,-3.627303150571056789e-01,-3.838167061643723565e-01,-3.632552588311064312e-01,-3.733146189718558605e-01,-3.779307646017959210e-01,-3.818758450179688402e-01,3.796966217318418768e-01,-3.944699826575667756e-01
-3.809907123919992755e-01,-3.374420907880886777e-01,-3.691322524909101954e-01,-3.687034680794994412e-01,-3.818297928279056896e-01,-3.674725744730263921e-01,-3.724574376651336727e-01,-3.813126396508801919e-01,3.750790086757321284e-01,3.754978287861682751e-01
-3.742360224013204228e-01,-3.618971581673063875e-01,-3.935263573989886687e-01,-3.846408135845821863e-01,-3.556569364798828348e-01,-3.895740573752926039e-01,3.987968380241941335e-01,-3.644155924977908745e-01,-3.961057322634413680e-01,-3.839461192529082245e-01
-3.790426165704368633e-01,-3.664192336308656484e-01,-3.860865284933319708e-01,3.765838918604594854e-01,-3.843022376499567461e-01,-3.817233212759477134e-01,-3.551873297534973162e-01,-3.940539436385583905e-01,-3.733524252345624128e-01,-3.820375927990947718e-01
-3.782158231617296917e-01,-3.915009722427180150e-01,-3.653305631029731271e-01,-3.691571819530942156e-01,-3.738585404337731455e-01,-4.000067776901940486e-01,-3.759206110827672531e-01,-3.808372534757495376e-01,-3.843157710905984459e-01,3.713547338176136359e-01
-3.868664018197460197e-01,-3.567157865737665134e-01,-3.755453796522684740e-01,-3.673465222443129674e-01,-3.848870656483083796e-01,-3.862236039652562902e-01,-3.560791300599094877e-01,3.828464678116591524e-01,-3.868366783311223411e-01,-3.755283307803680692e-01
-3.726055520474252925e-01,-3.767648971928100332e-01,-3.910763757122679429e-01,-3.952332430975311062e-01,-3.818813241178506401e-01,3.743443211856815611e-01,3.728030328841160923e-01,-3.920837758517812799e-01,-3.911059727940872643e-01,-3.848863149265507877e-01
-3.639378614757106112e-01,3.783158977702114067e-01,-3.990157688449834095e-01,-3.712000126294491831e-01,-3.698786321633573682e-01,-3.645717618301169138e-01,3.704102487358012508e-01,-3.888874191869610697e-01,-3.701999831126796536e-01,-3.852321161103963720e-01
-3.582315377806330470e-01,-3.584368240938071715e-01,-3.808577244102628323e-01,3.802586356242332877e-01,-3.768293807132220286e-01,-4.002156314476946197e-01,-3.747776863110232615e-01,-3.760235436074575444e-01,-3.623469646464524963e-01,-3.917903457793011079e-01
-3.639775461135306145e-01,-3.826148036711424227e-01,-3.722577770117602713e-01,-3.810881527437685046e-01,-3.586731615694768172e-01,-3.718138917146160405e-01,-3.604923082082625574e-01,-3.654050758591995129e-01,3.890157686382217372e-01,-3.716893394704410269e-01
-4.012393953792865453e-01,-3.694107999089525363e-01,-3.727743220481564701e-01,-3.821668191347175614e-01,-3.753727943762401043e-01,-3.693174605062758409e-01,-3.737877957643787052e-01,-3.622377427543976292e-01,3.800144387588171857e-01,-3.707053945317695942e-01
-3.596176497897101143e-01,-3.864263425708128752e-01,-3.754295924168407073e-01,3.570528599605360398e-01,3.760899450061602201e-01,-3.745126676690513357e-01,-3.758788572639234493e-01,-3.788917014855897047e-01,-3.743788066458896280e-01,-3.835616956532739152e-01
-3.566120430145396369e-01,-3.700785710700714715e-01,-3.976621075329039856e-01,-3.936757457862036236e-01,4.074430431817360754e-01,-3.789144248287286132e-01,-3.666763799550237235e-01,-3.997694284622835270e-01,-3.823737594128165940e-01,-3.909407747130663746e-01
-3.784163564768574517e-01,-3.771090947699912710e-01,-3.676901927442759455e-01,-3.774268719096678937e-01,-3.802688589613013037e-01,3.884842766814898263e-01,-3.580069552824013401e-01,-3.491217883300229419e-01,4.044458011331872882e-01,-3.755269345810421378e-01
-3.644825662218965090e-01,-3.677200233407082464e-01,-3.938513492514753578e-01,-3.679654583269000856e-01,-3.877966207472571258e-01,-3.934564980692221159e-01,3.940763963503765011e-01,-3.638559685969137147e-01,-3.859622409869579163e-01,-3.826672880576581504e-01
-3.942527169162486911e-01,-3.574449271667006767e-01,3.758994640813909105e-01,-3.821230186647053828e-01,-3.669517709543733130e-01,-3.835385339707763075e-01,3.745614783146638538e-01,-3.814533709545471774e-01,-3.647924143299725586e-01,-3.771991665255678416e-01
3.790911247466147160e-01,-4.139102732203694401e-01,-3.716018672739082040e-01,-3.747406573712036004e-01,-3.729912697036016911e-01,-3.735892332114584269e-01,-3.755113897067218764e-01,-3.912799761044341573e-01,-3.846876679301637902e-01,-3.708332668334039517e-01
