s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
-3.736712492841485211e-01,6.985791087507681185e-02,9.066954064533418178e-02,1.072970247795632798e-01,1.014697489678047654e-01,9.069442548213046962e-02,6.740086456679481031e-02,8.900979693355082212e-02,1.106219189480907583e-01,1.206218287485722462e-01
7.816120060432377170e-02,7.151689403564251424e-02,9.066492480854060343e-02,1.072947456745653727e-01,9.980533156933246719e-02,9.234654155487122262e-02,6.739777200789817679e-02,9.066407856586602976e-02,1.172613364523145130e-01,-3.413676910746659132e-01
4.869128657319353459e-02,4.286996942110475606e-02,5.953100327867394403e-02,-4.870320640674992707e-01,6.451588327429763625e-02,5.746502980450987619e-02,4.497389061278805888e-02,5.953025530345833205e-02,-4.920229977876346972e-01,7.785457989689925640e-02
7.816053855526333694e-02,7.317708643605605467e-02,9.066511141607433433e-02,1.106131476699370453e-01,-3.621385990930257592e-01,9.069013646938417494e-02,6.905933486918006126e-02,9.232602990061383741e-02,1.122780447035742202e-01,1.189562649415533135e-01
4.786145820462443107e-02,4.328659855838207920e-02,-4.940973732597641055e-01,-4.891126313387770264e-01,6.327061625457318372e-02,5.746616182416500185e-02,4.455933297835736051e-02,5.953103174173782902e-02,6.827110140285108653e-02,7.536201694070421286e-02
7.816120060432377170e-02,7.151689403564251424e-02,9.066492480854060343e-02,1.072947456745653727e-01,9.980533156933246719e-02,9.234654155487122262e-02,6.739777200789817679e-02,9.066407856586602976e-02,1.172613364523145130e-01,-3.413676910746659132e-01
7.816120060432377170e-02,7.151689403564251424e-02,9.066492480854060343e-02,1.072947456745653727e-01,9.980533156933246719e-02,9.234654155487122262e-02,6.739777200789817679e-02,9.066407856586602976e-02,1.172613364523145130e-01,-3.413676910746659132e-01
4.743370713738219446e-02,4.327471532208294891e-02,5.785242995772609670e-02,6.825180656249613120e-02,6.242410754925253186e-02,-4.950099267870841091e-01,-5.099581761548368508e-01,5.826745646004370671e-02,6.825170868984892225e-02,7.533966935300628887e-02
7.484112553015306868e-02,6.985663855386523013e-02,-3.596390885442692920e-01,1.122788565952815704e-01,9.814551431032049467e-02,8.902697301381845563e-02,6.905941686508723643e-02,9.564661280237435337e-02,1.072995715103874925e-01,1.172959727405947783e-01
4.869406232947774693e-02,4.411918572674617539e-02,5.953410690323528154e-02,-4.836979003250013176e-01,-4.986523027755746518e-01,5.788452722522383770e-02,4.456090205885311628e-02,5.870192319938082048e-02,6.951937963918325414e-02,7.578023421427115824e-02
