s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
1.385650038719177246e-01,1.219926923513412476e-01,1.173820048570632935e-01,1.486465334892272949e-01,1.467887014150619507e-01,1.481931507587432861e-01,1.480864137411117554e-01,1.825466156005859375e-01,1.545153409242630005e-01,1.831207126379013062e-01
1.527762711048126221e-01,1.673802435398101807e-01,1.861468106508255005e-01,1.228002384305000305e-01,2.069436907768249512e-01,1.230296418070793152e-01,1.994618177413940430e-01,1.258899569511413574e-01,1.603968292474746704e-01,1.377870738506317139e-01
1.105216816067695618e-01,8.988586068153381348e-02,7.144902646541595459e-02,7.128091454505920410e-01,9.646730124950408936e-02,1.238465458154678345e-01,5.959272757172584534e-02,9.462849050760269165e-02,7.490957379341125488e-01,6.826781481504440308e-02
1.352507025003433228e-01,1.508344113826751709e-01,1.429212689399719238e-01,1.459112167358398438e-01,1.426725834608078003e-01,1.514450311660766602e-01,1.518251001834869385e-01,1.470899432897567749e-01,2.150511294603347778e-01,1.556545346975326538e-01
9.222617745399475098e-02,1.151449009776115417e-01,9.334643185138702393e-02,8.464103937149047852e-02,7.405346632003784180e-02,8.144117146730422974e-02,1.047327294945716858e-01,1.007306277751922607e-01,6.335950642824172974e-02,8.430300652980804443e-02
1.815192401409149170e-01,1.199608892202377319e-01,1.340538859367370605e-01,1.530683934688568115e-01,1.618743389844894409e-01,1.935747265815734863e-01,1.905715763568878174e-01,1.447436958551406860e-01,1.171350628137588501e-01,1.496580094099044800e-01
1.760281175374984741e-01,2.088916897773742676e-01,2.122805714607238770e-01,1.894348263740539551e-01,1.881208419799804688e-01,1.462221443653106689e-01,1.169344782829284668e-01,1.755796223878860474e-01,1.683915853500366211e-01,1.737256199121475220e-01
7.186610251665115356e-02,9.433130919933319092e-02,8.444909006357192993e-02,9.602731466293334961e-02,9.845000505447387695e-02,1.007373705506324768e-01,8.406086266040802002e-02,6.249606609344482422e-02,7.795931398868560791e-02,8.676990121603012085e-02
2.071174085140228271e-01,1.533690840005874634e-01,1.309764832258224487e-01,1.781909018754959106e-01,1.196848526597023010e-01,1.751625388860702515e-01,1.515046954154968262e-01,1.371584534645080566e-01,1.442258507013320923e-01,1.588371694087982178e-01
6.864775717258453369e-02,6.653087586164474487e-02,5.451171845197677612e-02,6.211239099502563477e-01,6.877901554107666016e-01,1.111319810152053833e-01,8.722022175788879395e-02,8.699955046176910400e-02,9.861013293266296387e-02,1.008285880088806152e-01
