s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
3.985386650855233359e+00,-4.024155595671731867e+00,-4.121881076444363856e+00,-4.287621746746697049e+00,-4.434674410541968648e+00,-4.500041598111255148e+00,-4.452551266242378070e+00,-4.540425182256362824e+00,-4.574952856411460544e+00,-3.960644073531920828e+00
-4.196088445213136175e+00,-4.161375697026325149e+00,-4.268274680185990988e+00,-4.335475706056864276e+00,-4.343959616500240983e+00,-4.509932378620836957e+00,-4.120904213942956140e+00,-4.434278652426587364e+00,-4.626852459223912639e+00,4.007136286905096156e+00
-4.114076986705407890e+00,-3.926709741761102102e+00,-4.277425119300435341e+00,4.351786691632856474e+00,-4.426361718389483890e+00,-4.669347308241111882e+00,-4.428883287279504977e+00,-4.404555264816869098e+00,4.707588403131031995e+00,-4.034634116817215954e+00
-4.081970816636098398e+00,-3.968702237173692637e+00,-4.257565851721070160e+00,-4.339521178657939515e+00,4.395866203069608957e+00,-4.532838399003280117e+00,-4.481256012154167578e+00,-4.330624845785915333e+00,-4.667697311131992599e+00,-4.095778534680533767e+00
-4.033103254514349700e+00,-4.244112843460920104e+00,4.277482326859254336e+00,4.261077376929298666e+00,-4.274320107693294624e+00,-4.541361558116811636e+00,-4.270442680006946823e+00,-4.424246326576902533e+00,-4.412953396481838375e+00,-3.970019117465724445e+00
-4.121743360544327217e+00,-4.197615916191836938e+00,-4.343823387832797422e+00,-4.185516883642971919e+00,-4.394210752992965929e+00,-4.522105020722101187e+00,-4.377956993785435458e+00,-4.577246660116646382e+00,-4.667694584232983779e+00,4.128632464175463923e+00
-3.965252859990145762e+00,-4.146472636412236845e+00,-4.395924393303234368e+00,-4.361081737828666149e+00,-4.505366197843549081e+00,-4.596138161608676498e+00,-4.062945638327641440e+00,-4.495740526777201929e+00,-4.618522975106088779e+00,4.083125340511701395e+00
-4.053883696553492122e+00,-4.190526364174375296e+00,-4.309985867629678502e+00,-4.221609106940295675e+00,-4.479194189645018476e+00,4.655412729419555973e+00,4.472629516061976673e+00,-4.466200464954859228e+00,-4.376219178765618167e+00,-4.026146467721224198e+00
-3.965890210985321129e+00,-4.187476105094502188e+00,4.490161856330364465e+00,-4.250528979280426611e+00,-4.396788091862577907e+00,-4.528553667369389579e+00,-4.563488842361659970e+00,-4.463325347410663113e+00,-4.673104833253057144e+00,-4.043996348356024839e+00
-3.979229742326003905e+00,-4.263732081317326283e+00,-4.184177192818297364e+00,4.336555385309214472e+00,4.477259174518742668e+00,-4.559562558312784120e+00,-4.177171773509843256e+00,-4.573742164816728462e+00,-4.610192620520047413e+00,-3.943354055470878805e+00
