s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
-4.018231843113889035e+00,6.080944077173862095e-01,8.235005581378933570e-01,9.704610965649265175e-01,9.372974755366649813e-01,8.921638498703603481e-01,6.854903618494654349e-01,9.100351033608087281e-01,1.074708137710886025e+00,1.058324339389804525e+00
6.198148655891393410e-01,5.772583653529467229e-01,7.810249197483066785e-01,8.906910445292796075e-01,8.498925073941560049e-01,8.120184296369524768e-01,5.900048977136620465e-01,7.886088383197784601e-01,9.871977291504592245e-01,-3.753342217008274861e+00
4.862883464495327823e-01,4.301296186447132186e-01,6.741281513373033052e-01,-4.501490106185269013e+00,7.166840529441805829e-01,6.527827900648078829e-01,5.075988574822741795e-01,6.789732909202553790e-01,-4.799907784064600058e+00,8.118833965063041447e-01
6.932207532723728693e-01,6.400679047902397834e-01,8.713160000244772885e-01,1.096982701420782691e+00,-4.169798292716334842e+00,9.413988637924158853e-01,7.128611946105940511e-01,9.348667416969922428e-01,1.082716814080871170e+00,1.050556930700943692e+00
4.157811866203937057e-01,4.024462023377389230e-01,-4.789884976347269507e+00,-4.693817784190167153e+00,6.599923295776036758e-01,6.175400677323288345e-01,4.878886498014096684e-01,6.539184406399698446e-01,7.454214290777771978e-01,7.651029933492301538e-01
6.198148655891393410e-01,5.772583653529467229e-01,7.810249197483066785e-01,8.906910445292796075e-01,8.498925073941560049e-01,8.120184296369524768e-01,5.900048977136620465e-01,7.886088383197784601e-01,9.871977291504592245e-01,-3.753342217008274861e+00
6.198148655891393410e-01,5.772583653529467229e-01,7.810249197483066785e-01,8.906910445292796075e-01,8.498925073941560049e-01,8.120184296369524768e-01,5.900048977136620465e-01,7.886088383197784601e-01,9.871977291504592245e-01,-3.753342217008274861e+00
4.589643619457880463e-01,4.131348150968527921e-01,5.978667048613188761e-01,6.937454558412201600e-01,6.758748528361295804e-01,-4.980177881220960501e+00,-4.974552516639219490e+00,6.594985335071853472e-01,7.310494860013214691e-01,7.509223446249935208e-01
6.404577952623351500e-01,6.329218143224695226e-01,-4.028871340155590453e+00,1.086720150510468663e+00,9.238957013686487363e-01,8.803319936990723349e-01,6.922082920869170319e-01,9.453724648555097421e-01,1.051089077989258325e+00,1.042715105215711091e+00
4.260768146316239458e-01,3.866490064064659338e-01,6.110203271110842271e-01,-4.734960393011559354e+00,-5.015706056455765172e+00,6.315314535299896281e-01,4.870056874553345683e-01,6.419521380464215943e-01,7.396605042616464232e-01,7.519990911086367191e-01
4.675055384635916633e-01,-4.631057610710449524e+00,6.234040359656001229e-01,7.124661691983524836e-01,-4.502713250915199694e+00,6.418621880809440849e-01,5.072745316227268431e-01,6.711033793290438476e-01,7.759588231642937650e-01,8.003110756476679022e-01
6.971502170960084399e-01,6.492798332373264092e-01,9.078170176347080123e-01,1.041267188390095910e+00,9.825703120231601417e-01,9.515009365479124570e-01,-4.292365774313597448e+00,9.308296845356616167e-01,1.068214910229047909e+00,1.041288065910340954e+00
5.054226889212904972e-01,4.491479099790227636e-01,6.617702299356378326e-01,7.372522757450696851e-01,6.982140236099469988e-01,6.695744590957890541e-01,5.174075338244399358e-01,-4.741836763322331727e+00,-4.799025263090905824e+00,7.986119985580373282e-01
4.960699500640231019e-01,4.449164604147268776e-01,6.411664863427453120e-01,7.270544781287475722e-01,6.902960384885412637e-01,6.599109460910133063e-01,-4.866598868668068789e+00,6.838268396258349036e-01,-4.765190765559663255e+00,8.000897789994834142e-01
4.157811866203937057e-01,4.024462023377389230e-01,-4.789884976347269507e+00,-4.693817784190167153e+00,6.599923295776036758e-01,6.175400677323288345e-01,4.878886498014096684e-01,6.539184406399698446e-01,7.454214290777771978e-01,7.651029933492301538e-01
7.089011679093014662e-01,6.257489035526890842e-01,8.830601427952424753e-01,1.006648289561270504e+00,9.658784554402011224e-01,8.925747346878029065e-01,6.885423304637259267e-01,9.208776446183500886e-01,-4.227883985439921943e+00,1.095322026809059768e+00
5.397761169075953047e-01,4.780869122346226296e-01,6.802666111787145642e-01,7.704145036141065717e-01,7.309306342403065759e-01,6.887689115603747858e-01,5.266235831379887378e-01,6.996183267235746017e-01,-4.489737298488602590e+00,-3.952727173169457320e+00
6.971502170960084399e-01,6.492798332373264092e-01,9.078170176347080123e-01,1.041267188390095910e+00,9.825703120231601417e-01,9.515009365479124570e-01,-4.292365774313597448e+00,9.308296845356616167e-01,1.068214910229047909e+00,1.041288065910340954e+00
6.746486747264843764e-01,6.061229447523750480e-01,9.747416838010126705e-01,-3.931606737971296006e+00,1.033839313189187425e+00,9.283485116561227546e-01,7.134796535968759290e-01,9.322971898317315986e-01,1.066199356714883972e+00,1.049351319273316818e+00
6.198148655891393410e-01,5.772583653529467229e-01,7.810249197483066785e-01,8.906910445292796075e-01,8.498925073941560049e-01,8.120184296369524768e-01,5.900048977136620465e-01,7.886088383197784601e-01,9.871977291504592245e-01,-3.753342217008274861e+00
7.010087698698024283e-01,6.419201491276411708e-01,9.431608786185559090e-01,1.040331546068190560e+00,9.808012066284792496e-01,9.343929920593871952e-01,7.081582601865119564e-01,-4.180107777714718864e+00,1.086013520757355799e+00,1.048660698930425017e+00
4.589643619457880463e-01,4.131348150968527921e-01,5.978667048613188761e-01,6.937454558412201600e-01,6.758748528361295804e-01,-4.980177881220960501e+00,-4.974552516639219490e+00,6.594985335071853472e-01,7.310494860013214691e-01,7.509223446249935208e-01
4.621992368499415194e-01,-4.867557955086214250e+00,6.227878357966711853e-01,6.835785244901928515e-01,6.506012344360305732e-01,6.329706230759599705e-01,-4.850230638881511069e+00,6.576167884469019675e-01,7.513433927297521464e-01,7.723707717657033456e-01
6.746486747264843764e-01,6.061229447523750480e-01,9.747416838010126705e-01,-3.931606737971296006e+00,1.033839313189187425e+00,9.283485116561227546e-01,7.134796535968759290e-01,9.322971898317315986e-01,1.066199356714883972e+00,1.049351319273316818e+00
7.089011679093014662e-01,6.257489035526890842e-01,8.830601427952424753e-01,1.006648289561270504e+00,9.658784554402011224e-01,8.925747346878029065e-01,6.885423304637259267e-01,9.208776446183500886e-01,-4.227883985439921943e+00,1.095322026809059768e+00
7.089011679093014662e-01,6.257489035526890842e-01,8.830601427952424753e-01,1.006648289561270504e+00,9.658784554402011224e-01,8.925747346878029065e-01,6.885423304637259267e-01,9.208776446183500886e-01,-4.227883985439921943e+00,1.095322026809059768e+00
4.260768146316239458e-01,3.866490064064659338e-01,6.110203271110842271e-01,-4.734960393011559354e+00,-5.015706056455765172e+00,6.315314535299896281e-01,4.870056874553345683e-01,6.419521380464215943e-01,7.396605042616464232e-01,7.519990911086367191e-01
