s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
8.543275594711303711e-01,1.654597222805023193e-01,1.764975786209106445e-01,1.448651105165481567e-01,1.906002461910247803e-01,1.441953331232070923e-01,1.157008260488510132e-01,1.370429992675781250e-01,1.448536962270736694e-01,1.780677288770675659e-01
2.048284411430358887e-01,4.820486605167388916e-01,1.990679651498794556e-01,1.205043420195579529e-01,1.080557703971862793e-01,1.182079613208770752e-01,1.690262705087661743e-01,1.434434950351715088e-01,1.489811092615127563e-01,1.173056960105895996e-01
1.466974020004272461e-01,1.919665783643722534e-01,4.877801537513732910e-01,1.675841212272644043e-01,1.961520016193389893e-01,1.543966829776763916e-01,1.263007223606109619e-01,1.185632497072219849e-01,1.845927387475967407e-01,1.699714958667755127e-01
1.285921782255172729e-01,1.235159114003181458e-01,1.581618487834930420e-01,4.876166582107543945e-01,1.247208416461944580e-01,1.360933929681777954e-01,1.911104321479797363e-01,1.281999945640563965e-01,1.693864464759826660e-01,1.496060490608215332e-01
1.278754919767379761e-01,1.967488080263137817e-01,1.665099412202835083e-01,1.790622919797897339e-01,4.912344217300415039e-01,1.591668576002120972e-01,1.548706889152526855e-01,1.517122238874435425e-01,1.874969303607940674e-01,1.503679454326629639e-01
1.818024963140487671e-01,1.482597291469573975e-01,1.818715333938598633e-01,1.601976603269577026e-01,1.014936938881874084e-01,1.130560114979743958e-01,1.251137256622314453e-01,1.370044946670532227e-01,1.524516642093658447e-01,1.285843551158905029e-01
1.987365931272506714e-01,1.560130864381790161e-01,1.599210798740386963e-01,1.779780983924865723e-01,1.414429545402526855e-01,1.448754668235778809e-01,4.846906960010528564e-01,1.379130333662033081e-01,1.343743205070495605e-01,1.257287263870239258e-01
1.911257654428482056e-01,1.965925991535186768e-01,1.541327685117721558e-01,1.185503304004669189e-01,1.270616352558135986e-01,1.787246018648147583e-01,1.716337352991104126e-01,4.861872196197509766e-01,1.067011430859565735e-01,1.351075768470764160e-01
1.899793148040771484e-01,1.630117446184158325e-01,1.280299872159957886e-01,1.448729336261749268e-01,1.454072892665863037e-01,1.647769659757614136e-01,1.832664906978607178e-01,1.275831609964370728e-01,4.922562837600708008e-01,1.061501801013946533e-01
1.319405436515808105e-01,1.793664693832397461e-01,1.716502159833908081e-01,1.885081976652145386e-01,1.367056518793106079e-01,1.452265232801437378e-01,1.199234351515769958e-01,1.481145024299621582e-01,2.090872675180435181e-01,4.786277413368225098e-01
