s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
4.144516255402042604e-01,-5.311096242101474019e-01,-5.026589555563965028e-01,-4.811627039162127972e-01,-4.963117574796127029e-01,-1.171739264322139637e-02,-5.174703428829138252e-01,-4.989876798553836146e-01,-4.779783434929369967e-01,-5.200579751426736008e-01
-4.371279869904219351e-01,4.728313759542681072e-01,-4.718631023999755869e-01,-4.893625082098488344e-01,-4.794860742866383641e-01,-2.017389687229389356e-03,-4.956334208576301803e-01,-5.001899301497558792e-01,-4.942322217732325051e-01,-4.935544143981475118e-01
-3.320047175766520642e-01,-5.141860715396210368e-01,5.107233821638150761e-01,-5.008887513535056346e-01,-5.270803831014261309e-01,1.186223717109874398e-02,-4.939655587117119939e-01,-4.929788250371610059e-01,-4.605970403723835260e-01,-4.774546123222827565e-01
-3.364216412556876867e-01,-5.085771758137218601e-01,-4.810529264571341002e-01,5.148552350852174664e-01,-4.915992011296680952e-01,-1.277950601593654152e-02,-4.747783102302082225e-01,-4.862547874537263559e-01,-5.120768435241509486e-01,-5.068993740995406672e-01
-2.719685203554143560e-01,-4.892732229999274818e-01,-4.832045423262407158e-01,-5.395066570704781794e-01,5.246164528761553258e-01,-1.357683320778389421e-02,-5.393321123430365738e-01,-5.009352374480187109e-01,-5.124769806260540683e-01,-5.143952286792560225e-01
-4.238110341190611807e-01,-5.073397669088973716e-01,-5.431881962557024712e-01,-4.806333132722066526e-01,-5.046853613397564997e-01,9.704183238105616076e-04,-5.518705176654353783e-01,-5.131665446228355076e-01,-5.218317771573781627e-01,-4.907220047142103470e-01
-4.155140891086255284e-01,-5.105374964064333110e-01,-4.939901212565501742e-01,-5.005910261922699167e-01,-4.546347141637006040e-01,-7.863732994356904121e-03,5.114454416066112064e-01,-5.024730481579616770e-01,-5.006313451456902985e-01,-5.036358032603885926e-01
-4.690004753966470763e-01,-5.014064887528746350e-01,-5.071890464851769309e-01,-4.763942649348064662e-01,-5.035029853465989857e-01,-2.886394636341915038e-02,-4.963423724463731923e-01,5.120762474507846163e-01,-5.206861109467567639e-01,-5.042873791874648015e-01
-4.634626587134788589e-01,-4.923938369937639337e-01,-4.741799937419488020e-01,-4.888944326289569320e-01,-4.866229299538241682e-01,-9.668331704781386524e-03,-5.138593035515394147e-01,-5.040873112208179574e-01,4.734229371534685593e-01,-5.243120115498695055e-01
-4.538714332576665456e-01,-4.723095735430836162e-01,-4.970161758694657261e-01,-5.145979832926665942e-01,-4.943221470690646879e-01,5.668010624516102262e-03,-5.012630480599069571e-01,-4.630462236337229975e-01,-5.073752261720028134e-01,5.401804834492368590e-01
-3.648977083953250378e-01,-4.982812802402762919e-01,-4.825334302226893524e-01,-5.040474373409549180e-01,-5.065159748004980367e-01,1.887217465854356541e-02,-5.085627852387899495e-01,-4.905125996964309065e-01,-4.926626148354231738e-01,-4.825161598932545259e-01
-3.002933338608027025e-01,4.782502857572464294e-01,-4.815593043299353226e-01,-5.464631148337801836e-01,-4.861495408468529122e-01,-2.408696149420652688e-02,-4.781248438017252078e-01,-4.684693762792409566e-01,-4.925278267642673180e-01,-4.869464571448961498e-01
-4.721447225375045575e-01,-4.830646879410278594e-01,5.283538238665971276e-01,-5.018687449323945282e-01,-4.778670977565806499e-01,-8.662984921794718990e-03,-4.976917709193506290e-01,-4.993805970120549498e-01,-4.952795706419009791e-01,-4.743355833752162520e-01
-3.523770467577929111e-01,-5.200503789636934382e-01,-5.047888319430544612e-01,5.197007430644347004e-01,-4.870139101000732218e-01,8.539222718239846896e-03,-4.647015609315010565e-01,-4.827555857406263806e-01,-4.780446921510643765e-01,-5.043535175680349258e-01
-4.596201328734816904e-01,-4.917871312549607077e-01,-4.872520699867337601e-01,-4.985389522844129728e-01,4.941820268211217226e-01,1.934349181967166126e-02,-4.894813708538706121e-01,-4.975219678234796272e-01,-4.849388324097558822e-01,-4.659542829500764038e-01
-4.774267975298955302e-01,-5.136002951636894354e-01,-5.148178562109683165e-01,-5.093305169938727728e-01,-5.050648380177321650e-01,6.527069041205426150e-03,-5.097414757811256081e-01,-4.907968835643755634e-01,-5.069591675841057521e-01,-5.221870792756755364e-01
-3.041036113317101552e-01,-5.046548015007344956e-01,-4.953520813884513818e-01,-5.037894086030458851e-01,-4.963395211730184386e-01,-2.007959798109426250e-02,4.853521695560748528e-01,-4.702565009771478843e-01,-4.715065349247974935e-01,-4.824205552959164311e-01
-3.038794710966034596e-01,-5.224529359888909763e-01,-4.958609614053587911e-01,-4.852760611671301239e-01,-5.197575452942386764e-01,-1.581492226759874864e-03,-4.813863088594408368e-01,5.332664677967297040e-01,-5.214287152348879850e-01,-5.240501880208908725e-01
-4.230840502105386314e-01,-4.925013553173846481e-01,-4.950522753262063813e-01,-4.786789458852220291e-01,-4.900283571796834048e-01,1.976482234694413795e-02,-4.918334847355594897e-01,-4.812760085212466343e-01,4.707506215134439898e-01,-5.261395522141748549e-01
-3.356889698826026058e-01,-4.762667634872624345e-01,-4.970318414494594994e-01,-4.909597057828375410e-01,-5.155067033213072136e-01,-4.715180922813777022e-03,-4.525156849963993255e-01,-4.571132455647105575e-01,-4.801549880815171312e-01,5.078404816272942268e-01
-4.633259947032769555e-01,-5.105227396142979490e-01,-5.163812587499991835e-01,-4.726458288957369192e-01,-5.384678250165090274e-01,-7.440967427162248002e-03,-4.902368215406797125e-01,-4.969886741170791433e-01,-5.457868764521713878e-01,-4.872761555388695487e-01
-3.593942346914469899e-01,5.352428284270820402e-01,-4.905615748447328950e-01,-4.837599093070814038e-01,-5.321745161298900850e-01,3.537221042070207155e-02,-5.344301221245583156e-01,-5.127553486986873299e-01,-5.259850990416856664e-01,-5.430628494768529047e-01
-5.029318083117824134e-01,-4.922566748893634214e-01,5.083818129149277887e-01,-4.972302416854371132e-01,-5.004725282497833883e-01,1.795041050691791409e-04,-4.721485968604415828e-01,-4.884911761894760174e-01,-5.119002561409611296e-01,-5.206489830925581375e-01
-4.117184299176951945e-01,-4.930729921138428118e-01,-4.978384691298632370e-01,5.031119476534336998e-01,-4.911093763136329393e-01,5.140843608677819927e-03,-4.726246982825742515e-01,-4.941454809735795206e-01,-4.735701829374626137e-01,-4.990694169297500982e-01
-3.097200378571526302e-01,-5.212774374814986844e-01,-4.950134746575717837e-01,-4.761075564132200011e-01,4.848433425866610635e-01,-1.432461720969895221e-02,-4.658396501925990418e-01,-4.814979676842824907e-01,-4.657391269546072299e-01,-4.891466889112551231e-01
-4.508284504610945431e-01,-5.023871483925361758e-01,-4.822242184523220510e-01,-5.122256316850815061e-01,-5.217170463974312167e-01,-2.738557530141984102e-03,-4.725042857046814482e-01,-4.854175193735723037e-01,-4.911499170849731866e-01,-4.828626034797319777e-01
-2.902227470143614596e-01,-4.801745510724581001e-01,-5.049213151405972377e-01,-4.963385200358035321e-01,-5.108246122910958809e-01,4.254229553198789725e-03,5.142614053636409555e-01,-5.029668744399309332e-01,-4.853705083817738686e-01,-4.137279435479868650e-01
