s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
1.655196547508239746e-01,1.912809461355209351e-01,1.127932593226432800e-01,1.312039643526077271e-01,1.321494430303573608e-01,1.220236122608184814e-01,1.770495325326919556e-01,1.482166647911071777e-01,1.645599305629730225e-01,1.504133790731430054e-01
1.542852967977523804e-01,1.476867049932479858e-01,1.734246164560317993e-01,1.893765777349472046e-01,1.609680950641632080e-01,1.524931788444519043e-01,1.188215538859367371e-01,1.629600524902343750e-01,1.866530627012252808e-01,1.110438331961631775e-01
1.680550128221511841e-01,1.443628221750259399e-01,1.190008521080017090e-01,1.239808201789855957e-01,1.323791891336441040e-01,1.409383565187454224e-01,1.138863116502761841e-01,1.389677971601486206e-01,1.512618213891983032e-01,1.218511983752250671e-01
1.062698662281036377e-01,1.388348191976547241e-01,1.604399681091308594e-01,1.339275091886520386e-01,1.301121413707733154e-01,1.174343228340148926e-01,1.847988665103912354e-01,9.902674704790115356e-02,1.526313275098800659e-01,1.533570438623428345e-01
1.398131251335144043e-01,1.621211767196655273e-01,1.914141178131103516e-01,1.528054028749465942e-01,1.536972820758819580e-01,1.112617328763008118e-01,1.162467822432518005e-01,1.474414914846420288e-01,1.851018369197845459e-01,1.944853216409683228e-01
1.415937095880508423e-01,1.499905139207839966e-01,1.413630396127700806e-01,1.594329178333282471e-01,1.624334156513214111e-01,2.567207217216491699e-01,1.703863590955734253e-01,1.157696545124053955e-01,1.332781165838241577e-01,1.131456792354583740e-01
1.489361226558685303e-01,1.659203767776489258e-01,1.681925952434539795e-01,1.790863424539566040e-01,1.560779809951782227e-01,1.108000949025154114e-01,4.287867546081542969e-01,1.829924434423446655e-01,1.343657076358795166e-01,1.857538670301437378e-01
1.381001025438308716e-01,1.356151998043060303e-01,1.533077806234359741e-01,1.270465254783630371e-01,1.642988175153732300e-01,1.454333662986755371e-01,1.717040538787841797e-01,6.104769706726074219e-01,1.663226634263992310e-01,1.240429505705833435e-01
1.579222232103347778e-01,1.261195242404937744e-01,1.328798085451126099e-01,1.357307881116867065e-01,1.497715562582015991e-01,1.637850999832153320e-01,1.183787733316421509e-01,1.459779292345046997e-01,6.745396256446838379e-01,1.836806535720825195e-01
1.474258601665496826e-01,2.095553874969482422e-01,1.722413003444671631e-01,1.631949692964553833e-01,1.615048646926879883e-01,1.881208270788192749e-01,1.868505179882049561e-01,1.450350731611251831e-01,1.955607980489730835e-01,6.535552144050598145e-01
2.391971349716186523e-01,2.996261417865753174e-01,3.255690038204193115e-01,3.128935694694519043e-01,2.962759137153625488e-01,2.343232184648513794e-01,3.248710036277770996e-01,2.795977592468261719e-01,3.256593942642211914e-01,2.529236376285552979e-01
1.314943581819534302e-01,1.774029433727264404e-01,1.723569035530090332e-01,1.541314572095870972e-01,1.668229550123214722e-01,1.370690017938613892e-01,1.415645480155944824e-01,1.200968548655509949e-01,1.614630222320556641e-01,1.384422481060028076e-01
1.638416796922683716e-01,1.713519394397735596e-01,1.801593005657196045e-01,1.739563643932342529e-01,1.462277472019195557e-01,1.554663330316543579e-01,1.712646633386611938e-01,1.652447730302810669e-01,1.969121694564819336e-01,1.561231315135955811e-01
1.875126510858535767e-01,1.464637815952301025e-01,1.793117821216583252e-01,2.036942243576049805e-01,1.515140533447265625e-01,1.759137362241744995e-01,1.449370235204696655e-01,1.742863059043884277e-01,1.359728276729583740e-01,1.295208781957626343e-01
1.121931001543998718e-01,1.722503900527954102e-01,1.579536497592926025e-01,1.836176812648773193e-01,1.455035358667373657e-01,1.230673342943191528e-01,1.771241426467895508e-01,1.226051375269889832e-01,1.678445041179656982e-01,1.567259281873703003e-01
2.001977264881134033e-01,1.674124449491500854e-01,1.375342160463333130e-01,1.365580260753631592e-01,1.818276941776275635e-01,2.567207515239715576e-01,1.623345017433166504e-01,1.308838725090026855e-01,1.347140967845916748e-01,1.155927479267120361e-01
1.230086609721183777e-01,1.361498534679412842e-01,1.537478864192962646e-01,2.160651981830596924e-01,1.367624849081039429e-01,1.120080351829528809e-01,4.287866950035095215e-01,1.565873026847839355e-01,2.004691660404205322e-01,1.492805331945419312e-01
1.468133777379989624e-01,1.316982805728912354e-01,1.244831085205078125e-01,1.956462711095809937e-01,1.738275736570358276e-01,1.524369716644287109e-01,1.267007589340209961e-01,6.116234660148620605e-01,1.308284401893615723e-01,1.533480435609817505e-01
1.769808977842330933e-01,1.221594586968421936e-01,1.236094906926155090e-01,1.451360583305358887e-01,1.529587358236312866e-01,1.537019610404968262e-01,1.753884404897689819e-01,1.224484145641326904e-01,6.758719682693481445e-01,1.509002298116683960e-01
1.550070941448211670e-01,1.783434599637985229e-01,1.922208666801452637e-01,1.338885128498077393e-01,1.288144737482070923e-01,1.298370212316513062e-01,1.856402307748794556e-01,1.380774378776550293e-01,1.388397514820098877e-01,6.674157381057739258e-01
2.464926391839981079e-01,2.982919812202453613e-01,2.441184222698211670e-01,2.489215433597564697e-01,2.519924938678741455e-01,2.251761108636856079e-01,2.744919657707214355e-01,2.382790446281433105e-01,2.494839131832122803e-01,2.655078470706939697e-01
1.136394739151000977e-01,1.781443655490875244e-01,1.331325471401214600e-01,1.928340792655944824e-01,1.761093735694885254e-01,2.079121470451354980e-01,1.059522852301597595e-01,1.887718141078948975e-01,1.526111066341400146e-01,1.349165290594100952e-01
1.857178509235382080e-01,1.238167434930801392e-01,1.775547862052917480e-01,1.358086466789245605e-01,1.623183488845825195e-01,1.116351708769798279e-01,1.495141983032226562e-01,1.669118404388427734e-01,2.020280659198760986e-01,1.560069620609283447e-01
