s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
3.710743977091667922e+00,-4.585100060660936450e+00,-4.404424994201981747e+00,-4.396824068975549338e+00,-4.450232021466392851e+00,-4.727419677120320962e+00,-4.327889117590709489e+00,-4.270668114536240623e+00,-4.030861743143850262e+00,-3.433917832331216946e+00
-2.695425421846971759e+00,4.524498679671490109e+00,-4.608977570444871219e+00,-4.641410193403281426e+00,-4.350810988461049966e+00,-4.558735898102292516e+00,-4.398365033058134088e+00,-4.360726944403775285e+00,-4.215832837915530540e+00,-3.491978256520248181e+00
-2.916330936352458103e+00,-4.485726361304938514e+00,4.508855488457591321e+00,-4.624534701229179312e+00,-4.248829945463995728e+00,-4.678077807990213444e+00,-4.774392972042616812e+00,-4.177650708424686776e+00,-3.841268681522664430e+00,-3.458263815295456567e+00
-3.130652356007852077e+00,-4.523615787930267196e+00,-4.763627725864768792e+00,4.525578151073665012e+00,-4.434365460119425784e+00,-4.253656347961630502e+00,-4.307132871459935508e+00,-4.265211591323642359e+00,-3.923970722307724035e+00,-3.452868548291520234e+00
-5.011108986514908992e+00,-4.678695343574388765e+00,-4.741767943814911845e+00,-4.418315484495026091e+00,4.776176224067868681e+00,-4.512021191188908098e+00,-4.424999752936453312e+00,-4.062150277950042465e+00,-4.077108326341688738e+00,-3.391433788320124876e+00
-4.129352617147372229e+00,-4.515754913887422006e+00,-4.512112416551842919e+00,-4.560317690589166695e+00,-4.300601935987188540e+00,4.407637861971535287e+00,-4.212875762777989586e+00,-4.303997644167370851e+00,-3.920401787671695004e+00,-3.457841759341854448e+00
-4.102726792976706172e+00,-4.516587763719928539e+00,-4.548009072693030674e+00,-4.611624344291963773e+00,-4.564497498118831764e+00,-4.621633951416890262e+00,4.510232894873003495e+00,-3.976165958340215578e+00,-3.764106426277866291e+00,-3.764407513056609478e+00
-4.046102816907463762e+00,-4.522970708038593024e+00,-4.690377253563176474e+00,-4.655770864859987590e+00,-4.516230595198795328e+00,-4.611492854575134359e+00,-4.374749873245186826e+00,4.515662353946736651e+00,-3.950493817523402562e+00,-3.504832567645546071e+00
-3.850746761092433079e+00,-4.492837803391528162e+00,-4.558107937707995383e+00,-4.440484961996293833e+00,-4.340970943093704904e+00,-4.547368792175380925e+00,-4.596453647868851355e+00,-4.288350032650174448e+00,3.522581114484582443e+00,-3.355013261881529818e+00
-3.534343374166895924e+00,-4.697304981572000493e+00,-4.461827395329232893e+00,-4.584009885138646823e+00,-4.645225705365318980e+00,-4.258462229102040197e+00,-4.404944106088163558e+00,-4.667036802243064386e+00,-3.933125248811351948e+00,3.679553728094742571e+00
-4.573790689008557564e+00,-4.545948280972041289e+00,-4.553321053281534248e+00,-4.624935811192892210e+00,-4.631226698035558975e+00,-4.392451914463944007e+00,-4.787441960478560077e+00,-4.174687890871234153e+00,-3.584875185060405478e+00,-3.420464249393431189e+00
-3.775776226773954303e+00,4.747421609619649985e+00,-4.431448906685414357e+00,-4.561581196547521699e+00,-4.533515872273282454e+00,-4.409033428984526104e+00,-4.332026265075302085e+00,-4.450634115690075276e+00,-3.689821526009086750e+00,-3.393268038514919649e+00
-4.405223428296724641e+00,-4.545042172719420570e+00,4.741829930236660218e+00,-4.625299756795449468e+00,-4.470839708860640194e+00,-4.431621601103522323e+00,-4.503425661095442400e+00,-4.060105540966425508e+00,-4.126755627275533911e+00,-3.515443020573129740e+00
-3.810495090474326663e+00,-4.475584290373609164e+00,-4.486447754921982778e+00,4.488266739139267436e+00,-4.456237372269965746e+00,-4.513039630350424325e+00,-4.401032073371396791e+00,-4.257019671798656368e+00,-3.595353198647667003e+00,-3.247254297177481153e+00
-3.875422930380112430e+00,-4.786635996728096920e+00,-4.430608833720258488e+00,-4.423537215568428493e+00,4.661703092877889532e+00,-4.533054091634305394e+00,-4.233352372635821759e+00,-4.039976500265255233e+00,-3.670996833845820539e+00,-3.389787492739750441e+00
-2.760771172434810516e+00,-4.353377208423706790e+00,-4.406597255096306398e+00,-4.436433694754439827e+00,-4.411887862231746560e+00,4.471304801722893352e+00,-4.488906271749781851e+00,-4.196018491515181026e+00,-3.727496448029653298e+00,-3.500326777698726133e+00
-3.598706781008450317e+00,-4.518301793658645593e+00,-4.829476580357557225e+00,-4.454522626279679542e+00,-4.053972810160583862e+00,-4.666536090771665535e+00,4.491268258021181126e+00,-4.295853842916803167e+00,-3.740859116177611465e+00,-3.463868834796702600e+00
-4.231669582877517932e+00,-4.482415665594166043e+00,-4.799308762468943890e+00,-4.455616438953777347e+00,-4.505415517106837520e+00,-4.339686038238000698e+00,-3.939323913746676453e+00,4.475256571887250345e+00,-4.217446874998262984e+00,-3.649345960117314824e+00
-4.056504951223260491e+00,-4.443902249313457453e+00,-4.352938022673154883e+00,-4.383768505506839830e+00,-4.365075466858914233e+00,-4.473932731458037715e+00,-4.332053163696840237e+00,-3.923718355894696419e+00,3.875652120756243768e+00,-3.420064548321151587e+00
-4.443725732939419082e+00,-4.585048400367954358e+00,-4.373715434658629775e+00,-4.334192171308409947e+00,-4.467096768977691923e+00,-4.307234576232746193e+00,-4.437604773443040607e+00,-4.163926296939049365e+00,-3.778638289686193197e+00,3.338471527599430999e+00
-3.852281670085707432e+00,-4.704461568977577279e+00,-4.598391018317063761e+00,-4.596443093299293459e+00,-4.340721776125309184e+00,-4.379939775920192346e+00,-4.459356472554564021e+00,-4.463349213871117271e+00,-3.884070068494243078e+00,-3.537385520420375684e+00
-6.031246369821876563e+00,4.284714811943859836e+00,-4.439353337220195428e+00,-4.564304010912100473e+00,-4.431696775712222980e+00,-4.371689460194462029e+00,-4.367093976112121467e+00,-4.000285547162301114e+00,-3.945192526010215861e+00,-3.478935074287535567e+00
-4.608935312264220485e+00,-4.475859691278340158e+00,4.439812792476010017e+00,-4.524700256591863479e+00,-4.598236848614304151e+00,-4.633017169894602105e+00,-4.369951958983077311e+00,-4.263609542458081769e+00,-3.754770728742279129e+00,-3.213963204267655804e+00
-2.405646719116380172e+00,-4.493643190013690614e+00,-4.486926104129569381e+00,4.532208425718570410e+00,-4.403891221232250075e+00,-4.304053372137428113e+00,-4.379302128812906147e+00,-4.230979439161532518e+00,-3.769709496835800255e+00,-3.509250963831772818e+00
-3.830334194141289839e+00,-4.490903298066901250e+00,-4.154615999142101224e+00,-4.832570930990522484e+00,4.120882680826496447e+00,-4.372044200657650315e+00,-4.410677083071873561e+00,-4.305106249820443765e+00,-3.682620716314886522e+00,-3.145705866962512420e+00
