s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
8.849541097879409790e-02,1.053881421685218811e-01,8.262310028076171875e-01,8.016830682754516602e-01,8.022906631231307983e-02,1.057728976011276245e-01,7.195126265287399292e-02,9.883759170770645142e-02,9.628506004810333252e-02,1.148738190531730652e-01
1.586173772811889648e-01,1.109996438026428223e-01,2.005189955234527588e-01,2.089638859033584595e-01,1.024017035961151123e-01,1.852407604455947876e-01,1.467002779245376587e-01,1.581160873174667358e-01,1.289161741733551025e-01,1.611801236867904663e-01
1.067797020077705383e-01,7.245388627052307129e-02,9.279628843069076538e-02,8.583377301692962646e-02,8.485019207000732422e-02,9.957255423069000244e-02,8.030163496732711792e-02,8.171638846397399902e-02,7.421737909317016602e-02,1.238936930894851685e-01
1.167638227343559265e-01,1.615563929080963135e-01,1.186850219964981079e-01,1.342033892869949341e-01,1.488560438156127930e-01,1.548806726932525635e-01,1.275076866149902344e-01,1.685453951358795166e-01,1.525336802005767822e-01,1.550154983997344971e-01
9.201151877641677856e-02,6.605172157287597656e-02,7.292088121175765991e-02,7.831168174743652344e-02,8.256080746650695801e-02,6.763563305139541626e-02,1.054474338889122009e-01,9.651186317205429077e-02,7.917739450931549072e-02,1.226601824164390564e-01
1.061865165829658508e-01,7.553233206272125244e-02,1.126260012388229370e-01,9.938464313745498657e-02,7.365282624959945679e-02,1.073847636580467224e-01,6.018519029021263123e-02,7.320697605609893799e-02,9.275123476982116699e-02,8.825841546058654785e-02
1.446966081857681274e-01,1.443446576595306396e-01,1.769078224897384644e-01,1.714906394481658936e-01,1.616659462451934814e-01,1.009224876761436462e-01,1.383275687694549561e-01,1.918873190879821777e-01,1.179726049304008484e-01,1.692414283752441406e-01
7.086662203073501587e-02,9.930021315813064575e-02,1.047466769814491272e-01,8.198498934507369995e-02,7.544697076082229614e-02,1.137135028839111328e-01,6.996317207813262939e-02,7.931078076362609863e-01,8.510533571243286133e-01,5.979600921273231506e-02
1.401173919439315796e-01,1.666519641876220703e-01,1.423582732677459717e-01,1.524064689874649048e-01,1.816577762365341187e-01,1.513462662696838379e-01,1.495081633329391479e-01,1.631882041692733765e-01,1.593211442232131958e-01,1.539579480886459351e-01
8.172086626291275024e-02,8.656791597604751587e-02,1.225725412368774414e-01,1.198761388659477234e-01,1.104309260845184326e-01,1.160208582878112793e-01,8.413366973400115967e-02,8.926060795783996582e-02,9.477445483207702637e-02,9.843005239963531494e-02
1.102543398737907410e-01,7.545841485261917114e-02,9.656122326850891113e-02,1.038709059357643127e-01,8.763547241687774658e-02,8.791651576757431030e-02,1.054681837558746338e-01,7.052076607942581177e-02,9.719793498516082764e-02,8.935716003179550171e-02
8.320657908916473389e-02,7.062574476003646851e-02,8.340861648321151733e-02,1.020321696996688843e-01,7.671273350715637207e-01,8.529574871063232422e-01,1.059286668896675110e-01,1.192101538181304932e-01,8.272270113229751587e-02,9.615557640790939331e-02
7.292812317609786987e-02,7.815934717655181885e-02,8.466640114784240723e-01,7.823317050933837891e-01,8.404442667961120605e-02,9.199883788824081421e-02,1.126164197921752930e-01,9.400273114442825317e-02,7.750722020864486694e-02,9.058144688606262207e-02
1.381604820489883423e-01,1.378412693738937378e-01,1.701138317584991455e-01,1.570102423429489136e-01,1.198240816593170166e-01,1.224276274442672729e-01,1.027658134698867798e-01,1.207178458571434021e-01,1.274990737438201904e-01,1.169701889157295227e-01
6.925976276397705078e-02,9.159670770168304443e-02,1.027054190635681152e-01,1.097194477915763855e-01,6.897219270467758179e-02,7.287528365850448608e-02,1.188008412718772888e-01,9.438923746347427368e-02,9.902212023735046387e-02,9.524746239185333252e-02
1.310260295867919922e-01,1.210300177335739136e-01,1.782604008913040161e-01,1.479889154434204102e-01,1.245642527937889099e-01,1.096084713935852051e-01,1.740151196718215942e-01,1.346236020326614380e-01,1.446553021669387817e-01,1.614683568477630615e-01
1.278119236230850220e-01,1.716608554124832153e-01,1.738035678863525391e-01,1.401461064815521240e-01,1.751664727926254272e-01,1.706294268369674683e-01,1.535559445619583130e-01,1.149676740169525146e-01,1.323723345994949341e-01,1.599219739437103271e-01
1.559120565652847290e-01,1.602610647678375244e-01,1.340573281049728394e-01,1.695787459611892700e-01,1.423855423927307129e-01,1.827150881290435791e-01,1.298851966857910156e-01,1.684698909521102905e-01,1.391909718513488770e-01,1.466633975505828857e-01
1.624243706464767456e-01,1.416341513395309448e-01,1.959186792373657227e-01,1.206647008657455444e-01,1.498050987720489502e-01,1.615248173475265503e-01,1.978813856840133667e-01,1.569651812314987183e-01,1.539756804704666138e-01,1.769186556339263916e-01
1.346670836210250854e-01,1.528231948614120483e-01,1.125534623861312866e-01,1.619603186845779419e-01,1.422259360551834106e-01,1.816486120223999023e-01,1.514712125062942505e-01,1.502946764230728149e-01,1.456403732299804688e-01,1.257448345422744751e-01
1.402154862880706787e-01,1.376291364431381226e-01,1.557643562555313110e-01,1.357933729887008667e-01,1.220220252871513367e-01,2.111894339323043823e-01,1.820865571498870850e-01,1.631233841180801392e-01,1.636238396167755127e-01,1.691681593656539917e-01
8.331491798162460327e-02,7.769768685102462769e-02,9.071656316518783569e-02,7.838488370180130005e-02,7.245181500911712646e-02,8.615280687808990479e-02,7.761376351118087769e-02,7.240634411573410034e-02,1.097427085041999817e-01,1.203378662467002869e-01
1.081150621175765991e-01,6.637804210186004639e-02,8.306390792131423950e-02,8.789952099323272705e-02,8.088579028844833374e-02,1.235904544591903687e-01,8.041957765817642212e-02,8.975055068731307983e-02,8.747571706771850586e-02,8.401470631361007690e-02
1.658436208963394165e-01,1.364360898733139038e-01,1.431104391813278198e-01,1.434816867113113403e-01,1.569201648235321045e-01,1.349169313907623291e-01,1.365208774805068970e-01,1.029969379305839539e-01,1.603787839412689209e-01,1.440979987382888794e-01
9.364227950572967529e-02,6.386130303144454956e-02,8.320234715938568115e-02,6.924096494913101196e-02,6.773836165666580200e-02,6.659524142742156982e-02,9.865327924489974976e-02,1.292998194694519043e-01,6.349462270736694336e-02,8.311180025339126587e-02
6.910578161478042603e-02,7.857026904821395874e-02,5.088913813233375549e-02,8.108668029308319092e-02,6.455888599157333374e-02,8.206462860107421875e-02,9.787300229072570801e-02,1.198910102248191833e-01,8.986891061067581177e-02,9.125125408172607422e-02
1.204383894801139832e-01,1.409765332937240601e-01,1.063852384686470032e-01,1.559873074293136597e-01,1.167250722646713257e-01,1.876350939273834229e-01,1.605188846588134766e-01,1.405417770147323608e-01,1.151937916874885559e-01,1.841139197349548340e-01
1.893025189638137817e-01,1.649517863988876343e-01,1.303636580705642700e-01,1.434546709060668945e-01,1.320165693759918213e-01,1.272962689399719238e-01,1.459510475397109985e-01,1.864262819290161133e-01,1.239250302314758301e-01,1.314864009618759155e-01
8.412142097949981689e-02,9.202094376087188721e-02,1.178004369139671326e-01,8.334717154502868652e-02,1.089875549077987671e-01,8.845321089029312134e-02,9.172277152538299561e-02,8.367548882961273193e-02,6.542126536369323730e-01,7.852257490158081055e-01
6.152624264359474182e-02,8.960407227277755737e-02,9.015277773141860962e-02,1.312932670116424561e-01,9.615634381771087646e-02,8.923908323049545288e-02,1.193952336907386780e-01,1.065284162759780884e-01,7.189425826072692871e-02,7.347562909126281738e-02
1.057716384530067444e-01,1.175885871052742004e-01,1.454320102930068970e-01,1.909752637147903442e-01,1.696760952472686768e-01,1.866057962179183960e-01,1.581269204616546631e-01,1.363647729158401489e-01,1.926145404577255249e-01,1.384271681308746338e-01
5.941654741764068604e-02,6.698913872241973877e-02,1.050194799900054932e-01,9.310212731361389160e-02,8.291424065828323364e-02,1.011257693171501160e-01,9.745890647172927856e-02,7.739999890327453613e-02,8.630121499300003052e-02,8.113131672143936157e-02
7.604220509529113770e-02,1.054164841771125793e-01,6.162706390023231506e-02,9.600268304347991943e-02,7.767639309167861938e-02,6.910187005996704102e-02,9.242133796215057373e-02,9.698683768510818481e-02,9.423665702342987061e-02,1.161270216107368469e-01
1.433108299970626831e-01,1.669306308031082153e-01,1.822816580533981323e-01,1.695627570152282715e-01,1.429844498634338379e-01,1.444815844297409058e-01,1.794293820858001709e-01,1.639890372753143311e-01,1.001285389065742493e-01,1.526870727539062500e-01
8.649764955043792725e-02,8.061461895704269409e-02,8.375882357358932495e-02,8.249689638614654541e-02,7.896347343921661377e-02,6.574014574289321899e-02,7.689467817544937134e-02,9.383362531661987305e-02,1.050849333405494690e-01,9.467729181051254272e-02
1.446430087089538574e-01,1.531259566545486450e-01,1.664717495441436768e-01,1.086208000779151917e-01,1.251423358917236328e-01,1.530449688434600830e-01,1.487596631050109863e-01,1.469425410032272339e-01,1.629063040018081665e-01,1.696934401988983154e-01
1.366617083549499512e-01,1.291805058717727661e-01,1.626380085945129395e-01,1.254700273275375366e-01,1.301815062761306763e-01,1.571788042783737183e-01,1.565103232860565186e-01,1.864888072013854980e-01,1.731363385915756226e-01,1.460962891578674316e-01
1.442838907241821289e-01,1.708678603172302246e-01,1.100920364260673523e-01,2.089445739984512329e-01,1.360982954502105713e-01,1.665766537189483643e-01,1.429315358400344849e-01,1.620902419090270996e-01,1.532237529754638672e-01,1.180586889386177063e-01
1.379089057445526123e-01,1.390675455331802368e-01,1.076473370194435120e-01,1.027384921908378601e-01,1.297909468412399292e-01,1.209595650434494019e-01,1.402070075273513794e-01,1.797686517238616943e-01,1.369937062263488770e-01,1.385061144828796387e-01
1.068943664431571960e-01,7.549849152565002441e-02,9.187358617782592773e-02,7.387164235115051270e-02,9.075187146663665771e-02,6.772717088460922241e-02,8.548020571470260620e-02,9.915389865636825562e-02,6.104466319084167480e-02,9.017053991556167603e-02
1.052178144454956055e-01,7.624080777168273926e-02,9.699445962905883789e-02,8.133590966463088989e-02,1.058399751782417297e-01,9.535366296768188477e-02,9.640277177095413208e-02,1.023567914962768555e-01,1.011087521910667419e-01,9.385932981967926025e-02
1.205520555377006531e-01,1.146442517638206482e-01,8.664384484291076660e-02,7.534724473953247070e-02,9.438984841108322144e-02,7.683588564395904541e-02,8.227480202913284302e-02,9.148618578910827637e-02,7.435213029384613037e-02,8.929957449436187744e-02
8.055333048105239868e-02,1.182451248168945312e-01,8.751923590898513794e-02,7.801894098520278931e-02,8.409068733453750610e-02,1.066494956612586975e-01,9.751833975315093994e-02,1.261440217494964600e-01,8.963577449321746826e-02,6.574604660272598267e-02
1.052999645471572876e-01,9.440878778696060181e-02,9.801103174686431885e-02,8.429987728595733643e-02,9.114792943000793457e-02,9.386155754327774048e-02,8.418591022491455078e-01,7.928094267845153809e-01,1.075877994298934937e-01,9.538451582193374634e-02
1.001739352941513062e-01,8.127944171428680420e-02,9.179604798555374146e-02,7.911824434995651245e-02,8.723162859678268433e-02,7.104115933179855347e-02,9.822308272123336792e-02,1.047683805227279663e-01,1.187695264816284180e-01,8.253481984138488770e-02
1.528488844633102417e-01,1.604337692260742188e-01,1.417814493179321289e-01,1.476561278104782104e-01,1.828482300043106079e-01,1.320633739233016968e-01,1.914119869470596313e-01,1.650266796350479126e-01,1.591225713491439819e-01,1.654559820890426636e-01
8.675239235162734985e-02,5.981865152716636658e-02,9.997347742319107056e-02,8.604482561349868774e-02,7.274721562862396240e-02,6.644237041473388672e-02,5.675408616662025452e-02,9.701271355152130127e-02,8.289712667465209961e-02,8.577893674373626709e-02
1.339298933744430542e-01,1.873141080141067505e-01,1.303770542144775391e-01,1.258027553558349609e-01,1.617913991212844849e-01,1.503033638000488281e-01,1.429536342620849609e-01,1.203172057867050171e-01,1.533830314874649048e-01,1.624136418104171753e-01
5.964032188057899475e-02,9.059999883174896240e-02,7.928180694580078125e-02,8.040242642164230347e-02,8.404002338647842407e-02,6.902381777763366699e-02,9.039823710918426514e-02,1.072948873043060303e-01,1.095716655254364014e-01,9.320971369743347168e-02
1.241852715611457825e-01,1.306484788656234741e-01,1.336450576782226562e-01,1.359888762235641479e-01,1.490678340196609497e-01,1.328760236501693726e-01,1.401149332523345947e-01,1.907741129398345947e-01,1.749480217695236206e-01,1.213732883334159851e-01
1.871299892663955688e-01,1.866113841533660889e-01,1.863720118999481201e-01,1.935403794050216675e-01,1.652852594852447510e-01,1.549333482980728149e-01,1.912163496017456055e-01,1.384760439395904541e-01,1.611002683639526367e-01,1.355099678039550781e-01
