s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
-3.495456790092730803e-01,-3.768466215121157314e-01,3.844486473631186785e-01,3.906136091326946058e-01,-3.749716060867021028e-01,-3.742675821596207486e-01,-3.741893456716339217e-01,-3.756745722303553303e-01,-3.891687160442871551e-01,-3.535811549401356446e-01
-3.661141810492782867e-01,-3.674243434061397195e-01,-3.681999797191058410e-01,-3.820437208391417316e-01,-3.878773107495614436e-01,-3.711385607155570643e-01,-3.732886763990926893e-01,3.823022636033129307e-01,-3.814509972678157834e-01,-3.925259017091604630e-01
-3.844246869213525652e-01,-3.759986079902844502e-01,-3.929737546604116782e-01,3.782348298828198674e-01,3.745020251970511138e-01,-3.739571141846960156e-01,-3.609962516127350196e-01,-3.659953947556151554e-01,-3.882292772796861469e-01,-3.968864661681512640e-01
3.783715269046060148e-01,-3.945497065916168111e-01,-3.808131319366219181e-01,-3.942753793835880316e-01,-3.791953270928469233e-01,-3.802419460814286389e-01,-3.592391226226460121e-01,-3.679655675533478054e-01,-3.621534004912138061e-01,-3.456521778341808404e-01
-3.635902382719194970e-01,-3.899401952456234555e-01,-3.621351722327811329e-01,-3.726479196368926994e-01,-3.791772379394346415e-01,-3.667745181371837027e-01,-3.792192767839928647e-01,3.787376460868828176e-01,3.965475773158180783e-01,-3.961606024080511768e-01
3.996171870347837163e-01,3.674068391502066100e-01,-3.698154245635721926e-01,-3.883385199784457065e-01,-3.854862446674869325e-01,-3.921897438176774608e-01,-3.769978483584756068e-01,-3.727928417452775478e-01,-3.787273595021652395e-01,-3.961456098264662939e-01
-3.617318186864180718e-01,-3.682164916890338091e-01,-3.652990985860713469e-01,-3.812491672954788080e-01,-3.615376774394687964e-01,-3.896339142321491589e-01,3.836767883014363112e-01,-3.564675738371565483e-01,-3.695017779747774567e-01,-3.756835565954398937e-01
-3.630500081831870007e-01,-3.836686885464036800e-01,-3.745350092422456423e-01,-3.501128914844887086e-01,-3.663381661330438188e-01,-3.667925124056750641e-01,-3.792010483119950814e-01,3.643568430216193588e-01,3.769000869572938783e-01,-3.877015630820067615e-01
-3.777530405280790093e-01,-3.679344780868994413e-01,-3.643612321370363061e-01,-3.828246224816901355e-01,-3.646916191120862516e-01,-3.663720908941169863e-01,-3.825196656056972788e-01,-3.793840614243554343e-01,3.785177966267462835e-01,-3.914701123335014299e-01
-3.574891258918240222e-01,-3.753356839412299029e-01,-3.830471382416705262e-01,-3.948040280108069400e-01,-3.699036343420293860e-01,-3.535461706097500212e-01,3.650193501760526371e-01,3.841509418154050448e-01,-3.617886142359000301e-01,-3.733767296863409468e-01
-3.563503268235500010e-01,-3.554122617664106087e-01,-3.747818722139694136e-01,-3.594154559544512351e-01,-3.723696693287176229e-01,-3.674650878198832404e-01,3.798458085359137093e-01,3.796931448935728648e-01,-3.923221053906676969e-01,-3.699849178224652868e-01
-3.597008253661602151e-01,-3.776633386868414877e-01,-3.621281177353298242e-01,-3.632565794745893362e-01,3.767049610665447190e-01,3.819864191328999903e-01,-3.707406779407793618e-01,-3.678942472657607543e-01,-3.605597795539454697e-01,-3.749089505960849222e-01
