s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
5.196783560213188990e-02,7.121344273005172920e-02,-4.719731947243757664e-01,-4.619422989571711491e-01,7.075305707284830492e-02,6.455196065692583862e-02,7.408688567362395339e-02,5.288564623625183203e-02,5.356883452956195946e-02,2.101538889741461080e-02
8.141532602971465749e-02,1.065175222460272020e-01,1.081380863282349614e-01,1.172848770767288273e-01,1.039642575856937479e-01,1.015177811807997377e-01,1.338687421060505423e-01,-3.602631884398062034e-01,9.740026552691793960e-02,3.366148498887600038e-02
5.197274427859682050e-02,6.748299945942173861e-02,7.534937915631034766e-02,-4.648708970306437704e-01,-4.747989110014224634e-01,6.954842864011331893e-02,7.409437998600180986e-02,5.289333827482899791e-02,5.357410228537601293e-02,2.101846106403065795e-02
-3.578678309641356581e-01,1.347335837705994355e-01,1.081313776507879798e-01,1.172758434309699171e-01,1.039456012297305665e-01,1.015354184489926648e-01,1.155575341134823797e-01,8.321109492467154700e-02,8.406902270393623589e-02,3.368753523725559473e-02
5.197102128185542014e-02,6.748476499066834167e-02,6.869864455809787662e-02,7.452613913860534067e-02,6.618961884320218036e-02,6.456181326933992104e-02,7.866853275426292924e-02,-4.893177960659226833e-01,-4.814878103307220769e-01,2.500193778475962025e-02
-4.821724904163108283e-01,-4.705154891281286278e-01,7.246126448355330596e-02,7.454321578235584278e-02,6.620309303026178371e-02,6.458135834269579378e-02,7.410502476110111814e-02,5.290898693062068975e-02,5.357896100554010443e-02,2.102874898207579557e-02
8.140224597947263996e-02,1.065357919081838523e-01,1.081492384847258376e-01,1.172979351635383277e-01,1.039667379795228414e-01,1.198000404587359069e-01,-3.325457809601937709e-01,1.014815199764073778e-01,8.410692722890389383e-02,3.367194097585846091e-02
5.197102128185542014e-02,6.748476499066834167e-02,6.869864455809787662e-02,7.452613913860534067e-02,6.618961884320218036e-02,6.456181326933992104e-02,7.866853275426292924e-02,-4.893177960659226833e-01,-4.814878103307220769e-01,2.500193778475962025e-02
8.139449636670967325e-02,1.065397027574173927e-01,1.081500017362239524e-01,1.172955957893273699e-01,1.039676395316679464e-01,1.015387936058524815e-01,1.155942037889226420e-01,9.650225801897449607e-02,-3.569192693743959421e-01,4.993925237847757215e-02
5.196823399824613415e-02,6.747688528961347243e-02,6.869179260241919938e-02,7.451970351359141209e-02,6.618295332153797950e-02,6.912498301010479296e-02,-4.485395894755670465e-01,-5.011608511483114370e-01,5.689697556856926353e-02,2.101626210303536579e-02
5.196823399824613415e-02,6.747688528961347243e-02,6.869179260241919938e-02,7.451970351359141209e-02,6.618295332153797950e-02,6.912498301010479296e-02,-4.485395894755670465e-01,-5.011608511483114370e-01,5.689697556856926353e-02,2.101626210303536579e-02
5.196525875745221928e-02,6.746465362981993175e-02,6.868181191123071128e-02,7.907868594612302293e-02,-4.710073420300378566e-01,-4.762691407178685776e-01,7.864882223562030816e-02,5.287962036143552952e-02,5.356373228864674818e-02,2.101275962941984154e-02
5.196783560213188990e-02,7.121344273005172920e-02,-4.719731947243757664e-01,-4.619422989571711491e-01,7.075305707284830492e-02,6.455196065692583862e-02,7.408688567362395339e-02,5.288564623625183203e-02,5.356883452956195946e-02,2.101538889741461080e-02
8.141224545950431768e-02,1.214712238227356467e-01,-3.451879310654322186e-01,1.438634194419280976e-01,1.039641108672876291e-01,1.015270495740899781e-01,1.156015046334798596e-01,8.320754137939020967e-02,8.411180087544933848e-02,3.366549867324475365e-02
-4.821724904163108283e-01,-4.705154891281286278e-01,7.246126448355330596e-02,7.454321578235584278e-02,6.620309303026178371e-02,6.458135834269579378e-02,7.410502476110111814e-02,5.290898693062068975e-02,5.357896100554010443e-02,2.102874898207579557e-02
8.140224597947263996e-02,1.065357919081838523e-01,1.081492384847258376e-01,1.172979351635383277e-01,1.039667379795228414e-01,1.198000404587359069e-01,-3.325457809601937709e-01,1.014815199764073778e-01,8.410692722890389383e-02,3.367194097585846091e-02
8.141923445485699240e-02,1.065088856758175800e-01,1.081350872723238210e-01,1.172769338239799675e-01,1.238894000675606621e-01,-3.486880526279646508e-01,1.338622685107737631e-01,8.319721797249743367e-02,8.410994900923718376e-02,3.365934515902790913e-02
8.141016763266542555e-02,1.065327067784431758e-01,1.081462266629895363e-01,1.355630580236317495e-01,-3.459152288154442312e-01,1.214619162707717831e-01,1.156002977504241858e-01,8.321462803748147508e-02,8.411117884421037694e-02,3.366946478515886465e-02
8.140224597947263996e-02,1.065357919081838523e-01,1.081492384847258376e-01,1.172979351635383277e-01,1.039667379795228414e-01,1.198000404587359069e-01,-3.325457809601937709e-01,1.014815199764073778e-01,8.410692722890389383e-02,3.367194097585846091e-02
8.141135485354625279e-02,1.065276359102625692e-01,1.347184517279363114e-01,-3.393095158025453140e-01,1.222364646116477216e-01,1.015263717698924317e-01,1.156051261003229608e-01,8.321017596326685251e-02,8.411180496058434652e-02,3.366719851289995402e-02
8.141224545950431768e-02,1.214712238227356467e-01,-3.451879310654322186e-01,1.438634194419280976e-01,1.039641108672876291e-01,1.015270495740899781e-01,1.156015046334798596e-01,8.320754137939020967e-02,8.411180087544933848e-02,3.366549867324475365e-02
5.902625534790688355e-02,-4.770594647805266320e-01,-4.694106784177718428e-01,8.114874531105875644e-02,6.616623924502684773e-02,6.453713012218238732e-02,7.406969028325642579e-02,5.287320880753272612e-02,5.355832180278591315e-02,2.100996103019964201e-02
5.196783560213188990e-02,7.121344273005172920e-02,-4.719731947243757664e-01,-4.619422989571711491e-01,7.075305707284830492e-02,6.455196065692583862e-02,7.408688567362395339e-02,5.288564623625183203e-02,5.356883452956195946e-02,2.101538889741461080e-02
8.141135485354625279e-02,1.065276359102625692e-01,1.347184517279363114e-01,-3.393095158025453140e-01,1.222364646116477216e-01,1.015263717698924317e-01,1.156051261003229608e-01,8.321017596326685251e-02,8.411180496058434652e-02,3.366719851289995402e-02
5.129826767637702539e-02,6.668855820417837754e-02,6.785844414998562502e-02,7.361129697285284657e-02,6.535233407156809671e-02,6.375634541529870414e-02,7.305876823980494983e-02,5.569417284796965989e-02,-4.531265426598536372e-01,-5.389740178780716429e-01
5.197274427859682050e-02,6.748299945942173861e-02,7.534937915631034766e-02,-4.648708970306437704e-01,-4.747989110014224634e-01,6.954842864011331893e-02,7.409437998600180986e-02,5.289333827482899791e-02,5.357410228537601293e-02,2.101846106403065795e-02
-3.578678309641356581e-01,1.347335837705994355e-01,1.081313776507879798e-01,1.172758434309699171e-01,1.039456012297305665e-01,1.015354184489926648e-01,1.155575341134823797e-01,8.321109492467154700e-02,8.406902270393623589e-02,3.368753523725559473e-02
8.141224545950431768e-02,1.214712238227356467e-01,-3.451879310654322186e-01,1.438634194419280976e-01,1.039641108672876291e-01,1.015270495740899781e-01,1.156015046334798596e-01,8.320754137939020967e-02,8.411180087544933848e-02,3.366549867324475365e-02
5.129826767637702539e-02,6.668855820417837754e-02,6.785844414998562502e-02,7.361129697285284657e-02,6.535233407156809671e-02,6.375634541529870414e-02,7.305876823980494983e-02,5.569417284796965989e-02,-4.531265426598536372e-01,-5.389740178780716429e-01
