s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
9.731084853410720825e-02,1.149365231394767761e-01,8.154782652854919434e-02,1.168840304017066956e-01,8.283031731843948364e-02,9.090148657560348511e-02,8.265322446823120117e-02,7.334639132022857666e-02,1.055700182914733887e-01,8.104927092790603638e-02
1.496071219444274902e-01,1.925312280654907227e-01,1.213088259100914001e-01,1.390321403741836548e-01,1.294099539518356323e-01,1.202532798051834106e-01,1.522129029035568237e-01,1.230561807751655579e-01,1.540666371583938599e-01,1.679765880107879639e-01
1.107279658317565918e-01,1.182424277067184448e-01,8.984579145908355713e-02,9.429562836885452271e-02,7.998973876237869263e-02,8.654889464378356934e-02,9.916271269321441650e-02,7.263822853565216064e-02,9.181569516658782959e-02,8.478869497776031494e-02
1.429930627346038818e-01,1.875829100608825684e-01,1.579661816358566284e-01,1.265901178121566772e-01,1.724278032779693604e-01,1.580164730548858643e-01,1.574257910251617432e-01,1.418420523405075073e-01,1.587201505899429321e-01,1.868420392274856567e-01
9.544999152421951294e-02,1.108034104108810425e-01,7.780896127223968506e-02,1.095356121659278870e-01,9.903717786073684692e-02,9.830608963966369629e-02,6.562215834856033325e-02,8.668896555900573730e-02,9.843628853559494019e-02,1.021618172526359558e-01
7.606914639472961426e-02,7.560195028781890869e-02,9.552536159753799438e-02,7.108031213283538818e-02,7.728201150894165039e-02,1.252666711807250977e-01,8.927889168262481689e-02,7.955431938171386719e-02,9.413845092058181763e-02,1.154926642775535583e-01
1.483175456523895264e-01,1.601143330335617065e-01,1.455039978027343750e-01,1.922993063926696777e-01,1.392684131860733032e-01,1.453399062156677246e-01,1.141931042075157166e-01,1.087954863905906677e-01,1.610122174024581909e-01,1.584702581167221069e-01
8.033900707960128784e-02,8.775766938924789429e-02,1.054336652159690857e-01,6.480718404054641724e-02,1.034384444355964661e-01,1.270531266927719116e-01,6.036694347858428955e-02,8.064690232276916504e-02,7.835822552442550659e-02,1.175496503710746765e-01
1.923963874578475952e-01,1.545425206422805786e-01,1.611365377902984619e-01,1.588262468576431274e-01,1.461899131536483765e-01,1.635928153991699219e-01,1.341315209865570068e-01,1.303911507129669189e-01,1.427178829908370972e-01,1.298502683639526367e-01
8.094131946563720703e-02,8.714184165000915527e-02,8.240462094545364380e-02,7.764504104852676392e-02,8.821800351142883301e-02,8.418398350477218628e-02,1.179611906409263611e-01,1.094265952706336975e-01,9.127674251794815063e-02,7.594311982393264771e-02
9.592656791210174561e-02,1.019545942544937134e-01,9.578215330839157104e-02,6.974114477634429932e-02,5.780403688549995422e-02,8.744913339614868164e-02,1.016736030578613281e-01,7.651809602975845337e-02,1.055325195193290710e-01,8.736665546894073486e-02
8.290860056877136230e-02,7.934352010488510132e-02,1.126891598105430603e-01,1.055432483553886414e-01,1.208744868636131287e-01,1.007972732186317444e-01,9.952171146869659424e-02,9.689598530530929565e-02,8.837044984102249146e-02,9.429986774921417236e-02
7.921754568815231323e-02,6.300076097249984741e-02,1.381935477256774902e-01,9.678917378187179565e-02,1.132028475403785706e-01,6.557420641183853149e-02,7.106313854455947876e-02,9.696310013532638550e-02,9.498960524797439575e-02,1.067627817392349243e-01
1.177638471126556396e-01,1.839577853679656982e-01,1.801084727048873901e-01,1.556465178728103638e-01,1.279827058315277100e-01,1.646318733692169189e-01,1.804948002099990845e-01,1.393380910158157349e-01,1.498738974332809448e-01,1.902103871107101440e-01
5.969537422060966492e-02,7.102715224027633667e-02,1.074627637863159180e-01,7.690900564193725586e-02,1.040988937020301819e-01,9.439043700695037842e-02,9.292981028556823730e-02,9.918233752250671387e-02,1.160720139741897583e-01,6.180129200220108032e-02
1.442435979843139648e-01,1.304272264242172241e-01,1.361807286739349365e-01,1.713432073593139648e-01,1.890450716018676758e-01,1.216653808951377869e-01,1.430919915437698364e-01,1.075640171766281128e-01,1.261389255523681641e-01,1.644205451011657715e-01
1.615968048572540283e-01,1.865143924951553345e-01,1.542879194021224976e-01,1.751369386911392212e-01,1.160845309495925903e-01,1.219752654433250427e-01,1.491960436105728149e-01,1.376749575138092041e-01,1.433825641870498657e-01,1.322024613618850708e-01
1.307277232408523560e-01,1.756201088428497314e-01,1.267742365598678589e-01,1.189506575465202332e-01,1.861293762922286987e-01,1.684362739324569702e-01,1.799504905939102173e-01,1.557996273040771484e-01,1.446526199579238892e-01,1.791438311338424683e-01
1.452585458755493164e-01,1.295465826988220215e-01,1.920924186706542969e-01,1.349209100008010864e-01,2.130686491727828979e-01,1.226493641734123230e-01,1.366987377405166626e-01,1.351531893014907837e-01,1.227026805281639099e-01,1.122504994273185730e-01
1.362890899181365967e-01,1.881735175848007202e-01,1.971739828586578369e-01,1.998130381107330322e-01,1.416542232036590576e-01,1.601040959358215332e-01,1.047239378094673157e-01,1.220348998904228210e-01,1.050957143306732178e-01,1.524015069007873535e-01
1.441816538572311401e-01,1.148394942283630371e-01,1.375076919794082642e-01,1.590242534875869751e-01,1.059063374996185303e-01,1.134050041437149048e-01,1.214127764105796814e-01,1.370074301958084106e-01,1.980783790349960327e-01,1.254093647003173828e-01
7.493521273136138916e-02,8.829439431428909302e-02,7.750357687473297119e-02,1.219812259078025818e-01,1.055208593606948853e-01,8.312308788299560547e-02,5.615748837590217590e-02,8.337026834487915039e-02,9.318793565034866333e-02,7.677213102579116821e-02
8.897068351507186890e-02,8.019657433032989502e-02,1.108109503984451294e-01,9.424234181642532349e-02,9.248180687427520752e-02,6.903063505887985229e-02,8.165835589170455933e-02,7.939244061708450317e-02,8.661192655563354492e-02,5.613790452480316162e-02
1.077673733234405518e-01,1.767326444387435913e-01,1.909198313951492310e-01,1.269875615835189819e-01,1.446962952613830566e-01,1.394810080528259277e-01,1.197617873549461365e-01,1.507916748523712158e-01,1.367974132299423218e-01,1.885303407907485962e-01
8.306340128183364868e-02,9.456616640090942383e-02,6.770925968885421753e-02,7.157887518405914307e-02,9.027204662561416626e-02,1.214019432663917542e-01,9.639085084199905396e-02,8.730694651603698730e-02,8.397588878870010376e-02,7.087595015764236450e-02
8.366376906633377075e-02,1.010177806019783020e-01,9.316101670265197754e-02,9.901941567659378052e-02,9.500901401042938232e-02,7.692152261734008789e-02,1.044868901371955872e-01,8.710914850234985352e-02,1.010292768478393555e-01,1.218151152133941650e-01
1.457775831222534180e-01,1.759615242481231689e-01,1.566306203603744507e-01,1.266300529241561890e-01,1.520515680313110352e-01,1.420851051807403564e-01,1.383108943700790405e-01,1.643034666776657104e-01,1.574874371290206909e-01,1.392617225646972656e-01
1.365601718425750732e-01,1.796548366546630859e-01,1.025650873780250549e-01,1.325834244489669800e-01,1.380199939012527466e-01,1.521919071674346924e-01,1.573020666837692261e-01,1.333364546298980713e-01,1.120825558900833130e-01,1.596313565969467163e-01
1.004552766680717468e-01,1.011427119374275208e-01,7.888188958168029785e-02,8.429735898971557617e-02,7.998003065586090088e-02,9.662001579999923706e-02,8.921068161725997925e-02,1.110631972551345825e-01,5.727171152830123901e-02,6.486791372299194336e-02
8.377593755722045898e-02,1.086816191673278809e-01,8.297408372163772583e-02,9.106115996837615967e-02,9.305472671985626221e-02,8.673401921987533569e-02,1.077740266919136047e-01,6.878996640443801880e-02,8.203422278165817261e-02,5.888218805193901062e-02
1.603423804044723511e-01,1.923026144504547119e-01,1.124458834528923035e-01,1.523714214563369751e-01,1.975566893815994263e-01,1.688352525234222412e-01,1.106513589620590210e-01,1.284848004579544067e-01,1.502035707235336304e-01,1.136828958988189697e-01
1.069386228919029236e-01,9.442857652902603149e-02,8.095582574605941772e-02,7.354392856359481812e-02,8.515258878469467163e-02,1.162609755992889404e-01,9.600612521171569824e-02,7.755792140960693359e-02,1.102502942085266113e-01,8.976919203996658325e-02
9.889560192823410034e-02,8.043753355741500854e-02,1.094810515642166138e-01,9.241946041584014893e-02,6.812311708927154541e-02,6.351851671934127808e-02,9.451911598443984985e-02,1.166336834430694580e-01,8.129408210515975952e-02,9.391707926988601685e-02
1.593282669782638550e-01,1.830743849277496338e-01,1.642194688320159912e-01,1.110839694738388062e-01,1.194118484854698181e-01,1.391416192054748535e-01,1.484227776527404785e-01,1.879798918962478638e-01,1.645354181528091431e-01,1.402014344930648804e-01
9.045071154832839966e-02,7.876924425363540649e-02,9.102836996316909790e-02,1.095590665936470032e-01,9.254135191440582275e-02,7.484271377325057983e-02,9.602391719818115234e-02,9.591242671012878418e-02,1.001547276973724365e-01,8.953566104173660278e-02
1.633940041065216064e-01,1.451644301414489746e-01,1.524827331304550171e-01,1.714019328355789185e-01,1.342422366142272949e-01,1.424863338470458984e-01,1.684848815202713013e-01,1.353187114000320435e-01,1.321520507335662842e-01,1.315867155790328979e-01
1.246709004044532776e-01,1.224075034260749817e-01,1.481693834066390991e-01,1.944220513105392456e-01,1.166731640696525574e-01,1.211980804800987244e-01,1.517299860715866089e-01,1.567430943250656128e-01,1.971419453620910645e-01,1.840338259935379028e-01
1.693095117807388306e-01,1.441313475370407104e-01,1.234386786818504333e-01,1.492182314395904541e-01,1.120696067810058594e-01,1.806181371212005615e-01,1.446495205163955688e-01,2.005142569541931152e-01,1.777894347906112671e-01,1.472989916801452637e-01
1.762468665838241577e-01,1.635079085826873779e-01,1.451912522315979004e-01,1.044004335999488831e-01,1.242958530783653259e-01,1.940057277679443359e-01,1.572477668523788452e-01,1.227423399686813354e-01,1.853318810462951660e-01,1.160008013248443604e-01
1.100731641054153442e-01,7.000812143087387085e-02,1.102498546242713928e-01,1.035747975111007690e-01,7.110582292079925537e-02,5.570963397622108459e-02,8.053189516067504883e-02,7.535452395677566528e-02,9.136626869440078735e-02,9.917115420103073120e-02
1.141404137015342712e-01,8.144033700227737427e-02,6.333268433809280396e-02,1.015615686774253845e-01,8.637505024671554565e-02,8.509609103202819824e-02,1.220579445362091064e-01,9.180193394422531128e-02,7.536872476339340210e-02,7.956773042678833008e-02
9.391772747039794922e-02,7.024152576923370361e-02,1.056917011737823486e-01,8.189940452575683594e-02,8.451811224222183228e-02,6.470050662755966187e-02,1.028123646974563599e-01,1.151482090353965759e-01,1.186844035983085632e-01,6.892850250005722046e-02
9.355957061052322388e-02,1.071860566735267639e-01,9.332232922315597534e-02,9.916966408491134644e-02,7.729097455739974976e-02,8.368179947137832642e-02,8.468035608530044556e-02,9.399058669805526733e-02,8.064183592796325684e-02,9.126193821430206299e-02
1.024133786559104919e-01,9.896148741245269775e-02,7.876437902450561523e-02,8.484733849763870239e-02,8.454354107379913330e-02,1.171828284859657288e-01,8.447943627834320068e-02,8.898969739675521851e-02,8.059070259332656860e-02,5.776017904281616211e-02
9.518209099769592285e-02,6.753020733594894409e-02,9.893523901700973511e-02,7.946880161762237549e-02,7.618486136198043823e-02,6.971854716539382935e-02,9.816106408834457397e-02,1.030027940869331360e-01,8.418369293212890625e-02,6.733918935060501099e-02
1.384409368038177490e-01,1.344763338565826416e-01,2.123705744743347168e-01,1.782501786947250366e-01,1.588878929615020752e-01,1.439789831638336182e-01,1.314848512411117554e-01,1.470613777637481689e-01,1.475227475166320801e-01,1.441403776407241821e-01
8.393859118223190308e-02,8.540496975183486938e-02,6.828295439481735229e-02,9.486649185419082642e-02,8.692836761474609375e-02,1.023975387215614319e-01,7.526188343763351440e-02,1.176785081624984741e-01,8.950489014387130737e-02,9.380698949098587036e-02
1.431372016668319702e-01,1.364589780569076538e-01,1.255208402872085571e-01,1.304216384887695312e-01,1.293396055698394775e-01,1.270032376050949097e-01,1.848835647106170654e-01,1.696364432573318481e-01,1.268307417631149292e-01,1.709191054105758667e-01
7.489915937185287476e-02,7.492782175540924072e-02,8.888705819845199585e-02,1.078378930687904358e-01,1.247418522834777832e-01,9.170731902122497559e-02,7.973653078079223633e-02,8.162728697061538696e-02,9.836521744728088379e-02,8.283901214599609375e-02
1.561702638864517212e-01,1.295845657587051392e-01,1.323773264884948730e-01,1.870647817850112915e-01,1.406590342521667480e-01,1.917846202850341797e-01,1.386506110429763794e-01,1.575966924428939819e-01,1.516310125589370728e-01,1.720049083232879639e-01
1.662265509366989136e-01,1.124721914529800415e-01,1.770081818103790283e-01,1.281220912933349609e-01,1.625703722238540649e-01,1.969067901372909546e-01,1.260259598493576050e-01,1.135913282632827759e-01,1.966730803251266479e-01,1.299332529306411743e-01
1.835060864686965942e-01,1.782156825065612793e-01,1.063538268208503723e-01,1.435935944318771362e-01,1.223987191915512085e-01,1.421474963426589966e-01,1.002267748117446899e-01,1.470462828874588013e-01,1.618475615978240967e-01,1.062809154391288757e-01
9.375680983066558838e-02,1.099367514252662659e-01,1.278947591781616211e-01,1.142733842134475708e-01,9.265309572219848633e-02,7.856062054634094238e-02,5.257876962423324585e-02,7.779257744550704956e-02,6.612575054168701172e-02,6.989619135856628418e-02
1.617346256971359253e-01,1.553670018911361694e-01,1.692996323108673096e-01,1.373104900121688843e-01,1.313777118921279907e-01,1.552861630916595459e-01,1.676474511623382568e-01,1.547123193740844727e-01,1.150463744997978210e-01,1.885125339031219482e-01
7.399848848581314087e-02,8.533624559640884399e-02,7.198216766119003296e-02,8.293313533067703247e-02,8.536436408758163452e-02,6.824315339326858521e-02,9.900037944316864014e-02,8.932086825370788574e-02,8.626711368560791016e-02,8.414006233215332031e-02
