s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
-4.643404384622385805e+00,-3.544566356152881070e+00,2.877000390958882381e+00,2.964242788083766733e+00,-3.703939745091517466e+00,-2.987349109746714859e+00,-2.384495950984150348e+00,-2.841030284628527802e+00,-2.853936199951649932e+00,-2.739932100976997909e+00
-4.633390173623402220e+00,-3.613027234802033139e+00,-2.771599564192050114e+00,-2.956714826724077483e+00,-3.708978792544331604e+00,-3.161814181949870406e+00,-2.366344738210881093e+00,2.576746254403648795e+00,-2.899117211817817896e+00,-2.793356323295812071e+00
-4.733629769329155579e+00,-3.798214702693354372e+00,-2.797876168018808229e+00,2.798211796104520310e+00,3.834801697568944068e+00,-3.067260008850660746e+00,-2.426926260515969602e+00,-2.646709360450465898e+00,-2.810919825654641269e+00,-2.734467268417886565e+00
4.658366386143828031e+00,-3.516470684274392244e+00,-2.908317784416742491e+00,-3.080376221742343823e+00,-3.508811165804392118e+00,-2.819001567891767479e+00,-2.527108272690142599e+00,-2.838268871034372864e+00,-2.750961513229143840e+00,-2.604557721230937428e+00
-4.442161078627482773e+00,-3.501055175796969010e+00,-2.636964364040744080e+00,-2.940860108985841048e+00,-3.620091099246129041e+00,-2.779809446370260950e+00,-2.578090939040514229e+00,2.786659420174622426e+00,2.902468488695931992e+00,-2.545469338227131395e+00
4.456605917315150656e+00,3.375550055489439316e+00,-2.805394975635333132e+00,-3.022379143477015528e+00,-3.559309606366376499e+00,-3.250680542856519306e+00,-2.715677118952637414e+00,-2.734191649536280799e+00,-2.614040853190685354e+00,-2.632077102147401870e+00
-4.714233748463222184e+00,-3.692814099476644518e+00,-2.635251415874196201e+00,-3.006239408951221215e+00,-3.612018306597790662e+00,-3.254977412797952496e+00,2.388275104562789686e+00,-2.762510186540990009e+00,-2.873302366177791001e+00,-2.600146320638280883e+00
-4.789084553616589801e+00,-3.518579494180391620e+00,-2.499936419896114703e+00,-2.830374849715283414e+00,-3.614184516455400065e+00,-3.202221077764630941e+00,-2.566518414284874705e+00,2.591940732573422501e+00,2.878206087966675319e+00,-2.764054244967457663e+00
-4.350861840034906614e+00,-3.792511391354512096e+00,-2.805063944970191514e+00,-2.978227259073785493e+00,-3.600334060204946063e+00,-3.130837281365868918e+00,-2.446280130751343318e+00,-2.668208619213661148e+00,2.862746657228816272e+00,-2.737599249885579678e+00
-4.616595838794968820e+00,-3.725870165116569321e+00,-2.783932655200490824e+00,-2.837902268578828657e+00,-3.393627934272375857e+00,-3.235722702812342533e+00,2.587400929575369712e+00,2.846974312991559675e+00,-2.841702824907025082e+00,-2.689231244778713226e+00
-4.487430572915902971e+00,-3.563408031053528546e+00,-2.645884423418022546e+00,-2.684861658713072696e+00,-3.506947766531081090e+00,-3.324762764809769067e+00,2.840912840948466300e+00,2.873007759752426171e+00,-3.036634318452649861e+00,-2.959090494920272096e+00
-4.344312050739785214e+00,-3.798136141112398168e+00,-2.731680542736166117e+00,-3.018878420406042373e+00,3.928436779054822026e+00,2.966829469582219936e+00,-2.503778181442107620e+00,-2.564372094303542404e+00,-2.780695919994514043e+00,-2.805706041755292812e+00
-4.646704224075161704e+00,-3.841767227573537724e+00,2.919197896649364576e+00,3.181294388610831358e+00,-3.674326729199300701e+00,-2.922422382765669457e+00,-2.559890073876312400e+00,-2.494932653928253252e+00,-2.513092392532656927e+00,-2.616932618101131425e+00
-4.635164653448812899e+00,-3.781779563221878249e+00,2.803620315836452548e+00,-3.186283493717992688e+00,-3.629269762014225797e+00,-3.066713754855263652e+00,-2.593950831721939743e+00,-2.701452845716468154e+00,-2.834360487219042213e+00,-2.655232072278177924e+00
4.736763356756037879e+00,3.767228376361549280e+00,-2.686522005577993255e+00,-3.046714149397915072e+00,-3.660639268713093752e+00,-3.035551198576292631e+00,-2.483210380287145469e+00,-2.572092136538837615e+00,-2.751570301078299696e+00,-2.548447201576173882e+00
-4.515385602231464013e+00,-3.631363805500087416e+00,-2.735389594667701374e+00,-2.890947514204366353e+00,-3.576025564181344318e+00,-3.213866071130723423e+00,2.571890444840736478e+00,-2.621458903687391206e+00,-2.822997550520295107e+00,-2.499105896224592893e+00
-4.755002304348664666e+00,-3.575185113391379677e+00,-2.736182828850777682e+00,-2.991929195541815023e+00,-3.456193797723387195e+00,3.227675197770623949e+00,-2.698024550847954117e+00,-2.620315876567595126e+00,-2.847071705289997201e+00,-2.583537228746804360e+00
-4.569902726938679827e+00,-3.666750943311203326e+00,-3.017015389657083713e+00,-3.093724709105690529e+00,3.633386795125982172e+00,-3.063102635974373822e+00,-2.507338124010993763e+00,-2.498759337656262680e+00,-2.603827479920584942e+00,-2.703467754914947729e+00
-4.577754165397934116e+00,-3.772118279690587883e+00,-2.915175751654978775e+00,-3.079996165658537954e+00,-3.471875964295088046e+00,-3.029044487727921009e+00,2.594236572425140164e+00,-2.733967579106805879e+00,-2.901341600710490187e+00,-2.887087639567635922e+00
-4.588897917308187857e+00,-3.574875383409285678e+00,-2.676395263600694907e+00,3.046307431121344056e+00,-3.919076238865510931e+00,-3.013610175629422905e+00,-2.391926185823808559e+00,-2.560066516235045775e+00,-2.843294735156973729e+00,-2.632235861548580136e+00
-4.591065024509193293e+00,-3.928187935713245427e+00,2.626200304046463430e+00,-3.122228667491573351e+00,-3.591416323144072997e+00,-2.858696460705213660e+00,-2.510296021727203009e+00,-2.821696567904939723e+00,-2.926512590025979854e+00,-2.495835504182638331e+00
-4.524481530601136114e+00,3.769362868740274930e+00,2.803530052233845105e+00,-3.129672267642026107e+00,-3.556129686346319652e+00,-2.725177275875035221e+00,-2.429076270155111850e+00,-2.697448954213681471e+00,-2.780256693709042715e+00,-2.738045986648435903e+00
-4.638968711545454759e+00,-3.704172705691134659e+00,2.887727504468901252e+00,2.981057517302645454e+00,-3.657475733165318932e+00,-2.651458956358784480e+00,-2.445681599104878590e+00,-2.518706647877333005e+00,-2.833251752495139275e+00,-2.510797815760182683e+00
-4.917922593764223471e+00,-3.685873797804530838e+00,-2.943663528850067213e+00,2.788731906234684033e+00,-3.726064981071907312e+00,-3.010313885480584428e+00,-2.398925937850522772e+00,-2.534104673529789853e+00,-2.945121451700674076e+00,-2.874251238256598118e+00
-4.594835934583406889e+00,-3.705892408699585694e+00,-2.550374795687435636e+00,-2.927543152405975846e+00,-3.632718180425538623e+00,-2.925177852466174233e+00,-2.503928967544046813e+00,-2.797192990623476927e+00,2.877043323414746112e+00,2.736859664610268972e+00
