s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
4.914825888872140780e-01,6.890302340586937913e-01,-4.253505917847146378e+00,-4.265342343707869688e+00,7.758216286102905812e-01,3.919260872801143547e-01,4.317254940072692282e-01,3.668798474868117943e-01,3.729089630047432991e-01,1.477897249062811724e-01
8.116475801070489604e-01,4.829166786273297318e-01,5.970453664064400146e-01,6.503054458300284724e-01,5.304740451673665147e-01,6.755090890228729883e-01,1.201938921861343657e+00,-1.815228209964921291e+00,8.442140471339234509e-01,1.869829478263902445e-01
5.014099938074736418e-01,6.496848014394411841e-01,7.588598967989264032e-01,-4.051538518826160562e+00,-4.527824357906967911e+00,6.569574398199701237e-01,4.480612400571493126e-01,3.721458956996601675e-01,3.777794649600934029e-01,1.489361805121101057e-01
-3.100608564972864301e+00,1.267223745822902536e+00,1.036708023389179445e+00,1.119812928279238839e+00,9.808368303775788499e-01,9.465060331821406603e-01,1.055060642004008509e+00,7.426010998487437842e-01,6.502656650940572547e-01,1.868268561760650925e-01
5.452107379237809415e-01,3.874504806001966006e-01,4.934122797250727332e-01,5.396389019389916664e-01,4.452674341350760789e-01,4.970379626092789049e-01,7.339685216012099556e-01,-3.568451374201716320e+00,-3.940744563853980864e+00,1.597185554504361171e-01
-4.893890226940296628e+00,-3.864558225532356950e+00,7.229375702540028481e-01,7.347960466543799196e-01,6.451604630947080921e-01,6.364989742040618736e-01,6.188531287908525247e-01,4.151883054176952470e-01,4.052555437286606832e-01,1.425515321294401616e-01
8.392182825406364621e-01,7.302721165021214267e-01,5.863430756727844306e-01,6.527815318504962550e-01,6.025490351915344656e-01,1.203058865308757275e+00,-1.454485335508972188e+00,9.447096000512416047e-01,6.252861343224873636e-01,1.917834463119554300e-01
5.452107379237809415e-01,3.874504806001966006e-01,4.934122797250727332e-01,5.396389019389916664e-01,4.452674341350760789e-01,4.970379626092789049e-01,7.339685216012099556e-01,-3.568451374201716320e+00,-3.940744563853980864e+00,1.597185554504361171e-01
5.806669424374878430e-01,4.959821472962674394e-01,5.755170109271999790e-01,6.208289310733462463e-01,5.168398121396698963e-01,5.105335825085633994e-01,6.572483079036047782e-01,7.397057898243223351e-01,-2.249400306502964408e+00,2.557729365825665013e-01
5.868503845135361052e-01,4.770389488736740402e-01,4.818311750292749163e-01,5.566644683877599586e-01,4.737991954535187289e-01,7.087527188062655581e-01,-3.772140006532258560e+00,-4.334528674518056235e+00,5.217902467548816148e-01,1.376389061311842354e-01
5.868503845135361052e-01,4.770389488736740402e-01,4.818311750292749163e-01,5.566644683877599586e-01,4.737991954535187289e-01,7.087527188062655581e-01,-3.772140006532258560e+00,-4.334528674518056235e+00,5.217902467548816148e-01,1.376389061311842354e-01
5.104995034535717569e-01,6.789822597702319662e-01,5.475221746563903036e-01,7.529369803667020911e-01,-4.413597926811612560e+00,-4.211338583532710622e+00,7.069060222767254986e-01,3.886006975012515352e-01,3.810504199961757266e-01,1.498056493600179451e-01
4.914825888872140780e-01,6.890302340586937913e-01,-4.253505917847146378e+00,-4.265342343707869688e+00,7.758216286102905812e-01,3.919260872801143547e-01,4.317254940072692282e-01,3.668798474868117943e-01,3.729089630047432991e-01,1.477897249062811724e-01
7.866535932222981087e-01,1.183950966040290931e+00,-1.449802705407133852e+00,1.451054585417109077e+00,1.017983357151345469e+00,4.679126801490781640e-01,5.116039514938952593e-01,4.511044141054142420e-01,5.013297961552964921e-01,1.990779014825871940e-01
-4.893890226940296628e+00,-3.864558225532356950e+00,7.229375702540028481e-01,7.347960466543799196e-01,6.451604630947080921e-01,6.364989742040618736e-01,6.188531287908525247e-01,4.151883054176952470e-01,4.052555437286606832e-01,1.425515321294401616e-01
8.392182825406364621e-01,7.302721165021214267e-01,5.863430756727844306e-01,6.527815318504962550e-01,6.025490351915344656e-01,1.203058865308757275e+00,-1.454485335508972188e+00,9.447096000512416047e-01,6.252861343224873636e-01,1.917834463119554300e-01
7.893854850927967126e-01,1.044097095171605538e+00,5.456759792963686850e-01,6.386201513210928438e-01,1.281220625281330516e+00,-1.800436226077371860e+00,1.312418708853418270e+00,5.613006493598228230e-01,5.134248641530705370e-01,1.987227422396387055e-01
7.879458143711070006e-01,1.017053359389303191e+00,9.761093551317827632e-01,1.357775746027623853e+00,-2.035495180845249497e+00,1.238611520965885671e+00,5.988942677179953655e-01,4.640338526566819555e-01,5.062216025988313106e-01,1.991109592119908456e-01
8.392182825406364621e-01,7.302721165021214267e-01,5.863430756727844306e-01,6.527815318504962550e-01,6.025490351915344656e-01,1.203058865308757275e+00,-1.454485335508972188e+00,9.447096000512416047e-01,6.252861343224873636e-01,1.917834463119554300e-01
7.881332248846669719e-01,1.019208923021948321e+00,1.347039166927334719e+00,-1.517727621952683403e+00,1.288982349872587196e+00,5.063540429274230315e-01,5.184420935710236655e-01,4.620732474724434935e-01,5.048259417613403244e-01,1.991793565352786288e-01
7.866535932222981087e-01,1.183950966040290931e+00,-1.449802705407133852e+00,1.451054585417109077e+00,1.017983357151345469e+00,4.679126801490781640e-01,5.116039514938952593e-01,4.511044141054142420e-01,5.013297961552964921e-01,1.990779014825871940e-01
5.642867237726826302e-01,-4.654229905168201675e+00,-3.976976115465146844e+00,8.225989414652147280e-01,6.721829447547559289e-01,5.176602240800833865e-01,4.839007909496594873e-01,3.491372455557150145e-01,3.650816399256306966e-01,1.478441071907647952e-01
4.914825888872140780e-01,6.890302340586937913e-01,-4.253505917847146378e+00,-4.265342343707869688e+00,7.758216286102905812e-01,3.919260872801143547e-01,4.317254940072692282e-01,3.668798474868117943e-01,3.729089630047432991e-01,1.477897249062811724e-01
7.881332248846669719e-01,1.019208923021948321e+00,1.347039166927334719e+00,-1.517727621952683403e+00,1.288982349872587196e+00,5.063540429274230315e-01,5.184420935710236655e-01,4.620732474724434935e-01,5.048259417613403244e-01,1.991793565352786288e-01
4.644911699394373983e-01,4.253901941478238635e-01,4.995689204732556288e-01,5.386382260322541971e-01,4.479757337172807219e-01,4.447364447911568153e-01,5.380170642981902951e-01,5.456918956985067348e-01,-3.008642040625201908e+00,-3.307631419584152521e+00
5.014099938074736418e-01,6.496848014394411841e-01,7.588598967989264032e-01,-4.051538518826160562e+00,-4.527824357906967911e+00,6.569574398199701237e-01,4.480612400571493126e-01,3.721458956996601675e-01,3.777794649600934029e-01,1.489361805121101057e-01
-3.100608564972864301e+00,1.267223745822902536e+00,1.036708023389179445e+00,1.119812928279238839e+00,9.808368303775788499e-01,9.465060331821406603e-01,1.055060642004008509e+00,7.426010998487437842e-01,6.502656650940572547e-01,1.868268561760650925e-01
7.866535932222981087e-01,1.183950966040290931e+00,-1.449802705407133852e+00,1.451054585417109077e+00,1.017983357151345469e+00,4.679126801490781640e-01,5.116039514938952593e-01,4.511044141054142420e-01,5.013297961552964921e-01,1.990779014825871940e-01
4.644911699394373983e-01,4.253901941478238635e-01,4.995689204732556288e-01,5.386382260322541971e-01,4.479757337172807219e-01,4.447364447911568153e-01,5.380170642981902951e-01,5.456918956985067348e-01,-3.008642040625201908e+00,-3.307631419584152521e+00
-4.893890226940296628e+00,-3.864558225532356950e+00,7.229375702540028481e-01,7.347960466543799196e-01,6.451604630947080921e-01,6.364989742040618736e-01,6.188531287908525247e-01,4.151883054176952470e-01,4.052555437286606832e-01,1.425515321294401616e-01
8.392182825406364621e-01,7.302721165021214267e-01,5.863430756727844306e-01,6.527815318504962550e-01,6.025490351915344656e-01,1.203058865308757275e+00,-1.454485335508972188e+00,9.447096000512416047e-01,6.252861343224873636e-01,1.917834463119554300e-01
5.868503845135361052e-01,4.770389488736740402e-01,4.818311750292749163e-01,5.566644683877599586e-01,4.737991954535187289e-01,7.087527188062655581e-01,-3.772140006532258560e+00,-4.334528674518056235e+00,5.217902467548816148e-01,1.376389061311842354e-01
5.014099938074736418e-01,6.496848014394411841e-01,7.588598967989264032e-01,-4.051538518826160562e+00,-4.527824357906967911e+00,6.569574398199701237e-01,4.480612400571493126e-01,3.721458956996601675e-01,3.777794649600934029e-01,1.489361805121101057e-01
7.893854850927967126e-01,1.044097095171605538e+00,5.456759792963686850e-01,6.386201513210928438e-01,1.281220625281330516e+00,-1.800436226077371860e+00,1.312418708853418270e+00,5.613006493598228230e-01,5.134248641530705370e-01,1.987227422396387055e-01
5.104995034535717569e-01,6.789822597702319662e-01,5.475221746563903036e-01,7.529369803667020911e-01,-4.413597926811612560e+00,-4.211338583532710622e+00,7.069060222767254986e-01,3.886006975012515352e-01,3.810504199961757266e-01,1.498056493600179451e-01
8.116475801070489604e-01,4.829166786273297318e-01,5.970453664064400146e-01,6.503054458300284724e-01,5.304740451673665147e-01,6.755090890228729883e-01,1.201938921861343657e+00,-1.815228209964921291e+00,8.442140471339234509e-01,1.869829478263902445e-01
7.881332248846669719e-01,1.019208923021948321e+00,1.347039166927334719e+00,-1.517727621952683403e+00,1.288982349872587196e+00,5.063540429274230315e-01,5.184420935710236655e-01,4.620732474724434935e-01,5.048259417613403244e-01,1.991793565352786288e-01
7.893854850927967126e-01,1.044097095171605538e+00,5.456759792963686850e-01,6.386201513210928438e-01,1.281220625281330516e+00,-1.800436226077371860e+00,1.312418708853418270e+00,5.613006493598228230e-01,5.134248641530705370e-01,1.987227422396387055e-01
