s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
9.634636342525482178e-02,7.663263678550720215e-01,9.136667847633361816e-02,8.508344888687133789e-01,8.054111152887344360e-02,8.297513425350189209e-02,1.209439039230346680e-01,7.398955523967742920e-02,8.310346305370330811e-02,7.115057110786437988e-02
8.325999975204467773e-02,1.021690294146537781e-01,6.974612176418304443e-02,6.666207313537597656e-02,7.113165408372879028e-02,1.105499044060707092e-01,1.136787384748458862e-01,6.021071597933769226e-02,9.506573528051376343e-02,6.853417307138442993e-02
1.041189879179000854e-01,1.109747737646102905e-01,1.033193692564964294e-01,7.696200907230377197e-02,7.091137766838073730e-02,9.975650161504745483e-02,1.042289510369300842e-01,1.072239577770233154e-01,8.761290460824966431e-02,1.093228831887245178e-01
9.289693087339401245e-02,7.322213798761367798e-02,8.374541252851486206e-02,7.301100343465805054e-02,6.549679487943649292e-02,1.058061420917510986e-01,6.832390278577804565e-02,7.030843198299407959e-02,5.307482182979583740e-02,9.544878453016281128e-02
8.881013840436935425e-02,5.629145354032516479e-02,9.720097482204437256e-02,6.524169445037841797e-02,1.148501113057136536e-01,6.394907832145690918e-02,8.216203749179840088e-02,1.154527217149734497e-01,1.017422154545783997e-01,7.746447622776031494e-02
8.586555719375610352e-01,6.497439742088317871e-02,8.154757320880889893e-02,9.133353084325790405e-02,9.287839382886886597e-02,8.157849311828613281e-01,6.821946054697036743e-02,7.729695737361907959e-02,9.854874014854431152e-02,8.455616235733032227e-02
1.034915596246719360e-01,4.999818652868270874e-02,9.301450848579406738e-02,8.680735528469085693e-02,6.390040367841720581e-02,9.714776277542114258e-02,8.803453296422958374e-02,9.291556477546691895e-02,8.740572631359100342e-02,1.166979074478149414e-01
9.185074269771575928e-02,9.706427156925201416e-02,7.534814625978469849e-02,7.459661364555358887e-02,8.731661736965179443e-02,1.349458545446395874e-01,7.762680947780609131e-02,1.003153920173645020e-01,9.801603108644485474e-02,7.770099490880966187e-02
7.385889440774917603e-02,1.248265802860260010e-01,1.101593524217605591e-01,6.724993884563446045e-02,7.339568436145782471e-02,9.684437513351440430e-02,1.179244816303253174e-01,8.164719492197036743e-02,7.551838457584381104e-02,9.200108796358108521e-02
7.641623169183731079e-02,7.355435937643051147e-02,8.664973080158233643e-02,1.039820984005928040e-01,1.026046052575111389e-01,6.955011934041976929e-02,8.306878805160522461e-02,1.116787865757942200e-01,6.199076399207115173e-02,7.767349481582641602e-02
8.430365473031997681e-02,1.282709687948226929e-01,8.515614271163940430e-01,9.755746275186538696e-02,1.269855201244354248e-01,9.401714056730270386e-02,1.031370237469673157e-01,7.712532281875610352e-01,7.554005831480026245e-02,7.000586390495300293e-02
1.190649121999740601e-01,1.052036061882972717e-01,5.992360785603523254e-02,7.428158819675445557e-02,1.200060024857521057e-01,9.684590250253677368e-02,5.887948349118232727e-02,7.873491942882537842e-02,6.427829712629318237e-02,8.697827160358428955e-02
1.327331513166427612e-01,1.148416325449943542e-01,1.035190895199775696e-01,1.176910176873207092e-01,7.935068011283874512e-02,6.198223307728767395e-02,7.172121852636337280e-02,6.787204742431640625e-02,9.953532367944717407e-02,6.179958209395408630e-02
8.564114570617675781e-02,8.595979213714599609e-02,1.092665493488311768e-01,7.775224745273590088e-02,7.080773115158081055e-01,9.610988199710845947e-02,8.548460155725479126e-02,1.112689375877380371e-01,7.170858234167098999e-02,7.353749871253967285e-01
8.851681649684906006e-02,8.968584984540939331e-02,8.945732563734054565e-02,7.216512411832809448e-02,8.029913157224655151e-02,1.020730584859848022e-01,9.686338156461715698e-02,5.965761467814445496e-02,7.765441387891769409e-02,8.148448914289474487e-02
6.686416268348693848e-02,1.057141795754432678e-01,1.091426461935043335e-01,9.263403713703155518e-02,9.436473995447158813e-02,5.821208283305168152e-02,8.439194411039352417e-02,8.199123293161392212e-02,8.054918050765991211e-02,7.233663648366928101e-02
