s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
-3.142575501198302534e-01,3.296198139497855117e-01,-3.071730287516923341e-01,3.143877341518229729e-01,-2.957931725775266862e-01,-3.093643616201764424e-01,-3.259215000948063601e-01,-3.144163873110771834e-01,-3.110014166451829931e-01,-3.084913351767297196e-01
-2.933414099359409888e-01,-2.891806795633916627e-01,-3.077054012610610512e-01,-3.208638213416951102e-01,3.006575583684678032e-01,-3.075119678803041046e-01,-3.113485370369520333e-01,-3.252475402635905399e-01,-3.224132821700083085e-01,3.301855705068147961e-01
-3.111206628711508659e-01,-3.099110500740207552e-01,-2.990931475375206428e-01,3.364657826192969381e-01,-3.185187923545533817e-01,-3.201739658760290319e-01,-3.333154585390327718e-01,-3.104921439858356336e-01,3.230523452581278709e-01,-3.033420580068085237e-01
-3.270125119941516001e-01,-3.136620907553637205e-01,-3.082978974541550343e-01,3.112434720920818632e-01,-2.957244899054065623e-01,-3.177925518654866610e-01,-3.151340464038276945e-01,-3.085439072097193591e-01,3.257347587186834592e-01,-2.983136041963935781e-01
3.189512560442592237e-01,-3.040784582171882078e-01,-3.218066857907306844e-01,-3.255696636179065129e-01,-2.867137066005162049e-01,3.285362925668792178e-01,-3.298025799489697207e-01,-3.212600350750653422e-01,-3.063770076115753804e-01,-3.096264139472910681e-01
3.064397410163914870e-01,-3.064488875257014855e-01,-3.036342623579002531e-01,-3.287591227427396623e-01,-3.011575157388095558e-01,3.264879311835363618e-01,-3.194703430037472702e-01,-3.220665208764739162e-01,-3.005949907635630525e-01,-3.168293847188757284e-01
-3.000315019807928141e-01,-3.060759648631815044e-01,-2.995503505431051927e-01,-3.364586305128094978e-01,-3.167256138959485545e-01,-3.266885595782649254e-01,3.151116953755053740e-01,-3.224236784083550633e-01,3.193349447440430033e-01,-3.157059909036120660e-01
-2.947153107262534544e-01,-3.087070710370544702e-01,-3.173352212816928364e-01,-3.239948377178905603e-01,2.907759974884351895e-01,-3.104869566416103011e-01,3.236256146596463434e-01,-3.188866833640807141e-01,-3.212438129151335975e-01,-3.084688570569829591e-01
3.120291922794769524e-01,-3.045413933219707769e-01,-2.761483005120257128e-01,-3.239658530302166328e-01,-3.088423100295160650e-01,3.253559177124985546e-01,-3.054835182745606614e-01,-3.126902720997716822e-01,-3.026151134213668215e-01,-3.212469567487066802e-01
-2.956317526207650759e-01,-2.946337418771348138e-01,-3.188325971061357067e-01,3.468484439897185356e-01,-2.862962791359580095e-01,3.162907216768169882e-01,-3.013418083198868280e-01,-3.178515978063760627e-01,-2.972184740702168981e-01,-3.113780872999189486e-01
-3.004258108902517765e-01,-2.988846463663357156e-01,3.090867864428038514e-01,-3.287107537809657032e-01,-3.098165209325381975e-01,-3.356862949066298785e-01,-3.092687634010138908e-01,3.094781779379143227e-01,-3.143850408105461347e-01,-2.921237568137872165e-01
-3.177742433894734098e-01,-3.021230539873057674e-01,3.044214949175672036e-01,-3.245514882063565976e-01,-3.194376166512620241e-01,-3.142021907011650628e-01,-2.967225451869821562e-01,3.316487462860128188e-01,-2.909284821875666727e-01,-2.814494724303708839e-01
-3.036740531868651893e-01,-3.182709634066429039e-01,3.253063417917317346e-01,-3.124439794901412992e-01,-2.988653064607276200e-01,-3.137049272581432513e-01,-2.933202231961610784e-01,3.250501939439326415e-01,-2.973612281299105597e-01,-3.145348753242054318e-01
-3.181047708560932885e-01,-3.137487905898500018e-01,-3.064423191766152965e-01,-3.224605647392567165e-01,3.176991157029244728e-01,-3.119883975838519952e-01,-3.063886772441351547e-01,-2.996568240872882760e-01,-3.154182724746227851e-01,3.111165966275845629e-01
-2.972479473880374479e-01,-2.948408102704982992e-01,-3.199465438266031470e-01,-3.195478605629211155e-01,-2.973858450418425670e-01,-2.997406770990452829e-01,-3.216413235086372224e-01,3.015352318641716933e-01,-3.306935175825264639e-01,3.027746488683631942e-01
