s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
1.179994866251945496e-01,7.982462644577026367e-02,1.053421646356582642e-01,1.159984916448593140e-01,9.323813021183013916e-02,5.416427925229072571e-02,7.911650836467742920e-02,1.114410683512687683e-01,9.919709712266921997e-02,9.907549619674682617e-02
9.072565287351608276e-02,8.193363249301910400e-02,6.706192344427108765e-02,9.489732980728149414e-02,3.471171259880065918e-01,1.301284730434417725e-01,7.593517005443572998e-02,9.253820776939392090e-02,1.094122454524040222e-01,6.114415451884269714e-02
1.080359444022178650e-01,9.255364537239074707e-02,7.141559571027755737e-02,2.375570237636566162e-01,7.670786231756210327e-02,1.080833673477172852e-01,8.954420685768127441e-02,8.314673602581024170e-02,8.301228284835815430e-02,1.188044846057891846e-01
8.802360296249389648e-02,6.608179211616516113e-02,1.000497192144393921e-01,2.373192757368087769e-01,1.168637871742248535e-01,1.156216114759445190e-01,8.483812212944030762e-02,8.655185997486114502e-02,8.626470714807510376e-02,9.422150254249572754e-02
6.781779229640960693e-02,6.864647567272186279e-02,9.751591086387634277e-02,8.088699728250503540e-02,9.040722995996475220e-02,1.056662499904632568e-01,6.904654204845428467e-02,6.855432689189910889e-02,1.032471880316734314e-01,8.685724437236785889e-02
1.009631678462028503e-01,9.310743957757949829e-02,1.008049473166465759e-01,9.208949655294418335e-02,1.054155454039573669e-01,9.100611507892608643e-02,7.517769187688827515e-02,7.680879533290863037e-02,6.996248662471771240e-02,8.969371020793914795e-02
9.611205756664276123e-02,8.261784911155700684e-02,1.002636626362800598e-01,7.957932353019714355e-02,8.007389307022094727e-02,7.609605789184570312e-02,5.525406002998352051e-01,8.812402188777923584e-02,7.894067466259002686e-02,1.160341575741767883e-01
1.216762214899063110e-01,1.231441646814346313e-01,7.530531287193298340e-02,7.175026088953018188e-02,3.235480189323425293e-01,6.223002821207046509e-02,9.754918515682220459e-02,1.006496697664260864e-01,9.465584158897399902e-02,6.656832993030548096e-02
6.841953843832015991e-02,9.578279405832290649e-02,5.594496801495552063e-02,1.194506213068962097e-01,1.222180202603340149e-01,1.096099168062210083e-01,1.078709959983825684e-01,5.955088138580322266e-02,1.037266403436660767e-01,8.181525766849517822e-02
5.829542875289916992e-02,1.047549694776535034e-01,1.004620045423507690e-01,2.094103395938873291e-01,8.913546800613403320e-02,1.078376173973083496e-01,1.000923439860343933e-01,9.142676740884780884e-02,8.381957560777664185e-02,6.434278935194015503e-02
8.357943594455718994e-02,9.404743462800979614e-02,1.512586921453475952e-01,1.115343123674392700e-01,1.047406122088432312e-01,1.098344996571540833e-01,7.522208243608474731e-02,1.296320408582687378e-01,8.058153092861175537e-02,9.777094423770904541e-02
9.265570342540740967e-02,6.736878305673599243e-02,1.538290530443191528e-01,6.743592023849487305e-02,7.273791730403900146e-02,8.470022678375244141e-02,6.499487906694412231e-02,9.791592508554458618e-02,9.321589022874832153e-02,6.975948810577392578e-02
1.046627461910247803e-01,1.074316948652267456e-01,1.538029462099075317e-01,7.103493809700012207e-02,9.015565365552902222e-02,9.080716967582702637e-02,7.235655188560485840e-02,9.831701219081878662e-02,9.088007360696792603e-02,6.224214658141136169e-02
8.111407607793807983e-02,9.860187023878097534e-02,7.530855387449264526e-02,8.607831597328186035e-02,3.445470929145812988e-01,5.970886349678039551e-02,7.176949083805084229e-02,1.144781634211540222e-01,1.250723153352737427e-01,1.036859080195426941e-01
1.191127821803092957e-01,9.829203784465789795e-02,7.215261459350585938e-02,1.248499453067779541e-01,1.366961747407913208e-01,6.364553421735763550e-02,9.075567126274108887e-02,4.664300382137298584e-01,9.427690505981445312e-02,5.537313222885131836e-01
7.819619774818420410e-02,1.086293384432792664e-01,7.295499742031097412e-02,2.133351117372512817e-01,7.219722121953964233e-02,9.626717865467071533e-02,7.818705588579177856e-02,1.072945892810821533e-01,9.647721052169799805e-02,9.647832810878753662e-02
1.189610809087753296e-01,1.091990694403648376e-01,5.842268839478492737e-02,1.002393364906311035e-01,6.953198462724685669e-02,7.251793891191482544e-02,1.087218150496482849e-01,6.196887493133544922e-01,9.454252570867538452e-02,8.847631514072418213e-02
1.232171803712844849e-01,9.421364217996597290e-02,1.074524223804473877e-01,9.640260785818099976e-02,1.049567088484764099e-01,6.736867874860763550e-02,9.028389304876327515e-02,8.174645155668258667e-02,8.269907534122467041e-02,1.030351519584655762e-01
6.854324787855148315e-02,7.943029701709747314e-02,6.858959794044494629e-02,1.067933887243270874e-01,8.243525773286819458e-02,9.930061548948287964e-02,6.118510290980339050e-02,1.046366095542907715e-01,8.962562680244445801e-02,7.842453569173812866e-02
8.355257660150527954e-02,1.002013832330703735e-01,1.163171827793121338e-01,6.152470409870147705e-02,7.259870320558547974e-02,1.228474229574203491e-01,7.967051863670349121e-02,7.565110176801681519e-02,7.903240621089935303e-02,1.026097312569618225e-01
6.650515645742416382e-02,1.249515041708946228e-01,1.001948714256286621e-01,1.984736323356628418e-01,1.141996309161186218e-01,1.385635137557983398e-01,8.621691912412643433e-02,8.119563013315200806e-02,7.710672169923782349e-02,8.953141421079635620e-02
7.662276923656463623e-02,9.414392709732055664e-02,1.099435910582542419e-01,1.062107682228088379e-01,3.440448045730590820e-01,1.122388318181037903e-01,9.510181844234466553e-02,8.717213571071624756e-02,6.791079044342041016e-02,1.117901653051376343e-01
7.510141283273696899e-02,9.473222494125366211e-02,8.102134615182876587e-02,1.344861090183258057e-01,7.839411497116088867e-02,7.607841491699218750e-02,7.014141231775283813e-02,8.426631987094879150e-02,7.562918215990066528e-02,6.481938064098358154e-02
6.149530410766601562e-02,7.212968915700912476e-02,1.233407258987426758e-01,8.645515888929367065e-02,1.097289994359016418e-01,7.901807129383087158e-02,7.925958186388015747e-02,8.968544006347656250e-02,5.693329498171806335e-02,7.170950621366500854e-02
9.376556426286697388e-02,7.582412660121917725e-02,8.902925252914428711e-02,8.353339880704879761e-02,9.296194463968276978e-02,1.078252121806144714e-01,1.097489148378372192e-01,8.820410072803497314e-02,7.770475745201110840e-02,1.153413578867912292e-01
7.900896668434143066e-02,1.088102534413337708e-01,9.332825988531112671e-02,6.643738597631454468e-02,8.589629083871841431e-02,7.729035615921020508e-02,8.560807257890701294e-02,6.205973625183105469e-01,5.568392202258110046e-02,8.417312055826187134e-02
