s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
-1.692175793097598246e+00,1.860884242529453836e+00,-1.647340677552730392e+00,2.075226215032720756e+00,-1.755007905005874225e+00,-1.771482299920900338e+00,-1.661289628474872604e+00,-1.642369929021755270e+00,-1.427966257498159308e+00,-1.144910632157414510e+00
-1.813977375348767351e+00,-1.771535582892751925e+00,-1.908741422383730235e+00,-2.188777964759885286e+00,1.803525588374241151e+00,-1.780375528132584595e+00,-1.673406166449626253e+00,-1.574607812579871258e+00,-1.493639951685189260e+00,1.365796911320222629e+00
-1.833989231921568486e+00,-1.716855574883426439e+00,-1.991832428867138294e+00,2.011068352039384610e+00,-1.566395524399055272e+00,-1.584496355939560841e+00,-1.657966892526468117e+00,-1.512657982218090780e+00,1.499713954484322320e+00,-1.221725056401962384e+00
-1.663989335866548736e+00,-1.739725743187270579e+00,-1.871503143725530283e+00,2.029761321223987558e+00,-1.716542957560654337e+00,-1.828590954748990249e+00,-1.650522454511170523e+00,-1.638972626426952850e+00,1.531395750453916627e+00,-1.210168807506954547e+00
1.823314177618416743e+00,-1.695609943644481143e+00,-1.957318656974471827e+00,-1.986617976159105625e+00,-1.680282503141902861e+00,1.833217883179743213e+00,-1.743080806391354987e+00,-1.613696111348610129e+00,-1.462447240498246037e+00,-1.100000668780040547e+00
1.816138996438035447e+00,-1.792423248867853092e+00,-1.852344477650219146e+00,-1.867789420659909272e+00,-1.644239289242968916e+00,1.828198990398599788e+00,-1.702988160529155914e+00,-1.579644047837057919e+00,-1.444942131694691323e+00,-1.204972205972168808e+00
-1.664300993774487036e+00,-1.861254755322867993e+00,-1.864428041767546285e+00,-1.979173678810616011e+00,-1.705293686150107568e+00,-1.882389828122682740e+00,1.738881056258413826e+00,-1.661470306729800228e+00,1.487958877826414339e+00,-1.332810323324500779e+00
-1.653045884636205942e+00,-1.757818263960942540e+00,-1.825022684949918705e+00,-1.924251180670579320e+00,1.788478735256457508e+00,-1.743236092342983046e+00,1.606048065430863536e+00,-1.626464222408078752e+00,-1.366696539631827578e+00,-1.152240008209661104e+00
1.890649390045195721e+00,-1.753571064495657472e+00,-1.751450827985616687e+00,-1.993363429846117585e+00,-1.720663516460709364e+00,1.838412279725024856e+00,-1.712460097005933823e+00,-1.540714641082573388e+00,-1.447347316226395453e+00,-1.167942511402720651e+00
-1.574748220309405866e+00,-1.780174427406203241e+00,-1.753513005035263861e+00,2.031726217344763885e+00,-1.692321248456226668e+00,1.767966380824961714e+00,-1.583256290662742760e+00,-1.564825010567242769e+00,-1.373306952067804509e+00,-1.040803582527622284e+00
