s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
9.602977335453033447e-02,7.640660554170608521e-02,6.073772534728050232e-02,2.517428398132324219e-01,4.009301066398620605e-01,1.172242537140846252e-01,7.520226389169692993e-02,1.005875766277313232e-01,1.051320508122444153e-01,1.126424521207809448e-01
8.237383514642715454e-02,9.144194424152374268e-02,9.668599069118499756e-02,2.674154639244079590e-01,3.869005143642425537e-01,5.381580069661140442e-02,9.964960068464279175e-02,1.061854287981987000e-01,9.774747490882873535e-02,5.861496552824974060e-02
5.047791078686714172e-02,7.636884599924087524e-02,7.474736869335174561e-02,6.415450572967529297e-02,5.826865509152412415e-02,4.530067369341850281e-02,4.446074366569519043e-02,6.111453101038932800e-02,7.527425885200500488e-01,4.333713278174400330e-02
7.312179803848266602e-01,9.045422077178955078e-02,4.061814248561859131e-01,6.714712083339691162e-02,5.775447189807891846e-02,5.187231302261352539e-02,5.525967106223106384e-02,5.680575221776962280e-02,6.056428700685501099e-02,5.597148090600967407e-02
7.370224595069885254e-02,7.784043997526168823e-02,1.566911935806274414e-01,7.121182084083557129e-01,1.088666617870330811e-01,9.787377715110778809e-02,1.091791391372680664e-01,1.236498132348060608e-01,7.123840600252151489e-02,1.091613173484802246e-01
5.201460421085357666e-02,7.109823077917098999e-02,6.466020643711090088e-02,2.158780395984649658e-01,3.419438898563385010e-01,1.180520951747894287e-01,5.302954465150833130e-02,6.629543006420135498e-02,5.190874636173248291e-02,5.565042048692703247e-02
1.144266948103904724e-01,1.212107464671134949e-01,1.026099473237991333e-01,1.101462393999099731e-01,1.151981651782989502e-01,7.497543841600418091e-02,9.503655135631561279e-02,6.153079122304916382e-02,8.443412184715270996e-02,1.324984282255172729e-01
4.898314923048019409e-02,5.905517563223838806e-02,8.305334299802780151e-02,5.389497056603431702e-02,5.614554509520530701e-02,4.178010299801826477e-02,5.000321939587593079e-02,7.819396257400512695e-02,7.495717406272888184e-01,5.847688764333724976e-02
6.358824670314788818e-02,5.559977144002914429e-02,3.510614112019538879e-02,8.083059638738632202e-02,7.195004820823669434e-02,7.778398394584655762e-01,6.719394028186798096e-02,3.531021252274513245e-02,5.847342684864997864e-02,7.420109957456588745e-02
7.079317420721054077e-02,1.046642214059829712e-01,1.057952642440795898e-01,7.005246877670288086e-01,5.208754912018775940e-02,7.834359258413314819e-02,6.102428957819938660e-02,6.486358493566513062e-02,8.018321543931961060e-02,6.720057874917984009e-02
7.870043069124221802e-02,1.045594364404678345e-01,1.270370930433273315e-01,7.123367190361022949e-01,6.906668096780776978e-02,1.027124673128128052e-01,1.134949997067451477e-01,9.174977242946624756e-02,9.193834662437438965e-02,8.857841044664382935e-02
7.254984378814697266e-01,6.863112747669219971e-02,4.417830407619476318e-01,6.839879602193832397e-02,8.488001674413681030e-02,6.192018464207649231e-02,6.395044922828674316e-02,6.829041987657546997e-02,4.688926413655281067e-02,4.320044070482254028e-02
7.719553261995315552e-02,6.309863924980163574e-02,4.480127245187759399e-02,1.937297135591506958e-01,3.339644670486450195e-01,1.540495902299880981e-01,8.010873943567276001e-02,3.849447518587112427e-02,4.329997301101684570e-02,5.899283289909362793e-02
1.119668483734130859e-01,9.575677663087844849e-02,9.168784320354461670e-02,7.290124148130416870e-02,4.777760207653045654e-01,1.926950067281723022e-01,1.045860499143600464e-01,6.859439611434936523e-02,8.511377871036529541e-02,7.682629674673080444e-02
7.390738278627395630e-02,7.563994824886322021e-02,1.599968075752258301e-01,6.904423236846923828e-01,1.008547917008399963e-01,1.211571916937828064e-01,9.828983247280120850e-02,8.853539824485778809e-02,7.128503173589706421e-02,1.294670104980468750e-01
1.225410848855972290e-01,7.685738056898117065e-02,5.977365374565124512e-02,7.689704000949859619e-02,5.552257969975471497e-02,5.423453822731971741e-02,1.139669045805931091e-01,1.102846860885620117e-01,7.420346140861511230e-01,8.180107176303863525e-02
7.499271035194396973e-01,6.526789814233779907e-02,2.999351620674133301e-01,5.377649143338203430e-02,5.195015668869018555e-02,7.729933410882949829e-02,5.349332094192504883e-02,7.764334976673126221e-02,6.261960417032241821e-02,5.331552401185035706e-02
7.793221473693847656e-01,9.535454958677291870e-02,7.458262890577316284e-02,8.384275436401367188e-02,1.301901936531066895e-01,8.582320809364318848e-02,7.534527033567428589e-02,1.060986071825027466e-01,5.784263834357261658e-02,8.461220562458038330e-02
8.811804652214050293e-02,9.889496862888336182e-02,1.067369356751441956e-01,7.365722209215164185e-02,1.316961646080017090e-01,1.212698519229888916e-01,9.902787953615188599e-02,5.428315699100494385e-02,8.158073574304580688e-02,1.072629094123840332e-01
7.704514265060424805e-01,5.026444420218467712e-02,2.001443803310394287e-01,5.613498762249946594e-02,5.736075341701507568e-02,6.505069881677627563e-02,5.356350541114807129e-02,7.087508589029312134e-02,7.491151988506317139e-02,5.366050824522972107e-02
7.289145886898040771e-02,6.921504437923431396e-02,5.084069818258285522e-02,2.403592467308044434e-01,3.210638165473937988e-01,1.168336346745491028e-01,5.289746448397636414e-02,7.031089067459106445e-02,4.443999379873275757e-02,7.423290610313415527e-02
7.298062741756439209e-02,7.111965119838714600e-02,8.595344424247741699e-02,8.954148739576339722e-02,1.208873614668846130e-01,8.592539280652999878e-02,1.153588816523551941e-01,1.451798528432846069e-01,7.170007824897766113e-01,8.011922985315322876e-02
7.243403047323226929e-02,6.257967650890350342e-02,5.876025184988975525e-02,4.748619347810745239e-02,5.182952284812927246e-01,1.448188424110412598e-01,5.993935093283653259e-02,7.714860141277313232e-02,5.748802050948143005e-02,4.820395633578300476e-02
4.420669749379158020e-02,5.142509564757347107e-02,5.377778783440589905e-02,1.664104759693145752e-01,3.980070352554321289e-01,1.030274704098701477e-01,5.688633397221565247e-02,7.362135499715805054e-02,5.335432291030883789e-02,4.124129191040992737e-02
6.512384116649627686e-02,6.621861457824707031e-02,7.463551312685012817e-02,5.515257641673088074e-02,5.984004214406013489e-02,3.476928919553756714e-02,7.131023705005645752e-02,8.246476203203201294e-02,7.356316447257995605e-01,6.188844144344329834e-02
8.309076726436614990e-02,6.367378681898117065e-02,1.063739508390426636e-01,8.841278403997421265e-02,7.938684523105621338e-02,1.065805256366729736e-01,1.043751984834671021e-01,1.288207322359085083e-01,7.189607024192810059e-01,9.443748742341995239e-02
7.192896306514739990e-02,1.069909110665321350e-01,1.374037861824035645e-01,7.139601707458496094e-01,9.489028900861740112e-02,1.037138253450393677e-01,1.103233173489570618e-01,6.944055110216140747e-02,6.957709044218063354e-02,5.790659040212631226e-02
1.217983812093734741e-01,6.476687639951705933e-02,6.355015188455581665e-02,9.014920145273208618e-02,6.589515507221221924e-02,1.108490079641342163e-01,6.579341739416122437e-02,1.302587240934371948e-01,7.351659536361694336e-01,7.833488285541534424e-02
7.527920603752136230e-02,4.957660660147666931e-02,7.491562515497207642e-02,5.540585517883300781e-02,5.393902659416198730e-01,1.176007762551307678e-01,5.946229770779609680e-02,5.123673006892204285e-02,5.237955227494239807e-02,4.218168929219245911e-02
6.769727170467376709e-02,4.673717170953750610e-02,5.323469266295433044e-02,2.732095420360565186e-01,3.881545960903167725e-01,6.297692656517028809e-02,4.559558257460594177e-02,5.917103216052055359e-02,6.348948925733566284e-02,5.259449779987335205e-02
6.933408975601196289e-02,6.001473590731620789e-02,6.716041266918182373e-02,2.736895382404327393e-01,2.865215241909027100e-01,1.227901130914688110e-01,7.629501074552536011e-02,4.184670373797416687e-02,5.178935825824737549e-02,5.975139141082763672e-02
8.624960482120513916e-02,4.430218413472175598e-02,7.077562808990478516e-02,7.645861059427261353e-02,5.789641141891479492e-01,6.637320667505264282e-02,5.300802364945411682e-02,5.178284645080566406e-02,5.397459492087364197e-02,6.225457787513732910e-02
7.887013256549835205e-02,6.038630008697509766e-02,8.619277924299240112e-02,4.502454027533531189e-02,5.971011519432067871e-01,3.276621177792549133e-02,5.896050482988357544e-02,6.871133297681808472e-02,4.982190206646919250e-02,5.228119343519210815e-02
7.031086087226867676e-02,6.083589419722557068e-02,7.561358064413070679e-02,2.008562386035919189e-01,3.069042265415191650e-01,1.809289306402206421e-01,4.627504944801330566e-02,5.690490454435348511e-02,7.653275132179260254e-02,6.927434355020523071e-02
8.914073556661605835e-02,8.291339874267578125e-02,7.571042329072952271e-02,7.769066095352172852e-02,6.682044267654418945e-02,1.222056746482849121e-01,8.474458009004592896e-02,1.327751278877258301e-01,7.505893111228942871e-01,8.423308283090591431e-02
6.472806632518768311e-02,7.637316733598709106e-02,3.985967487096786499e-02,5.613338574767112732e-02,4.964777827262878418e-01,1.740715652704238892e-01,7.210909575223922729e-02,6.566060334444046021e-02,5.162923783063888550e-02,5.800093337893486023e-02
7.892650961875915527e-01,1.225372478365898132e-01,6.550554931163787842e-02,8.794510364532470703e-02,7.765537500381469727e-02,1.001575887203216553e-01,7.652948796749114990e-02,5.538491904735565186e-02,5.940510332584381104e-02,8.312923461198806763e-02
9.865108877420425415e-02,8.678568154573440552e-02,8.524208515882492065e-02,3.427628278732299805e-01,3.193269670009613037e-01,7.868872582912445068e-02,9.809974581003189087e-02,9.752490371465682983e-02,8.044128865003585815e-02,5.958823859691619873e-02
6.996599584817886353e-02,8.076279610395431519e-02,1.127781048417091370e-01,9.058333188295364380e-02,8.478286862373352051e-02,8.011740446090698242e-02,9.595994651317596436e-02,1.253061741590499878e-01,8.727795630693435669e-02,1.148237511515617371e-01
9.086573123931884766e-02,8.800008147954940796e-02,7.667417824268341064e-02,1.013457924127578735e-01,9.794881194829940796e-02,6.712874770164489746e-02,9.117178618907928467e-02,1.020791381597518921e-01,7.165189385414123535e-01,1.138855218887329102e-01
