s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
-1.381524392508762245e-01,-2.924182676592957438e-03,-1.308291725866507320e-02,-3.197071638358196521e-01,-3.211043024673149171e-01,2.805970149206610254e-01,-4.114776964104113061e-03,4.616498219233293974e-03,-1.851507458735531242e-01,0.000000000000000000e+00
-1.522446097931768882e-01,-3.239689563127620079e-03,1.630792015181824596e-04,-3.172600444123989116e-01,-3.134677646190785483e-01,2.757149030341173868e-01,-7.141750938678722953e-03,7.225634805049440182e-03,-1.952913379448328046e-01,0.000000000000000000e+00
-9.699059892494114876e-02,-1.517431560468017297e-02,-2.477561927831290617e-02,3.192454517956314075e-01,3.280939374591733682e-01,2.990099069454538738e-01,5.322768789771914824e-03,3.632174918681696854e-03,1.080933499798717584e-01,0.000000000000000000e+00
1.614365156854753180e-01,1.916219600653983404e-02,2.392493989238945670e-02,3.200250667598765197e-01,3.189039465417624064e-01,2.770304792203983069e-01,-1.095656093087738620e-02,2.138202722019371012e-03,-1.196209566043417161e-01,0.000000000000000000e+00
-1.225471500537100022e-01,6.140237961695226704e-03,2.595805788714681400e-02,-3.347280170709904801e-01,3.114143362769183354e-01,2.998485493160791271e-01,3.394571069116277245e-03,-4.878679020102407934e-03,-2.031619901263226613e-01,0.000000000000000000e+00
-1.389977747787667084e-01,-1.343934387743282721e-02,6.500338376179362436e-03,-3.123263720132274934e-01,-3.143959477070012443e-01,-2.710302096928851601e-01,-8.208343666454695139e-03,-2.870074336091255323e-03,-1.846589610688999794e-01,0.000000000000000000e+00
-1.105237123751327544e-01,4.317415693754533650e-03,3.871869192043612962e-02,3.318074266538527661e-01,3.488130972611167557e-01,2.942022270456537414e-01,-1.697242409250478623e-03,8.880247399585417672e-03,-1.558956920025155457e-01,0.000000000000000000e+00
-1.292103663618025533e-01,-1.606169702690862441e-02,-4.355683480504648174e-03,3.155123119558322919e-01,3.179583464194962739e-01,2.897917008767550984e-01,-7.249217529590222010e-03,-1.470269844100926225e-02,1.246587283675391067e-01,0.000000000000000000e+00
-9.696355391084376940e-02,-1.890199962838704645e-02,-7.365739441112348525e-03,3.178089573281788760e-01,3.138517268577120656e-01,-2.881522555177473688e-01,2.293681842232757340e-02,-2.717172402272805681e-03,-1.633038634967897418e-01,0.000000000000000000e+00
-1.168191409992220681e-01,1.236340826074193476e-03,1.662021606867410475e-02,-3.306738862732321871e-01,3.164140692272566224e-01,2.931786545117674447e-01,-8.408979135153666490e-03,4.363608787426436278e-03,-1.474113118423221458e-01,0.000000000000000000e+00
