s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
9.945765882730484009e-02,1.067647412419319153e-01,7.567811757326126099e-02,7.329771667718887329e-02,9.917528182268142700e-02,1.292015463113784790e-01,7.631163299083709717e-02,8.234488219022750854e-02,1.009628847241401672e-01,1.042803674936294556e-01
1.012684702873229980e-01,8.787398785352706909e-02,7.579235732555389404e-02,7.597434520721435547e-02,7.154044508934020996e-02,1.035150811076164246e-01,9.248210489749908447e-02,7.046999037265777588e-02,5.076320469379425049e-02,1.102391704916954041e-01
4.624798893928527832e-02,6.185153499245643616e-02,6.567724794149398804e-02,5.244168639183044434e-02,5.509755387902259827e-02,4.850458353757858276e-02,4.908493757247924805e-01,6.191326975822448730e-01,5.287727117538452148e-01,6.085295602679252625e-02
3.267780691385269165e-02,6.249275803565979004e-02,4.196778684854507446e-02,6.281038373708724976e-02,7.520776987075805664e-02,6.364019215106964111e-02,5.397494882345199585e-02,5.548277124762535095e-02,5.972468480467796326e-02,4.300996288657188416e-02
7.197033613920211792e-02,9.984822571277618408e-02,7.040342688560485840e-01,6.302443146705627441e-01,6.667151302099227905e-02,1.021721363067626953e-01,8.429586887359619141e-02,9.079190343618392944e-02,1.043393686413764954e-01,8.239842206239700317e-02
4.909744113683700562e-02,6.324285268783569336e-02,5.039081349968910217e-02,5.548299551010131836e-01,1.546109765768051147e-01,6.005035042762756348e-01,6.121254339814186096e-02,7.440899312496185303e-02,7.404441386461257935e-02,5.928647890686988831e-02
1.198426783084869385e-01,5.336961522698402405e-02,9.299542754888534546e-02,1.113533154129981995e-01,7.212030887603759766e-02,1.137669160962104797e-01,7.040185481309890747e-02,1.045547276735305786e-01,8.813210576772689819e-02,1.135078147053718567e-01
4.041343182325363159e-02,6.174232065677642822e-02,6.401932984590530396e-02,5.242158100008964539e-02,5.981693416833877563e-02,6.284111738204956055e-02,5.405986905097961426e-01,4.716854095458984375e-01,6.487016081809997559e-01,5.076592043042182922e-02
6.749224662780761719e-02,6.987523287534713745e-02,5.780001729726791382e-02,6.280952692031860352e-02,6.468427926301956177e-02,4.645582437515258789e-01,5.946465134620666504e-01,4.527823328971862793e-01,8.995065093040466309e-02,4.208947718143463135e-02
6.319669634103775024e-02,4.893891140818595886e-02,4.108700901269912720e-02,4.051178693771362305e-02,5.608554929494857788e-02,6.870575249195098877e-02,4.593326151371002197e-02,4.800442606210708618e-02,6.415142863988876343e-02,7.750400155782699585e-02
1.001517176628112793e-01,8.461351692676544189e-02,5.583187937736511230e-01,7.450731992721557617e-01,1.039690375328063965e-01,7.491610944271087646e-02,8.886715769767761230e-02,8.008623868227005005e-02,1.091772168874740601e-01,7.967091351747512817e-02
6.648050546646118164e-01,4.403157532215118408e-01,6.278294920921325684e-01,5.547516420483589172e-02,4.756134003400802612e-02,5.345150828361511230e-02,7.415234297513961792e-02,6.906519085168838501e-02,6.384228169918060303e-02,6.487984210252761841e-02
7.273862510919570923e-02,6.660417467355728149e-02,4.002133756875991821e-02,5.659736990928649902e-01,1.272695511579513550e-01,6.156594157218933105e-01,5.798539519309997559e-02,7.127066701650619507e-02,6.002924591302871704e-02,5.792867764830589294e-02
6.900940090417861938e-02,8.124738931655883789e-02,5.683010444045066833e-02,8.005210012197494507e-02,5.230304226279258728e-02,7.727658748626708984e-02,6.430231779813766479e-02,9.455732256174087524e-02,1.102929338812828064e-01,8.750218152999877930e-02
1.339816749095916748e-01,9.368115663528442383e-02,8.308485150337219238e-02,6.028849631547927856e-02,9.203460812568664551e-02,8.808393031358718872e-02,8.566293120384216309e-02,1.282573640346527100e-01,5.529784411191940308e-02,8.266223222017288208e-02
8.800283819437026978e-02,7.789271324872970581e-02,1.138028204441070557e-01,8.271164447069168091e-02,9.057157486677169800e-02,1.023621112108230591e-01,9.648355096578598022e-02,9.720823168754577637e-02,7.440884411334991455e-02,9.409113973379135132e-02
6.871727108955383301e-02,3.988136351108551025e-01,9.024741053581237793e-01,4.913668334484100342e-02,6.761204451322555542e-02,5.815311148762702942e-02,6.129545718431472778e-02,5.763379484415054321e-02,5.401947349309921265e-02,6.060065329074859619e-02
8.540109544992446899e-02,5.857393145561218262e-02,1.018378958106040955e-01,9.366428107023239136e-02,1.007745265960693359e-01,1.141905784606933594e-01,1.012915223836898804e-01,5.975060164928436279e-02,1.064607203006744385e-01,9.628408402204513550e-02
1.083422079682350159e-01,7.565464079380035400e-02,9.052115678787231445e-02,1.015599668025970459e-01,9.974090754985809326e-02,9.210231155157089233e-02,1.054405048489570618e-01,6.943235546350479126e-02,9.909699112176895142e-02,8.585154265165328979e-02
6.972155570983886719e-01,6.007999181747436523e-01,4.097976982593536377e-01,6.403729319572448730e-02,6.254754215478897095e-02,5.464170128107070923e-02,7.654566317796707153e-02,4.790537804365158081e-02,5.347957834601402283e-02,5.007373169064521790e-02
7.512433826923370361e-02,7.068063318729400635e-02,6.360394507646560669e-02,5.614024400711059570e-01,1.386874616146087646e-01,6.092181205749511719e-01,4.452759772539138794e-02,7.445871084928512573e-02,5.700751394033432007e-02,6.397154182195663452e-02
1.368857026100158691e-01,9.977155178785324097e-02,9.948426485061645508e-02,1.123704612255096436e-01,1.243785098195075989e-01,8.554609119892120361e-02,8.291280269622802734e-02,6.921793520450592041e-02,7.207716256380081177e-02,6.844902038574218750e-02
7.100355625152587891e-02,4.912215843796730042e-02,7.652229070663452148e-02,5.699700117111206055e-02,6.613451242446899414e-01,3.012903928756713867e-01,4.158761501312255859e-01,5.901645869016647339e-02,7.277917116880416870e-02,7.367810606956481934e-02
6.530109047889709473e-02,6.164478138089179993e-02,6.844672560691833496e-02,4.741920828819274902e-01,3.224074244499206543e-01,5.239323377609252930e-01,5.851621925830841064e-02,5.906017124652862549e-02,7.032649219036102295e-02,6.340499967336654663e-02
6.209820508956909180e-02,5.071277916431427002e-02,6.743328273296356201e-02,4.642384499311447144e-02,7.737768441438674927e-02,5.297680944204330444e-02,6.054311990737915039e-01,5.451876521110534668e-01,4.707714617252349854e-01,6.070625036954879761e-02
8.443051576614379883e-02,9.297831356525421143e-02,6.033776700496673584e-02,9.171571582555770874e-02,7.550866156816482544e-02,9.998746961355209351e-02,7.757113873958587646e-02,5.988386273384094238e-02,5.962388962507247925e-02,7.046914845705032349e-02
8.508497476577758789e-02,9.433206915855407715e-02,1.146298870444297791e-01,5.633771419525146484e-02,1.303204298019409180e-01,9.122496098279953003e-02,1.078628301620483398e-01,9.039451181888580322e-02,8.769492059946060181e-02,7.595963031053543091e-02
9.747812896966934204e-02,1.123952865600585938e-01,1.221506968140602112e-01,7.265986502170562744e-02,1.078389510512351990e-01,9.765433520078659058e-02,1.079820916056632996e-01,1.028790026903152466e-01,8.208316564559936523e-02,9.904642403125762939e-02
5.638363957405090332e-02,6.272422522306442261e-02,4.042870923876762390e-02,5.848631635308265686e-02,7.872040271759033203e-01,2.921235002577304840e-02,5.460286140441894531e-01,7.378000020980834961e-02,5.175579711794853210e-02,5.750564485788345337e-02
4.210395365953445435e-02,6.060408428311347961e-02,2.660214304924011230e-01,4.274368882179260254e-01,6.084819436073303223e-01,4.156317189335823059e-02,7.015184313058853149e-02,6.813017278909683228e-02,4.694466665387153625e-02,6.416726112365722656e-02
6.444545835256576538e-02,6.167030334472656250e-02,6.437899917364120483e-02,5.573084950447082520e-01,1.490748524665832520e-01,6.033481955528259277e-01,5.637733265757560730e-02,6.552870571613311768e-02,6.341627240180969238e-02,7.675562798976898193e-02
