s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
-2.338262494158255045e+00,-2.385849033527795982e+00,-2.683520814746486405e+00,2.979003532769374019e+00,3.073887056929681449e+00,-3.065463709470116260e+00,-3.060840545548456859e+00,-3.087731145627081730e+00,-2.828166881610113315e+00,0.000000000000000000e+00
-2.245505743881607952e+00,-2.388117267633225183e+00,-2.729413461039420508e+00,2.913675626185739276e+00,2.934257686339984961e+00,-3.002392097189045650e+00,-2.823857585426617689e+00,-2.960877439278826184e+00,-2.536892602988472412e+00,0.000000000000000000e+00
-2.073541519672110756e+00,-2.319048737320493547e+00,-2.776422805227311663e+00,-2.895059605530484248e+00,-2.821448283753418274e+00,-3.027915840016762061e+00,3.116532623133265734e+00,2.963190036059019317e+00,2.673321466239949373e+00,0.000000000000000000e+00
2.147634503625347246e+00,2.542690808085416254e+00,2.761069554202123300e+00,-2.885931380014042258e+00,-3.011978892324075119e+00,-2.976707286171234479e+00,-2.917644045628447369e+00,-2.974292195441514242e+00,-2.726382025167365608e+00,0.000000000000000000e+00
-2.184652344951985015e+00,-2.565333030867352537e+00,2.878574266591189090e+00,3.064612495574958295e+00,-2.847458098601733489e+00,-3.022462137369281709e+00,-2.927064425543540960e+00,-3.010864031947187325e+00,-2.832329289358479940e+00,0.000000000000000000e+00
-2.082027366173635485e+00,-2.450382197461562050e+00,-2.713434454817170494e+00,2.981780889831596948e+00,2.995032404871662557e+00,2.924268853421573944e+00,-2.750401512084480249e+00,-2.885034869926831558e+00,-2.953201948684161859e+00,0.000000000000000000e+00
-2.161494216637410037e+00,2.599884268798201337e+00,2.887820251985309561e+00,-2.985230103682813940e+00,-2.815243572130490701e+00,-3.018462491636997314e+00,-3.005209749300605360e+00,-2.964959050729720325e+00,-2.739553030736904482e+00,0.000000000000000000e+00
-2.201164649509156135e+00,-2.393190256673261018e+00,-2.669947989509462438e+00,-2.838497816877567193e+00,-3.043507767813387943e+00,-2.946821736703929329e+00,3.031425779413302823e+00,3.092201536194270517e+00,2.851798923403103814e+00,0.000000000000000000e+00
-2.108658928352758810e+00,-2.386975089586207410e+00,-2.676522557922140777e+00,-2.667830017963959133e+00,-2.786515861294698304e+00,3.027944603356700792e+00,2.858486932826275861e+00,2.950233038006686570e+00,-2.460665217192333110e+00,0.000000000000000000e+00
-2.074164081558222961e+00,2.501687362823642680e+00,2.868521104998534632e+00,2.886158319146402196e+00,-2.795010652579261734e+00,-2.918207204424760004e+00,-2.882214400067357296e+00,-2.892646686202569928e+00,-2.733643915293118898e+00,0.000000000000000000e+00
-2.239128535940282383e+00,-2.545166830033215977e+00,2.857991588275546224e+00,3.031753554703663145e+00,-2.934028463121115315e+00,-3.016386856670606686e+00,-2.817928455595255510e+00,-2.929347105601190826e+00,-2.792770102220031969e+00,0.000000000000000000e+00
2.184090989564565266e+00,2.522421724259349407e+00,2.634615044709764486e+00,-2.940302954811242486e+00,-2.991367590290064271e+00,-2.881212946283726595e+00,-2.939813592452638069e+00,-2.938114547480338068e+00,-2.770418545353634521e+00,0.000000000000000000e+00
-2.083764055809131932e+00,-2.395625942648963669e+00,-2.739286393484130500e+00,2.929253497529157979e+00,3.024900037806457664e+00,2.985878284344779754e+00,-2.755159912777152886e+00,-2.884406626274627961e+00,-2.521361256366382086e+00,0.000000000000000000e+00
-2.105141403230965214e+00,-2.392881607303750435e+00,-2.807865926841932591e+00,-2.845596784675022750e+00,3.045756117540190822e+00,2.995690535703031454e+00,-2.784046606183156136e+00,-2.961830451153554922e+00,-2.783962830358890361e+00,0.000000000000000000e+00
-2.068541318961091502e+00,-2.437811251481312613e+00,2.936018340050876585e+00,3.077738857423975016e+00,-2.993087596121021932e+00,-2.942143474881663945e+00,-2.877165189787421973e+00,-2.882993031586488453e+00,-2.839573582124511386e+00,0.000000000000000000e+00
-2.300751508773890563e+00,-2.444791808730597094e+00,-2.760756575294098791e+00,-2.932869951816159393e+00,-2.983032562256847431e+00,-3.092400367664966510e+00,-2.894720569952589528e+00,3.032567878751896817e+00,2.831610221468451538e+00,0.000000000000000000e+00
2.390679694285989143e+00,2.672604257440904352e+00,2.902769072572713327e+00,-2.891042076103905512e+00,-2.894285989563293526e+00,-3.019531367055427129e+00,-3.046811925455251480e+00,-3.060362074873166360e+00,-2.996988236111739479e+00,0.000000000000000000e+00
