s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
5.252043250948190689e-03,4.739867988973855972e-03,5.220437422394752502e-03,4.616777878254652023e-03,4.782917443662881851e-03,4.904618952423334122e-03,4.454127047210931778e-03,5.388713907450437546e-03,4.692674148827791214e-03,5.462232045829296112e-03,4.410898312926292419e-03,5.185733549296855927e-03,4.972233437001705170e-03,5.228152032941579819e-03,4.899441264569759369e-03,4.759966395795345306e-03,4.329581744968891144e-03,4.880933556705713272e-03,5.444131791591644287e-03,4.801893606781959534e-03,4.733097273856401443e-03,4.993854556232690811e-03,4.702512640506029129e-03,5.198930390179157257e-03,5.120225250720977783e-03,4.759239032864570618e-03,4.804241470992565155e-03,4.858738277107477188e-03,5.010124761611223221e-03,4.350657109171152115e-03,4.597953520715236664e-03,4.340048879384994507e-03,4.664757754653692245e-03,5.167059600353240967e-03,5.087243393063545227e-03,5.390510894358158112e-03,5.682610906660556793e-03,5.952719599008560181e-03,6.470502354204654694e-03,7.586454972624778748e-03,8.644864894449710846e-03,9.741410613059997559e-03,1.673239842057228088e-02,2.299911715090274811e-02,3.391823917627334595e-02,8.702946901321411133e-01,9.417323470115661621e-01,9.632675647735595703e-01,9.756112694740295410e-01,9.344174861907958984e-01,7.906551361083984375e-01,5.705582499504089355e-01,2.129826545715332031e-01,3.066518902778625488e-02,1.348211336880922318e-02,1.169472280889749527e-02,8.144961670041084290e-03,7.337281946092844009e-03,6.927180569618940353e-03,6.168588995933532715e-03,5.755488760769367218e-03,5.291983485221862793e-03,5.572000984102487564e-03,5.795337259769439697e-03,5.092487670481204987e-03,4.350124392658472061e-03,4.780278541147708893e-03,5.270203109830617905e-03,5.271700676530599594e-03,4.978784359991550446e-03,4.766623489558696747e-03,4.747977480292320251e-03,4.475479014217853546e-03,4.575807601213455200e-03,4.772370215505361557e-03,5.411399528384208679e-03,4.444086458534002304e-03,4.979561548680067062e-03,4.667082801461219788e-03,4.224615171551704407e-03,4.939084406942129135e-03,4.918429534882307053e-03,4.356930498033761978e-03,4.876528400927782059e-03,5.098591558635234833e-03,4.890211392194032669e-03,4.632898606359958649e-03,4.391069058328866959e-03,5.117469001561403275e-03,5.074860528111457825e-03,4.830288235098123550e-03,4.476353991776704788e-03,4.425509367138147354e-03,4.610471427440643311e-03,5.109381396323442459e-03,4.625959787517786026e-03,4.887223243713378906e-03,4.886367823928594589e-03,5.035908427089452744e-03,5.044640973210334778e-03
2.615107595920562744e-01,2.625945806503295898e-01,2.843272984027862549e-01,2.858458757400512695e-01,2.923851609230041504e-01,2.795926928520202637e-01,2.857972681522369385e-01,2.616958320140838623e-01,2.877775430679321289e-01,2.716192901134490967e-01,2.846952974796295166e-01,2.666123509407043457e-01,2.755016684532165527e-01,2.639097869396209717e-01,2.707847058773040771e-01,2.716251313686370850e-01,2.701717019081115723e-01,2.765654921531677246e-01,2.849964201450347900e-01,2.730440795421600342e-01,2.751806974411010742e-01,2.605879306793212891e-01,2.918362617492675781e-01,2.696254551410675049e-01,2.840087711811065674e-01,2.653552889823913574e-01,2.915129363536834717e-01,2.614168226718902588e-01,2.806004881858825684e-01,2.950688600540161133e-01,2.929263710975646973e-01,2.859630286693572998e-01,2.897438108921051025e-01,2.953175902366638184e-01,2.644420862197875977e-01,2.879879176616668701e-01,2.765486538410186768e-01,2.785829901695251465e-01,2.917432188987731934e-01,2.887299954891204834e-01,2.819738090038299561e-01,2.693507969379425049e-01,2.826331853866577148e-01,2.811592519283294678e-01,2.788644134998321533e-01,2.727684080600738525e-01,2.816046774387359619e-01,2.903334200382232666e-01,2.720276713371276855e-01,2.617270350456237793e-01,2.936021089553833008e-01,2.786661088466644287e-01,2.873575389385223389e-01,2.876000106334686279e-01,2.871939539909362793e-01,2.645400464534759521e-01,2.748721837997436523e-01,2.954355478286743164e-01,2.787676751613616943e-01,2.633957862854003906e-01,2.905204296112060547e-01,2.900305390357971191e-01,2.769123017787933350e-01,2.899990379810333252e-01,2.654537856578826904e-01,2.753608226776123047e-01,2.808211743831634521e-01,2.829833030700683594e-01,2.706069648265838623e-01,2.868657112121582031e-01,2.614466845989227295e-01,2.614432573318481445e-01,2.774643003940582275e-01,2.832268774509429932e-01,2.884315550327301025e-01,2.631520330905914307e-01,2.953238189220428467e-01,2.764858603477478027e-01,2.948254644870758057e-01,2.653573751449584961e-01,2.962560653686523438e-01,2.752293348312377930e-01,2.907757461071014404e-01,2.939104139804840088e-01,2.620179057121276855e-01,2.712022960186004639e-01,2.672266364097595215e-01,2.691977620124816895e-01,2.866648733615875244e-01,2.602532804012298584e-01,2.898352444171905518e-01,2.630895078182220459e-01,2.693119645118713379e-01,2.813082933425903320e-01,2.742639780044555664e-01,2.769456505775451660e-01,2.867473065853118896e-01,2.662816643714904785e-01,2.771863937377929688e-01,2.763541638851165771e-01
5.267946049571037292e-03,4.450950305908918381e-03,4.503413569182157516e-03,4.539485089480876923e-03,4.410986322909593582e-03,4.512683954089879990e-03,3.706055227667093277e-03,4.238993860781192780e-03,4.267158452421426773e-03,4.698178265243768692e-03,4.979197401553392410e-03,4.763204138725996017e-03,4.818616434931755066e-03,5.415995139628648758e-03,5.154453683644533157e-03,4.213958978652954102e-03,5.711144302040338516e-03,5.534907337278127670e-03,6.030858028680086136e-03,5.439914762973785400e-03,5.452278535813093185e-03,6.777550093829631805e-03,7.606244180351495743e-03,1.249927747994661331e-02,1.829920709133148193e-02,2.488684654235839844e-02,1.415832340717315674e-01,8.499677777290344238e-01,9.474695324897766113e-01,9.559585452079772949e-01,8.865778446197509766e-01,9.104897379875183105e-01,8.971024155616760254e-01,7.841929793357849121e-01,1.568933278322219849e-01,1.792476326227188110e-02,1.340973284095525742e-02,9.033655747771263123e-03,7.391138933598995209e-03,6.439573131501674652e-03,5.651375278830528259e-03,5.486406385898590088e-03,5.088058765977621078e-03,4.438766743987798691e-03,4.716258030384778976e-03,4.129471257328987122e-03,4.511252976953983307e-03,4.130053799599409103e-03,5.022083874791860580e-03,4.765409044921398163e-03,4.778584465384483337e-03,3.945069387555122375e-03,4.229835700243711472e-03,4.683271516114473343e-03,4.564683418720960617e-03,5.172378383576869965e-03,4.169232677668333054e-03,4.346973728388547897e-03,5.223902873694896698e-03,4.256112501025199890e-03,4.530469886958599091e-03,5.797917954623699188e-03,4.575868602842092514e-03,4.664007108658552170e-03,5.003535188734531403e-03,4.259913228452205658e-03,4.329522140324115753e-03,4.954048898071050644e-03,4.868976306170225143e-03,4.673677030950784683e-03,4.803229123353958130e-03,4.739075899124145508e-03,4.261109046638011932e-03,4.760072566568851471e-03,4.379056859761476517e-03,4.593645688146352768e-03,4.720555618405342102e-03,3.869082313030958176e-03,4.517332185059785843e-03,4.830572288483381271e-03,5.381146445870399475e-03,4.506912082433700562e-03,5.232580471783876419e-03,4.943918902426958084e-03,4.988864529877901077e-03,4.348164424300193787e-03,5.029298830777406693e-03,4.857675638049840927e-03,4.694228526204824448e-03,4.141407087445259094e-03,4.237357992678880692e-03,4.893119912594556808e-03,4.509411752223968506e-03,4.699632059782743454e-03,4.517692606896162033e-03,5.365196149796247482e-03,5.049466155469417572e-03,4.591219592839479446e-03,4.812485538423061371e-03,5.163158755749464035e-03
4.261236172169446945e-03,4.911491647362709045e-03,5.047698039561510086e-03,4.360002931207418442e-03,5.073267035186290741e-03,5.354063119739294052e-03,5.126281641423702240e-03,4.238577093929052353e-03,4.757920280098915100e-03,5.089464131742715836e-03,5.197394173592329025e-03,4.548185970634222031e-03,4.406733438372612000e-03,5.343491677194833755e-03,5.182635039091110229e-03,4.830982536077499390e-03,5.291464272886514664e-03,4.653619136661291122e-03,4.735687747597694397e-03,4.747042432427406311e-03,4.793895408511161804e-03,5.061489064246416092e-03,5.008430685847997665e-03,5.112843587994575500e-03,4.805646371096372604e-03,5.427097436040639877e-03,5.704660434275865555e-03,3.987237811088562012e-03,5.654029082506895065e-03,5.412310361862182617e-03,5.937665700912475586e-03,7.529154885560274124e-03,7.606124971061944962e-03,1.327531691640615463e-02,2.813695371150970459e-02,3.673057630658149719e-02,8.411822319030761719e-01,6.500737071037292480e-01,7.019979357719421387e-01,9.629371762275695801e-01,9.619842767715454102e-01,9.505371451377868652e-01,9.423761963844299316e-01,3.271247744560241699e-01,3.683995455503463745e-02,3.484841063618659973e-02,1.598332822322845459e-02,1.143613643944263458e-02,1.035671401768922806e-02,6.643334403634071350e-03,6.142637692391872406e-03,6.063545588403940201e-03,6.047164089977741241e-03,5.852179601788520813e-03,5.429273005574941635e-03,4.971957299858331680e-03,5.103845614939928055e-03,5.326674785465002060e-03,4.709389060735702515e-03,4.843963775783777237e-03,4.646304994821548462e-03,4.242952913045883179e-03,4.661181010305881500e-03,4.809015430510044098e-03,3.613487118855118752e-03,4.409868735820055008e-03,4.629966337233781815e-03,4.593675956130027771e-03,5.342536140233278275e-03,4.557809326797723770e-03,5.593851674348115921e-03,4.858233500272035599e-03,4.397398326545953751e-03,4.859031178057193756e-03,5.033615045249462128e-03,4.819961264729499817e-03,4.941029939800500870e-03,4.567988682538270950e-03,5.237295757979154587e-03,4.621548578143119812e-03,4.986925981938838959e-03,4.443038254976272583e-03,4.147340543568134308e-03,4.910722840577363968e-03,4.456502385437488556e-03,4.856869112700223923e-03,4.308229777961969376e-03,4.934099502861499786e-03,4.490933381021022797e-03,5.183921195566654205e-03,4.946762695908546448e-03,4.666092805564403534e-03,4.875863902270793915e-03,5.141037516295909882e-03,4.747402854263782501e-03,5.247128196060657501e-03,4.582404159009456635e-03,4.749367944896221161e-03,4.681915510445833206e-03,4.375786054879426956e-03
2.764159739017486572e-01,2.747418880462646484e-01,2.879976630210876465e-01,2.836083769798278809e-01,2.837665975093841553e-01,2.830802798271179199e-01,2.636878192424774170e-01,2.764275372028350830e-01,2.948857843875885010e-01,2.602930665016174316e-01,2.650704979896545410e-01,2.653264105319976807e-01,2.825859189033508301e-01,2.747629582881927490e-01,2.961009740829467773e-01,2.803746759891510010e-01,2.839929163455963135e-01,2.914083302021026611e-01,2.877751290798187256e-01,2.623172104358673096e-01,2.806192040443420410e-01,2.849459350109100342e-01,2.945899963378906250e-01,2.889085114002227783e-01,2.796570956707000732e-01,2.861393392086029053e-01,2.762179374694824219e-01,2.939620912075042725e-01,2.804648280143737793e-01,2.614473700523376465e-01,2.735698819160461426e-01,2.842692434787750244e-01,2.714867293834686279e-01,2.921200096607208252e-01,2.691267430782318115e-01,2.915245294570922852e-01,2.826176285743713379e-01,2.895315289497375488e-01,2.919109165668487549e-01,2.640319168567657471e-01,2.892026603221893311e-01,2.895355820655822754e-01,2.743049561977386475e-01,2.724253535270690918e-01,2.684040665626525879e-01,2.661240100860595703e-01,2.720298767089843750e-01,2.631500363349914551e-01,2.790095508098602295e-01,2.765864133834838867e-01,2.781229019165039062e-01,2.912634015083312988e-01,2.665208280086517334e-01,2.767874300479888916e-01,2.815828323364257812e-01,2.811969816684722900e-01,2.915272116661071777e-01,2.844285070896148682e-01,2.683140635490417480e-01,2.650057673454284668e-01,2.810165584087371826e-01,2.903594970703125000e-01,2.928575873374938965e-01,2.799764275550842285e-01,2.916695773601531982e-01,2.647249996662139893e-01,2.941334843635559082e-01,2.916602492332458496e-01,2.800495922565460205e-01,2.900393903255462646e-01,2.618777751922607422e-01,2.694717347621917725e-01,2.830359637737274170e-01,2.778421938419342041e-01,2.689823508262634277e-01,2.838709652423858643e-01,2.737491428852081299e-01,2.710348963737487793e-01,2.808089256286621094e-01,2.924053966999053955e-01,2.868608832359313965e-01,2.757811248302459717e-01,2.950635254383087158e-01,2.853021919727325439e-01,2.849291563034057617e-01,2.935776114463806152e-01,2.962684333324432373e-01,2.646639943122863770e-01,2.710637152194976807e-01,2.743483483791351318e-01,2.722131013870239258e-01,2.681316733360290527e-01,2.624955177307128906e-01,2.691471576690673828e-01,2.697409391403198242e-01,2.742811739444732666e-01,2.725139260292053223e-01,2.739197015762329102e-01,2.718069851398468018e-01,2.910381555557250977e-01
4.636315163224935532e-03,4.763638135045766830e-03,5.207176320254802704e-03,4.864651244133710861e-03,4.334690980613231659e-03,4.312977660447359085e-03,5.416889674961566925e-03,4.988668020814657211e-03,5.099194124341011047e-03,4.403255414217710495e-03,5.105371586978435516e-03,4.899455234408378601e-03,5.122649949043989182e-03,4.135572351515293121e-03,5.106715951114892960e-03,4.489499144256114960e-03,4.676064476370811462e-03,4.676197655498981476e-03,5.114583298563957214e-03,4.835335537791252136e-03,4.935729317367076874e-03,4.351284820586442947e-03,4.400102421641349792e-03,4.812126979231834412e-03,5.150374490767717361e-03,4.610197618603706360e-03,4.656950477510690689e-03,4.364957101643085480e-03,4.762912634760141373e-03,4.843708593398332596e-03,4.675544798374176025e-03,5.087894853204488754e-03,5.170367192476987839e-03,4.554509185254573822e-03,4.351475276052951813e-03,4.155125003308057785e-03,5.164241418242454529e-03,4.890403710305690765e-03,5.136252380907535553e-03,4.730373620986938477e-03,5.017789546400308609e-03,4.116613417863845825e-03,4.549526609480381012e-03,4.869702272117137909e-03,4.467359744012355804e-03,4.791832063347101212e-03,4.191516432911157608e-03,4.205895122140645981e-03,4.844136070460081100e-03,4.182867705821990967e-03,5.424810107797384262e-03,5.727017298340797424e-03,5.437918473035097122e-03,5.550593137741088867e-03,4.910647869110107422e-03,5.407863762229681015e-03,6.133817601948976517e-03,6.198095623403787613e-03,6.221982184797525406e-03,7.978535257279872894e-03,8.653163909912109375e-03,8.995411917567253113e-03,1.489535253494977951e-02,1.951218582689762115e-02,1.009920388460159302e-01,9.244782924652099609e-01,5.837613940238952637e-01,9.209638833999633789e-01,9.125385284423828125e-01,9.487118721008300781e-01,9.465353488922119141e-01,8.618016839027404785e-01,6.074961274862289429e-02,1.911570690572261810e-02,1.279954146593809128e-02,1.128348708152770996e-02,8.702318184077739716e-03,6.317806430160999298e-03,6.364641245454549789e-03,5.640167742967605591e-03,5.515443161129951477e-03,5.552338901907205582e-03,5.717258900403976440e-03,5.266274791210889816e-03,4.801244474947452545e-03,5.152077879756689072e-03,4.725244361907243729e-03,5.433644168078899384e-03,5.310794338583946228e-03,4.067355301231145859e-03,4.772071260958909988e-03,4.740416537970304489e-03,5.157863721251487732e-03,3.681012429296970367e-03,4.195604473352432251e-03,4.732565023005008698e-03,4.687636625021696091e-03,5.140571855008602142e-03,4.669921007007360458e-03,4.827881697565317154e-03
5.157202947884798050e-03,5.001822020858526230e-03,4.869064316153526306e-03,4.580314271152019501e-03,4.995382856577634811e-03,5.078564397990703583e-03,4.408001434057950974e-03,4.779445938766002655e-03,4.876324906945228577e-03,5.107997450977563858e-03,5.241180304437875748e-03,4.639691673219203949e-03,5.015497561544179916e-03,4.927810747176408768e-03,4.779478069394826889e-03,4.233020357787609100e-03,4.185905680060386658e-03,4.747082944959402084e-03,5.133830942213535309e-03,3.909602295607328415e-03,4.537378437817096710e-03,4.712964408099651337e-03,5.601105745881795883e-03,4.883769433945417404e-03,4.128494765609502792e-03,5.192305892705917358e-03,4.976268857717514038e-03,5.331699270755052567e-03,4.723479971289634705e-03,4.386276472359895706e-03,4.924501292407512665e-03,4.970228299498558044e-03,4.544842988252639771e-03,5.555430427193641663e-03,4.556649830192327499e-03,3.890849184244871140e-03,4.597768187522888184e-03,5.339134018868207932e-03,4.554104991257190704e-03,4.148262552917003632e-03,4.783032927662134171e-03,5.254106596112251282e-03,5.052856635302305222e-03,5.116099957376718521e-03,4.826635587960481644e-03,4.904549103230237961e-03,5.118333268910646439e-03,5.560778081417083740e-03,4.856078419834375381e-03,5.278586409986019135e-03,5.204215645790100098e-03,6.485288497060537338e-03,7.914799265563488007e-03,8.779303170740604401e-03,9.305615909397602081e-03,1.409555785357952118e-02,1.727781631052494049e-02,8.959071338176727295e-02,2.795947194099426270e-01,9.428787231445312500e-01,9.345806241035461426e-01,8.391414880752563477e-01,9.448863863945007324e-01,8.039377927780151367e-01,8.912394642829895020e-01,6.928421854972839355e-01,2.006698213517665863e-02,1.295933034271001816e-02,1.046786550432443619e-02,8.571801707148551941e-03,7.158591877669095993e-03,6.698661018162965775e-03,5.590600892901420593e-03,5.612527020275592804e-03,3.989685326814651489e-03,4.799736198037862778e-03,4.911093041300773621e-03,4.485658369958400726e-03,4.081363789737224579e-03,4.962544422596693039e-03,5.472810938954353333e-03,5.075144581496715546e-03,5.385053344070911407e-03,4.770622123032808304e-03,4.074434749782085419e-03,4.879984073340892792e-03,4.811661317944526672e-03,5.104705225676298141e-03,4.930919501930475235e-03,4.323815461248159409e-03,4.607056733220815659e-03,4.873361438512802124e-03,4.768252372741699219e-03,4.691150970757007599e-03,4.789425060153007507e-03,3.673207014799118042e-03,4.676162265241146088e-03,4.770544823259115219e-03,4.751619882881641388e-03,4.821137059479951859e-03
2.691508233547210693e-01,2.714567780494689941e-01,2.850918471813201904e-01,2.774063050746917725e-01,2.778109908103942871e-01,2.838013172149658203e-01,2.939937114715576172e-01,2.678698301315307617e-01,2.621269524097442627e-01,2.843118906021118164e-01,2.672823071479797363e-01,2.767902016639709473e-01,2.869822680950164795e-01,2.708509266376495361e-01,2.928952276706695557e-01,2.679677307605743408e-01,2.602524757385253906e-01,2.891042232513427734e-01,2.821275293827056885e-01,2.693135738372802734e-01,2.823203504085540771e-01,2.953099608421325684e-01,2.793292105197906494e-01,2.858666181564331055e-01,2.728282213211059570e-01,2.700605988502502441e-01,2.850732207298278809e-01,2.876812517642974854e-01,2.742478251457214355e-01,2.624366283416748047e-01,2.604559659957885742e-01,2.743403017520904541e-01,2.924671769142150879e-01,2.906407117843627930e-01,2.851257920265197754e-01,2.837862968444824219e-01,2.622885704040527344e-01,2.892794609069824219e-01,2.682230174541473389e-01,2.866888046264648438e-01,2.748627662658691406e-01,2.760411500930786133e-01,2.757475674152374268e-01,2.732228338718414307e-01,2.711820602416992188e-01,2.744975090026855469e-01,2.693873941898345947e-01,2.922842502593994141e-01,2.667557001113891602e-01,2.788839340209960938e-01,2.747917473316192627e-01,2.690172195434570312e-01,2.948535978794097900e-01,2.961970865726470947e-01,2.821888923645019531e-01,2.958801090717315674e-01,2.756913006305694580e-01,2.624817490577697754e-01,2.820799946784973145e-01,2.669129967689514160e-01,2.846123576164245605e-01,2.686863243579864502e-01,2.656756937503814697e-01,2.626668810844421387e-01,2.726347148418426514e-01,2.756212353706359863e-01,2.759758830070495605e-01,2.839819788932800293e-01,2.784106731414794922e-01,2.654772996902465820e-01,2.767717242240905762e-01,2.659941613674163818e-01,2.842978239059448242e-01,2.894648909568786621e-01,2.872656583786010742e-01,2.899067401885986328e-01,2.901853322982788086e-01,2.614732980728149414e-01,2.761350870132446289e-01,2.808878421783447266e-01,2.722012400627136230e-01,2.823243439197540283e-01,2.853206694126129150e-01,2.860328555107116699e-01,2.681365311145782471e-01,2.934555709362030029e-01,2.681959867477416992e-01,2.727518975734710693e-01,2.829990088939666748e-01,2.692553997039794922e-01,2.836037278175354004e-01,2.831705510616302490e-01,2.754437625408172607e-01,2.735070288181304932e-01,2.828834950923919678e-01,2.697169184684753418e-01,2.907983362674713135e-01,2.734549641609191895e-01,2.785628437995910645e-01,2.724089622497558594e-01
5.228479392826557159e-03,3.852142021059989929e-03,4.113512113690376282e-03,4.724177066236734390e-03,4.747405182570219040e-03,4.017865285277366638e-03,5.063936579972505569e-03,4.598802886903285980e-03,4.291316028684377670e-03,4.556224215775728226e-03,4.501468501985073090e-03,4.547691438347101212e-03,5.188396200537681580e-03,5.052672233432531357e-03,5.069506354629993439e-03,4.753139801323413849e-03,4.139454569667577744e-03,4.842090420424938202e-03,4.955203272402286530e-03,4.607222974300384521e-03,4.372291266918182373e-03,4.389063920825719833e-03,5.772756412625312805e-03,5.006836261600255966e-03,4.465173929929733276e-03,5.403475370258092880e-03,5.052576307207345963e-03,4.719601012766361237e-03,4.288773983716964722e-03,5.225665401667356491e-03,4.655127879232168198e-03,4.981664475053548813e-03,5.196713842451572418e-03,4.402935970574617386e-03,5.065470002591609955e-03,4.621388856321573257e-03,4.684242885559797287e-03,5.676554515957832336e-03,4.488346166908740997e-03,5.008663516491651535e-03,5.044219549745321274e-03,5.342769436538219452e-03,5.531438626348972321e-03,5.010331515222787857e-03,5.161383189260959625e-03,4.986424464732408524e-03,6.455731578171253204e-03,5.876186303794384003e-03,6.183585152029991150e-03,7.534084375947713852e-03,8.821412920951843262e-03,1.116463076323270798e-02,2.193001657724380493e-02,4.046471416950225830e-02,8.926820755004882812e-02,9.438114166259765625e-01,8.939454555511474609e-01,9.717829227447509766e-01,9.669824838638305664e-01,9.722896814346313477e-01,9.471823573112487793e-01,3.503296375274658203e-01,1.865375339984893799e-01,2.633705921471118927e-02,1.970679871737957001e-02,1.328989770263433456e-02,9.482286870479583740e-03,8.012153208255767822e-03,5.732586141675710678e-03,6.398329045623540878e-03,5.532640498131513596e-03,5.189609713852405548e-03,5.698129534721374512e-03,5.306395236402750015e-03,5.543336272239685059e-03,5.217199679464101791e-03,5.067392718046903610e-03,4.564941395074129105e-03,4.857419524341821671e-03,4.638375248759984970e-03,4.635340534150600433e-03,4.348909948021173477e-03,4.817756824195384979e-03,4.846306517720222473e-03,5.194013006985187531e-03,4.644314292818307877e-03,4.537611268460750580e-03,4.000224638730287552e-03,4.750282969325780869e-03,4.626498091965913773e-03,4.762578289955854416e-03,4.743786063045263290e-03,4.469443112611770630e-03,4.996290896087884903e-03,4.399739205837249756e-03,5.166177172213792801e-03,5.069290287792682648e-03,4.506501369178295135e-03,4.318217281252145767e-03,4.841279704123735428e-03
2.724336087703704834e-01,2.817763388156890869e-01,2.910678982734680176e-01,2.866016030311584473e-01,2.887302339076995850e-01,2.703578472137451172e-01,2.916275560855865479e-01,2.666637003421783447e-01,2.750524580478668213e-01,2.871876657009124756e-01,2.803610265254974365e-01,2.847578823566436768e-01,2.773957550525665283e-01,2.654147148132324219e-01,2.860917150974273682e-01,2.602689862251281738e-01,2.689552307128906250e-01,2.923605740070343018e-01,2.815784811973571777e-01,2.608750462532043457e-01,2.950708568096160889e-01,2.741592526435852051e-01,2.717439532279968262e-01,2.870348095893859863e-01,2.899385690689086914e-01,2.834194004535675049e-01,2.851845026016235352e-01,2.646331787109375000e-01,2.897389829158782959e-01,2.865247428417205811e-01,2.735916078090667725e-01,2.616567313671112061e-01,2.721862196922302246e-01,2.918373048305511475e-01,2.809259295463562012e-01,2.754594683647155762e-01,2.768737077713012695e-01,2.706131339073181152e-01,2.868084013462066650e-01,2.870414257049560547e-01,2.764924466609954834e-01,2.673582434654235840e-01,2.688549458980560303e-01,2.644787132740020752e-01,2.895232439041137695e-01,2.607217133045196533e-01,2.843813598155975342e-01,2.649718523025512695e-01,2.725572586059570312e-01,2.942005693912506104e-01,2.858795821666717529e-01,2.875454723834991455e-01,2.880384325981140137e-01,2.763732373714447021e-01,2.911096811294555664e-01,2.930447757244110107e-01,2.794523835182189941e-01,2.709133625030517578e-01,2.838246822357177734e-01,2.854691147804260254e-01,2.639929354190826416e-01,2.905046343803405762e-01,2.794101834297180176e-01,2.687335908412933350e-01,2.671642005443572998e-01,2.962529063224792480e-01,2.704830765724182129e-01,2.758777439594268799e-01,2.612363696098327637e-01,2.883390486240386963e-01,2.740317583084106445e-01,2.796350717544555664e-01,2.841172218322753906e-01,2.818068861961364746e-01,2.940164804458618164e-01,2.625924050807952881e-01,2.729037106037139893e-01,2.908720374107360840e-01,2.697219252586364746e-01,2.936435341835021973e-01,2.771329283714294434e-01,2.710521221160888672e-01,2.956950962543487549e-01,2.641236186027526855e-01,2.659039199352264404e-01,2.730680406093597412e-01,2.732468545436859131e-01,2.842639386653900146e-01,2.702245712280273438e-01,2.888166606426239014e-01,2.952820956707000732e-01,2.628018558025360107e-01,2.644606828689575195e-01,2.957890033721923828e-01,2.655670344829559326e-01,2.886391878128051758e-01,2.705184519290924072e-01,2.731452584266662598e-01,2.780804336071014404e-01,2.931014001369476318e-01
