s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
-4.186471100555423999e-03,7.477923769155960312e-03,-1.208870258132347872e-03,-2.207101301996130301e-03,1.549222868107665019e-03,-2.569293083883534342e-05,-1.015496848434103419e-03,9.967799345273677548e-04,4.180386899276699458e-03,-9.959456233005951984e-04,-7.537014271533037891e-04,-4.345712662149125299e-03,-2.253009501730664221e-03,1.266423712784423553e-05,-6.502397152541994482e-05,-1.404774160284250246e-04,-5.127494613072133660e-03,-3.519260026238296441e-03,-2.135428238314582890e-03,-6.128692210845761677e-03,-4.431869607886806603e-03,-5.719262004142269991e-03,-4.429148001994874691e-03,8.100012087769841926e-03,7.900311149960060134e-03,7.014107979855435833e-03,7.434440859456695541e-03,7.230280283650031802e-03,8.403489625471820268e-03,7.736793286853633350e-03,6.939674443676601377e-03,8.291683185052764124e-03,9.194599060463701234e-03,8.772119168652073307e-03,1.186911048749949259e-02,9.860543119560095590e-03,1.108889152414607032e-02,1.028010849437748647e-02,1.211683821493776854e-02,1.136901363091608920e-02,1.090802782635437278e-02,9.385662548607840924e-03,1.006120261396875604e-02,1.006373045865426204e-02,6.115657022166782336e-03,1.461453153392212011e-02,1.252130810562949309e-02,1.151082996618580691e-02,1.116549218275687816e-02,1.115589612557169735e-02,9.676414371087113664e-03,1.225500689921732618e-02,1.187230082334136960e-02,1.022170085282258188e-02,1.043160811615215927e-02,1.167860444074055037e-02,1.067064646204395235e-02,1.064068055936398700e-02,1.107626384425864849e-02,1.001765795935693690e-02,-6.286427998783846675e-04,1.325414907094318948e-03,-4.857245296411359485e-04,-3.091151940753599468e-03,1.535112460344187834e-03,2.584598741728956484e-03,3.149473284981390555e-04,-9.143744824163671861e-03,-4.491197161652732590e-03,-3.463425661246446931e-03,-3.183033203241081559e-03,-2.811734938906006523e-03,3.302098156924417743e-03,-8.544968428550864942e-03,-6.613795273443497449e-03,-7.546350113615271117e-03,-7.275602085523080742e-03,-7.409974721997580373e-03,-6.771527816643197785e-03,-4.474074844085131411e-03,-3.743850469893176408e-03,-6.095852598112053503e-03,-4.630246981947843538e-03,-4.300332042423644051e-03,-3.922182592482705010e-03,-2.468335582408822011e-03,-6.032916837379194127e-04,-1.920214662040981230e-03,-3.832451714521708467e-03,1.299583988097711062e-03,3.994876461735486287e-03,-3.359977594194493190e-03,2.370589174419701975e-03,-8.171065807783896339e-04,1.300540784000337293e-03,8.161132659713585822e-04,-4.233170192252871250e-03,-3.672572457708654647e-03,7.249570565108655502e-03,0.000000000000000000e+00
3.872980630534039737e-03,1.924820579987050729e-04,4.691057777183910323e-03,-5.486875546923692532e-03,-3.219011567666500099e-03,5.067330569293510868e-04,8.784068820662866350e-04,1.781270258893284794e-04,-4.405987524952523389e-03,-5.590165717303736178e-05,-2.630021591720343044e-03,-8.072202732297407935e-04,-6.474996789270229258e-03,1.552190383028038490e-03,1.229792939836975340e-03,2.314242840269532548e-03,3.526317155861708364e-04,-3.922217335443144159e-03,-4.520355442304207355e-03,-7.186559023377904996e-03,-5.292921865396504368e-03,-8.785029691268136237e-03,-6.467670516248794597e-03,-8.991104854192480400e-03,-8.706666896901032668e-03,-4.528472370065326005e-03,-5.926543414067192254e-03,-8.007767884075072534e-03,-7.907032617177133654e-03,-7.331935627999965760e-03,-7.329054286572467790e-03,-4.777722440754785839e-03,-7.809339347579799355e-03,-8.863071577377130625e-03,-1.133660469816642237e-02,-6.729367884329183654e-03,-9.799705951532278886e-03,-7.957685270615206391e-03,-8.994349426470845191e-03,-7.573627450743187009e-03,-9.913484492079478044e-03,-9.941743656725192738e-03,-8.703359494059242224e-03,-7.963539913192409225e-03,-8.718912714524327395e-03,-8.643649185564782067e-03,-9.016756890143397263e-03,-8.564910924913059567e-03,-7.545990687930071231e-03,-8.026671156715785294e-03,-7.223253694080812581e-03,-9.474454006117473057e-03,-7.696785159033145418e-03,-6.031067988084254372e-03,-8.695207649322264296e-03,-8.729418223618015671e-03,-7.763520955259265235e-03,-8.485925828029953696e-03,-1.054532233347880467e-02,-8.107673265135163093e-03,-1.037710900135107445e-02,-7.575164839411728177e-03,-9.667510441432530105e-03,-8.743669083812022347e-03,-9.227529781019715854e-03,-9.536800831857995472e-03,-7.924346437137822982e-03,-1.087584720563984121e-02,-9.641990071294835943e-03,-9.774514128558264500e-03,-1.030455754138362781e-02,-1.089196837762405369e-02,-8.978301572641865513e-03,-7.391554648480714272e-03,-4.967670255105320967e-03,-9.882461304796764587e-03,-9.042724193990870490e-03,-1.024806878033169416e-02,-6.811391776747306205e-03,-6.059797276702405359e-03,-4.137760163529949874e-03,-5.139556734212537975e-03,-3.725522797497991898e-03,-4.439347393247262616e-03,-2.501493645200595674e-03,-4.614584633494781506e-03,-4.437917110189401430e-04,-1.392868450863218302e-03,-9.386439327510496047e-03,-4.057365791449820021e-03,-1.765864215982296303e-03,-9.894339707922433173e-04,1.486175944278841162e-04,1.823396104508717133e-03,-2.390079280680199383e-03,5.161699754078525812e-03,-2.791766976442414550e-03,-4.897720043752356277e-03,-6.525970161661084554e-03,0.000000000000000000e+00
6.494439377212334573e-03,5.605744320240513105e-03,-1.483289986302447749e-03,-3.265724566637518388e-03,3.876327709697182256e-03,-4.434534155196149835e-04,-1.781327261042563734e-03,1.273699239321257734e-04,-2.281538669742738212e-04,2.352666287957342218e-03,-1.164103479795400856e-04,9.940846558629452302e-04,-1.320032475925292078e-03,3.831438049466561000e-03,1.422178920982396537e-03,2.206073134253581577e-03,-5.444492710203989580e-04,4.757843952704867568e-03,2.602767547773743220e-03,4.512833250594201588e-03,3.540136874281888898e-04,6.501493391801931726e-03,5.709216981841329190e-03,2.445847275037132951e-03,4.455736353946133758e-03,5.152714142172397198e-03,1.004456249363996911e-02,7.789091465370574265e-03,7.615536397035146086e-03,6.808081549624448066e-03,1.131735525692643268e-02,7.999660910796076163e-03,9.820018605769429212e-03,1.111191378888903153e-02,9.991803620290617971e-03,8.959824962785920346e-03,1.108128954755758198e-02,8.609337408939184491e-03,1.255906008494427767e-02,1.302064236578342679e-02,1.111573045923798693e-02,9.976310501682928225e-03,1.090376153548801384e-03,5.615748093050342438e-04,8.020152864026613504e-04,-3.542102604035266781e-03,-1.852898613942184159e-03,-1.812878222602913071e-03,-1.466500356887009016e-03,-7.583689828839942871e-04,4.625032264178897674e-04,-7.634549140974610263e-04,8.385175463548730137e-04,-6.849141832283131733e-04,-1.034849326624322739e-02,-7.764332009154867494e-03,-7.836815431050379865e-03,-9.899436327126125840e-03,-4.615800278461606836e-03,-9.259243748373443411e-03,-7.170991744015277163e-03,-9.522701230113363863e-03,-1.008395309207728123e-02,-6.345136004447683893e-03,-8.413678533517958066e-03,-9.749128300361042596e-03,-9.133793796225912753e-03,-8.779329899919960378e-03,-8.256197274664311969e-03,-9.970126746263859030e-03,-8.173439674761933185e-03,-8.801951106927661736e-03,-7.756891006604236388e-03,-7.465499690657291347e-03,-8.643413645231114162e-03,-5.197713470293600577e-03,-7.832249686704456648e-03,-7.542797769482192764e-03,-7.744609887910766134e-03,-7.943537419706263314e-03,-6.035889801466180760e-03,-5.972255866696472501e-03,-3.589312505696454214e-03,-4.563496535728836512e-03,-9.257335451402697122e-04,-4.349085445628250376e-03,1.105572100999674097e-03,5.217383933574255145e-04,9.420436420656980734e-04,-2.394990402080700873e-04,-2.600653522790572630e-03,-2.441466958374148045e-03,1.858360684779824731e-03,9.305801943958638515e-04,1.078030534130268447e-03,1.550666630344327594e-04,1.993101865333223640e-03,-6.182994846282294926e-03,-1.025112067443803218e-02,0.000000000000000000e+00
2.275113084335833244e-02,-1.871796999394563423e-03,5.203833375421204263e-03,1.834240570084009299e-03,-1.204315028688401554e-03,8.085215185547615230e-03,-4.044987989022814923e-03,2.898004978353775195e-03,3.417679958632256331e-04,-6.350341668773836889e-04,-2.053574454446458180e-03,-9.573725483716603174e-04,2.675692546335936041e-03,6.555752927147576355e-04,-1.729609102777056838e-03,2.031280285527056750e-03,5.496050985531992540e-03,-1.362094640714414575e-03,2.651481727965273802e-03,4.541830389941013679e-03,5.351727172371010394e-03,3.586892887999721009e-03,7.146921910835720738e-03,7.007271798989455139e-03,6.848648980820751589e-03,8.496493757845779982e-03,5.920016330285244634e-03,6.506056396663482087e-03,7.881346461297540976e-03,8.838772084364603793e-03,7.697264028156271254e-03,9.731634013390460039e-03,8.455496209182976342e-03,8.615378970151851140e-03,9.988376821564065242e-03,1.202727767823114774e-02,9.582119900870638557e-03,9.594678642445975472e-03,9.300747408833784369e-03,1.287676287660722944e-02,1.198442029073133221e-02,1.212371690619285826e-02,1.216515083924219788e-02,1.127717900571914220e-02,1.127061821365188572e-02,1.080676921381574195e-02,1.229113184577318614e-02,1.172589940632548858e-02,1.356082356362233420e-02,1.121049545495838261e-02,1.153011498350034296e-02,-2.247463049241016104e-03,-2.747967139165314720e-03,6.776010911837957633e-04,-1.464370764147127947e-03,-2.362633253592032623e-03,-2.159437119073528109e-03,-2.010617534536700193e-03,-3.644397556510121147e-03,-1.373565089020716348e-03,-5.847608303390960157e-04,-9.631411262804139006e-04,-1.970281674602389517e-03,-3.884950320944266251e-03,-2.122698658719784567e-03,-1.103388398678710122e-02,-6.518088145913131411e-03,-7.012626691817469733e-03,-6.287805712792846925e-03,-6.433208313953484025e-03,-7.887229017860467387e-03,-6.449088185883934503e-03,-1.011565344693123383e-02,-5.521076073334190044e-03,-7.217015596170344230e-03,-8.447943915614066629e-03,-6.410741997019206093e-03,-6.882327155243555573e-03,-8.102612310270108573e-03,-1.307097255160921375e-03,-4.086209857817424233e-03,-5.373295382105520990e-03,-2.308725741110171682e-03,-5.279935398333161951e-03,-3.244635559945326271e-03,-4.635309375452306181e-03,1.324351975535400594e-03,-5.762860575002439617e-03,-4.619468088469770410e-03,-1.631930029508771047e-03,-3.010078107231390666e-03,-3.735096590320558310e-03,-3.424206718222234675e-03,3.579575144109952475e-03,1.624820920716041730e-03,3.999429447859774098e-03,8.616459167055790999e-03,5.016534062154822532e-03,3.842606028276498043e-03,0.000000000000000000e+00
-5.364059765186464553e-03,-1.400738007431351177e-02,2.205332587387227324e-05,-2.462082240079272854e-03,-2.396069784993423799e-03,2.322694374394514236e-03,-2.028302593671543839e-03,7.101587495022182233e-04,4.426697529554760556e-03,6.131828390376570237e-03,-1.839947740062718336e-03,-2.871869749039731700e-03,-8.622648824101624733e-04,2.942514030430553283e-03,-2.582246936403213497e-03,-5.161306351517284084e-03,1.612387875021575878e-03,-9.593625354603622013e-04,-3.119477950254462197e-03,-4.426799382571280569e-03,-5.289682861764483102e-03,-3.257461111740530581e-03,-6.803257040693649026e-03,-6.171496130823089614e-03,-6.582300934156465853e-03,-5.174353353652252907e-03,-8.917114051436511590e-03,-6.074999266041232644e-03,-7.308396490245921973e-03,-8.703580843253327232e-03,-9.166604542739901704e-03,-9.406628999200462166e-03,-7.751233587681195976e-03,-8.662997451298519794e-03,-9.579508532136208829e-03,-9.270856983699849937e-03,-8.310414508289136817e-03,-9.655085979865710155e-03,-9.934357492288208025e-03,-1.123480614593022966e-02,-1.039868898080230711e-02,-5.612189910562146583e-03,-8.940762899998875440e-03,-9.223137711028383048e-03,-1.096353048854397001e-02,-6.200138846356288008e-03,-1.027286520910538833e-02,-9.808260216656159228e-03,-1.214792463695366261e-02,-1.051934991050878197e-02,-6.776805328406377074e-03,-9.175933320784056269e-03,-5.053713025690539581e-03,-8.660390572734554676e-03,-9.010766860841634002e-03,-1.237313411745853686e-02,-8.035991406094325842e-03,-9.195704925741624708e-03,-1.123877464332323148e-02,-9.255677223094884928e-03,-6.546557335210670577e-03,-7.677936818702229063e-03,-8.825589261530271401e-03,-1.228830175293654965e-02,-1.065137168581297734e-02,-7.870583559373738741e-03,-4.723002067578869166e-03,-1.144383713199282476e-02,-1.056899407097478157e-02,-8.519957990381840651e-03,-8.672901650314653044e-03,-9.418764993299837823e-03,-9.185187887012995211e-03,-9.162656287172932928e-03,-9.685069848861924471e-03,-8.081844981534518080e-03,-6.492090830062721522e-03,-1.004999221155676581e-02,-6.451333447434375208e-03,-6.248224093594195901e-03,-9.687790245534668929e-03,-4.337287902294973546e-03,-6.895581798489073058e-03,1.254878164440283942e-03,-4.366387777606774655e-04,1.810235296177334927e-03,-2.297074585929432654e-03,-2.330768201951299422e-03,-1.274489579864070566e-04,1.096001374668772229e-03,2.355568290342171633e-04,-2.803719138872716476e-04,-3.377563872894985986e-03,-1.873241257774955777e-03,-1.809419480130100436e-03,8.546671932825195819e-04,-3.752291421980095878e-03,-2.173328097167556261e-04,-5.570589510247003426e-03,0.000000000000000000e+00
7.858252161896437478e-04,-1.601400408893960793e-03,-4.766227406196987121e-03,7.129215082696049388e-04,4.216521778549887738e-03,8.582247870176653269e-04,1.892526979106189632e-03,-1.682220910833630203e-03,-4.003024894450447728e-04,-3.565410051172032951e-03,7.404127117286023489e-04,-6.073998524672684363e-04,2.367530652014213576e-04,2.271146976711622099e-03,-2.196038298464252428e-03,-2.606040040423030814e-03,1.097556849450514235e-03,-6.725964228255353929e-03,-1.001601314809436516e-03,-2.823321547585134952e-03,-3.939100538401464971e-03,-3.762136450578545954e-03,-1.350728876557542955e-03,-7.942158755507093895e-03,-4.682803430318714828e-03,-8.781368893120089503e-03,-7.237819957540255790e-03,-5.803758007098291580e-03,-6.856052322173738708e-03,-7.327100312781918874e-03,-8.796560053703435939e-03,-7.415170361001721146e-03,-8.371360502262087389e-03,-9.488748064746463373e-03,-7.564619841816210347e-03,-6.657904872823135894e-03,-7.894138507176181457e-03,-1.075855763186924809e-02,-7.478686399148127759e-03,-8.883672648079108183e-03,-7.740902201616467471e-03,-1.056514204828165951e-02,-6.782386891893598529e-03,7.861634928135723815e-04,-3.529444936744206580e-03,4.458046898346508307e-04,-2.387434666941756507e-03,-7.132014586201725504e-04,-8.107565473752861981e-04,-3.948182452953299601e-03,-6.367424188138177631e-06,8.510595964258693431e-04,-3.705160435312823859e-03,-3.629975590937314402e-03,8.930713021778102821e-04,7.502027671321011672e-04,-1.637919579055507804e-03,-4.382657234906932645e-04,1.155254332242585009e-02,1.339430248432356592e-02,1.042025092259195145e-02,9.512504279644470526e-03,1.072821747428078648e-02,1.164907769202866081e-02,1.303119879437353648e-02,1.112897676042971622e-02,1.266274849919164260e-02,1.053961911164721238e-02,1.170781318457401847e-02,1.145042194053404010e-02,7.761372769999594357e-03,1.120088965299865201e-02,6.782502274604951774e-03,9.448673743233748298e-03,8.831338061740492268e-03,7.226145558617644120e-03,9.848536186775449022e-03,7.453812857970356850e-03,6.568787390965854719e-03,5.075345614632324406e-03,5.185125370289767228e-03,2.041222667289224833e-03,8.414871986013241090e-04,1.501862033510221149e-03,2.161954523020674732e-03,2.927762524412417557e-04,3.985021435406144673e-04,4.156396664824171111e-03,1.967214513484501128e-03,2.900176078424275290e-03,-1.114821670092271599e-03,-1.378526019631145160e-03,-1.171420771546917558e-03,-4.151505193562410670e-03,-5.987610794673847540e-03,-1.314908698084519384e-04,5.496315995798571954e-03,9.656366825546148364e-03,3.731601778134638944e-03,0.000000000000000000e+00
-3.078010856515600580e-03,-1.486771422618569059e-03,5.907434036550142722e-03,6.213734879329897362e-03,1.129592845676022925e-03,-1.532183750675659550e-03,-2.127715546158834379e-03,-6.075294622170426253e-04,-2.100058759667494841e-03,-3.878911584644695581e-03,-2.806111732604048194e-03,1.346291259722878948e-03,-1.193545842619234652e-03,-4.439831772852141862e-04,-1.368133166332390896e-03,-5.202902965721027803e-04,-4.672457896885712052e-03,1.386748126686596040e-03,-4.994307897029366498e-03,-3.560588540957778953e-03,-6.954911516407040646e-03,-4.301731639230337544e-03,-6.006821427328518787e-03,-7.616036137430176253e-03,-4.380539977669693601e-03,-4.076615763410068247e-03,-8.431783026238929418e-03,-8.714539890802574379e-03,-6.835370816573685740e-03,-7.481329638296120924e-03,-5.117748536216372608e-03,-9.839492641440910833e-03,-7.909429166900530661e-03,-9.614046795656888689e-03,-9.751393154532390917e-03,-9.099168151560739146e-03,1.462735949944149981e-03,-4.121112213853367784e-05,-2.661732459114712381e-03,-2.366689892281953131e-03,-2.965500133214244143e-03,3.697050518265284323e-04,-3.287384134612591005e-03,4.228973112226814559e-04,-3.983719035571910150e-03,-2.017250418814526408e-03,-8.427945206965679024e-04,3.260438433779783846e-03,-1.442106564239040980e-03,3.056421351355196377e-03,-6.454638269911674130e-03,1.171178735335052547e-02,1.199110538828785516e-02,1.159539336310111413e-02,1.265626423505483711e-02,1.206353542779787895e-02,1.143800385041573303e-02,1.386557278528364329e-02,9.489177306425287603e-03,1.252258035631510086e-02,8.645911996499231270e-03,1.202935204296538656e-02,9.336108636658334639e-03,9.232975952460139440e-03,9.983885798880633156e-03,1.031969781198462284e-02,9.029129444893936249e-03,1.235233382486775749e-02,1.037852657357256347e-02,1.006575190684519221e-02,1.043240760596603374e-02,7.810421633818887682e-03,7.950674192266558166e-03,7.451578289874622070e-03,6.546294120628537785e-03,8.703664131951279609e-03,6.769388050387625810e-03,5.699095778265358785e-03,5.913166919319486070e-03,4.723593420590619513e-03,1.914701475244907870e-03,6.026095849353265213e-03,6.272129705109244849e-03,2.169618797982534979e-03,3.797214050225083785e-03,3.028972592252131453e-03,-3.980271966444634893e-03,2.207859951656672252e-03,-6.260519858530441163e-03,-1.954243877096329633e-03,9.738692822138217929e-04,2.526839020178477287e-03,-1.580637698450223626e-03,-1.834939595585813798e-03,1.200507801830477629e-03,5.619993948743678448e-03,-7.233731324421175009e-03,-1.397158208053475830e-03,-3.803625902555257676e-03,0.000000000000000000e+00
8.847089946722262038e-03,-3.154995455544035501e-03,-4.805524722917278377e-04,1.575277819075595904e-03,6.432809277068841231e-03,-3.448079953977472266e-03,4.042265839866580109e-04,3.748350470869489786e-03,-3.371487210736016037e-04,3.058675875294045426e-03,8.463603717196197061e-04,2.640400627418128081e-03,-1.788802508349148944e-03,-3.558221887570641850e-03,-1.229435298800787358e-03,-1.143155404994936324e-03,-7.924889530973099972e-04,-4.074688555817218560e-03,-5.120341599823022456e-03,-3.404058224722751429e-03,-8.068171984430834442e-03,-8.218144614334857434e-03,-5.777022039227237490e-03,-7.645145915573007926e-03,-5.298947930488514396e-03,-8.334272291727529494e-03,-7.323108311608359823e-03,-9.425316171197649362e-03,-7.092612435196587843e-03,-7.751426465243169139e-03,-6.540455307351981246e-03,-7.584294562828736846e-03,-9.644382092581066032e-03,-5.633201317231504961e-03,-6.862029623677738319e-03,-7.469306543190781626e-03,-1.037903665390884668e-02,-7.256420246941184052e-03,-8.292241798527591815e-03,-8.871143953594545079e-03,-9.299368252850399169e-03,-8.375707385205230157e-03,-7.498373140086343584e-03,-9.577158530805816514e-03,-9.137944655118218629e-03,-9.061349074757604413e-03,-9.988095235298618049e-03,-9.434446313740756443e-03,-7.565790198369678511e-03,-9.552639147290275384e-03,-8.818631293108452826e-03,-7.151508858654878099e-03,-1.066959598907350239e-02,-7.870056346079285295e-03,-7.653281044064618767e-03,-9.160643964887740451e-03,-9.179620106544567754e-03,-9.144509126783249148e-03,-8.223548713051590658e-03,-1.067452109055588502e-02,-8.399328708835527776e-03,-5.689563092220533205e-03,-7.758690141559172748e-03,-8.661819690824267004e-03,-1.072485659284633068e-02,-7.028700104251021583e-03,-9.367909979146094718e-03,-7.474381963188504209e-03,-8.802815242109787372e-03,-5.817424826775116978e-03,-7.613041093392385050e-03,-8.022076549461706549e-03,-7.564057870123876495e-03,-9.236052165687578044e-03,-8.224186283248537122e-03,-7.481792936096579721e-03,-8.130486979577463552e-03,-8.406385731879890619e-03,-7.166677725216544573e-03,-4.534995777019931902e-03,-2.975468839426017621e-03,-2.603034593474295045e-03,-2.479947696247029789e-03,-1.519050216960799674e-03,-2.963426712326948636e-03,-5.814771939673199323e-03,3.091347104489859405e-03,-7.462640822552414187e-04,-2.088000824024452418e-03,-1.384622726008644653e-04,3.251714228239141295e-03,-2.097874469914266359e-03,1.534920677383039365e-03,-1.494391251003696856e-03,7.754031615430192256e-04,6.120994970700852425e-04,1.767158235785519808e-03,-6.356750423403116374e-04,-2.359178124937119430e-04,0.000000000000000000e+00
-1.493415213686288996e-02,1.003409984913220324e-02,1.080111771126055116e-02,4.772628667286732927e-03,3.746187919461110762e-03,-1.649668303027547250e-03,-4.700312475997545092e-03,-2.507669003295551029e-03,-1.981576842127436445e-03,9.884228969514845253e-04,-7.439956542264510161e-04,4.444128826022329844e-03,-1.446591056427318439e-03,-5.308047952286709323e-03,1.175537460525133372e-03,-4.233683171309720987e-03,-3.406118353025442726e-03,-2.286793082471128957e-03,-4.367857337225654682e-03,-4.473793972401720123e-03,-1.521918365293394634e-03,-5.358976309967389967e-03,-5.392651115074312100e-03,-6.755971384642572505e-03,-6.630383775309761814e-03,-6.078114021532307100e-03,-4.106074539202568367e-03,-5.403469042702797182e-03,-6.750076241532823942e-03,-8.115413258193369603e-03,-3.245389359214894808e-03,-6.695046126254515159e-03,-8.645813423403760425e-03,-1.033164298038387850e-04,-1.500816531994297008e-03,-6.785524698730588822e-04,-3.200728496110426084e-03,-3.091048626298190279e-03,-5.580038703057198018e-04,-2.986460890933047415e-04,-3.963451980842181560e-03,4.647070690122854369e-04,-3.016717116472201164e-03,-1.310293335810393299e-03,-6.702017019326829200e-04,-2.132927615415692538e-03,5.175575081869397730e-04,-1.425821620951798303e-03,1.283876441203611607e-02,1.391080223422568908e-02,1.423168435485905672e-02,1.378077903504866010e-02,1.215078964094947443e-02,1.331368114075573948e-02,1.268234987230602157e-02,1.159210885241506762e-02,1.197137467915041636e-02,1.161422711299963870e-02,1.283664998751570148e-02,1.253896196935269484e-02,1.228200072641774318e-02,1.244282618637949575e-02,1.444821802583181984e-02,1.178528409843876586e-02,1.439616873944265726e-02,1.490556052488436513e-02,1.169761059562504299e-02,1.187388968986995835e-02,8.899016896128365134e-03,1.089250363564489565e-02,1.320777506027486295e-02,1.153836528888810276e-02,7.842531903767043650e-03,1.031369694425149364e-02,8.104907925498703453e-03,9.039373624887960673e-03,1.002588930960532192e-02,6.925414917813317063e-03,5.172348838600065481e-03,4.930508727791628291e-03,3.931404385724081470e-03,1.323006671976636713e-03,1.741578902090796296e-03,1.143082553239589330e-04,-4.138729504376993142e-03,-6.887617515716024531e-04,-3.493528378281168193e-03,-2.322783962250598352e-03,5.118054298586756151e-04,-1.075017193071884161e-03,-1.764486153581758211e-03,-3.136795961899342677e-03,-5.053008252230230084e-03,-3.460099583502553684e-04,-9.677878377385712308e-04,-6.392328690574213337e-03,1.518046683816579208e-03,-1.029591153801374601e-02,1.366208588419578866e-02,0.000000000000000000e+00
-5.157093769532382875e-03,-5.211122584855284318e-03,2.049132017302642689e-02,4.501078253053455297e-03,4.173708961620017054e-03,1.012044366495434399e-03,-4.968703038588087248e-03,1.542672716317868443e-03,-1.372924687307725032e-03,7.207620513302890296e-03,-4.953668534162199762e-04,-9.929284180868660353e-04,-9.417986556417901924e-04,9.266586134627558717e-04,-4.233367649597049795e-03,1.787905280333829019e-04,-4.281004354576649872e-03,-1.484573157701714200e-03,-3.825820288411453749e-03,-5.968364572979398611e-03,-6.029611086165753177e-03,-4.586490888303248158e-03,-5.621317631177156354e-03,-9.813865736093798503e-03,-7.486489218592413952e-03,-5.824578197615184159e-03,-8.322314083461183204e-03,-4.836268768052340815e-03,-1.090527674090844765e-02,-7.429731067002209519e-03,-6.771828822006136471e-03,-7.155157017283768697e-03,-7.930606446071996815e-03,-8.917080910196649793e-03,-9.158883660443661173e-03,-8.553648379637308202e-03,-9.282429805769825890e-03,-9.164664829781399291e-03,-6.332259885776097240e-03,-6.825668059937052730e-03,-1.044131769607574249e-02,-1.204333809501815199e-02,-1.103879750511026214e-02,-7.562046365502952776e-03,-1.041973534913350971e-02,-1.403590340434845117e-02,-8.855929176512584294e-03,-7.843158793868054007e-03,-1.040241319864693668e-02,-7.264903977734943862e-03,-7.757267339783049769e-03,-6.789480180709353378e-03,-9.111930665514413399e-03,-9.159430976483522169e-03,-6.049637466757040206e-03,-9.899988418789825925e-03,-7.437446998405295405e-03,-5.794220944281011122e-03,-9.670258495718481173e-03,-1.115008573925516111e-02,-8.244048525798079036e-03,-1.057816705196170867e-02,-1.009196506559334114e-02,-9.840233498720603322e-03,-1.011888104695969626e-02,-7.320098511996964499e-03,-8.276151336979391260e-03,-9.474303772043651123e-03,-8.709351122705428008e-03,-8.917767547529905151e-03,-8.748215058496983457e-03,-7.189443278871615259e-03,-7.863942272743921699e-03,-1.105118856156102163e-02,-8.416570503954914212e-03,-1.101754671444585797e-02,-8.547250674076356525e-03,-9.336642042327538207e-03,-9.275927111684557219e-03,-4.876863116293249714e-03,-4.435013577302601359e-03,-4.604243180691419343e-03,-3.908836616325978702e-03,-1.960217747013904502e-03,-2.661660539107379118e-03,9.636685395473561103e-04,8.872764404286163139e-04,-3.708014666427668186e-03,-3.193982829759419752e-04,-1.066011939832944280e-03,-1.404215722774666613e-03,4.598380791687617375e-03,1.062236941030952854e-03,4.287706264611867643e-03,-3.090280782973686257e-03,1.953538544657683861e-03,-7.426379512255655308e-04,-7.799615281476371918e-03,1.641769371410597544e-03,0.000000000000000000e+00
