s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
0.000000000000000000e+00,-1.510684269250963524e-03,0.000000000000000000e+00,-5.031076898635482644e-03,-7.331552806011318313e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.424212435282086742e-04,-1.585157836128670006e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.530933488621145228e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.523622759058145870e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.754785161569954510e-03,0.000000000000000000e+00,-4.328706410701160454e-03,0.000000000000000000e+00,-2.207603364131869444e-03,0.000000000000000000e+00,-4.431610241718278095e-03,0.000000000000000000e+00,-8.189862104390176201e-03,-6.066472252330031706e-03,-9.053153214287840492e-03,-5.193602783915955007e-03,-1.458563244322680363e-02,-1.833484688507752355e-02,-2.065907905103799014e-02,-2.264164191564437337e-02,-1.825262322600985920e-02,-1.985699725655262413e-02,-2.204913175155991112e-02,-2.823410085044035511e-02,-3.040429288852826775e-02,-3.051365314216545124e-02,-1.645116576380327086e-02,-2.234039240247494978e-02,-2.133417116750414150e-02,-1.819093569545972636e-02,-1.447073442948099836e-02,-2.341089356406156341e-02,-9.974845722482372085e-03,-1.142868884480797466e-02,-5.734210791663703344e-03,-9.177951314864398608e-03,-7.204184462958880195e-03,-1.195899786459103664e-02,-2.136314460852561242e-03,0.000000000000000000e+00,-5.159468676527292907e-03,0.000000000000000000e+00,-3.017667785979248618e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.238771670732825736e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.099658290203328309e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.359944195237853870e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.043476400412823357e-03,0.000000000000000000e+00,-1.200411923208320741e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.232453447664782542e-03,-2.742362532792800255e-03,0.000000000000000000e+00,-1.852371346909341757e-03,-6.822177767119352865e-03,-2.359352670213032965e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.255504593413114822e-03,4.412496263827211940e-04,2.456602753150408797e-03,2.207656065475934251e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.143560492508417070e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.527783000606079966e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.240612838056012052e-03,4.252149877057955982e-03,8.199025368388485058e-04,0.000000000000000000e+00,3.365177650488659911e-03,4.965281260568485400e-04,9.092867443780076192e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.938191531436165627e-03,8.402322562808123285e-04,1.747900440927874222e-03,1.292279119693928724e-03,1.697115540586484339e-03,4.388703927901992097e-03,7.029440080677733238e-03,5.068448377571446901e-03,3.912241245187523392e-03,9.624957526189088786e-03,4.258136383902051680e-03,1.193119443002109772e-02,1.140696874536916740e-02,7.677930344689970488e-03,1.635434919152140010e-02,7.107210682129619372e-03,8.159354396333709514e-03,1.190986625772570001e-02,8.826289222046306004e-03,8.478611624532089719e-03,8.213134953711294373e-03,8.213659768152227481e-03,9.641539481100313419e-03,1.175130317239060293e-02,1.014060495415675112e-02,6.975549843935321959e-03,1.459002067035742277e-02,1.253316772747845032e-02,8.576326081705427581e-03,9.075525845901540739e-03,1.082586845476794790e-02,1.005652218641677614e-02,8.323905853028846710e-03,9.709898741726459559e-03,8.369769322840680398e-03,8.416711710329842153e-03,7.814575844561973128e-03,9.424840103726524199e-03,1.151378426194866328e-02,6.042543067001141660e-03,9.971536928182873905e-03,5.551959452989162214e-03,7.316533090217146318e-03,9.667500696491731355e-03,1.078784897035718268e-02,6.864795939319413842e-03,7.552165140244607167e-03,7.589257288695576420e-03,3.813245230224505955e-03,1.089728798049882652e-02,8.864798030146531227e-03,5.718091428618829464e-03,3.272936874630781590e-03,6.840682970496350657e-03,0.000000000000000000e+00,1.186364957290433203e-03,1.822220667300852859e-03,1.782654069555626719e-03,2.919004420737635053e-03,0.000000000000000000e+00,4.044049772157110034e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.334669635365448817e-03,3.460519312222576360e-03,0.000000000000000000e+00,1.964201305593160640e-03,3.057013181702428195e-03,3.204872255218649268e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.674671562112223122e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.772237297385643354e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.791296264014770601e-03,-1.278339858694589257e-03,-3.523045336119023929e-04,-2.445728837618593721e-03,-9.734929217951630506e-04,-1.248891958581031629e-03,-9.156934515722053858e-04,-5.783987120760711309e-03,-9.718899979495418395e-03,-1.568483479639393163e-02,-1.493181645619739983e-02,-1.892169694961333415e-02,-2.334466839246424064e-02,-2.070560455060591054e-02,-2.031313640321407224e-02,-2.515023730692466167e-02,-2.254844819581222626e-02,-2.205934919894964041e-02,-3.013354963522588831e-02,-2.570922913851712843e-02,-2.946882832710392280e-02,-2.671123939198196545e-02,-2.662521152156882565e-02,-1.743287572594989787e-02,-1.491470350128538264e-02,-1.115485517170128338e-02,-9.576369668693789083e-03,-1.524087410458023831e-02,-6.042440762035972135e-03,-6.147889687901059164e-03,-1.157288733378464274e-02,-9.841016878211747421e-03,-8.981100804392920869e-04,0.000000000000000000e+00,-3.021217344592659615e-03,-1.890636348545988304e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.228057465879041354e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.151642361262320891e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.288204582552807509e-03,-1.863620465029795781e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.899777840908190407e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.152459173789322222e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.263035910295244590e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.419656747135073616e-04,0.000000000000000000e+00,-4.170506577532151482e-03,-4.337052129261831368e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.234265265442070270e-03,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-3.960719023988548693e-04,-4.195799334444166862e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.856584117326088634e-03,-3.453947940773822306e-03,-4.333382339470549099e-03,-2.969760285847389270e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.408161312941613508e-04,0.000000000000000000e+00,-7.994350383373205471e-04,-2.701222042392526640e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.109946204516656820e-03,-6.830424737041478067e-03,-4.277217281492447232e-03,-5.956023012032192476e-04,-5.650436416040016674e-03,-1.255009549675045050e-02,-1.351936876372500373e-02,-9.732241203301154539e-03,-1.294646998185493975e-02,-2.268952131358199092e-02,-1.910747646236837446e-02,-2.165216151966614655e-02,-2.566804354688177053e-02,-2.512467920353881473e-02,-2.141125960267981077e-02,-3.338480099941458501e-02,-2.470327496997315464e-02,-1.875698058653996192e-02,-1.201941744608151820e-02,-2.451630934688299457e-02,-2.313436782322560170e-02,-1.824337751138332964e-02,-2.222195303749058271e-02,-1.347053781693391405e-02,-4.828502268667045350e-03,-6.103683651814371947e-03,-8.720391508804284375e-03,-8.346922329284262726e-04,-9.256386439021782597e-03,-3.792971235482028858e-03,-1.305702601668179419e-03,-2.247715438056907544e-03,0.000000000000000000e+00,-1.339025871334290074e-03,-3.876122779829453691e-03,0.000000000000000000e+00,0.000000000000000000e+00,-7.819754886353724732e-04,-1.606281161738800506e-03,-2.769285136983688084e-03,-2.368529057400772797e-03,0.000000000000000000e+00,-2.803383094922257124e-03,0.000000000000000000e+00,-2.393931398295322255e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.627668135795054538e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.314625767486533370e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.756137748055821901e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.541987085659231482e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.105813081900774986e-03,-4.092706018790970290e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.489423036325433269e-03,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.368663233830542642e-03,0.000000000000000000e+00,3.060739182832983817e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.808781583908694611e-03,2.543485701625429474e-03,0.000000000000000000e+00,7.257810402712984443e-04,3.207159850262561104e-03,0.000000000000000000e+00,6.909117588878837396e-03,3.156406318160179247e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.173956519719603617e-04,1.402708860892938007e-03,3.750579631212767797e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.510723126378774928e-03,4.572249712395484202e-03,1.808382474693119753e-03,4.664358615985114004e-03,6.794823184888956757e-03,4.511218142556410252e-03,3.791473985557427401e-03,1.042995441754478690e-02,1.086222628796039771e-02,7.890304787264795783e-03,1.354328221990498682e-02,6.672643282238654994e-03,1.045479171950579149e-02,6.310154183711162712e-03,8.633086197343358553e-03,6.700022733174417801e-03,8.545430004187533693e-03,8.380402034676132095e-03,4.387925588919212860e-03,1.062202736584712953e-02,8.283799366253513305e-03,1.174081159853751499e-02,1.434692473553185466e-02,1.049143347608264693e-02,4.629088162010845664e-03,6.765376326068774440e-03,1.039906508363221821e-02,5.474694890671445019e-03,4.262594472299830947e-03,7.369261716981123124e-03,8.585570279331829202e-03,9.298841533614109894e-03,1.107295659436119580e-02,1.036851701770467177e-02,6.830749308698029487e-03,8.968958282386599312e-03,1.404172550546429511e-02,1.411163255783735859e-02,1.262320133868579698e-02,1.201125263379194605e-02,9.295496197620128909e-03,9.100884574635367125e-03,5.922709116600707348e-03,5.981426892160456379e-03,8.532357281438921609e-03,5.780993809608697687e-03,9.075511613250795279e-03,6.744053007050741788e-03,6.976742336745984582e-03,4.625367975679646471e-03,7.932547841753503567e-03,1.780185994237307168e-03,4.011900040832669379e-03,3.432019351308240873e-03,0.000000000000000000e+00,1.873623302311354377e-03,4.105934422163294226e-03,0.000000000000000000e+00,5.894051136184942641e-04,2.509104198416739484e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.351885228623834923e-03,6.530802092885659715e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.569819442263844567e-04,3.909884547704689517e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.397639325520116937e-03,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.283304806147412602e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.025957030850904506e-03,-3.544288866968836604e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.008539833918965289e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.908400810095772782e-03,-2.084137384983530961e-03,0.000000000000000000e+00,-4.717191282949950715e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.777208846647837515e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.812675817221638175e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.939441398177199627e-03,0.000000000000000000e+00,-4.545564751532782388e-03,-9.461550635848081647e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.470608378535744443e-03,-3.985573905994244104e-03,0.000000000000000000e+00,-2.290970595301533574e-03,-2.820783959121275775e-03,-5.757725118946233067e-03,-5.522649004943813722e-03,-6.083367601569911187e-03,-1.202565147757311825e-02,-5.868734257282959277e-03,-8.356134971096940145e-03,-1.307584817841889180e-02,-1.300480942385578986e-02,-1.626396589637163492e-02,-2.078037965441525969e-02,-2.069508981344675425e-02,-2.621027352809401911e-02,-2.503205000296693239e-02,-2.306739059957652049e-02,-2.689440503007564653e-02,-2.444804733390409934e-02,-2.820332426970689754e-02,-2.920943996334193771e-02,-1.906042569918497964e-02,-2.329332521540933287e-02,-1.899663098502823999e-02,-1.648541490485361249e-02,-8.197885720568065526e-03,-1.329984054682248340e-02,-7.726353918315886915e-03,-3.569907408325745379e-03,-5.952334808565939994e-03,-9.330115939805871950e-03,-2.691723437188708878e-03,0.000000000000000000e+00,-2.077039938030489363e-03,-3.530659198064334259e-03,0.000000000000000000e+00,-2.076845356302481349e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.533511058074870981e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.904525940878754930e-03,0.000000000000000000e+00,-2.831452772965370457e-03,0.000000000000000000e+00,0.000000000000000000e+00,-7.972543248716545961e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.896837308682288281e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.030610689577772909e-03,-7.756004516814907213e-03,0.000000000000000000e+00,-4.975665949892293938e-04,0.000000000000000000e+00,-8.624089501984566475e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.859182896532751705e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.366182713999910980e-03,0.000000000000000000e+00,-1.485533614485556875e-03,-2.458415077270015292e-03,0.000000000000000000e+00,-3.430921542556086834e-03,0.000000000000000000e+00,-2.232098547267247213e-03,-7.964548106520474846e-05,-1.755252220022485155e-03,-6.391223994183903301e-03,0.000000000000000000e+00,-4.959018609482890305e-03,-7.246532479962597417e-03,-6.221183446432243525e-03,-7.626693525298655629e-03,-1.483836553837963868e-02,-9.049185402152104540e-03,-1.886831672637576118e-02,-2.725337017918361138e-02,-2.183994742472666895e-02,-1.444220965260256673e-02,-2.567794301758674624e-02,-2.140688344352117967e-02,-2.723217187444382237e-02,-2.356289366747332803e-02,-2.673260505462027314e-02,-2.400424420990593388e-02,-2.434730134491486231e-02,-1.648343603415869385e-02,-2.248087633422235498e-02,-1.725195523309797085e-02,-1.037762908601425060e-02,-1.293079334171809425e-02,-1.668336895525152075e-02,-8.697942371027500563e-03,-9.949043758442854823e-03,-3.799808431076023840e-03,-3.934884182740239211e-04,-8.059509923440955070e-04,-6.220279950999607621e-03,-2.940245763608073659e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.759637394591784254e-03,-3.923860244025190180e-03,0.000000000000000000e+00,-1.389734879396309353e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.238036750563225041e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.129214405998030246e-03,0.000000000000000000e+00,0.000000000000000000e+00,-5.948712416895762800e-03,0.000000000000000000e+00
2.003505314686293559e-03,2.073426481282170108e-04,0.000000000000000000e+00,6.793578973373071150e-03,2.337982329631504985e-03,3.469584763704236519e-03,0.000000000000000000e+00,8.109921628478011790e-04,1.163524006257632415e-03,2.315009114791627409e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.320253624522205183e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.011727255989754326e-04,1.592422427965090037e-03,2.228545247734609047e-03,8.198860433970278638e-04,9.219914086084912697e-04,3.843109563012148122e-03,2.297417812776536561e-03,1.551433313791095170e-03,7.804220116715387956e-03,4.343943478525152946e-03,4.110633262042862057e-03,2.264848832315924376e-03,6.394944723492668182e-03,3.620835104599887111e-03,8.567303920175017851e-03,7.765393102504514200e-03,0.000000000000000000e+00,8.135138546359221845e-03,4.482998419609141028e-03,1.287168555183337837e-02,5.570895520829954872e-03,9.735706165225399555e-03,3.174479301156801769e-03,6.913269701358221164e-03,1.398598485143093262e-02,1.352651485750688831e-02,1.079322841685687040e-02,1.182925332883055791e-02,1.017881471121528936e-02,5.977363158118698117e-03,1.292420824854118022e-02,1.046866322038059183e-02,1.301757857147284314e-02,8.285335179358033209e-03,1.210753074188219980e-02,6.646516015685555168e-03,8.371317048280813022e-03,7.034244704783532143e-03,7.717929284882046881e-03,8.027624764438190397e-03,1.034301452813571331e-02,7.563209195698861187e-03,7.536162656778838675e-03,4.572805229416415651e-03,1.153858242749972174e-02,1.020823101150175605e-02,7.711937324029582985e-03,5.054071805548288054e-03,1.158547352693579946e-02,1.222889343347860480e-02,6.193220801338661374e-03,5.489417013714636973e-03,8.080178382557312577e-03,6.686601802017966278e-03,1.230534087174373070e-02,4.186695998097678117e-04,6.689406138160158832e-03,3.975319414351891067e-03,3.796748210307510085e-03,2.518727849926238882e-03,4.497828575660778316e-03,6.730340868125683773e-03,5.919760965802156605e-03,6.849634234247808928e-03,3.044732017259965673e-05,0.000000000000000000e+00,7.682026749612491656e-04,0.000000000000000000e+00,4.705681492068181093e-03,0.000000000000000000e+00,2.078427027958351658e-03,1.608672511206277189e-03,3.255811015350495996e-03,0.000000000000000000e+00,1.542123980889376078e-04,0.000000000000000000e+00,5.867250503039656007e-04,3.346778440697417700e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-9.129068348165403357e-04,0.000000000000000000e+00,-1.501646233963094268e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.894584894777898043e-04,0.000000000000000000e+00,-4.960241229892609072e-03,-3.475563468363473962e-03,0.000000000000000000e+00,-1.265314938501460595e-03,0.000000000000000000e+00,0.000000000000000000e+00,-3.937945511916673968e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.887535915763628225e-03,-4.332301587421955036e-03,-9.907357637481684076e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.726309808823713432e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.904784558286160889e-03,0.000000000000000000e+00,-1.620704218167068333e-04,0.000000000000000000e+00,0.000000000000000000e+00,-4.838459000229555773e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.673497778970527428e-03,-4.341604881392346904e-03,-5.753922584136761387e-03,-6.583119189094849277e-03,-8.817644712871719470e-03,-5.775704868311914986e-03,-1.471692943010871613e-02,-1.432660753132386500e-02,-2.194120290838533216e-02,-2.316777084254706409e-02,-2.632803090563345938e-02,-2.394465780379670394e-02,-2.742187399412732152e-02,-2.983959738299180042e-02,-2.087683330196304921e-02,-2.620813920992476342e-02,-2.437023469692145561e-02,-1.683505858842992975e-02,-1.711616751570152473e-02,-2.962644985620793703e-02,-1.954411003842571048e-02,-1.510468524446681449e-02,-9.634607824340224447e-03,-1.785678822075328909e-02,-5.057955640891842464e-03,-9.694772355049341428e-03,-2.351784057385730708e-03,0.000000000000000000e+00,-3.628735479007549891e-03,-9.248869165156548000e-04,0.000000000000000000e+00,-9.067855776235145271e-03,-6.826854712779995005e-03,-4.094064834175292766e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.924688290409371838e-05,-1.491414658305573182e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.554632855448463191e-03,0.000000000000000000e+00,-2.511704064542763515e-03,0.000000000000000000e+00,0.000000000000000000e+00,-6.087620378427416323e-04,0.000000000000000000e+00,0.000000000000000000e+00,-8.920883163826831552e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.086086832583717410e-04,0.000000000000000000e+00
1.697979828672847857e-03,0.000000000000000000e+00,2.253801948914512659e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.177829018718897988e-03,4.930257602783115478e-03,0.000000000000000000e+00,2.008504288816707894e-03,0.000000000000000000e+00,1.345559141662632657e-03,1.788824908698435565e-03,3.727509440362250515e-03,1.123910042049277788e-03,3.035834566428103481e-03,4.065023887837564825e-03,3.277579381493256339e-03,3.566663771843935418e-03,5.957108825118346065e-03,7.941998168239823574e-04,8.228048205623405414e-03,5.716535368756481966e-03,9.313880692707627446e-03,9.193685932664350316e-03,4.435389471455858379e-03,9.829607722426882827e-03,6.190069343127557050e-03,1.137950641761291751e-02,1.159953995299529972e-02,2.845524850016360133e-03,1.303136750502072519e-02,4.887183673234485326e-03,5.841141888754366324e-03,1.166199863829893435e-02,9.840215717300907286e-03,1.295690760017752241e-02,9.812756114893968207e-03,8.713806690618452339e-03,1.672104948480434422e-02,9.378869257021993713e-03,6.231792863651122727e-03,7.933552537040110264e-03,1.117935537501828572e-02,1.060924513901840595e-02,7.023242300067509755e-03,1.296608798768790309e-02,1.279800216354101162e-02,5.039796954648130545e-03,9.727248055472516308e-03,8.437677539182376896e-03,7.291233809421151027e-03,1.243798148745854648e-02,5.768615306181720109e-03,4.953605516106178441e-03,7.866039493319180662e-03,1.280921638765614851e-02,8.641118843290489238e-03,1.047018668600020914e-02,1.079070449377668439e-02,8.054744780266086951e-03,6.167938190806479537e-03,7.596176527442427898e-03,6.258042793642538959e-03,5.033364311602044755e-03,9.622467646812904452e-04,4.480051120809538240e-03,7.453055606866584859e-03,6.781579240663979449e-03,6.927045486485468827e-03,0.000000000000000000e+00,3.539989148137800967e-03,6.066833637795761291e-04,4.270413091848867734e-03,6.118518326158114279e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.337271291068028306e-03,2.062036475594743873e-03,5.056464255948026759e-04,0.000000000000000000e+00,1.263193524683917969e-03,7.585375512266234743e-04,7.757801711967826641e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
