s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
5.554613657295703888e-03,4.124922212213277817e-03,4.594197496771812439e-03,4.218190908432006836e-03,4.361533094197511673e-03,4.265799187123775482e-03,4.551250487565994263e-03,4.492261912673711777e-03,4.266386851668357849e-03,5.123937968164682388e-03,5.080608185380697250e-03,4.411591682583093643e-03,4.982620012015104294e-03,4.963474348187446594e-03,5.216647870838642120e-03,4.287475254386663437e-03,4.218703601509332657e-03,5.022229161113500595e-03,4.489181563258171082e-03,4.116494208574295044e-03,5.031983833760023117e-03,5.154842510819435120e-03,4.955001175403594971e-03,5.152068100869655609e-03,4.798941314220428467e-03,4.886849783360958099e-03,5.030725616961717606e-03,5.040994845330715179e-03,5.016756709665060043e-03,4.163532983511686325e-03,5.057322327047586441e-03,4.806683864444494247e-03,4.250033758580684662e-03,5.178339313715696335e-03,5.073952488601207733e-03,4.761850461363792419e-03,4.487617406994104385e-03,4.380073398351669312e-03,5.087200086563825607e-03,4.518942907452583313e-03,4.759582225233316422e-03,4.736216273158788681e-03,4.638489801436662674e-03,4.783789161592721939e-03,5.097689572721719742e-03,4.874763078987598419e-03,4.530891310423612595e-03,5.166005808860063553e-03,4.857362248003482819e-03,4.803605377674102783e-03,5.662015639245510101e-03,5.204803310334682465e-03,4.518475383520126343e-03,4.420946352183818817e-03,4.923059605062007904e-03,4.392232280224561691e-03,4.694794770330190659e-03,4.934406373649835587e-03,4.417495336383581161e-03,4.696523770689964294e-03,4.509270191192626953e-03,4.981839563697576523e-03,4.887138027697801590e-03,4.697315394878387451e-03,4.632287658751010895e-03,4.924162290990352631e-03,3.900107927620410919e-03,4.946722649037837982e-03,5.063297692686319351e-03,4.218184854835271835e-03,4.898030310869216919e-03,5.390965845435857773e-03,4.341681022197008133e-03,4.936694167554378510e-03,5.060473922640085220e-03,4.482901655137538910e-03,5.257664248347282410e-03,5.190880037844181061e-03,4.300825297832489014e-03,4.825682844966650009e-03,5.693109240382909775e-03,5.086519289761781693e-03,5.325643811374902725e-03,3.967424388974905014e-03,5.231129005551338196e-03,3.802978200837969780e-03,4.915405996143817902e-03,4.551060032099485397e-03,4.510501399636268616e-03,5.457387771457433701e-03,5.355108994990587234e-03,5.242557730525732040e-03,4.752316977828741074e-03,4.348403774201869965e-03,5.041807889938354492e-03,4.978354088962078094e-03,4.649757873266935349e-03,4.669373389333486557e-03,4.385325126349925995e-03,4.066260065883398056e-03
2.734418213367462158e-01,2.876655757427215576e-01,2.754460573196411133e-01,2.668053507804870605e-01,2.804933190345764160e-01,2.730450928211212158e-01,2.630853950977325439e-01,2.906017601490020752e-01,2.935728728771209717e-01,2.842265963554382324e-01,2.641300857067108154e-01,2.683476507663726807e-01,2.655142247676849365e-01,2.708999216556549072e-01,2.940007448196411133e-01,2.708692848682403564e-01,2.897303402423858643e-01,2.845479547977447510e-01,2.833881080150604248e-01,2.876551747322082520e-01,2.660770714282989502e-01,2.872413396835327148e-01,2.947042286396026611e-01,2.666048705577850342e-01,2.895349562168121338e-01,2.818689346313476562e-01,2.909984588623046875e-01,2.676106691360473633e-01,2.714469432830810547e-01,2.831069231033325195e-01,2.812002301216125488e-01,2.645899653434753418e-01,2.892264723777770996e-01,2.859790921211242676e-01,2.668045163154602051e-01,2.700672447681427002e-01,2.683354616165161133e-01,2.734839022159576416e-01,2.662608027458190918e-01,2.835265696048736572e-01,2.603496015071868896e-01,2.617723345756530762e-01,2.669332623481750488e-01,2.798816561698913574e-01,2.612812221050262451e-01,2.848204672336578369e-01,2.672671675682067871e-01,2.753330469131469727e-01,2.882889807224273682e-01,2.691056728363037109e-01,2.834718227386474609e-01,2.604221999645233154e-01,2.720321714878082275e-01,2.701347768306732178e-01,2.620454430580139160e-01,2.922812700271606445e-01,2.675851881504058838e-01,2.707933485507965088e-01,2.773052752017974854e-01,2.875794768333435059e-01,2.916253209114074707e-01,2.850100100040435791e-01,2.961174249649047852e-01,2.700657248497009277e-01,2.620391249656677246e-01,2.867602407932281494e-01,2.668232917785644531e-01,2.656175792217254639e-01,2.788794934749603271e-01,2.644271552562713623e-01,2.762652039527893066e-01,2.857862114906311035e-01,2.650077044963836670e-01,2.637321352958679199e-01,2.865460216999053955e-01,2.839786708354949951e-01,2.747447192668914795e-01,2.816988229751586914e-01,2.660998702049255371e-01,2.912513017654418945e-01,2.718119323253631592e-01,2.779023349285125732e-01,2.960110008716583252e-01,2.653879821300506592e-01,2.836020290851593018e-01,2.927461564540863037e-01,2.622581720352172852e-01,2.675881683826446533e-01,2.739126682281494141e-01,2.760699987411499023e-01,2.779729962348937988e-01,2.709294855594635010e-01,2.836193144321441650e-01,2.946169078350067139e-01,2.680818736553192139e-01,2.811918854713439941e-01,2.948556244373321533e-01,2.950334548950195312e-01,2.913500070571899414e-01,2.874124050140380859e-01
4.583822563290596008e-03,4.729906562715768814e-03,5.326835904270410538e-03,4.737198352813720703e-03,5.072410218417644501e-03,4.756014794111251831e-03,4.420417360961437225e-03,5.376123357564210892e-03,4.256260115653276443e-03,4.635787103325128555e-03,4.752513021230697632e-03,4.295774269849061966e-03,4.973459988832473755e-03,4.500276409089565277e-03,4.617702681571245193e-03,4.914163146167993546e-03,4.851999226957559586e-03,4.172738175839185715e-03,4.639628343284130096e-03,4.211602266877889633e-03,4.785818979144096375e-03,4.887998104095458984e-03,5.023976322263479233e-03,4.330854397267103195e-03,4.577426239848136902e-03,4.275834653526544571e-03,4.184752702713012695e-03,4.743490833789110184e-03,5.151195451617240906e-03,4.919554572552442551e-03,4.838408902287483215e-03,5.066060926765203476e-03,5.176409147679805756e-03,4.618211649358272552e-03,4.982276819646358490e-03,5.224587395787239075e-03,3.883343655616044998e-03,4.553452134132385254e-03,4.963262472301721573e-03,4.239223431795835495e-03,5.223305895924568176e-03,4.011022858321666718e-03,4.471781663596630096e-03,4.892984870821237564e-03,5.152280442416667938e-03,4.790738690644502640e-03,4.010457079857587814e-03,4.610880743712186813e-03,5.568142514675855637e-03,4.837362095713615417e-03,5.006774328649044037e-03,5.112380720674991608e-03,4.625028930604457855e-03,4.161244258284568787e-03,5.224086809903383255e-03,4.482043907046318054e-03,4.190573003143072128e-03,4.817107692360877991e-03,4.836301784962415695e-03,4.747605416923761368e-03,5.254482850432395935e-03,4.652170464396476746e-03,4.624302498996257782e-03,4.934113938361406326e-03,4.612548742443323135e-03,4.203393124043941498e-03,5.306095816195011139e-03,4.110672976821660995e-03,4.371344577521085739e-03,5.175407044589519501e-03,4.310134332627058029e-03,4.325041081756353378e-03,4.380472935736179352e-03,4.668930079787969589e-03,5.250180140137672424e-03,5.466761998832225800e-03,5.003836937248706818e-03,4.008181858807802200e-03,4.845368210226297379e-03,4.209856968373060226e-03,4.518192261457443237e-03,4.904279019683599472e-03,4.830058664083480835e-03,4.774407017976045609e-03,4.719879012554883957e-03,4.342736676335334778e-03,5.547393579035997391e-03,5.120499525219202042e-03,4.622621461749076843e-03,4.382424056529998779e-03,4.786489065736532211e-03,5.235189571976661682e-03,4.543842282146215439e-03,5.285393446683883667e-03,5.228762514889240265e-03,5.106628406792879105e-03,5.091442260891199112e-03,4.727101419121026993e-03,4.618248436599969864e-03,4.720340017229318619e-03
4.553694278001785278e-03,4.740108270198106766e-03,4.534344654530286789e-03,4.399789031594991684e-03,5.473602563142776489e-03,5.107517819851636887e-03,4.619434941560029984e-03,5.258007906377315521e-03,5.076830275356769562e-03,4.879049025475978851e-03,4.777316935360431671e-03,4.809011239558458328e-03,4.252014216035604477e-03,5.443522706627845764e-03,4.473492968827486038e-03,3.850387642160058022e-03,4.872255958616733551e-03,5.053151398897171021e-03,4.545995499938726425e-03,5.169670563191175461e-03,5.153189878910779953e-03,4.909588024020195007e-03,4.658763296902179718e-03,4.584251437336206436e-03,4.779738839715719223e-03,4.218066576868295670e-03,4.617740400135517120e-03,4.311444237828254700e-03,4.402511753141880035e-03,4.001775290817022324e-03,4.696341231465339661e-03,5.222324747592210770e-03,4.628586582839488983e-03,4.534267354756593704e-03,4.758025985211133957e-03,4.375332966446876526e-03,4.575953353196382523e-03,4.849710967391729355e-03,4.358554258942604065e-03,5.001204553991556168e-03,4.370402544736862183e-03,4.099859390407800674e-03,4.761084448546171188e-03,4.475009161978960037e-03,4.509721882641315460e-03,5.536724347621202469e-03,5.503513850271701813e-03,5.043497309088706970e-03,4.867830779403448105e-03,4.553307313472032547e-03,5.429543554782867432e-03,4.720976576209068298e-03,4.395649302750825882e-03,4.259720910340547562e-03,4.017443861812353134e-03,5.372558254748582840e-03,5.405209958553314209e-03,4.877266474068164825e-03,4.733620677143335342e-03,4.515915177762508392e-03,5.136949010193347931e-03,4.595320206135511398e-03,4.605285823345184326e-03,5.057821050286293030e-03,4.212000407278537750e-03,4.280734341591596603e-03,5.264007020741701126e-03,4.490848165005445480e-03,4.508202429860830307e-03,4.784917458891868591e-03,4.288120195269584656e-03,4.491860978305339813e-03,4.959804005920886993e-03,5.008917301893234253e-03,5.176556296646595001e-03,4.965919535607099533e-03,4.631006158888339996e-03,5.277915857732295990e-03,4.476275760680437088e-03,4.614764824509620667e-03,4.898288287222385406e-03,5.407479126006364822e-03,4.599383566528558731e-03,4.192623309791088104e-03,4.939431324601173401e-03,5.072561558336019516e-03,5.045804195106029510e-03,5.120210349559783936e-03,4.818637389689683914e-03,4.766661673784255981e-03,4.632646217942237854e-03,4.393833689391613007e-03,4.380607977509498596e-03,5.257848650217056274e-03,4.997506737709045410e-03,4.218230955302715302e-03,4.698227159678936005e-03,4.960498306900262833e-03,4.838631488382816315e-03,4.412726964801549911e-03
2.639671564102172852e-01,2.711910903453826904e-01,2.772808074951171875e-01,2.815507948398590088e-01,2.858264148235321045e-01,2.655676007270812988e-01,2.855066061019897461e-01,2.842241823673248291e-01,2.836740314960479736e-01,2.837768197059631348e-01,2.650491595268249512e-01,2.912732660770416260e-01,2.841396927833557129e-01,2.726782560348510742e-01,2.851995825767517090e-01,2.752470076084136963e-01,2.953439354896545410e-01,2.602552175521850586e-01,2.802928090095520020e-01,2.631756365299224854e-01,2.755545079708099365e-01,2.892763316631317139e-01,2.681988775730133057e-01,2.670427858829498291e-01,2.717286050319671631e-01,2.667335867881774902e-01,2.679179906845092773e-01,2.717431783676147461e-01,2.791188657283782959e-01,2.617162466049194336e-01,2.659555375576019287e-01,2.731937468051910400e-01,2.708919048309326172e-01,2.871784269809722900e-01,2.805731594562530518e-01,2.694846987724304199e-01,2.704082727432250977e-01,2.724512815475463867e-01,2.612917721271514893e-01,2.889953851699829102e-01,2.612403333187103271e-01,2.924891114234924316e-01,2.823906242847442627e-01,2.686316370964050293e-01,2.904377877712249756e-01,2.798976600170135498e-01,2.729833722114562988e-01,2.604923844337463379e-01,2.612889707088470459e-01,2.889821827411651611e-01,2.655116617679595947e-01,2.758219838142395020e-01,2.689293920993804932e-01,2.766081392765045166e-01,2.917752861976623535e-01,2.683690488338470459e-01,2.695444226264953613e-01,2.938466370105743408e-01,2.947050333023071289e-01,2.607067823410034180e-01,2.794294953346252441e-01,2.689980566501617432e-01,2.676302790641784668e-01,2.709349989891052246e-01,2.639005184173583984e-01,2.686416208744049072e-01,2.731683552265167236e-01,2.937220633029937744e-01,2.757786810398101807e-01,2.930163145065307617e-01,2.847367227077484131e-01,2.716334760189056396e-01,2.870172560214996338e-01,2.667121589183807373e-01,2.933883666992187500e-01,2.864054441452026367e-01,2.816704809665679932e-01,2.951901555061340332e-01,2.770453393459320068e-01,2.797498106956481934e-01,2.718528509140014648e-01,2.814199626445770264e-01,2.871985435485839844e-01,2.834299504756927490e-01,2.811892032623291016e-01,2.932827472686767578e-01,2.650405168533325195e-01,2.848978638648986816e-01,2.923187613487243652e-01,2.816453278064727783e-01,2.916946411132812500e-01,2.896020412445068359e-01,2.624363005161285400e-01,2.854519784450531006e-01,2.802704870700836182e-01,2.682614028453826904e-01,2.873462736606597900e-01,2.873250246047973633e-01,2.691734433174133301e-01,2.720582485198974609e-01
4.781267605721950531e-03,5.001045763492584229e-03,5.229788832366466522e-03,5.196546204388141632e-03,4.330424591898918152e-03,5.160264670848846436e-03,4.806872922927141190e-03,4.605594091117382050e-03,5.414387676864862442e-03,4.749496467411518097e-03,4.095428157597780228e-03,4.968646448105573654e-03,4.535449203103780746e-03,4.850252065807580948e-03,4.556808155030012131e-03,4.800283350050449371e-03,4.811957944184541702e-03,4.746861755847930908e-03,4.506736528128385544e-03,5.222121719270944595e-03,4.882744979113340378e-03,5.112644750624895096e-03,4.454461392015218735e-03,4.901473410427570343e-03,5.330827087163925171e-03,4.137733019888401031e-03,4.488585051149129868e-03,4.135746974498033524e-03,5.050141364336013794e-03,5.098702851682901382e-03,4.995359107851982117e-03,4.533787257969379425e-03,4.761039279401302338e-03,5.182290915399789810e-03,4.780435003340244293e-03,4.761978983879089355e-03,4.192503634840250015e-03,4.582663066685199738e-03,4.534084349870681763e-03,5.260620266199111938e-03,4.543061368167400360e-03,4.443828947842121124e-03,4.934783559292554855e-03,4.522664006799459457e-03,4.596535582095384598e-03,4.389172419905662537e-03,4.126372281461954117e-03,4.724369850009679794e-03,4.958992358297109604e-03,4.241079557687044144e-03,4.739667754620313644e-03,4.797470755875110626e-03,4.437761846929788589e-03,4.538382403552532196e-03,5.471438169479370117e-03,5.141098517924547195e-03,4.321681335568428040e-03,3.953185398131608963e-03,4.386970307677984238e-03,4.491997882723808289e-03,4.028310999274253845e-03,4.592331126332283020e-03,4.348982125520706177e-03,4.825495183467864990e-03,5.106812343001365662e-03,4.401750862598419189e-03,4.709699656814336777e-03,4.913470242172479630e-03,5.410716868937015533e-03,5.259691737592220306e-03,4.868879448622465134e-03,4.839646629989147186e-03,4.455151036381721497e-03,4.674080759286880493e-03,4.551211837679147720e-03,4.515955690294504166e-03,4.992594011127948761e-03,5.311486776918172836e-03,4.970551468431949615e-03,4.627843853086233139e-03,4.674100782722234726e-03,3.818279365077614784e-03,4.777248948812484741e-03,4.712769761681556702e-03,4.627736285328865051e-03,4.882691893726587296e-03,4.881427157670259476e-03,4.663703497499227524e-03,4.279882647097110748e-03,4.419249016791582108e-03,4.798626992851495743e-03,5.192810669541358948e-03,4.499738104641437531e-03,4.839361645281314850e-03,4.539007321000099182e-03,4.966308362782001495e-03,4.486247897148132324e-03,4.827164579182863235e-03,4.224007483571767807e-03,4.459617193788290024e-03
4.824508447200059891e-03,4.505821503698825836e-03,5.016737617552280426e-03,5.167437251657247543e-03,5.183057859539985657e-03,4.903981462121009827e-03,4.423016216605901718e-03,4.863861948251724243e-03,4.692473448812961578e-03,4.945361986756324768e-03,5.399814341217279434e-03,5.486427340656518936e-03,5.104535724967718124e-03,5.411669146269559860e-03,4.379973746836185455e-03,4.611060023307800293e-03,4.657067824155092239e-03,4.841888323426246643e-03,5.001214332878589630e-03,4.895495716482400894e-03,4.424786660820245743e-03,4.772601183503866196e-03,5.014384165406227112e-03,4.544163588434457779e-03,4.704198334366083145e-03,4.281378816813230515e-03,4.550291225314140320e-03,5.272863432765007019e-03,4.885688424110412598e-03,4.151566885411739349e-03,4.396696574985980988e-03,4.629498347640037537e-03,4.738574847579002380e-03,4.635492339730262756e-03,4.772322718054056168e-03,4.395204596221446991e-03,4.508029203861951828e-03,4.482120741158723831e-03,4.287562798708677292e-03,4.269010853022336960e-03,4.925125278532505035e-03,4.298949148505926132e-03,4.722560755908489227e-03,4.919698927551507950e-03,5.273230839520692825e-03,5.032788962125778198e-03,5.060811992734670639e-03,4.477956797927618027e-03,4.302230197936296463e-03,5.187647882848978043e-03,5.155329126864671707e-03,5.064121913164854050e-03,4.123643506318330765e-03,4.566395655274391174e-03,4.698880948126316071e-03,5.191313102841377258e-03,4.679589997977018356e-03,4.101713187992572784e-03,4.209209233522415161e-03,4.641934297978878021e-03,4.361549858003854752e-03,5.095143802464008331e-03,4.477004520595073700e-03,5.145844072103500366e-03,4.303239285945892334e-03,4.991229623556137085e-03,3.897828049957752228e-03,4.496120847761631012e-03,4.671750124543905258e-03,5.230106879025697708e-03,4.946114961057901382e-03,4.632571246474981308e-03,4.577991086989641190e-03,4.870559554547071457e-03,3.858157200738787651e-03,4.344994667917490005e-03,4.549543838948011398e-03,5.247927270829677582e-03,4.321660846471786499e-03,5.038330797106027603e-03,4.328488372266292572e-03,4.932678770273923874e-03,5.258082877844572067e-03,4.350818227976560593e-03,4.525051917880773544e-03,4.671530332416296005e-03,4.757267422974109650e-03,5.443569272756576538e-03,4.533849656581878662e-03,5.249684210866689682e-03,4.341122694313526154e-03,4.276575520634651184e-03,5.321043543517589569e-03,4.929564893245697021e-03,4.190199077129364014e-03,4.578030202537775040e-03,4.562053829431533813e-03,5.169366486370563507e-03,4.622876178473234177e-03,4.460947122424840927e-03
2.781252264976501465e-01,2.673625349998474121e-01,2.957455217838287354e-01,2.731630206108093262e-01,2.856865823268890381e-01,2.823536098003387451e-01,2.919145822525024414e-01,2.740971446037292480e-01,2.938704490661621094e-01,2.660194039344787598e-01,2.700642049312591553e-01,2.962082624435424805e-01,2.753072082996368408e-01,2.744861841201782227e-01,2.708297669887542725e-01,2.815443277359008789e-01,2.896476686000823975e-01,2.607486248016357422e-01,2.938972115516662598e-01,2.755037844181060791e-01,2.637685537338256836e-01,2.703305482864379883e-01,2.944974005222320557e-01,2.846618890762329102e-01,2.885806858539581299e-01,2.834006249904632568e-01,2.943255603313446045e-01,2.903946340084075928e-01,2.831619679927825928e-01,2.712429761886596680e-01,2.692429721355438232e-01,2.770969867706298828e-01,2.755256593227386475e-01,2.650083005428314209e-01,2.803501188755035400e-01,2.601266801357269287e-01,2.841758430004119873e-01,2.746569514274597168e-01,2.842943668365478516e-01,2.784307599067687988e-01,2.920317053794860840e-01,2.954841256141662598e-01,2.876793444156646729e-01,2.674092352390289307e-01,2.895684540271759033e-01,2.867375910282135010e-01,2.710034251213073730e-01,2.779578566551208496e-01,2.717248201370239258e-01,2.888533771038055420e-01,2.673864662647247314e-01,2.648006677627563477e-01,2.885233759880065918e-01,2.918713092803955078e-01,2.653994858264923096e-01,2.912987470626831055e-01,2.637908458709716797e-01,2.606398761272430420e-01,2.927207946777343750e-01,2.873549163341522217e-01,2.724016308784484863e-01,2.926255464553833008e-01,2.672678828239440918e-01,2.789991497993469238e-01,2.703841626644134521e-01,2.879821062088012695e-01,2.741862535476684570e-01,2.789633572101593018e-01,2.616377174854278564e-01,2.835603058338165283e-01,2.850991189479827881e-01,2.702647149562835693e-01,2.677134573459625244e-01,2.867654860019683838e-01,2.793852984905242920e-01,2.962264120578765869e-01,2.724221646785736084e-01,2.880293130874633789e-01,2.611344158649444580e-01,2.910885214805603027e-01,2.861790955066680908e-01,2.926456928253173828e-01,2.693141400814056396e-01,2.602523863315582275e-01,2.690967917442321777e-01,2.856429815292358398e-01,2.688717842102050781e-01,2.942370772361755371e-01,2.851899564266204834e-01,2.943195402622222900e-01,2.701452970504760742e-01,2.921658456325531006e-01,2.624191343784332275e-01,2.902947664260864258e-01,2.948537170886993408e-01,2.832949757575988770e-01,2.880453765392303467e-01,2.644864618778228760e-01,2.704590857028961182e-01,2.756489217281341553e-01
4.470414482057094574e-03,4.115663468837738037e-03,5.039187148213386536e-03,5.631749518215656281e-03,4.447991028428077698e-03,5.123784765601158142e-03,5.065830424427986145e-03,4.762261640280485153e-03,4.409359768033027649e-03,5.104039330035448074e-03,5.068063270300626755e-03,5.781849846243858337e-03,4.418628290295600891e-03,5.065702833235263824e-03,4.069778136909008026e-03,4.405507352203130722e-03,4.334487020969390869e-03,4.797163419425487518e-03,4.856375977396965027e-03,5.129723809659481049e-03,5.033667664974927902e-03,4.221124108880758286e-03,4.875875543802976608e-03,4.669617395848035812e-03,4.700683057308197021e-03,4.245645366609096527e-03,4.836579319089651108e-03,4.737274721264839172e-03,4.716110415756702423e-03,4.392240662127733231e-03,4.523503128439188004e-03,5.087578669190406799e-03,4.619835875928401947e-03,4.446903709322214127e-03,5.012864246964454651e-03,5.066174082458019257e-03,4.631621763110160828e-03,4.522251430898904800e-03,4.841321147978305817e-03,5.138385109603404999e-03,4.822727292776107788e-03,4.309712909162044525e-03,4.118131007999181747e-03,4.567303694784641266e-03,4.885929636657238007e-03,5.279260221868753433e-03,5.217325873672962189e-03,4.962574690580368042e-03,5.170697811990976334e-03,4.710348322987556458e-03,4.898172337561845779e-03,4.467192571610212326e-03,4.882527515292167664e-03,5.088129080832004547e-03,3.708373056724667549e-03,4.721948876976966858e-03,5.024288315325975418e-03,4.732280038297176361e-03,5.628621205687522888e-03,5.107227247208356857e-03,4.807972814887762070e-03,5.068270489573478699e-03,5.110513418912887573e-03,4.109540954232215881e-03,4.737297538667917252e-03,4.154252819716930389e-03,5.158389918506145477e-03,4.615956451743841171e-03,4.418470431119203568e-03,4.692704882472753525e-03,3.905289107933640480e-03,4.954742267727851868e-03,5.437196232378482819e-03,4.708522465080022812e-03,4.061641637235879898e-03,4.455358255654573441e-03,5.460151936858892441e-03,4.776657093316316605e-03,4.240876063704490662e-03,4.403381142765283585e-03,5.043171811848878860e-03,4.571541678160429001e-03,5.273811519145965576e-03,4.885769914835691452e-03,5.019946955144405365e-03,4.785056225955486298e-03,5.211542826145887375e-03,5.246215034276247025e-03,4.829114302992820740e-03,4.223880823701620102e-03,4.814639221876859665e-03,5.447008647024631500e-03,4.647599998861551285e-03,4.586865194141864777e-03,4.687236156314611435e-03,4.270269535481929779e-03,4.786573350429534912e-03,4.248187877237796783e-03,4.741492215543985367e-03,4.770533647388219833e-03
2.914531528949737549e-01,2.849149703979492188e-01,2.739228010177612305e-01,2.707720100879669189e-01,2.806725502014160156e-01,2.874886095523834229e-01,2.768304347991943359e-01,2.800078988075256348e-01,2.764815688133239746e-01,2.712196707725524902e-01,2.778468430042266846e-01,2.803213596343994141e-01,2.752933800220489502e-01,2.904354929924011230e-01,2.917788028717041016e-01,2.642793655395507812e-01,2.717763483524322510e-01,2.790827453136444092e-01,2.928321659564971924e-01,2.846702337265014648e-01,2.722592055797576904e-01,2.789241373538970947e-01,2.668172419071197510e-01,2.830924391746520996e-01,2.601536214351654053e-01,2.648591399192810059e-01,2.765780091285705566e-01,2.676109373569488525e-01,2.651973068714141846e-01,2.839182019233703613e-01,2.945947051048278809e-01,2.935080826282501221e-01,2.855260074138641357e-01,2.679233551025390625e-01,2.834203243255615234e-01,2.907565534114837646e-01,2.956235408782958984e-01,2.814819514751434326e-01,2.713921964168548584e-01,2.907963097095489502e-01,2.693258225917816162e-01,2.808671295642852783e-01,2.902180552482604980e-01,2.782699763774871826e-01,2.879954874515533447e-01,2.766912579536437988e-01,2.852942645549774170e-01,2.603278160095214844e-01,2.849044203758239746e-01,2.654203772544860840e-01,2.698209583759307861e-01,2.887623608112335205e-01,2.876183986663818359e-01,2.684738636016845703e-01,2.896108329296112061e-01,2.809939086437225342e-01,2.792943716049194336e-01,2.797588706016540527e-01,2.608649432659149170e-01,2.950182557106018066e-01,2.750116884708404541e-01,2.951363027095794678e-01,2.913092374801635742e-01,2.805252373218536377e-01,2.836951613426208496e-01,2.654342949390411377e-01,2.863233387470245361e-01,2.742767035961151123e-01,2.661474943161010742e-01,2.790314555168151855e-01,2.867296636104583740e-01,2.901399433612823486e-01,2.610441744327545166e-01,2.668613195419311523e-01,2.722622454166412354e-01,2.673309147357940674e-01,2.727269530296325684e-01,2.744151353836059570e-01,2.809339463710784912e-01,2.645491957664489746e-01,2.761071920394897461e-01,2.859026789665222168e-01,2.832188606262207031e-01,2.789284586906433105e-01,2.663221955299377441e-01,2.680342495441436768e-01,2.616166472434997559e-01,2.696458101272583008e-01,2.747634053230285645e-01,2.881391942501068115e-01,2.638636529445648193e-01,2.901629805564880371e-01,2.828009724617004395e-01,2.911702990531921387e-01,2.823220789432525635e-01,2.773509025573730469e-01,2.652447223663330078e-01,2.632780671119689941e-01,2.603585124015808105e-01,2.660673856735229492e-01
