s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
4.519249501534918336e-04,5.166789771322203537e-05,6.640115108848570656e-05,3.383227789732464797e-04,1.825539411498036918e-04,-2.769141211466029069e-04,4.164120935400180811e-04,6.562858392457569237e-04,6.084214157216623299e-04,3.933589315880218904e-05,6.251687477558008025e-04,2.490145876349222605e-04,1.043231359119874721e-04,4.814285582118171011e-04,4.057253351000408918e-05,4.775137065863463382e-04,4.676100501408344949e-04,3.115795456845777442e-04,2.585300755376928336e-04,2.428817461031783657e-04,2.931478577192170526e-04,4.029887134001151981e-04,1.731241911396026853e-04,1.255123112844934484e-03,1.195208912869356833e-03,1.303558337461931463e-03,1.344183047370398716e-03,9.646994481913665756e-04,9.651438238386670027e-04,1.115541785411162381e-03,1.024714922257967398e-03,9.004262120832682258e-04,9.600482107193706845e-04,1.267248043668927748e-03,1.074686972542080333e-03,1.058823439873387683e-03,1.025359079806252311e-03,1.385789841201062484e-03,1.069450171232353168e-03,1.158662455089311477e-03,1.638559871783582759e-03,8.687028039248348562e-04,1.148870550475149157e-03,9.578332488245490210e-04,1.406839339668198956e-03,1.205389675987374653e-03,1.194789628015610573e-03,1.172643279722184340e-03,1.245476442031283456e-03,1.194247762300461963e-03,1.289294911270499671e-03,1.101795108605878011e-03,8.782786809417485402e-04,1.064576814124968416e-03,1.344992169485641383e-03,1.364418872774287575e-03,1.351100639946050189e-03,1.134350381404695051e-03,1.223703023347825006e-03,1.246650854544006058e-03,1.592313073841673593e-03,1.637985206382212757e-03,1.946252623738048502e-03,2.515719199634716772e-03,2.682352252711866451e-03,2.737439363822672441e-03,3.096490557298317223e-03,3.198719017573381593e-03,4.413581208242167188e-03,4.713886023083851268e-03,6.795002208416265656e-03,7.633334351947719532e-03,1.256248909907426749e-02,-2.274007828382978256e-05,3.582256374056916976e-04,4.883965309661524382e-04,1.374692430104912139e-04,6.087240744228376247e-04,1.926816109217406527e-04,6.518058311186634588e-04,3.070003650828719553e-04,3.915611294255962852e-04,4.637850221816053808e-04,4.603122967279010868e-04,5.710486958807522171e-04,2.548264432437211753e-04,3.971672289602501470e-04,4.421602381911614917e-04,1.209444211436797300e-04,1.694358585357495252e-04,2.811025931645909923e-04,2.998654708918737418e-04,2.586844137969240452e-04,1.093179854402767832e-03,4.179165450448803242e-04,8.162823015058459945e-04,-1.252661946576055893e-04,5.571633168836975097e-04,-4.120105884619338385e-04,0.000000000000000000e+00
-1.852650117344765665e-09,1.142040193079685999e-09,-6.734798097741443475e-10,6.668794411794901366e-10,-1.689614402411747932e-09,-8.985111023503333853e-10,8.936715285075390808e-10,-1.791633106937086412e-09,2.666963622546408573e-10,-1.480538240094573787e-09,5.323091492420712928e-10,-1.427637931011121309e-09,-1.491983353422050210e-09,4.364080495588370697e-10,-1.316627867100857328e-09,-5.399897924660146327e-10,-4.112521677209838750e-10,1.356851775325152364e-09,1.286315666427779688e-09,7.588583095696244647e-10,1.384530710521262374e-09,6.609681475445662295e-10,-2.808765157831434312e-10,9.575077232635105283e-10,6.453611189028584045e-10,-9.156954145964231268e-10,-3.789347742841612848e-10,-1.688764098595959378e-10,-1.307942590948357188e-10,-4.104331313345945346e-10,2.953961564613221559e-10,4.577434712790764257e-10,1.902794468376343058e-10,1.574266239895374923e-10,-4.199957595159840328e-10,1.597814520960058270e-11,-4.581829235622917140e-10,-5.058127856530404121e-10,-7.934740729431386934e-10,4.360169812829043960e-10,-2.023616769964077792e-10,-1.091992513892402684e-09,-2.197132774777374532e-11,-5.465251756561435324e-10,-3.150463385948430587e-10,7.777651147893324240e-11,1.599357787379519556e-09,-5.639667152335354360e-10,-2.854184249571342053e-10,6.736617560988317810e-11,-4.428363565574532959e-11,-3.789955496490109420e-10,-4.127032512573875646e-10,6.765639085764942689e-10,4.380696003467631028e-10,9.508571079984755297e-10,1.205112188683616681e-10,3.991260326989769551e-10,5.287461555811727492e-10,-4.206219825947526938e-10,1.166038963268614072e-09,1.209875488945921815e-10,-7.103358077128965791e-11,2.454002283098293934e-10,-6.132480600923953184e-10,-1.416731444255329881e-09,-1.246170357053090970e-11,-4.474795572488166117e-10,-3.729925808781333736e-10,-5.616319846834686941e-10,-4.633006286807867753e-10,4.736485359971674707e-10,3.191324529789240082e-11,-2.673613890185417077e-10,1.664556767474649046e-10,-4.656803754360151772e-10,-1.066730706947018795e-09,-1.339141670961847875e-09,-1.401987054193276853e-09,-1.477988961050781905e-09,-1.327342490216221979e-10,-8.533938216951558544e-10,-2.195042075169070073e-09,-2.074568121798577376e-09,-2.665369414011392453e-09,-2.642759063476975569e-09,-5.184736279844469778e-09,-5.935298220874962182e-09,-9.835601568979431587e-09,-1.452340367562223467e-08,-1.838388476782360794e-08,-2.838451186869186628e-08,-3.847425765396561422e-08,-5.587240244620171140e-08,-8.299929295216645304e-08,-1.166172512816009492e-07,-1.795669016041523582e-07,-2.694027293843359754e-07,-3.678239032691744090e-07,0.000000000000000000e+00
-4.694143285264250061e-04,6.037446938173498439e-04,1.434364336357200377e-04,5.594989175413187096e-04,6.363190474134431708e-03,6.696650560594588283e-03,5.639111662058654897e-03,4.917217757567408747e-03,3.396716280082170709e-03,3.536978542879006156e-03,2.747142921540340725e-03,2.632509153896561184e-03,2.296890224973462385e-03,2.148132391074821911e-03,1.950147627639910262e-03,2.015078126192156125e-03,2.028620257198219829e-03,1.779682581005897352e-03,1.393127502883077925e-03,1.375940026947532939e-03,1.031587765702278317e-03,1.523584338708767983e-03,1.181543826724003451e-03,1.077638099808523545e-03,1.226882814487616560e-03,1.362289182998444341e-03,1.196169090698561040e-03,9.563987723066261085e-04,1.170860321937788624e-03,1.035958846001045494e-03,1.096784182366731045e-03,1.030751678118148112e-03,1.223218191497426732e-03,1.470319395699985461e-03,1.122557274107684839e-03,9.431276776205074330e-04,1.276746478375300788e-03,9.892126145037978373e-04,1.128502204637340254e-03,1.159950018697588703e-03,1.331469122279955964e-03,1.800606426623215656e-03,1.416940002607918652e-03,1.484148041204903009e-03,1.139575532505437408e-03,9.894112382171360576e-04,1.321164006058844504e-03,1.051479440966107291e-03,1.124677442169138685e-03,1.176336749235534123e-03,1.239562692619695147e-03,1.078970371218210527e-03,1.617642245873900098e-03,1.403992563610457307e-03,5.057155979784379307e-04,5.456080301576518186e-04,5.733046449013395364e-04,4.680149449999035198e-04,4.177287619872201434e-04,4.658858399081851321e-04,4.405762944668742561e-04,3.540842580499541873e-04,5.488651593455531885e-04,4.958773459151215616e-04,5.156131696036270933e-04,5.519467448211613347e-04,2.089072818886221288e-04,4.707321718092223042e-04,3.760084661765877249e-04,4.123912060366492923e-04,5.696795399163282446e-04,2.201962691498331485e-04,5.278801604122302597e-04,2.248800716310025093e-04,6.072486623612772735e-04,3.392479892787055441e-04,4.823611285848592302e-04,4.360283701301968708e-04,4.943983379136589196e-04,2.937821672266269961e-04,4.717087958222708119e-04,-4.144320878378278983e-06,3.532404118735477452e-04,5.328087545374765111e-04,4.580575076342989038e-04,6.265063049975129039e-05,4.784268217904365933e-04,6.714255535015380225e-04,4.380994760712446628e-04,5.087675784004599359e-04,2.955565871238864423e-04,1.281672623981694036e-04,-7.996745626242950545e-05,-6.925714763555393307e-05,2.305412890354881575e-04,4.880066920709489730e-04,-3.439967221048233692e-04,-7.696177160898197119e-04,-5.411529274911605191e-04,0.000000000000000000e+00
1.771164702671307952e-04,6.240287433390673787e-04,-1.795352407246082510e-04,7.313895068104876067e-04,2.507469128194187271e-04,2.362123312922308931e-05,2.984181135803502588e-04,4.895596730731634812e-04,2.123503680693451692e-04,5.511082814465156389e-04,5.174180034546800762e-04,3.882535935305895017e-04,3.369400532800174790e-04,3.813334693108900390e-04,4.385143403245279274e-04,1.965689939742576355e-03,1.759595627467528973e-03,1.609770409134836855e-03,1.627242880615752509e-03,1.432591554083178413e-03,1.771892461875292741e-03,1.294047068169425392e-03,1.062332487579820302e-03,1.114763254483291379e-03,1.304888252587541302e-03,1.131097951977456245e-03,1.313493966604460097e-03,1.066263289330254653e-03,9.617866536579618066e-04,1.305451901742646272e-03,1.139774024965031210e-03,1.195981377429225067e-03,1.285370314242609020e-03,1.086357265421086403e-03,1.241924066543805341e-03,1.222862976451146843e-03,1.082357708270172700e-03,1.072278144355084386e-03,1.192509987368284589e-03,1.464822013878522853e-03,1.283088578360752673e-03,1.096207995524416242e-03,1.295899615420920267e-03,1.051360497119198552e-03,1.335742961530144790e-03,1.200049253157896246e-03,1.309043020227495645e-03,1.068266125602439047e-03,1.056051629455230468e-03,1.094399164414629720e-03,1.150505075057866406e-03,1.075255705867367599e-03,1.345322283245963717e-03,1.465169281922245204e-03,1.240364528653479593e-03,1.252102255939869287e-03,1.126843454793594046e-03,1.638205957500298449e-03,1.140997822711089290e-03,1.369436662460921973e-03,1.724344981633784291e-03,2.140216900201170891e-03,1.743164453646399480e-03,1.932767194718753006e-03,2.972565044796747838e-03,4.822994860610896502e-04,5.408356706026521115e-04,4.319454387149464637e-04,4.703648897519593637e-04,2.378162991771325997e-04,6.228395421477535884e-04,2.483559074946102910e-04,5.175706124801708217e-04,4.207347161501566739e-04,2.133481938928359547e-04,3.192067942023674924e-04,3.836116019901939780e-04,4.453656998269524400e-04,4.024115711128234082e-04,5.178273392202836995e-04,4.252259380268848406e-04,1.307031319120409137e-04,4.486995856570195115e-04,7.214751970234652102e-04,5.764756639340463170e-04,2.780433697108039711e-04,3.106060272179874673e-04,-1.224911034367648127e-04,5.310594650643591600e-04,5.796959565796493390e-04,6.061346121844294861e-04,4.682349013774901071e-04,1.937100210697743571e-04,4.574255611468992029e-04,2.793067447456286571e-05,-3.962154409730937613e-04,-1.201417115865088879e-04,-2.208221051345687967e-04,-4.770928954033688872e-04,0.000000000000000000e+00
6.264263945165973514e-09,-2.931465672547651721e-09,-3.258365868184743249e-09,-3.836560499006253428e-10,-1.546409739722924396e-09,7.284369039733098188e-10,4.101838299058225144e-10,1.135984279904582731e-09,8.311208966878182781e-10,-1.140063671829415909e-09,2.207079630292518722e-10,9.612564073481108419e-10,-2.509506939824942377e-11,-4.351655723712482340e-10,2.172093045810828298e-10,1.063443301308840043e-09,6.386070085457967842e-10,-7.865435564136374715e-10,-3.750599071749821484e-11,1.115826978148452412e-09,1.347818752727908039e-10,-1.417900022954710831e-10,-8.936665743918390762e-11,-5.637188340368958017e-10,-6.789012904987751859e-11,-1.816346598526536961e-10,-2.967710111751614355e-10,6.633581126908437925e-10,-2.993680564306501680e-10,-5.754369849656851781e-10,5.482890344554050122e-12,8.789452564530452198e-10,-3.696324111730051579e-10,-1.687918234124056464e-10,-4.658627438571917473e-12,6.771922260284311754e-10,-5.636217930826055734e-10,-1.186456800854174224e-10,4.806765977268146348e-11,-4.196341144881529476e-10,-2.690894430474327850e-11,1.455709836027705861e-09,1.128707043144018766e-09,1.184090293783049105e-10,-2.213386949256501739e-10,5.417040862230619386e-11,7.795380294802266807e-10,1.706221762137561272e-10,-6.211596945032479942e-10,4.670154222709359402e-10,-2.301673568681097586e-10,1.186153975055947301e-09,-1.308239381623408697e-10,3.559967851007626029e-10,7.753145350479241789e-10,-3.296893910553453542e-10,5.856433546257166034e-10,3.383349674573787026e-10,1.168085330205269756e-09,6.086456559249719650e-11,-2.253059809714608166e-10,5.369910392690985622e-10,-1.062886329365158966e-09,1.211278123961198877e-09,1.942509787955630138e-10,-1.533074858753102722e-10,-7.903334902326527523e-10,3.294672174282071467e-11,3.743885629576208133e-10,-2.432086459685504766e-10,-2.824603536287540100e-10,5.044654088746858562e-10,-7.229376179397063349e-10,-5.645941336319711967e-10,-6.523657183810580829e-10,-1.286870726352499338e-10,2.396760987126374520e-10,5.481402074807777446e-10,-2.192477116663327082e-11,-1.033380630326131380e-09,-2.655513342436786046e-10,-1.135738670165000528e-09,-3.039184338795459739e-09,-2.470195466214084803e-09,-2.292153534700279294e-09,-4.756858445435685595e-09,-4.883488991126889144e-09,-6.627040625358700764e-09,-9.254706304474302490e-09,-1.260393614832558649e-08,-1.828120854498991545e-08,-2.763607404131958788e-08,-3.776837365079310269e-08,-5.528270518665041476e-08,-8.197274584656663278e-08,-1.133620618047311053e-07,-1.673006555905725098e-07,-2.651045723305479106e-07,-3.607879512886314220e-07,0.000000000000000000e+00
1.587730971050408790e-03,-4.207803590990466611e-04,1.020837861343280905e-04,3.798929143695757159e-04,-1.952154601199926917e-04,3.830209211196869564e-04,2.455636127956792379e-04,1.058039048444616901e-04,4.359862369541007371e-08,3.226664033128474646e-04,8.067818063141582495e-04,7.864660953263640593e-05,2.975101729101596224e-04,1.139420207498281399e-04,2.341484921369311914e-04,5.582510567617717748e-04,1.261365199398226144e-04,6.125979172595983442e-04,3.526435054623321781e-04,3.355598673733203342e-04,5.341432283871616659e-04,3.209422966814175020e-04,2.851678588125782518e-04,4.213769132320603389e-04,3.985748295827073887e-04,8.060625370902181879e-04,4.294833434779492427e-04,3.949459690959035755e-04,3.246852731058464899e-04,4.755492342120168836e-04,6.081074529345950868e-04,3.243140348698289469e-04,5.562073897112818771e-04,3.783979509369060309e-04,4.362888205866301749e-04,3.600911578402490550e-04,5.790263691937096299e-04,3.840280967648562358e-04,3.317169638659180899e-04,5.622675103970371097e-04,4.829486426066300969e-04,5.349715052724920029e-04,7.870698295455821241e-04,1.551479897974918521e-03,1.362932291249241814e-03,1.522137347083332790e-03,1.165911328584439549e-03,1.162357196727312322e-03,1.350930132738217739e-03,1.203479033085850386e-03,9.549333549160883127e-04,1.221818541492593335e-03,1.233579975404016076e-03,1.446050511211906730e-03,1.355880020502981103e-03,1.392330038583322951e-03,1.477295212888305505e-03,1.264627114049140513e-03,1.358400942701499170e-03,1.330704383644929455e-03,1.206273818640851399e-03,8.982168853751282137e-04,1.176919137510315213e-03,1.388225200681464377e-03,8.893100843941920824e-04,1.255579275377395956e-03,1.291894820756867013e-03,1.129430727320594871e-03,1.058227041360416953e-03,1.316543333062835221e-03,1.084930032220781824e-03,1.345123564122660846e-03,1.206800877697580040e-03,1.097536826148395222e-03,1.162391492011816303e-03,1.396376911039250287e-03,1.218308589450432236e-03,1.391177280618099673e-03,1.416034462907693123e-03,1.476024907728217071e-03,1.429939987824279920e-03,1.863494811863096760e-03,1.752132706482015679e-03,2.212889274281218833e-03,1.380633443174741513e-03,2.042123455210099071e-03,2.247564674149957285e-03,2.294744554866466613e-03,2.736293508341040154e-03,3.071365373204863226e-03,3.441096264706563785e-03,3.378421836240376799e-03,4.179249627963951136e-03,3.982310559000796254e-04,-1.304437127119302965e-04,4.336230659881446957e-04,3.110769091015970359e-04,5.959056406365088833e-04,7.660423495641235057e-04,0.000000000000000000e+00
1.605472126670963147e-03,6.664245909094785084e-05,6.495283968056790461e-04,2.113375303259620180e-05,-1.794481222313744025e-04,3.783128261542800569e-05,7.384218860324084227e-04,2.944071431868627050e-04,3.129490443785211233e-04,3.353815425309127388e-05,8.610941500647522565e-04,2.717333295360045177e-04,2.588194833790131706e-04,2.381880984389071081e-04,1.922567872246188226e-04,3.843798831826233486e-04,2.256425102839203082e-04,3.433515916063668003e-04,1.822628022596401603e-04,4.384127526716780792e-04,3.511055106920170431e-04,3.895783060624324130e-04,4.226752450542262205e-04,1.364889429763648107e-04,5.089594724255808774e-04,3.955442316784019466e-04,5.850548899230775032e-04,6.486000529292978165e-04,5.232816601233681924e-04,4.481784156807461488e-04,2.930840411702330091e-04,5.291250503367248871e-04,3.634095026902670468e-04,6.587614142899444764e-04,3.674922165157035029e-04,5.021762447004862306e-04,2.454120486708520014e-03,1.768774205776843132e-03,1.548543331453586464e-03,1.793865589655607934e-03,1.757616865384546614e-03,1.663847883753149853e-03,1.609665671900477237e-03,1.542377910171191611e-03,1.406987132832914541e-03,1.430525650053264888e-03,1.059324117669031579e-03,1.089353367190261639e-03,1.118537085492120504e-03,1.258602386723436418e-03,1.138902560884241409e-03,1.192225928520373535e-03,1.199619872343930240e-03,9.819145940922631953e-04,1.432168742897129820e-03,1.002748372566428584e-03,1.311443982352533113e-03,1.283506571227033136e-03,1.336595766325157511e-03,1.329325182117028830e-03,9.472064559861695290e-04,1.313050004493261083e-03,1.179753411709044426e-03,1.464435867553415217e-03,1.418386476381982902e-03,1.212674618801279705e-03,1.150894402996441085e-03,1.575676809689656064e-03,1.002819143556326177e-03,1.196692351908992466e-03,1.236394796267070760e-03,1.063691692683291874e-03,9.991040760969442918e-04,1.014245531378971847e-03,1.237158875810813984e-03,1.221589041119752923e-03,1.097103703551713079e-03,1.190232205968752306e-03,1.229513443921137700e-03,1.195795672518341077e-03,1.550204990227820869e-03,1.874607325263655993e-03,1.737755350096181544e-03,1.965536673636926988e-03,1.879806913939476975e-03,1.885853690943152354e-03,4.648442852327955093e-04,3.167007815564277032e-04,1.444702670262097959e-04,3.760312602428007574e-04,1.372875500921190883e-04,1.995340458899636134e-04,5.155407986485714168e-04,2.459441742832071173e-04,7.921825633248057467e-04,8.401204284744119566e-04,8.003629480634548822e-04,-1.800054119410205180e-06,5.496055966661760961e-04,0.000000000000000000e+00
-2.040032866792660322e-09,2.099952034891353176e-09,-5.371951658107318523e-11,2.641953615571401515e-09,1.591017804031282408e-11,5.931199996386758401e-10,6.499221451277066640e-10,8.641646160731685392e-10,1.977204113157221492e-09,1.030894547017031973e-09,-2.075691080006117567e-09,3.959411067315621368e-10,1.117606241176015117e-09,7.501910975023877860e-11,2.889674464772657108e-10,6.900164374905259522e-11,-2.371187758395195897e-10,-8.428514645612781390e-11,-4.044338822658952672e-10,-1.335372777924783639e-09,-4.672210173852004617e-10,1.420876457928388150e-10,1.177925741599620616e-09,3.435469168552446234e-11,9.531087977006830113e-10,4.800408183083144848e-10,3.998510473187138898e-10,8.511094652858726535e-10,1.423614753301575013e-10,3.272197391269697101e-10,-1.147925729624317483e-10,-4.302878239079752832e-10,-2.087970301145927393e-10,-6.568375016522621587e-10,3.656447436976795372e-10,1.076994382074651167e-10,-8.366500929495641319e-10,5.638538650328688084e-11,-3.675129608477245562e-11,-1.122039288709824402e-09,2.352494838862904035e-10,-6.763773610126680286e-10,-3.243628842168536589e-10,3.626644999154456667e-11,-5.164787389758644324e-11,4.935611394536458727e-10,-1.458413383876480295e-10,-7.237320867514106296e-10,7.388905785357791498e-12,-9.312437285634916028e-11,4.694584441108678513e-10,4.571209529257498850e-10,-2.405559287253180466e-11,-3.220459580334225380e-10,1.623411737256027852e-10,-4.509779190238441246e-10,1.459366016848393321e-10,-8.560739544753110773e-11,-2.411539853842874932e-10,1.188774716004192853e-10,-5.301618777072766717e-10,7.702297049710096622e-11,-9.103878399502061989e-10,3.156485053179010706e-10,-8.065176708142567262e-10,5.672575928651149898e-12,-4.472681439394159592e-10,3.573097179064956946e-10,2.160128085454679484e-10,-1.356969611691844438e-10,-6.502531607797682923e-10,-6.034061975689023412e-10,1.448173293876351621e-10,-1.069171328226442948e-09,-8.842828711217334616e-10,-8.043278064848060492e-10,-1.682909027398855863e-09,-1.474379024792999633e-09,5.795754732194390169e-10,-1.567383658093731040e-09,-2.053740793638731518e-09,-2.040573882219415779e-09,-9.314834263099792895e-10,-1.580628013580734773e-09,-2.838693912238544393e-09,-2.864373699867035727e-09,-3.608426965914957444e-09,-6.783081071598135401e-09,-9.900133992994773499e-09,-1.371035484809202500e-08,-1.991544012148711126e-08,-2.861166032942011873e-08,-4.078928541034950894e-08,-5.714913220086082059e-08,-8.367147749307655811e-08,-1.163902801628512114e-07,-1.764084639461028331e-07,-2.629088007860875546e-07,-3.675273724505845816e-07,0.000000000000000000e+00
1.426935226237757096e-03,7.641416464222880673e-04,8.246197409350034153e-04,-3.749585875541820896e-05,5.228972493383981590e-04,4.561831017026787556e-04,4.416649087948891473e-04,1.923714954859352861e-04,-1.931655303953472964e-05,4.501549333911892907e-04,5.722878694614856555e-04,1.840595880931849160e-04,6.811001369967354833e-04,3.504917929909317923e-04,3.785239266759248184e-04,3.417597746937599528e-04,3.415605124784891456e-04,5.453885258374091549e-04,5.400453349743277462e-04,1.965559208358877972e-04,5.269895957525272314e-04,4.883014920372125275e-04,3.919323645655271274e-04,3.216017603642810593e-04,3.057288974379613038e-04,5.267861788318074431e-04,3.138572202309223257e-04,5.277120590228232553e-04,2.616468787331278564e-04,3.590463345452952386e-04,5.914385690308546738e-04,5.515397177773108742e-04,4.687467558132634576e-04,2.664944785224874959e-03,2.832355889752591858e-03,2.303927695858013890e-03,1.940856797888302222e-03,2.322117802324955450e-03,2.017695279586429434e-03,2.008370429471550977e-03,2.244197706947153453e-03,1.333335640178062199e-03,1.798533970674136067e-03,1.376505353457115662e-03,1.066150579351332400e-03,1.203608915287282055e-03,1.141442188530577542e-03,9.753700690387514215e-04,1.089766221693249304e-03,1.379546665287369189e-03,1.200092044968040835e-03,1.423205439272191408e-03,1.240991107641723542e-03,1.264177915057624084e-03,1.188149459983671701e-03,1.308157583618336280e-03,1.332602565982546425e-03,1.216402804191964431e-03,1.381706138846649579e-03,1.348105393756980413e-03,1.091473549690744234e-03,1.255910909751853984e-03,1.055415255219664932e-03,1.265771122063775707e-03,1.367376480865265366e-03,1.135752868085867801e-03,1.087007367907289997e-03,1.320227483616001184e-03,1.107141438668548606e-03,1.143007012814261725e-03,1.256222074612213307e-03,1.197744315138476448e-03,1.429299304319179426e-03,1.334119517839007932e-03,9.252788950439283771e-04,1.189259301001945393e-03,9.850429211748458133e-04,1.638911494084703763e-03,1.297285398666223749e-03,1.299678145825698379e-03,1.544289214002366947e-03,1.690051217301262627e-03,1.879721828912626468e-03,2.565471075775109001e-04,4.963305288010857238e-04,1.994742429338123841e-04,3.313280241614848074e-04,4.586020779832745801e-04,3.453321176682638653e-04,4.066109619292774548e-04,7.540779195490978064e-04,5.919068914035485306e-04,6.113813064184034883e-04,2.178755329706940237e-04,3.273577040808970089e-04,1.133589099884172688e-04,4.621824665595855087e-04,1.241268909034831853e-04,3.184867564753424227e-04,0.000000000000000000e+00
4.415694261323309102e-09,2.204451507133506170e-09,-1.706363967761865615e-10,-1.503210592933557955e-09,2.333695471960510489e-09,-1.953245739542521246e-09,-7.352316583097109142e-10,6.498583998797379420e-10,-1.091112446074700972e-09,-2.089397452356845969e-10,8.215575153103023291e-10,3.955480229781461430e-10,-4.470987796113349003e-10,1.273485061289308048e-09,-4.916756394099690889e-11,6.788049143833377304e-10,-2.757687382703239714e-10,1.173338550210892340e-09,-2.048899710421498595e-10,3.786355489586288783e-11,5.154010819109073130e-10,1.504979210039730575e-10,-9.359392666484123588e-11,4.886836143365876930e-10,4.971114839014144497e-10,1.148299260332080592e-10,-5.549917910251868428e-10,2.026401890059000565e-10,5.545517217478532344e-10,-9.258506459282235593e-10,2.623943729432028539e-10,-4.644346690560815979e-10,2.438440932004672850e-10,-2.221257496821182148e-10,2.172617392998877493e-10,-3.230834721934302134e-10,9.842625819125952108e-10,1.629211313011114028e-10,-3.264928602183003549e-10,5.012953745431277679e-10,-6.267319270289719471e-10,-1.007995160381708265e-09,2.958196941273958539e-10,-8.797978703471095161e-10,-1.655619331416624856e-11,1.145816271793315790e-09,2.364964930049066503e-10,4.501445201328146856e-10,-4.168267339924131366e-10,5.998523464039658002e-11,6.592145333042508752e-10,2.992210613264095930e-10,-2.439998253987399649e-10,-6.447114907152351161e-10,8.051321447556392989e-10,-1.800901011438123192e-09,4.640524611571961193e-10,-3.304083394886240700e-10,-2.251403752290997172e-10,-4.593149781032792956e-10,-2.299296719160269951e-10,-6.605381864835049565e-10,-1.469137622442178692e-09,1.130533374459168418e-10,-6.998533358131692957e-10,4.953807714668587589e-11,4.333246701091427890e-10,8.381201613035823474e-10,-2.655225533425745742e-10,1.382789109582942622e-10,1.539539826403076976e-10,2.203390117976103948e-10,-1.130500073715542362e-09,-2.229588889150110404e-10,-2.767077903202676836e-10,-1.433185766524334786e-09,-2.260328239866876352e-10,2.954128264928686731e-10,-4.659338500258890470e-10,-9.776752616482786119e-10,-4.422108562963566285e-10,-1.123558585790973469e-09,-4.066932840241710599e-11,-2.148342299209773222e-09,-3.253435422166452772e-09,-4.448149486145498190e-09,-5.354797369380089575e-09,-7.521889809583238849e-09,-9.094307462896203815e-09,-1.417268400193169911e-08,-1.724741516029881686e-08,-2.875932168817412431e-08,-3.577426351407387217e-08,-5.885801414954635470e-08,-7.451148153141013659e-08,-1.161966839348023752e-07,-1.781107012806966071e-07,-2.690826174603505369e-07,-3.664568239159411193e-07,0.000000000000000000e+00
