s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
-5.656275799704954608e-24,-4.756449090896682154e-13,-5.126827331148091743e-13,-5.552973695846222719e-13,-5.968650958419939472e-13,-6.268680869022627905e-13,-6.194977659897982201e-13,-4.919295239560842674e-13,4.077171877110293249e-14,1.929482252769939954e-12,8.180420971413433066e-12,2.786057816234698306e-11,8.705563602418660171e-11,2.565799001164358313e-10,7.154610050728441700e-10,1.878685445956237464e-09,4.610094804742578035e-09,1.047727525543494986e-08,2.184495127273179665e-08,4.140383640648952192e-08,7.077424212554109573e-08,1.084905450173556314e-07,1.488024479358415375e-07,1.570178333101970310e-07,1.479170406634981657e-07,8.824496323547388070e-08,-7.098822330712798094e-08,-4.949316268874023995e-07,-1.784406965265305731e-06,-6.096893957583719220e-06,-2.093559124057177214e-05,-7.137181940735306423e-05,-2.376160323879648244e-04,-7.647419528123128698e-04,-2.364725287646901337e-03,-6.991456666807259641e-03,-1.966560986337305417e-02,-5.231754351862052954e-02,-1.307245147116240513e-01,-3.043698942996699297e-01,-6.548440029523392436e-01,-1.291187461517768975e+00,-2.316146832968656977e+00,-3.758261802933152484e+00,-5.497520269175373286e+00,-7.244922304880904385e+00,-8.622705195805032474e+00,-9.318633424686398214e+00,-9.217522727291809659e+00,-8.425499756659180051e+00,-7.188805612364052244e+00,-5.778607583889701971e+00,-4.409760865683453268e+00,-3.213382324154446579e+00,-2.246028512217476791e+00,-1.511822058594833429e+00,-9.840629648287573250e-01,-6.222801239317484745e-01,-3.841804474923724566e-01,-2.326973207730562154e-01,-1.388899266409164557e-01,-8.199011809647388516e-02,-4.800317645825000895e-02,-2.792690428567176295e-02,-1.616219846061637752e-02,-9.308658084806324326e-03,-5.334899551048294386e-03,-3.040714911801169641e-03,-1.722098235040735170e-03,-9.680605611205979821e-04,-5.394888178344385945e-04,-2.976881298789020125e-04,-1.624753971861825764e-04,4.666105800498610778e-07,3.248742104018096086e-07,2.403145735403273242e-07,1.870780962840519763e-07,1.490163715997280843e-07,1.192742113548296299e-07,9.511432610068628226e-08,7.552802768074185591e-08,5.959118830753977065e-08,4.691048010044441141e-08,3.679037097986814743e-08,2.884298032767610765e-08,2.258008804135733917e-08,1.753506683808109184e-08,1.380410928344614477e-08,1.095930450876470835e-08,8.663201320729848456e-09,6.942999034188155786e-09,5.942942761760044762e-09,5.628208460263923670e-09,5.622744314662650366e-09,6.019970179918064680e-09,6.652226866359097333e-09,7.765193451993187646e-09,9.010654443723406734e-09,7.617653431045824954e-09,0.000000000000000000e+00
-1.488338205648132069e-12,-1.548503146798940192e-12,-1.639096557543519015e-12,-1.738762968737394838e-12,-1.837865685314180944e-12,-1.841686348873906197e-12,-1.628298845836533790e-12,-7.857542178283835444e-13,1.934457032278979887e-12,1.041928271371777340e-11,3.633851057269312045e-11,1.131762252126993380e-10,3.320388233792107901e-10,9.246204231780557971e-10,2.432563429997630853e-09,5.996973281977088175e-09,1.372723984509994645e-08,2.890977662777756577e-08,5.555276501126749274e-08,9.676886030684015299e-08,1.522581655983171035e-07,2.165182889374080468e-07,2.799043476581011409e-07,3.327561127658587107e-07,3.697320843595191692e-07,3.909898170875553146e-07,4.001307187302397374e-07,4.017525497859102982e-07,4.002093979622709241e-07,3.970665470987073061e-07,3.872370118967574626e-07,3.640429188574506781e-07,3.335573076234485445e-07,2.879239879196611094e-07,2.167773153677418561e-07,1.333417274330485782e-07,8.367101408837558598e-08,7.985387990737564659e-08,1.065161503151235737e-07,1.674554121739999419e-07,2.915173988064029905e-07,5.432004204912714680e-07,1.032386321139704629e-06,1.905088663362478474e-06,3.296747487447151783e-06,5.238625043018711398e-06,7.547573034257493537e-06,9.841169645727163180e-06,1.172669405299616741e-05,1.285321163614196303e-05,1.305463712936456534e-05,1.238894700589027506e-05,1.106710889596594713e-05,9.431632723598834349e-06,7.760368091969961816e-06,6.222472218871812842e-06,4.920370617654923302e-06,3.887346917956516904e-06,3.088848581968652389e-06,2.464558809459237608e-06,2.028196097619586012e-06,1.810162467370745851e-06,1.862845684829726260e-06,2.383006713108189391e-06,3.861449630737042151e-06,7.078486036284380967e-06,1.301566517445924162e-05,2.260291580429280424e-05,3.595917422906350118e-05,5.180963959618687699e-05,6.742862535705585814e-05,7.935044164596535441e-05,8.483239135901408782e-05,8.304368288008744906e-05,7.517417857931846963e-05,6.357966276680585558e-05,5.069653174224943176e-05,3.841976639931485988e-05,2.789265223076937646e-05,1.951344880825409489e-05,1.322016337635021445e-05,8.716212419845332027e-06,5.621510002977371787e-06,3.562107443764168304e-06,2.220107574433759941e-06,1.360241503634441874e-06,8.220023144920678610e-07,4.937615631443118099e-07,2.969395572034288772e-07,1.799011628642957130e-07,1.101663849082367408e-07,6.846546195036903718e-08,4.336692350945460914e-08,2.818499438945002147e-08,1.918161556340585647e-08,1.369214380086746824e-08,1.000207948141380554e-08,7.935636788791169088e-09,3.779897768357104262e-09,0.000000000000000000e+00
0.000000000000000000e+00,-5.560642934485211517e-13,-6.820223538274930319e-13,-7.334548996671412606e-13,1.638025264826122285e-12,2.181217106246143205e-12,2.828137172052119429e-12,3.537865280843449667e-12,3.948660528142562301e-12,2.411982602724816417e-12,-7.578754027258652301e-12,-4.938592992534941165e-11,-2.030935859575258609e-10,-7.309763585600979741e-10,-2.450742889390372033e-09,-7.781228864792773298e-09,-2.344969350920324933e-08,-6.690654858976764666e-08,-1.797612886730660151e-07,-4.515300271722876257e-07,-1.052127796367153721e-06,-2.254576961375395840e-06,-4.406847914421172576e-06,-7.802548824416437309e-06,-1.245079522897905439e-05,-1.786446154867633683e-05,-2.306485587579095275e-05,-2.691377898574743292e-05,-2.861187247583686497e-05,-2.802328003382975575e-05,-2.564060916751666690e-05,-2.220179397531940981e-05,-1.824456427213223770e-05,-1.392898948154175065e-05,-9.646768713930946827e-06,-6.016327866887414789e-06,-3.263621354784640221e-06,-1.375304772541066792e-06,-1.652079618859393115e-07,5.948577999503869851e-07,1.029119354439791503e-06,1.217556240833644610e-06,1.248195398269482264e-06,1.182045770203930046e-06,1.082994841654368391e-06,1.009664796362563595e-06,9.361336964965276093e-07,8.380890900874924586e-07,6.988816298785792618e-07,5.614125911714649569e-07,4.695495361537895024e-07,4.158873505436778077e-07,3.902815079182011174e-07,3.786143763538115041e-07,3.690283135946190195e-07,3.625734852649026052e-07,4.243900826494843599e-07,6.349878539925270993e-07,1.137116447414619382e-06,2.215106161159413279e-06,4.355921961799594468e-06,8.247546842831736066e-06,1.468645092950491898e-05,2.433193014430813449e-05,3.703285416205710475e-05,5.138078479863597559e-05,6.482121312845784303e-05,7.442629517373385267e-05,7.811128974903086455e-05,7.552894561713233970e-05,6.790376205184160934e-05,5.730895502591386840e-05,4.583737227056595829e-05,3.504307547391265199e-05,2.576842178643000612e-05,1.827777596340630380e-05,1.257110424345527179e-05,8.450026335861411241e-06,5.541471204564204784e-06,3.512232796174000872e-06,2.184413576625500280e-06,1.362346309777623492e-06,8.559937123339905929e-07,5.436381599219787483e-07,3.510663821203284792e-07,2.314338433838012354e-07,1.559780090640891615e-07,1.073623193464691238e-07,7.509328374240872507e-08,5.350325075190650812e-08,3.867462936052261820e-08,2.839905229351478838e-08,2.064521179473025591e-08,1.600441020719913218e-08,1.118365245561119488e-08,9.004292039602245781e-09,8.808136707145294417e-09,7.060694570504449722e-09,6.889885347325045802e-09,0.000000000000000000e+00
1.429679300900301513e-25,-3.413808877216495810e-13,-7.421614982600217421e-13,-8.677085525766596477e-13,-9.722959553169405671e-13,-1.046978800967436559e-12,-1.125284893553628438e-12,-1.084238452214036905e-12,-5.652570352994726442e-13,1.688157517445455525e-12,9.821215836123418838e-12,3.681248851253561717e-11,1.215536542510796751e-10,3.748928808890189734e-10,1.094633987984001163e-09,2.985916544850019105e-09,7.763349619449223485e-09,1.892740861626447442e-08,4.303204697213610630e-08,9.079724488743027856e-08,1.772523176373548014e-07,3.199969665475749960e-07,5.358335697411355421e-07,8.380121684464758846e-07,1.236828740102161094e-06,1.742347039042838996e-06,2.360284209064313390e-06,3.062588706474843303e-06,3.719376004081308076e-06,3.972744216683733867e-06,3.069520199749827135e-06,-3.182981235751573993e-07,-8.350763326114962596e-06,-2.413214351897635481e-05,-5.126501949768884819e-05,-9.257597717397140558e-05,-1.479696586123644536e-04,-2.122088284938323480e-04,-2.743939757026281757e-04,-3.203576182537968544e-04,-3.375715444331998005e-04,-3.201695233420965236e-04,-2.711987597552339329e-04,-2.010341184421815996e-04,-1.232567727983014262e-04,-5.072255774893631697e-05,7.509654285026790323e-06,4.765730018231610534e-05,7.016131932107258940e-05,7.816391072866300620e-05,7.594592593797281255e-05,6.764671971120355288e-05,5.657936502511401190e-05,4.511289908163268198e-05,3.464391674500492773e-05,2.579659080425442133e-05,1.874343186695819348e-05,1.335879469639706377e-05,9.391434437900476355e-06,6.587909848409416127e-06,4.681218287139524239e-06,3.462452945225936060e-06,2.823568479006598452e-06,2.683448808747587072e-06,2.985813010049937926e-06,3.738161910777062259e-06,4.795176961902376408e-06,6.014714245972864023e-06,7.140015684897671933e-06,7.903257520580130597e-06,8.125064073753380693e-06,7.759671287451528842e-06,6.854946252131880349e-06,5.613620862262556921e-06,4.342405679971442692e-06,3.239448878954307890e-06,2.363784690034576177e-06,1.698459920148841481e-06,1.201547444527456735e-06,8.305275816713925389e-07,5.468560167971832734e-07,3.406426094305018479e-07,2.081143601335837816e-07,1.293571904022164397e-07,8.302801991007457559e-08,5.495213684257053781e-08,3.727773369480463160e-08,2.574938746535467552e-08,1.802739993544749172e-08,1.277518611966582368e-08,9.191293657486043620e-09,6.666201041108894834e-09,5.105671357905985319e-09,3.771303317866799530e-09,3.013130550241047550e-09,2.655915961672954033e-09,1.994506173660921553e-09,1.700635311708501671e-09,1.903830642425778271e-09,0.000000000000000000e+00
0.000000000000000000e+00,2.744809484278508340e-25,3.896123130282403121e-25,3.831517997183724040e-25,3.858326537131649734e-25,-1.673330752163710035e-14,-2.287856461651573619e-14,-2.955550324670360522e-14,-3.461030585837841958e-14,-2.476799031211040360e-14,5.052389882101673822e-14,3.732874764297468267e-13,1.573739439772300883e-12,5.756942673263519121e-12,1.964585839700012444e-11,6.373074971984360959e-11,1.973316104885533335e-10,5.825258204315646771e-10,1.633351986540536625e-09,4.325949788696718249e-09,1.074749677650829370e-08,2.485148547078882761e-08,5.305454465311969733e-08,1.038099000597943676e-07,1.851569771317541659e-07,3.003868874895479747e-07,4.444237119731511969e-07,6.049452319746885275e-07,7.693468204860602176e-07,9.322516816915912938e-07,1.095387730715974174e-06,1.257952461105568779e-06,1.406310592141019843e-06,1.514801971216356502e-06,1.559736889592909041e-06,1.529330619906948159e-06,1.409804024829664348e-06,1.206740195581462109e-06,1.023155106441443919e-06,9.314887263865326553e-07,9.297848079435519532e-07,9.835029557277942246e-07,1.045249673990734890e-06,1.077890348422113804e-06,1.081082367091941403e-06,1.071573270401382930e-06,1.054528917758911023e-06,1.031841622594239790e-06,9.927089087700990185e-07,9.144436693818539896e-07,8.225027622695860498e-07,7.521290818378973798e-07,6.979915348943045040e-07,6.620928803429085696e-07,6.687480672295356903e-07,7.709874077501107401e-07,1.038532406115254835e-06,1.591592739741972443e-06,2.666081785335933344e-06,4.659950897385077621e-06,8.018738386381516449e-06,1.300036795568799911e-05,1.944357635908027074e-05,2.657636111457506206e-05,3.307813651939419574e-05,3.752497815659964494e-05,3.899785758023993442e-05,3.737376154537445981e-05,3.329837183141197941e-05,2.783574505242789192e-05,2.203081254162183030e-05,1.663966657941305996e-05,1.207181203346838223e-05,8.457787332437861761e-06,5.746916168898720779e-06,3.799082612869169096e-06,2.455443380316285122e-06,1.561038069449542081e-06,9.780478325796522506e-07,6.030468096932120374e-07,3.668596033865013257e-07,2.218835930661627058e-07,1.344932766292022061e-07,8.214000523036135468e-08,5.059829528016717089e-08,3.158526313985522695e-08,1.997991777606334308e-08,1.285870333021966651e-08,8.499234745014524636e-09,5.879219762434673429e-09,4.010808626990290960e-09,3.395090519801940234e-09,2.225180092180098353e-09,2.790507895891045929e-09,3.288678439233412786e-09,4.007420532764740651e-09,4.259666713756821140e-09,4.470251963512743642e-09,3.780011370508725756e-09,0.000000000000000000e+00
0.000000000000000000e+00,-4.410435829744296978e-13,-6.047797491932856765e-13,-6.540963825832570632e-13,-7.015695980032140517e-13,-7.367135029777137881e-13,-7.350598058723193382e-13,-6.132798359674015333e-13,-7.075550467255498441e-14,1.916812546390931870e-12,8.624793842435247352e-12,3.002548160865163826e-11,9.507293365821512463e-11,2.831128199050419579e-10,7.968181594712805429e-10,2.111533695320242215e-09,5.230660470291458364e-09,1.200700943208024222e-08,2.530195400226602398e-08,4.849749520555375660e-08,8.387419552299602630e-08,1.301227895750896666e-07,1.806968226557873432e-07,2.253883069692224572e-07,2.556329053253897412e-07,2.704393740128676322e-07,2.784223934203663840e-07,2.943800200657219607e-07,3.333021305528665548e-07,3.963611040339641334e-07,4.389699194050490808e-07,4.057419751130769891e-07,3.650856503992227665e-07,3.631406113818609823e-07,3.728551914257598840e-07,3.805188033958199994e-07,3.926768670778864367e-07,4.275746183716029686e-07,5.085053567171978649e-07,6.526234380499261410e-07,8.566077545314428153e-07,1.093453674527260937e-06,1.325636277745503818e-06,1.495943223005126593e-06,1.623562275224380148e-06,1.723303466948426555e-06,1.803382790092629831e-06,1.909219570135126234e-06,2.126598347988640058e-06,2.608872971034239207e-06,3.649937680236787511e-06,5.823828620595187283e-06,1.020271630965573345e-05,1.859659527292347912e-05,3.355536466671819515e-05,5.785619951987064629e-05,9.305727810105023177e-05,1.368227988830833964e-04,1.795690001423580235e-04,2.020115891036806195e-04,1.763943077439830936e-04,7.374571076584882545e-05,-1.233877182575840003e-04,-4.073498507872794325e-04,-7.390122870239691994e-04,-1.055656689486533925e-03,-1.292276154595187751e-03,-1.405803032697718839e-03,-1.388580295570465174e-03,-1.264955686668953151e-03,-1.076107584132928634e-03,-8.634166988495300997e-04,-6.581341505951730482e-04,-4.793548892201078982e-04,-3.354969056213639935e-04,-2.274524682555042804e-04,-1.489721814419829756e-04,-9.518819809769090410e-05,-5.968988684478110092e-05,-3.691471625994356058e-05,-2.261228471113956861e-05,-1.376604143192475335e-05,-8.423184163655217602e-06,-5.089228766188928867e-06,-3.071014439252286517e-06,-1.850985098493494192e-06,-1.113834835507153438e-06,-6.686349702085609540e-07,-4.004799254251724125e-07,-2.392286712149249773e-07,-1.429540612826954797e-07,-8.576556531287316428e-08,-5.219591660728329507e-08,8.753360158007088994e-09,6.075856417030209349e-09,4.185736788876072513e-09,2.219217012496047104e-09,1.536847321006569386e-09,5.697111805946266148e-10,0.000000000000000000e+00
4.450055215303543518e-19,4.431014761984148265e-19,4.389626491692669601e-19,4.229573225712890255e-19,-1.538849491485142185e-13,-2.002622359154809612e-13,-2.545518707282538098e-13,-3.084882468819752762e-13,-3.201701816611712589e-13,-1.222557412883256864e-13,9.170669939654776520e-13,4.989889166818024744e-12,1.938817577744685667e-11,6.742764457997107262e-11,2.202340734128358826e-10,6.843028344503545288e-10,2.025766288864728877e-09,5.697326981085273372e-09,1.514427791950317587e-08,3.779083325220794490e-08,8.783844882875043526e-08,1.885968495418043992e-07,3.710516607226763514e-07,6.642789473735175035e-07,1.076731416065514645e-06,1.576905684348688277e-06,2.090810817831717022e-06,2.529144702339534650e-06,2.836280717452430463e-06,3.033787783450945850e-06,3.233192799566806970e-06,3.610919906436741643e-06,4.350921268929172902e-06,5.563464924565370350e-06,7.201457394394684984e-06,9.020522085277181193e-06,1.059009083790090694e-05,1.161298891248563368e-05,1.197768657515646118e-05,1.189569915313373050e-05,1.179777646339143574e-05,1.229169659801361111e-05,1.389987137746808601e-05,1.676047860651465847e-05,2.056015616964457834e-05,2.467742271394614338e-05,2.853981270585776627e-05,3.194346455739723907e-05,3.493967855609159047e-05,3.741329434095795440e-05,3.839749033370838801e-05,3.544775687216867297e-05,2.437843252102508143e-05,-5.040076796982493562e-07,-4.543153894183050734e-05,-1.150315462963217412e-04,-2.088850103789655804e-04,-3.182124096779683159e-04,-4.255584594775851915e-04,-5.095557621235291849e-04,-5.531327657184819096e-04,-5.500959650084000230e-04,-5.060408411513627825e-04,-4.339473650939005981e-04,-3.482267222035225537e-04,-2.609375720323535452e-04,-1.811348146777309062e-04,-1.146502206393135501e-04,-6.376996747799174156e-05,-2.809061796891625332e-05,-5.379051337777725179e-06,7.314038369031820843e-06,1.297189984725445063e-05,1.416465792241607161e-05,1.293060237775857811e-05,1.068480455164222362e-05,8.329174969112812887e-06,6.255784662428222531e-06,4.519285363304578256e-06,3.151638484459007448e-06,2.119441168675625064e-06,1.394493909060614082e-06,9.120926120287369780e-07,5.966356633018090804e-07,3.922610596515578303e-07,2.602825025443714742e-07,1.954216318218651625e-07,1.311410614915317427e-07,8.856880128702978984e-08,6.062217527664690106e-08,4.136547785206043522e-08,2.855681485672806898e-08,1.968567447646107568e-08,1.350228042561887788e-08,9.418412116993518470e-09,6.692279500832708887e-09,3.920639608316725439e-09,3.917769956486547075e-09,2.519401339448865252e-09,0.000000000000000000e+00
4.473562759127088219e-25,6.115777291710651399e-25,6.731363401405811555e-25,8.144950813199273344e-25,8.088022021200129541e-25,7.463733666350157594e-25,-3.364219325587812791e-15,-4.549797396136871204e-15,-5.867431978641275846e-15,-6.297731128892241753e-15,-9.589342538871614222e-16,3.567026510779248852e-14,1.730691308698682932e-13,6.788117730766883771e-13,2.441368819954817695e-12,8.304050209523359530e-12,2.693493482941112053e-11,8.340649342971858104e-11,2.460837502260866576e-10,6.890432599313148260e-10,1.821032942606510562e-09,4.513574712623746436e-09,1.042458279513876217e-08,2.232182503214057595e-08,4.423786230133638266e-08,8.147477630076399707e-08,1.410968451326476125e-07,2.340137246920694590e-07,3.784718325835007763e-07,6.010303684341231136e-07,9.282063658239135742e-07,1.366265209058773766e-06,1.879248374955648486e-06,2.385423536932196072e-06,2.781827013428821269e-06,2.982279184554741463e-06,2.965377101503359772e-06,2.828165835565256563e-06,2.685109815841354496e-06,2.594325024437597992e-06,2.659005494929629775e-06,2.928231942605485634e-06,3.357041393628859621e-06,3.863686750294657735e-06,4.341664529243236362e-06,4.680004157148016278e-06,4.791398192070400921e-06,4.632538981270184834e-06,4.229561898041544193e-06,3.717424267189819890e-06,3.231969674512123357e-06,2.851617338854241561e-06,2.625697244056943347e-06,2.579049509172252747e-06,2.720170235148670313e-06,3.030600690708293193e-06,3.460631206819656280e-06,4.011056178793744918e-06,4.672097555388395356e-06,5.399577497287189003e-06,6.163309620087651488e-06,6.938173910652231812e-06,7.672796080594264563e-06,8.282773361537376292e-06,8.712636348796870336e-06,8.989491003747193752e-06,9.287914545163404700e-06,9.945365256302646421e-06,1.127330433132851142e-05,1.344545355600261811e-05,1.623421590909245824e-05,1.897514121841784986e-05,2.082646043669747027e-05,2.119998700432132975e-05,2.006447220049289597e-05,1.774159962274134378e-05,1.475139759639681385e-05,1.160919440445383706e-05,8.712183540020090140e-06,6.307484065484330335e-06,4.440908727724888375e-06,3.053986275911931109e-06,2.056916294296534140e-06,1.350435284786936496e-06,8.527182807456383747e-07,5.191145372034174385e-07,3.125116344860523158e-07,1.901087103819092148e-07,1.178349032537598625e-07,7.501543879388323227e-08,4.897672684188440416e-08,3.246085333616157345e-08,2.218385895443517952e-08,1.604348683335118094e-08,1.237507450897921320e-08,1.007999933957656365e-08,9.064951990313764686e-09,8.353636634051897282e-09,7.100933195032826320e-09,0.000000000000000000e+00
0.000000000000000000e+00,4.230089714628529171e-19,4.264374309020955789e-19,4.016775000792876518e-19,-2.335240655581889381e-14,-7.003187237474113741e-14,-9.153579701605557859e-14,-1.162773289495575633e-13,-1.312021754546319294e-13,-8.667772286160826586e-14,2.180248927102685150e-13,1.509378057962036944e-12,6.250172749388752085e-12,2.257138989796001787e-11,7.604565699547287161e-11,2.433080827474424975e-10,7.420310408246875434e-10,2.154085085613232702e-09,5.928747791778815204e-09,1.538436186915249790e-08,3.738233015324458818e-08,8.443297530391102853e-08,1.759676651600735902e-07,3.362216492856327731e-07,5.862505443995842591e-07,9.312974395080930399e-07,1.351509713238223862e-06,1.807338696260016050e-06,2.262634594887895584e-06,2.710632419963861562e-06,3.177719243573795904e-06,3.693308051411738427e-06,4.240634064708714592e-06,4.694598543729231230e-06,4.917796727651776861e-06,4.858681090289642464e-06,4.584385116263917999e-06,4.125222491900504728e-06,3.543798929877183603e-06,2.926179894408956137e-06,2.316836583192124680e-06,1.779923293510291400e-06,1.382117626381479772e-06,1.129507418642307160e-06,9.911661373722997962e-07,9.183417942012175992e-07,8.420276547169228532e-07,6.278953427569180601e-07,7.919432116515139110e-09,-1.489514101180718822e-06,-4.620998091921678841e-06,-1.037298144006038757e-05,-1.961682676364033377e-05,-3.249341129813682012e-05,-4.775219879193862550e-05,-6.269607744245529149e-05,-7.406310558416245144e-05,-7.938333741512711096e-05,-7.798705066002994696e-05,-7.102843710076743079e-05,-6.065604078014499097e-05,-4.885714938028090084e-05,-3.682349532257701797e-05,-2.565890616803794582e-05,-1.636729983523064656e-05,-9.172945175774355780e-06,-3.866538496928768288e-06,-2.304164834613414663e-07,2.012395533901752324e-06,3.229774503924312764e-06,3.694219434311115744e-06,3.612660046912018016e-06,3.177656535908499658e-06,2.626865054691976653e-06,2.101115572617525812e-06,1.630539688538273842e-06,1.233199531711890744e-06,9.180228300015724700e-07,6.630210559329384788e-07,4.505011679949234329e-07,2.966866489211582384e-07,2.000185324727684044e-07,1.405699502054505129e-07,1.114332760655111937e-07,8.186331286581556215e-08,6.079528868887021255e-08,4.529310455912531762e-08,3.397262647874824537e-08,2.516899247613643937e-08,1.863353515598321560e-08,1.369719082301480643e-08,1.016914428933245509e-08,7.385207321948968251e-09,5.073901347814710873e-09,4.363012157575532299e-09,3.807086601146440983e-09,3.118274357673735484e-09,2.682105663282843750e-09,3.315750856305728931e-10,0.000000000000000000e+00
0.000000000000000000e+00,-3.779882100435049792e-13,-6.124873745433221339e-13,-6.657797619379480209e-13,-7.188621430973033573e-13,-7.617965458190518162e-13,-7.710657054624061295e-13,-6.653107599245636262e-13,-1.468521422042387954e-13,1.809303541813784454e-12,8.509161813057780146e-12,3.008318818420803617e-11,9.619231168170308098e-11,2.889149747933101282e-10,8.204812267000475699e-10,2.196745005177276250e-09,5.509471388701048288e-09,1.284092049329301787e-08,2.757620150723100242e-08,5.411678866087642624e-08,9.635959322014157656e-08,1.548995007799056690e-07,2.244322066146533099e-07,2.941503144482003879e-07,3.529994495288236967e-07,3.981444347823101879e-07,4.418606871806334467e-07,5.126393209941742019e-07,6.486970722967960020e-07,8.768736190842016810e-07,1.190870133771344493e-06,1.594380798343334161e-06,2.130200568035128044e-06,2.837164120459445486e-06,3.883232569490494148e-06,5.585662677832097824e-06,8.366744190623268311e-06,1.263052193705621661e-05,1.847845205165863673e-05,2.540636457053920379e-05,3.223459800757864013e-05,3.745371564317065459e-05,3.987266654314888185e-05,3.918283922547907992e-05,3.609813727409919807e-05,3.211347860672006757e-05,2.928289579712929655e-05,3.031520044446417173e-05,3.869648126285074846e-05,5.838681135436162554e-05,9.271178322184138725e-05,1.421193319994545792e-04,2.018034274146837431e-04,2.612736731651043513e-04,3.073364835405937548e-04,3.294316648280723524e-04,3.240002379006274354e-04,2.951042010482852508e-04,2.514771231131575314e-04,2.025043592347439191e-04,1.554487203823058704e-04,1.145787740463677189e-04,8.158795830543724551e-05,5.644648353007704279e-05,3.817567374949702941e-05,2.545162237778117925e-05,1.701531651246806207e-05,1.170505849955142213e-05,8.495112815251780326e-06,6.528261745786102761e-06,5.182122935207685474e-06,4.125046011593122577e-06,3.228093926771325828e-06,2.497813122417030736e-06,1.912854633780252873e-06,1.451764630447343972e-06,1.098342774278476353e-06,8.315402361106104881e-07,6.212541017916556617e-07,4.301749235423728888e-07,2.635258996013865412e-07,1.494541394099542957e-07,9.059334482380811096e-08,5.792256059772746766e-08,3.872629984222830325e-08,2.667074672951507949e-08,1.886182393510174897e-08,1.358057407786754446e-08,9.810748493321453126e-09,6.986749009808344760e-09,5.318708361103595281e-09,4.342006792135634708e-09,3.599622506910682490e-09,3.431768002945536615e-09,3.219687732974082495e-09,3.498808412562381359e-09,2.412978946341086658e-09,1.681052931570489789e-09,1.889562212182097864e-09,0.000000000000000000e+00
