s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
4.571090452373027802e-03,4.510079510509967804e-03,4.741017706692218781e-03,4.829978570342063904e-03,4.075087141245603561e-03,5.123359616845846176e-03,5.323222372680902481e-03,4.854677245020866394e-03,5.069780629128217697e-03,5.144184455275535583e-03,4.785203374922275543e-03,4.415398463606834412e-03,4.759889096021652222e-03,3.889524145051836967e-03,5.504808388650417328e-03,4.640632309019565582e-03,4.500342532992362976e-03,3.123287810012698174e-03,4.667698405683040619e-03,9.137631393969058990e-03,1.984866522252559662e-02,1.821217983961105347e-01,8.381596803665161133e-01,9.281522035598754883e-01,9.390360116958618164e-01,9.441426992416381836e-01,9.517194032669067383e-01,9.591322541236877441e-01,9.481420516967773438e-01,9.277068972587585449e-01,8.968287706375122070e-01,6.944804191589355469e-01,3.291021883487701416e-01,7.142971456050872803e-02,2.581306919455528259e-02,1.412947941571474075e-02,6.150138098746538162e-03,3.259259974583983421e-03,4.278844222426414490e-03,4.711830522865056992e-03,4.186485894024372101e-03,4.420367069542407990e-03,4.416824318468570709e-03,4.833954386413097382e-03,4.394751973450183868e-03,4.281018860638141632e-03,4.542849957942962646e-03,3.976466134190559387e-03,4.483122844249010086e-03,4.372810013592243195e-03,4.697112366557121277e-03,4.815944004803895950e-03,4.651304800063371658e-03,4.846718162298202515e-03,6.666366942226886749e-03,7.465351372957229614e-03,7.846087217330932617e-03,1.004255563020706177e-02,9.055444039404392242e-03,3.255553543567657471e-03,8.795803785324096680e-02,9.284171462059020996e-01,9.511059522628784180e-01,9.659286141395568848e-01,9.656617641448974609e-01,9.639537334442138672e-01,9.685423374176025391e-01,9.495782852172851562e-01,8.692451119422912598e-01,6.038365364074707031e-01,2.191004529595375061e-02,1.103736367076635361e-02,7.930153980851173401e-03,3.498644102364778519e-03,3.434101818129420280e-03,4.607970826327800751e-03,4.801105242222547531e-03,4.080598242580890656e-03,4.010314121842384338e-03,5.247536581009626389e-03,4.357952158898115158e-03,4.486938007175922394e-03,4.714382812380790710e-03,4.289451986551284790e-03,5.719108041375875473e-03,4.790895618498325348e-03,4.538065288215875626e-03,4.283855203539133072e-03,5.225390195846557617e-03,4.593514837324619293e-03,4.880759865045547485e-03,4.556351341307163239e-03,4.687692038714885712e-03,4.627945367246866226e-03,3.899500239640474319e-03,4.098747856914997101e-03,4.866641480475664139e-03,4.554944112896919250e-03,4.618182778358459473e-03,4.970791749656200409e-03
1.378346513956785202e-02,1.418454293161630630e-02,1.335602160543203354e-02,1.184561662375926971e-02,1.204192917793989182e-02,1.439430378377437592e-02,1.366370357573032379e-02,1.343989558517932892e-02,1.287433691322803497e-02,1.288886368274688721e-02,1.302433293312788010e-02,1.145105157047510147e-02,1.350045483559370041e-02,1.384361647069454193e-02,1.191972196102142334e-02,1.314422953873872757e-02,1.277246978133916855e-02,1.423560827970504761e-02,1.266521774232387543e-02,1.369654852896928787e-02,1.430135406553745270e-02,1.156714186072349548e-02,1.133472938090562820e-02,1.450034230947494507e-02,1.314718555659055710e-02,1.368576288223266602e-02,1.406970433890819550e-02,1.226936187595129013e-02,1.302786450833082199e-02,1.513426750898361206e-02,1.335135381668806076e-02,1.539777312427759171e-02,1.416446082293987274e-02,1.369316782802343369e-02,1.299682073295116425e-02,1.518409978598356247e-02,1.318486686795949936e-02,1.463172771036624908e-02,1.114348787814378738e-02,1.220387220382690430e-02,1.380483247339725494e-02,1.235640514642000198e-02,1.372048631310462952e-02,1.313954126089811325e-02,1.373919937759637833e-02,1.249836012721061707e-02,1.402461156249046326e-02,1.243416871875524521e-02,1.329712104052305222e-02,1.184033229947090149e-02,1.533373817801475525e-02,1.486975327134132385e-02,1.180043630301952362e-02,1.340346317738294601e-02,1.313187088817358017e-02,1.446660328656435013e-02,1.444967277348041534e-02,1.405710913240909576e-02,1.315085589885711670e-02,1.221029553562402725e-02,1.442166045308113098e-02,1.252046599984169006e-02,1.303601544350385666e-02,1.253170147538185120e-02,1.254925038665533066e-02,1.375268399715423584e-02,1.336882077157497406e-02,1.426674425601959229e-02,1.367501262575387955e-02,1.399551052600145340e-02,1.233145315200090408e-02,1.267547253519296646e-02,1.338557992130517960e-02,1.176737993955612183e-02,1.253890898078680038e-02,1.347708515822887421e-02,1.280404906719923019e-02,1.332496572285890579e-02,1.224586460739374161e-02,1.188119594007730484e-02,1.357812620699405670e-02,1.074365340173244476e-02,1.260243449360132217e-02,1.244177669286727905e-02,1.275454554706811905e-02,1.180541329085826874e-02,1.323331613093614578e-02,1.166810095310211182e-02,1.212749164551496506e-02,1.151999179273843765e-02,1.313452795147895813e-02,1.297940593212842941e-02,1.212935335934162140e-02,1.178366038948297501e-02,1.255733054131269455e-02,1.333515625447034836e-02,1.233060006052255630e-02,1.336353272199630737e-02,1.340222731232643127e-02,1.433240901678800583e-02
4.348717629909515381e-03,5.804625805467367172e-03,5.362566094845533371e-03,4.793838597834110260e-03,5.342019256204366684e-03,4.591666162014007568e-03,4.952265415340662003e-03,4.977806471288204193e-03,4.985239822417497635e-03,5.327862221747636795e-03,5.248887930065393448e-03,5.034957081079483032e-03,4.818595945835113525e-03,4.719706252217292786e-03,4.744524136185646057e-03,4.550138022750616074e-03,4.302191548049449921e-03,5.611456930637359619e-03,4.647171590477228165e-03,5.218677222728729248e-03,5.252327304333448410e-03,4.596793092787265778e-03,4.793465603142976761e-03,4.766779486089944839e-03,4.137715324759483337e-03,3.078245557844638824e-03,4.087266046553850174e-03,7.328011095523834229e-03,1.216597482562065125e-02,2.031070925295352936e-02,4.859804362058639526e-02,2.429514974355697632e-01,8.324491381645202637e-01,9.011406302452087402e-01,9.473094344139099121e-01,9.426352381706237793e-01,9.482148289680480957e-01,9.413164258003234863e-01,9.207707047462463379e-01,2.851652503013610840e-01,6.349632050842046738e-03,8.655590005218982697e-03,1.124317198991775513e-02,4.277170635759830475e-03,4.465799313038587570e-03,4.410431720316410065e-03,3.984305541962385178e-03,4.317909479141235352e-03,5.072022788226604462e-03,5.129415076225996017e-03,5.282295867800712585e-03,4.642857238650321960e-03,4.339463543146848679e-03,4.550792742520570755e-03,5.294732749462127686e-03,5.345407873392105103e-03,5.214532371610403061e-03,4.837275017052888870e-03,5.262152757495641708e-03,4.637873265892267227e-03,4.469952080398797989e-03,1.202447991818189621e-02,3.861629590392112732e-02,7.163804173469543457e-01,8.909101486206054688e-01,9.233179092407226562e-01,9.241966605186462402e-01,9.096937179565429688e-01,8.967227339744567871e-01,9.268116950988769531e-01,6.993475556373596191e-01,6.491700410842895508e-01,7.335364222526550293e-01,1.112633869051933289e-01,5.167217925190925598e-02,1.540086790919303894e-02,9.092062711715698242e-03,4.784631542861461639e-03,3.213607007637619972e-03,4.082123748958110809e-03,4.246994387358427048e-03,4.324920009821653366e-03,4.557679872959852219e-03,4.754775669425725937e-03,5.015419330447912216e-03,3.889219369739294052e-03,5.336091388016939163e-03,4.285171162337064743e-03,4.189160652458667755e-03,4.034901037812232971e-03,5.135037004947662354e-03,5.012298468500375748e-03,4.398114047944545746e-03,5.046634934842586517e-03,5.140045192092657089e-03,4.422157537192106247e-03,4.837688058614730835e-03,4.827996250241994858e-03,4.893623758107423782e-03,5.061640404164791107e-03
4.499022383242845535e-03,4.490901716053485870e-03,4.474335815757513046e-03,4.855276551097631454e-03,4.223732743412256241e-03,4.505104385316371918e-03,5.360628478229045868e-03,4.040018655359745026e-03,5.586771760135889053e-03,3.880765987560153008e-03,5.059249699115753174e-03,4.833520855754613876e-03,5.177482031285762787e-03,4.580845125019550323e-03,4.731293767690658569e-03,4.412435460835695267e-03,4.299416672438383102e-03,4.108110908418893814e-03,3.360849805176258087e-03,4.190031904727220535e-03,8.689370006322860718e-03,3.118056245148181915e-02,1.355807930231094360e-01,8.331550359725952148e-01,9.342599511146545410e-01,9.519426226615905762e-01,9.507127404212951660e-01,9.518623948097229004e-01,9.568693041801452637e-01,9.463760256767272949e-01,9.281040430068969727e-01,9.333385825157165527e-01,8.982264995574951172e-01,7.873998284339904785e-01,3.936071097850799561e-01,5.873114615678787231e-02,1.707367040216922760e-02,7.682225666940212250e-03,3.044050186872482300e-03,4.292194265872240067e-03,5.306587088853120804e-03,3.925921395421028137e-03,5.088877398520708084e-03,4.937898833304643631e-03,4.987695720046758652e-03,4.300770349800586700e-03,3.764696419239044189e-03,4.221518989652395248e-03,5.096045322716236115e-03,4.708140157163143158e-03,4.691649693995714188e-03,4.760984797030687332e-03,4.746377933770418167e-03,4.687401000410318375e-03,3.832794725894927979e-03,4.600988235324621201e-03,4.356725607067346573e-03,4.434055648744106293e-03,5.383395124226808548e-03,5.146566778421401978e-03,4.839240107685327530e-03,4.648431669920682907e-03,4.758841358125209808e-03,2.261617686599493027e-03,5.834791809320449829e-03,1.207196433097124100e-02,4.201366379857063293e-02,1.395859271287918091e-01,5.202918648719787598e-01,9.173526167869567871e-01,9.037569761276245117e-01,9.443030953407287598e-01,9.577958583831787109e-01,9.521748423576354980e-01,9.630229473114013672e-01,9.630553722381591797e-01,9.525114297866821289e-01,9.407210350036621094e-01,9.231456518173217773e-01,7.853579521179199219e-01,4.210542514920234680e-02,1.469946838915348053e-02,5.053743720054626465e-03,3.303598146885633469e-03,3.789590205997228622e-03,4.691184498369693756e-03,4.875420127063989639e-03,4.958112724125385284e-03,5.207166541367769241e-03,4.540853668004274368e-03,5.130570847541093826e-03,4.828321747481822968e-03,4.609340336173772812e-03,4.579306114464998245e-03,4.746355116367340088e-03,4.560633562505245209e-03,5.027299746870994568e-03,4.384128376841545105e-03,4.452655557543039322e-03,4.409646615386009216e-03
5.151588935405015945e-03,5.230364855378866196e-03,5.131060257554054260e-03,5.064282566308975220e-03,5.283283069729804993e-03,4.692480433732271194e-03,4.757754970341920853e-03,4.984690807759761810e-03,4.963158629834651947e-03,4.696105141192674637e-03,4.691447131335735321e-03,5.117478780448436737e-03,4.961395170539617538e-03,4.225172568112611771e-03,4.442363511770963669e-03,4.604075103998184204e-03,4.336141981184482574e-03,4.091322887688875198e-03,3.562133293598890305e-03,8.627660572528839111e-03,1.952691562473773956e-02,2.783131897449493408e-01,8.880217075347900391e-01,9.480875134468078613e-01,9.609256386756896973e-01,9.622792601585388184e-01,9.606386423110961914e-01,9.665455222129821777e-01,9.611964821815490723e-01,9.512845873832702637e-01,9.111564159393310547e-01,7.892699241638183594e-01,5.071745514869689941e-01,7.317231595516204834e-02,3.031970560550689697e-02,1.382426917552947998e-02,6.250863894820213318e-03,4.096511751413345337e-03,5.128361750394105911e-03,4.700830206274986267e-03,5.088054109364748001e-03,5.204539280384778976e-03,5.269293207675218582e-03,4.823995288461446762e-03,4.175304900854825974e-03,4.869676660746335983e-03,4.930149763822555542e-03,5.011182744055986404e-03,4.583676811307668686e-03,4.301899578422307968e-03,5.191429052501916885e-03,4.754364956170320511e-03,5.217103287577629089e-03,5.776805803179740906e-03,6.723995320498943329e-03,6.150784902274608612e-03,8.764895610511302948e-03,9.048475883901119232e-03,7.490837015211582184e-03,3.644142765551805496e-03,7.063691616058349609e-01,9.684242606163024902e-01,9.560067057609558105e-01,9.673658609390258789e-01,9.683715701103210449e-01,9.726400375366210938e-01,9.592958688735961914e-01,9.448505640029907227e-01,6.777502298355102539e-01,6.492122262716293335e-02,9.558586403727531433e-03,4.809184465557336807e-03,3.582232166081666946e-03,4.226029850542545319e-03,4.522885195910930634e-03,4.678388591855764389e-03,4.423310514539480209e-03,4.242811817675828934e-03,4.279189743101596832e-03,4.890044219791889191e-03,4.541269969195127487e-03,4.420879296958446503e-03,4.899701569229364395e-03,4.322885535657405853e-03,5.295684095472097397e-03,5.332372151315212250e-03,5.299320444464683533e-03,5.292987450957298279e-03,3.633850486949086189e-03,4.957992583513259888e-03,4.545846022665500641e-03,4.877655301243066788e-03,4.870106466114521027e-03,4.587407223880290985e-03,4.982404876500368118e-03,4.509005229920148849e-03,4.389918409287929535e-03,3.977457527071237564e-03,4.472499247640371323e-03,4.632129333913326263e-03
5.019287113100290298e-03,4.869281314313411713e-03,4.260380752384662628e-03,5.315992981195449829e-03,4.520455375313758850e-03,4.991589579731225967e-03,4.648896865546703339e-03,4.894828889518976212e-03,4.803913179785013199e-03,3.976194187998771667e-03,4.430722910910844803e-03,4.579175263643264771e-03,4.952361807227134705e-03,4.199935588985681534e-03,4.188667517155408859e-03,4.767392296344041824e-03,4.209383390843868256e-03,4.523984622210264206e-03,4.566991701722145081e-03,4.526141099631786346e-03,4.233273211866617203e-03,4.217407666146755219e-03,3.609624225646257401e-03,3.379140747711062431e-03,8.917556144297122955e-03,1.538345962762832642e-02,4.982831329107284546e-02,3.358381390571594238e-01,7.012836933135986328e-01,8.251925706863403320e-01,8.967840075492858887e-01,9.283435344696044922e-01,9.364058375358581543e-01,9.505187273025512695e-01,9.551988840103149414e-01,9.429131746292114258e-01,9.410267472267150879e-01,9.281979203224182129e-01,1.893605142831802368e-01,1.146498601883649826e-02,5.125532858073711395e-03,5.024638492614030838e-03,6.445042323321104050e-03,5.881269928067922592e-03,4.363850690424442291e-03,4.899455234408378601e-03,4.257480613887310028e-03,4.661021754145622253e-03,4.424230195581912994e-03,5.220385733991861343e-03,4.896647762507200241e-03,4.104641731828451157e-03,4.101817961782217026e-03,5.051483400166034698e-03,4.042636603116989136e-03,5.206712055951356888e-03,5.443406291306018829e-03,4.683889448642730713e-03,4.311876371502876282e-03,5.018408410251140594e-03,4.475852940231561661e-03,3.782937303185462952e-03,2.964127808809280396e-03,6.105014123022556305e-03,1.297230366617441177e-02,3.778696060180664062e-02,2.504229247570037842e-01,7.032914161682128906e-01,8.222094774246215820e-01,9.285126924514770508e-01,8.808248639106750488e-01,9.067904949188232422e-01,9.468346834182739258e-01,9.438932538032531738e-01,9.495571255683898926e-01,9.430146813392639160e-01,9.055001735687255859e-01,8.250999450683593750e-01,2.485811114311218262e-01,4.163429886102676392e-02,1.216818112879991531e-02,6.119390018284320831e-03,3.189806127920746803e-03,3.794315038248896599e-03,3.809577785432338715e-03,4.388572182506322861e-03,4.784372635185718536e-03,4.526420030742883682e-03,4.227839875966310501e-03,4.928587004542350769e-03,3.860072931274771690e-03,4.268665798008441925e-03,4.791393410414457321e-03,4.882909357547760010e-03,4.410875495523214340e-03,5.027645733207464218e-03,4.983184859156608582e-03,4.924849607050418854e-03,4.128149710595607758e-03,4.883127287030220032e-03
5.084746051579713821e-03,3.971933852881193161e-03,4.490274935960769653e-03,4.859135020524263382e-03,4.033332224935293198e-03,4.925129469484090805e-03,4.649556707590818405e-03,4.377379547804594040e-03,4.388684872537851334e-03,5.216402933001518250e-03,4.820547066628932953e-03,5.310829728841781616e-03,4.512268118560314178e-03,5.018946714699268341e-03,4.540396854281425476e-03,3.707029391080141068e-03,4.555849824100732803e-03,3.475062083452939987e-03,4.058726597577333450e-03,8.064466528594493866e-03,2.031386829912662506e-02,2.737973034381866455e-01,8.686999678611755371e-01,9.540274739265441895e-01,9.620917439460754395e-01,9.609121084213256836e-01,9.605484604835510254e-01,9.538715481758117676e-01,9.657980799674987793e-01,9.431710839271545410e-01,9.368684887886047363e-01,8.318339586257934570e-01,4.783526957035064697e-01,7.851275801658630371e-02,3.111324273049831390e-02,1.372562441974878311e-02,5.468501709401607513e-03,3.762758336961269379e-03,4.930982366204261780e-03,5.193419288843870163e-03,4.508529789745807648e-03,5.000514443963766098e-03,4.899308551102876663e-03,4.311128985136747360e-03,4.454761277884244919e-03,4.602034576237201691e-03,4.683187231421470642e-03,4.940851591527462006e-03,4.708562511950731277e-03,5.169545300304889679e-03,4.631078802049160004e-03,4.476944915950298309e-03,5.492003634572029114e-03,6.289922632277011871e-03,7.669706363230943680e-03,7.694838568568229675e-03,8.424505591392517090e-03,9.393543936312198639e-03,9.308337233960628510e-03,4.164050798863172531e-03,7.532992362976074219e-01,9.515136480331420898e-01,9.606339335441589355e-01,9.739620089530944824e-01,9.664183855056762695e-01,9.656705260276794434e-01,9.711151123046875000e-01,9.495125412940979004e-01,6.172674894332885742e-01,6.592059880495071411e-02,1.010901201516389847e-02,4.656661301851272583e-03,3.534673480316996574e-03,3.769331378862261772e-03,4.356504417955875397e-03,4.738983698189258575e-03,5.030895583331584930e-03,4.547536373138427734e-03,5.282097496092319489e-03,4.589766263961791992e-03,4.917981568723917007e-03,5.163932684808969498e-03,5.057159345597028732e-03,4.684098530560731888e-03,4.127689171582460403e-03,4.886926617473363876e-03,4.105563741177320480e-03,5.247175227850675583e-03,4.860929213464260101e-03,4.888682626187801361e-03,5.107723642140626907e-03,4.501962102949619293e-03,4.856083076447248459e-03,3.767029615119099617e-03,3.917784895747900009e-03,4.384452942758798599e-03,5.436659790575504303e-03,5.166059359908103943e-03,4.125084728002548218e-03,4.108563531190156937e-03
4.120597615838050842e-03,4.510516300797462463e-03,3.975236322730779648e-03,4.810343962162733078e-03,4.731175024062395096e-03,5.351043771952390671e-03,4.813230130821466446e-03,5.308635532855987549e-03,4.599986132234334946e-03,4.886583425104618073e-03,4.439278971403837204e-03,4.556091967970132828e-03,4.352163057774305344e-03,5.078251007944345474e-03,4.138080868870019913e-03,4.293718840926885605e-03,4.985821433365345001e-03,5.184337031096220016e-03,4.558726679533720016e-03,4.918070044368505478e-03,4.886620212346315384e-03,4.662501625716686249e-03,4.538776353001594543e-03,4.864200949668884277e-03,3.838565200567245483e-03,3.476954763755202293e-03,4.124871455132961273e-03,7.191482931375503540e-03,1.188369281589984894e-02,2.117764391005039215e-02,5.662800371646881104e-02,3.503258526325225830e-01,8.916685581207275391e-01,9.341475963592529297e-01,9.542822837829589844e-01,9.520871043205261230e-01,9.577097296714782715e-01,9.511330127716064453e-01,9.303834438323974609e-01,4.408761262893676758e-01,5.479323677718639374e-03,9.129993617534637451e-03,1.210583001375198364e-02,9.508369490504264832e-03,8.878900669515132904e-03,6.522848736494779587e-03,6.450690794736146927e-03,5.014850292354822159e-03,4.283881746232509613e-03,5.079518537968397141e-03,4.604999441653490067e-03,4.293021745979785919e-03,4.386735148727893829e-03,5.099948961287736893e-03,4.264962393790483475e-03,4.731202032417058945e-03,5.088681820780038834e-03,4.765793215483427048e-03,5.200511775910854340e-03,4.179252311587333679e-03,5.398155190050601959e-03,3.919770941138267517e-03,2.954914700239896774e-03,5.240061786025762558e-03,1.246370840817689896e-02,3.025404736399650574e-02,1.478857249021530151e-01,4.031618535518646240e-01,6.839790940284729004e-01,8.921591639518737793e-01,8.238446712493896484e-01,8.923423290252685547e-01,9.473586678504943848e-01,9.240447878837585449e-01,9.428223371505737305e-01,9.017513990402221680e-01,8.674383163452148438e-01,6.364023685455322266e-01,1.225097328424453735e-01,3.514368832111358643e-02,1.115609519183635712e-02,6.082446780055761337e-03,3.527157241478562355e-03,3.335514804348349571e-03,4.543221089988946915e-03,4.605095833539962769e-03,5.136622581630945206e-03,4.132957197725772858e-03,5.122557282447814941e-03,4.402850288897752762e-03,4.921001847833395004e-03,4.931831732392311096e-03,4.778827074915170670e-03,4.581697285175323486e-03,4.632439464330673218e-03,5.088363308459520340e-03,4.634035751223564148e-03,4.469402600079774857e-03,4.390289541333913803e-03,5.149690434336662292e-03
4.220462869852781296e-03,5.304883234202861786e-03,4.264825023710727692e-03,4.750551190227270126e-03,5.157557316124439240e-03,4.810569807887077332e-03,4.902352578938007355e-03,4.916299134492874146e-03,4.989598412066698074e-03,5.057526286691427231e-03,4.704311490058898926e-03,4.461923614144325256e-03,4.563102032989263535e-03,4.778862930834293365e-03,4.511377308517694473e-03,5.255111027508974075e-03,4.483478609472513199e-03,4.283306188881397247e-03,4.636143334209918976e-03,4.822441376745700836e-03,4.180254414677619934e-03,3.923539072275161743e-03,3.739668987691402435e-03,4.216218832880258560e-03,8.839990943670272827e-03,1.687149144709110260e-02,4.487501457333564758e-02,2.693808674812316895e-01,6.148120164871215820e-01,7.867516875267028809e-01,8.949816823005676270e-01,9.139063358306884766e-01,9.319348931312561035e-01,9.342066049575805664e-01,9.350355863571166992e-01,9.534971117973327637e-01,9.465408921241760254e-01,9.014892578125000000e-01,1.476082801818847656e-01,1.119947712868452072e-02,4.756357986479997635e-03,4.901201464235782623e-03,6.148523651063442230e-03,5.125882569700479507e-03,4.892374854534864426e-03,3.693060018122196198e-03,4.327894654124975204e-03,5.648418329656124115e-03,4.588110838085412979e-03,4.125147592276334763e-03,4.222746007144451141e-03,4.623574204742908478e-03,4.772422369569540024e-03,4.725511185824871063e-03,4.222657997161149979e-03,4.261109046638011932e-03,4.675749223679304123e-03,4.771819803863763809e-03,4.988374654203653336e-03,5.297030787914991379e-03,3.633527783676981926e-03,6.371151655912399292e-03,1.660135760903358459e-02,2.243054807186126709e-01,8.792592287063598633e-01,9.224188327789306641e-01,9.410963058471679688e-01,9.498538970947265625e-01,9.230784177780151367e-01,9.416901469230651855e-01,8.925297856330871582e-01,8.853577375411987305e-01,9.161301255226135254e-01,7.588645219802856445e-01,6.404153108596801758e-01,4.729678481817245483e-02,2.237094379961490631e-02,9.771880693733692169e-03,5.605537444353103638e-03,3.285146318376064301e-03,4.041657783091068268e-03,4.219827707856893539e-03,4.714809823781251907e-03,5.172697827219963074e-03,4.164133686572313309e-03,4.446228500455617905e-03,4.383955616503953934e-03,4.494215361773967743e-03,4.739017691463232040e-03,4.978181794285774231e-03,5.022619850933551788e-03,4.465824924409389496e-03,4.958455916494131088e-03,5.008382722735404968e-03,4.383235704153776169e-03,4.961180966347455978e-03,4.982007201761007309e-03,5.405456759035587311e-03,4.110782407224178314e-03,4.095809534192085266e-03
1.391418371349573135e-02,1.384570635855197906e-02,1.406291313469409943e-02,1.407740637660026550e-02,1.288121566176414490e-02,1.252614427357912064e-02,1.375981234014034271e-02,1.276005245745182037e-02,1.398871466517448425e-02,1.298673916608095169e-02,1.275500096380710602e-02,1.320351008325815201e-02,1.361924689263105392e-02,1.313146296888589859e-02,1.196820661425590515e-02,1.299025863409042358e-02,1.277960091829299927e-02,1.464483141899108887e-02,1.291857566684484482e-02,1.241034734994173050e-02,1.158395130187273026e-02,1.307733170688152313e-02,1.321371085941791534e-02,1.191611774265766144e-02,1.370712369680404663e-02,1.237821578979492188e-02,1.098600029945373535e-02,1.359087880700826645e-02,1.237452030181884766e-02,1.252638641744852066e-02,1.278502866625785828e-02,1.301999296993017197e-02,1.282763108611106873e-02,1.367903314530849457e-02,1.343809440732002258e-02,1.253698393702507019e-02,1.333810668438673019e-02,1.261053700000047684e-02,1.467132475227117538e-02,1.399951800704002380e-02,1.431135274469852448e-02,1.493725925683975220e-02,1.234690472483634949e-02,1.236421708017587662e-02,1.389891374856233597e-02,1.277058012783527374e-02,1.199995353817939758e-02,1.240546256303787231e-02,1.432429347187280655e-02,1.208156161010265350e-02,1.279436703771352768e-02,1.308255083858966827e-02,1.287352386862039566e-02,1.401070598512887955e-02,1.270493119955062866e-02,1.289439760148525238e-02,1.322514843195676804e-02,1.251339912414550781e-02,1.319152582436800003e-02,1.228382997214794159e-02,1.390189491212368011e-02,1.384840253740549088e-02,1.171557512134313583e-02,1.100315619260072708e-02,1.356750912964344025e-02,1.287636626511812210e-02,1.385761890560388565e-02,1.354530546814203262e-02,1.244122069329023361e-02,1.399251073598861694e-02,1.419937890022993088e-02,1.399561669677495956e-02,1.394177414476871490e-02,1.387365814298391342e-02,1.493115723133087158e-02,1.402473729103803635e-02,1.218943018466234207e-02,1.350756268948316574e-02,1.254963502287864685e-02,1.211897097527980804e-02,1.379951648414134979e-02,1.328640338033437729e-02,1.262113358825445175e-02,1.217047963291406631e-02,1.356777735054492950e-02,1.295194495469331741e-02,1.430889032781124115e-02,1.382867060601711273e-02,1.231341715902090073e-02,1.243095938116312027e-02,1.329785957932472229e-02,1.220823638141155243e-02,1.286239176988601685e-02,1.363635994493961334e-02,1.337604224681854248e-02,1.407151669263839722e-02,1.274113357067108154e-02,1.175901573151350021e-02,1.340070180594921112e-02,1.371704228222370148e-02
