s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
-3.724231761101375222e-03,-3.064032098831289026e-03,1.491066965687944459e-02,-1.186629237455198108e-03,-2.567451455164280181e-04,2.404132861053785795e-03,-4.329177803504908467e-03,-4.081808138698438289e-03,-5.192313284291382586e-03,-2.977007632204371583e-03,3.411234561545920408e-03,-4.931887014176008490e-04,-1.527471980084446190e-03,-1.495592421385253962e-03,-1.785583997665542719e-03,-1.237434335851072403e-02,-1.058757966628648753e-02,4.248203775116358993e-03,5.923737235376441744e-04,2.431938424175263732e-03,1.242557271886648995e-02,3.244659245453641178e-02,4.028805389896792516e-02,4.197150665767243605e-02,6.681523383289457441e-02,6.473012347109070863e-02,6.533470121468100411e-02,5.746576652631252280e-02,4.964887989940944962e-02,3.079342782995129341e-02,5.709309374545935151e-03,1.227210092354123760e-02,-1.961478516828116941e-02,-1.690602197902632900e-02,-3.842708173217242867e-02,-4.905813111088455636e-02,-4.286626207713788161e-02,-5.043539011793510274e-02,-2.219570303588372026e-02,-1.931604150326321490e-02,4.414585526143269094e-03,1.888894241234471277e-02,1.497316361254278673e-02,1.397411523997067924e-02,2.088488518706885927e-02,1.120570219228700370e-02,1.779002909109392294e-02,5.393196851727293135e-03,2.213401922202047969e-02,1.517697338830458452e-02,1.062232907845898910e-02,5.009854433751617306e-03,2.056750968587174599e-02,1.347098695750377495e-02,1.446889212133526531e-02,1.871749522493029727e-02,-2.043591148583034228e-02,-1.828937352592821877e-02,6.216203250266206203e-03,2.958792765203161704e-03,2.475811821605694227e-02,3.504969751826445684e-02,6.243676451282848677e-02,9.629431214821106144e-02,9.036835971033881088e-02,6.796519001797106385e-02,2.538570373506875838e-02,1.938429152371608580e-02,3.292016923196882522e-02,-2.780982668577106076e-02,-1.711514339758985273e-02,-1.753118084742804131e-02,-3.172916420952635180e-02,-2.794659312544579832e-02,-3.193109796342075840e-02,-2.057479244568971230e-02,-5.333301838681279300e-03,-2.183376182223621328e-02,-3.659858720339507002e-03,-4.131917375612030770e-03,-1.321388392551584023e-02,8.435806384430111562e-04,-1.313659432239445979e-02,7.919298735139409379e-03,7.141497398103937959e-03,4.433786751653185330e-03,-2.254458430125675077e-03,-3.432257914461655460e-03,4.172288783294157526e-03,-3.770414952685926819e-03,7.198129880364362299e-03,-4.217579630209816787e-04,-1.092325588144700717e-02,-2.653695760488431529e-03,-1.611260705065719820e-02,-5.220668788365857111e-04,-4.156555278905881175e-03,-9.365279210499726599e-04,1.083800810760966607e-03,0.000000000000000000e+00
-1.820784666616297740e-03,3.630280772232651575e-03,2.662854424281704368e-04,-4.950423436674517529e-03,-3.949107737125794743e-03,4.061150346088755227e-03,1.245742119445052490e-02,3.962811976525264408e-03,6.080669199349561516e-03,2.992588810760234141e-03,3.444629439531068059e-03,8.680131342172725485e-04,4.392589864923526592e-03,-4.273174610727657058e-03,6.965670977136215886e-03,-4.781372024927300571e-07,5.394504478854690761e-04,-5.362436564217583183e-03,-1.394806156369600436e-04,8.154167972280197251e-04,-6.033910876042164126e-03,-6.295793447788309086e-03,3.845968425640687582e-03,-1.644596689460977104e-02,-2.098676411132800734e-02,-2.489616387681007834e-02,-2.859679431632445798e-02,-4.475040820888180615e-02,-1.652770189403078918e-02,-1.245400852883398260e-02,-1.642887164842430844e-02,-4.045659314436398854e-03,-1.744090267365193403e-02,-1.753989491817247240e-02,-3.045340102689041498e-02,-5.284818310732047192e-02,-4.565376292402954089e-02,6.683994100497605423e-03,-2.990141075014515412e-03,2.946452316732178084e-02,2.118241368224030568e-03,-3.900645555394937399e-03,-2.173635640760819207e-02,-4.370681452995316824e-02,-4.515476813731201383e-02,-4.721351429977685421e-02,-4.613801058764745167e-02,-4.889967437867551170e-02,-5.032621494523718819e-02,-4.952858257517228635e-02,-3.823642393248624649e-02,-3.700540707682765246e-02,-4.214435627729983674e-02,-3.877251305725636782e-02,-3.445722914867929698e-02,1.129412119135995811e-02,2.192801396359573499e-03,1.948522673866896586e-03,6.914991383866446982e-03,-3.835530305731281626e-03,-1.096280386319182371e-02,-1.519874303576360455e-02,-2.076938943112802138e-02,-4.589005381695381719e-02,-3.815166268047468640e-02,-5.145268497470247004e-02,-5.028043627547596622e-02,-5.385052399213020174e-02,-4.380026705245707030e-02,-3.752145069534107424e-02,-3.316607780093627778e-02,-3.521359215271200466e-02,-3.439167730413027896e-02,-2.488849123625822349e-02,-2.933571658214019495e-02,-1.436772510846793562e-02,-1.842272496529548040e-02,-1.406847159164707588e-02,-1.616281321377978711e-02,-1.832703879000783728e-02,-1.474114725649439649e-02,-3.855032984824722630e-03,-1.906866561754597383e-03,-5.839246606268519088e-03,3.279883457206849676e-04,-2.525896142939931290e-03,-3.050509616593383416e-03,9.452210873650872952e-03,4.046726076762124924e-03,5.071748270678652290e-03,-1.807275435821793265e-03,4.632416733757762327e-03,4.989017576692949575e-03,-2.862855600239845762e-03,2.533658330348881327e-03,7.831933392449101985e-03,2.149524874874443950e-02,5.323348451631786105e-03,7.181691893387025412e-03,0.000000000000000000e+00
-3.232488117126049686e-03,1.289295401358802294e-03,3.841397616859592353e-03,-2.952588194424822076e-03,-1.040698748984626547e-02,6.925882316131636018e-03,3.397129416525734944e-03,1.281340695026565767e-03,4.255911137585107612e-04,5.418654329720913078e-03,5.239404073164912953e-03,1.237453702025506468e-02,9.521305538095155979e-03,1.060244872726238789e-02,3.892887030884954573e-03,7.082117907800029074e-05,-3.415208353829373659e-03,2.035232739624383107e-03,-3.802260943114908667e-03,-3.369995218051618623e-03,5.048195127866371250e-03,-9.778212374245660171e-03,-1.349193464365730337e-02,-2.523875803847607652e-02,-2.484226867024309435e-02,-2.615454908961086997e-02,-2.982177963816180777e-02,-2.783653771099623558e-02,-2.661756093151064831e-02,-2.187336663579100837e-02,2.801155708258456362e-02,1.529273512788147799e-02,1.782088351827472092e-02,4.968719959430816652e-02,7.436855733906458377e-02,8.641727171443810973e-02,9.038373052675252595e-02,9.149266542932921187e-02,7.738817022373790933e-02,3.971946564472220859e-02,3.158552429564879995e-03,-1.318956061556478265e-02,-1.692457841156978782e-02,2.736149874431769921e-02,1.418062684093269674e-02,1.198264276269270581e-02,7.915397369497772020e-03,1.729443371668120885e-02,9.076443539741784264e-03,1.751246002257661125e-02,2.837273131667390411e-02,2.705303723583295933e-02,1.598908860201089105e-02,1.088927127678255072e-02,6.911351427401189566e-03,1.171464810896641340e-02,6.961838129473003640e-04,4.911261000619211378e-03,2.479375925521140329e-04,-1.460477363841842895e-02,6.218596605817757784e-03,-1.339410151462930819e-03,5.827508624077339626e-03,1.986620292319661238e-02,1.164223129992370681e-02,2.442318178818460306e-02,3.166511292954104356e-02,5.595270797357942277e-02,3.880691930001963635e-02,3.658936667601245252e-02,4.827945584633630549e-02,6.294679004097377024e-03,1.766642845286907001e-03,2.014408184997169577e-03,-2.650045520843055495e-03,-8.081911261365799445e-03,-1.611289443377977512e-02,-5.372979779359707796e-03,-5.526707341776878127e-03,-1.096400756611591761e-02,8.986915305933110276e-03,4.828518636855906078e-03,-4.447935868391223596e-03,8.733547587624814618e-03,5.665942369295840636e-03,-7.945360977396174681e-03,-3.226593947229950549e-04,4.583409186906633494e-03,2.867815337215635745e-03,-6.539311904212067109e-03,3.511382989747748127e-04,5.185166522119524432e-03,-9.882020480343046628e-03,1.072320929907243526e-03,1.174273799984371916e-03,1.175933939227976656e-02,-9.794894285052434951e-03,1.027656845024792383e-02,-3.677285194125469767e-05,0.000000000000000000e+00
4.276648214991532471e-03,-6.898690346865530079e-03,-4.165172043318678477e-03,3.621186404104899913e-03,-6.546346476739869566e-03,-6.764950706659997488e-03,1.562744859092161367e-03,8.340150530640418058e-03,1.014323468640901990e-04,2.309463881710968874e-03,5.191635238182687115e-03,2.718127775024869238e-03,2.036058370767643028e-03,-8.738024456691894856e-03,6.508328330019619128e-03,-5.608341382438959168e-03,-1.532768744089499922e-04,1.057098711326242592e-02,8.745215822423152777e-03,5.805396327065951573e-03,2.157834826676600926e-02,4.211926322393596406e-02,4.392264809416569771e-02,4.101797647332330876e-02,5.904414793453040267e-02,6.068556354937391928e-02,5.782738654665624950e-02,5.874337778216734418e-02,4.836970994720430489e-02,3.565183592392125178e-02,4.329541962318603221e-02,1.172541670654289776e-02,1.357140900557399221e-02,6.913175942147505547e-03,7.356886418634115202e-03,1.842503453113406020e-02,-5.254891713499021400e-02,-4.933967207889364964e-02,-3.406668220622523918e-02,-1.998188770983941320e-02,9.377668465431655484e-03,2.053252344634767801e-02,-1.668642344464364279e-03,1.649191340818551704e-02,2.031945248201942264e-02,2.335763586900534497e-02,2.288206873373350644e-02,1.667368848829593048e-02,2.900151757281008852e-02,1.049828465143838423e-02,1.071309387992287580e-02,1.946938874547055054e-02,1.233011122447363016e-02,6.566258334159486704e-03,1.489657378256090429e-03,7.424543322688038210e-03,1.628346094121695814e-02,1.175513963079504766e-02,-4.883407633491833842e-03,2.917131614808153063e-03,-1.264569978035001187e-02,-1.824937103110322104e-02,-2.662633409139740157e-02,-3.834349619463515296e-02,-4.577755475651364842e-02,-4.742182388361695228e-02,-3.967477375808992068e-02,-2.899363770001743210e-02,-2.765855703986727990e-02,2.159256777324098167e-02,5.256819281424520221e-03,5.446716244185326183e-02,6.674470415167456372e-02,5.057076782829141720e-02,7.243284447455439201e-02,5.237937064407571786e-02,5.212770305828794137e-02,5.096730720917676261e-02,3.245207018585442166e-02,9.930102212396627742e-03,2.059530270224291942e-02,5.529148413632456634e-03,9.177984790458181691e-03,-8.148008219842859182e-03,-5.814845803787391590e-03,1.503015829024738001e-02,1.373807930736706436e-02,-4.930190847602802275e-03,-7.404148918318149107e-03,-1.744240228234750743e-03,1.231494320933414471e-03,-1.003714959864100524e-02,-4.916243367065524722e-04,1.266092981869696571e-02,5.392732271271354245e-03,4.115442568528507664e-03,4.961098624563557713e-03,-1.009501862596994806e-03,-7.945001924882686209e-03,0.000000000000000000e+00
4.538882341780578825e-03,1.982320601411909945e-03,-4.528229870535206356e-03,2.341176978038759723e-03,-1.260184065231192757e-03,5.715850059329331996e-03,-8.096687134712890130e-03,-1.905167697868985618e-03,-2.662692404076027770e-03,-8.983413730161744423e-03,-8.470751539639489666e-03,6.748425226362633018e-04,1.040088815626431540e-04,-9.000818252424970523e-03,5.841171376241949091e-03,-1.146297716771123645e-02,8.714379338966784724e-03,9.357536697976487653e-04,1.629528567121567035e-03,8.750310878918761415e-03,3.166644927610769156e-02,2.296209068910426074e-02,3.068676467588597398e-02,4.755729097649226411e-02,5.201449115071064139e-02,5.516321245073760315e-02,7.502737321032616757e-02,5.986743341607942553e-02,4.949702077474776862e-02,4.803606270734923911e-02,1.669266142998239097e-02,4.524559280606054064e-03,-1.735640751199433313e-02,-3.129728936823100022e-02,-4.050464745696107788e-02,-3.393555479832555816e-02,-4.314531304519359650e-02,-3.558072500762103629e-02,-2.425540863160947566e-02,-9.741407586150446427e-03,-1.156571521555199017e-02,4.826901644018825009e-03,1.794663641453420055e-02,4.197732809140064872e-03,1.121563951924464675e-02,-1.754495165257028127e-03,1.847157346576182649e-02,1.652870259685018661e-02,2.903204119124110430e-02,3.423544968395939112e-03,9.136952130711152240e-03,1.477612047962127695e-02,-5.172301066314057699e-02,-4.262249135660469562e-02,-4.555048781612044267e-02,-3.641484479243570910e-02,-3.766089517530383374e-02,-2.156720584520035316e-02,-4.018218046787308019e-03,8.310808813541480100e-03,1.870754617239701878e-02,4.866380674083125440e-02,6.867829502584769930e-02,7.739188689427932422e-02,9.067157731054600878e-02,1.750934499590339755e-02,4.428249640352663330e-02,2.066969547021118431e-02,-1.293281021047415318e-02,-1.870268407068282832e-02,-1.998983225743958606e-02,-1.794719759554897973e-02,-3.056453605243431709e-02,-2.501856610285990712e-02,-3.185497290302592016e-02,-2.520505528505268683e-02,-8.725015291978594975e-03,-1.466429391291881532e-02,-4.768157846888096516e-04,-7.715303930105946000e-03,1.716987271382903460e-03,-2.916171027478458699e-03,4.594682362152512837e-04,-4.573078969407316959e-03,-1.489565714235102645e-02,8.319933778439819391e-03,1.721404623671026965e-02,8.070950415208208439e-03,-1.412586959606143859e-03,-1.040316973121324477e-02,5.375906013912370128e-03,2.411084357878559223e-03,-8.648246921438955414e-05,-4.403273076560200970e-03,-1.260869810100559082e-02,-9.663751376907885049e-03,-1.948713019864713094e-03,4.155944850800818643e-03,2.769454710596148082e-03,0.000000000000000000e+00
-3.739170075527852629e-03,4.164244612341010468e-03,-5.515556295149052352e-03,-3.273655774452629511e-03,9.399916801848711909e-03,-2.245742925037580179e-03,8.589615092887603956e-03,-9.197838010031416517e-03,-6.242560277628055390e-03,7.093776468602659485e-04,4.183300513304498772e-03,5.539431343905764152e-03,4.298251653651060690e-03,3.460676216989813040e-03,3.670705678687892146e-03,-1.385800650476110528e-02,-1.901319776924245350e-02,-3.631250969069146038e-03,8.771550841217752928e-03,2.670650009125806121e-03,1.623657638786047634e-03,1.539923992762517058e-03,-8.446790578257532814e-04,-8.658856251137622348e-03,-2.281003694280428484e-02,-1.469389112294256991e-02,5.500518564612726612e-03,3.446376588363571965e-03,1.799335635777393749e-02,1.169232469611959820e-02,4.432923689668041844e-02,5.036970145362300311e-02,5.817070065624375952e-02,5.895797631240487502e-02,8.505987942744261399e-02,1.292443018427549307e-02,-1.843718075247864196e-03,7.132925014747801967e-03,4.123676453908645644e-03,2.011110337465215475e-03,4.639172561638044666e-03,-6.027074040430136122e-03,1.071134903346634970e-02,2.411484027247215098e-02,1.324568135294324281e-02,9.403113436535026279e-03,1.128205430747733842e-02,2.611875574246672396e-02,1.309988828168491548e-02,2.226064313545940768e-02,2.399384450159251780e-02,1.906800689783787889e-02,7.170115231521554874e-03,1.582697317803692313e-02,2.029580489261074289e-02,1.130417908450770392e-02,5.752262102256990375e-03,2.671809988154658436e-02,3.242706041018772727e-03,-8.770209192895648403e-03,-3.463193229381350113e-03,-1.458309131570935738e-02,-2.237035794699476429e-02,-4.227921973184813748e-02,-4.120105530642138164e-02,-3.853156514194545218e-02,-4.962441057654636695e-02,-3.703676589083156057e-02,3.114640988000910021e-02,3.455433374369795696e-02,4.895854016876361597e-02,3.613108841884260514e-02,6.735004181146518609e-02,7.056290427775294138e-02,5.991303980834938175e-02,4.556265766036214637e-02,4.949273021254035204e-02,4.574203486987472866e-02,3.923254075267171292e-02,2.466160667041784535e-02,1.404440889687156788e-02,4.069261758105798855e-03,1.574934744674384279e-03,-5.160880536273889513e-03,3.258309906852129012e-03,3.402416845621570717e-03,1.210267361697085590e-03,8.880440895567118589e-03,-9.147976974113690690e-04,1.001561633573516165e-02,-4.854712105830377190e-03,-2.304446427283723085e-03,1.763203660667419723e-03,2.780593111327057422e-04,9.531087854850453164e-03,-3.343985825033087694e-03,-1.062566643901348418e-02,9.831788109009382409e-03,-7.661152518856265310e-03,0.000000000000000000e+00
-2.788381814736320876e-03,6.931515523624051309e-03,8.743778835479722525e-03,-1.729985797403137474e-02,2.407290305418312900e-03,-7.625097014432559266e-03,1.017041707776156038e-02,-2.568569274299959630e-03,-2.415702931590121925e-03,3.273426686304627565e-03,-5.751068560003071498e-03,4.607572797679340324e-04,-4.817912066419429568e-03,3.854325222968996590e-03,1.355455589600381393e-02,-4.438917967042228102e-03,4.202551053165679874e-03,-1.566403214629730287e-03,9.073719693709080686e-03,7.116550132778200893e-03,1.471686657856650579e-02,2.045522053798062498e-02,3.477852562019950744e-02,5.418438042737984406e-02,6.636020342776233205e-02,6.674429944653428870e-02,5.574483924948054475e-02,6.609696608092657799e-02,4.529808567764866123e-02,3.612453185061901412e-02,1.535771630819607152e-02,1.553570305634733011e-03,-1.972980176136380354e-02,-2.578046589176959807e-02,-3.478461419346088462e-02,-5.892945823791676668e-02,-4.364848519867874088e-02,-5.217530308230420438e-02,-2.117303679299157790e-02,-8.856837068069282198e-03,4.008218253079379200e-04,-2.968842596229834783e-03,1.995357853538773721e-02,1.431449770082311203e-02,5.667797477858519707e-03,6.867319186623786070e-03,1.714775327523251208e-02,2.131287210865524459e-02,1.018049025604133608e-02,1.813483362759497897e-02,1.779828114135829052e-03,2.821006639028587545e-02,-4.062947190338923875e-02,-3.872455153258277244e-02,-4.384249705743779174e-02,-3.965128272962711170e-02,-4.058631221967924640e-02,-2.428907999950350588e-02,-5.952663341894741215e-03,-5.206891792402714575e-03,1.975317437426192188e-02,4.458342464808007916e-02,7.221710463684881398e-02,9.077197469321704459e-02,8.238442430383274839e-02,3.706558021774465639e-02,1.395671499548169214e-02,3.104735971852951373e-02,-2.164148554842337466e-02,-2.275985643550416590e-02,-1.994751904638318585e-02,-2.952296808745778420e-02,-2.941298351462132143e-02,-2.738354936237833229e-02,-3.937207618024180650e-02,-1.590086633943479585e-02,-2.853584738058596512e-02,-1.330993476600574738e-02,-6.108530234810958040e-03,-6.593008374914648834e-03,-2.879248663705071855e-03,-6.610198462197264258e-03,-2.944056677463816833e-03,4.845496215344004265e-03,-5.439465949281631699e-03,-2.886837554105850783e-03,1.489297918232664400e-02,2.158347996408089761e-02,1.378580845660981602e-02,-6.372882651516546294e-03,1.368704887122006338e-02,6.433077207045917456e-03,2.327748818647942548e-03,9.836977517181160965e-03,-2.942583304024460038e-03,-4.969282671960875176e-03,1.121912856400461740e-02,5.746922329371718929e-03,-3.832858012986046017e-03,0.000000000000000000e+00
-4.118016368165167140e-03,-1.819009705820430652e-03,7.450175684479054886e-03,3.539306807209118867e-03,2.520044955279036793e-03,-6.950386291433305677e-03,1.819618653482626362e-03,-1.156146495120954909e-03,2.094455842421446244e-03,3.069539111879561206e-03,1.155706985257968144e-03,7.379545851464640489e-03,1.488332262899652982e-03,1.672213979775421903e-03,-4.309003892280626608e-03,1.166503206675761038e-02,2.781608164566530517e-04,-9.983445726226228972e-03,5.460987781925871754e-03,-7.295956771159246845e-03,-2.141508059118136902e-03,-1.065576348699412076e-02,-1.347019104054149145e-02,-1.155625198187257979e-02,-1.504566970060273838e-02,-2.229064717689703545e-02,-2.908644391926147599e-02,-2.484300266729489587e-02,-2.514149201839699366e-02,-1.389672711168529404e-02,1.825347244720145271e-02,9.881800313425309623e-03,7.949378468345418003e-03,4.347342168217666059e-02,6.550253873968683860e-02,9.406348101805658835e-02,9.705853765524806442e-02,1.184143123522979485e-01,7.684177378366413569e-02,1.698812602730396387e-02,4.877462306619759040e-03,-2.099798747661591608e-02,-2.731746668812021911e-02,-4.421398381458857552e-02,-4.981960649411922015e-02,1.501755927503305860e-02,1.628398739591791627e-02,1.750477079076636147e-02,9.124983692157825552e-03,1.671997498810953720e-02,1.634131102110333508e-02,1.093411273854248689e-02,2.591760370656216034e-02,1.358747579301306484e-02,1.189270621025481124e-02,2.055302663813637215e-02,1.870767326370769909e-02,3.155807114231566428e-04,-1.610305741582466685e-03,1.671552956653612858e-03,-1.449925866062319949e-02,-1.264368748653248685e-02,-2.121103706755768717e-02,-4.368439434215704020e-02,-3.858853991416667101e-02,-3.752861740580507727e-02,-3.388771329072005206e-02,-3.657054747794937638e-02,2.885295847518088916e-02,1.623007774697233022e-02,3.487073728784072929e-02,3.427172563260600519e-02,6.540602722061794605e-02,6.165477692104392310e-02,5.882587005474976954e-02,4.413104307452968972e-02,5.175197820840159169e-02,3.266216458209519197e-02,3.328842678228098595e-02,1.706592169242584014e-02,1.159124955340180146e-02,1.147738409448131360e-02,4.610712910641754161e-03,1.237568122467707331e-02,-3.755410330932164743e-03,-1.397517850587204217e-03,3.152947565424587054e-03,7.396836849238550525e-03,-2.014587154274327663e-03,3.047635888723513979e-03,1.982761803992347076e-03,-7.161514047718283218e-03,-1.531334056986010609e-03,1.074151012505532646e-02,1.006359293390798534e-02,-5.452610681261628152e-04,-6.327421175894513104e-03,2.225183309377042149e-03,-1.907070456808917592e-03,0.000000000000000000e+00
-8.118336056867649780e-03,-3.640955416753179248e-03,3.387403539979958952e-03,-1.117751665873334931e-02,4.522517573097511491e-03,6.683136806709593335e-03,2.012309013982790940e-03,-8.367495896176460266e-03,-5.549850687921542916e-03,-1.963451399199534224e-04,4.652088913166053594e-03,-9.595698317761020349e-03,-3.893542441881306122e-03,-1.263190707055804720e-03,-9.375519303240971089e-03,8.174381145318635258e-03,1.270432438304255722e-02,3.297846154423009647e-03,-1.051986759970975106e-02,8.343127154094619538e-03,-7.280154043810970095e-03,-7.789816696907831762e-04,-1.313414654724451291e-02,-7.730726441054084144e-03,-5.896077414708589953e-03,-7.714196625056067222e-03,8.427037002985061920e-03,1.447207028351824194e-03,9.886354265059240157e-03,2.212952933503185143e-02,4.034009590813032731e-02,3.251127130265066972e-02,6.205542549742160130e-02,5.861602513078677246e-02,6.621284461360245344e-02,1.420344978710280171e-03,9.632322548932956835e-03,7.149540775995136439e-03,-1.243613471239157905e-03,-8.518425706561192842e-03,-6.444118321478569007e-03,2.594972663264561406e-04,7.622787900197524821e-03,2.132677905654165040e-02,8.646889508124736348e-03,1.551328139671850036e-02,2.402898906997889134e-02,1.895997345765053355e-02,2.278248836383474016e-02,4.393595500081622952e-03,2.376472462164992000e-02,1.175339818540634476e-02,1.745305840749622819e-02,1.942245410765636865e-02,8.202703867890176817e-03,1.944033731646451629e-02,4.677842337919602654e-03,-1.858574438564345854e-03,-4.881665349753004646e-03,-5.895580376577847122e-03,4.333294102638231803e-03,5.598121365062934916e-04,4.905201946893288263e-03,2.065734687749984019e-02,2.742610259208295986e-02,2.565666594859365018e-02,2.479341811134115961e-02,2.217461615096124120e-02,6.410884858007789844e-02,3.775308198775555873e-02,3.706169759611457198e-02,4.049131536647452428e-02,2.681222508512613387e-02,6.062258394074917719e-03,-1.251337645346182158e-02,-1.210811238287240292e-02,-1.212203058358185537e-02,5.316154896123002210e-03,-5.527604118511577919e-04,-1.226391495012631692e-02,-2.439225711205496023e-04,-6.530692857686945171e-03,-9.060915970071062656e-03,2.349378626364621685e-03,-3.081442699667903250e-03,5.197240743294622572e-03,-2.318106097097085913e-03,-4.471380244521732349e-03,-7.131369432177257772e-03,-3.647334962247441355e-03,5.390468131135060965e-03,-7.364947010932314242e-03,-9.198547814888786284e-03,6.025112394052188451e-03,-1.170383441616656625e-02,1.878756694417136469e-02,-1.009391185777043596e-03,3.694129307412157351e-03,6.976377401726632614e-03,0.000000000000000000e+00
1.495887634830407370e-04,5.290541013421691009e-03,-2.324815208391099557e-03,4.782920054960016973e-03,-8.554084695817419301e-03,-7.217956197647973707e-03,6.574612950669425637e-03,-3.564605329199968271e-03,9.665074820055305840e-03,-7.730888766346855762e-03,-1.058126235403247968e-02,6.423204779620076896e-04,1.801886362011968030e-04,-1.198658146795275950e-02,7.384495056328860448e-03,-4.472088565056118147e-03,1.153607498098617457e-02,-3.086586765182192018e-03,5.110315346979242036e-03,2.505801623435644637e-02,1.650610199450842919e-02,2.770193017824215329e-02,3.348499460739283451e-02,4.404232515375286483e-02,5.600355870891929322e-02,6.469919953214238462e-02,6.630834618351859333e-02,5.202674774057013118e-02,8.559423135277998904e-03,4.891084052173642546e-03,-1.396800197761349262e-02,-2.058624353063824922e-02,-3.040488190974141233e-02,-4.273905234397545883e-02,-4.157779027107886410e-02,-5.090188147164165927e-02,-4.052287544829853011e-02,-5.609866402266962260e-02,-2.356656364731605016e-02,-2.072170698661739141e-02,-6.721153126121485327e-03,2.309516574261287133e-03,4.043652990374780459e-03,2.040194988519983613e-02,5.825480386178485091e-03,2.197473191126547362e-02,1.294318640745316731e-02,9.770176670586239523e-03,1.694583393726419723e-02,1.084461609676406861e-02,1.541603910733225016e-02,7.264472465851046223e-03,2.564428171955825467e-02,1.163201983063535949e-02,6.251381990218989569e-03,1.109604753480312664e-02,1.771247007646672630e-02,9.858945696906977474e-03,-9.527716496570344832e-04,-5.813062272145331361e-03,-4.548980957785856913e-03,-1.117658640726267374e-02,-3.400809054962571076e-02,-4.242449174820882296e-02,-5.435617188408554956e-02,-5.660758473284095010e-02,-5.821375178356807956e-02,-4.852045272772764067e-02,-3.704257003823163696e-02,-4.438436913126370120e-02,-4.336442192591109801e-02,-2.643110286458077995e-02,-3.890609630575385391e-02,-4.112319828942877925e-02,-3.783707064015004451e-02,-1.650711055068266112e-02,-2.132024473795993483e-02,-8.627016551186989651e-03,-1.347645254960086296e-02,-1.222822091709160723e-02,-5.893610730591637183e-03,3.465184231493481561e-03,1.112542503242134467e-02,-5.805694720564662757e-03,-9.729762295509383329e-04,4.642925474125293066e-04,-6.157963533174835684e-03,-6.421568441724286383e-04,-2.211770217988843611e-03,3.620034543735405064e-03,-1.226106905543272382e-02,5.688425646330741957e-03,-2.295374572582005879e-03,9.777598864543733670e-03,-4.347032114572872696e-03,-4.192630136569576969e-03,5.662456960459630838e-03,1.985562414995386323e-03,-9.387637128707463849e-03,0.000000000000000000e+00
