s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
5.042764823883771896e-03,4.512711428105831146e-03,4.367112647742033005e-03,5.065606907010078430e-03,4.370487295091152191e-03,4.654009826481342316e-03,4.978951532393693924e-03,4.624456167221069336e-03,4.619020503014326096e-03,4.860073328018188477e-03,4.541705362498760223e-03,4.902729764580726624e-03,4.087103065103292465e-03,4.659400321543216705e-03,4.515846259891986847e-03,5.464931949973106384e-03,4.494100343436002731e-03,4.821860231459140778e-03,4.338874481618404388e-03,4.639617167413234711e-03,4.372170660644769669e-03,5.514069925993680954e-03,4.371757619082927704e-03,5.546609871089458466e-03,5.062702111899852753e-03,4.205439705401659012e-03,4.698195960372686386e-03,5.278997123241424561e-03,4.457037430256605148e-03,4.930219613015651703e-03,4.913871642202138901e-03,4.764596931636333466e-03,5.131481215357780457e-03,4.104193300008773804e-03,5.018225405365228653e-03,4.337089136242866516e-03,3.948991186916828156e-03,5.352463107556104660e-03,4.860694054514169693e-03,4.543160554021596909e-03,4.150516353547573090e-03,4.867849405854940414e-03,4.165460821241140366e-03,4.806973505765199661e-03,5.500980187207460403e-03,4.657810553908348083e-03,4.851435311138629913e-03,4.932257346808910370e-03,4.549887496978044510e-03,4.886750597506761551e-03,4.156091716140508652e-03,4.674611147493124008e-03,4.990862682461738586e-03,4.718767944723367691e-03,5.091579630970954895e-03,4.869956057518720627e-03,4.054237622767686844e-03,4.555657505989074707e-03,5.232519004493951797e-03,4.297016654163599014e-03,4.899594932794570923e-03,5.113460123538970947e-03,4.422609228640794754e-03,5.018075462430715561e-03,4.715866409242153168e-03,4.131434485316276550e-03,4.315833095461130142e-03,4.485628567636013031e-03,4.350155126303434372e-03,5.401033442467451096e-03,4.365085624158382416e-03,4.283405840396881104e-03,4.912715405225753784e-03,4.753207787871360779e-03,4.924706649035215378e-03,4.852316807955503464e-03,5.157973617315292358e-03,3.589230589568614960e-03,4.429111722856760025e-03,4.793169442564249039e-03,5.088693927973508835e-03,5.014807451516389847e-03,5.173664540052413940e-03,5.344532895833253860e-03,4.274892620742321014e-03,4.824945703148841858e-03,4.655244760215282440e-03,4.170883912593126297e-03,4.567926283925771713e-03,5.056683905422687531e-03,4.770916420966386795e-03,5.426698829978704453e-03,4.766560159623622894e-03,5.041671916842460632e-03,5.238891113549470901e-03,5.295441020280122757e-03,4.557446110993623734e-03,4.896308761090040207e-03,5.224859807640314102e-03,4.803682677447795868e-03
1.343571674078702927e-02,1.428764034062623978e-02,1.328201498836278915e-02,1.395361777395009995e-02,1.334025245159864426e-02,1.331535261124372482e-02,1.280840206891298294e-02,1.272434368729591370e-02,1.116818469017744064e-02,1.472431700676679611e-02,1.308609172701835632e-02,1.371331885457038879e-02,1.322381664067506790e-02,1.551165524870157242e-02,1.321662589907646179e-02,1.203591097146272659e-02,1.305677369236946106e-02,1.386115141212940216e-02,1.374888233840465546e-02,1.366424933075904846e-02,1.333453692495822906e-02,1.370351947844028473e-02,1.380093116313219070e-02,1.281568128615617752e-02,1.150449365377426147e-02,1.368639431893825531e-02,1.305106095969676971e-02,1.337944250553846359e-02,1.491006929427385330e-02,1.262533478438854218e-02,1.322174537926912308e-02,1.258685719221830368e-02,1.431086845695972443e-02,1.411307603120803833e-02,1.328532118350267410e-02,1.382141653448343277e-02,1.389262173324823380e-02,1.377401780337095261e-02,1.319624949246644974e-02,1.335301157087087631e-02,1.283961720764636993e-02,1.277959533035755157e-02,1.345686335116624832e-02,1.372687611728906631e-02,1.316676288843154907e-02,1.332343649119138718e-02,1.239188853651285172e-02,1.294209156185388565e-02,1.157107297331094742e-02,1.209675520658493042e-02,1.368427649140357971e-02,1.334666833281517029e-02,1.124944444745779037e-02,1.469856314361095428e-02,1.402825862169265747e-02,1.316798385232686996e-02,1.369562186300754547e-02,1.247831899672746658e-02,1.287434808909893036e-02,1.269286219030618668e-02,1.359999831765890121e-02,1.319557894021272659e-02,1.312669925391674042e-02,1.201909966766834259e-02,1.212941017001867294e-02,1.360228750854730606e-02,1.203609816730022430e-02,1.224169600754976273e-02,1.452787686139345169e-02,1.328244060277938843e-02,1.291331648826599121e-02,1.245362870395183563e-02,1.279828883707523346e-02,1.181585341691970825e-02,1.287683844566345215e-02,1.204888615757226944e-02,1.233517099171876907e-02,1.328797265887260437e-02,1.350683160126209259e-02,1.190074998885393143e-02,1.369174476712942123e-02,1.513831876218318939e-02,1.289328094571828842e-02,1.417679712176322937e-02,1.268726307898759842e-02,1.234686560928821564e-02,1.240798737853765488e-02,1.128115784376859665e-02,1.338545419275760651e-02,1.248875912278890610e-02,1.523614674806594849e-02,1.163679361343383789e-02,1.455546915531158447e-02,1.422408968210220337e-02,1.327695418149232864e-02,1.419884525239467621e-02,1.288612186908721924e-02,1.277989055961370468e-02,1.281148940324783325e-02,1.304342132061719894e-02
4.456022288650274277e-03,4.886567126959562302e-03,4.840468987822532654e-03,3.962648566812276840e-03,4.455844406038522720e-03,5.117437336593866348e-03,4.283173941075801849e-03,5.468896124511957169e-03,3.965781535953283310e-03,4.803454969078302383e-03,4.343681037425994873e-03,4.491978324949741364e-03,4.043593071401119232e-03,4.820848815143108368e-03,4.252611659467220306e-03,5.632927175611257553e-03,5.208364687860012054e-03,4.654378630220890045e-03,4.424572456628084183e-03,5.280429497361183167e-03,4.630990326404571533e-03,4.309076350182294846e-03,4.811195190995931625e-03,5.008152220398187637e-03,4.408930428326129913e-03,4.874658770859241486e-03,5.443031899631023407e-03,4.901252686977386475e-03,4.711848683655261993e-03,4.453296307474374771e-03,5.259337835013866425e-03,4.234530031681060791e-03,4.909473937004804611e-03,4.887223243713378906e-03,3.779143793508410454e-03,4.410695284605026245e-03,5.342445336282253265e-03,4.833926912397146225e-03,4.410021007061004639e-03,4.744880367070436478e-03,5.104199517518281937e-03,4.039679188281297684e-03,5.094669759273529053e-03,4.876393824815750122e-03,5.181312561035156250e-03,3.782409010455012321e-03,4.696581978350877762e-03,5.120431538671255112e-03,5.139079410582780838e-03,4.294659011065959930e-03,4.846273921430110931e-03,4.347683396190404892e-03,5.153224337846040726e-03,4.963236395269632339e-03,4.762989468872547150e-03,4.998341668397188187e-03,5.139684304594993591e-03,4.572018980979919434e-03,4.679818637669086456e-03,5.062468815594911575e-03,4.488770384341478348e-03,4.893470089882612228e-03,4.792394116520881653e-03,5.060629919171333313e-03,4.583170171827077866e-03,5.047221202403306961e-03,5.124107934534549713e-03,4.829820245504379272e-03,4.907906521111726761e-03,4.100281745195388794e-03,5.299122072756290436e-03,3.868872532621026039e-03,4.050404299050569534e-03,4.850063472986221313e-03,4.667786881327629089e-03,5.006778985261917114e-03,4.468104336410760880e-03,4.802734591066837311e-03,4.032784141600131989e-03,5.480568856000900269e-03,4.940949846059083939e-03,5.417736712843179703e-03,4.888742696493864059e-03,4.567849915474653244e-03,5.099208559840917587e-03,5.074958782643079758e-03,4.520330578088760376e-03,5.230900831520557404e-03,4.714183509349822998e-03,4.008602350950241089e-03,5.216761492192745209e-03,5.132779013365507126e-03,4.719986114650964737e-03,4.761422984302043915e-03,4.986869636923074722e-03,4.991689231246709824e-03,5.458857864141464233e-03,5.577552132308483124e-03,4.951997194439172745e-03,4.476020578294992447e-03
4.662802908569574356e-03,4.913435317575931549e-03,4.793403670191764832e-03,5.412061698734760284e-03,4.531130194664001465e-03,4.334884230047464371e-03,4.826110787689685822e-03,4.755781963467597961e-03,5.015295464545488358e-03,5.440627224743366241e-03,4.877970088273286819e-03,4.277562722563743591e-03,4.531566984951496124e-03,5.142322741448879242e-03,5.033330991864204407e-03,4.562181886285543442e-03,5.246318876743316650e-03,4.492707550525665283e-03,4.720420576632022858e-03,5.201508291065692902e-03,4.262976348400115967e-03,4.864948801696300507e-03,5.336433183401823044e-03,4.386028740555047989e-03,3.472816897556185722e-03,4.550515674054622650e-03,4.866634495556354523e-03,4.107264336198568344e-03,5.062867887318134308e-03,4.781558178365230560e-03,4.437774885445833206e-03,5.286368541419506073e-03,4.682404920458793640e-03,4.946009255945682526e-03,5.339686293154954910e-03,4.690937232226133347e-03,4.369145259261131287e-03,4.799342248588800430e-03,5.267993547022342682e-03,4.252997692674398422e-03,4.794714041054248810e-03,3.976189997047185898e-03,4.374909214675426483e-03,4.582441411912441254e-03,4.666555672883987427e-03,4.597611259669065475e-03,4.385479260236024857e-03,5.446009337902069092e-03,4.615446086972951889e-03,4.473392851650714874e-03,4.807605408132076263e-03,4.715716466307640076e-03,3.604878904297947884e-03,5.025155842304229736e-03,4.235193599015474319e-03,4.174799192696809769e-03,5.373223219066858292e-03,4.082965198904275894e-03,5.157202947884798050e-03,5.080998409539461136e-03,5.414636805653572083e-03,4.596638027578592300e-03,4.066553898155689240e-03,4.753437824547290802e-03,4.406386055052280426e-03,4.829485900700092316e-03,3.783165244385600090e-03,4.138784483075141907e-03,4.576326813548803329e-03,4.595072008669376373e-03,4.536960739642381668e-03,4.783369135111570358e-03,5.199964158236980438e-03,5.014143418520689011e-03,5.180933978408575058e-03,5.289506167173385620e-03,4.301809705793857574e-03,5.037695635110139847e-03,4.611620213836431503e-03,4.659325350075960159e-03,4.764171782881021500e-03,4.833114799112081528e-03,5.107684992253780365e-03,4.625255241990089417e-03,4.352906718850135803e-03,4.321353044360876083e-03,4.483461380004882812e-03,4.080935381352901459e-03,4.400754347443580627e-03,5.047643091529607773e-03,4.748279228806495667e-03,4.654570948332548141e-03,5.000106059014797211e-03,5.086077377200126648e-03,4.283483140170574188e-03,4.147055093199014664e-03,4.792673978954553604e-03,3.973730374127626419e-03,4.730586893856525421e-03,4.510323517024517059e-03
4.790284205228090286e-03,4.870989359915256500e-03,4.173967055976390839e-03,4.524764139205217361e-03,4.718140698969364166e-03,4.823427647352218628e-03,4.970129113644361496e-03,4.303159657865762711e-03,4.360502120107412338e-03,5.082227755337953568e-03,5.245005711913108826e-03,4.986673127859830856e-03,4.520099144428968430e-03,5.106694065034389496e-03,4.417316988110542297e-03,4.538296256214380264e-03,4.868770949542522430e-03,4.570350516587495804e-03,4.597089719027280807e-03,5.045938305556774139e-03,4.714351613074541092e-03,4.046422429382801056e-03,4.161494784057140350e-03,4.651755094528198242e-03,4.670807626098394394e-03,4.521309398114681244e-03,4.871475044637918472e-03,5.014398135244846344e-03,4.510775208473205566e-03,4.946026019752025604e-03,4.683871753513813019e-03,4.527554847300052643e-03,5.087163764983415604e-03,4.965742584317922592e-03,5.582299083471298218e-03,4.879611078649759293e-03,4.600437823683023453e-03,4.787399899214506149e-03,4.739643074572086334e-03,4.842768423259258270e-03,4.813202656805515289e-03,4.911176860332489014e-03,3.961235284805297852e-03,4.946481436491012573e-03,5.405174568295478821e-03,4.587716422975063324e-03,4.379705525934696198e-03,4.696508403867483139e-03,4.847088363021612167e-03,4.544152878224849701e-03,5.300911609083414078e-03,4.706835374236106873e-03,3.863545367494225502e-03,4.928063601255416870e-03,4.350729286670684814e-03,5.198558326810598373e-03,4.288772121071815491e-03,4.935245029628276825e-03,4.754822701215744019e-03,5.117077846080064774e-03,4.665663000196218491e-03,4.332396667450666428e-03,4.165862686932086945e-03,4.917575512081384659e-03,4.250855650752782822e-03,4.493296146392822266e-03,4.753816872835159302e-03,5.099288653582334518e-03,4.463945049792528152e-03,4.634847398847341537e-03,4.622430540621280670e-03,4.870367702096700668e-03,4.741973709315061569e-03,4.669958725571632385e-03,5.431026220321655273e-03,4.538877401500940323e-03,5.359214730560779572e-03,3.932716790586709976e-03,5.318164825439453125e-03,4.454472102224826813e-03,4.965999629348516464e-03,4.671754315495491028e-03,4.101477097719907761e-03,4.693150520324707031e-03,4.889148753136396408e-03,4.637127276510000229e-03,5.437387153506278992e-03,5.363576114177703857e-03,5.114595405757427216e-03,4.539312794804573059e-03,4.344603046774864197e-03,4.838332999497652054e-03,4.507695324718952179e-03,4.706737119704484940e-03,4.705843981355428696e-03,5.514891352504491806e-03,4.321753047406673431e-03,4.347632173448801041e-03,4.784304648637771606e-03,5.020373500883579254e-03
4.953891504555940628e-03,4.601202439516782761e-03,4.724313504993915558e-03,4.843885544687509537e-03,3.977060783654451370e-03,4.603380337357521057e-03,4.962708801031112671e-03,5.199359729886054993e-03,5.256531760096549988e-03,5.080343224108219147e-03,5.191206932067871094e-03,4.382161889225244522e-03,4.960326477885246277e-03,4.678191151469945908e-03,3.586358623579144478e-03,4.134749528020620346e-03,4.739584866911172867e-03,5.282445810735225677e-03,5.042841192334890366e-03,4.555099643766880035e-03,4.954425152391195297e-03,4.658646415919065475e-03,5.323229823261499405e-03,4.130230285227298737e-03,4.818177781999111176e-03,5.017101764678955078e-03,4.413420334458351135e-03,4.098844714462757111e-03,4.685072228312492371e-03,4.607669077813625336e-03,5.200230516493320465e-03,5.190224852412939072e-03,4.480231553316116333e-03,4.413458053022623062e-03,4.779924638569355011e-03,4.491259809583425522e-03,4.925496876239776611e-03,4.347790963947772980e-03,5.511552561074495316e-03,3.985376562923192978e-03,5.142820533365011215e-03,4.788940772414207458e-03,4.503447562456130981e-03,5.012557376176118851e-03,5.259534809738397598e-03,5.206469912081956863e-03,4.362262319773435593e-03,5.016242619603872299e-03,4.937938414514064789e-03,4.914864897727966309e-03,4.129304550588130951e-03,5.099651403725147247e-03,4.807480145245790482e-03,5.156867671757936478e-03,4.684216342866420746e-03,4.826692864298820496e-03,4.793160594999790192e-03,4.372772295027971268e-03,4.814008716493844986e-03,4.661136772483587265e-03,4.585186950862407684e-03,4.713688977062702179e-03,5.182745866477489471e-03,5.365066695958375931e-03,4.187318962067365646e-03,4.968278575688600540e-03,4.830060992389917374e-03,4.391656722873449326e-03,4.995790775865316391e-03,4.435310605913400650e-03,4.802408628165721893e-03,4.261454567313194275e-03,3.402749774977564812e-03,4.910645540803670883e-03,5.112632643431425095e-03,4.239676054567098618e-03,4.448681604117155075e-03,5.183150991797447205e-03,4.919344559311866760e-03,4.500911105424165726e-03,5.271940492093563080e-03,4.721281118690967560e-03,5.264624021947383881e-03,4.978290759027004242e-03,5.036772694438695908e-03,4.838337656110525131e-03,4.369087051600217819e-03,4.852851387113332748e-03,4.255451727658510208e-03,4.664639942348003387e-03,4.885737318545579910e-03,3.865606850013136864e-03,5.203181412070989609e-03,4.775031935423612595e-03,4.793251398950815201e-03,4.242366645485162735e-03,5.354806780815124512e-03,4.786589182913303375e-03,4.941273946315050125e-03,4.581771325320005417e-03
5.135450977832078934e-03,4.541489761322736740e-03,4.734750837087631226e-03,4.605462774634361267e-03,5.240312777459621429e-03,4.434279166162014008e-03,4.957926459610462189e-03,4.751033615320920944e-03,5.065645091235637665e-03,4.604142624884843826e-03,4.210385028272867203e-03,5.186666268855333328e-03,4.385760519653558731e-03,4.618487786501646042e-03,3.842740785330533981e-03,4.231330472975969315e-03,4.705794621258974075e-03,4.930860828608274460e-03,3.943611867725849152e-03,5.073168314993381500e-03,4.632564261555671692e-03,4.450694657862186432e-03,4.611931275576353073e-03,4.882610868662595749e-03,4.612139426171779633e-03,4.566506016999483109e-03,4.954954143613576889e-03,4.661530256271362305e-03,4.870328120887279510e-03,4.836547188460826874e-03,4.480484873056411743e-03,4.676111042499542236e-03,4.087225068360567093e-03,5.478186067193746567e-03,4.857641179114580154e-03,4.696161020547151566e-03,4.240457434207201004e-03,4.540314897894859314e-03,4.750724881887435913e-03,4.572205711156129837e-03,4.386166110634803772e-03,4.614906851202249527e-03,4.072759766131639481e-03,4.758746363222599030e-03,5.077169742435216904e-03,4.618327599018812180e-03,4.756716545671224594e-03,4.790597595274448395e-03,4.047181457281112671e-03,4.527335520833730698e-03,4.359323997050523758e-03,4.136601462960243225e-03,4.783298820257186890e-03,5.028590559959411621e-03,4.583352711051702499e-03,5.008188076317310333e-03,5.005736835300922394e-03,4.568706732243299484e-03,3.818821860477328300e-03,3.898891154676675797e-03,4.634814802557229996e-03,5.332672968506813049e-03,5.174466874450445175e-03,4.652604926377534866e-03,4.321601241827011108e-03,4.484042525291442871e-03,4.902110900729894638e-03,4.771931096911430359e-03,5.125323776155710220e-03,4.652516916394233704e-03,4.907149355858564377e-03,4.528844729065895081e-03,4.575149621814489365e-03,4.326745867729187012e-03,4.701644647866487503e-03,4.696314688771963120e-03,4.896773491054773331e-03,5.014607682824134827e-03,3.971060737967491150e-03,4.863623995333909988e-03,4.582619760185480118e-03,5.044920835644006729e-03,4.606210626661777496e-03,4.591746721416711807e-03,4.430762492120265961e-03,4.794964566826820374e-03,5.031244363635778427e-03,4.456876777112483978e-03,4.998071119189262390e-03,4.957783035933971405e-03,4.457295872271060944e-03,4.473261535167694092e-03,4.655892495065927505e-03,3.596738912165164948e-03,4.831080790609121323e-03,4.761224612593650818e-03,5.590301007032394409e-03,4.256777465343475342e-03,4.548706114292144775e-03,4.969190806150436401e-03
4.423058126121759415e-03,3.970728721469640732e-03,4.778021946549415588e-03,4.129622131586074829e-03,4.348563030362129211e-03,5.153338890522718430e-03,4.990682937204837799e-03,5.120438989251852036e-03,5.118758417665958405e-03,5.272028036415576935e-03,4.975015763193368912e-03,3.894300898537039757e-03,4.948951303958892822e-03,4.894018173217773438e-03,5.122068803757429123e-03,4.315798636525869370e-03,4.973974544554948807e-03,4.471535328775644302e-03,4.401550628244876862e-03,4.919864702969789505e-03,5.031661596149206161e-03,5.041071213781833649e-03,4.507254809141159058e-03,4.999724216759204865e-03,4.570012446492910385e-03,4.702213685959577560e-03,5.112972576171159744e-03,4.746605176478624344e-03,5.020020995289087296e-03,4.401167854666709900e-03,3.936328925192356110e-03,4.460036754608154297e-03,4.909249953925609589e-03,5.202912259846925735e-03,4.523643292486667633e-03,4.912081174552440643e-03,4.945416003465652466e-03,4.621176049113273621e-03,4.566512536257505417e-03,4.136185161769390106e-03,4.976517055183649063e-03,4.996629897505044937e-03,4.753751214593648911e-03,4.116492345929145813e-03,4.758974537253379822e-03,4.350658971816301346e-03,4.591465461999177933e-03,4.805438686162233353e-03,5.011560861021280289e-03,5.283212754875421524e-03,4.618095234036445618e-03,4.322898108512163162e-03,4.930451046675443649e-03,5.078020039945840836e-03,4.123854916542768478e-03,5.176873411983251572e-03,5.403580144047737122e-03,4.019713029265403748e-03,5.616575945168733597e-03,4.135073162615299225e-03,4.602299071848392487e-03,5.133731290698051453e-03,5.501084495335817337e-03,4.549477249383926392e-03,4.666373599320650101e-03,4.704141989350318909e-03,4.633266013115644455e-03,5.059815943241119385e-03,4.511869978159666061e-03,5.095467902719974518e-03,4.782268311828374863e-03,4.526637494564056396e-03,5.128582939505577087e-03,4.010944627225399017e-03,4.114000592380762100e-03,5.128653254359960556e-03,4.720004275441169739e-03,4.275029059499502182e-03,4.786064382642507553e-03,4.537695087492465973e-03,4.433996509760618210e-03,4.973766859620809555e-03,5.280534736812114716e-03,4.899071995168924332e-03,4.559711553156375885e-03,4.551183432340621948e-03,4.592956975102424622e-03,4.454158712178468704e-03,5.317514296621084213e-03,4.309391602873802185e-03,4.093952476978302002e-03,4.762300290167331696e-03,4.800422117114067078e-03,4.642332904040813446e-03,4.569300916045904160e-03,5.165189504623413086e-03,4.584801848977804184e-03,4.190921317785978317e-03,4.488612990826368332e-03,5.122168920934200287e-03
4.609663970768451691e-03,4.616913851350545883e-03,5.236585624516010284e-03,4.643405787646770477e-03,4.137652460485696793e-03,4.952065180987119675e-03,4.821869079023599625e-03,4.055181518197059631e-03,4.140445496886968613e-03,4.808734636753797531e-03,5.327220540493726730e-03,4.521483555436134338e-03,5.049614235758781433e-03,5.355155095458030701e-03,4.394937772303819656e-03,5.079410504549741745e-03,4.366575740277767181e-03,5.489920265972614288e-03,4.932692740112543106e-03,4.622702486813068390e-03,5.450693424791097641e-03,4.823777824640274048e-03,5.321705248206853867e-03,4.495713394135236740e-03,5.212944932281970978e-03,4.464676138013601303e-03,5.514630116522312164e-03,4.917841404676437378e-03,4.551518242806196213e-03,4.901168867945671082e-03,4.767064470797777176e-03,5.364969838410615921e-03,4.807773977518081665e-03,4.744999576359987259e-03,5.321136675775051117e-03,4.646153189241886139e-03,5.119129549711942673e-03,4.749227780848741531e-03,4.779577720910310745e-03,4.911932162940502167e-03,5.058574955910444260e-03,4.867957904934883118e-03,4.245982039719820023e-03,4.788556601852178574e-03,4.613858181983232498e-03,5.235112737864255905e-03,5.493248347193002701e-03,4.814461339265108109e-03,4.807840567082166672e-03,4.736895207315683365e-03,5.268970970064401627e-03,4.882179666310548782e-03,5.028542596846818924e-03,4.209689330309629440e-03,4.085387568920850754e-03,5.032616667449474335e-03,4.105641972273588181e-03,4.803719464689493179e-03,5.151963327080011368e-03,4.877995233982801437e-03,5.291443783789873123e-03,4.753645509481430054e-03,4.882189445197582245e-03,4.836482927203178406e-03,5.195227917283773422e-03,4.786916077136993408e-03,3.785360604524612427e-03,3.936893306672573090e-03,4.865657538175582886e-03,4.376197233796119690e-03,4.903229884803295135e-03,4.836969077587127686e-03,4.621985368430614471e-03,4.210954532027244568e-03,4.584860522300004959e-03,4.433115012943744659e-03,3.738109720870852470e-03,5.017092451453208923e-03,4.626790061593055725e-03,4.844570066779851913e-03,5.097154993563890457e-03,5.314616952091455460e-03,4.683333449065685272e-03,5.391073413193225861e-03,4.563004709780216217e-03,4.936828278005123138e-03,4.624868743121623993e-03,4.265096504241228104e-03,4.496482200920581818e-03,4.795412532985210419e-03,3.739690175279974937e-03,4.838854074478149414e-03,4.635918885469436646e-03,5.003875121474266052e-03,4.439972341060638428e-03,4.585441667586565018e-03,4.865355324000120163e-03,4.847467876970767975e-03,4.973660688847303391e-03,5.108123645186424255e-03
1.309951674193143845e-02,1.378848962485790253e-02,1.363611593842506409e-02,1.227594632655382156e-02,1.361630670726299286e-02,1.246325578540563583e-02,1.388711016625165939e-02,1.381616573780775070e-02,1.362215541303157806e-02,1.400708407163619995e-02,1.276234723627567291e-02,1.231278385967016220e-02,1.319051906466484070e-02,1.206793822348117828e-02,1.339236367493867874e-02,1.240229699760675430e-02,1.486358698457479477e-02,1.370083913207054138e-02,1.349893119186162949e-02,1.385950203984975815e-02,1.355032715946435928e-02,1.368208322674036026e-02,1.355336699634790421e-02,1.365991309285163879e-02,1.364181283861398697e-02,1.281343121081590652e-02,1.352657377719879150e-02,1.315565221011638641e-02,1.333353854715824127e-02,1.310507860034704208e-02,1.364804431796073914e-02,1.377035304903984070e-02,1.136117428541183472e-02,1.384773105382919312e-02,1.383276190608739853e-02,1.256120484322309494e-02,1.330593321472406387e-02,1.343622338026762009e-02,1.242038048803806305e-02,1.330803148448467255e-02,1.460570096969604492e-02,1.255993824452161789e-02,1.251432392746210098e-02,1.426439639180898666e-02,1.294420007616281509e-02,1.276778616011142731e-02,1.357097458094358444e-02,1.287894882261753082e-02,1.343287993222475052e-02,1.286902930587530136e-02,1.323425583541393280e-02,1.192515902221202850e-02,1.229940261691808701e-02,1.271950453519821167e-02,1.298533938825130463e-02,1.343607064336538315e-02,1.147185172885656357e-02,1.356218662112951279e-02,1.340703386813402176e-02,1.236995868384838104e-02,1.322284061461687088e-02,1.376119814813137054e-02,1.222610939294099808e-02,1.307228486984968185e-02,1.360079180449247360e-02,1.168829854577779770e-02,1.380454748868942261e-02,1.358858495950698853e-02,1.359680015593767166e-02,1.364023424685001373e-02,1.307908538728952408e-02,1.331276539713144302e-02,1.387431100010871887e-02,1.406701188534498215e-02,1.301109325140714645e-02,1.470453944057226181e-02,1.392654050141572952e-02,1.310298871248960495e-02,1.330165192484855652e-02,1.364848855882883072e-02,1.490772143006324768e-02,1.051832642406225204e-02,1.375624164938926697e-02,1.291095837950706482e-02,1.303724199533462524e-02,1.438778452575206757e-02,1.315551623702049255e-02,1.370095554739236832e-02,1.154912076890468597e-02,1.340295188128948212e-02,1.368134841322898865e-02,1.244779583066701889e-02,1.351183373481035233e-02,1.330870017409324646e-02,1.223526336252689362e-02,1.315117068588733673e-02,1.276607904583215714e-02,1.394067239016294479e-02,1.318988110870122910e-02,1.172988861799240112e-02
