s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
-6.521218189825921108e-04,3.072581449053960693e-03,4.554816655547153613e-03,3.081614283142599092e-03,5.996037106558755811e-03,9.591080438916042492e-03,1.237801690721160135e-02,-1.051386928539154234e-02,2.061958542420055940e-02,-9.644454105732150470e-04,-7.805607706980122011e-03,2.636605620358212481e-03,-1.252011008305320113e-03,-8.795131910020621011e-04,-1.088668994352039393e-03,1.007296320450835978e-03,-1.273767463958468127e-02,1.433448530693410758e-02,1.398853661538343625e-02,-2.192686589256268893e-03,7.489326067350356338e-03,-8.022480765752990767e-03,1.586458487507690085e-02,1.154290470927225518e-02,3.010071812482894432e-02,4.218309675952861687e-02,5.268489306946390338e-02,5.361937519005707115e-02,5.566066350973730703e-02,6.445201974895188590e-02,3.258894900700603364e-02,2.490724488209210968e-02,-4.236342877587034178e-02,-3.083902481107329147e-02,-3.340802202886659217e-02,-3.144052199580939233e-02,-2.773723208944941024e-02,-2.641186236055126368e-02,-1.413052475516512856e-02,-2.571506512393527226e-03,-5.497112734084117457e-03,-7.193912114819176959e-03,3.178469867068101518e-03,-1.131633656860977014e-03,5.442436663033909609e-04,-3.187997357193136753e-03,8.015668183258188237e-03,-7.542100480828241305e-03,-6.682916529541251677e-03,2.225131821075451103e-03,6.906505599334611736e-03,-6.095770152289113966e-03,-5.190508436857350569e-03,-4.702640472117704316e-04,-2.021795856140480888e-04,3.222183039054270660e-03,2.731583211396739624e-03,7.905738301542723778e-03,2.159247265172338850e-02,4.495195400480593573e-03,1.281196753541985651e-02,2.309152805964004990e-02,2.577073535381409902e-02,3.837824392787552580e-02,1.754730374038632537e-02,2.561859204583608052e-02,6.451431381662078336e-03,-1.762351353498558008e-03,7.620658446501914207e-03,1.129561509845809514e-03,-3.166320715661620488e-03,-1.879623959734772311e-03,8.500712228104895544e-04,-3.012180584671299375e-03,-1.175888736353264061e-02,-1.269346313744751289e-03,1.116901628858059815e-03,-2.006284036788293004e-03,-7.611585628971262799e-03,-6.493627611349231735e-03,-2.485381417663757361e-03,-2.870651451063988349e-03,-1.182758141596376364e-02,1.201420773182019543e-02,1.276243227543510071e-02,6.480473805526382192e-03,-1.138093117079468954e-02,1.383254974655696856e-02,-2.765676508415739962e-03,-1.211332469775102706e-02,-1.091948940163989116e-03,-3.858583318604834854e-03,6.292536901971706575e-04,2.250166728120694005e-03,-2.427542130319781857e-03,9.099837317632045175e-03,-1.278170726270201098e-02,7.039908829655191873e-03,-1.714947521823167878e-03,0.000000000000000000e+00
2.893277992557263464e-03,1.811819252914175600e-03,-1.262538827905394095e-03,-5.262204855101143032e-03,-4.410259402826187912e-03,3.052921194873864982e-03,-4.490224734681160651e-03,3.613972054749922929e-03,6.435594324055465831e-03,-4.388320320010689521e-04,5.981526705047754584e-03,1.018038210045499412e-03,-8.375905150736197291e-03,-6.415304633337994174e-03,-1.188661099853426236e-03,6.060182766741745511e-03,-1.237471726971666429e-02,-1.297375385794028758e-02,-3.780899483630576451e-03,1.402541697729091721e-03,-8.277498945701485325e-03,2.980084306285751567e-03,-6.491815480411785612e-03,-3.692507769207382939e-03,-9.918830484361922106e-03,-1.155721294267786012e-02,-2.407220702600078657e-02,-2.651543626982586291e-02,-3.902095803245429068e-02,-1.945702171628185123e-02,-3.306992474339430499e-02,-2.442885649254217598e-02,-2.931375914331448354e-02,-3.508963284436604491e-02,-3.535866896889779121e-02,-2.639013063227353684e-02,-2.234222973470479517e-02,-1.863616826216965908e-02,-6.965791921939203622e-03,4.525155116528625787e-02,2.408093554732476660e-02,2.356412342455605977e-02,2.960594048534826925e-02,2.339097184560984602e-02,1.550884518570079182e-02,2.442836017436842647e-03,1.181194440433277169e-02,1.936930358566036833e-02,1.887502633954505835e-02,1.436773267696822218e-02,1.842761407374413421e-02,3.810790841806908132e-03,3.982852944209462620e-03,-2.378089415123180574e-04,3.714257092640491087e-03,-3.858633820391300668e-03,2.916934445521092607e-03,9.567238699120404408e-04,-1.319966202638345664e-03,-2.363366644579568531e-03,-1.408228069576274166e-02,-1.079511269029064142e-02,-1.196390577160688466e-02,6.349781585413681595e-03,-1.668083344714886215e-02,-1.432646807955242950e-03,-2.463928198285840823e-02,-1.218170854283613311e-02,-1.800741900765935946e-02,-1.999178395886636386e-02,-4.233936073245586455e-03,-2.760119287651920626e-03,-2.012926893312067932e-03,-4.516909485118609721e-03,-7.130477388073983187e-03,-6.497743664897520123e-03,-4.808508675124011783e-03,-1.213843878017492606e-02,-5.654308360430308246e-03,2.164110959497764566e-03,2.206280764329583699e-03,-9.747972463067177632e-04,-2.707960268476920090e-03,1.490654447972512061e-03,-1.233113972038837316e-03,9.460472559372070517e-03,7.119519820974526793e-04,-1.420989851728275515e-02,-1.134134731136568735e-04,-5.997020705757956024e-03,-4.052247381086957270e-03,-2.752353375388485839e-03,-2.240398514470815991e-03,1.635145044352427559e-04,-2.896991481461438228e-04,1.157539520874482832e-03,-1.380135223126903021e-03,9.427708409455193631e-03,-2.787464017645666960e-03,0.000000000000000000e+00
1.360609261507359207e-03,3.935472456320054414e-03,-8.548320889294174635e-03,3.815028183807288222e-03,-4.837987979670009368e-03,1.293794869108806991e-02,-1.330067214054174657e-03,8.501952123308445172e-03,-1.582772490176186618e-04,8.981520739929574207e-04,-1.961102250990595652e-03,-5.285098955129811406e-03,-3.220098219033080966e-03,2.311093970107327598e-04,1.761831414949161304e-02,9.504892820953663585e-03,1.603230711531879529e-02,-4.245967807859285341e-03,-3.401512473579569856e-03,6.320477240614521923e-03,-7.266320981620342026e-03,2.871930803816745773e-03,-8.361124370841646614e-03,-6.234494393561489968e-03,-1.556172951179028013e-02,-1.525931405650169173e-02,-2.693457660272842447e-02,-3.637431496185359464e-02,-3.038772520503780009e-02,-3.314981416660806729e-02,1.534244996474719465e-02,1.617786408271719781e-02,3.498647774405709565e-02,2.640216279969196181e-02,5.707730179261711473e-02,8.184412747515720787e-02,5.704384981710297620e-02,5.894396620315906637e-02,2.933377525392454402e-02,3.039320709379681254e-02,3.349008567176682549e-02,1.545178805088147887e-02,3.796102630897690410e-03,2.125236734018545997e-03,-6.932020830455728165e-03,-9.645554063121702937e-03,4.899476016897510132e-03,2.600750885792419646e-03,-6.090859613806879139e-03,-4.226474471369060133e-03,-6.421601651787729563e-03,-1.321209397535148995e-02,5.283447007357162765e-03,-1.440848283503928448e-03,8.080694756834996828e-03,-5.591019846140537000e-03,6.738724649196046503e-03,-1.182814374100661127e-02,-1.228528908685994243e-02,1.404912232156112391e-02,4.851905520267743924e-03,7.622919945047983148e-03,6.572197344416608189e-04,6.407138571764969294e-03,-8.339361559408522973e-03,3.712008209374245953e-03,2.309762424218004401e-02,2.269026641797370486e-02,1.273679976128869011e-02,3.791177817105967351e-02,-3.125284502515734519e-04,1.213573135910048229e-02,1.785149147243274975e-02,-9.732227868376554236e-03,-1.014004906827899654e-03,-1.316943181659045205e-02,-2.042585024963444913e-03,9.253467228237296713e-03,6.310745784022166183e-03,5.087127614909210671e-03,3.125014741790856348e-03,-2.310751982044915217e-03,-2.397519948756729621e-04,-1.795840309797201500e-03,2.792032175628288235e-03,1.261938044759705916e-03,1.376207491383109500e-02,8.785438715268299031e-03,-1.033466233507504724e-02,8.507233139488189558e-03,-2.590341451040313082e-03,3.306125696858584762e-03,-1.170310149071387799e-02,-5.716103758294757871e-04,-1.177324207021822333e-02,-6.084001124757902265e-03,2.850086064044041710e-03,-5.092555622615150754e-03,-3.539806064540178699e-03,0.000000000000000000e+00
2.816852247202404061e-04,-9.163918902295798904e-03,7.074769847629626927e-03,2.019850078050288572e-02,1.103663011316633608e-02,1.109639406460808005e-02,-1.114418333906017035e-03,-8.297534664625072498e-03,7.525336822739844876e-04,1.156830882741966514e-02,-6.586768579698758404e-03,7.194456614014889395e-03,-4.578655313339218338e-03,4.351006700104838830e-03,-9.097093535112675197e-03,1.165541719995843474e-02,-7.095754915900898650e-03,1.520017488301775776e-03,7.766334286057847286e-03,2.881732554155686746e-03,1.944575337764979303e-02,-5.016982552147298061e-03,1.277683782777365613e-02,9.314707956520651075e-03,1.625279523065891255e-02,3.534878809743011163e-02,4.509793056120332128e-02,5.130115432012109095e-02,6.883219207038294984e-02,5.653869274654879651e-02,3.566916904889172457e-02,2.020405093919117392e-02,1.446817093205221040e-02,-3.114401290076479825e-02,-2.234816033292135948e-02,-2.123760522385834473e-02,-2.434184040679808828e-02,-9.589661463481034126e-03,-1.159314826058168574e-02,-1.011147941166965110e-02,-8.199388618956126099e-03,-5.841271781486015967e-03,-4.480612464945772123e-03,-1.724464445140074529e-03,-9.373058174083850501e-04,-6.263447080505002082e-03,-1.349377354272871367e-03,-4.496866676644881156e-03,1.958448114261358407e-03,-8.721869555098675508e-03,3.780917494451069890e-03,-3.956094889098140874e-03,-1.241356850582160144e-02,1.950841701172612627e-03,-1.794514256950856300e-03,7.332249781429408912e-03,1.630357206861650669e-03,2.283066740423463255e-03,-6.922710339035071173e-03,1.590617205078910350e-03,7.450039031780930632e-03,-7.021239613442064806e-03,-2.242072017543225455e-03,-5.221162971843340724e-03,-1.330721548397590520e-02,-1.322590856967383391e-02,-1.166279932755580166e-02,-6.305040533992087130e-03,-2.267461593246708398e-03,2.915971855848487840e-03,6.026454193921251985e-03,8.184752345613686975e-03,1.550900216806213455e-02,3.735512990020457141e-02,1.916549979793768718e-02,8.269214966597628752e-03,5.567238753677540911e-03,-2.818175023290913055e-03,1.963994607751433710e-02,-6.281421136559980044e-03,-1.481519048748376061e-02,1.549882517487528172e-02,1.081669833119748483e-03,7.722414042495787632e-03,1.490738736715036547e-03,-2.246319588050139492e-03,7.272065372069004378e-03,-7.647405447762936452e-03,-5.415643535639680546e-04,1.392512815861334050e-03,-8.494813686313627821e-03,-3.529430996533351132e-03,-7.762227993540076615e-03,5.123212575826244577e-03,-5.032457135256296343e-03,-7.553643122806368883e-03,8.695787124339871693e-03,-1.161517800773720051e-03,-2.083781735277017919e-03,0.000000000000000000e+00
-8.765140937030803034e-03,-2.072563052841436878e-03,-6.307708263489515341e-03,1.070362075424130706e-02,4.523363290460185281e-04,1.549501946608925580e-03,1.596433462062032212e-04,8.473629841681620117e-03,1.363930635483745664e-02,-2.663835229932241897e-03,-6.199345778985699065e-03,-9.807065758520217350e-03,3.591553499343307521e-03,4.410774058555126144e-04,-1.205496692789691238e-02,3.272186491526781361e-03,-1.213679648694219321e-02,-5.581917596245344372e-03,2.744528219843003596e-03,-1.207743813036151045e-03,2.327427881574289925e-02,7.949987106944960205e-03,2.936383468020607387e-02,1.238602856706433678e-02,4.588874375682705509e-02,4.058290660703033070e-02,5.598352347889022640e-02,7.775805976574631795e-02,5.981359513335517131e-02,8.142008597503665179e-02,1.031101036790854630e-02,2.269747875507255319e-02,-2.907995858348184567e-02,-3.254096590146569878e-02,-2.587071249542534715e-02,-2.961119314213538078e-02,-2.476991517368326914e-02,-1.507906183879241871e-02,-1.329169217543854642e-02,-2.064786582493278316e-02,-2.664974295999134046e-02,-1.787830405508083944e-03,-2.383546607822149225e-03,-9.934951377775974590e-03,-4.129972782163264695e-03,-5.239567469947610003e-03,-1.087531088047570191e-02,-4.696376405531073502e-03,-9.549886360247772637e-04,-3.515485695041445889e-03,4.963859527308941456e-03,-3.755437113887701277e-03,3.601786622919336497e-04,1.106638197277235239e-02,1.412568530871251976e-02,2.550239538224224455e-03,2.062170927444815019e-02,1.703338588310092730e-02,2.186643365456264476e-02,1.543229862690727663e-02,2.230276452919536037e-02,2.051147648443374730e-02,1.890014354637688590e-02,3.704216907087629074e-02,2.547111037234599251e-02,3.331114596171756703e-02,6.325942378035237859e-03,4.669283628324745407e-04,-9.842052682164387917e-03,-2.339828370570610355e-02,-8.936599722718442315e-03,-2.910413027129195741e-03,2.493670763372340515e-03,-6.547638877213201106e-03,-9.525628267671370705e-03,-1.550503245294754598e-02,-5.554917823925148088e-03,-1.183199269486628902e-02,-1.485592993803631608e-03,-4.163078599993658667e-03,7.460662725078098974e-03,4.974662563604161959e-03,3.851564627663446420e-03,6.833862944419456277e-03,1.026639916605787779e-03,4.284686443057714005e-03,-1.190462705036631061e-03,1.753109319489851766e-03,-3.660414236825874738e-03,-7.564999258214315583e-03,-5.137536940503155229e-03,-6.427103438862351824e-03,4.780801865443428181e-03,4.016343855138706067e-05,2.127227824600489911e-02,8.924010180964739303e-03,8.373039209341086656e-03,-1.817064057874713534e-02,7.409821954813332161e-03,0.000000000000000000e+00
-2.462789301605769390e-03,-1.420255046307724971e-02,-3.788587372635398610e-04,-6.237392211346036615e-03,1.099842915436509590e-02,-2.414812727196684935e-03,2.530382945890871996e-04,-1.335387030912805334e-02,1.011284834752518812e-02,1.657204864486139803e-03,2.226175776590573474e-03,-1.276104920963399246e-02,7.134384309478636853e-03,7.842873612264614214e-03,4.356898573929688170e-03,-1.586610391725266607e-03,-8.154594341722743453e-04,1.185621320748256281e-03,2.813318566592857683e-03,1.636134757952007260e-02,-4.103100173981054540e-03,-4.291732337987841199e-03,-5.429130700419272388e-04,-4.231126152421595295e-03,2.196679283162570641e-03,-7.358069864562253454e-03,3.532959652196789643e-03,3.085576460533913119e-03,2.050977059457486078e-03,4.579977627544183118e-03,2.334194344440821203e-02,7.066845813540566235e-02,5.851882078563100387e-02,6.660415160246946353e-02,6.169753058012300562e-02,9.476125883910996653e-03,-3.842957651690491645e-03,2.221148336624470532e-03,1.115116296662902948e-02,8.062024352588801138e-03,7.384085911756183875e-03,1.224881345748967190e-02,5.335169806465479315e-03,-1.096416874468778696e-02,-2.602915732759110141e-04,-1.828083338443680077e-03,-1.059659360756665808e-02,-2.738511418031118732e-03,-3.487480114143687825e-03,-3.568763259638404062e-03,-1.517192939428069209e-02,-1.147506223944954121e-03,1.049208901683575503e-03,1.016934101273286352e-02,6.122377138620500522e-03,3.978552459320896205e-03,-5.271499881249660721e-03,-9.578337068381504588e-03,-8.988600104610305896e-03,-1.560457279675342250e-02,-9.481109527506973583e-03,-1.954624402393658183e-03,-1.359322214112579363e-02,-1.653354871977137739e-03,6.093209146464010663e-03,-2.978620467687656797e-03,-1.887988089291408461e-02,-1.663683369847944460e-02,4.724803670755736186e-03,1.348545360873163422e-02,1.631215012539413700e-02,9.166949746223137727e-03,9.773860282818363013e-03,1.347035108668171409e-02,1.087240651740543212e-02,1.048647963519921608e-02,1.780247078557075160e-02,1.659724707644762501e-02,7.763641914997947363e-04,4.465201424333266680e-03,1.452796754040827643e-02,-8.411618776625651855e-03,-2.692197968765834386e-03,1.719829769393726874e-03,4.885708843239766098e-03,2.609710013690071106e-03,-2.971482012283614780e-03,3.975313455644080909e-03,-2.605516371838667924e-03,-2.070747408591355147e-03,-3.702081058234369445e-03,2.793683484585961566e-03,-1.959843035428131090e-03,-1.073348748566147664e-03,8.973739335588752641e-03,1.559397942576640390e-02,7.332443170989076317e-03,-3.288905626546767980e-03,-5.350819355027476749e-03,0.000000000000000000e+00
-1.537375789336954679e-02,-1.930035348372254088e-03,-1.061609525416656527e-02,-1.815191040741198408e-05,6.047138295109699344e-03,3.687546391279691686e-03,9.117257378705882764e-03,8.334792377937881233e-03,4.779815410403055916e-03,9.099688467739213554e-03,5.830010549294906272e-04,1.541500487089789194e-03,-6.718568733031196789e-03,8.325030913772204361e-03,-3.327405791841982034e-03,1.818233160421244910e-03,-3.991991888985252021e-03,-2.211850326213359291e-03,-1.043835211668238394e-02,1.148998747082047300e-02,1.203548872411367050e-02,1.182722188991206132e-02,6.643938117040202457e-03,1.511292153642513833e-02,3.092216934544665327e-02,3.303159763548959432e-02,6.266264953697373019e-02,6.457727756390053975e-02,5.416845330920828927e-02,5.073274046224338085e-02,2.017647633485184291e-02,1.014321237969023105e-02,-3.225844090842457101e-02,-3.066799263485017746e-02,-3.242008574915131169e-02,-3.830655792138198262e-02,-3.095802923083425598e-02,-1.048042892273275128e-02,-1.512068346555955900e-02,-1.602427401916639311e-03,-7.172421347219999285e-03,1.564195502904779447e-03,-4.797612804345306216e-03,-8.437088294295876437e-03,-4.749160279688774411e-03,-9.066588642213924826e-03,-3.325589687674070788e-03,-1.316362184173330840e-03,9.519690916928585933e-03,-5.502050621583549038e-03,-7.200606529457222443e-04,-3.303712779273779501e-03,-5.363013230983588835e-03,9.334501684545215908e-03,1.012114547830451905e-02,1.015115528769015667e-02,1.610718884754677727e-02,8.157539746033528466e-03,8.553338514666239054e-03,1.596642255042545269e-02,1.786627088010087419e-02,1.684179594233888716e-02,1.461737361050765259e-02,2.870694776726120945e-02,9.416322066593433432e-03,3.038744772069310041e-02,3.940871651979738731e-03,-5.884200711895029058e-03,-1.348237718417331227e-02,-9.052770304859084072e-03,-2.055159439129977672e-02,-3.752773735711080211e-03,-1.046234090496963622e-02,1.238852015806422933e-03,-1.095455735738603241e-02,-1.208244660282446238e-02,-1.864084802863017615e-03,-5.550356110451305650e-04,-5.394620249343083651e-03,-1.024787261067486646e-02,6.966832310901159044e-03,5.396649710429378410e-03,2.520430238762891122e-03,3.452045830239208594e-04,-7.423930809939926351e-03,1.549213891768734617e-03,-1.344225287667101185e-02,1.455383965946636243e-02,-7.039969947662212679e-03,9.152697376629837997e-03,8.644871896667885927e-03,6.342510572672800662e-03,-7.501813424192844450e-03,5.492224709328145243e-03,-1.394062350338633703e-02,-9.184457880232810290e-03,2.970232960492085773e-03,7.876989038055578693e-03,-3.317415171930357203e-04,0.000000000000000000e+00
2.918087206232685641e-03,1.141752818735341027e-03,1.096300372542623408e-03,-2.070020267862735571e-03,-8.591997786894790519e-04,9.878960980196408413e-04,-3.920116326032871754e-05,-2.078986144236172166e-03,-4.212873870352936215e-03,-9.597457691058717405e-03,2.027666832718997940e-03,-1.674753755019074350e-02,7.067581927527917182e-03,3.557441074212099302e-03,5.134997870876415772e-03,-8.539856444758041343e-03,6.161900088956400942e-03,6.409579451199709857e-03,-9.112976367535746691e-03,3.904551647847125800e-03,-1.079124252105314631e-02,-5.122922328242772395e-04,-7.403026035830667477e-03,-5.963878218386419773e-03,-6.507187068620992783e-03,-2.450354314712595294e-02,-2.389350672660820255e-02,-1.328581174736665968e-02,-1.674101080878828349e-02,-2.241585746173002311e-02,2.199086103932828065e-02,3.161631149105814664e-02,1.486746160438644042e-02,3.421682865361950349e-02,4.052312089152453750e-02,5.996098422918870463e-02,4.808457551321580065e-02,4.506076190759112504e-02,5.371985743886252551e-02,2.743411971938028437e-02,3.353396457208183967e-02,9.241672843962418435e-03,2.506002203440510154e-02,1.859760928941714755e-02,1.413053750807982158e-02,1.478482858678132998e-02,6.070865390766567483e-03,7.943825991592065247e-03,1.721822087281592566e-03,-1.564084868978780907e-02,5.269250184295272465e-04,-7.088345912417659891e-03,-1.345419329767295544e-02,-8.420939495356414423e-03,1.866955729132133797e-03,7.269386417344473293e-03,-2.360902035191348759e-03,-1.917763632224169998e-03,-8.758567011041818590e-03,-1.467726644701783205e-03,-4.223220621656252269e-03,-1.118784249180694926e-02,-9.527240762378808708e-03,-3.139332605982957276e-03,-1.494704346718734277e-02,-1.371164878108924005e-02,-1.553651231971287308e-02,-1.320763086027256818e-02,6.415580966995396671e-03,-4.685639747974458535e-03,2.193128844410104257e-03,1.543733397359650997e-02,3.587476535684636981e-04,4.568463592047480523e-03,2.003814391456747168e-02,-3.697245012936657433e-03,1.466384055779302968e-02,8.532930385354471625e-03,7.709989676955992556e-03,1.080850418883188765e-02,1.087672429644664495e-03,-3.092180741457171630e-03,-4.150232355427989350e-03,2.023377752305804706e-03,-6.744953389454725994e-03,2.038056386515335041e-04,-1.202122466394311973e-03,2.881516635506892101e-03,4.095368074960430496e-03,3.704046174449752288e-03,-5.931752702699780513e-03,5.010154140851988229e-03,6.007421913237311929e-03,1.285974367804999623e-03,1.230099869368798862e-03,6.451593242937817690e-03,1.883503215379717663e-03,2.995766950387287065e-03,1.204121162653950562e-02,0.000000000000000000e+00
5.019087007199524164e-03,3.360751859292371128e-03,3.240929437798959010e-03,-3.939340423767697524e-03,2.536151765745834740e-03,7.248694475586481625e-03,5.123382812408072131e-04,5.993105206286064763e-05,1.264081872847610177e-03,-6.005775036553097877e-03,1.678784124756989250e-03,-1.457768551642900368e-02,2.525649220361168151e-03,-1.893150514163416615e-03,-1.347718776545134972e-03,4.251662333685652696e-03,1.239064138889406537e-02,5.328458806145564691e-03,-2.594913245440146846e-03,-1.792377976497939963e-03,-3.968766052491490628e-03,-3.508271897586742651e-03,-3.243878347999923535e-03,1.093517778795804985e-03,-3.734594560564407761e-03,-1.406191557661121659e-02,-1.695796767611257652e-02,-1.197998661880689264e-02,1.362282576820106686e-03,7.983509221744596387e-03,3.167091996487824551e-02,7.504455405384564959e-02,7.643947917280331794e-02,6.322431521731977644e-02,6.230797758403779779e-02,6.214529557536913442e-04,4.500150928152086074e-03,8.146949530833060352e-03,-8.494588272870173470e-03,8.436204213273670524e-03,-8.135256472326584526e-03,3.457065193900498573e-03,1.664234170012289732e-03,3.035324747299584028e-03,-3.348043400691171415e-03,-9.520004066750193360e-04,-1.306232789096215159e-02,-8.131252067881901760e-03,-1.754633631141334568e-02,-1.230980705173234310e-02,-7.743473835521596203e-03,-3.175569839971548528e-03,1.010949203920552672e-03,4.755080717454189011e-03,-5.572083703680646765e-04,-6.255014668510388252e-03,3.230721281908700143e-03,7.388780051051305718e-03,4.850392835814101335e-03,-1.603699273230517128e-02,-7.428869256462604029e-03,-1.391080532505362989e-02,-5.697176953319554350e-03,5.317716401684337811e-03,4.808010432585670124e-03,-1.549060859176770418e-03,2.462616709972081236e-02,1.061945044102397635e-03,2.678545850508671014e-02,7.103294994011433508e-03,2.385634515911477446e-02,7.819090428711794258e-03,-3.875545067092301104e-03,-3.710426044602019302e-03,-1.139694261094311399e-02,2.625651820854776951e-04,-3.958184318633915268e-03,2.626266998750900815e-04,-7.584501070351344978e-03,4.865243113820491225e-03,-5.654628341746819947e-04,3.013509784647573197e-03,1.079080520699594870e-02,4.733359912399641434e-03,1.881658433179696135e-03,4.856598988777246335e-04,6.799075486290239757e-03,4.915161661585803858e-03,1.630284746878956541e-03,3.308471593582440473e-04,-8.864419596059162215e-03,-5.015311696909951350e-03,-6.454615627880142328e-03,4.471061000216128571e-04,4.840510313872832364e-03,4.621300792587318754e-03,5.476380314631666517e-03,8.307763827513771175e-04,1.027278246113102729e-03,0.000000000000000000e+00
1.383189983171107407e-03,9.027431897010449249e-04,-5.152631424118361489e-03,9.864964229534254822e-03,-5.386582657879534705e-03,-7.479657768817209347e-03,-3.682777209781517848e-05,-6.483356513196178060e-04,-9.339886229395063643e-04,-1.034384973293255537e-02,1.469455640407929878e-02,3.943623557980138923e-03,6.180742448411849672e-03,1.068014061433269525e-02,-7.728905219157949057e-03,-1.791031670976453872e-03,3.758985828741276403e-03,8.567260288640172680e-03,-9.392074415754361749e-03,-4.421246551296604058e-03,-4.345103776913356031e-03,1.778796821727878646e-02,8.791479827701113858e-03,2.784497793623353507e-02,2.906377553350115994e-02,4.921206109118461680e-02,4.446268531879355584e-02,7.239355870346117494e-02,1.991785692353661291e-02,1.044867933555865616e-02,-3.949269257177625420e-02,-1.861085586708432008e-02,-2.690008883826700697e-02,-3.029509573617350862e-02,-2.710425221712545185e-02,-3.184127385881715261e-02,-2.234547925640236604e-02,-2.443055797515110081e-02,-2.707529965295106533e-02,-1.321316347033898476e-02,-1.155908901244708138e-02,-3.301319576622370119e-03,-1.329047672160910305e-02,-1.753219434185179001e-03,-8.451074618482440001e-03,-2.206629611822093738e-03,2.959070659556945360e-03,-1.727935967120858545e-03,-9.811675046126783553e-03,-2.390315915210719337e-03,-5.221859093479004621e-03,-9.538321278756322491e-03,-9.180973499771633408e-04,9.909811816863510134e-04,5.177028666624191797e-03,-4.369309987166449319e-03,-1.216534714547003529e-02,6.060069618250933481e-03,-2.176422171225175436e-03,-1.593578104547519608e-02,-1.404263217533924593e-02,-1.043703038164128793e-02,-1.121339040642821243e-02,-1.473592569076429340e-02,-7.738654012592053461e-03,-7.735013399838065219e-03,-2.694244051455734965e-02,-1.322416270868015213e-02,-6.439234923478951572e-03,-1.200227194496266379e-02,-5.561855691271707508e-03,-1.016621330454609701e-02,-8.491940288062303083e-03,-1.803371381988308833e-02,-7.490762343617113697e-03,-1.753395828970893966e-02,-1.788465527088877599e-02,1.361063222375543140e-03,-1.802045727923451499e-03,2.141399829347784452e-03,-1.013408801241472319e-02,3.132554073948574762e-03,-7.545279526434154303e-03,-6.771003999799535093e-03,1.174765550053978418e-02,1.929866064687671802e-03,6.477735690952063884e-03,-2.859765826467584697e-03,-1.742886752202744017e-03,1.953227496102978231e-03,2.948312807776545981e-03,1.855194485885749501e-03,-2.639019231141711934e-03,2.949714676838973738e-03,-1.616314189477978001e-03,-4.157427478326667335e-03,-1.966245686055117809e-03,1.111899009265119274e-02,5.800060549917318391e-03,0.000000000000000000e+00
