s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
1.899598048772116811e-12,8.029207332731454374e-12,3.854987771242226159e-12,1.294441916526233796e-11,7.299448370302897536e-12,8.118251781645549534e-12,-4.850709387270959431e-11,-2.956559560746304660e-10,-1.207087638997781816e-09,-7.035862439367119411e-09,-2.620226847456419934e-08,-1.018930560010305902e-07,-4.160543818342063606e-07,-1.568594289277382366e-06,-5.461927508966812306e-06,-1.748064871029143255e-05,-5.152130078986052471e-05,-1.404087365960455668e-04,-3.553334233320862312e-04,-8.379022133761801841e-04,-1.843674702702802204e-03,-3.778321808289428294e-03,-7.167323676643416394e-03,-1.245634357106998810e-02,-1.959016724825509218e-02,-2.757089222222689623e-02,-3.445939503269037502e-02,-3.808178679642983816e-02,-3.706430022952220821e-02,-3.145176192523169850e-02,-2.249595571204704089e-02,-1.189950050432591125e-02,-1.154730865264875237e-03,8.637203607643233888e-03,1.657035385374681924e-02,2.176612648617589837e-02,2.355851746065178165e-02,2.194635396851404158e-02,1.372715971801492449e-02,1.077718660164740834e-02,6.756181230648271308e-03,4.309431039746122911e-03,2.368286333710005638e-03,1.250108354896347545e-03,6.108711212871683780e-04,6.881947227450526262e-05,3.704164230388617117e-05,1.879350934433955407e-05,1.770691877452884201e-05,1.735495259585031854e-05,1.736849871449189407e-05,1.716976410151568343e-05,1.524554986991810106e-05,6.369006080634735529e-06,-2.476479718762756470e-05,-1.174171111877152755e-04,-3.621739454577711315e-04,-9.487931004913272492e-04,-2.229094313940340345e-03,-4.727907378758211369e-03,-8.907590512891212092e-03,-1.452571897013956240e-02,-2.005865108399601873e-02,-2.320571141599248391e-02,-2.230436771389205514e-02,-1.720939721015128654e-02,-9.160032187447327001e-03,-1.255456459050118402e-04,7.928490401834423218e-03,1.357249138785099861e-02,1.619917596160834472e-02,1.604874996010318203e-02,1.395108001236572241e-02,1.092355258178095284e-02,7.826519166034572039e-03,5.188789220993965390e-03,3.209092266659227446e-03,1.861882025286828220e-03,1.017115607578232377e-03,5.243796176385670830e-04,2.554924197143601766e-04,1.177283869941924240e-04,5.132151457208217464e-05,2.116958640265726384e-05,8.264367969355988655e-06,3.054357076526801205e-06,1.069039751134747635e-06,3.544457618323733774e-07,1.395909968709736954e-06,4.783736069318668102e-07,1.514859845292762188e-07,4.433101967152306635e-08,1.220327519849265709e-08,1.358794239903925832e-08,3.073667610475666178e-09,6.445270053472828291e-10,1.186787405484829338e-10,2.292971019098109081e-11,4.542753459136248819e-12,0.000000000000000000e+00
7.741279977967155921e-13,3.314620063801088362e-12,1.003220974169728848e-11,3.657339285765630131e-11,1.006511344949963086e-10,2.667894703271608744e-10,1.171413122238424022e-11,3.563666115851148090e-11,1.121480551413724467e-10,3.671493604704287932e-10,1.254085378508112406e-09,4.984548633968925919e-09,1.714165531657413840e-08,5.638830400195612933e-08,1.757336986375233647e-07,5.162929538575125360e-07,1.428615134382506971e-06,3.727030144413905332e-06,9.179533118154813924e-06,2.134959908820467173e-05,4.679999901373924347e-05,9.630595223148622830e-05,1.852832159153127909e-04,3.330825259730014879e-04,5.622498749636770489e-04,8.981224864323532776e-04,1.369537918605113732e-03,2.025016622001529418e-03,2.977588598102419350e-03,4.432916055073247465e-03,6.609301443275237414e-03,9.521831990148756086e-03,1.276662117784255722e-02,1.555177005952705638e-02,1.702563943080387734e-02,1.665214316542257961e-02,1.440773651216884291e-02,1.075682785486279172e-02,6.457987726924846808e-03,3.244523203476698894e-05,-2.228390858447699876e-03,-4.029270426634964063e-03,-5.370501453482843038e-03,-6.216412535236895756e-03,-6.519949279014765862e-03,-6.272643247909608262e-03,-5.554328280036785297e-03,-4.547608181877120861e-03,-3.434510735865255442e-03,-2.409076487149704269e-03,-1.574604668775004190e-03,-9.625973815346522194e-04,-5.501800828380288026e-04,-2.870455519714745904e-04,-1.165764090140739288e-04,1.589981212634355566e-05,1.661129067606991036e-04,3.991501726006707607e-04,7.924011749001084797e-04,1.413379366551467762e-03,2.255909339438930475e-03,3.177659461068551173e-03,3.955043899338640985e-03,4.443108190035923062e-03,4.622614324903219496e-03,4.540554820914784531e-03,4.317811282025266380e-03,4.134965957617924188e-03,4.143300123964933739e-03,4.366122537190143121e-03,4.660151920381789409e-03,4.806749357846537042e-03,4.649638165632035205e-03,4.155735834787514967e-03,3.409387603774797354e-03,2.563041989712886576e-03,1.766615677794513249e-03,1.119414908368519292e-03,6.558725629119469252e-04,3.582412625948919313e-04,1.838761976277655786e-04,8.918182971294766543e-05,4.096617253127927570e-05,1.781344504386210464e-05,7.315494605234054160e-06,2.828743396329181138e-06,1.026814954281085017e-06,3.490075788706032027e-07,1.113047514737557842e-07,3.339132427939577152e-08,9.316127730118956208e-09,2.444771568712931152e-09,6.273140695851599403e-10,2.766483508760218251e-09,6.265076667036630308e-10,1.296252285462195481e-10,2.440664878667077013e-11,5.320340196199522756e-12,1.534152871477315172e-12,0.000000000000000000e+00
7.785806729325334339e-13,3.344886169745849028e-12,1.034057287360753219e-11,3.730488048262195594e-11,1.221765685138194656e-10,3.741378936711431280e-10,1.098984315454961283e-09,3.294511006790361981e-09,1.051612950538674036e-08,3.524552262255020754e-08,1.020905904824968525e-07,3.434303608438846129e-07,1.145029791886465732e-06,3.629058156261887288e-06,1.073005927711402033e-05,2.943294016549351759e-05,7.492692915162867757e-05,1.774058540331544984e-04,3.913658263654608326e-04,8.042167166899264396e-04,1.534471556747843933e-03,2.702740117604495070e-03,4.366586161641555601e-03,6.452586214505858994e-03,8.770372405639111080e-03,1.116162626099431732e-02,1.368259571644477382e-02,1.656069766514275260e-02,1.969158841715099029e-02,2.187155194384578227e-02,2.072026414428355251e-02,1.407142326289110082e-02,1.765449944086471858e-03,-1.384378938346570408e-02,-2.880113136922743053e-02,-3.918318745116969315e-02,-4.263460888103930840e-02,-3.920596099287611963e-02,-3.121202549259367506e-02,-2.151775634560471398e-02,-1.287489241001731587e-02,-6.583220961343924475e-03,-2.723104252713118290e-03,3.978913643111878576e-03,2.423267904354116549e-03,1.436302936249569387e-03,8.257883393774552178e-04,4.631645698246832196e-04,2.570710065335319542e-04,1.448147857918573094e-04,8.642196243524009707e-05,5.835605291894803388e-05,4.834113390336962422e-05,5.229990901986772878e-05,7.277125290710300027e-05,1.169462639280335908e-04,1.916983787071692685e-04,2.912729398186566262e-04,3.704007921057679716e-04,2.923822289835547672e-04,-2.554961647449036674e-04,-1.859245169190153245e-03,-5.391817496164570504e-03,-1.174555669277066450e-02,-2.113824865964732125e-02,-3.230169868867012462e-02,-4.242114840564657763e-02,-4.831574097772797088e-02,-4.804902348912534760e-02,-4.174552351183336008e-02,-3.128525255083604295e-02,-1.936573543803349687e-02,-8.524630990225514487e-03,-4.373514884931942398e-04,4.349081756774928614e-03,6.234850550397782153e-03,6.130902298864342702e-03,5.010502137002366060e-03,3.616985511474510393e-03,2.374159502227052732e-03,1.440700271495576291e-03,8.163062373861303253e-04,4.342430035380960411e-04,2.173703953491007749e-04,1.023916417708668937e-04,4.532326118712350348e-05,1.881251349253786349e-05,7.304650186781752176e-06,2.646878527800349307e-06,8.935687369105927058e-07,2.799883279184092644e-07,8.171779446023705730e-08,2.190001354940379576e-08,5.404416944936909875e-09,1.220797503140976418e-09,2.510326346811244722e-10,4.688108059286595571e-11,1.076629046707140318e-11,1.779103822391155297e-12,0.000000000000000000e+00
9.615327414377729178e-13,3.802863437094937348e-12,1.154932346562337733e-11,5.457062293343883405e-11,2.685601303054631034e-11,6.829780837661075818e-11,2.151407562973468118e-10,6.903532631974236904e-10,2.278705073663869182e-09,7.142733482871720034e-09,2.004234454666258254e-08,4.328120252984310380e-08,2.287508906335756809e-08,-3.206292079476779994e-07,-2.237933529302412963e-06,-1.011700641079037072e-05,-3.734924611562660140e-05,-1.203912441392016323e-04,-3.492955702095982976e-04,-9.279250640115586576e-04,-2.279190136927588574e-03,-5.192027068702955751e-03,-1.092616193399201067e-02,-2.102867510881390248e-02,-3.651594901293601925e-02,-5.641544587629741814e-02,-7.669317920355289697e-02,-9.124147451109149154e-02,-9.484909602316581034e-02,-8.568766231575479508e-02,-6.567200028823731717e-02,-3.917229990586212213e-02,-1.114157144510662979e-02,1.432538092774229659e-02,3.447486054803985261e-02,4.776149524520180434e-02,5.366642775287731176e-02,5.268690303542869491e-02,4.629104992691475406e-02,3.687151877842306802e-02,2.664763070517517374e-02,1.470084298057421600e-02,7.320824868233781826e-03,4.593518231255869916e-03,2.731329808561451088e-03,1.559036777670361022e-03,8.794757146905581502e-04,5.184797012298941049e-04,3.504430280761083654e-04,2.839935435697648995e-04,2.622053870313098881e-04,2.512855603960070685e-04,2.344694801024976415e-04,2.085466523861658600e-04,1.813250646368491528e-04,1.708340884585652047e-04,2.094200892938691304e-04,3.566367156583723718e-04,7.238788675143104524e-04,1.509741833811806050e-03,3.033352050852453768e-03,5.727112929131209819e-03,1.001450480654957932e-02,1.599697487350968186e-02,2.299692656347281094e-02,2.927243842546322153e-02,3.236060684088992029e-02,3.008541663767573537e-02,2.157069394579363628e-02,7.659096851786150947e-03,-9.171895591992244509e-03,-2.535528647805470465e-02,-3.747547794075500177e-02,-4.351091335247504049e-02,-4.321629959181090552e-02,-3.788548028608793028e-02,-2.973774098207792801e-02,-2.107971936147594663e-02,-1.360825369506857285e-02,-8.086529476794297039e-03,-4.473366444089185018e-03,-2.323588779990078731e-03,-1.138155842147736165e-03,-5.258972917227338565e-04,-2.286848206099914658e-04,-9.324366612086281618e-05,-3.550581096961000780e-05,-1.257721747928665461e-05,-4.123424040864553133e-06,-1.250077437378966671e-06,-3.485758679528770772e-07,-8.893157764342507919e-08,-2.066932007546052159e-08,-4.343319260181851793e-09,1.397810998217828062e-09,3.189383456906511505e-10,6.436793512122860175e-11,1.180643943158296140e-11,3.568658803105892732e-12,0.000000000000000000e+00
1.711578606881648996e-12,3.272439545558113904e-12,1.021679725168488196e-11,5.380925578249739428e-12,-1.173181621058634090e-11,-5.652953853055492032e-11,-2.263497528682954291e-10,-8.524035407305914816e-10,-3.011417916029345049e-09,-1.123081864019537266e-08,-5.918125907064709285e-08,-2.755398668293877501e-07,-1.057743295145381859e-06,-3.849427029875535231e-06,-1.303528059417595591e-05,-4.082996957307597212e-05,-1.183176484319469569e-04,-3.180378348847793840e-04,-7.956044818136019225e-04,-1.857222018325311056e-03,-4.047870741989084177e-03,-8.209887746271227887e-03,-1.536023044298163130e-02,-2.614270433680614819e-02,-3.983248404272062004e-02,-5.364464197088084085e-02,-6.352511498609594853e-02,-6.622196570601329713e-02,-6.079850245017556776e-02,-4.872655655742377800e-02,-3.303632915144673332e-02,-1.688335802793894044e-02,-2.392362961440505208e-03,9.554146174466388725e-03,1.880567349174694716e-02,2.526750632084806200e-02,2.866583125271778693e-02,2.888486000045879104e-02,2.693023527087344896e-02,2.249130753485579018e-02,1.791149563827907146e-02,1.344312895335848974e-02,9.904738065458114360e-03,8.263405391459886784e-03,6.140305459186370766e-03,4.938052317036112707e-03,3.664374124946959653e-03,2.542208198721208554e-03,1.660406930080603151e-03,1.048947720249451820e-03,6.604779418743197744e-04,4.177888175508028185e-04,2.282275663980971880e-04,-2.279970864125083262e-05,-4.944527965927278043e-04,-1.424780870349403499e-03,-3.165140023342974569e-03,-6.178479971831888143e-03,-1.090812370754173748e-02,-1.740071276972134789e-02,-2.478365165958237512e-02,-3.113896518918362125e-02,-3.421916728980106681e-02,-3.255059740509169686e-02,-2.614366790408468796e-02,-1.647961891444587462e-02,-5.848519481081885206e-03,3.536858804986978046e-03,1.022377876362200698e-02,1.374963022466176021e-02,1.447229906865444594e-02,1.321647178542194843e-02,1.090785764696307336e-02,8.318672516003398909e-03,5.951824307547560859e-03,4.038000125981733648e-03,2.613181369228174088e-03,1.615849468072503865e-03,9.541317997050644201e-04,5.375087110858926603e-04,2.887791738039325305e-04,1.479667366890677392e-04,7.229499231191221511e-05,3.365139795087467988e-05,1.489500333252364628e-05,6.252524691694283000e-06,2.481221359379256182e-06,9.277290926995401571e-07,-5.476072447721421000e-06,-1.738348297577396223e-06,-5.064702716309243346e-07,-1.372920798959618367e-07,-1.762586246332504766e-08,-3.655181775857493818e-09,-6.849360591722197226e-10,-9.505439834650247197e-11,-1.258223163630493518e-11,-2.092150576826884731e-13,2.932139726646489183e-12,0.000000000000000000e+00
1.001019410593627149e-12,4.351653894479078898e-12,1.080613263227338178e-11,-2.313005485076826939e-11,-8.856299469928703730e-11,-2.870003484285518950e-10,-7.522164684117309251e-10,3.703618105228767875e-10,8.436303480604229906e-10,2.011446317089639733e-09,5.816140382624870084e-09,2.065862191739748447e-08,9.916208535769557033e-08,3.075388176497735948e-07,8.894063902498148998e-07,2.374963273741563998e-06,5.813706688673186675e-06,1.291559773550876991e-05,2.550790257293014359e-05,4.258577560874660724e-05,5.096978542885989636e-05,2.100415192014195306e-06,-2.359701412275117059e-04,-9.638558958372410923e-04,-2.783189659075440640e-03,-6.762205552953540026e-03,-1.452658831050107451e-02,-2.796325285358060644e-02,-4.805564465051149342e-02,-7.286391761606543505e-02,-9.630036084974934185e-02,-1.100407166992918157e-01,-1.078287755874193371e-01,-8.862534657388029813e-02,-5.689389937369335182e-02,-2.042839168596126756e-02,1.287196657755346890e-02,3.751674675413648602e-02,5.134912785632449878e-02,4.430827998740625301e-02,4.580127053460719688e-02,4.205229523300951788e-02,3.501704629166921268e-02,2.678300297676106459e-02,1.895901362718193164e-02,1.250086481991402425e-02,7.725760775088681524e-03,4.527664012793449280e-03,2.504991820991525446e-03,1.332938010150935522e-03,6.943943482558804928e-04,3.680181203897224008e-04,2.173576948725736515e-04,1.712174282957833443e-04,2.093983121119263272e-04,3.600390263289303416e-04,7.095559248116817220e-04,1.421005347336624447e-03,2.743210355400671398e-03,4.965881986662324873e-03,8.252475739889287426e-03,1.233533675723462106e-02,1.625795450358698269e-02,1.851550029645704018e-02,1.766394841798762591e-02,1.289925663742261079e-02,4.113213414207762819e-03,-8.370410298222746848e-03,-2.372062475300902584e-02,-4.005334693598955331e-02,-5.434111125820192956e-02,-6.348957065461117988e-02,-6.569980971617467302e-02,-6.106396431071039327e-02,-5.137537060617687612e-02,-3.933316633173169347e-02,-2.752587494676942206e-02,-1.770483225969229565e-02,-1.054446388055983730e-02,-5.860258809342025824e-03,-3.056437213101704641e-03,-1.499239596353216892e-03,-6.910065302381233508e-04,-2.983795060878805167e-04,-1.202323743055797056e-04,-4.501639434505942525e-05,-1.559081402646861900e-05,-4.970511873441476400e-06,-1.449897950055332276e-06,-3.734806418721773609e-07,-8.061795172828506433e-08,-1.608073645119821055e-08,-2.568702494177713485e-09,-2.480764574047945341e-10,2.453322809629379846e-11,3.994480110727197966e-10,7.691991756743137442e-11,2.563773284907392575e-12,2.180903442087066364e-12,0.000000000000000000e+00
2.152747363635523679e-12,9.363784498463369118e-12,2.301170962440248205e-11,6.449073368425437986e-11,2.025601393019121403e-10,6.117664171921506351e-10,1.794475491159977666e-09,5.065291716973742565e-09,1.460508201286921848e-08,4.371094063833072013e-08,1.372001928071810721e-07,4.299020424963992654e-07,-1.697459145697957507e-07,-8.374041798465877649e-07,-3.423063342404505349e-06,-1.218550684037684060e-05,-3.877820422688932686e-05,-1.121302685222413877e-04,-2.979730000971990921e-04,-7.335749389160774485e-04,-1.680586086702787500e-03,-3.579985593194680380e-03,-7.035703053437722919e-03,-1.257508873789566287e-02,-2.010871839706687703e-02,-2.841765529147226299e-02,-3.529180415205560029e-02,-3.845820150319099323e-02,-3.668941332231439451e-02,-3.031293218267492803e-02,-2.084060207039272958e-02,-1.013916816433954940e-02,2.523073411299488959e-04,9.345612891144513754e-03,1.653455182516705077e-02,2.135238710948931043e-02,2.343759268686582131e-02,2.273647062231514901e-02,1.955944026751236381e-02,1.511951963750312461e-02,1.069824410317019719e-02,6.869124136600227547e-03,3.226641529095300269e-03,1.713499088590840014e-03,8.712289445628857397e-04,2.477718745056813401e-04,1.355520106475421394e-04,8.955037390842125538e-05,6.305038495931866867e-05,9.070733228116847934e-05,1.262248464539209828e-04,1.633910598441348100e-04,1.842045145584327959e-04,1.479672693472525516e-04,-2.433570504881185767e-05,-4.691808940264666043e-04,-1.397427772619981579e-03,-3.090864824350831978e-03,-5.834629040290124566e-03,-9.723344377965516608e-03,-1.434831356580175583e-02,-1.859494156026547315e-02,-2.093584535035418123e-02,-2.024461744443884284e-02,-1.647465536553587018e-02,-1.058559040213094028e-02,-3.951372128231961378e-03,2.170421827482183104e-03,6.913879377295551951e-03,9.867530475853439342e-03,1.102980370144338203e-02,1.072150559803157488e-02,9.435070065851839868e-03,7.668518953629326583e-03,5.820208483475500412e-03,4.151135461944400508e-03,2.792637400837471445e-03,1.776571816239805356e-03,1.070916713121659479e-03,6.126391001701293531e-04,3.328695903907303503e-04,1.717464337914984549e-04,8.404838349374464614e-05,3.893180583113936251e-05,1.702397930328637842e-05,7.006900999867694318e-06,2.706565445061863014e-06,9.784004658934439129e-07,-6.324421914773265950e-07,-1.822014335125487293e-07,-4.835154343601583280e-08,-1.180828369578930330e-08,1.307882000536782121e-08,3.846357591642439235e-09,9.040201277907388335e-10,1.918269534265665894e-10,3.719958914437591676e-11,4.584441027935822309e-12,2.617208092910207935e-12,0.000000000000000000e+00
2.279041254428974876e-12,6.701449968572653433e-12,1.433059021357594705e-11,5.283285872128983806e-11,1.712320439046330840e-10,5.175203390030787746e-10,1.450314441153214118e-09,3.988353043241801969e-09,1.158609308381254547e-08,3.681468521258947850e-08,1.075772067269480843e-07,3.821440553417735573e-07,1.357011192906241433e-06,4.555645623765753424e-06,1.414273020556336787e-05,4.042957727436461752e-05,1.066702446525099278e-04,2.607710360940388101e-04,5.926646575646084660e-04,1.254286501497922039e-03,2.469631076311647015e-03,4.507768395748307060e-03,7.586450749012847196e-03,1.170996238354791823e-02,1.652957724846818022e-02,2.136088308918238435e-02,2.537043102721467380e-02,2.770945813601636068e-02,2.734943164869212823e-02,2.282058665977269515e-02,1.255192837027946373e-02,-3.914109113809342844e-03,-2.464999548134748711e-02,-4.514306861583086000e-02,-5.979777660985334531e-02,-6.455017442102600755e-02,-5.882922698358836883e-02,-4.561713468349672812e-02,-4.022205284313496582e-02,-2.312006379780408988e-02,-1.017979072913356188e-02,-2.130641178578310951e-03,1.731311404080702627e-03,2.856861560452203345e-03,2.630088669181367914e-03,1.983947378878661311e-03,1.377614134469455414e-03,1.169444805037960508e-03,8.183392577436916912e-04,7.005976396459605076e-04,7.251972102374752314e-04,8.297837450603636183e-04,9.671504042960768228e-04,1.104914896609658073e-03,1.236242293364254140e-03,1.394585866818815129e-03,1.666307132479872893e-03,2.198049387186511248e-03,3.195234066559417621e-03,4.902052776198692619e-03,7.544593890339746853e-03,1.121712448580369607e-02,1.570820773007848559e-02,2.030656277195481627e-02,2.370337615750794935e-02,2.417561875951678915e-02,2.016140834441777774e-02,1.105969126055805600e-02,-2.188888320676861746e-03,-1.716413140332547285e-02,-3.076026638120315723e-02,-4.031074819240937357e-02,-4.437722260101044369e-02,-4.294632086185815739e-02,-3.723125983880265499e-02,-2.917600850673375198e-02,-2.079098267677619710e-02,-1.356662771939635102e-02,-8.180481461322637940e-03,-4.601480906658164151e-03,-2.431788279928072741e-03,-1.211783921220100117e-03,-5.695986209207363126e-04,-2.521149591258639686e-04,-1.047836680330225249e-04,-4.076748066585700190e-05,-1.480432820333824630e-05,-5.004738443752479007e-06,-1.568807039064902983e-06,-4.561568378876867078e-07,-1.226329033006843639e-07,-2.171601088371125454e-08,-4.891822204293853663e-09,1.342507398164303773e-09,5.780460384364376913e-10,1.348555799502766689e-10,2.585526754563126352e-11,1.403376072614618898e-11,3.818610155409920451e-12,0.000000000000000000e+00
1.128011821162276527e-14,4.713557204855365398e-14,-4.569149635577214593e-12,-1.755219596737704797e-11,-6.815293110064117555e-11,-2.358556663489072827e-10,-7.303475825931741417e-10,5.295531579237991935e-09,1.774389474294750968e-08,6.242418752830087512e-08,2.313635843938205633e-07,8.770707897117906457e-07,3.268233393079317657e-06,1.161510344328543641e-05,3.872898773718369645e-05,1.203352436018941961e-04,3.478917538367738943e-04,9.367681189929919329e-04,2.353749554127768009e-03,5.526163639356342777e-03,1.211594628107188695e-02,2.469527948261767900e-02,4.631344716056240429e-02,7.854647968265551783e-02,1.177082192466775562e-01,1.519791276992394080e-01,1.651700260380185858e-01,1.471304454377452275e-01,9.999046666382170601e-02,3.461620593264657514e-02,-3.475976575594737217e-02,-9.387766641166418735e-02,-1.317923438698604954e-01,-1.437474755871590570e-01,-1.326303443317824182e-01,-1.072969774262199916e-01,-7.788722121815334909e-02,-5.164483576664530978e-02,-3.170990818789031634e-02,-1.819250116540824941e-02,-9.796568312188705732e-03,-4.949365526657763248e-03,-2.330913217201723182e-03,-1.004936503798385932e-03,1.752286063197742375e-04,1.215144945305777048e-04,9.449514173864890316e-05,7.900875086343617877e-05,6.800480342353284308e-05,5.955669409221813930e-05,5.432664404440219513e-05,5.417994662844724399e-05,6.074383283115570117e-05,7.360153708620705384e-05,8.697180031852567560e-05,8.371741818558920984e-05,2.483223760842353603e-05,-1.681451123099145662e-04,-6.376999616861311546e-04,-1.616187864052911300e-03,-3.443388968429470648e-03,-6.561852480621671764e-03,-1.146686195673793547e-02,-1.857247021736973050e-02,-2.793691387740593682e-02,-3.882465429082168629e-02,-4.932825846118782387e-02,-5.667537442434071593e-02,-5.853428559422558380e-02,-5.429519393835525315e-02,-4.518663381061876344e-02,-3.357791579864547599e-02,-2.206319413345776692e-02,-1.259980288747494098e-02,-6.056301659255886906e-03,-2.260876632965192617e-03,-4.410018068145120113e-04,2.399440890226544471e-04,3.822531936457881398e-04,3.225311363040255538e-04,2.180226757994459252e-04,1.284926318130106984e-04,6.799841734006854528e-05,3.272325978142278492e-05,1.441051877574847850e-05,5.828243129713908608e-06,2.170167558159033658e-06,7.454316976393917011e-07,2.366632617282077510e-07,6.969589693014422781e-08,1.906277495640893940e-08,4.852612107942263267e-09,1.155106775855833281e-09,2.591792375635862974e-10,-4.589062091666777698e-10,-8.093530043207887366e-11,-1.366045227324536546e-11,-1.235708281088791919e-11,8.510212801343142997e-14,0.000000000000000000e+00
-1.767778874875823737e-14,-2.148754832864074247e-11,-1.006022996931761087e-10,-7.176390346053337847e-10,-5.554449571945653221e-09,-1.870421460609454650e-08,-6.070878599056392969e-08,-1.910711213901845026e-07,-6.026835434402267217e-07,-1.926787508689509300e-06,-6.196374020170669378e-06,-1.970148870006722334e-05,-6.068572415262183848e-05,-1.781143759437960007e-04,-4.929050386697176808e-04,-1.279216100078316414e-03,-3.106337118027146897e-03,-7.048007487955477469e-03,-1.489974865474847331e-02,-2.915873121887333635e-02,-5.220752283319245179e-02,-8.413502981224883770e-02,-1.199565344097652531e-01,-1.491030983086117367e-01,-1.588950399735887253e-01,-1.401206069285420852e-01,-9.271587385348803445e-02,-2.746631149007991435e-02,3.948853117560992970e-02,9.368057691589846969e-02,1.263226918481103189e-01,1.355970459538925477e-01,1.254297365469604353e-01,1.030321254072897597e-01,7.637579183894771528e-02,5.177180335393984784e-02,3.248780102187936308e-02,1.906506187907123714e-02,1.053238926999170225e-02,4.551169190743780887e-03,2.197084003435324697e-03,1.036851811820334573e-03,4.497014408586031461e-04,1.812824779176175393e-04,7.902082346357326172e-05,3.412664103584198740e-05,2.139296170318298165e-05,1.785843998526887841e-05,1.810651239056346626e-05,2.293267313745070719e-05,3.691812562481839688e-05,7.170483986434186732e-05,1.523634865243753708e-04,3.263302994195077435e-04,6.745293247473178964e-04,1.320342468368495637e-03,2.428999291837254711e-03,4.187087250819621076e-03,6.753252225534797822e-03,1.018079585841766971e-02,1.433325144644728363e-02,1.883941179220154777e-02,2.314314450815935231e-02,2.666897171754225443e-02,2.905240336859325756e-02,3.032062255808607582e-02,3.090546883199280295e-02,3.145253861719672639e-02,3.251492771443872248e-02,3.427194120671103739e-02,3.638006700122493192e-02,3.804326406603401184e-02,3.833152118276671183e-02,3.660451859505788053e-02,3.278927566938374949e-02,2.738706203127145439e-02,2.126165335371259929e-02,1.532423502031078633e-02,1.025824582770818588e-02,6.390094885009769271e-03,3.715595373990803092e-03,2.023680745433209874e-03,1.035320956417770666e-03,4.983082585450640881e-04,2.256732638121545685e-04,9.607424280726104785e-05,3.838483689942630300e-05,1.436389770320717119e-05,5.024432180741150407e-06,1.661333313625444590e-06,5.052365329088540798e-07,1.422544679969230748e-07,3.989322183497115797e-08,1.093449896549046896e-08,2.477156167511384376e-09,5.071515965782028333e-10,9.758253673479052635e-11,3.567893526326943501e-11,7.518289739786162945e-12,0.000000000000000000e+00
