s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
4.499285481870174408e-03,4.961906000971794128e-03,4.598647821694612503e-03,4.234861582517623901e-03,5.335491150617599487e-03,5.012295674532651901e-03,5.184523295611143112e-03,4.725370090454816818e-03,3.834537696093320847e-03,4.913990385830402374e-03,5.054544657468795776e-03,4.837598185986280441e-03,4.822551272809505463e-03,4.908157978206872940e-03,4.868983291089534760e-03,5.244318861514329910e-03,5.229389760643243790e-03,4.879597574472427368e-03,5.465553607791662216e-03,4.989551380276679993e-03,4.881971515715122223e-03,4.521032795310020447e-03,4.738682880997657776e-03,4.722863435745239258e-03,5.085447803139686584e-03,4.172845277935266495e-03,4.801638424396514893e-03,3.947442397475242615e-03,4.237351939082145691e-03,3.934741951525211334e-03,3.510846057906746864e-03,4.543234128504991531e-03,4.906008485704660416e-03,5.155549384653568268e-03,4.436554852873086929e-03,4.899052903056144714e-03,4.797156434506177902e-03,4.403644707053899765e-03,4.677043296396732330e-03,4.489682149142026901e-03,4.694768227636814117e-03,4.107149317860603333e-03,5.132724996656179428e-03,4.884997848421335220e-03,4.117250908166170120e-03,5.067385267466306686e-03,4.638685844838619232e-03,4.987447056919336319e-03,4.941353108733892441e-03,5.295020993798971176e-03,4.622672218829393387e-03,5.433103069663047791e-03,4.477119073271751404e-03,5.360689014196395874e-03,4.527444951236248016e-03,5.017375573515892029e-03,4.827799275517463684e-03,4.940551239997148514e-03,5.456494633108377457e-03,5.083674564957618713e-03,6.214789580553770065e-03,6.696256343275308609e-03,7.313041947782039642e-03,1.037812326103448868e-02,1.101361680775880814e-02,9.460438042879104614e-03,1.416749693453311920e-02,1.886110752820968628e-02,2.340422943234443665e-02,4.662676155567169189e-02,8.808246999979019165e-02,6.776200532913208008e-01,6.137379631400108337e-02,8.185446262359619141e-01,7.661224156618118286e-02,3.823404014110565186e-01,1.874353177845478058e-02,1.960617862641811371e-02,1.643750257790088654e-02,9.915444068610668182e-03,1.029163785278797150e-02,8.083629421889781952e-03,7.408959325402975082e-03,7.321645040065050125e-03,7.069191429764032364e-03,4.763764794915914536e-03,4.930989351123571396e-03,5.992272868752479553e-03,4.053223412483930588e-03,4.805356729775667191e-03,4.366327077150344849e-03,5.112589336931705475e-03,5.266445223242044449e-03,4.797793459147214890e-03,5.215210374444723129e-03,5.085385404527187347e-03,4.936193116009235382e-03,4.895441699773073196e-03,5.061133764684200287e-03,4.204792901873588562e-03
4.932967014610767365e-03,4.412680864334106445e-03,4.722798243165016174e-03,4.420304205268621445e-03,3.891671774908900261e-03,4.959465004503726959e-03,5.253042094409465790e-03,5.322969984263181686e-03,5.302613601088523865e-03,4.017815925180912018e-03,4.957279656082391739e-03,4.886275157332420349e-03,4.820313770323991776e-03,5.320051684975624084e-03,5.077499896287918091e-03,5.071880761533975601e-03,4.683020524680614471e-03,4.115034360438585281e-03,5.204373504966497421e-03,4.347171634435653687e-03,5.279415287077426910e-03,4.181825090199708939e-03,4.949542693793773651e-03,4.685103427618741989e-03,4.693620372563600540e-03,4.201607313007116318e-03,4.695374052971601486e-03,4.821798298507928848e-03,4.375041928142309189e-03,4.243428353220224380e-03,4.422331694513559341e-03,4.799289628863334656e-03,4.735267721116542816e-03,4.692930262535810471e-03,4.864166490733623505e-03,4.957404453307390213e-03,4.863778594881296158e-03,4.292520228773355484e-03,5.056696012616157532e-03,5.461330525577068329e-03,5.073233041912317276e-03,4.319424740970134735e-03,3.754521952942013741e-03,4.771312698721885681e-03,4.463976249098777771e-03,4.699801560491323471e-03,4.063190892338752747e-03,4.206436220556497574e-03,4.850839264690876007e-03,5.206410773098468781e-03,5.057314876466989517e-03,4.649682436138391495e-03,5.790114402770996094e-03,6.447928957641124725e-03,6.808417849242687225e-03,8.973216637969017029e-03,8.540171198546886444e-03,1.229121349751949310e-02,1.485659833997488022e-02,2.285332046449184418e-02,3.241504356265068054e-02,6.552835553884506226e-02,5.304092168807983398e-01,9.386571645736694336e-01,4.166414141654968262e-01,4.714285209774971008e-02,3.944288194179534912e-02,4.386715218424797058e-02,2.838609553873538971e-02,2.248234674334526062e-02,1.722032018005847931e-02,1.474920008331537247e-02,9.826992638409137726e-03,9.033801034092903137e-03,7.668167352676391602e-03,6.867822259664535522e-03,6.426363717764616013e-03,6.540813948959112167e-03,5.868514534085988998e-03,4.622127860784530640e-03,5.577914416790008545e-03,5.373704712837934494e-03,4.793299362063407898e-03,5.263635423034429550e-03,4.363152664154767990e-03,5.141542293131351471e-03,4.383851308375597000e-03,4.256526473909616470e-03,4.759159870445728302e-03,4.928799811750650406e-03,5.334446206688880920e-03,4.186909180134534836e-03,5.093070212751626968e-03,5.018799100071191788e-03,5.345909856259822845e-03,5.040693562477827072e-03,4.871349781751632690e-03,4.378851037472486496e-03,4.368124995380640030e-03,4.902108572423458099e-03
5.166355986148118973e-03,5.148207768797874451e-03,4.192123655229806900e-03,5.385252181440591812e-03,4.446722567081451416e-03,4.230092745274305344e-03,4.697415512055158615e-03,4.729825537651777267e-03,4.372922237962484360e-03,4.763902630656957626e-03,5.386917386204004288e-03,4.330391529947519302e-03,4.442863166332244873e-03,5.059210583567619324e-03,4.951901268213987350e-03,4.508033394813537598e-03,4.246050491929054260e-03,4.750440362840890884e-03,4.434339702129364014e-03,4.677544813603162766e-03,4.613323602825403214e-03,4.377626813948154449e-03,4.271760117262601852e-03,4.969009198248386383e-03,4.530263599008321762e-03,4.569572396576404572e-03,4.805310629308223724e-03,4.558402113616466522e-03,4.819499328732490540e-03,4.647511523216962814e-03,4.669654648751020432e-03,5.380056798458099365e-03,5.157323088496923447e-03,5.196376238018274307e-03,4.576179198920726776e-03,5.234884563833475113e-03,5.012633278965950012e-03,4.519251640886068344e-03,4.669402260333299637e-03,5.283230450004339218e-03,5.326182115823030472e-03,5.166711285710334778e-03,4.286502022296190262e-03,4.747456870973110199e-03,4.677686840295791626e-03,4.987742751836776733e-03,4.898256156593561172e-03,4.862910602241754532e-03,4.559817723929882050e-03,4.927576985210180283e-03,4.254484083503484726e-03,4.918448161333799362e-03,4.529831465333700180e-03,4.881294909864664078e-03,3.872227855026721954e-03,5.122676491737365723e-03,5.790163762867450714e-03,5.948680453002452850e-03,6.172878667712211609e-03,6.224058568477630615e-03,7.023591548204421997e-03,7.446187082678079605e-03,9.283407591283321381e-03,1.191291119903326035e-02,1.349978148937225342e-02,1.229662727564573288e-02,1.846081390976905823e-02,2.459478937089443207e-02,3.778728097677230835e-02,8.023790270090103149e-02,3.033316135406494141e-01,8.261584639549255371e-01,6.287575513124465942e-02,7.225836515426635742e-01,4.320667684078216553e-02,1.081035956740379333e-01,1.264467556029558182e-02,1.773842610418796539e-02,1.150487828999757767e-02,1.020788308233022690e-02,8.153313770890235901e-03,7.029520347714424133e-03,6.014273036271333694e-03,5.337113980203866959e-03,6.879655178636312485e-03,5.891959648579359055e-03,5.344933830201625824e-03,5.556378979235887527e-03,4.864108748733997345e-03,5.196696612983942032e-03,5.001812241971492767e-03,4.402752034366130829e-03,4.040128085762262344e-03,4.696838557720184326e-03,4.470576066523790359e-03,4.847541451454162598e-03,4.732616711407899857e-03,4.414313007146120071e-03,5.125917028635740280e-03,4.721639677882194519e-03
4.875339101999998093e-03,5.059551913291215897e-03,4.628458991646766663e-03,5.169515963643789291e-03,5.048979539424180984e-03,5.021954886615276337e-03,4.802780225872993469e-03,5.188979208469390869e-03,4.501139745116233826e-03,5.211849696934223175e-03,4.412680864334106445e-03,4.988604225218296051e-03,5.804446525871753693e-03,4.739339463412761688e-03,4.968839231878519058e-03,5.731290206313133240e-03,6.371306255459785461e-03,6.663314066827297211e-03,8.478449657559394836e-03,7.632376160472631454e-03,9.559940546751022339e-03,1.390976086258888245e-02,1.946815848350524902e-02,1.930684968829154968e-02,5.073567107319831848e-02,4.745401442050933838e-02,2.190638333559036255e-01,9.015916585922241211e-01,1.539495140314102173e-01,9.640303850173950195e-01,1.354217678308486938e-01,2.191966772079467773e-01,4.323022812604904175e-02,2.890554629266262054e-02,2.361595816910266876e-02,1.230709720402956009e-02,9.596246294677257538e-03,9.560537524521350861e-03,7.377147674560546875e-03,5.399140529334545135e-03,6.422346457839012146e-03,5.517739802598953247e-03,6.119343917816877365e-03,5.768775939941406250e-03,5.516832228749990463e-03,5.655908491462469101e-03,4.856067243963479996e-03,4.900290165096521378e-03,4.337391350418329239e-03,5.088626407086849213e-03,4.527410957962274551e-03,4.840971902012825012e-03,4.851688165217638016e-03,4.165670368820428848e-03,4.548348020762205124e-03,4.601947497576475143e-03,4.747220315039157867e-03,4.303668625652790070e-03,4.574782680720090866e-03,5.047791171818971634e-03,4.360251594334840775e-03,4.257165361195802689e-03,4.747112281620502472e-03,4.790254402905702591e-03,5.282947793602943420e-03,5.319991149008274078e-03,4.437589086592197418e-03,5.257880780845880508e-03,5.221774801611900330e-03,4.098547156900167465e-03,4.997210111469030380e-03,4.689436871558427811e-03,4.823679570108652115e-03,4.803368356078863144e-03,3.997076302766799927e-03,4.124691244214773178e-03,4.818063229322433472e-03,4.896856844425201416e-03,5.041260272264480591e-03,4.433632362633943558e-03,4.894424695521593094e-03,4.647039342671632767e-03,4.507554229348897934e-03,4.924008157104253769e-03,5.125172901898622513e-03,4.679625388234853745e-03,4.609900526702404022e-03,4.535679239779710770e-03,4.254381172358989716e-03,4.494027700275182724e-03,4.869901109486818314e-03,4.797168076038360596e-03,5.306335166096687317e-03,4.755543079227209091e-03,4.349615890532732010e-03,4.525270778685808182e-03,4.230787977576255798e-03,4.081030376255512238e-03,4.562021698802709579e-03,4.854249302297830582e-03
4.568574484437704086e-03,4.493409302085638046e-03,4.235607571899890900e-03,4.740547388792037964e-03,4.505359102040529251e-03,4.843751899898052216e-03,5.062870215624570847e-03,4.786339122802019119e-03,4.529098048806190491e-03,4.627314396202564240e-03,4.680471494793891907e-03,4.875651560723781586e-03,5.221440456807613373e-03,4.927502013742923737e-03,4.724242258816957474e-03,4.847369156777858734e-03,5.534327588975429535e-03,5.077716428786516190e-03,5.319590214639902115e-03,6.380271632224321365e-03,7.547195069491863251e-03,7.326664868742227554e-03,9.288877248764038086e-03,1.184455119073390961e-02,1.792549341917037964e-02,1.669562794268131256e-02,2.620850317180156708e-02,1.568101644515991211e-01,5.692555010318756104e-02,9.598821401596069336e-01,2.324868440628051758e-01,8.114621043205261230e-01,1.764692813158035278e-01,1.101923063397407532e-01,2.384177893400192261e-01,1.693956740200519562e-02,1.646308600902557373e-02,1.322941202670335770e-02,1.261119078844785690e-02,8.495021611452102661e-03,7.533114403486251831e-03,6.123831961303949356e-03,7.296979892998933792e-03,5.020635202527046204e-03,5.161527544260025024e-03,5.221898667514324188e-03,5.228655412793159485e-03,4.372569266706705093e-03,5.068808794021606445e-03,5.058728624135255814e-03,4.997340962290763855e-03,5.104361567646265030e-03,4.294995218515396118e-03,3.910786937922239304e-03,4.351258277893066406e-03,4.703892394900321960e-03,5.145072937011718750e-03,4.569858312606811523e-03,4.262341186404228210e-03,4.926113411784172058e-03,4.948462359607219696e-03,4.573736339807510376e-03,4.427717998623847961e-03,5.238550715148448944e-03,4.782304633408784866e-03,4.551209509372711182e-03,4.722269251942634583e-03,4.955172538757324219e-03,5.243821535259485245e-03,4.887798801064491272e-03,5.049096886068582535e-03,4.849329590797424316e-03,4.284825641661882401e-03,4.509129095822572708e-03,4.685694817453622818e-03,4.555110353976488113e-03,5.114432889968156815e-03,5.013491958379745483e-03,4.798533860594034195e-03,4.263895563781261444e-03,4.242352675646543503e-03,4.514072090387344360e-03,5.129463970661163330e-03,4.090374801307916641e-03,5.169513635337352753e-03,4.601246211677789688e-03,4.262676928192377090e-03,4.903697408735752106e-03,4.893124103546142578e-03,4.616559017449617386e-03,4.979809280484914780e-03,5.274269264191389084e-03,5.283252801746129990e-03,5.062680691480636597e-03,5.356241948902606964e-03,4.685357213020324707e-03,4.886595066636800766e-03,4.851686302572488785e-03,4.824728239327669144e-03,4.211664199829101562e-03
4.590055905282497406e-03,5.057135131210088730e-03,4.356285091489553452e-03,4.810912534594535828e-03,4.949284717440605164e-03,4.931085277348756790e-03,4.997495096176862717e-03,4.986046347767114639e-03,4.675706848502159119e-03,4.393253941088914871e-03,4.950038157403469086e-03,5.312751512974500656e-03,5.155505146831274033e-03,4.448867402970790863e-03,4.071512259542942047e-03,4.204223863780498505e-03,4.551623947918415070e-03,4.938289988785982132e-03,4.848024807870388031e-03,5.249776877462863922e-03,4.336598794907331467e-03,4.260507877916097641e-03,5.642446689307689667e-03,4.985493142157793045e-03,5.040758289396762848e-03,4.481408279389142990e-03,4.969681147485971451e-03,4.788331687450408936e-03,5.083824507892131805e-03,5.166118033230304718e-03,4.792257677763700485e-03,4.828147590160369873e-03,5.552154500037431717e-03,3.665547119453549385e-03,4.866509698331356049e-03,4.808006808161735535e-03,4.693740978837013245e-03,4.378826357424259186e-03,4.901982843875885010e-03,4.495322704315185547e-03,4.322009626775979996e-03,5.283940117806196213e-03,4.616946913301944733e-03,5.024931859225034714e-03,5.210699979215860367e-03,4.650214221328496933e-03,4.678026773035526276e-03,4.776137880980968475e-03,4.964621271938085556e-03,4.983778111636638641e-03,4.294124897569417953e-03,5.306020844727754593e-03,4.950589966028928757e-03,5.083662923425436020e-03,4.388059489428997040e-03,5.196741316467523575e-03,5.261805839836597443e-03,5.051121581345796585e-03,5.297390744090080261e-03,4.834435880184173584e-03,5.155862774699926376e-03,6.367253605276346207e-03,6.110145710408687592e-03,7.614144589751958847e-03,7.368046790361404419e-03,8.422278799116611481e-03,7.961241528391838074e-03,1.138892304152250290e-02,1.309724897146224976e-02,2.272055670619010925e-02,3.056680038571357727e-02,8.114784955978393555e-02,4.444546625018119812e-02,8.333978652954101562e-01,1.210497170686721802e-01,9.191380143165588379e-01,2.335340715944766998e-02,5.659570917487144470e-02,2.598989941179752350e-02,1.530610956251621246e-02,1.342327799648046494e-02,1.111203711479902267e-02,9.945072233676910400e-03,7.339952513575553894e-03,7.000715471804141998e-03,6.152295041829347610e-03,6.025846116244792938e-03,5.327212624251842499e-03,5.373768508434295654e-03,5.159471649676561356e-03,4.717263393104076385e-03,5.404456984251737595e-03,4.442283418029546738e-03,5.217486526817083359e-03,4.920152481645345688e-03,4.476679489016532898e-03,5.051644053310155869e-03,4.735609516501426697e-03,4.663960542529821396e-03,4.377136472612619400e-03
4.200362600386142731e-03,5.095527973026037216e-03,3.909226972609758377e-03,4.616615828126668930e-03,4.943013656884431839e-03,4.750689025968313217e-03,3.974734805524349213e-03,3.813419956713914871e-03,4.775306209921836853e-03,5.358004942536354065e-03,4.265722353011369705e-03,4.599377047270536423e-03,4.178879316896200180e-03,5.552104674279689789e-03,4.416115581989288330e-03,5.017729941755533218e-03,4.421372432261705399e-03,4.785571713000535965e-03,4.221332725137472153e-03,4.757723305374383926e-03,4.777046851813793182e-03,5.576841067522764206e-03,5.751290824264287949e-03,6.174976471811532974e-03,6.095343735069036484e-03,6.953145842999219894e-03,7.033521775156259537e-03,6.222070660442113876e-03,7.145349401980638504e-03,1.188214123249053955e-02,1.158211193978786469e-02,1.605983078479766846e-02,1.893755607306957245e-02,3.954335302114486694e-02,7.218604683876037598e-01,6.822043657302856445e-02,9.900505840778350830e-02,7.782237529754638672e-01,9.300773143768310547e-01,5.753171443939208984e-02,4.115179926156997681e-02,2.333861030638217926e-02,3.031348623335361481e-02,1.020583603531122208e-02,1.172273140400648117e-02,1.062887720763683319e-02,7.488823961466550827e-03,6.623369175940752029e-03,6.604052148759365082e-03,5.007782019674777985e-03,4.550306592136621475e-03,4.093890078365802765e-03,3.441551234573125839e-03,4.274705890566110611e-03,4.271628335118293762e-03,4.402101971209049225e-03,4.063995555043220520e-03,4.088343586772680283e-03,4.807773977518081665e-03,4.701945465058088303e-03,5.135972052812576294e-03,4.754288122057914734e-03,4.358767531812191010e-03,4.546933807432651520e-03,5.566054023802280426e-03,4.629917908459901810e-03,4.950437229126691818e-03,4.917918704450130463e-03,4.774759989231824875e-03,4.711484070867300034e-03,5.259661935269832611e-03,4.431698471307754517e-03,4.956995137035846710e-03,4.011319950222969055e-03,4.812784492969512939e-03,4.491534549742937088e-03,4.907151684165000916e-03,5.006023682653903961e-03,4.276579711586236954e-03,5.105478223413228989e-03,4.705671686679124832e-03,5.160805303603410721e-03,4.127122461795806885e-03,4.914878867566585541e-03,4.974833689630031586e-03,4.981520120054483414e-03,4.703222308307886124e-03,4.800394643098115921e-03,4.961139056831598282e-03,4.782626871019601822e-03,5.328458268195390701e-03,4.876870661973953247e-03,5.319713614881038666e-03,4.661638755351305008e-03,5.051737651228904724e-03,4.674539901316165924e-03,4.719601012766361237e-03,4.262096248567104340e-03,5.123860202729701996e-03,5.029964726418256760e-03
4.648018628358840942e-03,5.140015389770269394e-03,4.924547858536243439e-03,5.078051239252090454e-03,4.837743006646633148e-03,4.218076821416616440e-03,5.134225357323884964e-03,4.926485475152730942e-03,4.996992181986570358e-03,4.152467940002679825e-03,5.345438141375780106e-03,4.666819237172603607e-03,4.982591141015291214e-03,4.293519072234630585e-03,4.585184622555971146e-03,5.067538935691118240e-03,5.835942458361387253e-03,4.874427337199449539e-03,4.303500987589359283e-03,4.746305756270885468e-03,4.734986927360296249e-03,5.631319712847471237e-03,5.076059605926275253e-03,5.090070422738790512e-03,5.123969633132219315e-03,5.999749992042779922e-03,6.933908443897962570e-03,7.020256947726011276e-03,8.909694850444793701e-03,1.009368337690830231e-02,1.128538604825735092e-02,1.795574650168418884e-02,2.098604664206504822e-02,3.763050958514213562e-02,6.987503767013549805e-01,5.782706663012504578e-02,1.167837828397750854e-01,7.984826564788818359e-01,9.306674003601074219e-01,4.201412945985794067e-02,4.316923022270202637e-02,2.370141260325908661e-02,3.583667799830436707e-02,1.173555571585893631e-02,1.292037498205900192e-02,1.019938848912715912e-02,8.211568929255008698e-03,6.491987034678459167e-03,6.310843862593173981e-03,5.516084376722574234e-03,4.494349937885999680e-03,4.678093362599611282e-03,4.756375681608915329e-03,4.647074732929468155e-03,3.572158515453338623e-03,4.668070469051599503e-03,5.303507205098867416e-03,3.585154190659523010e-03,4.975527990609407425e-03,5.024307407438755035e-03,4.454803653061389923e-03,5.157645791769027710e-03,5.092601291835308075e-03,4.529540892690420151e-03,4.733355715870857239e-03,4.478475078940391541e-03,4.800155293196439743e-03,4.319088533520698547e-03,5.030391737818717957e-03,5.213187541812658310e-03,4.545250907540321350e-03,4.324956797063350677e-03,5.249592941254377365e-03,4.723997786641120911e-03,5.276633892208337784e-03,5.191022995859384537e-03,3.999998793005943298e-03,5.088061094284057617e-03,4.561348352581262589e-03,5.496672354638576508e-03,4.534439649432897568e-03,4.970560781657695770e-03,4.301844164729118347e-03,4.527391400188207626e-03,4.416369367390871048e-03,4.863884765654802322e-03,4.219146445393562317e-03,4.422224592417478561e-03,4.487155470997095108e-03,4.527314100414514542e-03,4.661636427044868469e-03,5.376330576837062836e-03,4.175120498985052109e-03,4.551103338599205017e-03,4.394355230033397675e-03,4.011827055364847183e-03,4.824087023735046387e-03,4.003912210464477539e-03,4.525283817201852798e-03,4.900590050965547562e-03
4.892529919743537903e-03,5.296103656291961670e-03,4.668157082051038742e-03,4.669626243412494659e-03,4.226645454764366150e-03,5.183733999729156494e-03,5.253311712294816971e-03,5.241679958999156952e-03,4.768836311995983124e-03,5.333596374839544296e-03,4.973226692527532578e-03,5.052286200225353241e-03,4.994110204279422760e-03,5.218461621552705765e-03,4.823714029043912888e-03,5.272693466395139694e-03,4.978642333298921585e-03,4.991111345589160919e-03,3.924946300685405731e-03,4.822759423404932022e-03,5.274456925690174103e-03,5.051895510405302048e-03,4.262025468051433563e-03,4.821933340281248093e-03,4.346374887973070145e-03,5.139764863997697830e-03,4.658383317291736603e-03,4.597013350576162338e-03,5.442488007247447968e-03,4.616694990545511246e-03,4.878798499703407288e-03,4.901831503957509995e-03,5.026777740567922592e-03,5.051890853792428970e-03,4.904421046376228333e-03,4.839797969907522202e-03,4.508439917117357254e-03,4.775512497872114182e-03,5.328389815986156464e-03,4.824556410312652588e-03,5.067546386271715164e-03,4.307595547288656235e-03,4.861482884734869003e-03,4.933102522045373917e-03,4.165460821241140366e-03,4.613803233951330185e-03,3.944361116737127304e-03,4.720158874988555908e-03,4.327750299125909805e-03,4.684865474700927734e-03,5.477169994264841080e-03,5.565756000578403473e-03,5.967732053250074387e-03,6.261960603296756744e-03,5.593573208898305893e-03,7.270073983818292618e-03,8.080437779426574707e-03,1.092858240008354187e-02,8.834059350192546844e-03,1.647889055311679840e-02,2.032573893666267395e-02,3.853037208318710327e-02,2.223481088876724243e-01,9.357627630233764648e-01,6.650646328926086426e-01,5.857020244002342224e-02,7.166145741939544678e-02,9.929119795560836792e-02,3.984484076499938965e-02,3.895715996623039246e-02,2.479795739054679871e-02,1.936388388276100159e-02,1.277397200465202332e-02,1.108813751488924026e-02,9.261439554393291473e-03,8.456183597445487976e-03,6.988236214965581894e-03,6.409643217921257019e-03,5.438957363367080688e-03,4.697808064520359039e-03,5.467998795211315155e-03,4.884900525212287903e-03,5.368344951421022415e-03,4.022128414362668991e-03,4.909555427730083466e-03,4.629502538591623306e-03,5.167642608284950256e-03,4.657218232750892639e-03,3.950859885662794113e-03,4.711993969976902008e-03,4.569901619106531143e-03,4.148061387240886688e-03,4.994543734937906265e-03,5.015978589653968811e-03,4.627459682524204254e-03,4.560865461826324463e-03,5.441816523671150208e-03,4.008554853498935699e-03,5.461558699607849121e-03,5.534860305488109589e-03
4.234435502439737320e-03,4.566042218357324600e-03,4.862278699874877930e-03,4.037176258862018585e-03,5.111224018037319183e-03,4.772118758410215378e-03,4.903636872768402100e-03,4.617166239768266678e-03,4.856110550463199615e-03,4.548585508018732071e-03,4.401157610118389130e-03,5.159652326256036758e-03,4.050627350807189941e-03,4.794568754732608795e-03,5.061815958470106125e-03,4.971650429069995880e-03,4.749372135847806931e-03,5.285887513309717178e-03,6.014130543917417526e-03,5.192263983190059662e-03,5.126323085278272629e-03,5.935138557106256485e-03,7.271233014762401581e-03,7.430524565279483795e-03,1.164899673312902451e-02,1.061115693300962448e-02,1.462797541171312332e-02,2.291773073375225067e-02,1.956068165600299835e-02,6.946836709976196289e-01,5.955241248011589050e-02,4.160966277122497559e-01,1.966498941183090210e-01,4.303656816482543945e-01,8.909379243850708008e-01,3.874759003520011902e-02,2.923997491598129272e-02,2.352731861174106598e-02,2.026939205825328827e-02,9.592694230377674103e-03,9.421485476195812225e-03,8.164055645465850830e-03,7.449476048350334167e-03,5.363018251955509186e-03,6.851437501609325409e-03,4.653058014810085297e-03,6.039994303137063980e-03,4.822450689971446991e-03,5.643701180815696716e-03,5.606472957879304886e-03,4.417367279529571533e-03,5.229915492236614227e-03,4.363778512924909592e-03,5.100527312606573105e-03,4.551352001726627350e-03,5.073209293186664581e-03,4.409395158290863037e-03,4.572132136672735214e-03,4.930235911160707474e-03,4.744679667055606842e-03,5.210153758525848389e-03,4.449146334081888199e-03,4.559597000479698181e-03,5.228471942245960236e-03,5.224750377237796783e-03,4.974328912794589996e-03,4.485451616346836090e-03,4.884988535195589066e-03,4.254546482115983963e-03,5.142691545188426971e-03,4.765001591295003891e-03,4.590570461004972458e-03,4.123925231397151947e-03,4.696234129369258881e-03,5.323517136275768280e-03,4.183902405202388763e-03,4.517524968832731247e-03,5.163785535842180252e-03,4.679645411670207977e-03,4.510661587119102478e-03,4.594469908624887466e-03,4.970714449882507324e-03,5.004750564694404602e-03,4.174976143985986710e-03,4.327072761952877045e-03,4.611552692949771881e-03,4.401230718940496445e-03,4.318022169172763824e-03,4.488299600780010223e-03,5.034799221903085709e-03,4.718271084129810333e-03,4.936111159622669220e-03,4.436807706952095032e-03,4.457568749785423279e-03,5.267002154141664505e-03,4.131822846829891205e-03,4.761794116348028183e-03,3.414933336898684502e-03,5.242647603154182434e-03,4.438513889908790588e-03
