s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
-2.788302046730614658e-02,-4.001941762076871405e-03,-1.346802507328547687e-03,-1.865940507629105724e-02,4.140437247035445335e-03,-2.251021158455179718e-03,-1.392255404201508647e-03,6.176207607818168591e-03,8.166742177104408017e-04,1.160426831838500851e-02,-3.152997792001769120e-03,-2.902570571743989108e-03,-1.168737861613502148e-02,-6.454255831237524881e-03,-6.014057195028707330e-03,-6.506592522004772151e-03,-1.729557756848139685e-02,-1.193882844999104818e-02,-2.563782902155069959e-02,-1.065044886483555373e-02,-3.168413930519926869e-02,-4.303461604193166423e-02,-4.752835051945710626e-02,-4.234763694322209171e-02,-6.127023741140510960e-02,-5.672436427398417497e-02,-5.860214331375930563e-02,-6.392691482621236376e-02,-5.941669060458355106e-02,-7.876112196799371634e-02,-6.993717299335514004e-02,-8.250585896452042323e-02,-6.959848088561908230e-02,-7.454719716088721582e-02,-7.136929506008529711e-02,-6.548438370284613563e-02,-6.061382448650351473e-02,-7.216516444206373671e-02,-5.674837509142174191e-02,-4.598290479603809461e-02,-3.368070878618793090e-02,-3.255092365287536732e-02,-2.155174850062610212e-02,-2.774278914995468096e-02,-1.999486180038732158e-02,-1.171485857371923865e-02,-9.349174434359902239e-03,-4.149114911000721662e-03,-1.440549523642796655e-02,-1.046185721259235840e-02,2.713223474825924523e-03,-4.027051904150475217e-03,3.427898335760423340e-03,1.566042034486097786e-02,7.805810507769437440e-03,1.280714103862777911e-02,1.751946763649549297e-03,2.193849938408979749e-03,3.038056845746974974e-03,-1.173325671455326472e-02,-1.577034754039287334e-02,-1.021147137023373751e-02,-1.592335919808155267e-02,-1.948455190366054149e-02,-2.759668848549112069e-02,-2.699336998572926180e-02,-3.589340241166700390e-02,-4.684886332385087421e-02,-4.167924924926927344e-02,-4.811170231878917486e-02,-4.652189333076382077e-02,-5.967867656543202753e-02,-5.549495815841604812e-02,-6.322639323915110743e-02,-5.036174698860444721e-02,-7.084646324517127058e-02,-5.047520342791477627e-02,-4.416784097526638142e-02,-5.168466542519446760e-02,-3.384885222954389650e-02,-3.110545655294374295e-02,-3.367712013633735596e-02,-2.486569889843787129e-02,-4.831296609137216043e-03,-1.030202514364363976e-02,-1.160557937793464840e-02,-1.569165677758309341e-02,6.698421812964453111e-03,-1.415359699085852357e-05,-1.814797817328771615e-02,-3.078040272377756837e-03,-5.052890620861314602e-03,6.721969088466184412e-03,1.304606382068756835e-02,-2.144357215227785628e-03,-4.197130722666975178e-03,-5.057592833949003247e-03,8.096932020867694119e-03,2.476446831727577638e-02,0.000000000000000000e+00
1.156592242337107709e-02,-1.646456184244124085e-02,4.233767826169248724e-03,6.383031736830550515e-03,1.413248929189094135e-03,1.151620614118202372e-02,3.064225741107968679e-03,-6.704298626176048541e-03,-1.134691814311748932e-02,-2.830932388370025247e-04,8.492958336739025657e-03,-6.093747872870356776e-03,5.330102082659766158e-04,-1.024550135419087862e-02,-7.252906034657740156e-03,-9.515957969206598893e-03,-1.608797110710432146e-02,-1.467955082881555566e-02,-1.310678260669389389e-02,-2.155544131593177537e-02,-3.889857332476757273e-02,-4.059820782154113100e-02,-3.860247995560981554e-02,-3.759917530000186914e-02,-5.093506233669723576e-02,-5.823877493183398507e-02,-6.046783172475325707e-02,-6.712777308689110711e-02,-5.938587609453387789e-02,-8.121959516754743980e-02,-6.975300365522131563e-02,-7.755706020491075214e-02,-6.918650050139892038e-02,-7.241939478945375042e-02,-7.858963951084509125e-02,-7.176093778168178561e-02,-5.959426851187473589e-02,-5.469826788674741341e-02,-6.338281253863256581e-02,-2.534194415308134440e-02,-8.976758946643384821e-03,-2.361764579496058308e-02,-2.071339226002005471e-02,-3.262292184511171589e-02,-1.794591097497949192e-02,-6.783123872377791810e-03,1.200033160625991330e-03,-8.533214051357956853e-03,1.640522078882368853e-02,6.944979316134997083e-03,6.292352396319509517e-03,-5.065244304178407285e-03,-1.135403388450227820e-02,-2.305615685439617660e-02,-1.408141252711438834e-02,-1.837170136836654630e-02,-2.107434878890588476e-02,-3.473328209829388419e-02,-4.048156774810639236e-02,-3.641421467494262987e-02,-4.225580614505120708e-02,-5.123731886578544725e-02,-5.227966701466744970e-02,-6.341412691492818998e-02,-6.926716858839170043e-02,-5.400972436858787751e-02,-5.158829898183445173e-02,-4.032375345654874710e-02,-4.830535353352113925e-02,-2.435378567933168398e-02,-1.236846610282436344e-02,-2.964346074479694282e-02,-2.404530929794148567e-03,-1.375100470095574423e-03,-3.708198599823361776e-03,8.820700377832772776e-03,1.156629863282712320e-02,9.827530054454610212e-03,1.939583127544226501e-02,7.652974635658540449e-03,2.102351800986032929e-02,2.492761658945382222e-02,8.663133285811100426e-03,8.878883742990404185e-03,1.114663815901698052e-02,9.383668672051892826e-03,1.015825865070039101e-02,1.249347608067905013e-02,4.317426554168020576e-03,6.673994910996425799e-03,-1.218536273670802698e-03,3.667840902905101282e-03,-2.558405554856608283e-03,5.905741259292967248e-03,5.609294266196922056e-04,-3.511729712341016361e-03,-6.795999615742699500e-03,4.818521156164077418e-03,1.703322275686446063e-02,0.000000000000000000e+00
-8.785211092019646478e-03,-2.724545310187892477e-02,1.243911637819009042e-02,4.051446980384131730e-03,6.727033438579939177e-04,2.218569557690612971e-03,-7.108719170231631197e-03,4.964518338802625941e-03,-4.409584378967281414e-03,-1.016363195610777391e-02,-4.820514612274323825e-03,-5.426521069692311940e-03,-1.187687825219597504e-03,-1.026367761206392962e-02,-5.619258917150328145e-03,1.294181401512547102e-03,-1.575580930707050006e-02,-1.185147643304874931e-02,-2.038925492209789012e-02,-3.679366255615966474e-02,-4.131545766718198315e-02,-3.135256279284646952e-02,-4.710935395405457804e-02,-4.963989023653984228e-02,-5.290774780317152037e-02,-4.776472591393204903e-02,-6.443215225392205647e-02,-7.543081606663974703e-02,-6.608121625220418627e-02,-7.000599961606751576e-02,-6.588736938499201168e-02,-8.569359391711348084e-02,-7.619972861566030875e-02,-7.494313051680467908e-02,-7.899754937489439355e-02,-6.403681238192790448e-02,-5.517658119352972235e-02,-5.955935534217413063e-02,-5.319226095532506027e-02,-3.357610386515546413e-02,-3.368126981729756275e-02,-2.446856810121464734e-02,-2.008135464108520493e-02,-2.734266898820886249e-02,-2.160358778201716332e-02,-1.023155879880676203e-02,2.134144868564560264e-03,-1.026979394159064501e-02,-6.673975072066277818e-03,-1.283510830349877084e-02,1.693163004755548345e-02,4.949679903792433486e-03,1.183369474668913464e-02,1.052246695845644731e-02,5.538904485808613699e-03,-2.442223848815017282e-03,3.356171607757362906e-03,-4.955769837544123958e-03,7.043468685805062690e-03,-7.117986313664329510e-03,-1.653654685971938168e-02,-1.424631673450650442e-02,-1.953565967816760229e-02,-1.900268949048741426e-02,-2.802505494655399554e-02,-2.658358399897673210e-02,-3.407101458530403110e-02,-3.925000156276223923e-02,-4.106776136886988032e-02,-5.193981499971540156e-02,-4.756195155208198244e-02,-5.903886654816912355e-02,-5.620312489828871438e-02,-5.082969529207966713e-02,-4.031523183807601135e-02,-3.552213895925135367e-02,-2.953777161798032402e-02,-3.097162158974076443e-02,-1.556845952883228329e-02,-2.183714831004823081e-02,-9.796589284470710521e-03,-9.690710996559492862e-03,-9.856818030894410124e-03,-3.132595084367524856e-03,1.923003304003265005e-03,4.040512217603453061e-03,1.821502386033973251e-03,1.424596499060688803e-03,-1.325601139327656913e-02,-2.870322452951865489e-03,3.557721903755441378e-03,-9.481089571847732198e-03,4.960689880620850443e-03,-1.365167661905387301e-03,1.589500724502405753e-03,-1.004036481205949558e-02,9.976380273686835318e-03,-2.134481547331887850e-03,2.461574224172031859e-03,0.000000000000000000e+00
-1.826069223349806661e-02,1.654423111763219170e-02,9.564956555446894101e-04,1.305305190465832869e-02,-2.731209653575652867e-03,9.604064314150390427e-03,-5.582805890595566624e-03,-2.108521098392049722e-02,1.247413579725211797e-03,4.685539249192607371e-03,-1.986718946634948111e-03,8.297875926205093219e-03,2.293573922423479058e-02,1.690852787911224092e-02,9.253429756974743819e-03,1.686712782611101552e-02,2.065184737756594127e-02,3.021769352509389925e-02,3.097266735065884805e-02,3.765742673284249581e-02,5.025257955384386521e-02,6.069439996474395443e-02,4.922709040960788346e-02,4.932675381018649524e-02,5.880110523269414802e-02,6.980686333822305745e-02,6.384966820783671837e-02,7.292423252646562659e-02,5.678413586492732368e-02,6.670332829073992442e-02,5.163983158335280765e-02,4.366926642988422369e-02,3.913967735925213270e-02,3.252934302573708136e-02,3.149784435072000566e-02,2.639076272003297238e-02,2.392668420808370319e-02,1.098461341748190219e-02,3.248803099228336246e-03,6.039116652196406879e-03,-2.343905906309176439e-03,-5.466624018717487418e-03,-2.528861214291675853e-03,7.835527985693362769e-04,-5.451762486243314464e-03,1.107110047710815719e-02,-1.542180954884211398e-02,-8.929217153379048755e-04,-5.292481968618751968e-03,-1.888024133222919541e-03,5.170339958869154358e-04,6.836133594092176809e-03,7.392122506375807707e-03,1.055740272003845640e-02,6.489791948966046331e-03,2.203217469276428156e-02,2.481853542399340209e-02,2.486246631666392745e-02,2.324295700600959719e-02,3.316202977854024875e-02,3.709650044858525675e-02,4.513208486956981486e-02,5.958760868201700561e-02,6.537927209752307511e-02,6.307448087836890760e-02,6.058861719770756299e-02,7.890835839688992159e-02,8.550631769557834327e-02,8.174114032286149134e-02,8.410356968527096799e-02,8.873979591499822628e-02,8.924920644974596029e-02,7.646967924895743673e-02,6.587669397132574212e-02,6.433429630877005034e-02,6.238369076780504729e-02,4.420538480300446188e-02,5.916812102344846253e-02,4.587999552251901397e-02,2.733182545963546914e-02,3.054329201995859000e-02,3.110702855422585109e-02,1.944473791639658722e-02,1.087762592958796404e-02,1.886521870520325647e-02,3.911704999646733669e-03,1.712863521873076583e-02,6.108712892345163556e-03,8.794183562159866088e-03,7.743977767242887257e-03,-1.920570614492055680e-03,-2.069427889982090180e-03,1.137288217067335995e-02,1.248025233902912146e-02,6.823976582655474910e-03,-1.281579538818389350e-03,4.483785339696151097e-03,1.216387396685148989e-02,8.266858440186486629e-04,0.000000000000000000e+00
3.449884586792840296e-03,-5.876829328824289059e-03,2.026521885531448828e-03,1.076151519328220028e-02,-1.903966929351208611e-03,-7.010039689850546506e-03,8.032130569356553396e-03,3.028279321166852268e-03,-1.875296627050072277e-03,1.660022963758744832e-03,5.527942842965076313e-03,3.678042887951027233e-03,-1.282714097346850319e-03,1.791323975109224489e-02,4.490708037915694395e-03,2.792867937725087082e-02,2.350779641888283908e-02,2.846118934282903037e-02,4.424419744825192763e-02,4.098549653523816949e-02,3.885210458790226001e-02,6.318993876410602950e-02,5.432605104007132840e-02,4.809105836821896129e-02,7.809015709698173546e-02,6.325626652886580381e-02,6.881161291127789459e-02,6.358361019179763207e-02,6.827058251703284342e-02,6.736935044431643926e-02,6.038296586596566401e-02,6.242064808049711810e-02,7.295876509127828535e-02,6.832376119416957994e-02,2.949357375407155035e-02,1.856911723566829348e-02,1.179074635875277527e-02,6.416367460971633338e-03,-1.095678105767809024e-02,4.638688935922634718e-03,-5.768007871372483192e-03,-5.036345948226749088e-03,1.192655027684695179e-03,1.792371764336988735e-03,-8.417900115868707719e-03,-2.220808884642079106e-03,3.732716106218198805e-03,-7.891786808418184418e-04,-4.587455363522886971e-03,-5.273368397103090927e-04,9.048834427901865374e-03,-1.439289485653386493e-03,-3.119263644660690438e-03,5.296671198741365570e-03,1.139203495990639449e-02,5.406839585084600650e-03,1.025659068366442661e-02,1.577910184527672385e-02,2.115932317961389045e-02,2.878222562846737692e-02,4.677433391071038338e-02,3.723707285168081915e-02,4.475673941829833025e-02,7.239929744616144247e-02,6.541000900792716399e-02,6.284341578476505819e-02,7.179001305541775346e-02,7.633870006451119739e-02,6.123566214859656187e-02,7.180651078560708334e-02,8.027855300978206654e-02,7.793421909459870289e-02,7.768837489928528961e-02,7.036407281072876163e-02,6.764501058778439602e-02,7.290845490932200412e-02,5.038487042424791285e-02,4.863971888462633592e-02,4.423460944354933033e-02,3.192635178002060925e-02,2.587604646987241505e-02,3.500232663411063233e-02,1.881512861960480190e-02,1.715293330652136947e-02,1.959027326517040132e-02,1.228393221464562160e-02,1.672866362868171558e-02,6.617982674922666050e-03,1.075561088829021794e-02,8.980056460095557289e-03,5.339962557880285551e-03,-4.540327939764821769e-03,2.779199604980167083e-03,3.358802550758180957e-03,5.396505586529514419e-03,-6.507229814641978449e-04,1.036072512410689955e-02,-8.790466196736602955e-03,1.886671817459619621e-02,0.000000000000000000e+00
3.798042756618526944e-02,8.800829608472121243e-03,2.149095727103193798e-03,8.307863596051328486e-03,9.734316917485153625e-03,-9.711733773306077113e-04,-7.049525659884598849e-04,-4.132527965573871281e-03,1.888097545125639763e-03,-1.107105028133075451e-03,-7.945406453719572673e-03,-5.803475002857023425e-03,-9.556826270117502187e-03,-1.561496846271335885e-02,-7.772354420381727240e-03,-1.645739382344830332e-02,5.270654815769633753e-04,-1.024491029835296330e-02,-2.503107620315081494e-02,-1.414207324082186572e-02,-3.111779659505397103e-02,-3.205929469511242802e-02,-4.891074143216730952e-02,-4.482761361621245833e-02,-4.964413242035505686e-02,-4.856216344991128725e-02,-6.111662529885864004e-02,-5.675913541060399747e-02,-6.572071042983994305e-02,-8.702223618153341611e-02,-7.250441264915405415e-02,-7.928194448247684323e-02,-7.876165733915975464e-02,-8.420676821388628497e-02,-8.605131696962665944e-02,-6.043904569935033833e-02,-5.280718569136311907e-02,-6.230937604120605905e-02,-4.711247089088216322e-02,-3.802236311615368042e-02,-3.500068575447715796e-02,-2.727203359171105276e-02,-3.235530428322515306e-02,-1.973969023616898785e-02,-1.644094587552593495e-02,-2.327413919618171248e-02,-1.014449365286001527e-02,-1.319415381579139464e-02,1.080008092853444257e-03,-1.314382864121207799e-02,-1.030118801683001239e-02,-9.920726418181653305e-04,2.639551884525840556e-03,3.031649733275536187e-03,2.243646432081024353e-03,4.502479948949394094e-03,1.286819421278237799e-02,4.218460002347643178e-03,1.148448526414769071e-02,1.158775840887170568e-02,2.684582087036989362e-02,1.060343301370362395e-02,3.853261755963441337e-03,-1.763615677804522639e-03,-9.527228828408215722e-03,-2.065397537086949287e-02,-2.102289154775997468e-02,-2.459874017005805186e-02,-1.589649459625880334e-02,-4.150834055338366302e-02,-4.868651181776983278e-02,-4.636669534404597171e-02,-3.050379929630427436e-02,-7.295306463700755584e-02,-6.781175568858550939e-02,-5.896880270558339104e-02,-4.115463955409912056e-02,-5.291575349715512550e-02,-5.261054358716706070e-02,-4.425209277539732255e-02,-4.017839427826339072e-02,-3.972783174036494808e-02,-3.188583753895766343e-02,-1.306523346817425012e-02,-2.222350002487892551e-02,-2.019600055851034429e-02,-3.964395486533133124e-03,5.347843678079752198e-04,-2.668652722187295559e-02,-1.266485153497748893e-02,-6.384515232853032324e-03,2.094526150297186355e-03,-7.065775421839848476e-03,2.120871045232953535e-03,-3.325986999623788219e-03,-4.778564966875537869e-03,7.130403010335951280e-03,-4.216875738276473946e-03,3.383092367831063568e-02,0.000000000000000000e+00
-1.987153746122169093e-02,-1.821052893420271011e-03,-2.863019981532215815e-03,9.717179004694018879e-03,-7.347244946668780863e-03,-1.943846260501669310e-02,7.463421139713203277e-04,-6.297566036035929767e-04,3.866240239212724670e-03,1.375064202180849597e-04,-1.810304827131241313e-03,-3.093534201997003106e-03,-1.569231744795758499e-02,8.833724228030245124e-03,9.536097474389151549e-03,2.586403058204075813e-03,-6.416861369423659573e-05,2.813488601358118957e-03,-7.607121711504996088e-03,-8.193152337158626092e-03,-1.360834443936886906e-02,1.168599095334759037e-02,-2.406004078524681764e-03,1.231560594548108956e-02,1.284027084646362574e-02,1.842386151491043692e-02,2.045984139537524935e-02,2.348153857809440886e-02,2.239836035957097626e-02,4.546748946293415611e-02,4.422895397311979448e-02,3.993326308894386972e-02,3.563793021303011954e-02,3.326016737089500241e-02,6.625283004309347190e-02,6.421265764514093310e-02,8.428383814684421715e-02,6.830416367591383986e-02,7.291155432476019438e-02,5.750148752802559243e-02,5.808792935435062171e-02,4.668417214703451251e-02,5.900855005981326534e-02,3.431038727504600455e-02,5.348789013095835848e-02,3.661108837872546068e-02,1.285661521330733192e-02,1.022739168626524316e-02,3.643862151474870290e-03,9.812374349325898512e-03,1.398538107509833886e-03,-1.044641824530649112e-02,-2.260013651751231062e-02,8.320365824926341785e-04,-7.977222002283827600e-04,1.181904172198749645e-02,5.845598340029151130e-03,1.955627563853765127e-02,1.502607860117170270e-02,1.764689400483835172e-02,1.471461095632905537e-02,2.273986547169258576e-02,5.346139060583496305e-02,7.227705397503375595e-02,6.437424591411161634e-02,6.031805264566945241e-02,5.994157188336203534e-02,7.714203257263452240e-02,8.023055079553716162e-02,7.986975514984756552e-02,8.665800057028515135e-02,7.991004733724703379e-02,7.326731863402143052e-02,7.012431031157881356e-02,7.114105090758651717e-02,7.227534249830540325e-02,5.752166127472984475e-02,4.025461827297460715e-02,4.505018899287203948e-02,4.249488610860258780e-02,3.342517644786704989e-02,2.399571541652824325e-02,1.450700348328144880e-02,1.704482708179792458e-02,1.255256707260717433e-02,6.441573741225310214e-03,1.652172218437442759e-04,-8.239296808882514908e-03,1.169907608114089184e-02,7.593132063428932078e-03,-9.427123731540991772e-03,-3.187584377961646172e-03,8.604545958534168607e-03,1.080769004125523187e-02,1.361972425329925282e-03,-5.243955158702561306e-03,-6.779035000722591353e-03,-4.192616892137491190e-03,-1.812066450595297556e-02,0.000000000000000000e+00
1.204573456594812755e-03,1.604463593132097673e-03,1.965482956188751781e-02,4.650421141938167018e-03,7.038630481217137465e-04,-3.313603539237646323e-03,8.185407190923262022e-03,-1.834543858322549648e-03,3.656000322599720770e-03,-8.368490420827138024e-03,2.721010865347035725e-04,4.005850458228533278e-03,6.538257722127020083e-03,-5.537147037771078875e-03,-1.538594312160966463e-03,2.521667886329584819e-03,-1.490963626750206432e-02,-6.590596195674362778e-03,3.372060928358320848e-03,-3.914510446422232032e-03,-1.366004661115540657e-03,-1.271259620785651677e-03,1.301260515928308803e-03,6.323812756275134367e-03,1.048362848602998020e-02,1.027686151698198151e-02,1.388012341862530225e-02,1.511067763829388594e-02,2.285871381499478966e-02,3.358255838251292952e-02,4.713229430059491520e-02,4.581523217991029240e-02,4.190665315947803699e-02,2.785520969359566237e-02,7.183192331446909551e-02,6.114898916334250006e-02,7.268521222402767046e-02,7.290596167861738974e-02,6.636040057038716800e-02,5.226168604512786142e-02,6.034394459691858753e-02,4.870151644438872052e-02,5.131170936025215151e-02,2.851852911902964804e-02,3.597619456939549903e-02,2.104154167118442789e-02,1.909682298728396926e-02,2.793948626698426058e-02,1.317238131894279789e-02,1.560031148685267662e-02,-1.576886134915890525e-02,-5.080624256859993942e-03,-2.101315309804254253e-02,-6.470753621241740437e-03,1.165549642914012057e-02,1.531644007692040642e-02,2.421124038396007053e-03,4.488793651114795255e-04,-2.120655983880707744e-03,1.689461350669052564e-02,1.721180625376270189e-03,3.546697769649199538e-03,4.700355153561924099e-02,7.255394591405657512e-02,6.808558723411686775e-02,6.565783520037311860e-02,6.865810691596185844e-02,8.308725451284790231e-02,6.695697119741311765e-02,8.057864147643364894e-02,8.733459269883921128e-02,1.027601387146970108e-01,6.541779243658149556e-02,8.479265068057569021e-02,6.590591647475371739e-02,7.266983503794892385e-02,4.235135100693614846e-02,5.124154675146629090e-02,4.172794590220848393e-02,4.053070364817838722e-02,2.239790718363749572e-02,2.866564565694980707e-02,1.341589634105673848e-02,1.158164982992852116e-02,-1.388913749531874801e-03,6.833806192177220530e-04,2.026448632755711680e-03,1.325122508505201246e-03,3.840930944498451016e-03,4.917058724681350711e-03,-6.338373425185481018e-03,8.428038173737538788e-03,-5.151671994248918467e-03,4.570009261036963623e-03,-5.507687713477752399e-04,8.814040081741421340e-03,7.410739556575575947e-03,1.208796232123874985e-02,-1.358831590075732648e-02,0.000000000000000000e+00
-2.498712163430021841e-03,1.125757699407295767e-03,-3.756833152294884823e-03,-8.038695062690575169e-03,5.233953670754677018e-03,-2.328655831377885160e-03,-3.421983780611372820e-03,-2.408935371165373245e-03,-3.351528996657297376e-03,-5.431385737471650967e-03,-1.563024951620221306e-03,-1.641552330393958835e-03,-7.060227624387525706e-03,-5.099110604076304183e-03,-1.799741733769274696e-02,-1.273249771397223090e-02,-1.063650682914080506e-02,-2.061076360752166908e-02,-2.715401342064144644e-02,-2.548347271478797887e-02,-2.849123854854008348e-02,-5.063218886309211325e-02,-3.877571431409782693e-02,-4.711498449246479675e-02,-5.145609157676361151e-02,-6.177045991776856232e-02,-6.384281740338237920e-02,-6.890894467187706762e-02,-6.844928724862958669e-02,-8.788044522056032148e-02,-7.476899713480084086e-02,-7.423757196832549143e-02,-7.131866942431755452e-02,-7.518440993028002728e-02,-7.235495575450448524e-02,-6.941499965441172426e-02,-5.087260631070453926e-02,-6.401250176765913014e-02,-5.534423605606564323e-02,-4.175729394655100513e-02,-1.909871961964414513e-02,1.201859859313172485e-03,-1.970854247862720982e-02,-1.124540807957804568e-02,-9.483652287904442008e-03,-1.668472293074060517e-02,-7.020217486963515989e-03,-6.396098551470873542e-03,-3.937723083359622768e-03,-1.352015196842656138e-03,9.872501067063619087e-03,-1.071844265180588607e-03,-1.575759767787901847e-02,-1.936178306685611833e-02,-2.219816347110862773e-02,-2.522979307281086880e-02,-3.255681394639321075e-02,-3.115431569837872131e-02,-3.331244291417936876e-02,-4.757331328735486115e-02,-5.446045768275149801e-02,-4.354821956151659623e-02,-4.962669674303746975e-02,-6.431413819569248291e-02,-5.848025286889696472e-02,-4.262287715644835773e-02,-5.917113227229503503e-02,-5.388468598059389242e-02,-5.698729644648699993e-02,-3.606378111837434813e-02,-4.252861064896956006e-02,-3.738246830175667029e-02,-3.652531481209658759e-02,-4.955212712371861311e-02,-3.685143824804541085e-02,-3.327106734519361814e-02,-2.743626390972554382e-02,-2.018874991415096562e-02,-1.841808698040811251e-02,-1.047744999392467326e-02,-1.579496588709973157e-02,-7.814209649320561640e-03,-1.336892378623027837e-02,-2.126747768745084529e-03,-7.824504020753840841e-03,-8.259309782603266314e-03,8.299756724738956495e-03,-2.473218566984721443e-03,-2.409807578730063793e-03,-2.411602971071982477e-03,3.574685374423185354e-03,6.746492669785742261e-03,3.611251995288986862e-03,1.728672347829830151e-03,7.779989601190961772e-03,4.390113888553638828e-03,6.290690882528841496e-03,6.585973842174915049e-03,5.680575487854156586e-03,0.000000000000000000e+00
1.510839764775961935e-02,6.833725517237595332e-03,-1.100933053553402609e-04,-1.105111850704178743e-02,5.859729566940710677e-03,-4.147805259375002447e-03,3.130747946958206424e-03,-2.275737123511241064e-02,-5.336900461745686282e-03,-5.945406339438341452e-03,-6.523278881906519576e-03,-3.233846799268813316e-03,4.919222551414932816e-03,-1.597681671468726555e-02,-6.736885395040978844e-03,1.579714714276032926e-03,5.246751064619982127e-03,1.233752734774391357e-03,3.484883017630639387e-03,-1.111895333783493277e-02,-9.756585849418766138e-03,3.624633230694355480e-03,8.728675911030434010e-04,1.887216342977735234e-04,9.839447638502871532e-03,1.324948139671958645e-02,2.347835516958348898e-02,2.520850254238373583e-02,2.183446145475448352e-02,8.084464840678316777e-02,6.387085789441795947e-02,5.569105751832658519e-02,5.762371763715820605e-02,7.007488459163699335e-02,7.990511139200091872e-02,6.024338874705803537e-02,6.615375371412116068e-02,7.437131212502465227e-02,7.108966269648202274e-02,4.989665961765139823e-02,4.670145237550277217e-02,4.126299925327681084e-02,5.061638956673512185e-02,2.874448627592778374e-02,4.030749430958796564e-02,2.345815104489445621e-02,2.048988811826032985e-02,1.176762467321824934e-02,-9.921291926892509411e-03,7.168953518498622987e-03,-2.122335563795896838e-04,4.226586012234574523e-03,3.554501797218316810e-03,7.579243419283281970e-03,1.655073709029450738e-02,7.106217627070005038e-03,9.674677598005432949e-03,2.697299554739112509e-02,2.350364465031416772e-02,2.833027211980566895e-02,4.035458384134477106e-02,4.354332023597803913e-02,5.607105947887622982e-02,7.075376860563005466e-02,6.223910041984866831e-02,6.097545543688315250e-02,6.863051886096854792e-02,7.456871919265421755e-02,7.348655644074315874e-02,8.829907061127073575e-02,7.322508490087387134e-02,7.727962508208401082e-02,7.070425052925283227e-02,7.766440755564246734e-02,6.604473578452850491e-02,6.598102057697577405e-02,4.386596952542715089e-02,5.250472466916993042e-02,4.514765098039438818e-02,3.733637256639685958e-02,3.932885130796270889e-02,2.882931339337351656e-02,2.043758080621127168e-02,1.913555384887919916e-02,1.001571742553615876e-02,1.411879221765562249e-02,1.116779363398653219e-02,1.002999124414994184e-02,7.361289322250752151e-03,-2.081148390339938436e-03,5.980929936029328979e-03,7.743526814599699035e-03,-8.838758560190488342e-04,-3.484653174672309051e-03,5.715490210468050260e-03,-9.136067324368450822e-04,-3.533772386737311574e-03,5.489612704696406531e-04,-7.301507223275560850e-03,0.000000000000000000e+00
