s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
0.000000000000000000e+00,7.282198453878896416e-03,1.323270367598100572e-02,1.003346906968591301e-02,4.542474206832014527e-03,0.000000000000000000e+00,5.913798753534205144e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.266623436120567492e-02,0.000000000000000000e+00,7.746035929387384833e-03,0.000000000000000000e+00,1.460237945533404691e-03,4.330586636182187643e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.752459962222176593e-03,7.135918527618995144e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.134501420880384970e-02,6.373078376445850957e-03,1.364039768506852823e-02,1.895145777274565013e-03,2.474961139249720610e-03,7.724513102147473331e-03,9.526108391519072516e-03,1.905583813098971069e-02,0.000000000000000000e+00,1.624270190813348336e-03,0.000000000000000000e+00,2.083038368112288818e-02,9.421982360389213884e-03,1.077416272179435031e-02,5.234575960217119350e-03,1.350742455310216528e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.272247146893949132e-03,1.526944650942163584e-03,0.000000000000000000e+00,7.801852097246930740e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.076929209938243037e-03,-1.896513725952894691e-02,0.000000000000000000e+00,5.200225728012042303e-04,2.382826501299617483e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.890753409228319137e-03,5.916072076731171414e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.981580645976088739e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.385131535211860498e-03,1.286803820977761026e-02,0.000000000000000000e+00,8.599271475009162558e-03,0.000000000000000000e+00,1.054698847133167527e-02,2.021825041983588145e-03,4.972685724228709248e-03,2.682619856544010695e-02,2.315813131990190898e-02,1.468975243701126088e-02,8.824713745997636583e-03,6.105466673839335390e-03,7.757143614039840873e-03,9.390876640627654481e-03,1.322859941883336443e-02,6.160114520188220144e-03,1.431209319042275885e-02,0.000000000000000000e+00,5.131354658713671579e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.285768195323335306e-03,7.828847815525091791e-03,4.042556123223794984e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.560666854240561729e-03,3.605049297573936773e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.904268402166041652e-03,8.101620665982592340e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.339419698706879380e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.615447520342006005e-02,1.738877863771298715e-02,-1.804700186366819947e-02,5.119865350997537812e-03,6.515764081611336023e-03,0.000000000000000000e+00,1.237418909065476913e-02,7.345167511360606305e-04,2.192429778490961878e-03,3.798136696394227574e-03,0.000000000000000000e+00,2.165777250630340767e-02,4.623895641207187435e-03,0.000000000000000000e+00,7.657237386681614577e-03,2.741157385098946797e-03,2.622619016099309031e-03,0.000000000000000000e+00,7.512040719494988972e-03,1.029936922505247932e-03,3.070369930441824158e-03,1.117765983350127446e-02,1.741327322746749617e-02,1.309583468986075250e-03,1.848038022118431156e-02,0.000000000000000000e+00,8.329311380770976214e-03,0.000000000000000000e+00,1.238939825287777019e-02,9.371116172528504151e-03,0.000000000000000000e+00,1.120043843253737403e-02,6.102726029640903604e-03,0.000000000000000000e+00,3.052309111526124719e-03,1.305980225986655419e-02,0.000000000000000000e+00,8.153234710350565351e-03,0.000000000000000000e+00,1.363800628883285460e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.434833923560867586e-03,1.024082174815843516e-02,4.345742339376790220e-03,5.451445308312541371e-03,5.777526700225965595e-03,5.376468269742390449e-03,0.000000000000000000e+00,9.992043893220559081e-03,6.711615068047405153e-03,6.957288720422560857e-03,8.403849177452071828e-03,4.205361568169085906e-03,0.000000000000000000e+00,2.063649133314743311e-02,1.000884495396925367e-03,3.235294637246910465e-02,1.061018974580579810e-02,1.485397242441960364e-02,1.055317128092786438e-02,2.771734116158997008e-03,4.583943005474599985e-03,8.359493256524991311e-03,0.000000000000000000e+00,1.507809710138396930e-02,0.000000000000000000e+00,7.382523694196035935e-03,0.000000000000000000e+00,9.850917239882212018e-03,1.162055609000633982e-02,-1.849343599150801709e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.770013490084765273e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.196809850252445795e-03,-1.804379259546368131e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.671168765025247013e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.038067073064968399e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.097690091145493013e-02,0.000000000000000000e+00,2.162840254651952378e-03,0.000000000000000000e+00,2.250436592299415520e-02,7.499273578842807764e-03,0.000000000000000000e+00,1.839907990171453511e-03,0.000000000000000000e+00,9.648248576236334584e-03,2.089820160656747500e-03,1.078675203152763828e-02,1.139770830950188191e-02,2.542392306440690794e-02,5.110754008584812019e-03,4.333244475999082149e-04,6.828055131276234216e-03,3.409241036954425985e-03,1.566408635347908349e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.551973436054398296e-03,3.382499016928518232e-03,7.423518123080577458e-03,1.405513902184647550e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.311761805213067206e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.089331026704924363e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.390038477378209569e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.057557438982150072e-02,4.534211429136922843e-03,0.000000000000000000e+00,2.248700577797712458e-02,0.000000000000000000e+00,2.001324729476630648e-03,0.000000000000000000e+00,1.099297966711060975e-02,9.069755417333364572e-03,0.000000000000000000e+00,7.116713978870883861e-03,1.969305907651684034e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.792195144309594035e-02,1.208181860135763841e-02,1.092532294607350546e-02,1.237632350302372147e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.804786852265392871e-03,1.250725523012628793e-02,3.422388679717500333e-03,1.183960611073918076e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.078739922767486203e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.257914579487197371e-02,0.000000000000000000e+00,1.067051697907835106e-03,0.000000000000000000e+00,1.212146824356163943e-03,1.634967632448502961e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.259096603967768679e-02,0.000000000000000000e+00,0.000000000000000000e+00
-2.512864517319506746e-03,1.007992037532441827e-02,2.895358638163025508e-02,1.888113380562551902e-02,0.000000000000000000e+00,-1.849350422264057353e-02,0.000000000000000000e+00,-9.491156853974986804e-03,-4.697314530146712297e-03,0.000000000000000000e+00,1.391916549762104403e-02,-1.068693610901011101e-02,1.678227119973953532e-02,0.000000000000000000e+00,9.916756170887587596e-03,-3.091704321397121744e-02,-1.212582205089590345e-02,0.000000000000000000e+00,1.208324716335009569e-02,-1.048436086657823091e-02,-1.392532915323477574e-02,2.415872529366237115e-02,-1.548420754153759411e-02,-1.427278461389524730e-02,-1.481937705779534653e-02,-1.030854117824538466e-02,-2.328519054844217437e-02,-1.622642485020242553e-02,-1.584635938478946848e-02,-2.351986375723821507e-02,-6.392346463871680790e-03,-1.141268700927375312e-02,-2.050610582313464395e-03,-9.455059326822914251e-03,-2.085690877829467216e-02,-2.778877486995565485e-02,1.097012041328172122e-02,-1.593388735028521130e-02,-2.397368804251674007e-02,-4.090027427366754384e-03,0.000000000000000000e+00,-2.287839168624263703e-03,0.000000000000000000e+00,0.000000000000000000e+00,-4.056256576364321992e-03,0.000000000000000000e+00,2.862710378004747203e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.859958280189982549e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.365135962352730492e-03,-1.543163081828169414e-02,1.298518045726482564e-02,-2.900966096266597780e-02,-2.597831171892215144e-02,-1.264510669541436816e-02,0.000000000000000000e+00,-3.045178632791803106e-02,0.000000000000000000e+00,-5.016562804747121129e-02,0.000000000000000000e+00,-1.936337444535469327e-02,-7.685728038082016017e-03,-1.670566044183195709e-02,-3.106226206247682253e-03,0.000000000000000000e+00,-3.675999182420452982e-03,-9.063734406344992750e-03,0.000000000000000000e+00,-1.424191498022575261e-02,-2.375604809690777877e-03,-1.871796852894781760e-02,-2.415158468797938551e-02,-7.997191968206814050e-03,0.000000000000000000e+00,0.000000000000000000e+00,-7.518304998727382005e-03,0.000000000000000000e+00,0.000000000000000000e+00,-8.454212578487562552e-03,2.255718554816707466e-02,1.373641588362007129e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.852726166279930475e-02,0.000000000000000000e+00,0.000000000000000000e+00,-9.019402763637981990e-03,-1.890215728319947358e-02,0.000000000000000000e+00,-1.239059864290347965e-02,-9.313837081140165924e-03,-1.748533239009811280e-02,-9.884505895540796061e-03,1.742606173585969920e-02,0.000000000000000000e+00
0.000000000000000000e+00,-6.855480037358183121e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.382424782535005545e-02,0.000000000000000000e+00,-1.312828967031572092e-02,-1.245249508412589468e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.991978351567546102e-03,-1.413291604086091419e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.657045714034227013e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.014713963399622693e-02,-2.973311121583164726e-03,0.000000000000000000e+00,-1.203418721839559849e-02,-3.517234393147557203e-03,0.000000000000000000e+00,-1.722667434843845602e-02,-2.528060142551751682e-02,-7.967360163568623643e-03,-5.273289245194649755e-03,-5.441616181654049256e-03,-1.046473708618644166e-02,-1.264468357957356653e-02,0.000000000000000000e+00,-1.421360694153914889e-02,0.000000000000000000e+00,0.000000000000000000e+00,-9.457559869452777934e-03,-1.546357121921852068e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.557860112250264217e-03,0.000000000000000000e+00,-9.367416898176897377e-03,-8.771035541068901431e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.160203673836879945e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.946266310315736270e-02,-1.348721699912680191e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.197313213946726851e-03,-2.043433179313218495e-02,-7.728432693465653314e-03,-1.561334613016870931e-03,0.000000000000000000e+00,-2.161094985181920974e-02,-3.163855639822123200e-02,-1.420544834025938563e-02,-5.586488687390971097e-03,0.000000000000000000e+00,-6.823574405565302481e-03,-8.334208383490589178e-03,-1.994008675070981645e-02,0.000000000000000000e+00,-2.497117572945788122e-03,-1.455418873984731798e-03,-1.328854785033699304e-02,-2.065297700019556870e-02,-2.311843129751066719e-02,-1.378408723768996882e-02,-2.516564276380695020e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.482933695634336413e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.815727774855948162e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.812536173844726983e-03,2.119434750420420149e-03,1.766558419370239594e-03,0.000000000000000000e+00,-2.134046072228076157e-02,3.922950838872119039e-03,0.000000000000000000e+00,-2.023616762536412789e-02,1.604974931279927811e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.177657659414753713e-02,0.000000000000000000e+00,3.567266711220332120e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.646960821407148640e-02,1.079895264057118345e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.008302157931464764e-02,1.517330859598498699e-02,5.326512091953367056e-03,2.908124187513613790e-04,1.627943707135763238e-02,-1.204669724078484896e-02,4.253314182931407228e-03,2.640699472462617464e-03,1.909584834756561725e-02,4.349759525165988738e-03,1.726477635561338153e-02,1.134985199030837805e-02,1.142254573549791874e-02,9.887886753906210274e-03,1.527766683946475690e-02,0.000000000000000000e+00,4.321468435458856658e-03,1.647057145712674253e-02,9.227519334826177200e-03,3.683248978371973792e-03,5.526874875407497556e-03,0.000000000000000000e+00,5.394167854673686049e-03,9.484623201738765635e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.507114599970483387e-02,7.844414373200755963e-03,1.169153216513688781e-02,-1.892675449361917034e-02,2.740955016992201870e-02,1.090802155980986204e-02,5.886104486742149700e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.013249032549997486e-03,7.188368401132939900e-03,2.412229909888943813e-03,4.570155129987790721e-03,0.000000000000000000e+00,3.241809422280861330e-03,0.000000000000000000e+00,1.098048345195941009e-02,1.903203358063091863e-02,0.000000000000000000e+00,2.047338290712781561e-02,1.283224592926038819e-02,1.231963314192924264e-03,2.012617434644990017e-02,0.000000000000000000e+00,1.324928668590963365e-02,2.974972395422249838e-03,2.073052663534076870e-02,0.000000000000000000e+00,1.265528927851551633e-02,2.530045795835975109e-03,7.957494101404062950e-03,2.327428128973969834e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.415978389334817927e-03,0.000000000000000000e+00,1.141064364781674452e-02,8.739319852298865765e-03,3.059682736384072843e-03,0.000000000000000000e+00,1.002780307861389497e-02,0.000000000000000000e+00,7.184917398032342195e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.415649741928189098e-02,-9.345352804400450242e-03,0.000000000000000000e+00,-3.388582227695575294e-03,-1.429920126103705058e-02,0.000000000000000000e+00,1.783993905386191403e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.278361070634219554e-03,0.000000000000000000e+00,-5.577227899482596618e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.411357505198128359e-02,0.000000000000000000e+00,-2.733345929009423081e-03,0.000000000000000000e+00,-8.981830718704748168e-03,-2.190240174290022934e-02,0.000000000000000000e+00,1.791609009207849323e-02,-7.154743808373009023e-03,-1.934100430873361698e-02,-1.912535538200835564e-02,-4.461654726228669876e-03,-1.931536717589305008e-02,-6.267618106940597844e-03,-1.602383936499577471e-02,-1.658151125077804433e-02,-2.495655116815466423e-03,-1.550329714439303841e-02,-1.848075734618767618e-02,-1.286082070965186008e-03,-2.541315438121843212e-02,-2.457938837249768957e-02,0.000000000000000000e+00,-2.821508487172831592e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.226662345805752952e-03,2.968496493794597207e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.641957591971431041e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.604801780117526278e-02,-6.875318326752213882e-03,-3.240075128050072528e-02,-7.130194149335633558e-03,-4.760128379038452290e-03,0.000000000000000000e+00,0.000000000000000000e+00,-7.485562555805860829e-03,0.000000000000000000e+00,-1.703932624462758949e-02,0.000000000000000000e+00,-3.061112863983019017e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.457054078662764679e-02,-1.131468477769443509e-02,-3.709170834400450645e-02,-2.120849946598079433e-02,-1.307335003751330937e-02,-1.598943334511980507e-02,0.000000000000000000e+00,-1.296956203065213406e-02,0.000000000000000000e+00,-2.628647525138224153e-02,0.000000000000000000e+00,-1.265406643917099672e-02,-7.589866452990395862e-03,-1.243278009913663384e-02,-8.117073636280378035e-03,-1.091186998688517540e-02,-9.220654697052122623e-03,-5.137483053457672297e-03,-1.703915350875168100e-02,-3.352528386924555348e-03,0.000000000000000000e+00,1.737396883684019788e-02,0.000000000000000000e+00,-1.823294791122753722e-03,-2.910219676576009107e-02,-9.559245651262759935e-04,3.012112676421863089e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.623232825383211966e-03,0.000000000000000000e+00,-3.571307236811322589e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.757119078287185457e-02,-4.427006714796372089e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.247527732641184883e-02,0.000000000000000000e+00,3.804118619350654873e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.169709168560394141e-02,0.000000000000000000e+00,-1.720327868586696285e-03,-1.820182830553795927e-03,-2.628425206709473355e-02,-8.566315176983300972e-03,0.000000000000000000e+00,0.000000000000000000e+00,-8.392490555913643957e-03,0.000000000000000000e+00,-1.147094817640729320e-02,-6.501826625795223413e-03,0.000000000000000000e+00,-1.513741285258562302e-03,-1.390203039883746577e-02,-3.760090295248368075e-03,-2.167915426649026645e-02,-2.157187426624208176e-02,-1.486875687542161401e-02,-8.955439904275747098e-03,-8.224563059231700113e-03,-1.507849412961700941e-02,-1.424671311057994910e-02,-2.813259669026450804e-02,-1.158043634413375919e-02,-1.639754320758930045e-03,-1.225568958814115574e-02,-3.078060833189309731e-03,-1.771107188501688801e-02,-2.551471122711407302e-02,0.000000000000000000e+00,-5.995664132472745822e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.188081988860018035e-02,0.000000000000000000e+00,1.974226250328296739e-02,-9.395484204646496751e-03,2.106465653590540443e-02,0.000000000000000000e+00,-1.213084463487498765e-02,0.000000000000000000e+00,-4.977249724017335231e-03,-1.201207117975376659e-02,-1.332811553115692549e-02,0.000000000000000000e+00,-1.538316502622750527e-02,-6.987272389454235455e-03,-9.050355475732484167e-03,-2.504150310725372641e-03,-8.612562634182793775e-03,-9.006831685810394450e-03,0.000000000000000000e+00,-1.791583832097438933e-02,0.000000000000000000e+00,-7.316900484011429340e-03,-2.463758608324312718e-03,-1.459374061447735182e-02,0.000000000000000000e+00,-1.504167747996352708e-02,0.000000000000000000e+00,-3.294320036780674227e-02,0.000000000000000000e+00,-1.050399266072852764e-02,-1.704931490551911399e-02,0.000000000000000000e+00,-5.244391898181884060e-03,1.494536255287675502e-02,-1.070724331338382407e-02,1.938539921238504118e-02,-8.533992905008641605e-03,0.000000000000000000e+00,-1.628441479994200553e-02,-2.026218279012857726e-02,0.000000000000000000e+00,-1.668887998335639826e-03,-4.461069054072036577e-03,-1.468706067185068104e-02,-4.117233813458742731e-03,0.000000000000000000e+00,-1.025941733645985288e-02,0.000000000000000000e+00,-8.309429407348689622e-03,-3.341505136371991647e-03,0.000000000000000000e+00
-1.149320979823713340e-02,-1.425383930145573963e-02,4.959644872125711090e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.994041618139562405e-03,7.109681616602685217e-03,3.017807265694651131e-03,0.000000000000000000e+00,1.989944026893931961e-02,1.017333085353927524e-02,3.676513934163960773e-03,5.012673089726971121e-03,0.000000000000000000e+00,4.385802655344106515e-03,1.040152341991008866e-02,4.853332227179898289e-03,-1.070097241034517234e-02,1.142669038624830047e-02,0.000000000000000000e+00,1.475438630179368507e-02,7.448111733479277630e-03,0.000000000000000000e+00,7.671566666667406498e-03,9.435598651532504932e-03,2.245003494854178050e-02,2.989339007838594242e-02,9.809864077912247571e-03,8.775973334696721140e-03,1.572813042832718611e-02,1.707399528346420503e-03,1.855211921151143570e-02,6.867105108099281346e-03,1.846866362739679746e-02,2.136673143659355290e-02,1.411407215429631885e-02,5.358150128541440405e-03,0.000000000000000000e+00,-2.059511823272659747e-02,0.000000000000000000e+00,5.391237178060309665e-03,0.000000000000000000e+00,-1.362648165975818837e-02,9.522580720546690997e-03,0.000000000000000000e+00,6.314573199254824853e-03,0.000000000000000000e+00,8.267461675753040584e-04,0.000000000000000000e+00,1.073189003778760205e-02,5.554994425233002187e-04,7.784750569118268140e-03,2.425462623763970094e-02,3.939297344923325603e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.304499029005906030e-03,1.280542380051215984e-02,1.651200717079116115e-02,1.081242256570936165e-02,1.507594873844526895e-02,1.918043234085105644e-02,0.000000000000000000e+00,1.391231246625525969e-02,7.381721262044366183e-03,1.448603623290346809e-02,0.000000000000000000e+00,6.992953731774331771e-03,5.175543231204483841e-03,3.880375231474095243e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.309842280437760242e-03,0.000000000000000000e+00,2.512611407735745872e-02,1.759276790359767112e-02,0.000000000000000000e+00,-1.184216889326826505e-02,3.735760477844921046e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.973304823084385054e-02,-1.749388665715539970e-02,0.000000000000000000e+00,1.062494371212752142e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.416085848886535103e-03,0.000000000000000000e+00,-9.477844827610715228e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-5.467576913309235564e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.765221481628774167e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.608262998018552409e-03,0.000000000000000000e+00,-1.797445978927360993e-04,-5.336054743604094763e-03,0.000000000000000000e+00,-1.095360383026901252e-02,-1.681818417430706869e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.756862194583423853e-03,-1.413002237571981540e-02,-1.505392289182656829e-02,-1.207258026227518710e-02,-2.250342125986508346e-03,-1.285901542882197240e-02,-1.707518742374602994e-02,-8.398375066311462855e-03,0.000000000000000000e+00,-9.333405252577753330e-03,0.000000000000000000e+00,-3.123254093318360292e-02,0.000000000000000000e+00,0.000000000000000000e+00,-7.799507563570746288e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.289737149381306458e-02,0.000000000000000000e+00,-3.517417992034760008e-03,-1.036684555529704399e-02,0.000000000000000000e+00,-3.750876943915029682e-03,-1.090180585798614099e-03,-1.973431246942376066e-02,-1.210237268922083331e-02,-4.847102717410695788e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.282116843695047859e-02,-2.166261852102998459e-02,-1.584611205091468120e-02,-3.745495512433742735e-03,-1.254714180626819581e-02,0.000000000000000000e+00,-7.699550536583410834e-03,-2.278779102376520330e-02,-1.080219266976788217e-02,-3.315124959307962776e-02,-1.422790347600517979e-03,-1.625040712829012995e-02,0.000000000000000000e+00,0.000000000000000000e+00,-5.423440644165430924e-03,-3.192911746718801042e-02,-1.218698787361714372e-02,0.000000000000000000e+00,0.000000000000000000e+00,-8.038154580372665337e-03,-1.003657766471541951e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.232910454523927779e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.014610445491449103e-02,0.000000000000000000e+00,-1.318452130619907070e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.066896908026555346e-02,-4.715870910758424017e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
