s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
4.997352603822946548e-03,5.079171620309352875e-03,4.873097874224185944e-03,4.930051509290933609e-03,4.499024711549282074e-03,4.527903161942958832e-03,5.134982988238334656e-03,4.742455203086137772e-03,5.362627096474170685e-03,4.374005831778049469e-03,4.238295368850231171e-03,4.445835947990417480e-03,3.996998537331819534e-03,5.236402153968811035e-03,4.962214734405279160e-03,4.884316585958003998e-03,5.527088884264230728e-03,4.524940159171819687e-03,4.358310252428054810e-03,4.716846626251935959e-03,4.413986112922430038e-03,4.787974990904331207e-03,4.462603479623794556e-03,5.008095409721136093e-03,5.378521047532558441e-03,5.309398751705884933e-03,4.507770296186208725e-03,4.678650293499231339e-03,4.636257886886596680e-03,4.826568998396396637e-03,4.787100013345479965e-03,4.235364496707916260e-03,4.795576445758342743e-03,4.512703046202659607e-03,5.166917107999324799e-03,5.090647377073764801e-03,4.565819166600704193e-03,4.278226755559444427e-03,4.715004470199346542e-03,4.321322310715913773e-03,5.121588241308927536e-03,5.105010233819484711e-03,4.477954469621181488e-03,4.256142769008874893e-03,5.372445564717054367e-03,4.354231990873813629e-03,4.396141506731510162e-03,4.983605816960334778e-03,4.687988199293613434e-03,4.452178254723548889e-03,4.750366322696208954e-03,4.451269283890724182e-03,4.899455234408378601e-03,4.871576558798551559e-03,4.564167931675910950e-03,4.528386984020471573e-03,4.910827148705720901e-03,4.786259494721889496e-03,5.072067957371473312e-03,4.595892038196325302e-03,4.487575031816959381e-03,4.765264224261045456e-03,4.635599907487630844e-03,4.734679125249385834e-03,3.955226857215166092e-03,4.505004268139600754e-03,4.279041197150945663e-03,4.969541914761066437e-03,5.147006362676620483e-03,4.502742085605859756e-03,4.640914034098386765e-03,4.835197702050209045e-03,4.246941767632961273e-03,4.504873882979154587e-03,5.021542776376008987e-03,4.820478148758411407e-03,5.147502291947603226e-03,4.909191746264696121e-03,5.012659355998039246e-03,4.593383986502885818e-03,5.150457844138145447e-03,4.923199769109487534e-03,4.828179720789194107e-03,4.936209414154291153e-03,3.909171558916568756e-03,4.907647613435983658e-03,5.124200135469436646e-03,4.875184036791324615e-03,5.175881087779998779e-03,4.744283389300107956e-03,5.016375798732042313e-03,4.037634935230016708e-03,5.131220910698175430e-03,4.333908669650554657e-03,4.865865688771009445e-03,4.604794085025787354e-03,4.912684671580791473e-03,3.961955662816762924e-03,5.441958550363779068e-03,4.885878413915634155e-03
4.207496996968984604e-03,5.326773039996623993e-03,4.715127870440483093e-03,4.913689568638801575e-03,4.700504709035158157e-03,4.836113192141056061e-03,4.640629980713129044e-03,4.447693470865488052e-03,4.729771986603736877e-03,5.037671420723199844e-03,4.798536188900470734e-03,4.776423797011375427e-03,4.951281007379293442e-03,5.559362471103668213e-03,4.886903334408998489e-03,5.315168760716915131e-03,5.088824313133955002e-03,4.491140134632587433e-03,4.368678666651248932e-03,4.380491562187671661e-03,4.468093626201152802e-03,3.980018198490142822e-03,5.486520938575267792e-03,4.699498414993286133e-03,4.811875522136688232e-03,4.677123390138149261e-03,4.580166656523942947e-03,4.300337284803390503e-03,4.615016747266054153e-03,4.937598947435617447e-03,4.307810682803392410e-03,5.374015308916568756e-03,5.074494518339633942e-03,5.351947620511054993e-03,4.828844219446182251e-03,4.543385002762079239e-03,4.967823624610900879e-03,5.154974758625030518e-03,4.908814560621976852e-03,4.566724877804517746e-03,5.017318297177553177e-03,4.157345276325941086e-03,4.010868724435567856e-03,4.657173994928598404e-03,4.549297504127025604e-03,4.417099058628082275e-03,4.129533655941486359e-03,5.414731334894895554e-03,5.772362463176250458e-03,4.864387679845094681e-03,5.262893624603748322e-03,4.394459538161754608e-03,4.960908088833093643e-03,4.827829077839851379e-03,4.803117830306291580e-03,4.756491165608167648e-03,4.639163613319396973e-03,4.993373528122901917e-03,4.297700244933366776e-03,4.963938612490892410e-03,4.296029452234506607e-03,5.030971951782703400e-03,4.888577852398157120e-03,4.429326392710208893e-03,3.638914087787270546e-03,4.970968700945377350e-03,4.301560577005147934e-03,4.592039156705141068e-03,5.110425874590873718e-03,4.573286976665258408e-03,4.092813003808259964e-03,4.895470105111598969e-03,4.947786219418048859e-03,4.252345301210880280e-03,5.105519201606512070e-03,5.000103730708360672e-03,5.309530068188905716e-03,5.131408106535673141e-03,4.286084789782762527e-03,3.915359266102313995e-03,4.113412462174892426e-03,4.339795559644699097e-03,5.354263354092836380e-03,4.205130040645599365e-03,4.747695755213499069e-03,4.394392948597669601e-03,4.665076266974210739e-03,4.382214043289422989e-03,4.823995288461446762e-03,4.769130144268274307e-03,5.333452485501766205e-03,4.450734704732894897e-03,4.742061253637075424e-03,4.676818847656250000e-03,4.089422989636659622e-03,4.675853531807661057e-03,4.631127230823040009e-03,4.815957974642515182e-03,4.755265079438686371e-03,4.249824211001396179e-03
4.973698873072862625e-03,4.829462617635726929e-03,4.443251062184572220e-03,4.856689367443323135e-03,4.262656904757022858e-03,4.894963465631008148e-03,4.486626945436000824e-03,4.784395452588796616e-03,4.829107318073511124e-03,4.967477172613143921e-03,4.979861434549093246e-03,3.850758774206042290e-03,4.215888213366270065e-03,4.290800541639328003e-03,4.640473518520593643e-03,5.030912347137928009e-03,5.504456348717212677e-03,4.230219405144453049e-03,4.609882831573486328e-03,4.985239822417497635e-03,5.432935431599617004e-03,5.561260972172021866e-03,3.992219455540180206e-03,5.228660535067319870e-03,4.596411250531673431e-03,5.090430378913879395e-03,4.916553851217031479e-03,4.881515167653560638e-03,4.786300472915172577e-03,4.898549057543277740e-03,5.045342259109020233e-03,4.992762114852666855e-03,5.251839291304349899e-03,5.074212793260812759e-03,4.856355022639036179e-03,5.184724926948547363e-03,4.570207558572292328e-03,4.484655335545539856e-03,5.071041174232959747e-03,4.790454637259244919e-03,4.904954228550195694e-03,5.439367610961198807e-03,5.452718120068311691e-03,4.261070396751165390e-03,4.154426511377096176e-03,5.654275417327880859e-03,4.494155757129192352e-03,3.660604590550065041e-03,4.167128819972276688e-03,5.180798470973968506e-03,4.597540944814682007e-03,4.933519288897514343e-03,4.693487193435430527e-03,3.918298520147800446e-03,4.321217536926269531e-03,5.057801958173513412e-03,3.973005805164575577e-03,4.247621167451143265e-03,3.816003678366541862e-03,4.600403364747762680e-03,5.059885326772928238e-03,4.413024522364139557e-03,5.189678166061639786e-03,4.092068877071142197e-03,4.846016876399517059e-03,5.163398571312427521e-03,4.783823154866695404e-03,5.105097312480211258e-03,4.684202838689088821e-03,4.176020622253417969e-03,4.971049260348081589e-03,4.621096886694431305e-03,4.603190347552299500e-03,5.124745424836874008e-03,4.690625239163637161e-03,4.531511105597019196e-03,5.017718300223350525e-03,4.828704055398702621e-03,4.352324176579713821e-03,4.865669179707765579e-03,4.196154419332742691e-03,5.005121696740388870e-03,4.654113668948411942e-03,4.600794054567813873e-03,4.397383425384759903e-03,5.273181013762950897e-03,4.733541980385780334e-03,4.738437477499246597e-03,4.631531424820423126e-03,4.924169275909662247e-03,5.045854486525058746e-03,4.642198327928781509e-03,4.857311490923166275e-03,4.084107466042041779e-03,4.909841809421777725e-03,4.451109096407890320e-03,4.175180103629827499e-03,5.452226847410202026e-03,5.401179660111665726e-03,4.941191524267196655e-03
4.950019530951976776e-03,5.088339094072580338e-03,5.622421856969594955e-03,5.262701306492090225e-03,4.688286688178777695e-03,5.274461582303047180e-03,4.635720513761043549e-03,5.043511278927326202e-03,4.995719529688358307e-03,5.464872345328330994e-03,4.031300079077482224e-03,5.115357227623462677e-03,4.500458016991615295e-03,4.553052596747875214e-03,4.544240888208150864e-03,4.787572659552097321e-03,4.809677135199308395e-03,5.195656325668096542e-03,5.193293560296297073e-03,4.617262165993452072e-03,4.375220742076635361e-03,5.086830817162990570e-03,5.292352288961410522e-03,4.682704806327819824e-03,4.640438128262758255e-03,5.131978075951337814e-03,5.022081080824136734e-03,5.144704133272171021e-03,5.490463692694902420e-03,4.365189000964164734e-03,4.596236627548933029e-03,4.591173492372035980e-03,4.320534411817789078e-03,4.579414613544940948e-03,4.600444342941045761e-03,4.176125861704349518e-03,4.665875341743230820e-03,4.301811568439006805e-03,4.568153992295265198e-03,4.752792418003082275e-03,4.864690359681844711e-03,4.708289634436368942e-03,4.012270830571651459e-03,4.568522330373525620e-03,4.613726865500211716e-03,5.419461522251367569e-03,4.607787355780601501e-03,4.753178451210260391e-03,5.076278466731309891e-03,4.593902733176946640e-03,4.854108672589063644e-03,4.854380618780851364e-03,4.382757004350423813e-03,4.744566977024078369e-03,4.548922181129455566e-03,4.331794101744890213e-03,4.275497514754533768e-03,4.956590477377176285e-03,3.818937577307224274e-03,4.955106880515813828e-03,4.706913605332374573e-03,5.019499454647302628e-03,4.819366615265607834e-03,5.103669129312038422e-03,4.642182961106300354e-03,4.946997854858636856e-03,5.058951675891876221e-03,5.096311215311288834e-03,5.033858586102724075e-03,4.889165051281452179e-03,4.438269417732954025e-03,4.951534327119588852e-03,4.985932726413011551e-03,4.716848954558372498e-03,4.260524176061153412e-03,4.910845775157213211e-03,4.730972927063703537e-03,5.247774999588727951e-03,4.294972866773605347e-03,4.658529534935951233e-03,5.385428201407194138e-03,5.524798762053251266e-03,4.353157244622707367e-03,4.389397334307432175e-03,5.032881628721952438e-03,4.799506161361932755e-03,5.066186189651489258e-03,4.762078635394573212e-03,4.828965291380882263e-03,5.281992722302675247e-03,5.090584512799978256e-03,4.421437624841928482e-03,4.612327553331851959e-03,4.612303338944911957e-03,4.367427900433540344e-03,5.136162042617797852e-03,4.557675216346979141e-03,4.942835308611392975e-03,4.752993583679199219e-03,4.711273591965436935e-03
4.388399422168731689e-03,5.001482553780078888e-03,3.916932735592126846e-03,4.415545146912336349e-03,4.336259327828884125e-03,4.591805860400199890e-03,5.032974760979413986e-03,4.995345138013362885e-03,5.151109769940376282e-03,4.824153613299131393e-03,4.685234278440475464e-03,4.924026783555746078e-03,4.701617639511823654e-03,4.979133605957031250e-03,5.114548839628696442e-03,5.279853474348783493e-03,4.541189875453710556e-03,4.930902738124132156e-03,4.736913368105888367e-03,4.492490086704492569e-03,4.476494621485471725e-03,4.537540022283792496e-03,3.788073314353823662e-03,4.407491069287061691e-03,4.620037507265806198e-03,5.003601778298616409e-03,4.724569618701934814e-03,5.109260324388742447e-03,4.641954321414232254e-03,5.306440871208906174e-03,4.286840092390775681e-03,4.810357466340065002e-03,4.383316729217767715e-03,4.425362218171358109e-03,5.334825720638036728e-03,4.854834172874689102e-03,5.130483303219079971e-03,4.936256445944309235e-03,5.172834731638431549e-03,4.732679575681686401e-03,4.188492428511381149e-03,4.640859086066484451e-03,3.937392495572566986e-03,4.904116038233041763e-03,4.121268633753061295e-03,4.729033447802066803e-03,4.862633999437093735e-03,4.424156621098518372e-03,4.377319477498531342e-03,5.274969618767499924e-03,4.185708705335855484e-03,4.769795574247837067e-03,3.851582063362002373e-03,4.898465238511562347e-03,5.187726579606533051e-03,4.519316367805004120e-03,5.608151201158761978e-03,4.166139289736747742e-03,4.137568175792694092e-03,4.874781239777803421e-03,4.914517514407634735e-03,4.764371085911989212e-03,4.647824447602033615e-03,4.469799343496561050e-03,4.705794621258974075e-03,4.064348991960287094e-03,5.144084803760051727e-03,5.764074157923460007e-03,5.146474111825227737e-03,4.547365475445985794e-03,4.368479363620281219e-03,4.512874409556388855e-03,5.032740999013185501e-03,5.240099038928747177e-03,4.048458300530910492e-03,4.924708977341651917e-03,4.733982495963573456e-03,5.070461425930261612e-03,5.603281315416097641e-03,5.101165734231472015e-03,4.928463138639926910e-03,5.023413337767124176e-03,4.909213166683912277e-03,4.525346215814352036e-03,4.053550306707620621e-03,5.219999235123395920e-03,4.851833451539278030e-03,4.260235000401735306e-03,4.712649155408143997e-03,5.504935979843139648e-03,4.684256389737129211e-03,5.049470812082290649e-03,5.150342825800180435e-03,5.224869586527347565e-03,4.202956333756446838e-03,4.772207234054803848e-03,4.682129248976707458e-03,4.749169107526540756e-03,4.706140607595443726e-03,4.481625277549028397e-03
5.182708613574504852e-03,4.347062204033136368e-03,4.590777214616537094e-03,5.274884402751922607e-03,5.254250951111316681e-03,4.086047410964965820e-03,3.630856517702341080e-03,4.921506624668836594e-03,4.325813613831996918e-03,4.390974994748830795e-03,4.913302604109048843e-03,4.226410761475563049e-03,4.758105147629976273e-03,4.790876992046833038e-03,4.306853283196687698e-03,4.709114320576190948e-03,4.388545174151659012e-03,5.532390903681516647e-03,4.986753687262535095e-03,5.302289500832557678e-03,4.773892462253570557e-03,5.126123782247304916e-03,5.059338174760341644e-03,4.562881309539079666e-03,4.546778276562690735e-03,4.661455284804105759e-03,4.081594292074441910e-03,5.141198635101318359e-03,4.416541196405887604e-03,4.997108597308397293e-03,5.312184803187847137e-03,4.782992415130138397e-03,4.184893798083066940e-03,5.283167585730552673e-03,4.909068346023559570e-03,4.239276051521301270e-03,4.844299051910638809e-03,4.704407881945371628e-03,4.012884572148323059e-03,5.085443146526813507e-03,4.679603036493062973e-03,4.565749783068895340e-03,5.222748499363660812e-03,5.120708607137203217e-03,5.217763595283031464e-03,3.785425331443548203e-03,5.025001242756843567e-03,4.773441236466169357e-03,4.508026875555515289e-03,4.466405604034662247e-03,4.092844203114509583e-03,5.372124724090099335e-03,4.640257917344570160e-03,4.564507864415645599e-03,4.675094503909349442e-03,4.334921482950448990e-03,5.066166631877422333e-03,5.375210661441087723e-03,5.290560424327850342e-03,5.151068791747093201e-03,4.600811284035444260e-03,4.354950971901416779e-03,3.988692536950111389e-03,5.060060881078243256e-03,4.327331669628620148e-03,5.167841445654630661e-03,5.165748298168182373e-03,4.500116221606731415e-03,4.330953117460012436e-03,4.814326297491788864e-03,4.726390819996595383e-03,4.415178671479225159e-03,4.371273797005414963e-03,4.637564998120069504e-03,4.805582109838724136e-03,5.132121499627828598e-03,4.304232541471719742e-03,5.273118615150451660e-03,4.755504895001649857e-03,4.677844699472188950e-03,4.898727405816316605e-03,5.172530654817819595e-03,4.617834463715553284e-03,4.915567114949226379e-03,5.128728691488504410e-03,5.298033822327852249e-03,5.358907859772443771e-03,4.019327461719512939e-03,4.466973710805177689e-03,4.559287335723638535e-03,5.116196814924478531e-03,4.574852064251899719e-03,4.829721525311470032e-03,5.066058132797479630e-03,5.035568960011005402e-03,4.803026560693979263e-03,4.916749428957700729e-03,4.647824447602033615e-03,5.347170401364564896e-03,4.887671209871768951e-03
5.124195478856563568e-03,4.580290522426366806e-03,5.228578578680753708e-03,4.295276477932929993e-03,5.227271933108568192e-03,4.930753260850906372e-03,5.357964895665645599e-03,5.269648041576147079e-03,4.559865221381187439e-03,4.936040844768285751e-03,4.045081324875354767e-03,4.883551504462957382e-03,4.665122833102941513e-03,4.194248002022504807e-03,5.319022573530673981e-03,4.664296749979257584e-03,5.476599093526601791e-03,5.283137317746877670e-03,4.584336187690496445e-03,5.317702889442443848e-03,4.753963556140661240e-03,4.465833306312561035e-03,4.458097741007804871e-03,5.182829219847917557e-03,4.611686337739229202e-03,4.649009555578231812e-03,4.752716049551963806e-03,4.943161271512508392e-03,4.023290239274501801e-03,5.100831855088472366e-03,5.292643327265977859e-03,4.536997061222791672e-03,4.186911508440971375e-03,4.799399524927139282e-03,4.888362251222133636e-03,5.280369892716407776e-03,4.199612885713577271e-03,4.591849632561206818e-03,4.480529576539993286e-03,4.735777620226144791e-03,5.141956731677055359e-03,5.055688321590423584e-03,4.517866298556327820e-03,4.473787732422351837e-03,5.205613095313310623e-03,4.563032649457454681e-03,4.904348868876695633e-03,5.004190374165773392e-03,4.837166983634233475e-03,4.943527281284332275e-03,4.472280386835336685e-03,5.156754981726408005e-03,4.696865100413560867e-03,4.399241879582405090e-03,4.875817801803350449e-03,4.397671669721603394e-03,4.298832733184099197e-03,5.366074386984109879e-03,4.651704337447881699e-03,5.385594442486763000e-03,5.047298502177000046e-03,4.571155644953250885e-03,4.616567399352788925e-03,4.379980266094207764e-03,5.031738430261611938e-03,4.011316224932670593e-03,4.472462926059961319e-03,4.011062905192375183e-03,4.736649803817272186e-03,4.169167485088109970e-03,4.074651747941970825e-03,3.721005050465464592e-03,5.423313006758689880e-03,5.581735167652368546e-03,4.237213172018527985e-03,4.954946693032979965e-03,5.400728899985551834e-03,3.671261714771389961e-03,4.664772655814886093e-03,5.273230839520692825e-03,4.533016588538885117e-03,4.078298807144165039e-03,3.607064951211214066e-03,3.974067978560924530e-03,5.183739122003316879e-03,4.890684504061937332e-03,4.762042313814163208e-03,5.061549600213766098e-03,4.971853457391262054e-03,3.655517939478158951e-03,5.596372298896312714e-03,4.296728875488042831e-03,5.068250931799411774e-03,5.057682283222675323e-03,4.577045794576406479e-03,5.034842528402805328e-03,4.933332093060016632e-03,4.141867160797119141e-03,4.444177262485027313e-03,4.865096881985664368e-03
4.992056172341108322e-03,4.254484083503484726e-03,4.419263452291488647e-03,4.714264068752527237e-03,5.461625754833221436e-03,4.141422454267740250e-03,4.881929606199264526e-03,3.954683896154165268e-03,4.657925572246313095e-03,4.915606230497360229e-03,4.869683645665645599e-03,5.338463466614484787e-03,4.980920348316431046e-03,4.674041178077459335e-03,5.035009700804948807e-03,5.135109648108482361e-03,4.463368561118841171e-03,5.079665686935186386e-03,4.403949715197086334e-03,4.517336376011371613e-03,4.666285589337348938e-03,4.708589054644107819e-03,3.653441322967410088e-03,4.218792077153921127e-03,4.123294726014137268e-03,4.712128080427646637e-03,4.633237607777118683e-03,4.917501006275415421e-03,4.488810896873474121e-03,4.315765574574470520e-03,5.368968937546014786e-03,4.170250147581100464e-03,4.567657131701707840e-03,3.994053229689598083e-03,4.221785813570022583e-03,4.153688903898000717e-03,4.861886613070964813e-03,4.768089391291141510e-03,5.659368820488452911e-03,5.120710935443639755e-03,4.386703483760356903e-03,4.570543766021728516e-03,5.080578848719596863e-03,4.559439141303300858e-03,4.408943001180887222e-03,4.232843406498432159e-03,4.426205065101385117e-03,5.150013137608766556e-03,4.525655414909124374e-03,5.290831439197063446e-03,5.238126032054424286e-03,4.664549604058265686e-03,5.340605508536100388e-03,3.957823850214481354e-03,4.753866698592901230e-03,4.889559466391801834e-03,4.118470940738916397e-03,4.537669010460376740e-03,4.476821515709161758e-03,5.020420532673597336e-03,4.880403634160757065e-03,4.496441222727298737e-03,4.897718783468008041e-03,4.348032176494598389e-03,3.905329620465636253e-03,5.389587953686714172e-03,4.626594483852386475e-03,4.530169069766998291e-03,5.373704712837934494e-03,4.646979738026857376e-03,5.490722134709358215e-03,5.051849875599145889e-03,4.931913688778877258e-03,4.753830377012491226e-03,5.512971896678209305e-03,5.210949573665857315e-03,4.563461523503065109e-03,4.738937132060527802e-03,5.022476892918348312e-03,4.755646921694278717e-03,4.830427467823028564e-03,4.902082961052656174e-03,4.858122672885656357e-03,4.013136029243469238e-03,4.595004022121429443e-03,4.699380137026309967e-03,4.961602389812469482e-03,4.766659345477819443e-03,4.155448637902736664e-03,4.466060083359479904e-03,5.074937362223863602e-03,5.411486607044935226e-03,4.765342921018600464e-03,4.772302228957414627e-03,4.244422074407339096e-03,4.684133920818567276e-03,4.629423376172780991e-03,5.153434351086616516e-03,5.312184803187847137e-03,3.801708342507481575e-03
4.975503776222467422e-03,4.034027457237243652e-03,4.274324513971805573e-03,4.274070728570222855e-03,4.257214255630970001e-03,4.379718098789453506e-03,4.939930047839879990e-03,5.149314180016517639e-03,5.361523013561964035e-03,4.873553756624460220e-03,4.451381508260965347e-03,4.458440467715263367e-03,4.748560953885316849e-03,4.834759980440139771e-03,4.830721300095319748e-03,3.545253304764628410e-03,4.914619959890842438e-03,4.169737454503774643e-03,4.015778191387653351e-03,3.908822312951087952e-03,4.451778717339038849e-03,4.217177629470825195e-03,5.111116915941238403e-03,4.794495645910501480e-03,3.923531621694564819e-03,4.620982799679040909e-03,4.543436691164970398e-03,4.263992886990308762e-03,4.399302415549755096e-03,4.623213782906532288e-03,4.941367078572511673e-03,5.089869722723960876e-03,5.106051918119192123e-03,5.093236919492483139e-03,4.307914525270462036e-03,4.971122369170188904e-03,5.008620209991931915e-03,5.439986940473318100e-03,4.693099763244390488e-03,5.050786305218935013e-03,5.093865096569061279e-03,4.853519145399332047e-03,4.800337832421064377e-03,3.907101694494485855e-03,4.727491643279790878e-03,4.582469351589679718e-03,5.015492904931306839e-03,5.002977792173624039e-03,4.586802329868078232e-03,5.172452423721551895e-03,5.121209193021059036e-03,4.339435137808322906e-03,4.010658711194992065e-03,4.877041559666395187e-03,4.762729629874229431e-03,4.687191452831029892e-03,4.768913146108388901e-03,4.471456632018089294e-03,4.966850392520427704e-03,3.896250855177640915e-03,4.519607871770858765e-03,4.922055173665285110e-03,3.821461927145719528e-03,5.287931300699710846e-03,4.181495402008295059e-03,4.764752928167581558e-03,5.605332553386688232e-03,4.339859355241060257e-03,4.806916695088148117e-03,5.127578042447566986e-03,4.982321523129940033e-03,4.970297217369079590e-03,4.808801226317882538e-03,4.511430393904447556e-03,4.459255374968051910e-03,4.987238906323909760e-03,4.593174904584884644e-03,4.565214272588491440e-03,4.609953146427869797e-03,4.469758830964565277e-03,4.474660847336053848e-03,4.898432642221450806e-03,4.954594187438488007e-03,5.023192148655653000e-03,4.794641397893428802e-03,5.131016485393047333e-03,4.990924149751663208e-03,5.302355159074068069e-03,4.528683610260486603e-03,4.514316096901893616e-03,4.942202009260654449e-03,5.309026222676038742e-03,4.511584993451833725e-03,4.764264449477195740e-03,4.397807177156209946e-03,4.933610558509826660e-03,4.827959928661584854e-03,4.138322547078132629e-03,4.466969519853591919e-03,4.914829973131418228e-03
5.092495121061801910e-03,4.847783129662275314e-03,4.442272707819938660e-03,4.573293495923280716e-03,5.579920019954442978e-03,5.091377068310976028e-03,4.493411164730787277e-03,4.935043398290872574e-03,3.558753291144967079e-03,4.947774577885866165e-03,4.807021003216505051e-03,4.333641380071640015e-03,4.450234118849039078e-03,4.841750487685203552e-03,4.804820753633975983e-03,4.887230228632688522e-03,5.015497561544179916e-03,4.338657949119806290e-03,4.742001183331012726e-03,5.147731862962245941e-03,4.360537044703960419e-03,5.358894355595111847e-03,4.901139065623283386e-03,4.657110199332237244e-03,5.151359364390373230e-03,4.909760318696498871e-03,4.097644239664077759e-03,5.533860065042972565e-03,4.766352009028196335e-03,4.763791803270578384e-03,4.792155232280492783e-03,5.342052318155765533e-03,5.275237839668989182e-03,5.198952741920948029e-03,5.298153962939977646e-03,4.625459201633930206e-03,4.088487010449171066e-03,5.104494746774435043e-03,5.428477656096220016e-03,5.268583539873361588e-03,3.927594516426324844e-03,4.274740349501371384e-03,4.485089797526597977e-03,5.794774275273084641e-03,4.194088745862245560e-03,4.255855921655893326e-03,4.517072811722755432e-03,4.239571280777454376e-03,4.208883736282587051e-03,3.854081733152270317e-03,4.817503038793802261e-03,4.670776426792144775e-03,4.903913941234350204e-03,4.635041113942861557e-03,5.125722382217645645e-03,4.950595088303089142e-03,4.422512371093034744e-03,4.850406199693679810e-03,4.828892182558774948e-03,4.400983918458223343e-03,4.914393648505210876e-03,4.420845769345760345e-03,5.137841217219829559e-03,4.450115840882062912e-03,5.325712263584136963e-03,4.393735900521278381e-03,5.103024654090404510e-03,4.755746107548475266e-03,4.656020086258649826e-03,4.751996602863073349e-03,5.343253724277019501e-03,4.501380957663059235e-03,4.181177821010351181e-03,5.020551849156618118e-03,4.378713667392730713e-03,4.910382442176342010e-03,4.721724893897771835e-03,4.803607705980539322e-03,4.728732630610466003e-03,4.229564685374498367e-03,4.557824693620204926e-03,5.243607331067323685e-03,4.239561501890420914e-03,4.716425668448209763e-03,4.949739668518304825e-03,4.502819385379552841e-03,4.478339571505784988e-03,4.719350021332502365e-03,5.383428651839494705e-03,4.707284271717071533e-03,5.336076021194458008e-03,4.700567107647657394e-03,4.563684575259685516e-03,4.920070525258779526e-03,4.861888941377401352e-03,4.765250254422426224e-03,4.225329495966434479e-03,4.877699073404073715e-03,5.178162362426519394e-03,4.478182177990674973e-03
