s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
-2.711099333529603476e-03,-1.986870080646349797e-03,1.315881703076697692e-04,8.357048529849514908e-04,-7.466354556450513621e-04,1.661935156925964212e-03,-1.758948585205579503e-03,-1.634286935340402338e-03,-2.875083249418790808e-03,-1.283460633248952997e-03,-4.568988090842817382e-04,-1.612041198380519081e-03,2.448796197579206541e-05,1.463375550889366400e-04,-2.613477165324174390e-03,1.083369828575776392e-03,-4.745729086112343564e-04,-3.687498619342355496e-04,-2.398538492942982412e-03,-1.437237919197767661e-03,-6.392365484429358719e-04,-6.420897737711784084e-04,-1.149952525342564681e-03,-2.799398676305711120e-04,-7.631560946555072510e-04,8.823437202707539069e-04,-3.445148755989967657e-04,1.314679059618099541e-03,3.896942875511659292e-04,1.760092140772434718e-03,-3.090180443645824981e-05,1.199132312716626788e-03,1.126637118508519398e-03,1.446339845385243407e-03,-3.761867522158775646e-04,-8.948242203694018002e-05,-6.835275253643133221e-04,-1.034608052570327010e-03,-1.832535728272339723e-03,2.614887269499248856e-04,6.734487330510390262e-04,-9.083433254986601844e-04,-1.272895003806336989e-03,-2.205102380464086034e-03,-4.516363244472349284e-03,-2.141716242668770167e-03,-1.084039761104563671e-03,-8.208106692464165821e-04,3.752804347048321063e-04,-7.311079656308232862e-04,1.160106799793382288e-03,-1.031520009888177832e-04,-3.432373873173608894e-04,-8.581132299561869880e-04,-8.034394355507681711e-05,6.420148318993763132e-04,-1.782110307435683626e-03,5.656810991390645322e-04,-7.315746583978577713e-05,-1.415254700355483798e-03,-1.943695887772737326e-03,-1.891319349117272881e-03,1.042475662093710325e-03,4.494976330368601779e-05,-1.987391902809012255e-03,-3.168660686766694955e-03,-2.376070603751899045e-04,-1.048082468710161705e-03,-1.718988490296263945e-03,-1.820223627364050837e-03,-2.597953639743809211e-03,-8.232978291511898342e-04,-3.502311784373970862e-03,-4.763614550813807975e-04,-2.783965202549388293e-04,-2.333137581053957438e-03,-1.423712969666858248e-03,-1.138311235043176035e-03,-3.146840407137272387e-03,2.779705796707758947e-04,-1.597724366106788134e-03,-1.285756998394345374e-03,-4.819693857001923856e-04,3.904832895179386029e-04,-3.296970487827034606e-03,-3.072995449973602890e-03,-2.734533330548932339e-04,-5.185472454347850790e-04,-7.509680671699297443e-04,-9.508871560262098337e-04,-8.755204475704335887e-04,5.605430546542184778e-04,-2.215304674558053483e-03,-2.340339771430050789e-03,-1.756654928870201963e-03,-1.663987546138748393e-03,-6.436835695776193730e-03,-2.083147156079577251e-03,2.264142370883002499e-03,0.000000000000000000e+00
-2.024443432476499393e-03,-1.931694768757234379e-03,1.808371889191812327e-04,-1.083553413412883908e-03,-1.747435140561655288e-03,-1.098331005693114733e-03,-2.817041910160913163e-04,-1.372379835154079750e-03,3.355216614251502883e-05,-1.874289766275819826e-04,-3.950971179591288083e-04,1.020922100276116466e-03,-1.821684592485724175e-03,5.118737281854606434e-04,2.512685147451915331e-04,1.622006091685348388e-03,8.065053349719746413e-04,-1.372343310510826947e-03,-3.632708052024218384e-03,-1.395063649088705950e-03,-4.252311884747352034e-04,-1.600303534944838612e-03,-1.431101763015689421e-04,-2.142146310716333785e-04,8.353889374571856147e-04,1.948648534050396878e-03,-3.208751162379297971e-04,-2.639457559709834796e-04,-1.959274757758832459e-04,4.759055556273202947e-04,-6.599847878482196758e-04,9.963479474056574723e-04,1.406874608261058344e-04,6.779998371449096929e-04,-4.402912852984534170e-04,5.669991392437644107e-04,1.533690743196860704e-03,-4.103292952040006971e-04,-3.378000200158366153e-04,-2.852663361119974709e-03,3.634896641579377281e-04,-1.837033955378247936e-03,-1.989308850481604808e-03,-2.365318375380634497e-03,-3.062809345273215505e-03,-1.344213289784183763e-03,-4.692553705890462751e-03,-2.162454147436541994e-03,-8.507734397174040704e-04,-2.974291539789384198e-03,-2.559483776273237515e-03,-1.945399575510242110e-03,-2.978125442929250438e-03,-2.126073533085389659e-03,-1.836082444633428765e-03,-2.722138593877783570e-03,6.784635876402547337e-04,-1.384079971520262107e-03,-7.714958815922020978e-04,-9.260329360777112481e-04,-1.626631302671056314e-03,-4.834161653130287714e-03,-2.392231479436041520e-03,-1.660790098890076779e-03,-1.172311187216227863e-03,-4.666874295788430750e-03,-4.028893170704722464e-03,8.593061431052885805e-04,-3.773059738556848973e-03,-3.127766775459154061e-03,-1.025013649589925869e-03,-2.301897435496286400e-03,4.030659953488326835e-04,-2.258082216367396020e-03,-4.778570105649318934e-04,-1.739994311570847922e-04,-1.359907395982395354e-03,-1.359016081452136702e-03,-2.559771736981167681e-03,-1.694395695938460955e-03,-3.473780810209564900e-03,-1.607316738646490236e-03,-3.357834724441584491e-03,-2.970395014893462138e-03,-4.570537451183807713e-03,-1.401014537040742945e-03,-1.650416092098443924e-03,-2.244368442321185379e-03,-7.853013979778370682e-04,-1.305323219907331654e-03,3.277558692330852447e-04,-2.190644960076990402e-03,-2.518080588197400740e-03,3.388135099527350789e-04,7.874387013457342065e-04,1.131039671459259854e-03,-2.304848344327114015e-05,2.845662087177408301e-04,-2.031988008739069995e-03,0.000000000000000000e+00
3.104105533312641243e-03,9.632503281935385570e-04,2.059343616207665994e-03,2.075577897204351936e-03,5.674030140499906243e-04,3.774030294069540361e-04,1.826309321032847360e-03,-1.169386881228853901e-03,7.950253743503704574e-04,-7.891474128066482650e-04,1.218181728199058518e-04,-1.113814751058968353e-03,6.672700459398625637e-04,-2.667671265173293844e-03,-1.823677707369296712e-03,-1.442042470033202668e-04,-1.154182246737317551e-03,4.336112168644980181e-04,-2.491473605807251711e-03,-1.184574971371510658e-03,1.258831521905643454e-03,-8.582482250072418287e-04,-1.032571874599023118e-03,4.198970868312270721e-04,-9.372525017143063485e-04,1.757457403494486767e-03,3.283836036866748850e-04,1.107681252236984888e-03,-3.924960136920393008e-04,4.179126808542426609e-04,5.431217394056961009e-04,4.435221995691047991e-04,-7.750248997313462012e-04,-8.459434990111394182e-04,-7.408336447400348931e-04,4.205279713717425573e-04,-2.987898418596811301e-04,1.062875355857724816e-03,-9.839163143077032128e-06,3.909016262760604474e-04,-2.095154893978735337e-03,-5.530371370572978408e-04,5.259122463135235213e-04,-6.756823786806721464e-04,2.873028842016956070e-04,-1.613105561730431145e-03,-2.319252849644298873e-03,-4.270540957289450153e-04,5.172813652359954965e-04,-1.349861358957082534e-03,-1.415689245162538631e-03,-1.290169726509071517e-03,-1.612868000501893172e-03,-1.380666958788176035e-03,-3.772828964044926234e-04,-4.578240442235609700e-04,8.420675381801448174e-04,-1.646079509459727605e-03,-2.457439435437044125e-04,6.025700426321493018e-04,-1.032128279065512664e-03,-7.434536821624975356e-04,-2.757493778899912634e-04,-5.061758194443928592e-05,-3.985596042697077206e-04,-1.334087852904259231e-03,-5.896802279625485560e-04,-2.067118980764667130e-03,-3.417939879302265161e-03,-4.548359011955402029e-03,-3.697037488243510098e-03,-2.837041350950055690e-03,-3.019965194918798005e-03,-3.586955879376311097e-03,-1.756346150207478772e-04,-2.630373092390422222e-03,-1.695583420270796969e-03,-3.077983437085228535e-03,-1.975034543386963975e-03,-5.248721151376187439e-04,-2.269073243659778475e-03,-2.924687029002054697e-03,-2.657654154963873510e-03,-5.248495353083446101e-04,9.906081808204721746e-05,-1.774714613396854729e-03,-1.457149278385143311e-03,-6.612925953499837863e-04,-3.094775684442413032e-03,-2.127526509926065592e-03,-1.895468497473072047e-03,-3.084675882055519058e-04,-5.361440607202934937e-04,2.010818482887459773e-04,-1.531823906917770348e-03,-5.850917466544765678e-04,-2.066119273617965304e-04,2.845268756816088287e-03,-1.832000969743330420e-03,0.000000000000000000e+00
-1.016207266790463727e-03,1.043619154734334040e-03,1.596156028183070403e-04,-3.630968088659768914e-04,1.498569554183891211e-03,5.935179974687475758e-04,-7.963237994610295346e-05,-2.341691941419495331e-04,-1.674542807080540855e-03,1.654029772218055345e-03,-1.434970342752589370e-03,-3.009400722092904316e-03,9.885300680933049172e-04,-5.381829311114562798e-04,1.844307860495805577e-03,-4.708008927704332154e-04,-1.328878207042301406e-03,5.924587468877279056e-04,-3.081613300566164379e-03,-6.210954208941962883e-05,-3.571443916312730654e-03,1.015868103431151080e-03,4.293767097019747904e-04,-2.882954385322741668e-03,-8.242859509882258977e-04,-2.861379160536471102e-04,5.564479516054599657e-04,-2.433832448850268507e-03,-3.602937873963487801e-04,-4.432912405724357329e-04,-1.476449417180132791e-03,-1.803343401604327921e-03,1.664701166127648515e-03,5.544989567239023065e-04,1.004749289548645787e-03,-1.681707344391675501e-03,3.699294036689126019e-04,1.653520794372218732e-03,1.523237791380334133e-04,3.927782868008029036e-06,1.256510472935959237e-03,1.054706368834854458e-03,1.588652170922245617e-03,7.688748459813387042e-04,4.745799301022799008e-04,1.229561033744339246e-03,-3.557756834912970492e-04,3.653805413409831095e-04,-1.516826558285178377e-04,5.911748098762579368e-04,-5.766528746716442300e-04,2.673806103380011522e-06,1.758530842834735066e-03,-1.005367762563428701e-04,7.493705914698166630e-04,1.800150703824496441e-03,-3.626415189369350896e-05,1.278844869346931258e-04,-2.549956610434571630e-04,3.608314490634764965e-04,8.067559657529996351e-04,9.690123391578769590e-06,-4.894570997101056233e-04,4.273102615817498317e-04,1.744035173134146676e-03,1.849059914656140443e-03,1.019800701266858995e-03,1.172516525707652290e-03,1.020228746954587569e-03,1.026886148297423678e-03,1.503764221752790274e-03,2.561888633920775694e-03,2.150636898303196138e-05,1.094750456280917800e-03,1.758930163286824078e-03,5.182671257715313088e-04,3.625215079392327014e-04,-4.911862641707673022e-04,1.358481243325332030e-03,-1.091679222005642732e-03,9.915329329504246440e-04,7.938599104454190916e-04,5.121074296164161536e-04,1.122609216960156111e-03,-6.937360822560059617e-04,-1.866432620354559072e-03,-4.453291695116339010e-04,1.118824009648972952e-04,-1.592268054714768722e-03,2.006142988059270073e-03,-1.455712694727702081e-03,8.619611765403923948e-04,9.990482748853748724e-04,-8.037820960855060438e-04,-7.780898305121994145e-04,-1.454277139331488534e-03,2.985192366063453757e-04,1.323559809271385342e-03,-1.483511161899285719e-03,0.000000000000000000e+00
-8.494435679909644477e-04,-8.738470332113304657e-04,8.070809338112665439e-04,2.276877359568307054e-04,2.896047436938113480e-05,3.095720157723041814e-04,1.191321853843206385e-03,4.669243607771027629e-04,-7.914698226517573104e-04,3.807034922230517369e-04,1.250511352413830480e-03,1.402086314006539824e-03,-8.537185632782718454e-04,-2.805553566246069627e-06,-8.180198283705389546e-04,1.077498847999283941e-03,1.070470045568556539e-03,1.179763864744946995e-03,-9.319594910687599822e-04,-9.338981991560166111e-04,-6.632814609738527795e-04,2.776927014729223481e-04,-8.240020013412437420e-04,6.223525424378123668e-05,3.605631199175539652e-04,1.171812780478861818e-03,-1.270331498740022078e-04,-1.898092454705685526e-03,-8.302614548782360961e-04,2.394239254322726987e-04,-1.217464449545091389e-03,-8.780216057060947522e-04,-7.432101887052684330e-04,-8.202645969578170192e-05,3.505071529517272489e-04,-7.589077055643705634e-04,1.393132126214899694e-03,-6.550577242203149166e-05,-1.921996500883675499e-03,-1.039595603081704513e-03,2.889971623586016044e-05,1.157309641464335671e-03,1.013738118707406999e-04,1.079500420634775060e-04,1.283439207337351865e-03,3.203792138344305532e-04,-9.564979471523872828e-04,2.516276115024487022e-04,3.129056787351283632e-04,5.738779014855275922e-05,7.489851826060976410e-04,3.794629868084139069e-04,-3.505316921953922134e-04,5.223436248997917258e-04,1.684912642440433098e-04,3.895014547062614096e-04,-4.624613046987758702e-04,-4.907595144927249077e-04,1.297490217224980943e-03,9.345349888191170759e-05,2.668702479915945427e-04,3.197842281236361783e-04,1.194474367879341846e-03,1.778158393095018511e-03,1.819981716500144618e-03,1.136134627135792965e-03,1.124436227791787094e-03,1.145099986809160111e-03,1.107589389854866458e-03,1.881719973771337233e-03,1.940051126349544037e-03,1.083914899715804304e-03,3.267373725206723081e-04,1.084735356938006578e-03,1.581281274471032735e-04,4.262095401912707141e-04,-4.390360908092204024e-04,-2.849388682947541192e-04,-1.047168430523294112e-03,2.472874185943183391e-04,4.709504321959692079e-04,-1.882806199958507107e-03,4.602836759538156235e-04,1.216049767787182002e-03,-1.056225286605065681e-03,4.738093403953640799e-04,3.866720355127828326e-04,-1.094227646534378252e-03,-5.780090871148212177e-05,7.845112660020275852e-04,8.580311078341565194e-04,-1.281202332516186626e-03,-3.764042982198733799e-04,-1.373483908222877109e-03,-4.222259693729269576e-04,1.093235150416286324e-04,8.060889534052960610e-04,-1.120542945456596455e-03,-1.050909702018674357e-03,0.000000000000000000e+00
-1.466982532379459666e-03,-7.348880198951546986e-04,-1.440968862613273933e-03,-1.486194784381318721e-03,-7.464976977596547887e-04,-9.760285827439080198e-04,2.129622010043044265e-04,1.770999811357189431e-03,-1.074984304724726537e-03,-5.194376470225585716e-05,-3.123973377251617039e-04,1.380836028071142935e-03,-9.050992228196000399e-04,-6.980278083726659420e-04,-9.800833050977485802e-04,-1.190174954364830469e-04,-8.845784349110594365e-04,5.348871991721422699e-04,-1.084332309751619237e-03,-2.167697347547664372e-03,-1.180853193738646591e-03,1.647772152688308487e-04,-6.184692229124098481e-04,1.159113616668937079e-03,2.158637244267734004e-04,7.293978930705490547e-04,-7.419874712936527002e-04,1.433121078052367178e-03,1.289247735999902609e-03,9.837606615264277935e-04,9.709033972937736829e-04,5.422100493937428945e-04,-1.506617493002820722e-04,9.118527539476560398e-04,9.737976227547425097e-04,2.369054839031192717e-04,8.286499501300736720e-04,7.513675057044857377e-04,-9.518397967833978381e-04,-1.640710244211447590e-03,-6.378892561960677150e-04,-2.592365670732586129e-04,5.407542476858860766e-04,-1.307701870381233322e-03,2.938185404797128493e-04,-2.248083437069599267e-04,-1.604094845392088067e-04,-4.302287738996852769e-04,-2.467816154277740711e-04,-1.215203888994053055e-03,-9.754318749009154065e-04,-8.629725103984402452e-04,-1.321926863286396539e-03,5.439936626179089950e-04,-1.203112424478273925e-04,-9.946373944148120469e-04,-1.311602251527589809e-03,-1.107100667407218868e-03,-1.632404925104039440e-03,-4.932673601945340627e-04,-2.271582119888676098e-03,-7.106142443349995359e-04,-1.251810381978682961e-04,-1.405705343198455914e-03,-9.246265205353038866e-04,-1.374054036801850671e-04,3.691565829286901144e-04,-6.588952239244442533e-04,-8.295977885272757613e-04,-7.537043228448308445e-04,-2.947165763191569691e-03,-1.595156999900277511e-03,-2.992282000398950917e-04,-2.336305101266079615e-03,-1.705643032809060983e-03,-1.976659134345674310e-03,-2.179678793165700651e-03,-3.346881052708271242e-03,-1.876559113642138317e-03,-1.001422126224587933e-03,-1.778711303807909263e-03,-7.458977786416400198e-04,-1.284179423305444176e-03,-2.721230158109851863e-03,-9.223163005716693980e-04,-2.707711523139622132e-03,-2.476047457731570846e-03,-2.125361625122455626e-03,-2.103910201555848902e-03,-1.427691803732570545e-03,-2.078643470488516880e-03,-8.998069455060056943e-04,-3.115559831606125926e-03,-9.910356111123095474e-05,-1.311692828247999201e-03,-4.450263954772575546e-03,-3.071010763992132898e-03,-2.647526184461849747e-03,-5.775832818048092648e-03,0.000000000000000000e+00
-1.810840613996204116e-03,-2.152939873982088071e-03,9.004887136948012711e-05,2.990477595123906384e-03,-8.385353179099791108e-04,-5.394462643449212357e-04,8.601440065184092084e-05,-1.247577733214195669e-03,-4.486227071419553181e-04,1.284100285202872862e-03,3.458191788606649166e-04,1.555303605242301006e-03,1.980669044475717386e-03,1.622539147564362955e-03,2.109850031463608982e-03,2.189749157806255425e-03,2.021342536474375964e-03,-6.020463329762183041e-03,2.726605730581484633e-03,-2.733852222002211910e-03,1.484278516569052190e-03,8.572945164609343301e-04,1.624214842286145254e-03,2.059764114853675568e-03,-2.958281620886103053e-03,1.377789544452779008e-03,-1.864935885701196920e-03,2.154029247127239692e-03,-3.471576393259432296e-05,1.486737579143171915e-03,-7.750361501097875533e-04,1.279307808960014137e-03,-2.012751262760167047e-03,-2.749081758574245093e-03,-1.538346273129937401e-03,-4.152394101841588338e-03,-2.753097332745394095e-03,-4.595885982714639773e-03,7.734814875877675956e-04,-4.241863478568132402e-04,7.079379671072485677e-05,-8.611379503953038974e-04,-1.046797719865871041e-03,-2.266768593943242413e-03,-1.724949183154122654e-03,-1.466967703823951388e-03,-6.676234776312148537e-04,4.823678422889076051e-04,9.176333514462831553e-04,-1.649412571968702926e-03,-1.677099856968091145e-03,1.246709422284026682e-03,-3.424253137297645407e-03,7.367059752821353670e-04,-4.543633017270688941e-04,3.678006901911605128e-04,-3.754783611444603643e-04,-4.961141034293006877e-04,-5.656389793447048680e-04,-3.462289331452731486e-03,2.481220893361531471e-04,-2.009734323088470474e-03,1.639395044161546036e-03,1.037102240005861138e-03,-2.288649900733170147e-04,1.989143166089437417e-03,1.819633554893475757e-03,1.752172745384906766e-03,8.317200658988054950e-04,3.272439936237383877e-03,-4.998875545548649938e-04,1.074902671325855558e-03,1.697950620285454447e-03,5.730712390922871767e-04,-5.723587661895729800e-05,3.875943022704893487e-04,1.697935516316521030e-03,9.418460619542132521e-05,1.948193765566181819e-03,1.718853703602518104e-04,-4.552980443911829533e-05,1.842109300147812831e-03,2.366841727081919148e-03,7.405793742476466518e-04,9.822717169687112358e-04,1.079921387233717710e-03,-4.647967389378104223e-04,-1.653720133467787891e-04,-1.365877826136065089e-03,1.009133802024334047e-03,1.050681620177969016e-03,8.547987773715956267e-04,-1.712122979922213201e-03,-1.861606040800545259e-03,-8.656263235491168156e-05,4.268937694024378324e-04,-1.576134649273234654e-03,-2.018873712768902082e-03,-2.074820132531551928e-03,0.000000000000000000e+00
1.392516497151184696e-03,1.300158205735354522e-04,4.361811067057443092e-03,-1.612566059888082730e-03,1.771757468860480061e-03,-4.866764701294846182e-04,-1.093934373111389623e-03,-2.370289829745469631e-03,1.097606641518110221e-03,1.322750351466121972e-03,-7.367000493447077808e-05,1.464727470391752112e-03,1.891648069731816572e-03,-5.900185194810345438e-03,-1.814829258612270712e-03,-8.750927428554010346e-03,2.738634995743579378e-03,1.929489244827985736e-03,2.549973777870491193e-03,1.670093805433945982e-03,2.262931774550098682e-03,-9.607012113547122719e-04,2.337783479256748832e-03,-2.862573706940018444e-03,2.314592176191437173e-03,3.054461920899905879e-03,-1.510474125723255956e-03,-1.411767448941311613e-03,2.613071442352337716e-03,2.063951268907873900e-03,2.664195881348739928e-03,-4.468638561006006552e-04,6.919440645706339968e-04,-6.400812508143015377e-04,-2.992320698997301149e-03,1.436906891657192906e-03,-3.045082645509183169e-03,3.368845980293550630e-04,-7.426749643959363982e-04,-2.824443312071235439e-03,-2.467589791362754907e-03,5.587561768447918365e-05,2.887171948633144702e-03,1.969639809634920330e-03,-2.727717059129158763e-03,-8.858523503981593963e-04,3.734667359146063583e-04,-6.021565342116869980e-04,-2.088754368558654907e-03,1.559683661347218819e-03,1.645014008494525594e-03,-1.153039461134292633e-04,-1.994667700778485035e-03,9.716581797509920041e-04,-2.834244360452757355e-04,-7.321598449518287952e-04,-1.761100392498028905e-03,7.277069325724963870e-04,1.917083618665954819e-03,-2.049327787524606818e-03,-2.358889186628268259e-03,2.223405301119397558e-03,2.312584334375212755e-03,3.012340732226058068e-03,2.997023053114320802e-03,1.316855388136285937e-03,4.634235912029870900e-04,1.192259289958400807e-03,6.979194417595371239e-04,1.455034887122149193e-03,-8.086757342104789999e-04,6.350667456260202307e-04,8.354542768870883585e-04,4.676758343199833636e-07,1.410823926951860390e-03,6.292883624147755815e-04,2.378779338090321500e-03,3.309770648783876956e-03,1.656077370052957401e-03,1.439300028350865837e-03,8.422838583671760429e-04,-1.432658258329685399e-03,6.215712703004060971e-04,-1.963575227198994383e-03,-7.204376593275290839e-04,-2.463297348111700199e-03,-1.251577070230246126e-03,-1.688720027802916978e-03,3.776306627190723075e-03,3.972532421524246579e-05,1.126361553040074225e-03,1.267703407008565050e-04,-1.374320663830019005e-03,4.468838003134984393e-04,1.566941173846965549e-03,3.090379230734983072e-03,-2.399989988169943383e-03,-2.776036914459527045e-04,-1.972540301581294717e-03,0.000000000000000000e+00
2.487854693731002395e-04,-1.399667115480437334e-03,-2.390592223662209932e-04,8.684158659555340446e-04,-4.516176966898432631e-04,-1.327348245767135922e-03,-4.275768883829311707e-04,-4.713924199556350481e-04,-1.416419150304970651e-03,-4.089572373318205861e-04,-1.453958700102976663e-03,4.397579471556695938e-05,-1.883568729873135632e-03,6.940554114205623945e-04,-5.651681120362571505e-05,-7.134487995046378585e-05,-8.483441062602091898e-04,-5.299910014351718208e-05,3.884849541967180884e-04,-1.241769068394541755e-03,-1.743639360500419400e-03,-5.654691583120782664e-04,-7.832986202504125346e-04,-1.091388333159114873e-03,-1.254418362886160774e-03,-2.896129084683520503e-04,-2.346256117931520791e-04,7.365051779563674527e-04,-5.230809903348734467e-04,4.274880319419678532e-04,-3.593558422193526402e-04,-1.202404138629893985e-04,5.596671815529955310e-04,6.850377930285134025e-04,-7.840691403684142431e-04,3.330427774974031841e-04,-5.247553319206598073e-04,-2.227192431336586528e-04,3.666612175038411691e-04,-4.291231425221576001e-04,-1.093739615273424262e-03,-2.450569379118622011e-03,-5.690153640384934411e-04,-1.065754571003557942e-03,2.154513409117812751e-05,-1.202212150879453491e-03,-1.087194872846245679e-03,-1.328720474010806982e-03,-3.291966047280880502e-04,-6.021423242913199895e-04,-4.568287265744210685e-04,-1.732431903724450731e-03,-2.272790761310503147e-03,-2.556190934010524156e-03,-6.684653382242361930e-04,-5.682658125362217722e-04,-1.549477696524829843e-03,-9.932461298650398750e-04,-1.648747602488558495e-03,-1.131860882464701731e-03,-2.670324984053091145e-03,-1.318203900512935917e-03,-2.223887883657958784e-03,-2.443204567707018150e-03,-1.793476651876739882e-03,-2.840986660856147355e-03,-1.886675408182326465e-03,-1.867469818025763737e-03,-2.256428195205060876e-03,-5.310492809384116577e-04,-1.198672779901352719e-03,-1.746901045730441708e-03,-2.071220462323389560e-03,-2.049279850885132089e-03,-1.049892898440445057e-03,-1.237714336771645295e-03,-2.233862636126250287e-03,-6.657246171372583135e-04,-1.406901361367642088e-03,-1.411192232275409976e-03,-1.300323139752887578e-03,-1.442371213951247361e-03,-5.827564342218705118e-04,-1.640022586957408986e-03,-1.003309831956727873e-03,-1.508517859799520227e-03,-9.510125036213110984e-04,-2.589713053903745180e-03,-4.369027254398714488e-04,-8.162528718472745548e-04,-3.478194749686757976e-04,-1.188868109537000823e-03,-1.373155874031644621e-03,1.090683449848269156e-03,-9.954286147790122278e-04,-1.083110382358108909e-03,7.015655469830097985e-04,-8.725645353286156812e-04,-1.020392422455353859e-03,0.000000000000000000e+00
-1.225829303797955870e-03,1.090670848487160704e-03,-3.373448961557372382e-04,1.967742830611664273e-03,-1.340597385751915883e-03,-1.015892097989040042e-05,1.473153899987154512e-03,1.596629948968821943e-03,-1.070271183758306124e-03,-1.760083988616160033e-04,1.470857527719122634e-03,1.691903150829318463e-03,2.130731092639674869e-05,-4.984311585429175356e-04,2.778847824337368311e-04,5.877566297455907862e-04,-9.045423723820667384e-04,-1.530096856371087211e-03,-9.540862185228780011e-04,-1.017279407712375202e-03,5.741021335779492116e-04,-6.533502295413189196e-04,1.711006309956502030e-03,-1.891892578906636440e-03,-5.763416228866674465e-04,7.280006801055756123e-04,-2.657849347609450011e-04,-2.140816219977762381e-03,-1.489714719283749588e-03,-1.365027094486543366e-03,-4.804146395993434573e-04,-2.150530599276085730e-04,-2.406221823598188835e-03,4.898691770227140687e-04,-8.541946188635421867e-04,5.060445880348176523e-04,1.339327455611449792e-03,-6.547636175010478456e-04,-1.154901651730495587e-03,-8.364473349375007314e-04,-6.775838871955911294e-04,6.340364040902053471e-04,5.799633828384800644e-04,6.448828093787736890e-04,5.181940254196704164e-04,5.395100357775172231e-04,-2.145315961184119128e-04,-2.769565483952289358e-04,1.814522138970132113e-03,2.787178762056345726e-04,1.812043529180694217e-03,1.758254063772748911e-03,5.996869091750318004e-04,1.589362048028171263e-03,6.420884570659288020e-04,-9.943009629528787221e-04,9.908334393541914746e-04,-4.631323554436834892e-04,-6.458635577370144430e-04,-3.179382287419593462e-03,2.140534763862099801e-03,-3.171096118227232784e-04,1.861507896182567918e-03,1.028464440094548245e-03,7.147846742999263260e-04,2.371247305564239648e-03,2.523337622555332435e-03,1.627301008543955308e-03,2.479952361465251071e-03,2.561131054821562565e-03,1.599963677411643526e-03,1.302628853577754171e-03,1.853071973851862404e-03,-3.013012503483350197e-04,1.884343712276234217e-03,-9.673864194453358697e-04,1.416225463299059829e-03,-1.816553031777976674e-04,1.392505366526335803e-03,-6.301183170536673239e-04,9.676056374794927669e-04,-1.776332948270736281e-04,1.291241609352807625e-03,2.025077171134463064e-03,4.423436522855870787e-04,1.512205186178384748e-03,1.012190123773616489e-04,1.884598330693806239e-03,9.721753041173375768e-04,1.574300658892628007e-03,-1.294288284790096662e-03,3.232777185690973061e-04,8.533577134427747018e-04,5.197817055476540221e-04,9.475795527159930256e-04,-1.048941256149074890e-03,1.779282346135052780e-03,6.727601646120316909e-04,-1.010185330050568939e-03,0.000000000000000000e+00
