s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
-2.904942553733701633e-12,-4.583589987361834436e-12,-7.418835185357323090e-12,-1.221990207661756143e-11,-4.145345757599876199e-11,-7.593242394137448525e-11,-1.387126186822508443e-10,-3.845401420659402426e-10,-7.468188651946694318e-10,-1.469650808343174062e-09,-2.906590986567572746e-09,-5.706933169450925902e-09,-1.310074167976634797e-08,-2.579500912870860840e-08,-5.017184366134072709e-08,-9.621778235545790410e-08,-1.816782987402969124e-07,-3.373673556612076796e-07,-6.154896926780998050e-07,-1.102184660421134250e-06,-1.935610023640420631e-06,-3.330709234079472415e-06,-5.611094695502585594e-06,-9.246758214146664142e-06,-1.489261371955051534e-05,-2.341549268289715022e-05,-3.588415957539492132e-05,-5.347881476877682546e-05,-7.726278784272854882e-05,-1.077751208373991729e-04,-1.444824533704118811e-04,-1.852776814249751435e-04,-2.263611581260773734e-04,-2.628322146618709680e-04,-2.900140101984241959e-04,-3.049751622589221998e-04,-3.072922920388044057e-04,-2.984371674497342296e-04,-2.804100374084378725e-04,-2.551504729765694175e-04,-2.251761850011651850e-04,-1.939473733570535848e-04,-1.648579928126724028e-04,-1.399219539685001598e-04,-1.195092227696763600e-04,-1.029707525612664896e-04,-8.934505686362503429e-05,-7.685960758550006372e-05,-6.604302998214632743e-05,-5.577058267299999435e-05,-4.547596853545492906e-05,-3.442632373857095667e-05,-2.087519731616255034e-05,-3.042479329184548963e-06,2.223001121727491059e-05,6.295572323715553100e-05,1.319600716665160955e-04,2.510157057600373204e-04,4.556118501558735685e-04,8.011364315454202025e-04,1.369470123988237881e-03,2.272720389365602469e-03,3.652195842516059096e-03,5.654349332896985506e-03,8.407497641216527678e-03,1.195744447708980973e-02,1.620700652427796776e-02,2.087130169431659216e-02,2.548400393326142460e-02,2.947459019431984337e-02,3.230342998226388290e-02,3.360557384714320250e-02,3.328191844622965800e-02,3.150145964493920175e-02,2.862441950626239823e-02,2.509042528737318381e-02,2.131822400796459099e-02,1.764178063294557369e-02,1.428469982844125102e-02,1.136384847090870023e-02,8.911232680465029643e-03,6.903270971323719786e-03,5.288080331591718183e-03,4.005183700807221116e-03,2.996668500268934859e-03,2.211811983736683852e-03,1.607899430250474444e-03,1.149388766946553460e-03,8.068302153870012287e-04,5.552555491569352531e-04,3.741583481983960921e-04,2.466803867781233533e-04,1.588994522756230108e-04,9.986750603034513351e-05,6.124006155734490443e-05,3.655409820965593908e-05,2.119693730986305796e-05,-2.196180098040303893e-07,-8.078868526372409708e-08,0.000000000000000000e+00
-5.150322563068068381e-12,-2.289697331610709092e-11,-6.206040172769336003e-11,-1.063902495407063066e-10,-1.826427518212356336e-10,-3.932661656399912480e-10,-8.577607912556034530e-10,-1.656060420578458338e-09,-3.150178610437547716e-09,-6.046852084768291555e-09,-1.762962629888190794e-08,-3.544833459162111531e-08,-8.019888115614268295e-08,-1.611310263263678069e-07,-3.203342548961794233e-07,-6.290178441156587140e-07,-1.218373036717776221e-06,-2.325381689466682299e-06,-4.369096617854340437e-06,-8.073208712265708624e-06,-1.465421938683167120e-05,-2.609321049397177650e-05,-4.549568301439878656e-05,-7.750669090493974526e-05,-1.286749258700052112e-04,-2.075445354845632025e-04,-3.241220869524369342e-04,-4.882989702228827944e-04,-7.069534351821445172e-04,-9.799656881698149292e-04,-1.296238161380792531e-03,-1.631660898786782467e-03,-1.951087279042134455e-03,-2.215149072348726426e-03,-2.390276091322100695e-03,-2.457915022151631844e-03,-2.418571185741126475e-03,-2.288861694993424897e-03,-2.093938587402696845e-03,-1.852440034236727071e-03,-1.600519043878911038e-03,-1.353228587506368147e-03,-1.125863232323381187e-03,-9.264387422412784451e-04,-7.551049453210201788e-04,-6.058325595517206549e-04,-4.686163106916321850e-04,-3.304469769346542402e-04,-1.744486593292504922e-04,2.273376974648397438e-05,2.950528383396778089e-04,7.005819571560031444e-04,1.292592659854628579e-03,2.175438003450603976e-03,3.464923638524273781e-03,5.283178837415181822e-03,7.726401355730245536e-03,1.081972299528628778e-02,1.447371833263373653e-02,1.840362236014891212e-02,2.222554057518042955e-02,2.545954786783476143e-02,2.768222700643569595e-02,2.861100194352504678e-02,2.821225936120554806e-02,2.665651782506425413e-02,2.425336359710504944e-02,2.135829608828895831e-02,1.829813804572102617e-02,1.532813360389249924e-02,1.261608391310830093e-02,1.024614718653827500e-02,8.236616944395485848e-03,6.564380142612212705e-03,5.187522312120054595e-03,4.060777969881810071e-03,3.143283351353636044e-03,2.400861867067791058e-03,1.805506484587852609e-03,1.333929256529977139e-03,9.661708873048514747e-04,6.846424383262132794e-04,4.736259939133789874e-04,3.191122613307440219e-04,2.088125896678191362e-04,1.322124625307956607e-04,8.058131035495863092e-05,4.690350338231422014e-05,2.590559777087448693e-05,-1.110025945640141033e-05,-8.361832574755681218e-06,-6.052066345625546787e-06,-4.360385301453340231e-06,-3.070456414139525539e-06,-2.081001332083645589e-06,-1.317260065891131126e-06,-8.247122672586415592e-07,-4.343238544444063625e-07,-1.233493767601933716e-07,0.000000000000000000e+00
-3.166784200229199271e-12,-5.794491761176848363e-12,-1.454242019395792087e-11,-3.122676874336981369e-11,-5.369001947358324960e-11,-9.377155442902609924e-11,-1.668482148859640871e-10,-3.026898441107567481e-10,-5.599828548495442879e-10,-1.052287153248549625e-09,-3.259275004172174103e-09,-6.573485030783164472e-09,-1.302368076018240441e-08,-2.561100460805715439e-08,-4.987598576030751481e-08,-9.603205856271156295e-08,-1.826066034062450792e-07,-3.426425873941468937e-07,-6.339894796984939051e-07,-1.155777517759224307e-06,-2.073460631443829752e-06,-3.654025996586679522e-06,-6.309644423810383958e-06,-1.064022613391149219e-05,-1.745182054416054781e-05,-2.771101685280885467e-05,-4.238530369317982456e-05,-6.213538876946692350e-05,-8.688787088581155548e-05,-1.154249519431333544e-04,-1.452302082181837603e-04,-1.728239297481974396e-04,-1.946265052083756932e-04,-2.080470526552932612e-04,-2.122320546457846389e-04,-2.080110658048572479e-04,-1.971444560200348931e-04,-1.815881861350782133e-04,-1.633563290982312233e-04,-1.446626082904412024e-04,-1.276510929620785747e-04,-1.137920579327642554e-04,-1.035927113575423769e-04,-9.682151285987234117e-05,-9.291228017638550405e-05,-9.125808835649883394e-05,-9.034412388602135625e-05,-9.081446199803260542e-05,-9.137640548632561515e-05,-9.089011618739475322e-05,-8.742079215810313777e-05,-7.750111131556232011e-05,-5.480991864305808373e-05,-7.866233426291470055e-06,8.386434952849250251e-05,2.563096493733126925e-04,5.705256825922817463e-04,1.135441771238571975e-03,2.096318273502754091e-03,3.678932568036055034e-03,6.211050860154172792e-03,1.008898783350362267e-02,1.579771559826480959e-02,2.358327663518587636e-02,3.364509142273315601e-02,4.571285497270515669e-02,5.898063171871319177e-02,7.212260751186713725e-02,8.351133779072719698e-02,9.160227636061481216e-02,9.534528748964510303e-02,9.444806922646907521e-02,8.938621779853164750e-02,8.118605660485066211e-02,7.110506898290666622e-02,6.034334445653447010e-02,4.985876838663986371e-02,4.029258480072470117e-02,3.197966284873472731e-02,2.501121960877609324e-02,1.931872304270524851e-02,1.475207145942054356e-02,1.113623750715904068e-02,8.303529907101611304e-03,6.107109026819852217e-03,4.423498850930487197e-03,3.150253941406990985e-03,2.202425848098514636e-03,1.509544393826928784e-03,1.012971300983160801e-03,6.647333985838894520e-04,4.262030412757481716e-04,2.666470894337638988e-04,1.625817064539299356e-04,9.650339174236731237e-05,5.567016197430521871e-05,-2.746731634898009803e-07,-1.612895720406773738e-07,-4.413561566866779190e-08,0.000000000000000000e+00
-1.958154192301894614e-12,-4.964040939798538685e-12,-1.068189979177813353e-11,3.047488433199176259e-10,5.468175315355396648e-10,9.976013928730856473e-10,1.847339556296015970e-09,3.476912426995280911e-09,6.626745745705095021e-09,1.272024642601849621e-08,2.440658566738233621e-08,4.651226502919585088e-08,8.757810760039242077e-08,1.623151131989290700e-07,2.946439886571117598e-07,5.220312234261128540e-07,8.996454374703007540e-07,1.502778699922841926e-06,2.424190314582797874e-06,3.762042662563017828e-06,5.594911774918921626e-06,7.944761637063893608e-06,1.073711843732584674e-05,1.377656181360834395e-05,1.675755309657236597e-05,1.931871346810419728e-05,2.112506588114026673e-05,2.194267164999457758e-05,2.167319875892557854e-05,2.034683443497690335e-05,1.810399272698227943e-05,1.518932896743116786e-05,1.193998222166789714e-05,8.734869394444900399e-06,5.912351454584759154e-06,3.704620710877280094e-06,2.225981713680825599e-06,1.504350703641070060e-06,1.503361813598742757e-06,2.121350654672362541e-06,3.174376330437295954e-06,4.448246705946090429e-06,5.612431916729712094e-06,6.652478400501636459e-06,7.280668533087421117e-06,7.012627833299139059e-06,5.254237031474724480e-06,5.338654128942174291e-07,-9.752998308475173465e-06,-3.050187957702765908e-05,-7.056169319357073169e-05,-1.455330668415461231e-04,-2.820412423972775079e-04,-5.362678565245332591e-04,-9.507140230467171684e-04,-1.641399668364304206e-03,-2.750649418238034025e-03,-4.460133662941337049e-03,-6.976159356554090946e-03,-1.049441637141101426e-02,-1.514280779284831770e-02,-2.091179252250677592e-02,-2.759456198590743217e-02,-3.476626720351613103e-02,-4.182278643524996870e-02,-4.807797506822340111e-02,-5.289069694167879143e-02,-5.578278086178593137e-02,-5.651686036910893995e-02,-5.512197099975686687e-02,-5.186956183025226430e-02,-4.720891563879502789e-02,-4.167613971404707934e-02,-3.579827635555876686e-02,-3.001752749919591942e-02,-2.465143640848940429e-02,-1.988817492469398610e-02,-1.580529164772304790e-02,-1.239910145319031258e-02,-9.615403573370069970e-03,-7.375560624277447200e-03,-5.595073184687743284e-03,-4.194414648501417972e-03,-3.103776033977231549e-03,-2.263983335234554320e-03,-1.625580420340130925e-03,-1.147375643874145148e-03,-7.950925754459500696e-04,-5.402859847876200980e-04,-3.596781707064417065e-04,-2.335530674000469472e-04,-1.476194747839657071e-04,-7.499684465750282043e-05,-4.611470515335057966e-05,-2.752546292447288908e-05,-7.073968384951282409e-06,-4.108277980042894036e-06,-3.076350377671619392e-07,-6.404492401622035438e-08,0.000000000000000000e+00
-2.498316440771387609e-12,-5.422105357169616583e-12,-1.199294748774554771e-11,-2.146403840242113279e-11,-3.930902775001355850e-11,3.697844687760315463e-10,7.192012960282251412e-10,1.418154481935048846e-09,2.827214893965318018e-09,5.680113025613261238e-09,1.144805834973353757e-08,2.288226514240524816e-08,4.520145970254033604e-08,8.817667305135173080e-08,1.688438120812208570e-07,3.165009400892958316e-07,5.792944246894246816e-07,1.032499887980452258e-06,1.786792674969434171e-06,2.992564941730591468e-06,4.833412372808269916e-06,7.499900307741189747e-06,1.113678694784550068e-05,1.576667998543924406e-05,2.121121441710063215e-05,2.704965538693804677e-05,3.265784753013358085e-05,3.734274878175251314e-05,4.053383479142514729e-05,4.194623133012331183e-05,4.163691115000005955e-05,3.994683045801532988e-05,3.739759710497368863e-05,3.460375935014279019e-05,3.218956936909034733e-05,3.068602823380294067e-05,3.044796674478903424e-05,3.164241278314742519e-05,3.428337260863457677e-05,3.804206644919931883e-05,4.285247346815659691e-05,4.817387126757727132e-05,5.329185715554660239e-05,5.741320272016070672e-05,5.890719978590972297e-05,5.500602544421827388e-05,4.075498349894874077e-05,7.354185105709380249e-06,-6.055798638503122702e-05,-1.892128252791939590e-04,-4.216740061770837215e-04,-8.262077684790971157e-04,-1.505323242303018179e-03,-2.603342364767846813e-03,-4.306998352606810319e-03,-6.890534473236131947e-03,-1.043306127425563078e-02,-1.514203070522156247e-02,-2.100822462663106890e-02,-2.780653405287892774e-02,-3.507238833632861374e-02,-4.215086055375670548e-02,-4.831864869573917337e-02,-5.294379936850485135e-02,-5.562781421677674004e-02,-5.628340158931338655e-02,-5.512662334136196607e-02,-5.259344115953707571e-02,-4.920977131751492345e-02,-4.545454359429280250e-02,-4.165853518257913585e-02,-3.797090590459259452e-02,-3.439625000785304088e-02,-3.087235968371047912e-02,-2.734604151929315857e-02,-2.381695994017671292e-02,-2.034279299076481931e-02,-1.701731640440040313e-02,-1.393969595315556857e-02,-1.118929297235439664e-02,-8.812175338039704084e-03,-6.819158100466789045e-03,-5.191961167430488890e-03,-3.893211526398095406e-03,-2.876452390118944789e-03,-2.093836513742843800e-03,-1.500826184692044887e-03,-1.058381654283231492e-03,-7.335206594037501195e-04,-4.768399670185086777e-04,-3.199245886783103304e-04,-2.100643735830226577e-04,-1.225618718129212604e-04,-7.753354247563364564e-05,-4.781506369631012359e-05,-2.867172859258334378e-05,-1.665682915467894519e-05,-9.386561179286923034e-06,-5.047247284009162074e-06,0.000000000000000000e+00
-1.417263350957642685e-18,-1.116985998538200386e-12,-3.438894217972617350e-12,-5.852515990512585220e-12,-1.837821877589992295e-11,-3.313867329683627456e-11,-6.074641720536016588e-11,-1.133425718246358535e-10,-2.199173268819982296e-10,-6.887155807658415855e-10,-1.385450239453361871e-09,-2.840278744460177932e-09,-8.640545195666596014e-09,-1.782368295656054018e-08,-3.638357679217892874e-08,-7.336302649363958664e-08,-1.459217664951371587e-07,-2.859931451312066297e-07,-5.517680391185088599e-07,-1.046867119080959126e-06,-1.951071911565102806e-06,-3.567048225563230987e-06,-6.386412638552400012e-06,-1.117362327788671443e-05,-1.905459371987682505e-05,-3.157614822659950978e-05,-5.067406479452554231e-05,-7.846197075759733352e-05,-1.167558755944084095e-04,-1.663156326283493061e-04,-2.259417063611819589e-04,-2.917850025488006064e-04,-3.573811890370517854e-04,-4.148048892109114545e-04,-4.568212652450751943e-04,-4.791395764641070347e-04,-4.813977294496204974e-04,-4.660976757119426233e-04,-4.365175558217475500e-04,-3.958697355751150063e-04,-3.482601891083681551e-04,-2.991419537417522420e-04,-2.537131518925797601e-04,-2.149630373505905922e-04,-1.833565420117452436e-04,-1.578314233412426906e-04,-1.368763718619349845e-04,-1.191440598224667195e-04,-1.036630962414814185e-04,-8.844614542083170769e-05,-7.501246440943630121e-05,-6.221611144592046011e-05,-4.955027923307637030e-05,-3.670874031574538769e-05,-2.240577517928691686e-05,-3.757654875979590993e-06,2.163282620257098044e-05,6.167254094351528433e-05,1.287336821005029405e-04,2.437408359969099299e-04,4.402836985021622244e-04,7.713779800958360435e-04,1.317793144999526104e-03,2.175478344692856943e-03,3.482041819004787122e-03,5.380473723380511941e-03,7.992453808880148683e-03,1.136730304735799474e-02,1.542274228271935457e-02,1.990097989019382063e-02,2.437039582742547839e-02,2.829270154133027917e-02,3.114610810618662420e-02,3.256135914440715790e-02,3.241398929057468653e-02,3.083623832767581896e-02,2.815298292868140262e-02,2.477915706108860250e-02,2.112205077085373486e-02,1.751504357350415486e-02,1.418828909540644639e-02,1.126922086016531738e-02,8.801808007538989773e-03,6.773455384044442355e-03,5.140544632152588451e-03,3.847458686137537193e-03,2.838014394857747442e-03,2.060902320657282284e-03,1.471570535393037149e-03,1.031707672419290801e-03,7.093730311770572597e-04,4.777912067535507830e-04,3.149429129093250334e-04,2.029472559428821836e-04,1.277834055696315822e-04,7.852051573327420235e-05,4.706758563762916599e-05,2.746496527142667290e-05,1.562156444469171236e-05,0.000000000000000000e+00
-3.285038176670318442e-12,-9.220796823585409913e-12,-2.024097617343800337e-11,-4.091767084113710603e-11,-7.306754759753649359e-11,-1.475272283658971232e-10,-2.826592431911999992e-10,-5.589524547548433069e-10,-1.095735715330592887e-09,-2.174766164869240225e-09,-4.235648770831237158e-09,-8.332779827560508418e-09,1.402086091252743393e-07,3.173098069041731131e-07,7.056456162398225042e-07,1.540566581893322155e-06,3.299691080198919522e-06,6.929833537434864301e-06,1.426223646969468777e-05,2.874673885004282905e-05,5.669901282904402735e-05,1.093192962285025716e-04,2.057642259424701274e-04,3.774446270210774206e-04,6.733229297662071287e-04,1.165087706484930000e-03,1.949558382654544009e-03,3.143755569578104980e-03,4.866819753617405118e-03,7.204493179218730316e-03,1.015861924468775511e-02,1.359632068032435442e-02,1.722584727903525570e-02,2.062728289925830003e-02,2.334641338599516280e-02,2.502295891566221411e-02,2.549345183081638128e-02,2.481444129329223036e-02,2.320194628081960128e-02,2.094041484833252323e-02,1.832062770114324321e-02,1.562443439750351923e-02,1.307654581441117063e-02,1.081262939104885717e-02,8.909096910019800863e-03,7.329147952558867987e-03,6.034032547544216502e-03,4.946455108018291136e-03,4.008914912969553830e-03,3.172017994875293758e-03,2.394504186094775430e-03,1.635132162864252545e-03,8.551182750659463462e-04,1.232161061295115179e-05,-9.404413677053317629e-04,-2.054646235434215776e-03,-3.383203776532077781e-03,-4.975741795514902754e-03,-6.874670688642014332e-03,-9.115736054273499908e-03,-1.173686561549545058e-02,-1.479384201590604186e-02,-1.851499425893828737e-02,-2.272070839582157956e-02,-2.774550172491396446e-02,-3.369350556493999616e-02,-4.054014640482569987e-02,-4.804617063284667006e-02,-5.571342971984034192e-02,-6.281929690851957571e-02,-6.854062711738652391e-02,-7.213793207520993733e-02,-7.313643990005835871e-02,-7.143602840344549787e-02,-6.731310581603895671e-02,-6.132557605673748941e-02,-5.416742212518158017e-02,-4.652609169573341391e-02,-3.897907960980952907e-02,-3.194261108912132413e-02,-2.566635069000557101e-02,-2.025885478192811229e-02,-1.572647974193765175e-02,-1.201228001699087417e-02,-9.027067707777258407e-03,-6.670316502862245686e-03,-4.842248942943383483e-03,-3.449882581731943468e-03,-2.409624265583087607e-03,-1.643760899238795592e-03,-1.098179581180201529e-03,-7.185043753973270652e-04,-4.589818137961195377e-04,-2.799531151842293364e-04,-1.694932468644431652e-04,-9.726253268597213290e-05,-5.477636180761837601e-05,-1.991286195694605705e-05,-9.298445874118105146e-06,0.000000000000000000e+00
-2.129763554075387646e-12,-6.727710282048602671e-12,-2.260113443401180277e-11,-4.396772981169746395e-11,-7.980765205170829628e-11,-1.610361577888870278e-10,-2.998577176524775140e-10,-5.809102493262553836e-10,-1.140892797022471816e-09,-2.225677443968589945e-09,-4.348762204169678566e-09,-8.437405333153410402e-09,3.657789235799769134e-08,8.685575118605353016e-08,2.005687349117627704e-07,4.512188472836224571e-07,9.901050711705658900e-07,2.120649509911337140e-06,4.435257204958238944e-06,9.058500395182491152e-06,1.806186150408875204e-05,3.513700766727811394e-05,6.662266008026804611e-05,1.229437954082122822e-04,2.203882142033816672e-04,3.828449559778737080e-04,6.426178108693236758e-04,1.038785472915733452e-03,1.611164229347998274e-03,2.388450203658268496e-03,3.371389785590709481e-03,4.515911234604247544e-03,5.725260369914410112e-03,6.860505267923722519e-03,7.772006603148817055e-03,8.341856205674314309e-03,8.516893906168656811e-03,8.314342276314074659e-03,7.796023957626571806e-03,7.055251091567778764e-03,6.181091202998495286e-03,5.264618611135292968e-03,4.398015861391456338e-03,3.626876959072781060e-03,2.969971346665159322e-03,2.419655817995659645e-03,1.954642135106758171e-03,1.554744109631716947e-03,1.196462592971321050e-03,8.612360412342949826e-04,5.335220698339843311e-04,1.996952527996850532e-04,-1.527071742777624959e-04,-5.357789936528574697e-04,-9.612068436961046644e-04,-1.439842162874586853e-03,-1.980716779614628484e-03,-2.589172435264743347e-03,-3.265409738462805595e-03,-4.003104828032950750e-03,-4.789245450320642888e-03,-5.605656851128778227e-03,-6.467728552755978855e-03,-7.266025496120207157e-03,-8.027900900196276168e-03,-8.723983032862399692e-03,-9.320399345517817527e-03,-9.779529527279035017e-03,-1.006382062415859223e-02,-1.014198428765458911e-02,-9.995721157569343804e-03,-9.624884370748078288e-03,-9.049397154287819323e-03,-8.307104881269546104e-03,-7.448022485435506351e-03,-6.526676046847463761e-03,-5.594755168928355546e-03,-4.695775642049198652e-03,-3.862318459853603548e-03,-3.115509655204514155e-03,-2.466049630649526630e-03,-1.916140070939339676e-03,-1.461751357701724860e-03,-1.094785971790289761e-03,-8.048720894315326965e-04,-5.807221951505983594e-04,-4.110996411112127313e-04,-2.854722646310508443e-04,-1.933960721448463337e-04,-1.285567597739725168e-04,-8.344923156236651080e-05,-4.688826462583699938e-05,-3.004901842841869954e-05,-1.875618576490949201e-05,-1.138064821811594455e-05,-6.104613929414346482e-06,-2.222370853099250806e-06,-1.316581158490798067e-06,-1.932047981467019213e-07,0.000000000000000000e+00
-8.053242277615959318e-12,-1.271492808135983421e-11,-2.819481791770869697e-11,-4.682858165906221771e-11,-1.304726927471000355e-10,-2.820665370269118035e-10,-5.165375768255995122e-10,-1.271551228671321824e-09,-2.670779252568712946e-09,-7.231359036389204426e-09,-1.464714282971806948e-08,-3.642530566197780614e-08,-7.449888570114979020e-08,-1.508960165063630541e-07,-3.018950551576845323e-07,-5.954438717605439516e-07,-1.156013028325934743e-06,-2.206179948956953521e-06,-4.133514260353092415e-06,-7.593085509334988866e-06,-1.365511709675791079e-05,-2.400036274973735666e-05,-4.114719009822737241e-05,-6.865808747655770077e-05,-1.112169407197024536e-04,-1.744020688451998469e-04,-2.639387488195170470e-04,-3.842632150642830363e-04,-5.364446236501989361e-04,-7.159148574555474322e-04,-9.109313355175975612e-04,-1.102932459863355773e-03,-1.269546953394909330e-03,-1.389861295195780411e-03,-1.450112455884078680e-03,-1.447263601341479931e-03,-1.388728684573080395e-03,-1.288647892207100704e-03,-1.163186659601824846e-03,-1.027440650086957697e-03,-8.900398365739862127e-04,-7.672842739039876202e-04,-6.617953945243150882e-04,-5.742769197583442228e-04,-5.013167423732400527e-04,-4.364251828046213717e-04,-3.702900465256807219e-04,-2.895802905936883834e-04,-1.739604149603839200e-04,9.098223121295478865e-06,3.123272773798273791e-04,8.196066715192023991e-04,1.660190884697173783e-03,3.022774470578813970e-03,5.178953025979826826e-03,8.412499142885354955e-03,1.308603978157792461e-02,1.945504314278789434e-02,2.765152107353974209e-02,3.727154793246003489e-02,4.770261985452903253e-02,5.786559137484235948e-02,6.645587969011944318e-02,7.230522116026166790e-02,7.467773110862174768e-02,7.345748619852286720e-02,6.911598435462104617e-02,6.250907558548435272e-02,5.461924954560867795e-02,4.634712163501746029e-02,3.839107041087452127e-02,3.120373317692735904e-02,2.500402936236631110e-02,1.982767543641017136e-02,1.559555526969011799e-02,1.217696778323466150e-02,9.433284028079124209e-03,7.240340732700939474e-03,5.495463444956282667e-03,4.116298699202067778e-03,3.036664602577496264e-03,2.202286518491122780e-03,1.567551842958663736e-03,1.093462777475402324e-03,7.465236099790504730e-04,4.981946826556236333e-04,3.245887268997141978e-04,2.061943797708752678e-04,1.276086876228451944e-04,7.678629132772325002e-05,-5.678051196156805594e-06,-4.110945406540930129e-06,-2.903323697739079549e-06,-2.030410479766807146e-06,-1.300574062549816944e-06,-8.401400403370737873e-07,-5.040905726939415555e-07,-2.658180521107299256e-07,-8.372387777731191139e-08,0.000000000000000000e+00
-3.592800629925405917e-12,-7.558227863675711401e-12,-1.634515782205861941e-11,-2.934972805113167080e-11,-5.454053793131300949e-11,-9.981411499658702001e-11,-1.844431482561580284e-10,8.057599798140163293e-10,1.710618209007714469e-09,3.652001728182746912e-09,7.791385236798319486e-09,1.651289079295441167e-08,3.454231293240845467e-08,7.128648384574961193e-08,1.443855853309381118e-07,2.864784993511661118e-07,5.558578558175995618e-07,1.052844059215588258e-06,1.942793039059414392e-06,3.484556999995115941e-06,6.058394894582264629e-06,1.017913629748376374e-05,1.647010988102790447e-05,2.556668878610657974e-05,3.792653922341436920e-05,5.355986870119671761e-05,7.175833040358724777e-05,9.096733620005676541e-05,1.089529786263469070e-04,1.233080130358592361e-04,1.321415996498810815e-04,1.346302565346367444e-04,1.311391087460536448e-04,1.228967825976270533e-04,1.115158561054322106e-04,9.866335217531106304e-05,8.589468894522815201e-05,7.448603291003886174e-05,6.524622996080630245e-05,5.845189356361250036e-05,5.392568954101164023e-05,5.131155008993565613e-05,5.002850475730552890e-05,4.979594542819891089e-05,5.011611007243991123e-05,5.040180537939852149e-05,4.970206636431482699e-05,4.647221074532046460e-05,3.797921841052533934e-05,1.932414902391857488e-05,-1.817208326119183707e-05,-8.974601466075122797e-05,-2.214084643917013683e-04,-4.561821032441603632e-04,-8.622944566658271096e-04,-1.542483886774812744e-03,-2.641498146839112420e-03,-4.389496309084872823e-03,-6.906718310356091579e-03,-1.044325224100976432e-02,-1.511658448857672310e-02,-2.087445518057322660e-02,-2.741930210801926671e-02,-3.418827086142289806e-02,-4.042454579021097227e-02,-4.534049451655321888e-02,-4.831965135889418339e-02,-4.907446969176734036e-02,-4.769315295982489572e-02,-4.456670969222148448e-02,-4.024594611496391805e-02,-3.529769213346605622e-02,-3.020575544862892994e-02,-2.532528330822531384e-02,-2.087752843141177719e-02,-1.696923222575578288e-02,-1.362392627022203026e-02,-1.081442557375658815e-02,-8.488907641944215196e-03,-6.587616731888627092e-03,-5.051413859848876385e-03,-3.825156359897476967e-03,-2.858693606772407751e-03,-2.107109554551138322e-03,-1.530786911492310141e-03,-1.095346170267177391e-03,-7.714378745530206397e-04,-5.344127965682548848e-04,-3.639163304176162720e-04,-2.434484326224509968e-04,-1.598852842130543954e-04,-1.026853783911907734e-04,-5.149987778022733852e-05,-2.186709777389510937e-05,-1.395079863444838730e-05,-8.668679883100750000e-06,-4.955362534762563286e-06,-2.831073994691201531e-06,-1.507010443883701651e-06,0.000000000000000000e+00
