s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
1.337647065520286560e-02,1.415047794580459595e-02,1.286549214273691177e-02,1.243575476109981537e-02,1.339662354439496994e-02,1.370314694941043854e-02,1.277604606002569199e-02,1.481252815574407578e-02,1.292626373469829559e-02,1.375582721084356308e-02,1.453107222914695740e-02,1.406908966600894928e-02,1.274725794792175293e-02,1.386890374124050140e-02,1.399659737944602966e-02,1.294992864131927490e-02,1.335817575454711914e-02,1.256448123604059219e-02,1.514000445604324341e-02,1.199490670114755630e-02,1.261889375746250153e-02,1.397869456559419632e-02,1.343540847301483154e-02,1.207828335464000702e-02,1.219517830759286880e-02,1.350427139550447464e-02,1.331044826656579971e-02,1.411200128495693207e-02,1.266607642173767090e-02,1.296084187924861908e-02,1.333207730203866959e-02,1.274470891803503036e-02,1.287021581083536148e-02,1.326017361134290695e-02,1.154687814414501190e-02,1.488280668854713440e-02,1.360575668513774872e-02,1.337042450904846191e-02,1.289855595678091049e-02,1.354939676821231842e-02,1.324921566992998123e-02,1.356737595051527023e-02,1.377967465668916702e-02,1.418316923081874847e-02,1.266462169587612152e-02,1.323027070611715317e-02,1.331213861703872681e-02,1.309226918965578079e-02,1.476176176220178604e-02,1.339651085436344147e-02,1.367590017616748810e-02,1.259083487093448639e-02,1.423077192157506943e-02,1.347006205469369888e-02,1.161171309649944305e-02,1.377709489315748215e-02,1.252059545367956161e-02,1.334537472575902939e-02,1.418458297848701477e-02,1.280614640563726425e-02,1.289230491966009140e-02,1.402445975691080093e-02,1.340983342379331589e-02,1.403610967099666595e-02,1.211434695869684219e-02,1.434494368731975555e-02,1.242280751466751099e-02,1.213932782411575317e-02,1.344721298664808273e-02,1.199787855148315430e-02,1.419394090771675110e-02,1.360152754932641983e-02,1.367081888020038605e-02,1.199242565780878067e-02,1.218709349632263184e-02,1.345767453312873840e-02,1.307053212076425552e-02,1.352320797741413116e-02,1.305089425295591354e-02,1.293089985847473145e-02,1.369612384587526321e-02,1.384918391704559326e-02,1.220799982547760010e-02,1.357382163405418396e-02,1.317171379923820496e-02,1.427591312676668167e-02,1.345027517527341843e-02,1.280282530933618546e-02,1.220701634883880615e-02,1.380071789026260376e-02,1.295742020010948181e-02,1.426887605339288712e-02,1.245918404310941696e-02,1.433378923684358597e-02,1.340683177113533020e-02,1.363322418183088303e-02,1.325811445713043213e-02,1.256042905151844025e-02,1.345653459429740906e-02,1.393859367817640305e-02
4.910548450425267220e-04,4.648897156585007906e-04,4.381311882752925158e-04,4.116223717574030161e-04,4.365904605947434902e-04,2.775571483653038740e-04,5.307601531967520714e-04,4.481816140469163656e-04,6.853120430605486035e-05,2.327174297533929348e-04,1.415921578882262111e-04,4.098691351828165352e-05,4.712983791250735521e-04,3.671267477329820395e-04,3.976603620685636997e-04,3.476393176242709160e-04,5.264118663035333157e-04,5.004689446650445461e-04,5.158342537470161915e-04,2.652090624906122684e-04,5.342840449884533882e-04,5.009894375689327717e-04,3.374200605321675539e-04,4.896433092653751373e-04,2.041291736532002687e-04,5.325718666426837444e-04,2.289612893946468830e-05,7.789806841174140573e-05,4.882390494458377361e-04,3.505884669721126556e-04,5.049448809586465359e-04,5.284907529130578041e-04,2.597494749352335930e-04,7.285945466719567776e-04,2.558841370046138763e-03,1.536345924250781536e-03,3.391294507309794426e-03,9.828156828880310059e-01,9.794077873229980469e-01,9.986267089843750000e-01,9.871428608894348145e-01,3.307425603270530701e-02,3.174735307693481445e-01,2.593470970168709755e-03,9.643638730049133301e-01,2.757977247238159180e-01,5.317537784576416016e-01,9.977772831916809082e-01,7.470337748527526855e-01,9.859465956687927246e-01,2.502880990505218506e-03,1.418116851709783077e-03,6.848472403362393379e-04,5.822037346661090851e-04,4.901436623185873032e-04,5.372751038521528244e-04,3.337178495712578297e-04,4.621608532033860683e-04,3.938790760003030300e-04,2.111786307068541646e-04,4.160385287832468748e-04,5.272343987599015236e-04,5.104194278828799725e-04,4.233553190715610981e-04,2.936283126473426819e-04,4.471118736546486616e-04,3.718603402376174927e-04,3.906899073626846075e-04,2.492914500180631876e-04,2.975839888677000999e-04,5.374687025323510170e-04,5.002628895454108715e-04,5.220145685598254204e-04,5.175785045139491558e-04,2.822848036885261536e-04,4.988274886272847652e-04,5.037757218815386295e-04,1.954380859388038516e-04,5.373670137487351894e-04,2.519463887438178062e-04,5.350625142455101013e-04,3.845216997433453798e-04,4.116588679607957602e-04,2.287231327500194311e-04,5.363303353078663349e-04,3.989850520156323910e-04,9.387310274178162217e-05,2.772543230094015598e-04,5.219710292294621468e-04,2.696801384445279837e-04,2.025274152401834726e-04,3.137659805361181498e-04,4.698745615314692259e-04,4.351966199465095997e-04,2.799671783577650785e-04,4.748418577946722507e-04,4.597956722136586905e-04,4.271848883945494890e-04,3.529705281835049391e-04,3.434530517552047968e-04
4.699050332419574261e-04,4.502949595917016268e-04,5.251434049569070339e-04,1.999850646825507283e-04,4.644551663659512997e-04,1.530157460365444422e-04,4.727124469354748726e-04,4.215459339320659637e-04,2.974495582748204470e-04,4.644024593289941549e-04,2.944715961348265409e-04,4.497490881476551294e-04,5.231602117419242859e-04,4.115741176065057516e-04,3.947484947275370359e-04,1.683930750004947186e-04,2.590534859336912632e-04,3.898845752701163292e-04,5.002910038456320763e-04,4.701926955021917820e-04,1.542577374493703246e-04,5.031201872043311596e-04,2.824447001330554485e-04,5.163224996067583561e-04,1.928619894897565246e-04,1.627081655897200108e-04,4.596845537889748812e-04,4.748192150145769119e-04,5.262395134195685387e-04,5.141716101206839085e-04,2.040443214355036616e-04,5.374717875383794308e-04,5.347216501832008362e-04,5.217837169766426086e-04,2.729799598455429077e-04,3.235046460758894682e-04,4.346542991697788239e-04,2.851205063052475452e-04,3.043012693524360657e-04,4.746886552311480045e-04,4.260346177034080029e-04,4.298472194932401180e-04,4.627998569048941135e-04,5.243256455287337303e-04,5.442757392302155495e-04,4.356878635007888079e-04,3.722788824234157801e-04,5.597157287411391735e-04,6.989623652771115303e-04,6.086078938096761703e-04,3.339950635563582182e-04,2.468868391588330269e-03,3.789940476417541504e-01,4.432203422766178846e-04,5.816840566694736481e-04,9.914507269859313965e-01,2.101363148540258408e-03,9.989914298057556152e-01,1.248321402817964554e-02,7.297712564468383789e-01,9.953861832618713379e-01,9.987663030624389648e-01,5.618112627416849136e-03,9.148377776145935059e-01,9.978324770927429199e-01,9.927980899810791016e-01,9.931077361106872559e-01,6.320055690594017506e-04,5.355027969926595688e-04,5.036821239627897739e-04,4.666498571168631315e-04,3.403483715374022722e-04,5.137906991876661777e-04,5.314192385412752628e-04,4.505970282480120659e-04,5.339052877388894558e-04,3.875559486914426088e-04,5.206060595810413361e-04,1.699145068414509296e-04,4.555336490739136934e-04,2.377245691604912281e-04,5.236748256720602512e-04,1.874832378234714270e-04,5.197086720727384090e-04,2.696042938623577356e-04,2.594294492155313492e-04,5.354578606784343719e-04,5.374733009375631809e-04,1.940189977176487446e-04,4.573394835460931063e-04,4.683115694206207991e-04,1.162948901765048504e-04,2.940877748187631369e-04,5.015523056499660015e-04,1.344877091469243169e-04,4.405957297421991825e-04,1.721679000183939934e-04,3.142021305393427610e-04,3.541808400768786669e-04,5.141946603544056416e-04
1.065763831138610840e-02,1.255835965275764465e-02,1.409034989774227142e-02,1.300803851336240768e-02,1.139433588832616806e-02,1.110654789954423904e-02,1.294398680329322815e-02,1.165496557950973511e-02,1.222175080329179764e-02,1.416475977748632431e-02,1.332453358918428421e-02,1.331580989062786102e-02,1.360380370169878006e-02,1.330369804054498672e-02,1.314486656337976456e-02,1.247553341090679169e-02,1.332557946443557739e-02,1.193157117813825607e-02,1.231299340724945068e-02,1.328815985471010208e-02,1.320204511284828186e-02,1.236880570650100708e-02,1.411991100758314133e-02,1.416904199868440628e-02,1.333574019372463226e-02,1.409262884408235550e-02,1.378138363361358643e-02,1.188310515135526657e-02,1.293443702161312103e-02,1.386516727507114410e-02,1.319991983473300934e-02,1.255624368786811829e-02,1.336418651044368744e-02,1.387388072907924652e-02,1.284171454608440399e-02,1.348619163036346436e-02,1.314249821007251740e-02,1.203632541000843048e-02,1.333199627697467804e-02,1.400477159768342972e-02,1.308827195316553116e-02,1.444795448333024979e-02,1.337674167007207870e-02,1.203562691807746887e-02,1.404602359980344772e-02,1.259705424308776855e-02,1.445494312793016434e-02,1.348822191357612610e-02,1.272171456366777420e-02,1.431034319102764130e-02,1.368304155766963959e-02,1.278840564191341400e-02,1.425613276660442352e-02,1.163838990032672882e-02,1.324930228292942047e-02,1.337085198611021042e-02,1.298555918037891388e-02,1.211596280336380005e-02,1.184502989053726196e-02,1.335537526756525040e-02,1.344777550548315048e-02,1.378701720386743546e-02,1.264176424592733383e-02,1.093288231641054153e-02,1.333794370293617249e-02,1.316978037357330322e-02,1.426449138671159744e-02,1.305875834077596664e-02,1.456287782639265060e-02,1.355401799082756042e-02,1.259196083992719650e-02,1.330938935279846191e-02,1.184637565165758133e-02,1.330130826681852341e-02,1.254955772310495377e-02,1.382378209382295609e-02,1.452309265732765198e-02,1.464458927512168884e-02,1.316256262362003326e-02,1.394558325409889221e-02,1.302925031632184982e-02,1.274032983928918839e-02,1.354415901005268097e-02,1.281855907291173935e-02,1.327166333794593811e-02,1.147952675819396973e-02,1.355152577161788940e-02,1.250918675214052200e-02,1.290924567729234695e-02,1.311527099460363388e-02,1.452496927231550217e-02,1.316058076918125153e-02,1.187579520046710968e-02,1.204312592744827271e-02,1.291644759476184845e-02,1.283777318894863129e-02,1.226826570928096771e-02,1.225487235933542252e-02,1.380110718309879303e-02,1.437711808830499649e-02
1.366501394659280777e-02,1.191086880862712860e-02,1.335597131401300430e-02,1.342421863228082657e-02,1.362769212573766708e-02,1.424424257129430771e-02,1.425156928598880768e-02,1.270737778395414352e-02,1.431811414659023285e-02,1.300695445388555527e-02,1.234981883317232132e-02,1.381064392626285553e-02,1.241562049835920334e-02,1.459615211933851242e-02,1.476683281362056732e-02,1.242868881672620773e-02,1.247075852006673813e-02,1.324820611625909805e-02,1.259092893451452255e-02,1.444171555340290070e-02,1.229861378669738770e-02,1.457941997796297073e-02,1.145509537309408188e-02,1.386676449328660965e-02,1.377864275127649307e-02,1.251085381954908371e-02,1.262135338038206100e-02,1.339329686015844345e-02,1.374462805688381195e-02,1.276780944317579269e-02,1.425106730312108994e-02,1.235645171254873276e-02,1.162340305745601654e-02,1.357240509241819382e-02,1.304535567760467529e-02,1.450384501367807388e-02,1.314003020524978638e-02,1.184400916099548340e-02,1.172649953514337540e-02,1.371800247579813004e-02,1.280034240335226059e-02,1.278096716850996017e-02,1.317844633013010025e-02,1.407174766063690186e-02,1.591715961694717407e-02,1.406947337090969086e-02,1.366086397320032120e-02,1.334125082939863205e-02,1.292292401194572449e-02,1.324517652392387390e-02,1.381587982177734375e-02,1.318349596112966537e-02,1.397669687867164612e-02,1.278915163129568100e-02,1.299636159092187881e-02,1.283574942499399185e-02,1.212024968117475510e-02,1.403401046991348267e-02,1.149943564087152481e-02,1.155324280261993408e-02,1.418034266680479050e-02,1.331446878612041473e-02,1.285556424409151077e-02,1.180404517799615860e-02,1.291241124272346497e-02,1.268544234335422516e-02,1.310747116804122925e-02,1.230631489306688309e-02,1.385972462594509125e-02,1.326235663145780563e-02,1.057909987866878510e-02,1.396925374865531921e-02,1.219837274402379990e-02,1.307481992989778519e-02,1.369326375424861908e-02,1.306914258748292923e-02,1.252241805195808411e-02,1.469399221241474152e-02,1.353957317769527435e-02,1.380288507789373398e-02,1.246873382478952408e-02,1.219256501644849777e-02,1.340808719396591187e-02,1.195187121629714966e-02,1.294058095663785934e-02,1.434271875768899918e-02,1.403709873557090759e-02,1.316188741475343704e-02,1.316806394606828690e-02,1.418637018650770187e-02,1.406475063413381577e-02,1.407305803149938583e-02,1.374956034123897552e-02,1.363278925418853760e-02,1.213078759610652924e-02,1.341841556131839752e-02,1.291937287896871567e-02,1.342347357422113419e-02,1.490842923521995544e-02,1.424881070852279663e-02
5.145214381627738476e-04,2.408673608442768455e-04,5.273110000416636467e-04,4.977789940312504768e-04,1.361983158858492970e-04,3.582074132282286882e-04,5.169187788851559162e-04,2.321432548342272639e-04,3.020700532943010330e-04,2.192402316723018885e-04,5.122791044414043427e-04,4.747291386593133211e-04,1.367593504255637527e-04,4.291348159313201904e-04,4.295670078136026859e-04,3.561643243301659822e-04,4.758017312269657850e-04,1.110144075937569141e-04,1.699832209851592779e-04,4.050707502756267786e-04,5.326786777004599571e-04,2.878137165680527687e-04,5.214930861257016659e-04,5.180794396437704563e-04,2.933434734586626291e-04,5.238113808445632458e-04,3.817269171122461557e-04,5.359807400964200497e-04,5.203548353165388107e-04,2.695511211641132832e-04,5.138164269737899303e-04,1.866525853984057903e-04,5.026125581935048103e-04,5.121973808854818344e-04,5.436432547867298126e-04,5.843226099386811256e-04,8.649736410006880760e-04,2.015935955569148064e-03,3.035264322534203529e-03,9.987241625785827637e-01,5.637793540954589844e-01,4.567256197333335876e-03,6.953512877225875854e-02,1.390467863529920578e-03,9.839991927146911621e-01,7.803260684013366699e-01,9.912523627281188965e-01,9.991238713264465332e-01,9.986378550529479980e-01,9.993681311607360840e-01,8.558900952339172363e-01,2.080554366111755371e-01,2.741015851497650146e-01,3.603139193728566170e-04,4.077221674378961325e-04,1.586085272720083594e-04,5.392570164985954762e-04,4.314077377784997225e-04,4.591947363223880529e-04,4.146337741985917091e-04,1.427864917786791921e-04,5.234016571193933487e-04,3.315563371870666742e-04,4.191515326965600252e-04,5.056721856817603111e-04,5.262500490061938763e-04,4.262976581230759621e-04,3.230592701584100723e-04,4.512676096055656672e-04,1.729145005811005831e-04,3.227591223549097776e-04,3.853322705253958702e-04,3.285031416453421116e-04,1.123377442127093673e-04,5.261978949420154095e-04,4.175905487500131130e-04,2.729016414377838373e-04,1.434858568245545030e-04,9.056311682797968388e-05,1.437304163118824363e-04,3.209796268492937088e-04,3.944139170926064253e-04,2.744371304288506508e-04,5.369704449549317360e-04,3.969825920648872852e-04,5.351757281459867954e-04,4.920831415802240372e-04,5.368095007725059986e-04,4.172725894022732973e-04,3.311248729005455971e-04,3.023388853762298822e-04,3.180644416715949774e-04,3.659885842353105545e-04,4.801214381586760283e-04,4.572987381834536791e-04,4.449207917787134647e-04,2.584448957350105047e-04,3.176220343448221684e-04,3.849627391900867224e-04,4.832546692341566086e-04
1.329223066568374634e-02,1.339518744498491287e-02,1.294377353042364120e-02,1.437757816165685654e-02,1.200672239065170288e-02,1.242275629192590714e-02,1.277587842196226120e-02,1.242852583527565002e-02,1.346289087086915970e-02,1.223877351731061935e-02,1.421173941344022751e-02,1.358169596642255783e-02,1.230607088655233383e-02,1.399577315896749496e-02,1.300442125648260117e-02,1.328637730330228806e-02,1.284541469067335129e-02,1.255874894559383392e-02,1.305545214563608170e-02,1.272044423967599869e-02,1.228230819106101990e-02,1.451701205223798752e-02,1.288191322237253189e-02,1.387471612542867661e-02,1.415568031370639801e-02,1.426799129694700241e-02,1.400219835340976715e-02,1.334191672503948212e-02,1.242672279477119446e-02,1.435537729412317276e-02,1.343792863190174103e-02,1.305580884218215942e-02,1.217552646994590759e-02,1.400007121264934540e-02,1.262266188859939575e-02,1.407013460993766785e-02,1.287254225462675095e-02,1.322209369391202927e-02,1.283255405724048615e-02,1.201614458113908768e-02,1.322867721319198608e-02,1.265297550708055496e-02,1.208079885691404343e-02,1.335818972438573837e-02,1.458542235195636749e-02,1.198907569050788879e-02,1.331634260714054108e-02,1.385377626866102219e-02,1.215383131057024002e-02,1.280743069946765900e-02,1.340893842279911041e-02,1.313900947570800781e-02,1.349741313606500626e-02,1.361687015742063522e-02,1.389243919402360916e-02,1.238825824111700058e-02,1.330850739032030106e-02,1.409594900906085968e-02,1.283709052950143814e-02,1.279052440077066422e-02,1.324909087270498276e-02,1.308620814234018326e-02,1.461363025009632111e-02,1.234927773475646973e-02,1.327151432633399963e-02,1.295717060565948486e-02,1.374179031699895859e-02,1.218755263835191727e-02,1.347094215452671051e-02,1.379318442195653915e-02,1.309072878211736679e-02,1.219585072249174118e-02,1.396010071039199829e-02,1.338983140885829926e-02,1.142411120235919952e-02,1.277129538357257843e-02,1.284548640251159668e-02,1.364545151591300964e-02,1.389108039438724518e-02,1.246499922126531601e-02,1.097788475453853607e-02,1.204044185578823090e-02,1.237696874886751175e-02,1.232238486409187317e-02,1.370160561054944992e-02,1.261593587696552277e-02,1.201294083148241043e-02,1.532632485032081604e-02,1.334580872207880020e-02,1.224126387387514114e-02,1.382536813616752625e-02,1.332097221165895462e-02,1.259410101920366287e-02,1.318837888538837433e-02,1.389351207762956619e-02,1.345023792237043381e-02,1.208659354597330093e-02,1.176224555820226669e-02,1.381393056362867355e-02,1.358540169894695282e-02
1.358058489859104156e-02,1.220340188592672348e-02,1.097864471375942230e-02,1.295491494238376617e-02,1.313816942274570465e-02,1.334618497639894485e-02,1.274026837199926376e-02,1.251393556594848633e-02,1.321327500045299530e-02,1.332947425544261932e-02,1.252632774412631989e-02,1.423084456473588943e-02,1.392271742224693298e-02,1.180303841829299927e-02,1.322329510003328323e-02,1.395622268319129944e-02,1.194977667182683945e-02,1.423271745443344116e-02,1.371136493980884552e-02,1.250086631625890732e-02,1.233391650021076202e-02,1.417994219809770584e-02,1.232280302792787552e-02,1.424054801464080811e-02,1.132998056709766388e-02,1.463815849274396896e-02,1.331789046525955200e-02,1.377462036907672882e-02,1.304253283888101578e-02,1.197585556656122208e-02,1.478945091366767883e-02,1.406313106417655945e-02,1.376673206686973572e-02,1.209032908082008362e-02,1.339867245405912399e-02,1.421819441020488739e-02,1.380851399153470993e-02,1.273526810109615326e-02,1.200231723487377167e-02,1.296798698604106903e-02,1.330933254212141037e-02,1.527438499033451080e-02,1.354676578193902969e-02,1.247567497193813324e-02,1.215690094977617264e-02,1.339404005557298660e-02,1.406992971897125244e-02,1.153941918164491653e-02,1.296672970056533813e-02,1.442300993949174881e-02,1.368683204054832458e-02,1.415070425719022751e-02,1.168143190443515778e-02,1.230249647051095963e-02,1.429658289998769760e-02,1.328068412840366364e-02,1.402444019913673401e-02,1.447139866650104523e-02,1.454922650009393692e-02,1.256728544831275940e-02,1.312268432229757309e-02,1.369991153478622437e-02,1.187712140381336212e-02,1.401827577501535416e-02,1.333143096417188644e-02,1.378276478499174118e-02,1.278564892709255219e-02,1.168645918369293213e-02,1.336788479238748550e-02,1.290585566312074661e-02,1.327701006084680557e-02,1.177562866359949112e-02,1.494100037962198257e-02,1.299647893756628036e-02,1.285882666707038879e-02,1.281729247421026230e-02,1.273350603878498077e-02,1.350049953907728195e-02,1.293700095266103745e-02,1.304249465465545654e-02,1.212817709892988205e-02,1.281028334051370621e-02,1.240594778209924698e-02,1.321337465196847916e-02,1.255651563405990601e-02,1.434967014938592911e-02,1.373685337603092194e-02,1.366776600480079651e-02,1.428022980690002441e-02,1.326580904424190521e-02,1.252894662320613861e-02,1.380191836506128311e-02,1.212360151112079620e-02,1.352465897798538208e-02,1.173342578113079071e-02,1.346056163311004639e-02,1.235983334481716156e-02,1.365049649029970169e-02,1.370134204626083374e-02,1.356662809848785400e-02
3.505241475068032742e-04,5.244461499387398362e-05,3.771187912207096815e-04,5.357310292311012745e-04,5.313777364790439606e-04,4.984800470992922783e-04,2.714691509027034044e-04,5.373736494220793247e-04,3.191634314134716988e-04,2.627456269692629576e-04,5.327528342604637146e-04,3.034564433619379997e-04,5.289826076477766037e-04,4.756267007905989885e-04,4.601385444402694702e-04,3.864590544253587723e-04,5.361455259844660759e-04,3.579646872822195292e-04,4.417518503032624722e-04,5.367654957808554173e-04,4.812165279872715473e-04,1.181288680527359247e-04,4.864408110734075308e-04,1.616111258044838905e-04,3.934953128919005394e-04,4.215317021589726210e-04,3.402146976441144943e-04,3.286011924501508474e-04,3.062772448174655437e-04,4.819275345653295517e-04,3.343047283124178648e-04,4.651731578633189201e-04,4.877232131548225880e-04,4.189709434285759926e-04,5.295014707371592522e-04,2.955767267849296331e-04,4.841494373977184296e-04,1.820389443309977651e-04,5.207309150137007236e-04,4.842809576075524092e-04,5.326715763658285141e-04,3.674831823445856571e-04,2.443888806737959385e-04,4.254112718626856804e-04,2.606788184493780136e-04,4.763061006087809801e-04,5.217658472247421741e-04,6.153319845907390118e-04,9.236407931894063950e-04,2.541528083384037018e-03,2.470381325110793114e-03,7.496100664138793945e-01,9.966235160827636719e-01,2.891793847084045410e-03,1.022427692078053951e-03,9.975195527076721191e-01,1.827505789697170258e-02,9.985733032226562500e-01,1.848032027482986450e-01,7.626401185989379883e-01,9.973558187484741211e-01,9.990305900573730469e-01,4.593486431986093521e-03,6.548997759819030762e-01,9.971238970756530762e-01,8.584299087524414062e-01,2.032353132963180542e-01,5.322528886608779430e-04,7.097140041878446937e-05,4.675301024690270424e-04,6.069925802876241505e-05,3.846720210276544094e-04,2.925196022260934114e-04,3.423696325626224279e-04,4.349784576334059238e-04,2.988965134136378765e-04,3.505996428430080414e-04,2.015407371800392866e-04,2.776259498205035925e-04,3.327758749946951866e-04,3.142617642879486084e-04,5.321942735463380814e-04,5.043623968958854675e-04,5.284874350763857365e-04,4.965721745975315571e-04,5.365128163248300552e-04,5.359945935197174549e-04,2.422229008516296744e-04,3.532309201546013355e-04,3.549428656697273254e-04,4.861752095166593790e-04,4.789248050656169653e-04,5.373929161578416824e-04,5.369134014472365379e-04,3.035979752894490957e-04,2.024418936343863606e-04,3.046321799047291279e-04,4.859254695475101471e-04,4.025602538604289293e-04,4.222141578793525696e-04
1.327211968600749969e-02,1.378647889941930771e-02,1.287711132317781448e-02,1.392975077033042908e-02,1.312213577330112457e-02,1.392426155507564545e-02,1.284913904964923859e-02,1.406981796026229858e-02,1.489037927240133286e-02,1.157602109014987946e-02,1.486075948923826218e-02,1.254445966333150864e-02,1.405443344265222549e-02,1.241379603743553162e-02,1.218294352293014526e-02,1.267683319747447968e-02,1.325205247849225998e-02,1.391154620796442032e-02,1.182584557682275772e-02,1.363906729966402054e-02,1.280555035918951035e-02,1.312133297324180603e-02,1.381095498800277710e-02,1.446049381047487259e-02,1.254658028483390808e-02,1.387471612542867661e-02,1.193513069301843643e-02,1.235814485698938370e-02,1.337382849305868149e-02,1.233380660414695740e-02,1.465868018567562103e-02,1.346562802791595459e-02,1.297014858573675156e-02,1.245205104351043701e-02,1.098518166691064835e-02,1.350335590541362762e-02,1.238381862640380859e-02,1.255470607429742813e-02,1.338775921612977982e-02,1.157876010984182358e-02,1.183313783258199692e-02,1.279997546225786209e-02,1.236783806234598160e-02,1.377546321600675583e-02,1.222749147564172745e-02,1.202457677572965622e-02,1.210888754576444626e-02,1.251993514597415924e-02,1.281119324266910553e-02,1.337083429098129272e-02,1.328193489462137222e-02,1.284621283411979675e-02,1.210499834269285202e-02,1.168657001107931137e-02,1.274295058101415634e-02,1.180025748908519745e-02,1.289759576320648193e-02,1.410584617406129837e-02,1.373567152768373489e-02,1.188616733998060226e-02,1.314766332507133484e-02,1.226583868265151978e-02,1.312873233109712601e-02,1.301268581300973892e-02,1.156897284090518951e-02,1.379149872809648514e-02,1.302544865757226944e-02,1.260752696543931961e-02,1.344962324947118759e-02,1.209725160151720047e-02,1.253058668226003647e-02,1.325795240700244904e-02,1.475299894809722900e-02,1.286755129694938660e-02,1.347664743661880493e-02,1.336312387138605118e-02,1.259818766266107559e-02,1.367937214672565460e-02,1.463476661592721939e-02,1.153599936515092850e-02,1.265242230147123337e-02,1.193353906273841858e-02,1.327859051525592804e-02,1.338052377104759216e-02,1.290241815149784088e-02,1.245952956378459930e-02,1.415357086807489395e-02,1.325723435729742050e-02,1.253324281424283981e-02,1.312026474624872208e-02,1.301373913884162903e-02,1.429222896695137024e-02,1.428958121687173843e-02,1.252766605466604233e-02,1.328057795763015747e-02,1.189093478024005890e-02,1.360592246055603027e-02,1.398271787911653519e-02,1.382172759622335434e-02,1.262567471712827682e-02
