s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
3.308312186094454401e-03,3.341861960153360580e-04,-3.137463242005294334e-03,3.184124364907933930e-04,-8.449909612654573146e-03,4.211904354358675037e-03,3.552987424844786593e-03,-2.009498163662868709e-05,-8.744817274329630408e-03,-7.371070165240438269e-04,-4.828724989328975030e-03,-5.546195919444793163e-03,-6.433982412785237831e-03,-6.217837239538651431e-03,-8.447028925054599416e-03,-1.242515011169503455e-02,-1.147552481396411049e-02,-1.526178431791428564e-02,-1.132258840986908634e-02,-1.377700955620569066e-02,-7.911068980631295183e-03,-5.435878961062423111e-03,-5.282876409596354165e-04,-3.081761705757076505e-04,-8.255019247742856336e-03,-2.361269362455756368e-04,-2.478802296632743652e-04,-4.997397705913456806e-03,-2.898687669138579667e-03,2.239865491404180974e-03,2.793164949776214597e-03,-4.896321770916501996e-03,-4.466132163850992064e-03,-6.935409071822128992e-03,-1.266577702783380430e-02,-4.194456908433650405e-03,-8.566966189720826366e-03,-7.688238230609282554e-03,-8.870034353927651674e-03,-1.983065782218812294e-03,-3.520617953710203016e-03,-5.152275698377805670e-03,-6.337506279807366208e-03,-2.449766161911562205e-03,6.993477489678958520e-04,3.417328679541792053e-03,1.176806623248235432e-03,-4.552596446634282409e-03,-2.237720119139591430e-04,-1.632080494913403391e-03,-5.310453351839909773e-04,-6.834442870460302397e-03,-9.726393848781446014e-03,-4.142339721930143361e-03,-4.962132165885124388e-03,-7.191488361389282435e-03,-3.100514611345088636e-05,-7.642745753971071608e-03,-1.137970339413235015e-03,-9.826700794272606732e-03,-2.573447288534958487e-03,-1.118354807552823967e-02,-2.917183667709100960e-03,-9.658102712316046431e-03,-5.682292165607013591e-03,-6.458660504554898478e-03,-8.543806116183610619e-03,-5.909263648347081420e-03,1.457604233162080557e-04,-7.659929756268387541e-03,3.094510876145606013e-04,-3.729764689926133147e-03,-6.633961043119904200e-03,2.203285971321707667e-03,-4.082818004969121679e-03,7.545335593931915387e-04,-5.618075049105430811e-03,-3.212501161012829357e-03,-9.749403290937035116e-03,-1.203432530601596800e-02,-1.268398791034184431e-02,-8.487227437563141935e-03,-1.118321479060165741e-02,-1.285841695315391442e-02,-8.543140355351742238e-03,-3.871453218668256206e-03,-1.440732499763421742e-03,-5.233984973359721501e-03,-5.867083491119215758e-04,-3.350486944998254304e-03,-6.118618443102406476e-03,4.001135029255342354e-04,-3.087285336216101343e-03,-5.601460941023487378e-03,2.087163250759154441e-04,-3.717257881105017359e-03,-2.972578343345718202e-03,1.038934785682823700e-02,1.516665105617622661e-03,0.000000000000000000e+00
-1.008465089132451822e-02,-4.721013451841317432e-03,-3.420394082001685168e-03,6.557760252143051381e-03,2.433246239555558136e-03,-3.951358423266737932e-03,2.906662385122433471e-03,-1.197898933986431573e-03,-3.837734382293571129e-03,-5.529070793057157783e-03,-3.438672361423214421e-04,-4.424676558801583781e-03,-5.117094548831449020e-03,-8.768890503880372861e-03,-9.329613510584743377e-03,-6.124264944610679530e-03,-9.359690237633760262e-03,-1.149114809743554712e-02,1.511207056538014896e-02,1.602334228162438645e-02,1.618798666036982969e-02,1.407806340570805573e-02,1.187744354093882813e-02,1.220238536580640562e-02,1.518531863613611053e-02,3.166605875377536371e-03,-3.471626725455590601e-05,8.265259474375829694e-04,1.736091834768200897e-03,-4.746972708578764584e-03,2.274813275884416969e-03,5.139761604263159978e-03,2.199355941454680333e-03,1.116190315397973774e-02,1.189290008098047892e-02,1.355328979396268688e-02,1.281042726900476388e-02,1.151412151125033242e-02,1.361829829820610654e-02,1.892304306877001796e-02,1.249756145172075013e-02,1.029393128982092169e-02,9.290579750284173530e-03,8.895469271915836668e-03,1.054874150924978854e-02,7.893043872719919529e-03,8.375976679331221739e-03,1.401074404150069903e-02,1.500258559408486868e-02,1.708771561413443066e-02,1.341883561621018753e-02,1.034830506939124831e-02,1.418586228684679505e-02,1.151228193139340779e-02,-9.867742606852272858e-06,-6.751528610837514380e-04,1.210398929198977210e-03,-1.766284546967281490e-03,3.801308055685270835e-03,-1.359099351562337516e-03,-4.583658226822366448e-03,-3.465634343650321513e-04,-5.517253481181295070e-03,-1.530452611276829139e-03,-1.618928353890330398e-03,-4.078785601324722357e-03,-1.982891227495612273e-03,-1.200189271992828811e-03,-2.446631363193733227e-03,-4.397226328834006638e-03,-6.982836809433782448e-04,-4.368137536296238014e-04,-4.274559162725844776e-03,-1.577433718251700567e-04,-1.557276175568515037e-03,-2.180331415564706974e-03,-5.411585989872662143e-03,-4.919257454408466380e-03,-3.012724451925082036e-03,-1.111043794728934324e-02,-8.576921278138733770e-03,-1.020384614564921917e-02,-9.713723195564445342e-03,-9.887428400006613091e-03,-6.470886598568971644e-03,-6.444181073495877134e-03,-4.334336922176813475e-03,-4.317094458573119201e-03,-6.080808609909125638e-04,-3.449381267702683000e-03,2.525777421748510564e-03,-5.947099551555163482e-03,2.934379925649647190e-03,-2.196358202224271434e-03,1.732870822544389062e-04,-1.627013000126082158e-03,1.133952648314112167e-03,6.424046529061694074e-04,5.250697484018402098e-03,0.000000000000000000e+00
-1.030283570360489287e-02,-3.940393286734708393e-03,-1.666042022277685729e-03,-5.626647643955731866e-03,-4.874124179117440142e-03,-7.147978590871891707e-04,5.499665858669795359e-04,2.760344186146204866e-03,-6.205688657407650455e-04,-6.404707207381240587e-03,-6.343820070790128114e-03,-6.339064126398415329e-03,-4.426631214232003980e-03,-9.623891866603246498e-03,-9.015877800206788251e-03,-1.114416440314665996e-02,-1.114463470316193368e-02,-8.762081298862113565e-03,-1.120734785941219017e-02,-1.312696093559027194e-02,-1.061253980673574487e-02,-8.186982551939068001e-03,-5.203190996091654153e-04,-5.037587384145398271e-03,-4.083603545218211610e-03,-1.064533890796046404e-03,-2.844877508190311768e-04,5.568539920475713183e-04,3.706360347628063828e-04,2.880212466868927682e-03,-9.077798774612436897e-04,-4.742638090931641098e-03,8.930610254102389154e-04,-4.541433836017757728e-03,-7.617428421090281440e-03,-9.077858694812427492e-03,-4.635958962988010433e-03,-4.923513741960200765e-03,-3.149844270668188118e-03,-7.874713569329444898e-03,-5.276174604670593122e-04,-6.218226442629495865e-03,-1.266865839512151468e-03,4.344068002798801530e-04,1.595997592884498915e-03,6.969396925320032500e-04,6.489136058998170664e-04,5.719690277046003040e-04,-1.178788971526531591e-03,1.926539574328167692e-02,1.676476384874402148e-02,1.360458572217848952e-02,1.265374883162068316e-02,1.358103551385692748e-02,6.388042739742821712e-03,1.488258336709366234e-02,9.027912809772147690e-03,9.233472082950123713e-03,1.211204803177288493e-02,9.174545967235502725e-03,1.577013795920477468e-02,1.859204547770067217e-02,1.195372215837875278e-02,1.214922034813596848e-02,1.637332254187744487e-02,1.387294710805233623e-02,1.684869690153860053e-02,4.870578356447629632e-03,4.150721084138005168e-03,2.041751945711645783e-03,4.667957154298890861e-03,9.430587369938639225e-04,6.413842904339896699e-03,2.819850813690512152e-03,6.945613339532597137e-03,2.946837422517012157e-03,6.555251420948289033e-03,1.176461102942622655e-02,1.212415314534994251e-02,1.472556292553817495e-02,1.293141821544912737e-02,1.861666699291706500e-02,1.226362907427744689e-02,-1.178009161085262317e-02,-7.790421530878817100e-03,-7.812939094765656775e-03,-3.687124741533839064e-03,-5.954575886537738331e-03,-4.673269532794449913e-03,-1.506487854337026672e-04,-4.704284945527372960e-03,-2.559587749583886601e-03,-1.152574816896542124e-03,1.843379687637548272e-03,-2.570515624237295314e-03,-2.482090962584355270e-03,4.308352414194319135e-03,-3.211259094902974964e-03,-1.170133508725309732e-02,0.000000000000000000e+00
2.083827740395801861e-03,-4.861374205470317747e-03,9.616190676328943308e-04,-2.429254187028961811e-03,-5.481255339982228116e-03,-1.267622457094192290e-03,-2.752502973267320890e-03,-1.303381774780930109e-03,-6.224166634026608719e-03,-3.958786907199319952e-04,-5.165061296318114448e-03,-4.273220388608444352e-03,-3.648618990579760319e-03,-1.047366452709230442e-02,-6.187643755696220493e-03,-8.390899813663359186e-03,-1.011104862474958288e-02,-8.986989102080325878e-03,-1.031146372143234950e-02,-1.152959897816740673e-02,-1.009211177430987573e-02,-1.323273421517545331e-02,-8.247134020515385980e-03,-7.622607885840161634e-03,-6.671401034134030218e-03,-4.929128365682400661e-03,-3.686225456451654257e-03,7.217225564727242906e-04,1.363648896571371038e-03,3.627045278995881267e-03,-2.444241641867875899e-03,-4.701485346332355195e-03,1.900173601721641924e-03,-8.101418629435617330e-03,-9.761182183766004342e-03,-7.984716878775425034e-03,-1.084928041226169808e-02,-8.551658096072150411e-03,-1.192066781622203031e-02,-6.691951340429071887e-03,-1.058872791060430467e-02,-1.012573274099386189e-02,-6.441000478843403841e-03,-5.474475453090637406e-03,-9.480851228689737495e-03,-5.890984778846210766e-03,-7.994567156779180950e-03,-1.061440214574337765e-02,-5.054529519129494046e-03,-1.178946829304161788e-02,-1.106697923980525314e-02,-3.629995978247226290e-03,-4.520623242579481331e-03,-7.120583985711686527e-03,-7.513179499791257029e-03,-7.443217052496195127e-03,-8.236027573348106770e-03,-1.037649668380721726e-03,9.008650245146656221e-04,-1.222914776923133976e-04,-8.515913452600745032e-03,-2.642386267519029538e-03,-9.144541821158677251e-04,5.918828882256225651e-04,3.192560964943758788e-04,-2.813174702085240522e-03,-2.427859875898733411e-03,-2.807837497847260580e-04,-2.220322441005231299e-03,-8.183110617356202567e-04,3.667756954499868348e-03,9.477920676701922934e-04,-5.115027872883795915e-03,2.171225299514864884e-03,-6.412847475654315579e-03,-9.802238337409409545e-06,-3.699971920909342089e-03,-1.080674819769588194e-02,-5.339247362169282068e-04,-4.679307517366258079e-03,-1.196056852128372060e-02,-6.832055868739716521e-03,-1.180678296314387893e-02,-5.750279714921348317e-03,-1.116551932596126888e-02,7.810794528912290077e-03,5.531824659775176622e-03,1.449916882395839435e-03,-1.928972953780487684e-03,-4.617334938500512395e-03,-3.866823356155470268e-03,-3.300849141264524181e-03,-3.721841792807184090e-03,6.742688032545424192e-04,1.692201401902173165e-03,-2.247499855373870771e-04,-1.000043110605597103e-03,-1.960081336469797573e-03,-2.267829816249177476e-03,0.000000000000000000e+00
-1.565411868989733746e-03,2.420949907727847246e-03,-5.449990576630669471e-03,2.291821642369631755e-03,1.317882161766645690e-03,-6.656241956557746448e-04,-2.701861146279489236e-03,-2.968119960250370070e-03,-4.863246972803951865e-03,-2.453692688940863498e-03,-3.617560105417011625e-03,-4.214767849836883497e-03,-5.684952830523600474e-03,-9.632176008891565541e-03,-7.217642794408676669e-03,-1.000742524185807558e-02,-1.289334366540636698e-02,-1.195486285188364015e-02,-9.787434148223150138e-03,-9.786152666901824781e-03,-7.507953549852379276e-03,-3.703453879626030214e-03,-4.621288841793200555e-03,-5.316323707667252457e-03,-8.876531037208763852e-03,-1.202191439275450240e-02,-3.695835970483366158e-03,7.803014785858763958e-03,2.764706250007283993e-03,3.043998631547018691e-03,-1.122887421080606945e-03,-2.449337171416677509e-03,2.295487654866642385e-03,-4.595644624664929449e-03,-1.028893154800861708e-02,-7.890119778512852400e-03,-5.971786270341075675e-03,-6.121125493103125002e-03,-8.197860847896275283e-03,-5.329523376106054360e-03,-2.870054130646756355e-03,2.524112427768499239e-03,5.941790878562020406e-04,-3.019379920365117004e-03,9.751492033428885587e-04,-2.614280810501184906e-03,-2.846798944272513690e-03,-2.423260577548666875e-03,5.969234613929330462e-04,-2.656909937204255008e-03,-3.082948772453981273e-03,-5.028375393350473579e-03,-9.381452453847274192e-03,-9.675617572639360481e-03,-3.376378418265634992e-03,-7.230274304176622334e-03,-1.756956885302604719e-03,-6.047749053242028675e-03,-4.494854788653383434e-03,-3.003349453130049751e-03,-4.662365385699876463e-03,-8.236091675299379855e-03,-9.556326320404219185e-03,-6.006342107866901626e-03,-6.444455984157501129e-03,-6.460850852509283405e-03,-7.956922980765510425e-03,-3.499626226805442955e-03,4.889244675974791388e-04,-5.919379524669404931e-03,-7.320976823324315715e-03,7.181936541951436945e-04,-6.568108599971140063e-03,-6.751916895988517922e-03,-6.553814921564862436e-03,-3.605109988633985445e-03,-5.890750061403542126e-03,-6.922429430423819759e-03,-2.622011124535954078e-03,-7.870619196667337503e-03,-8.686422680796722015e-03,-1.076101280809048030e-02,-1.052035802709733354e-02,-8.563887901596636820e-03,-9.698230157096289494e-03,-3.645104949232919403e-03,-5.625789657708687823e-03,-5.183509161608060474e-03,-3.694957783851073475e-03,-7.237090940309452540e-03,1.344438267288533854e-03,-3.071392022905301399e-03,-5.170072345662074000e-03,3.674785395316307757e-03,-8.188840370934324236e-03,-1.159722035772807588e-04,5.862056264958742484e-03,-1.518630855081975692e-03,-2.604758233860942317e-03,0.000000000000000000e+00
-5.483848179540528646e-03,-1.944607012816175094e-03,-4.284936754093527679e-03,-2.360547227755062372e-03,-5.134791970595105684e-03,-1.260548533497673779e-03,-2.835484519714111685e-03,-5.056848742811923154e-03,-5.144423720277458952e-04,-1.842346385765046774e-03,-3.444153624225582827e-03,-1.004733500793760252e-03,-5.156754376029610600e-03,-7.273358857321813101e-03,-1.008245838068605287e-02,-7.888351989513063545e-03,-8.173211819251589849e-03,-9.922006001630781155e-03,-1.115335329068743372e-02,-9.165230213003690979e-03,-4.818441921951501818e-03,-8.323217792625414030e-03,-6.857121637014146169e-03,-5.250073934983581075e-03,-5.602636016807761160e-03,1.426874032521296162e-04,2.249796626480757983e-03,-2.414981514230178910e-03,8.766636605949262731e-04,-4.940403648611620688e-04,-4.656170426922399616e-03,-1.997125350780463906e-03,3.502149299978444836e-03,1.265389785824208579e-02,1.625418354054664755e-02,1.486836992292687488e-02,1.092537027599774918e-02,1.259626030759032622e-02,1.225353260156590053e-02,2.000886534111946669e-02,1.241081893944550457e-02,9.884477376353367761e-03,8.851191762895019299e-03,9.680662537458258055e-03,9.501062040408654943e-03,1.416464733442286336e-02,1.289412632374590043e-02,1.402870607049256854e-02,1.177443649655793290e-02,1.363294240614911119e-02,1.344143808625237503e-02,1.435698750204024779e-02,1.569482913348105649e-02,6.098556151985072733e-03,6.890396322409500160e-03,3.090070718451492626e-03,-1.459254284607085618e-03,-1.258268369208996866e-04,1.305770162152012129e-04,1.447719442491749060e-03,1.514457174619553224e-04,1.053721735817046050e-03,-3.713711967703166045e-03,8.692915880022564863e-04,-1.519179953683201317e-04,-9.829160630869921388e-04,-2.337546939670529129e-03,-8.620930308364284367e-04,-2.826019715691069595e-04,8.335145081064404288e-04,-3.334416369928993023e-03,-5.990529865632635747e-04,-3.816025785691728924e-03,6.098206051228612827e-04,-2.694688654814574730e-03,-3.267137121909497507e-03,-8.449497126299805941e-03,-9.229668213461682258e-03,-4.873310457239318078e-03,-9.031509399110859010e-03,-7.678757173192929213e-03,-1.120045143370726817e-02,-1.147582707420210374e-02,-7.085569129288114831e-03,-5.387501420657910683e-03,-5.809089048068660950e-03,-5.693820159641588621e-03,-2.996704943383398951e-03,-2.135095901849174381e-03,-3.372295847020683607e-03,-2.867962600895887244e-03,-3.830624788746615252e-03,7.432150761089819421e-04,-5.491430235762156595e-03,6.541644296278392116e-04,6.806922217173823168e-03,2.203038087841494973e-03,1.712881517554922396e-03,-3.607579432521631005e-03,0.000000000000000000e+00
-1.754516480689856384e-02,1.172533250810415910e-04,-5.137974767704982714e-04,-3.665762900074935517e-03,2.110233259458262154e-03,3.297807664514739064e-04,4.361861599013563441e-03,-3.097831701191829969e-03,-4.430136815930311479e-03,-4.217395596870185739e-03,-6.876267841643732281e-03,-1.621908628084087808e-03,-6.571348510879477037e-03,-8.457553184556754894e-03,-7.785469732278906506e-03,-7.912147683646049076e-03,-1.483653919450042026e-02,-7.448653544290411745e-03,-1.290879962999783720e-02,-1.413259732352981253e-02,-1.067612899066658176e-02,-8.008107971071341813e-03,-5.079732699843484377e-03,-9.923859869121323674e-03,-5.095265571998368673e-03,-1.868595443806222046e-03,-3.413703438164553388e-03,-2.338691420070570669e-05,2.747058678629335591e-03,-1.911521726179782224e-04,-6.259449898940403281e-03,-4.987253215754647306e-03,-1.230666665359846784e-02,-3.037512545036159459e-03,-7.280386127404362036e-03,-7.399111927957289885e-03,-1.025893644159243771e-02,-6.681418950300401470e-03,-1.871155763347108611e-03,-9.923403209432685515e-03,-1.076202651709921854e-02,-1.983662368830049153e-03,-2.679628511824944711e-03,-1.108253210732568217e-02,-1.573899002744589409e-03,-8.063014025441378463e-03,-9.904323561566339904e-03,-3.115424526753711280e-03,-5.965051643297918267e-03,-1.116631014335514940e-02,-8.052975598104868127e-03,8.747369240588231476e-04,5.832449075951121444e-04,-3.555880556161483490e-04,5.194584883680321979e-04,-2.200591893760395126e-03,-2.269572756245083131e-03,-1.316213794343625270e-03,-5.594165826629699271e-04,-3.212074596449261167e-03,-1.774461582787061412e-03,-1.138510201926804400e-03,-3.075598722272466796e-03,8.488649144796604903e-05,-3.826650223571471357e-04,-8.540019140347342511e-03,-1.118857317177338745e-02,-8.959039435088269471e-03,-8.446621880764802748e-03,2.598882724203690348e-03,-3.194604906094326065e-03,1.429933442894828219e-03,3.096627190081534080e-04,-2.254386682144740204e-04,8.054307043117005325e-04,3.165887968877122290e-05,-4.977158300869297114e-03,-8.715019023339719978e-03,-7.710704472159597526e-03,-5.196511267772072756e-03,-7.242953283576584848e-03,-1.234635505327347747e-02,-5.577926958210587677e-03,-1.215584266832200888e-02,-5.770619293219374397e-03,-9.528178264050774296e-03,-8.263253983276409864e-03,-5.216813607182537588e-03,-1.190588165031498035e-03,-6.544312401779017220e-03,9.266991295594834881e-04,-4.133754465952958410e-03,4.378030620443226079e-03,5.814280370202003180e-04,-4.702303636391480003e-03,-1.224549877597901158e-03,3.390351633498066286e-03,-4.232308001743859995e-03,-4.275555503010610488e-04,0.000000000000000000e+00
9.992496636150285244e-03,4.605092331558254676e-03,4.895576514354032030e-03,-7.701590074132528586e-03,-6.302894525516297003e-03,-3.680443800798168050e-03,2.649094803387928073e-03,1.873532818520144043e-03,4.269448250343538774e-03,1.382045161622099316e-03,3.748478415637766358e-03,4.610818280161722849e-03,5.160211960227954926e-03,9.016371968722840247e-03,6.681044437097991180e-03,1.057546875186226101e-02,1.586452859609576924e-02,1.941058278001636314e-02,1.543996303589371781e-02,1.560622338090477193e-02,1.616502862350568254e-02,1.616076570969235057e-02,1.091518046085147159e-02,1.124016251352720659e-02,1.193917513511065856e-02,3.585475763382989060e-03,6.227783002872332770e-04,-5.380431268246090026e-03,-7.117268796673386494e-03,-4.957070528726019616e-03,2.455694037927480620e-03,4.545350022419894151e-03,-2.302315147313735953e-03,-5.509159367945230291e-03,-8.015278311944974005e-03,-3.935752223127958645e-03,-1.500496385609373026e-03,-6.279223727654864758e-03,-6.247180230048442716e-03,-7.397254132541401274e-03,-7.001522852374057228e-03,-6.090417688392643115e-03,-7.237651639341984196e-03,-7.403442249609560981e-03,-5.979904227252645817e-03,-8.650699263789524487e-03,-7.975516873515029609e-03,-9.218498514911686523e-03,-9.972780043993155139e-03,-9.445563989311336547e-03,-6.698238787937018171e-03,-1.045724155186172032e-02,-1.130141993182724736e-02,-4.280261256106491531e-03,-2.865071529853405793e-03,-9.872126625795391366e-03,-5.757601783643625896e-03,-8.118994795006202400e-03,-4.397969443959740335e-03,-7.778910761989488859e-03,-9.109208098768757644e-03,-7.950708794052095685e-03,-1.268254620906545652e-04,-6.534079550322346649e-03,-8.159663748382098639e-03,-1.074424720999186955e-02,-9.853112428292265176e-03,-3.499489143833384597e-03,-6.421473334489436445e-05,-3.543447159793967904e-03,1.784246474277346041e-04,8.187375390966057263e-04,-2.121880852966104465e-03,-1.061741677976851036e-03,-5.171937076105679633e-03,2.038410622546924216e-03,-8.146690420691419035e-03,-5.555874215776742536e-03,-9.660614358325750675e-03,-8.683879586124779171e-03,-8.340539794272263524e-03,-1.040981161057379957e-02,-1.128242583853215041e-02,-1.104219348402870476e-02,-5.129759799666668181e-03,-6.026961142468032981e-03,-6.321945875259938133e-03,-4.272309533167015921e-03,-3.517014231030356902e-03,-7.141738607286402495e-03,-2.850866332965566654e-03,-1.675447275473607080e-03,-4.321559517769224187e-03,-1.998876248788878946e-03,2.184028927811371753e-03,-4.855749353230054931e-03,5.653400485889793943e-03,6.132648859584427601e-04,-2.095204027451318812e-03,0.000000000000000000e+00
-6.627980968906883007e-03,1.047569231694018719e-03,-4.917038275581583039e-04,-2.762355144405388339e-04,2.395184750850287779e-04,2.622002526870677308e-03,2.612376872544536644e-03,1.184199562793113907e-03,-2.967366741292266647e-03,-3.704302938800399427e-03,-5.828062471254701234e-03,-5.028578307432853174e-03,-4.797926452448419976e-03,-9.408803904529196641e-03,-2.472409509460513771e-03,-1.451853197171915945e-02,-1.145345373231454293e-02,-1.314830840488277232e-02,-1.087608458395372332e-02,-9.793492881581751172e-03,-9.890074563640122857e-03,-1.016779675835093565e-02,-8.621678834483035431e-03,-9.081078270841870873e-03,-8.621149679836934837e-03,-2.519045111188204615e-03,-1.779490089503197930e-03,-2.952138589541365363e-03,-1.251724022586778217e-03,2.638967411151633448e-03,-8.383466171596463175e-04,-4.685043513460059907e-03,-4.923131589112775567e-04,-2.774626333264666386e-03,-8.084550536287848574e-03,-5.433532617741872878e-03,-4.616433179000387944e-03,-5.905842232978401884e-03,-2.062464225944704316e-03,-1.083098441196431823e-03,1.504790913170109398e-03,2.070033173999595751e-03,-1.538199657798844985e-03,5.882338590539858960e-04,-7.288624804106238683e-05,2.069562701961248294e-03,4.049704194624714883e-06,1.344227604568504209e-02,1.321865520670956022e-02,1.808077074772610968e-02,1.538625620382340700e-02,1.479599232374355713e-02,1.811497160877003840e-02,8.266120983499011463e-03,3.954777311541441548e-03,1.561703674608004751e-02,1.086727329847702109e-02,1.619359298502947783e-02,8.082564053131655740e-03,1.322820140949909108e-02,1.077681503683529038e-02,1.573250806088729095e-02,8.834998608267329023e-03,1.088922069597238543e-02,1.555548580208258695e-02,1.381706301737047407e-02,1.776182637563696737e-02,9.048575109342860828e-03,6.819142031036983138e-03,6.557164386641734996e-03,4.012399576105852954e-03,3.606868990414567144e-04,6.331290146230380937e-03,4.895208041109933884e-03,4.784774514700836957e-03,1.042502244507534283e-03,7.697570846485981069e-03,1.400355603275249203e-02,1.228527533299136540e-02,1.369277812526829841e-02,1.574155710755209547e-02,1.223131591798837237e-02,-1.071853512389399181e-02,-1.057098310108184509e-02,-7.738575547379934055e-03,-5.187663700016926713e-03,-7.999151814182023368e-03,-2.377428652194165434e-03,-7.173995813246213278e-03,-2.221030603962620507e-03,-6.219310395508624578e-03,-1.039918987655652927e-03,-2.265876333071842677e-03,4.163572157714116005e-03,1.587391019129030236e-03,3.149478629338252345e-03,-1.026452364946578346e-03,-1.486451391572005684e-03,-7.079408167456959465e-03,0.000000000000000000e+00
-4.995388915393124060e-03,-9.574743588777927597e-03,3.304078581376698742e-03,-6.025496879844285079e-03,-1.595689042451114200e-03,-4.452386724096382047e-04,-2.594428895529770317e-03,-2.945964943931024625e-03,-6.189976855155869323e-04,-2.840920018187834302e-03,-4.717679201645173445e-03,-4.939455510513210412e-03,-5.683006270421673764e-03,-1.050599253156392354e-02,-1.005379018259735732e-02,-7.385264106707130002e-03,-8.328774241466274653e-03,-1.159592732780396866e-02,-9.583197777705124154e-03,-1.129228745175248766e-02,-6.538097980163627872e-03,-1.124709444783404157e-02,-5.818964880392307921e-03,-4.692774077906328341e-03,-6.993855006318931700e-03,-2.485660468436100019e-03,1.567160949911672926e-03,5.324705846271672637e-04,-3.148144527556106295e-03,1.058254627596847547e-03,-1.245281382375419297e-03,3.461605275429144421e-04,5.232498386803013316e-05,-5.109804672278532231e-03,-9.825241745569455315e-03,-7.675689823176886327e-03,-4.263505047436882446e-03,-7.278200067005652189e-03,-6.983463052238780659e-03,-6.814236064393968013e-03,-9.579353059922468550e-03,-5.493085346007281836e-03,-3.524817892230879424e-03,-4.252790362057203878e-03,-4.171414550950098936e-03,-8.361232063943702456e-03,-7.483994909605683199e-03,-5.379610841710569247e-03,-9.280328604584199559e-03,-1.148400486523999328e-02,-7.045415808852284814e-03,-8.518268783924984669e-03,-1.010962505410619577e-02,-3.749151003641422713e-03,-2.699744926843027255e-03,-8.148086364802140449e-03,-7.152756650950311580e-03,-5.682269370514619194e-03,-5.172356128705190952e-03,-1.665658855674740681e-03,-9.658476062915317961e-03,-6.517587096136658563e-03,-3.345381449196218986e-03,-4.740453920759788234e-03,-2.858930442320403373e-03,-1.782674596193351566e-03,-5.329346780110134907e-03,-4.975946201902484503e-03,4.752352557254289206e-03,6.678648360742992039e-04,-3.580488633904192319e-03,9.428673670695961921e-04,6.138170469709329675e-03,2.156815140583567218e-03,2.694709581021245432e-03,2.932224148814586723e-03,5.493350108554132839e-03,8.771484499438772856e-03,1.162172910455772611e-02,1.146898974246276376e-02,1.069559436974426049e-02,1.076199293054674704e-02,1.176843789485506643e-02,9.166864395587358272e-03,7.049311375401055672e-03,7.220139494770600776e-03,8.556260380112656189e-03,9.230243860348297984e-04,2.315707436125114991e-04,8.624668898682402848e-04,-3.026671534335222970e-04,7.841609996527687662e-04,4.024880955640065122e-03,-4.243816976383619870e-03,-2.712960120132046175e-03,-6.211334420296690025e-04,-2.143263948948862484e-03,1.190687650528792082e-04,-6.753266661958316243e-03,0.000000000000000000e+00
