s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
8.299300114334301481e-04,4.353511528434047401e-03,3.820566389503409627e-04,0.000000000000000000e+00,1.119915430390326649e-03,0.000000000000000000e+00,2.201830181579114698e-04,0.000000000000000000e+00,8.391518378885048923e-04,0.000000000000000000e+00,8.655853691227136104e-04,2.724423941079606726e-03,5.738488204645883495e-03,3.092503252621017773e-03,2.903365490080613009e-03,5.964058553056192369e-03,7.799465018890963663e-04,3.082833172649148551e-03,5.697830472918087585e-03,1.062972344005333816e-02,8.270853960408778432e-03,8.198192022899314368e-03,3.005827655534380229e-03,8.537152931725848493e-03,8.877444133982587138e-03,5.474116577880595164e-03,3.251161969469916480e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.411898472601727794e-03,4.206858078522692640e-03,2.650713001516378890e-04,6.721461137620177162e-03,1.109877209465635894e-02,8.101876859403979447e-03,1.277286358088192131e-02,9.466363108997236792e-03,1.369615054004543614e-02,9.991193591473521846e-03,9.286940652843571342e-03,5.664011135029931726e-03,9.646086014079041648e-03,2.935722871313588972e-03,7.400322904808014080e-03,5.962479238861798092e-03,2.718539803848983756e-03,1.037934970052339402e-02,1.107422371138602410e-02,1.119908401618672882e-02,1.257165282846123104e-02,1.412662612121562411e-02,1.353174828623859849e-02,6.194983545585393964e-03,9.097608823956840340e-03,1.171674557969228092e-02,8.833413733348473990e-03,1.246666412295131116e-02,3.059847261586354228e-03,9.983370951553868777e-03,7.528144039579701130e-03,1.203675365611009407e-02,1.045406189236895191e-02,8.945017656113704585e-03,1.330720660943034150e-02,1.280346645797039717e-02,9.249551201952144197e-03,5.957329089387786158e-03,3.391163575646852224e-03,5.128738377526038950e-03,1.925584055310944342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.967937974448654932e-03,1.146440786691169111e-03,0.000000000000000000e+00,5.485278155054860993e-03,7.809430373686726545e-03,5.770323721276764822e-03,1.553292258085238464e-03,0.000000000000000000e+00,7.341481982062955658e-03,7.671619908528349088e-03,8.007814790347064088e-04,2.375127636702570322e-03,0.000000000000000000e+00,2.821319447601132457e-03,0.000000000000000000e+00,6.563766658457953485e-04,0.000000000000000000e+00,1.689978340926989731e-03,0.000000000000000000e+00,2.648097397159876465e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.622369976395311220e-03,0.000000000000000000e+00,7.581155635332237352e-04,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.778933918689052707e-03,-1.197972769548062699e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.094040127041366384e-04,-1.320014571552018817e-03,0.000000000000000000e+00,0.000000000000000000e+00,-8.706044903102477805e-04,0.000000000000000000e+00,-2.597569594568140475e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.091489847724190540e-03,0.000000000000000000e+00,-3.465301471303181002e-03,-5.471457653260937415e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.733755960411566266e-03,-1.283224794409228847e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.833864069926367038e-03,0.000000000000000000e+00,-1.068867868157408543e-02,-1.885585791450783422e-02,-1.614191247183123512e-02,-1.709601107575519502e-02,-2.201268584749978274e-02,-2.588520232818047884e-02,-3.332670750557709810e-02,-2.681764324959676205e-02,-1.714816235441245229e-02,-1.601991492330132397e-02,-1.253845397396055779e-02,-2.147655392985960143e-02,-1.852024616354208675e-02,-2.221289255643963539e-02,-2.738191217706787556e-02,-2.337178224322238040e-02,-2.137580215185490295e-02,-2.175223103550584514e-02,-1.467440752268457313e-02,-1.292782029944605088e-02,-9.770635619739082706e-03,-1.675352121920108302e-03,-6.137757752664528554e-03,-2.197879645720754449e-03,-2.304857273328233744e-03,0.000000000000000000e+00,-4.319225667380723055e-03,-9.076513254822268784e-04,-1.562278221896837987e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.064480286683267884e-03,0.000000000000000000e+00,-2.825535973445668370e-03,0.000000000000000000e+00,0.000000000000000000e+00,-9.878583128698293150e-04,0.000000000000000000e+00,-2.501198661317843852e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.202908732904151401e-03,0.000000000000000000e+00,0.000000000000000000e+00,-5.735734379602938637e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.367187727959115473e-03,0.000000000000000000e+00,0.000000000000000000e+00,-4.166235446544173937e-03,0.000000000000000000e+00,0.000000000000000000e+00,-7.096642187691126757e-04,0.000000000000000000e+00,-1.225696014437616110e-03,-8.702396136225365453e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.407095412290089831e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.638109448018913228e-03,0.000000000000000000e+00,-2.490899843653467810e-03,0.000000000000000000e+00,-2.007581311079739694e-03,0.000000000000000000e+00,-1.163996086027492896e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.681771878160008560e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.665623739608918158e-03,0.000000000000000000e+00,-4.582930183953497216e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.185568479721346602e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.996436901185477241e-03,0.000000000000000000e+00,0.000000000000000000e+00,-5.406020606143393387e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.706455030210629997e-03,-3.387103766079526887e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.979123112668970674e-03,-4.661377181699623631e-03,-1.837105288354488192e-03,-7.839309030508147258e-03,-8.062067254707155559e-03,-9.389990965122024802e-03,-1.867633735800778086e-02,-1.268745700549898936e-02,-2.181410553236659555e-02,-1.359293731493818429e-02,-8.772698367472887837e-03,-2.913014572968132543e-02,-1.604124968672968748e-02,-2.771890121834717780e-02,-2.106181029761997059e-02,-2.254814931663403493e-02,-3.134587713167288903e-02,-3.271422147327651686e-02,-2.277463338638954435e-02,-1.763569725351225859e-02,-2.628154797002746693e-02,-2.241375496892872299e-02,-1.938742993285758054e-02,-1.063662459205989494e-02,-3.478101624323125252e-03,-2.299945660209744801e-03,-7.473877805864630533e-03,0.000000000000000000e+00,-4.132349322592562477e-03,0.000000000000000000e+00,0.000000000000000000e+00,-3.733509270301272123e-03,-6.361217931179496965e-04,-2.364881300727247893e-03,0.000000000000000000e+00,-1.469943578008600649e-03,0.000000000000000000e+00,-7.184123251765851814e-03,0.000000000000000000e+00,-2.412960615127066055e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.548579141380852064e-04,-9.681954176004592405e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.092040062267596312e-03,-5.760421764294976210e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.580345073172985393e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.605322982483517458e-03,0.000000000000000000e+00,1.529597528867776557e-03,4.959637295187807604e-04,3.885725016049035828e-03,8.145113241780146951e-04,1.971756262719934205e-03,0.000000000000000000e+00,1.338583828127737352e-03,3.688054907667187576e-03,4.799146652813564284e-03,2.636826150193406423e-03,2.674781584079055294e-03,6.291142357180697781e-03,5.116204089034123020e-03,3.524439538418314144e-03,8.644316002415783698e-03,7.361465040193380938e-03,6.378915786002165023e-03,7.243320115353765742e-03,4.333185928140997900e-03,4.510836387389947216e-03,0.000000000000000000e+00,5.929339817762543929e-04,6.317105976546277812e-04,0.000000000000000000e+00,3.957303755616758956e-04,3.238634835331667336e-03,0.000000000000000000e+00,1.446610074328225602e-02,1.532820718926265063e-02,1.414781647737137216e-02,1.678327173706385678e-02,1.101714905898392577e-02,1.653242353339647031e-02,2.208125134112611312e-02,1.085347852367252175e-02,8.229830799472124397e-03,5.336774640304254788e-03,1.000980361555549661e-02,9.044159929913947460e-03,9.514855001970350112e-03,9.370150836943775402e-03,1.247213402819690939e-02,1.504433690787182823e-02,1.958853050382242805e-02,1.358448222426200669e-02,1.755116163825311271e-02,1.735992588484209370e-02,1.063488466806399024e-02,4.074377658400213376e-03,1.221458588289078828e-02,1.686631829307540242e-03,1.332018348255759044e-02,4.134519094938688549e-03,5.183367752029786890e-03,9.063346103526229158e-03,5.226225543188717237e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.739827685822205705e-03,5.926087171767367712e-03,5.373955725489446000e-03,4.894175747614377264e-03,0.000000000000000000e+00,3.129967400587838067e-03,0.000000000000000000e+00,1.338689073276617958e-03,1.331743758357383650e-03,3.406076488457364902e-03,4.244796212990717410e-03,6.140254391265587142e-04,7.027887218688343499e-03,2.075769898811384573e-03,8.300891296953299969e-03,4.699520190687984066e-03,2.414687877981488290e-03,4.601706899053715702e-03,3.298148505142994152e-03,8.974713920342583008e-04,3.169817344414647964e-03,4.789648443338165307e-04,1.240605916422722957e-03,0.000000000000000000e+00,3.850778008223296189e-04,2.192428693985837285e-03,0.000000000000000000e+00,2.286926634113561896e-03,0.000000000000000000e+00,7.147731403149837348e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.924714746711132296e-03,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.572659798103485912e-04,0.000000000000000000e+00,4.525199464976082525e-03,1.030058385979387703e-03,0.000000000000000000e+00,1.389194876440652537e-03,7.235919099045848291e-04,3.658130810703425287e-03,2.096021538104664989e-03,6.946784313743426323e-03,5.901211390259238077e-03,7.520732081459591267e-03,1.178242769176788413e-02,6.471245271652848255e-03,3.806189285318700710e-03,5.543621897361265469e-03,5.810932135073117177e-03,3.072216462193265440e-03,2.184258708065545118e-03,1.817372573520509987e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.151688290196118541e-03,4.167459037608123307e-03,8.526483673608935623e-03,1.147376270763116740e-02,1.500048540529434413e-02,1.604515090036415931e-02,1.172725633654458921e-02,1.191367986090078115e-02,1.387487182096117100e-02,1.288756508135369475e-02,4.391216769066501324e-03,6.037534612012025043e-03,3.185738881693527674e-03,8.194307865798161963e-03,1.576483433736390605e-03,5.932724821216886490e-03,5.732176354636509680e-03,1.148795570031374558e-02,1.478807492899061361e-02,9.083146788880397046e-03,7.797991507111896523e-03,9.183494451805046879e-03,1.129391481691292137e-02,3.898461217129892825e-03,1.016038754551027573e-02,8.522847855636367376e-03,9.373514221385461503e-03,6.458695671320700826e-03,1.068397238259162496e-02,8.594763521507314818e-03,1.611026338621610737e-02,6.990144365842290708e-03,1.106069449570546391e-02,1.191246868054249633e-02,1.858189495002546612e-02,8.795382173825812278e-03,5.368976606318600492e-03,7.940070682877040098e-03,0.000000000000000000e+00,1.242779565533763328e-03,3.804846829945418996e-03,2.519722354423960947e-03,1.719051934057917470e-03,2.939087205713200764e-03,3.302230717453395054e-03,2.021668028806634931e-03,2.657556505631828228e-03,3.243193682106841613e-03,4.876701478348698104e-03,7.511252708589842564e-03,7.101310202679407546e-03,5.435427563796871656e-03,2.303878767980667430e-03,6.132150671185682828e-03,2.399425599138190618e-03,1.917837947858760592e-03,0.000000000000000000e+00,4.188945063524015383e-03,1.365562454200058493e-03,0.000000000000000000e+00,6.158700153886548928e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.836605206984367911e-03,3.008281573353477345e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.061977866341705462e-03,0.000000000000000000e+00,-1.282090594671922434e-03,0.000000000000000000e+00,-4.012867863215432984e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.590710258627229479e-04,-2.222324796673266767e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.861384178547365043e-03,-4.187984174109510294e-04,-1.504527686896985766e-03,0.000000000000000000e+00,-2.376986829540836399e-03,0.000000000000000000e+00,-2.067028376241737686e-03,0.000000000000000000e+00,-1.902826159385515026e-03,-1.000238223930860482e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.264103134441168216e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.734280270022904580e-03,-7.287448566990262222e-03,-1.142121188861910247e-02,-1.369851936498339695e-02,-1.994063829653425213e-02,-2.563485091713625652e-02,-3.320154600861109639e-02,-2.294519762642797944e-02,-1.058349834529458133e-02,-1.831979117128984536e-02,-1.519417044258071676e-02,-2.396060638520862429e-02,-2.063588018986016112e-02,-1.905136213358891301e-02,-2.888347388089839568e-02,-2.680389325863798133e-02,-2.260916981204191128e-02,-1.843889719460184429e-02,-2.062606485140742324e-02,-2.769009593551776532e-02,-1.020891419856730445e-02,-4.888617036600966664e-03,-2.453251430479169715e-03,-4.233770672194728246e-03,-4.329036429147933851e-03,-1.243147999801200165e-03,0.000000000000000000e+00,-3.174986791972429778e-03,-5.077382441036198957e-03,0.000000000000000000e+00,-6.664951614806340074e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.758282964947807364e-03,-6.247830310727332109e-04,0.000000000000000000e+00,-3.284112467413238812e-03,0.000000000000000000e+00,0.000000000000000000e+00,-3.728687565604921900e-03,0.000000000000000000e+00,-7.217534865212732464e-04,-2.077544857465099537e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.362159251868335197e-03,-2.884942292435077604e-03,-3.108749961115153670e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.562608763094721187e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.001910937886820285e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.009743156326820879e-03,6.534672277137554275e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.205061051611057810e-03,0.000000000000000000e+00,1.617390005850705137e-03,1.985523656801158054e-03,4.745229899064784540e-03,2.029610326421432687e-03,5.394359570608325827e-03,5.352613632911340513e-03,7.228096302856479305e-03,5.219291234540457403e-03,6.935308032223669317e-03,0.000000000000000000e+00,4.225230441278648996e-03,4.887795691320279134e-03,2.184638387374093771e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.478302503950981617e-03,5.056327633775448138e-03,4.436614106659186874e-03,1.066464644235387560e-02,1.730053359388583623e-02,1.080855450934997686e-02,1.005533525820326290e-02,1.096977525695080891e-02,1.780552092038778511e-02,2.067189370318239794e-02,1.060907112592163193e-02,7.998834854128666905e-03,9.920709883859957223e-03,6.845133188460639229e-03,9.457718050420893530e-03,1.097948429227102451e-02,1.259268685283942979e-02,1.659467036971640219e-02,1.342192347504138350e-02,1.496649301762270623e-02,1.331037999637646463e-02,1.209200164212415052e-02,1.183283753022801310e-02,4.798823827174947265e-03,2.644390469718260750e-03,9.498807680593968072e-03,1.061019626348802536e-03,7.087791912553875751e-03,4.340492168596304934e-03,4.407007025485465412e-03,9.098873830273052077e-03,1.316379459872574209e-02,7.599091971667082390e-03,6.752055513337962278e-03,9.843929858873889938e-03,1.046846280562580001e-02,1.309181561661332260e-02,4.959562201740430609e-03,3.742092062399726693e-03,5.338454534217496050e-04,0.000000000000000000e+00,0.000000000000000000e+00,7.914035403102093191e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.288606033831743325e-03,1.019641575519203425e-03,7.968800744359516575e-03,7.039268193011705144e-03,9.458524611794250081e-03,3.979066159787020274e-03,3.785904107043935873e-03,4.573569532502486101e-03,0.000000000000000000e+00,2.979126941817594743e-03,9.836320419353561384e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.125701896595054929e-03,0.000000000000000000e+00,2.651932409581947425e-03,5.096193399102832977e-04,1.834077377377646423e-03,3.434966664945110493e-03,1.854750450368869430e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.596672840570427021e-03,1.895167742750732132e-03,8.908461683160310771e-03,3.479914943107668968e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.430787095996643998e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.991850395531233525e-04,1.591756087820393045e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.299891471988822350e-03,4.385239966486965957e-03,1.280951834386304979e-02,7.702106899081490043e-03,8.228030294289832847e-03,3.522423551290218557e-03,8.887133673038557363e-03,4.597403456913248462e-03,3.402954147646086031e-03,0.000000000000000000e+00,5.439717318349378272e-03,0.000000000000000000e+00,2.284249177577732381e-03,2.550919044644231470e-03,0.000000000000000000e+00,2.483699460172201362e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.063985698709284111e-02,3.893468127893939118e-03,1.001426816381404544e-02,9.107971625713539437e-03,7.358469003199863412e-03,1.723279468708116893e-02,1.438289377450979040e-02,9.226133812816950108e-03,3.847703033316614285e-03,9.474121245240349140e-03,8.757318185612150696e-03,1.600783469706473783e-02,1.103502118124827756e-02,1.450375406803828399e-02,1.053215337170697666e-02,1.570866826377618347e-02,1.179747564100807646e-02,1.565148420450442057e-02,1.552375782368825390e-02,8.688429006980816216e-03,4.880569937912642917e-03,1.506654760237168683e-02,6.078417744571497361e-03,1.401298811782590581e-02,7.799289150970112328e-04,1.294998635027126699e-02,0.000000000000000000e+00,1.089182498501549412e-02,0.000000000000000000e+00,1.352960439727697584e-02,7.736601676543469752e-03,8.448011657352635928e-03,1.096224985836112553e-02,4.711619443729565468e-03,2.637144762438335677e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.492283466033882164e-03,0.000000000000000000e+00,6.368928009732979442e-03,0.000000000000000000e+00,7.099483592353093842e-03,6.756032265361644473e-03,5.386710682402130745e-03,5.581731732980800553e-03,6.464005891541134419e-03,7.224849303435615377e-03,1.996258064598042947e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.834084811142221827e-03,0.000000000000000000e+00,2.408882037038213852e-03,6.055634986167901523e-04,7.720430956067864114e-04,0.000000000000000000e+00,1.587885329690917613e-03,1.972293131300692504e-03,3.692356613928082787e-03,1.880348234504780613e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.286095448519880335e-04,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.912553720218903630e-03,0.000000000000000000e+00,-5.257034195770558457e-03,0.000000000000000000e+00,-1.527197604926033847e-03,-2.194889718410216947e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.300332409414140161e-03,0.000000000000000000e+00,0.000000000000000000e+00,-4.848460639490376201e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.503668606986286488e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.117631223021090338e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.311882371398910216e-03,0.000000000000000000e+00,-3.295790906815478441e-03,-1.785678591795319958e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.300121401289051903e-03,-4.045559663028087949e-03,-6.912010495022061218e-03,-1.697450305660291869e-03,-8.031210977344171303e-03,-1.183449243745639777e-02,-1.943116242148481415e-02,-1.545395043093892445e-02,-1.648846113621918463e-02,-2.482445017255296982e-02,-2.030622907268849614e-02,-1.128868303550805210e-02,-2.190886257533893045e-02,-2.053475817939855175e-02,-2.430376264656837482e-02,-1.311129484732979911e-02,-2.315106806074603701e-02,-2.354788563176426347e-02,-3.541964423400831286e-02,-1.600943130568197384e-02,-1.427104854170566095e-02,-3.101797830462094813e-02,-2.308628122546725614e-02,-1.831500562187917194e-02,-8.038519573876242580e-03,-9.375993898531817528e-03,0.000000000000000000e+00,0.000000000000000000e+00,-5.343878078299380691e-03,-2.315392055196027754e-03,0.000000000000000000e+00,-3.195020219961344082e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.796275111849654493e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.378167179845873024e-03,0.000000000000000000e+00,-4.947009737258922790e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.242013081001192010e-03,-2.495971619554393506e-04,-5.105034057499957534e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.763238942477875604e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.669492355277671716e-03,1.699428394458257080e-03,0.000000000000000000e+00,6.502279819890622106e-03,2.435080905297069137e-03,2.763418480382036357e-03,5.080424893279606585e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.010174826577209528e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.952592552897328138e-03,0.000000000000000000e+00,8.276967454537577373e-03,9.433038362016851752e-03,5.615014264912974139e-03,6.295504329020457090e-03,2.790684567882138756e-03,0.000000000000000000e+00,4.541732387756749166e-03,2.896677314711179271e-03,5.172782689821027458e-03,0.000000000000000000e+00,1.350535654717575224e-03,6.906235950127591339e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.350319153724857495e-02,1.227189125587636875e-02,1.614428675561259061e-02,1.063559232387842682e-02,7.293966023427710110e-03,1.362766812504541576e-02,1.272945266239716537e-02,1.514917694933951182e-02,4.758905305250936413e-03,9.858293994451962361e-03,7.060042340373676173e-03,6.721683932059494687e-03,1.263543040938083090e-02,8.752209091204988384e-03,1.415866588720546271e-02,1.936935900587988951e-02,1.317197124404696426e-02,1.427015469772929812e-02,1.422078494722311959e-02,1.505420673404355217e-02,1.589434203633520795e-02,1.021194251440855211e-02,7.198033102685222687e-03,4.382835426446622662e-03,9.539053714377460427e-03,4.310219876512456916e-03,1.621749599071964712e-02,8.117874098929413890e-03,1.527480182956019068e-02,3.146849715858227037e-03,5.794185989023936841e-03,1.296541696130333599e-02,8.708324269515541755e-03,9.195353134089902236e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.527458592343136135e-03,0.000000000000000000e+00,2.289472877715543336e-03,0.000000000000000000e+00,1.202675642498575448e-03,3.199233856844044613e-03,3.360969443254929398e-03,4.972364687169654462e-03,4.085305213206963382e-03,1.540473943824547699e-03,4.697590363997090901e-03,0.000000000000000000e+00,7.795859899960334155e-03,1.091547220391037021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.884538365453421269e-03,2.988014669134412150e-03,2.779391419953831238e-03,0.000000000000000000e+00,3.698152878091135083e-03,1.527357156450269426e-03,4.794245208045055939e-03,3.579470506280824083e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
