s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
1.351513247936964035e-02,1.430730987340211868e-02,1.494286023080348969e-02,1.476371753960847855e-02,1.256834436208009720e-02,1.260952278971672058e-02,1.407192740589380264e-02,1.309148129075765610e-02,1.341104507446289062e-02,1.313635241240262985e-02,1.291736681014299393e-02,1.386220101267099380e-02,1.317957602441310883e-02,1.401276793330907822e-02,1.221532281488180161e-02,1.419001724570989609e-02,1.202952302992343903e-02,1.287906430661678314e-02,1.302058808505535126e-02,1.237327978014945984e-02,1.265245210379362106e-02,1.383151952177286148e-02,1.405313145369291306e-02,1.448983326554298401e-02,1.175969187170267105e-02,1.294530835002660751e-02,1.254757959395647049e-02,1.237012166529893875e-02,1.387631986290216446e-02,1.267128344625234604e-02,1.276267133653163910e-02,1.308916416019201279e-02,1.372591499239206314e-02,1.279191020876169205e-02,1.314406935125589371e-02,1.207417063415050507e-02,1.330815535038709641e-02,1.419225335121154785e-02,1.316294074058532715e-02,1.385487522929906845e-02,1.239010225981473923e-02,1.322771888226270676e-02,1.369744446128606796e-02,1.346643175929784775e-02,1.297103427350521088e-02,1.282369531691074371e-02,1.415234059095382690e-02,1.301109325140714645e-02,1.219151914119720459e-02,1.369146164506673813e-02,1.344092655926942825e-02,1.276901178061962128e-02,1.387370377779006958e-02,1.342008262872695923e-02,1.390941999852657318e-02,1.293376740068197250e-02,1.471138000488281250e-02,1.193740218877792358e-02,1.351631432771682739e-02,1.393038593232631683e-02,1.493272092193365097e-02,1.271567307412624359e-02,1.300950814038515091e-02,1.307381223887205124e-02,1.400022953748703003e-02,1.278109289705753326e-02,1.298440992832183838e-02,1.345785800367593765e-02,1.351077202707529068e-02,1.163371093571186066e-02,1.281110383570194244e-02,1.253796368837356567e-02,1.209412794560194016e-02,1.386964600533246994e-02,1.328654028475284576e-02,1.208795979619026184e-02,1.320061553269624710e-02,1.435142382979393005e-02,1.265342254191637039e-02,1.267675589770078659e-02,1.310512796044349670e-02,1.323122438043355942e-02,1.485171541571617126e-02,1.293361559510231018e-02,1.297671254724264145e-02,1.338886842131614685e-02,1.383820734918117523e-02,1.216875948011875153e-02,1.302893646061420441e-02,1.376982033252716064e-02,1.209023781120777130e-02,1.312408689409494400e-02,1.317431777715682983e-02,1.336911041289567947e-02,1.332601811736822128e-02,1.488842722028493881e-02,1.332921162247657776e-02,1.311556622385978699e-02,1.249401737004518509e-02,1.208551786839962006e-02
1.190924644470214844e-02,1.419495511800050735e-02,1.380282081663608551e-02,1.119975000619888306e-02,1.249994896352291107e-02,1.424654014408588409e-02,1.277987752109766006e-02,1.316600106656551361e-02,1.394039671868085861e-02,1.372355222702026367e-02,1.150966808199882507e-02,1.371026970446109772e-02,1.229162514209747314e-02,1.414134074002504349e-02,1.335750520229339600e-02,1.206933706998825073e-02,1.198247447609901428e-02,1.190521847456693649e-02,1.325818989425897598e-02,1.361393090337514877e-02,1.348940934985876083e-02,1.369534339755773544e-02,1.139358989894390106e-02,1.296802423894405365e-02,1.352678984403610229e-02,1.352732535451650620e-02,1.230176538228988647e-02,1.385984197258949280e-02,1.440446916967630386e-02,1.401230692863464355e-02,1.279916800558567047e-02,1.263750344514846802e-02,1.496417634189128876e-02,1.349705737084150314e-02,1.312552578747272491e-02,1.368627138435840607e-02,1.204465795308351517e-02,1.204175874590873718e-02,1.483344659209251404e-02,1.375323347747325897e-02,1.291408948600292206e-02,1.304730214178562164e-02,1.370058208703994751e-02,1.329964306205511093e-02,1.371204201132059097e-02,1.245007012039422989e-02,1.277321390807628632e-02,1.305489335209131241e-02,1.384014636278152466e-02,1.127035077661275864e-02,1.308749057352542877e-02,1.327060256153345108e-02,1.408893242478370667e-02,1.421813387423753738e-02,1.338196638971567154e-02,1.331779547035694122e-02,1.378082763403654099e-02,1.430269237607717514e-02,1.277125440537929535e-02,1.346242241561412811e-02,1.272784732282161713e-02,1.221249811351299286e-02,1.355278678238391876e-02,1.238369755446910858e-02,1.407234277576208115e-02,1.144426874816417694e-02,1.345435064285993576e-02,1.351836230605840683e-02,1.313489861786365509e-02,1.298482622951269150e-02,1.330490037798881531e-02,1.099603995680809021e-02,1.279589161276817322e-02,1.257162354886531830e-02,1.228090841323137283e-02,1.392765436321496964e-02,1.373837795108556747e-02,1.154597476124763489e-02,1.374030392616987228e-02,1.417545787990093231e-02,1.215538382530212402e-02,1.378321275115013123e-02,1.214554533362388611e-02,1.281211618334054947e-02,1.370876654982566833e-02,1.068177353590726852e-02,1.320360973477363586e-02,1.337284594774246216e-02,1.206265855580568314e-02,1.243412122130393982e-02,1.343628577888011932e-02,1.320980582386255264e-02,1.449216064065694809e-02,1.353585347533226013e-02,1.335569471120834351e-02,1.407982874661684036e-02,1.309748273342847824e-02,1.187091600149869919e-02,1.357165165245532990e-02,1.234785281121730804e-02
5.263044731691479683e-04,4.844602954108268023e-04,4.838133463636040688e-04,4.760636657010763884e-04,5.363218951970338821e-04,4.781153693329542875e-04,2.695837465580552816e-04,4.594383644871413708e-04,5.300003103911876678e-04,2.451716281939297915e-04,3.198475751560181379e-04,2.672865230124443769e-04,5.348822451196610928e-04,5.143892485648393631e-04,4.733387613669037819e-04,9.513626719126477838e-05,5.125878378748893738e-04,3.702047979459166527e-04,4.987003048881888390e-04,4.313347453717142344e-04,5.362025694921612740e-04,4.900843487121164799e-04,2.339550846954807639e-04,4.620436520781368017e-04,2.964391605928540230e-04,2.046865847660228610e-04,5.038395756855607033e-04,4.441076598595827818e-04,1.369024830637499690e-04,4.719635180663317442e-04,3.708471485879272223e-04,5.032456247135996819e-04,4.099209618289023638e-04,2.971612848341464996e-04,4.739096330013126135e-04,3.312170156277716160e-04,3.370838821865618229e-04,5.320910713635385036e-04,4.648457979783415794e-04,5.060543189756572247e-04,3.228643618058413267e-04,4.911079886369407177e-04,3.774387005250900984e-04,1.443296205252408981e-04,1.999219384742900729e-04,9.447585762245580554e-05,4.689778434112668037e-04,3.103807976003736258e-04,4.591721808537840843e-04,3.754221252165734768e-04,4.995198105461895466e-04,5.363420932553708553e-04,4.717316187452524900e-04,3.663373063318431377e-04,5.289137479849159718e-04,1.423418434569612145e-04,1.392081176163628697e-04,4.722138983197510242e-04,3.433330566622316837e-04,5.164509639143943787e-04,5.339283961802721024e-04,5.253807175904512405e-04,5.231485120020806789e-04,4.836097359657287598e-04,5.357320187613368034e-04,4.385074716992676258e-04,2.688980894163250923e-04,6.222203955985605717e-05,4.795257409568876028e-04,3.913866239599883556e-04,4.416842421051114798e-04,1.544879487482830882e-04,7.264067244250327349e-05,5.058026290498673916e-04,2.087007160298526287e-04,4.374306881800293922e-04,4.311916709411889315e-04,5.127278272993862629e-04,5.159770953468978405e-04,5.358658381737768650e-04,4.871684068348258734e-04,4.578452499117702246e-04,3.743850975297391415e-04,3.759749524760991335e-04,2.312620199518278241e-04,3.603027726057916880e-04,4.713551606982946396e-04,4.708060005214065313e-04,4.098738718312233686e-04,3.618255723267793655e-04,5.106359603814780712e-04,1.574599882587790489e-04,4.848863172810524702e-04,5.199024453759193420e-04,3.778505779337137938e-04,3.286613209638744593e-04,4.994341288693249226e-04,1.301114534726366401e-04,3.993164573330432177e-04,5.109278718009591103e-04
3.949389501940459013e-04,4.880596825387328863e-04,2.566993352957069874e-04,3.618650662247091532e-04,4.850702825933694839e-04,3.658080822788178921e-04,2.991436922457069159e-04,4.279217682778835297e-04,2.540175919421017170e-04,4.689128254540264606e-04,3.141997149214148521e-04,2.042592241195961833e-04,4.620487161446362734e-04,4.368115332908928394e-04,2.813559258356690407e-04,5.124925519339740276e-04,5.312067805789411068e-04,1.627668243600055575e-04,4.597754741553217173e-04,2.559039276093244553e-04,1.749862567521631718e-04,4.876546445302665234e-04,4.078665806446224451e-04,2.650657261256128550e-04,2.547673066146671772e-04,3.913603432010859251e-04,5.342498770914971828e-04,2.564495953265577555e-04,2.575070539023727179e-04,4.687863402068614960e-04,2.704708895180374384e-04,4.335732082836329937e-04,3.130912373308092356e-04,4.179734678473323584e-04,1.647179742576554418e-04,5.202643224038183689e-04,4.888980183750391006e-04,3.564161888789385557e-04,2.316364989383146167e-04,5.364200333133339882e-04,4.825326905120164156e-04,2.170664229197427630e-04,4.248675832059234381e-04,4.865347582381218672e-04,1.456881291233003139e-04,4.669784975703805685e-04,2.911931660491973162e-04,3.093795676250010729e-04,1.722214219626039267e-04,5.210084491409361362e-04,4.108614812139421701e-04,3.012914967257529497e-04,5.272722919471561909e-04,4.401614714879542589e-04,4.790932871401309967e-04,4.387164663057774305e-04,4.266647447366267443e-04,5.117027903907001019e-04,5.237125442363321781e-04,5.178353167138993740e-04,3.866754123009741306e-04,3.111801925115287304e-04,5.323099321685731411e-04,5.367333069443702698e-04,4.809683887287974358e-04,4.566028947010636330e-04,5.021449760533869267e-04,5.338680930435657501e-04,2.480126859154552221e-04,5.374054308049380779e-04,2.065567387035116553e-04,4.727965279016643763e-04,5.361090297810733318e-04,2.935348311439156532e-04,1.868598628789186478e-04,3.840333665721118450e-04,4.083594831172376871e-04,3.937698202207684517e-04,3.389243502169847488e-04,2.823870745487511158e-04,4.875777231063693762e-04,4.676274838857352734e-04,4.167146980762481689e-04,2.698856696952134371e-04,3.583522629924118519e-04,3.983279457315802574e-04,2.284520014654844999e-04,5.259825265966355801e-04,2.750157436821609735e-04,5.339058116078376770e-04,4.871547571383416653e-04,5.046956939622759819e-04,4.308919305913150311e-04,5.356855690479278564e-04,4.140073433518409729e-04,2.945075102616101503e-04,4.680248384829610586e-04,3.789188340306282043e-04,5.074404180049896240e-04,2.884518471546471119e-04
1.136154774576425552e-02,1.241555623710155487e-02,1.267354469746351242e-02,1.346560847014188766e-02,1.354047656059265137e-02,1.405952777713537216e-02,1.324456557631492615e-02,1.305108517408370972e-02,1.177292689681053162e-02,1.364569645375013351e-02,1.206281129270792007e-02,1.415197551250457764e-02,1.414576172828674316e-02,1.488403696566820145e-02,1.167719997465610504e-02,1.104217860847711563e-02,1.192965451627969742e-02,1.262626890093088150e-02,1.258412003517150879e-02,1.435708440840244293e-02,1.361039653420448303e-02,1.425257418304681778e-02,1.401117257773876190e-02,1.316939666867256165e-02,1.222146861255168915e-02,1.370018813759088516e-02,1.336844358593225479e-02,1.419382728636264801e-02,1.315611042082309723e-02,1.201871503144502640e-02,1.371090207248926163e-02,1.298973429948091507e-02,1.397602632641792297e-02,1.246687117964029312e-02,1.310096029192209244e-02,1.350039616227149963e-02,1.265703979879617691e-02,1.311640627682209015e-02,1.269836630672216415e-02,1.226158160716295242e-02,1.279629487544298172e-02,1.179397106170654297e-02,1.281648967415094376e-02,1.120826043188571930e-02,1.304778084158897400e-02,1.364918705075979233e-02,1.335397362709045410e-02,1.405853126198053360e-02,1.191419735550880432e-02,1.309502404183149338e-02,1.413985155522823334e-02,1.202665548771619797e-02,1.386119611561298370e-02,1.292244438081979752e-02,1.475720573216676712e-02,1.368808094412088394e-02,1.164881046861410141e-02,1.424789987504482269e-02,1.354917418211698532e-02,1.349307037889957428e-02,1.427188888192176819e-02,1.259568426758050919e-02,1.309746503829956055e-02,1.394753623753786087e-02,1.376075204461812973e-02,1.400191430002450943e-02,1.452151592820882797e-02,1.338260900229215622e-02,1.336866989731788635e-02,1.388949342072010040e-02,1.332345604896545410e-02,1.359560433775186539e-02,1.221742201596498489e-02,1.319169253110885620e-02,1.258101500570774078e-02,1.206570956856012344e-02,1.425183750689029694e-02,1.125857047736644745e-02,1.303336489945650101e-02,1.312857680022716522e-02,1.368058379739522934e-02,1.380703318864107132e-02,1.372012589126825333e-02,1.344850938767194748e-02,1.330580748617649078e-02,1.288312021642923355e-02,1.230920664966106415e-02,1.323340274393558502e-02,1.365504972636699677e-02,1.387350913137197495e-02,1.430021040141582489e-02,1.328117121011018753e-02,1.316598244011402130e-02,1.330148987472057343e-02,1.425804197788238525e-02,1.372779347002506256e-02,1.423064433038234711e-02,1.277302205562591553e-02,1.182811520993709564e-02,1.322983484715223312e-02
5.373913445509970188e-04,2.717843453865498304e-04,3.061946190427988768e-04,4.392994451336562634e-04,5.261484766378998756e-04,4.724151513073593378e-04,9.828507609199732542e-05,4.125923733226954937e-04,4.684138111770153046e-04,4.255888925399631262e-04,5.069196922704577446e-04,3.061622264795005322e-04,5.322800134308636189e-04,5.359661881811916828e-04,5.008607404306530952e-04,3.687625576276332140e-04,2.779853821266442537e-04,1.340627495665103197e-04,2.913150819949805737e-04,4.704011371359229088e-04,4.618758975993841887e-04,4.954023170284926891e-04,5.367131088860332966e-04,4.531027516350150108e-04,2.152420638594776392e-04,2.704353246372193098e-04,2.326799440197646618e-04,5.346289253793656826e-04,1.994822814594954252e-04,3.214809694327414036e-04,4.319879517424851656e-04,1.701918081380426884e-04,3.522580664139240980e-04,3.093571576755493879e-04,4.061665385961532593e-04,5.340246134437620640e-04,3.404685994610190392e-04,3.790555929299443960e-04,1.483751257183030248e-04,4.434882721398025751e-04,5.276934243738651276e-04,5.372374434955418110e-04,5.359048955142498016e-04,5.228825611993670464e-04,5.085940938442945480e-04,4.628790484275668859e-04,1.330877421423792839e-04,4.108800494577735662e-04,5.236730794422328472e-04,4.171584441792219877e-04,3.329621395096182823e-04,4.393496783450245857e-04,4.786728823091834784e-04,4.062403168063610792e-04,4.808618396054953337e-04,5.320652271620929241e-04,4.334620316512882710e-04,4.919107886962592602e-04,5.338757764548063278e-04,3.869615611620247364e-04,3.180377534590661526e-04,3.823985462076961994e-04,5.057023372501134872e-04,3.330087929498404264e-04,5.211869720369577408e-04,2.539534179959446192e-04,1.264847087441012263e-04,4.348652728367596865e-04,5.324088851921260357e-04,4.314346588216722012e-04,3.759514365810900927e-04,3.151630517095327377e-04,5.205604247748851776e-04,5.374669563025236130e-04,3.888430655933916569e-04,1.755914709065109491e-04,4.168984887655824423e-04,1.926274853758513927e-04,3.253908653277903795e-04,1.049050842993892729e-04,4.568917793221771717e-04,3.193195443600416183e-04,5.374595057219266891e-04,3.809510963037610054e-04,3.806385793723165989e-04,4.790508246514946222e-04,3.553127462510019541e-04,5.097062094137072563e-04,4.424092476256191730e-04,4.435462469700723886e-04,2.999416028615087271e-04,5.002242978662252426e-04,3.091516555286943913e-04,4.802201001439243555e-04,5.353262531571090221e-04,4.942563246004283428e-04,4.516792541835457087e-04,5.300973425619304180e-04,5.282552447170019150e-04,5.373270832933485508e-04
1.334275025874376297e-02,1.300798263400793076e-02,1.276338752359151840e-02,1.324182935059070587e-02,1.292184181511402130e-02,1.351237297058105469e-02,1.433555502444505692e-02,1.174371503293514252e-02,1.443952322006225586e-02,1.298892032355070114e-02,1.336279045790433884e-02,1.092927902936935425e-02,1.363226305693387985e-02,1.373808737844228745e-02,1.324490178376436234e-02,1.340773329138755798e-02,1.309151202440261841e-02,1.290459744632244110e-02,1.262680441141128540e-02,1.274343580007553101e-02,1.291482429951429367e-02,1.368975359946489334e-02,1.240831427276134491e-02,1.149383746087551117e-02,1.283687353134155273e-02,1.200252026319503784e-02,1.369565259665250778e-02,1.381424162536859512e-02,1.473930850625038147e-02,1.455934811383485794e-02,1.267580036073923111e-02,1.177449617534875870e-02,1.406859233975410461e-02,1.330059487372636795e-02,1.381330005824565887e-02,1.227014884352684021e-02,1.371294632554054260e-02,1.240392122417688370e-02,1.332881022244691849e-02,1.286198012530803680e-02,1.438473537564277649e-02,1.271948590874671936e-02,1.277876552194356918e-02,1.165703684091567993e-02,1.523643173277378082e-02,1.410808693617582321e-02,1.368935499340295792e-02,1.246980112046003342e-02,1.286810170859098434e-02,1.485021412372589111e-02,1.223257184028625488e-02,1.380012650042772293e-02,1.302095595747232437e-02,1.428368594497442245e-02,1.167409587651491165e-02,1.408568117767572403e-02,1.348368078470230103e-02,1.404605060815811157e-02,1.231940835714340210e-02,1.317111961543560028e-02,1.250260882079601288e-02,1.316736452281475067e-02,1.289189141243696213e-02,1.282792072743177414e-02,1.248588971793651581e-02,1.385073922574520111e-02,1.210797484964132309e-02,1.178247854113578796e-02,1.318986248224973679e-02,1.361398864537477493e-02,1.325910724699497223e-02,1.346501242369413376e-02,1.255405601114034653e-02,1.307849399745464325e-02,1.398880034685134888e-02,1.280443556606769562e-02,1.446478813886642456e-02,1.247701514512300491e-02,1.310157682746648788e-02,1.280473079532384872e-02,1.253012660890817642e-02,1.215150300413370132e-02,1.219607982784509659e-02,1.349748950451612473e-02,1.348837465047836304e-02,1.345464773476123810e-02,1.246581505984067917e-02,1.338168233633041382e-02,1.406773924827575684e-02,1.270359754562377930e-02,1.078815944492816925e-02,1.225410494953393936e-02,1.422267872840166092e-02,1.385927479714155197e-02,1.208608783781528473e-02,1.427321601659059525e-02,1.407974306493997574e-02,1.383536495268344879e-02,1.309219654649496078e-02,1.354167517274618149e-02
1.387978531420230865e-02,1.394690666347742081e-02,1.261310838162899017e-02,1.323485933244228363e-02,1.244824100285768509e-02,1.240536384284496307e-02,1.312597002834081650e-02,1.203947234898805618e-02,1.444881595671176910e-02,1.172755006700754166e-02,1.350868027657270432e-02,1.090919412672519684e-02,1.283205300569534302e-02,1.370158698409795761e-02,1.452521421015262604e-02,1.282970886677503586e-02,1.318625733256340027e-02,1.349672675132751465e-02,1.440022513270378113e-02,1.429667044430971146e-02,1.365110650658607483e-02,1.329041086137294769e-02,1.130382716655731201e-02,1.293501537293195724e-02,1.265763025730848312e-02,1.308904774487018585e-02,1.273381803184747696e-02,1.371684204787015915e-02,1.474137883633375168e-02,1.347238104790449142e-02,1.329049840569496155e-02,1.060372963547706604e-02,1.250057853758335114e-02,1.414691936224699020e-02,1.394132152199745178e-02,1.377738546580076218e-02,1.293502748012542725e-02,1.336397789418697357e-02,1.142215076833963394e-02,1.293696369975805283e-02,1.357043255120515823e-02,1.299794018268585205e-02,1.303602755069732666e-02,1.512563414871692657e-02,1.414206530898809433e-02,1.213608030229806900e-02,1.372211985290050507e-02,1.276543643325567245e-02,1.150178257375955582e-02,1.435344852507114410e-02,1.320521999150514603e-02,1.312885619699954987e-02,1.376270689070224762e-02,1.271953433752059937e-02,1.220074016600847244e-02,1.250499486923217773e-02,1.311764679849147797e-02,1.495162118226289749e-02,1.367757096886634827e-02,1.320047955960035324e-02,1.377916894853115082e-02,1.453383732587099075e-02,1.270630117505788803e-02,1.107845921069383621e-02,1.307269185781478882e-02,1.310355588793754578e-02,1.318489760160446167e-02,1.424153894186019897e-02,1.392504759132862091e-02,1.307956594973802567e-02,1.223956886678934097e-02,1.210727356374263763e-02,1.350965909659862518e-02,1.462012715637683868e-02,1.279837265610694885e-02,1.387328002601861954e-02,1.243361178785562515e-02,1.502434257417917252e-02,1.333970576524734497e-02,1.333466824144124985e-02,1.346176397055387497e-02,1.426726765930652618e-02,1.447976473718881607e-02,1.309305150061845779e-02,1.308335643261671066e-02,1.434718258678913116e-02,1.283081434667110443e-02,1.368154119700193405e-02,1.429424993693828583e-02,1.348723843693733215e-02,1.368956826627254486e-02,1.393293961882591248e-02,1.295717060565948486e-02,1.375779509544372559e-02,1.453099679201841354e-02,1.267286390066146851e-02,1.200465299189090729e-02,1.364090852439403534e-02,1.288586109876632690e-02,1.316028367727994919e-02
1.345390174537897110e-02,1.371871307492256165e-02,1.137439906597137451e-02,1.354701351374387741e-02,1.361482031643390656e-02,1.290810946375131607e-02,1.345595158636569977e-02,1.425456441938877106e-02,1.215123292058706284e-02,1.251488458365201950e-02,1.452151592820882797e-02,1.247515156865119934e-02,1.382357347756624222e-02,1.228731870651245117e-02,1.405152585357427597e-02,1.346910558640956879e-02,1.368129719048738480e-02,1.344038266688585281e-02,1.328952796757221222e-02,1.308600604534149170e-02,1.402349676936864853e-02,1.326992735266685486e-02,1.353553496301174164e-02,1.263735443353652954e-02,1.458969991654157639e-02,1.220899540930986404e-02,1.243243552744388580e-02,1.250807289034128189e-02,1.285374257713556290e-02,1.316870283335447311e-02,1.209983881562948227e-02,1.166934426873922348e-02,1.443167403340339661e-02,1.242350507527589798e-02,1.311015523970127106e-02,1.347641926258802414e-02,1.249251142144203186e-02,1.176562812179327011e-02,1.398183684796094894e-02,1.276833843439817429e-02,1.284827385097742081e-02,1.255706511437892914e-02,1.450597960501909256e-02,1.352916937321424484e-02,1.348826661705970764e-02,1.303855422884225845e-02,1.387690752744674683e-02,1.472411025315523148e-02,1.273983810096979141e-02,1.307410001754760742e-02,1.365614868700504303e-02,1.425904687494039536e-02,1.262980606406927109e-02,1.242134533822536469e-02,1.406651083379983902e-02,1.164519228041172028e-02,1.325626764446496964e-02,1.356983743607997894e-02,1.378281693905591965e-02,1.446476951241493225e-02,1.346854213625192642e-02,1.312306802719831467e-02,1.290629245340824127e-02,1.220405008643865585e-02,1.391165051609277725e-02,1.395310554653406143e-02,1.370501518249511719e-02,1.391102932393550873e-02,1.377558615058660507e-02,1.485638320446014404e-02,1.248227339237928391e-02,1.083276234567165375e-02,1.415994670242071152e-02,1.340217795222997665e-02,1.318522077053785324e-02,1.307947281748056412e-02,1.338367909193038940e-02,1.404118444770574570e-02,1.206426601856946945e-02,1.452921517193317413e-02,1.385294832289218903e-02,1.371352560818195343e-02,1.294675190001726151e-02,1.413024961948394775e-02,1.167138386517763138e-02,1.345148961991071701e-02,1.278345286846160889e-02,1.284751854836940765e-02,1.257909554988145828e-02,1.418438367545604706e-02,1.212092302739620209e-02,1.302339415997266769e-02,1.277074962854385376e-02,1.519582699984312057e-02,1.366755925118923187e-02,1.191028580069541931e-02,1.335402950644493103e-02,1.271888706833124161e-02,1.191191188991069794e-02,1.182075403630733490e-02
1.321193203330039978e-02,1.242672838270664215e-02,1.376631762832403183e-02,1.212789677083492279e-02,1.358841918408870697e-02,1.429794542491436005e-02,1.279601082205772400e-02,1.416013948619365692e-02,1.059335470199584961e-02,1.293567940592765808e-02,1.372133847326040268e-02,1.383008901029825211e-02,1.203063968569040298e-02,1.077400147914886475e-02,1.402553450316190720e-02,1.344773173332214355e-02,1.180452387779951096e-02,1.400182861834764481e-02,1.397343818098306656e-02,1.351738255470991135e-02,1.407841220498085022e-02,1.127332169562578201e-02,1.212167181074619293e-02,1.333744730800390244e-02,1.361232344061136246e-02,1.403050683438777924e-02,1.114846020936965942e-02,1.249864790588617325e-02,1.394776627421379089e-02,1.221154909580945969e-02,1.436168793588876724e-02,1.360347215086221695e-02,1.373169291764497757e-02,1.214526500552892685e-02,1.427263300865888596e-02,1.393731031566858292e-02,1.307794079184532166e-02,1.346225198358297348e-02,1.419332716614007950e-02,1.206865441054105759e-02,1.350477896630764008e-02,1.317380927503108978e-02,1.275060791522264481e-02,1.368109695613384247e-02,1.267017982900142670e-02,1.418833713978528976e-02,1.327428035438060760e-02,1.158661581575870514e-02,1.060786284506320953e-02,1.325170323252677917e-02,1.493669115006923676e-02,1.467715017497539520e-02,1.388004608452320099e-02,1.321705523878335953e-02,1.488863024860620499e-02,1.262617297470569611e-02,1.226362027227878571e-02,1.159232296049594879e-02,1.262745168060064316e-02,1.473124325275421143e-02,1.256506051868200302e-02,1.195672620087862015e-02,1.270169112831354141e-02,1.324081420898437500e-02,1.422693207859992981e-02,1.251684688031673431e-02,1.223165541887283325e-02,1.230160985141992569e-02,1.288090739399194717e-02,1.281864941120147705e-02,1.450623851269483566e-02,1.389784272760152817e-02,1.310105808079242706e-02,1.269412226974964142e-02,1.481694821268320084e-02,1.402958296239376068e-02,1.386320497840642929e-02,1.249685324728488922e-02,1.580571010708808899e-02,1.445021573454141617e-02,1.225319877266883850e-02,1.351208146661520004e-02,1.314810197800397873e-02,1.246654894202947617e-02,1.299905404448509216e-02,1.308578345924615860e-02,1.254568248987197876e-02,1.438798662275075912e-02,1.425396930426359177e-02,1.479799207299947739e-02,1.270888559520244598e-02,1.222047861665487289e-02,1.211327407509088516e-02,1.254902686923742294e-02,1.296580955386161804e-02,1.339623332023620605e-02,1.401348598301410675e-02,1.399967633187770844e-02,1.204420905560255051e-02,1.435045246034860611e-02
