s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
-2.245807231401226575e-09,-3.535574179316628492e-09,-2.280501150359824898e-09,2.005163289707092145e-09,-6.427641967010384218e-09,-1.073920831600577244e-09,1.342434334493010934e-09,-9.571430118032903726e-10,-1.015807668298635469e-09,2.797242199838641080e-09,-3.687343567249938572e-10,-4.186695750242457305e-10,1.110136346879770018e-09,-3.429461847880357988e-09,-8.126750910017298626e-10,-2.004433252957467727e-09,3.018586284510548040e-09,-4.234722375985295427e-10,-3.432792816883688179e-10,3.702322106610794305e-10,-3.988586538727264412e-09,-3.009880000301541760e-12,6.524613249829197000e-10,-1.507210125731123486e-09,-2.329230381277952136e-09,5.581685050517422214e-10,1.284475201223907202e-09,-2.770360665241192529e-09,2.009017519053750742e-09,3.894867973526661450e-09,3.193838930842749595e-09,1.411577110854588775e-09,-1.950244583339565338e-09,-3.189359395132969418e-09,6.248605108509054433e-10,-2.329637064383293309e-09,2.698957425045203622e-10,5.707929369113306681e-10,-2.909465528138639335e-09,-6.764508942500392120e-10,-1.180008881053729166e-09,9.255057756061293526e-10,-2.980619982897452701e-09,3.661850889279636901e-10,5.681465921804078278e-10,-7.201318484768291488e-10,9.683501138223583334e-10,4.740779163527462528e-10,2.803719153663427475e-09,-1.305831435457361510e-09,5.137202613851505183e-10,1.571255171219347563e-09,2.857391327132865566e-09,7.656993538320978759e-10,1.745822942050543042e-09,3.588446323339177272e-09,-2.263228147017477961e-09,-3.673217312606447836e-09,2.479741855911241552e-10,-1.715207700283987447e-09,4.164757072191080235e-10,1.055733844680166375e-09,4.200152439329620085e-10,-3.252955014026643883e-09,-3.393318047380692288e-09,-1.981217815515234049e-09,-7.011919902426629543e-10,3.375423319837386855e-09,1.193275799781160987e-10,-9.403515903044579017e-10,6.065794882881796982e-11,3.225409001835679549e-10,-1.423359922498174982e-09,-3.151556150027551562e-09,-1.140291432409667038e-09,-2.029273527381616197e-09,-2.461181108742320844e-09,-4.729603457978244842e-09,-5.505773782203910234e-09,-8.353336531751227047e-09,-7.338282926593610307e-09,-1.326877126904271044e-08,-1.425168932325261055e-08,-1.462244487182474078e-08,-2.011966721799504353e-08,-2.368027198977798155e-08,-2.836267187055386597e-08,-2.817191916612008811e-08,-3.496702503163342089e-08,-3.791006250718205363e-08,-4.778506300691065492e-08,-5.902984469965340633e-08,-6.101222702369227277e-08,-7.036087105725675290e-08,-7.748018851523462721e-08,-8.490099527619359029e-08,-9.266717016294972329e-08,-1.078578747958876470e-07,-1.285046100740248162e-07,0.000000000000000000e+00
4.301027492636738882e-09,-6.039132718606047772e-09,8.121830537283897648e-09,-8.032775819548797003e-09,2.156870775127190813e-10,1.837059430873348361e-10,4.913185992301514654e-10,1.174394608937339654e-09,6.154254603891256683e-10,2.214378437986873625e-09,2.301336872734787888e-09,-3.575542250389801610e-11,-1.360482871074384578e-09,4.169488208009321128e-09,-1.435022579422640329e-09,-1.113307525917046953e-09,1.520532329170960877e-09,-6.974028787011371160e-10,-2.457147053111439284e-10,2.857829425325877798e-09,1.538454165125597273e-11,-1.101231374400769431e-09,1.158289275226815111e-09,1.927293731973330486e-09,3.581466401065249531e-09,-2.242746028280065925e-09,-7.463839975311200170e-10,-8.521887972428846586e-10,-1.162014356105904564e-09,2.287638935378587831e-09,2.081151729761596257e-09,-1.451312315781054540e-10,2.186912475171812095e-10,-2.440562746535922427e-09,-1.136913925416862804e-10,-1.057681134947905614e-09,1.082513081665377707e-09,2.740300598413940239e-09,-1.444302086334408952e-09,2.379945322631287247e-09,1.071357788238904754e-09,-2.994863212136654015e-09,1.087385733722065956e-09,-2.749227530976846936e-09,-6.846914501770256336e-10,2.333049058045181830e-10,-2.062081548356668458e-09,6.387943020200873966e-10,-2.346846523112601881e-09,2.114435972494672531e-09,-1.960208480769355360e-09,-6.244396111101616709e-10,2.652729051593746988e-09,2.079871505179052507e-09,-1.837150019636351236e-09,9.334890634078645957e-10,-1.484782851371718773e-09,-1.594433430424458861e-09,8.391651237868020151e-10,-4.390570792357473091e-10,-1.995913658051303672e-10,-1.937932396964284051e-09,1.603139647698623476e-09,1.990533978742504831e-09,-2.100286693935036656e-09,1.890819923015014961e-09,-7.051189044443222158e-10,8.361824160655917780e-11,-2.008160073842115726e-09,3.534070601732113476e-09,-3.958332757167579531e-09,1.063263852327065542e-09,-1.624463880525223612e-09,1.208577953298426684e-09,-3.510450886091761904e-09,-3.149604664167064236e-09,-4.896064260253660828e-09,-4.308075443922509314e-09,-7.394695655622629491e-09,-7.393605140664273938e-09,-1.175053143652735616e-08,-1.260791519889062398e-08,-1.413246547472678008e-08,-1.419187855809914288e-08,-2.018776896372785982e-08,-2.247962140172606972e-08,-2.484115056179788988e-08,-2.687058606520854351e-08,-3.754951088275436949e-08,-4.248582805114977081e-08,-4.276727886279199294e-08,-5.412001774810594409e-08,-5.798499311618270561e-08,-6.815204931533652866e-08,-8.374103509848088430e-08,-8.566455205872358581e-08,-8.610465758391751692e-08,-1.146851874002325580e-07,-1.096468453419519349e-07,0.000000000000000000e+00
4.671463698683559976e-05,-6.157523867957171825e-05,3.101542318967857761e-04,6.476810752597664039e-04,2.769676490666724586e-04,1.996266663424857760e-04,1.766207575490382831e-04,3.737863320209628901e-04,3.298406265654353045e-04,4.444585806148388741e-04,2.702071226794327576e-04,2.967815783394138246e-04,4.712220646306731911e-04,5.354219518287124278e-04,4.017247401614542669e-04,6.065561884898625642e-04,4.664121717859581046e-04,5.252584774931146191e-04,4.159593583054639458e-04,4.916297175255859766e-04,6.599174323042694126e-04,6.780289627771591112e-04,4.430103642072251175e-04,6.087439313471764866e-04,5.976286312935841444e-04,5.612140584972455512e-04,8.521084868045797952e-04,7.813169514575107584e-04,6.741463789310417429e-04,1.268061808157041736e-03,9.875743755754667376e-04,1.221405359963838528e-03,1.034516792587145085e-03,1.421486932972041437e-03,1.063734913761154623e-03,1.128675376578169029e-03,1.286468524525503140e-03,1.276293656825602547e-03,1.100885931731979779e-03,1.172416294451062617e-03,1.106053116310241023e-03,1.014325804238941451e-03,1.407891080690439230e-03,1.522703523165160533e-03,1.222112022242329531e-03,1.381960236538872910e-03,1.042512726634390024e-03,1.139301125449986886e-03,1.377330423096306865e-03,1.083100065564438462e-03,1.428821402585700277e-03,1.121938715586117113e-03,1.284421707946118612e-03,1.179199489991389826e-03,1.389560567258005946e-03,1.125767181813349923e-03,9.430012302887184937e-04,1.128516221377020646e-03,1.333243660527039980e-03,1.146916430900264900e-03,1.194141352467048296e-03,1.256607924005345841e-03,1.227225147458748744e-03,1.228022285586413730e-03,1.361688993361299038e-03,1.142792512281110224e-03,1.382686777548728253e-03,1.259210426238405872e-03,1.314037582114349232e-03,1.252908707018059826e-03,1.115532559080163267e-03,1.386994619523558873e-03,1.158112500244201735e-03,1.242140361649689446e-03,1.114883968486930083e-03,1.573054792663667071e-03,1.728917297064250106e-03,1.499031165462310364e-03,1.502208873937581693e-03,5.211028448153345091e-04,5.662401802789955889e-04,6.825111876290297294e-04,5.701172237777290706e-04,3.236423885880225612e-04,7.281594122145438903e-04,4.462762072344520999e-04,2.912758182001442663e-04,3.207513687203130499e-04,4.146061627126567512e-04,3.868895009379679341e-04,4.977535202252297321e-04,3.169449276844244975e-04,-7.401574650260750693e-05,6.689305539558948075e-04,5.813893896091086198e-04,3.399909208967482103e-04,5.713210866657040870e-04,3.626592864113480736e-04,-6.354256010948939747e-05,0.000000000000000000e+00
1.310345335224088852e-02,7.550038871447195023e-03,4.756318526249231522e-03,3.353743844154410611e-03,2.802287559035172414e-03,2.127568154594626417e-03,2.017522118699735263e-03,1.922664559930292380e-03,1.256599721590591053e-03,1.365461160157417598e-03,1.254193533038339614e-03,1.199983948393451181e-03,1.494047819437628512e-03,1.069627320378317269e-03,1.393902132417117233e-03,1.678409080895492409e-03,1.338708782159573740e-03,1.247914431721430665e-03,9.568319127049956753e-04,1.346880682079407230e-03,1.222749226421461196e-03,1.507662597988628558e-03,1.496714574242956905e-03,1.228971206250362635e-03,1.366602905404362342e-03,1.148362656156650275e-03,1.537619398628975800e-03,1.211474761256905531e-03,1.307330252030764741e-03,1.149542464551218815e-03,1.445254626912463114e-03,1.329826659122994780e-03,1.269280934322429555e-03,1.099772498934236536e-03,1.158667481520183479e-03,1.353062904951306961e-03,1.286797067492276422e-03,1.308170141863407949e-03,1.038798195913505969e-03,1.070399466001612822e-03,1.257892396143027057e-03,1.244923804197065487e-03,1.324598947416560316e-03,1.001446326489798108e-03,1.338359196483487586e-03,1.431835906763423037e-03,1.591727783378519201e-03,1.303192685109809922e-03,1.272671233873567389e-03,1.415483695691529490e-03,1.276042274394123977e-03,8.834927100404238540e-04,1.134202938963935637e-03,1.104493890029117908e-03,1.157275447623233979e-03,1.442321988030605996e-03,1.365182333746938013e-03,1.405156952537388662e-03,1.057690834476861762e-03,8.644476918313034669e-04,1.289676276782222158e-03,1.535928028661506534e-03,1.187665134039344152e-03,1.213460007712747948e-03,1.250552116656465564e-03,9.259186578088005612e-04,1.146057277433194712e-03,5.902778153645786433e-04,6.593352818624580039e-04,8.205261669183013624e-04,7.344301120512844840e-04,7.164177086583117283e-04,7.418675763908473813e-04,7.121493974088170375e-04,7.133477287524822141e-04,8.572246951835838392e-04,7.441856960820983921e-04,5.229520682294554277e-04,6.360001730205407751e-04,5.931215960451023282e-04,2.546127621804550149e-04,9.291830881788045197e-04,1.006936587420940825e-04,6.453115973834976787e-04,3.564609562163649449e-04,1.550087629415607213e-04,5.997662696092907883e-04,7.155362414638726746e-04,4.417515819523853081e-04,2.924054435652402324e-04,1.009103011445072474e-04,5.969293333228823739e-04,2.977585503281612606e-04,1.809897370246819513e-04,2.371502112168811344e-04,6.419567784262831265e-04,5.884773702649373191e-04,4.386334491077548505e-04,5.557978411570613404e-04,0.000000000000000000e+00
-1.497740005484072000e-10,-4.490330689818745408e-09,-1.923136493314934904e-09,4.694397465212537876e-09,-1.783451804244462953e-10,-2.157058770298335607e-09,-1.780463782028525164e-09,1.905544305683751232e-10,-7.793135819309119961e-10,-1.454566876493061119e-09,2.140876159375051823e-09,-1.513242671389992638e-10,-1.086528069510816196e-09,3.755207585597226674e-09,-9.805891655924554213e-10,-2.286599265306662622e-11,3.371614126854742497e-10,1.154838082320954899e-09,-1.971688054099153538e-09,-3.258847507980777930e-10,6.106899062236424673e-10,-2.205433771440094507e-09,9.126772722257596365e-10,2.559948076089914105e-10,1.033214861329437371e-09,2.382504810694519160e-09,1.726193408713330176e-09,5.665501197879209100e-10,-3.379111450754504601e-10,-3.953539208992520044e-09,3.267572664526893118e-09,-1.252341793014917566e-09,-4.284976193382627893e-11,-5.393879925014653884e-10,6.233128251958809829e-10,1.622802740847345854e-09,-1.190711363467874456e-09,3.276932431288761915e-09,-1.952457920743108390e-09,1.314753614938962455e-09,-4.418131004449579703e-09,4.049027177318531376e-09,1.473316384970752301e-09,-3.444220464660456965e-10,7.171118731905716675e-10,6.942204334444585081e-10,3.747574320465424263e-10,8.136384755994636572e-11,-1.254030356657978062e-10,2.973562134587785207e-09,1.335569580625886997e-09,-3.124209672346314234e-09,1.845147663248106553e-10,-6.151640623671738456e-10,2.236908734662175852e-09,-8.135064022181495459e-10,2.300722233654171530e-10,2.477669693109388428e-11,1.421069535742571236e-09,-1.244734969356551829e-09,-4.134031269875113733e-10,3.556860150679393324e-09,4.153984567483259197e-09,-1.826766044640419987e-09,-1.994971153354423500e-09,6.479814171370078426e-10,6.927413209274712112e-10,-5.376962364203816016e-10,2.164051789029128705e-09,-3.566949850744139874e-09,6.650731097954883396e-10,-2.019168756737972335e-09,-4.132172795877916513e-09,-3.395498204869155202e-09,1.829057324359394436e-10,-1.071944849667680620e-09,-4.385735808954452332e-09,-4.510063020444015091e-09,-9.355180740834897316e-09,-7.456759735273447674e-09,-1.041355060727335164e-08,-1.322003921948072002e-08,-1.529728311565344400e-08,-1.475882872843005372e-08,-1.623178164966676209e-08,-2.489282414911093899e-08,-2.378069496477098160e-08,-2.930182276968053145e-08,-4.065585304482329581e-08,-4.096631503347033703e-08,-4.817311490512900539e-08,-5.555315145313830738e-08,-5.817130543643401047e-08,-7.297177544392457208e-08,-7.903755423050874660e-08,-8.565324079116256454e-08,-9.550487231175353957e-08,-1.027367534010354708e-07,-1.265487794070331028e-07,0.000000000000000000e+00
-1.319542830264057150e-04,1.098272321588482370e-03,2.411585948442703482e-05,6.045376069554501356e-04,6.110782710636840104e-04,2.972511139306015021e-04,1.780717586917323735e-04,4.335384477606173429e-04,3.778357990172731659e-04,5.454881664493352236e-04,3.996977794913702869e-04,3.241966292361379777e-04,3.548949584902160370e-04,3.762748212744750314e-04,3.066725098659203925e-04,4.869393730625093592e-04,4.471257314005784881e-04,6.556723429089093228e-04,4.300417707194079836e-04,1.371640902251930645e-03,1.463112035875684504e-03,1.846680728518945106e-03,1.167145285741565683e-03,1.106764240324606885e-03,1.377032176429994568e-03,1.287969518152147627e-03,1.364171634200997234e-03,1.300572303809067803e-03,1.220648278128207923e-03,1.011958904035746955e-03,1.277468789476766432e-03,1.434431729858675567e-03,1.182553772858107189e-03,1.394849597504661722e-03,1.299865048688311720e-03,1.128085280969285840e-03,1.350381042903591377e-03,1.137070560354165854e-03,1.143483239658725850e-03,1.513319178258070146e-03,1.288901734009803091e-03,1.206793731962608422e-03,1.126706731946498525e-03,1.224346131236261730e-03,1.356351455463130099e-03,1.271428583160683599e-03,1.359458808350606090e-03,1.213467282431669172e-03,1.170183711724583769e-03,1.297432390402381269e-03,1.212768377829501979e-03,1.099446110391576756e-03,1.289533008638079009e-03,1.171275985842239057e-03,1.254551631868609969e-03,1.232421830044132856e-03,1.299992876402731668e-03,1.008191788249117532e-03,1.296657657098178925e-03,9.028349892055170149e-04,1.167414589227671511e-03,9.709687718476791999e-04,1.029582029534491629e-03,1.330319760647097338e-03,1.222981178529082297e-03,1.013839588048003624e-03,1.257598201817983295e-03,1.106146101403302330e-03,1.113356956946393896e-03,9.033123632825822667e-04,8.507383521775772200e-04,8.000996653450463897e-04,4.787615839536486935e-04,6.619716141326906873e-04,6.857974468793663365e-04,7.799013245159126763e-04,6.678218113830626003e-04,6.640240475573051370e-04,6.470583903761321877e-04,4.751587481985665722e-04,6.399207229279323464e-04,4.631970798021209021e-04,3.541541182337948498e-04,5.449686592590401038e-04,5.121881640392689401e-04,4.853825070543143572e-04,3.661835753018009496e-04,4.208084263700659355e-04,6.113183829693878820e-04,3.672823949664303007e-04,4.696659708587171199e-04,3.480593228944307122e-04,6.590552461166702004e-04,1.345397997138877294e-04,7.583911343803874296e-04,4.400881942754931455e-04,3.079247693406552571e-04,3.781893906044339095e-04,2.771657500678786912e-04,0.000000000000000000e+00
1.047467328021800046e-09,-4.061130176104167800e-10,-3.335357482966238545e-09,1.033204228215172471e-09,-2.427098608706780284e-09,2.328241791401499689e-09,3.612855547006909509e-09,1.349481133169814057e-09,-1.182759026788450364e-09,-1.779307920686193849e-09,-1.320172658187770592e-09,-1.881552168012600899e-09,-2.020757898626577757e-10,9.055720124588124822e-11,-2.935947893927903937e-10,-6.498498688035616447e-10,-3.973395229045345064e-09,-2.083365657385092778e-09,-1.795104796490050164e-09,1.223517978962298434e-09,1.650296565555231420e-09,5.933824236241592965e-10,-3.666181107913599065e-09,2.703680161468270613e-09,-1.228887191480812091e-09,1.626479368345632403e-09,-5.128463689681423369e-10,3.076148070250689778e-13,3.087138603774430739e-10,4.430734745983009554e-10,-7.265596769953471193e-10,2.307216905063582051e-09,2.939625045379006158e-09,-3.125741436485422701e-09,2.915626803694721739e-09,1.160045854713803659e-10,-2.254448766825153533e-10,2.497626565912738787e-10,1.162520852879363828e-10,-9.346342015743995389e-10,-7.791000880326162766e-10,1.528423901974028878e-09,-2.029870622000542942e-09,-1.422386458884468812e-09,1.970957500778752925e-10,2.155904357200778160e-09,-2.936604633041273575e-09,9.498124378580596062e-10,9.875276880892703244e-10,-1.487858050193200510e-09,-7.211438200752718964e-10,-1.073450452427998632e-09,-1.872003029744664857e-09,1.133553024835363360e-09,1.813001241168202351e-09,1.987901949912831637e-09,-1.141237433093431127e-09,2.633017405306895993e-09,-2.222301681845055831e-09,-8.220392767963084820e-10,1.352998866959644009e-09,5.619332801843761530e-10,-1.244651752571179448e-09,4.299237949113425236e-09,-1.094849172048124449e-09,2.952636054203254004e-09,5.644004618345833477e-11,-1.564619003894199246e-09,-3.867034348589410633e-10,-2.133442572545909413e-09,-5.661731426347046142e-10,-1.109404283748334571e-09,9.077849162355533918e-10,-8.319507098014516984e-11,-1.895728870820331722e-09,4.916323001552810289e-10,-1.726722180861354754e-09,-2.336176459025164381e-09,-3.537320546899239867e-10,-6.884161359320588375e-09,-2.053897108605033784e-09,-3.920502746753701049e-09,-1.267826217318940409e-08,-1.540863570286322668e-08,-1.705766523977914752e-08,-2.195421402171306886e-08,-2.884461453599901846e-08,-2.613846194788093173e-08,-3.738348522794022263e-08,-3.687165072212894789e-08,-4.402449248617198614e-08,-4.781253548144052400e-08,-6.431589242020109103e-08,-6.670423711652757893e-08,-7.975824144563122602e-08,-8.780368718578947664e-08,-1.014651487896709726e-07,-9.909531529480374854e-08,-1.226705030390290787e-07,0.000000000000000000e+00
4.566551821697700893e-09,-3.146658776672849737e-10,-3.358367949881326489e-09,2.169909130140479730e-09,3.361726621894661711e-10,-2.005651598575229051e-09,1.171457235281366305e-09,7.817282997437164135e-10,4.227240065221744534e-09,1.764024894708507357e-10,1.379426828603042084e-09,9.392049631925337584e-10,1.086563301464923254e-09,5.724401327399003285e-10,7.173079697626572804e-11,-8.979904784736557135e-10,1.573739731928962258e-09,3.934527506563129831e-09,-7.489828634646917536e-10,-1.374653559357210914e-09,2.899622101447851252e-09,7.294816019469024799e-10,1.788054780694693303e-10,1.527135420529768268e-09,-1.205999009634786842e-09,1.305097060737088189e-10,6.742075395910255610e-10,-5.507198350620542891e-10,2.239367852665166038e-09,-1.827082912551101884e-10,5.046901051963365853e-10,-2.195522649888388417e-09,1.288055904412174700e-09,8.002807339121876679e-11,-2.599036244354090925e-09,7.211290037516382348e-10,5.201824802335756852e-10,-1.037454028529445475e-10,-2.769526594967035074e-09,-4.051723001439230334e-10,-3.333533051273291428e-09,1.699634942438348674e-09,-2.052845315188806782e-09,-1.887066263769706551e-09,4.874131943798352326e-10,7.721310583549799105e-11,4.431189629714909807e-10,-2.869473785715188034e-09,3.280212146563388862e-09,8.918205470764544058e-10,-2.990109600111575501e-10,-4.801889604846850868e-09,7.001422507141507632e-09,-5.691525630916995949e-10,-1.181423861857223517e-10,-2.465380395273047587e-10,-1.120549620508045632e-09,-3.837942973828587970e-09,5.559486897467352715e-10,-1.674183206514235806e-09,1.298880949923548100e-09,-1.602924472724221834e-10,7.220685779594638725e-10,-9.216956135990248138e-10,-4.212155589152244134e-11,-3.219618484851196247e-11,1.645361380397395804e-10,-3.602658771289486735e-10,-9.768311116291940573e-10,-3.848955989846295405e-09,-2.177886791030622565e-09,-1.506355370867019916e-09,-1.277175418093037458e-09,-1.970771156110259691e-09,-2.139285701565339465e-10,-7.067254622606624240e-10,-3.041366413910951033e-09,6.402386162071093071e-11,-3.873484031026678492e-09,-4.522762219242957032e-09,-8.062427266172164517e-09,-4.067677701906908823e-09,-4.097910242323666354e-09,-6.959009317155399298e-09,-5.572048173980799586e-09,2.614284941938537755e-08,2.740767814880409085e-08,2.766620316802485660e-08,3.748597097042991072e-08,-4.231873658062905997e-08,-4.657707099944228198e-08,-5.517337747340278828e-08,-6.155021653891933398e-08,-7.309038187543256606e-08,-7.884468367310834077e-08,-8.414440181606920892e-08,-9.315652398421556629e-08,-1.146370897521568543e-07,-1.364578310146280596e-07,0.000000000000000000e+00
-9.765258920781971461e-09,-2.678141534237964752e-09,-1.617364749184715021e-09,1.367404970437372644e-09,1.368819774385509614e-09,8.672831459100917968e-10,-6.887418078978256697e-10,2.709695890455355848e-09,-2.139577617142308857e-09,9.406063374091650144e-10,9.519907795111487671e-10,7.003583005329393629e-10,9.597636144287497691e-10,-1.649189210964585410e-09,1.946714589862625738e-09,8.322368937557026399e-10,7.832016828209482935e-10,-2.282283926961730489e-09,-1.984565086768106239e-09,2.358511933925696070e-10,-1.362130230164891135e-09,-5.526384516116984942e-11,2.597151852702724600e-09,7.353986024515109755e-10,1.022266936756698275e-09,-1.464083057238757334e-09,1.305639888151613303e-10,-8.821572519281432571e-10,7.121931774088416339e-10,-3.062444883669452037e-09,3.398943533744220696e-09,2.213754096649081149e-10,-2.795117704222967805e-09,2.572861423302349709e-09,-3.699402722108563704e-10,-1.193267005887865221e-09,-1.482898192520572065e-09,4.526759807679078099e-10,-8.556147978506181056e-10,1.269372955400514403e-09,4.131443510916939197e-10,4.936388661021597191e-10,-2.873217290882084575e-09,2.657326413787283552e-09,-1.123322612518551603e-09,3.838670508575573001e-09,1.828752422902785988e-09,-2.034053503955431176e-09,3.130073578905921421e-11,3.367601389154601997e-09,1.423715762475270262e-10,-1.305119704562376753e-09,-2.815858766043067321e-09,7.377941356395168108e-10,4.845236118923487499e-09,-6.470479269736687762e-10,-1.100032934895644181e-10,-1.539343931290473888e-10,-1.354026769210892661e-09,-1.421344269231686080e-09,-1.843340391905241016e-09,1.277255526908510413e-09,-5.777749429716903404e-10,-3.361056636710568950e-09,9.236603052213710136e-10,-1.623796220762129714e-09,1.154381828861477893e-09,-3.809034123125687417e-09,1.364394674659976575e-09,1.307002808649005446e-09,1.225905460381918180e-09,-1.774457814845093244e-09,6.569494211774960399e-10,-3.197579418113586009e-09,-3.489480803575585471e-09,-4.709815655744980322e-10,-6.085146974142814330e-10,8.180799038304444955e-10,-4.767617329318772946e-09,-3.175613364944831763e-10,-8.408526379158131266e-09,-6.959575572326055855e-09,-3.515027419758218100e-09,-3.228566172666875632e-09,-4.322694207910636928e-09,-1.499865832851816279e-08,-2.467532569994208464e-08,-3.296200960725611837e-08,-3.532736685095810471e-08,-3.896090952364781973e-08,-4.528498131949550935e-08,-5.375765111505883328e-08,-6.036043289167295793e-08,-6.882146884626343926e-08,-8.109611499223213279e-08,-9.142856817897706807e-08,-9.604411923320702133e-08,-1.090747513560988175e-07,-1.413444033643591940e-07,0.000000000000000000e+00
2.201871486172038274e-09,-9.643291623753754595e-09,-3.960591787401070874e-10,-5.722115528345296144e-09,3.473849729733653829e-09,1.751092371974090530e-09,-2.843559824982845615e-10,-2.622689356757942321e-09,1.131623285824445250e-09,-3.591305121751301783e-10,-1.470510043871607374e-09,-2.686787562497668832e-09,-3.188665422066796559e-09,-1.697388418911079032e-09,1.576670252843195513e-09,3.815160524106887766e-10,4.355997416996381502e-10,-2.168324922396251049e-09,-9.728066382227251106e-10,1.625802208914982467e-09,1.261256698428316747e-09,-2.797434751656792506e-09,-2.476880000390602783e-09,1.945394216053841283e-10,-1.839513944796860040e-09,-2.403505899966354058e-09,1.715182765840377946e-09,1.041077011430011237e-09,-1.130734332158519472e-09,1.565314143546204848e-09,-3.965900984640225101e-09,-1.772621429262329829e-09,1.244626694144168884e-09,8.668022130006516626e-11,2.871286376989437616e-10,2.704057299250359541e-09,-4.674876398337936050e-10,1.462452737749664300e-09,4.641904199163852607e-10,-3.307363104637452238e-09,1.330225306952069875e-09,-1.798697842671369187e-10,-1.050570721831196645e-09,1.846281181499974831e-09,-1.056500784315090010e-09,1.184347058202640219e-09,3.428460637857210983e-10,-3.888408981331411532e-09,2.553805680740133586e-09,1.623907433469413614e-09,2.182557276089064256e-09,-3.166062240156635929e-09,-1.201953390725473975e-09,1.992931627720949170e-09,-2.645561343299758176e-09,-1.955469821073088685e-09,-1.948181683623983962e-09,-5.481905198784370062e-10,-1.096333827911753570e-09,-2.412917956364358389e-09,6.890741013078683398e-10,4.528939826203150949e-11,5.500707647739646669e-10,1.790393973977637729e-09,1.929417868954927571e-09,3.881283597071198163e-10,-2.239232416676759244e-09,-4.741369548343954012e-10,2.239512693009711179e-09,5.214323529311748352e-10,-1.536863965106485222e-09,-2.642757235826149810e-09,-7.485317062732044067e-10,-1.467462252124668422e-10,-2.578630110992364539e-09,-1.973102096860027345e-09,-5.269935910796376697e-09,-4.543297638104995028e-09,-7.968066917424108391e-09,-8.293130990202246432e-09,-1.098934621127155959e-08,-7.250886668252315249e-09,-1.493249717313822676e-08,-1.602051101255927642e-08,-1.666744530820600651e-08,-2.321324960593671592e-08,-2.694734975460364840e-08,-3.042964324792674602e-08,-3.332876592097030902e-08,-3.666237529990653176e-08,-4.476788006068694842e-08,-5.249555055022739910e-08,-5.724897422820677322e-08,-6.890383754808275064e-08,-7.750337935031857394e-08,-8.218186731865099716e-08,-9.849021842861423603e-08,-1.074733526144368582e-07,-1.239492617822185561e-07,0.000000000000000000e+00
