s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
3.183171303285295912e-19,2.189259287226772203e-11,2.354494170419084253e-11,2.577283843706323831e-11,2.851410062485223658e-11,3.189084774517398827e-11,5.345501085235433306e-11,6.520005068067712415e-11,8.438707556903529249e-11,1.165818651717558440e-10,1.691837164773568879e-10,2.520484198323880989e-10,3.813828071532217189e-10,5.892795969970760196e-10,9.394164697920737190e-10,1.554760532382066750e-09,2.664617287873151939e-09,4.679360616088176579e-09,8.295951016018638339e-09,1.462336715815109406e-08,2.534336297825041466e-08,4.299590964263353825e-08,7.152967064798356628e-08,1.169881647584592424e-07,1.875160259581591513e-07,2.911882264535799749e-07,4.306948194540977097e-07,5.966808491195797996e-07,7.653298912038068339e-07,9.049677530263975021e-07,9.881362600008973702e-07,1.000631810655782207e-06,9.470121892629207811e-07,8.510729168060542344e-07,7.459224220519518620e-07,6.620977042633682873e-07,6.218285190124898495e-07,6.378004053298056655e-07,7.160716025440018482e-07,8.577563080389315139e-07,1.055640140393887288e-06,1.293593072370594548e-06,1.550379200306574840e-06,1.802580838108392114e-06,2.023629204174451564e-06,2.182029559904657234e-06,2.245569889068584765e-06,2.194600510509074075e-06,2.038243715448665407e-06,1.815292666438487868e-06,1.576632843718577324e-06,1.364043088018153195e-06,1.197712424391769415e-06,1.075008022589101211e-06,9.804265733389479709e-07,9.020985478166457805e-07,8.403984364645488398e-07,8.063839506523368461e-07,8.128910715090421206e-07,8.680360798416213598e-07,9.684241968373479855e-07,1.092350260004550791e-06,1.206637875399930714e-06,1.281583425409936261e-06,1.303487411237733415e-06,1.283658352203990732e-06,1.255073263173166945e-06,1.264226718584618161e-06,1.362139223578648791e-06,1.580416889696492221e-06,1.904681082457470147e-06,2.276816408027626160e-06,2.609871982753044477e-06,2.814342551936597129e-06,2.832186185166045916e-06,2.657627643322786239e-06,2.332733763421305608e-06,1.925373545537090340e-06,1.503275857675581890e-06,1.117085311765525763e-06,7.941905197258308670e-07,5.435745286138080405e-07,3.599913294483501425e-07,2.320931589457452966e-07,1.467675725487216185e-07,9.182562706517035899e-08,5.781780324566203620e-08,3.712751186369878996e-08,2.490796783530567336e-08,1.797887932295330375e-08,1.348698751832811670e-08,1.123001918047036646e-08,9.856794245570962272e-09,8.863367200426053546e-09,7.819387282703525788e-09,7.012498288095120057e-09,6.029945428653687822e-09,4.777563584532024985e-09,4.157510351562732108e-09,0.000000000000000000e+00
3.476028248704932108e-20,3.560362958927568028e-20,3.765527265967038167e-20,1.269611927987364579e-12,4.186524849483324925e-12,7.053003004997892360e-12,8.493365220246817704e-12,1.066779884880150373e-11,1.427606133909137880e-11,2.043450932618426934e-11,3.062537598217226237e-11,4.676813130719228464e-11,7.211764617276471361e-11,1.127275902970634600e-10,1.814550354038745750e-10,3.040619184624104190e-10,5.326217702732854744e-10,9.699989698886167421e-10,1.813014093934224176e-09,3.417301266555733510e-09,6.368000314560967468e-09,1.149526000473383043e-08,1.972120333093271215e-08,3.164344877370101498e-08,4.695844983553521304e-08,6.412486317621901685e-08,8.056418369494214125e-08,9.331468329251355101e-08,1.009039943768209166e-07,1.060513186980990945e-07,1.138998163514303452e-07,1.260654892240322848e-07,1.415505204977408597e-07,1.614308648959019253e-07,1.865765831345924102e-07,2.132253931674366304e-07,2.338099405796021676e-07,2.420329007043703531e-07,2.362618916891029957e-07,2.193940702545398608e-07,1.963775725786797764e-07,1.721216630650436925e-07,1.507565835481535608e-07,1.343459110328689006e-07,1.230404024864637778e-07,1.189158856038173996e-07,1.251707437983260088e-07,1.420782250162412007e-07,1.675285561665889558e-07,2.008579839441761406e-07,2.448340482312780277e-07,2.999033488142894599e-07,3.588276313286399693e-07,4.105627225476483770e-07,4.441893931144629279e-07,4.507947046303527005e-07,4.309425818583146437e-07,3.946717270521148578e-07,3.525267522285949401e-07,3.117077477530617983e-07,2.762470689330469796e-07,2.461779785004563098e-07,2.217878373529173543e-07,2.053463228206709208e-07,1.979078665855893109e-07,1.984589584598178940e-07,2.022020577389565142e-07,2.024144794269579874e-07,1.964553481016366080e-07,1.853226835675780765e-07,1.686548420454013429e-07,1.468208381455295608e-07,1.220945378484321369e-07,9.724572901885585904e-08,7.456050801042585434e-08,5.558062655074573883e-08,4.054368224154129183e-08,2.925707707817071517e-08,2.109434579282982098e-08,1.557429606278584349e-08,1.180268487501390649e-08,9.454246074112488235e-09,7.819947997857886610e-09,6.759840295666060994e-09,6.038653793256859214e-09,5.672524271835465769e-09,5.447208802764451959e-09,5.303787113880858974e-09,5.228041156812393613e-09,5.274934156348761522e-09,5.124247983571355664e-09,5.261388639176522578e-09,5.361657821499572653e-09,5.384100762948219895e-09,5.106887689308188921e-09,4.582119720346848294e-09,4.606454662975638352e-09,4.567376229017374736e-09,2.505466000277209317e-09,0.000000000000000000e+00
9.821519052962589469e-10,1.020343071299735290e-09,1.078964721507947671e-09,1.165303454453661147e-09,1.270159732594410346e-09,1.401265786830779413e-09,1.571129280813459992e-09,1.818645241606637674e-09,2.208226284260359735e-09,2.829753698343795418e-09,3.789146646058181279e-09,5.212860226463334407e-09,7.314713111176413643e-09,1.053167225817467546e-08,1.572934326027750652e-08,2.448412641303618778e-08,3.942413673795059494e-08,6.447504410830193780e-08,1.045697906097044486e-07,1.642100620579627021e-07,2.447050711484354691e-07,3.411983310855581019e-07,4.417028668269688130e-07,5.298076999152464909e-07,5.904693811176878137e-07,6.159801383001127317e-07,6.086290258914008785e-07,5.786810685062478763e-07,5.393492422779855977e-07,4.999319150021607965e-07,4.734378035230739807e-07,4.679061999549484272e-07,4.901496882334204806e-07,5.363526188253281805e-07,5.965921042770939970e-07,6.644377769533102424e-07,7.371606146432500238e-07,8.125417984998358952e-07,8.846960589681662506e-07,9.396498076457970977e-07,9.555127885376937750e-07,9.105488696785216031e-07,7.884083417328384212e-07,5.737083141380253873e-07,2.412608134884047714e-07,-2.586791205706871462e-07,-1.006654958907524775e-06,-2.106279151852290404e-06,-3.652787301800255113e-06,-5.662950672207639571e-06,-8.000409015709430616e-06,-1.035563155251181172e-05,-1.231674712270351571e-05,-1.348313468723727073e-05,-1.359264668430409291e-05,-1.263614632328845922e-05,-1.087507984518886285e-05,-8.711489953482211434e-06,-6.526475768701379154e-06,-4.584655873842943298e-06,-3.008093150961912614e-06,-1.800784140478056123e-06,-9.071878945116368013e-07,-2.636845747745252444e-07,1.879903543247214010e-07,5.041405316293246551e-07,7.315050459251263037e-07,9.044575346973239918e-07,1.044134947559563430e-06,1.150720610036982583e-06,1.210108619061510151e-06,1.207023474807965743e-06,1.135986478378078958e-06,1.011979695714513735e-06,8.587106802737792825e-07,7.017134783361277322e-07,5.633392969355771141e-07,4.493785316543483930e-07,3.567546264441202462e-07,2.936708265756461722e-07,2.319322328800826737e-07,1.845437146010569711e-07,1.475302989215401562e-07,1.187766381462808984e-07,9.632081905535015997e-08,7.866849646425949891e-08,6.436344813892375558e-08,5.318218715552704413e-08,4.355056208646066642e-08,3.592643014282351090e-08,2.930955780818945573e-08,2.348362990260315380e-08,1.896065897249436264e-08,1.517019313221626605e-08,1.165932719579033769e-08,9.124201110143597489e-09,6.633561829389516386e-09,2.922991052502147712e-09,1.407179859635707064e-09,0.000000000000000000e+00
-4.775157601510832506e-09,-4.876360925762691738e-09,-5.144737843609742630e-09,-5.532725660210680299e-09,-6.004700600126544924e-09,-6.596844337461190420e-09,-7.374615318488471519e-09,-8.493988823775445116e-09,-1.024432348968934868e-08,-1.302476238269939460e-08,-1.730576979118835495e-08,-2.366502227992199982e-08,-3.313282994477622624e-08,-4.782486016493418416e-08,-7.196678714094565385e-08,-1.132565717174332256e-07,-1.843051868575041221e-07,-3.029299472723716959e-07,-4.886384750320862304e-07,-7.527774530682312239e-07,-1.085236314953313366e-06,-1.447868396980492371e-06,-1.783723716103939221e-06,-2.034174095083641210e-06,-2.146614114765118162e-06,-2.088535871942007989e-06,-1.874361606002310348e-06,-1.566527125363808472e-06,-1.235916884497616972e-06,-9.327803661556583145e-07,-6.803507403683597115e-07,-4.820143740887206108e-07,-3.318440193630351510e-07,-2.205545824506945823e-07,-1.363812994929916593e-07,-6.798334244070939339e-08,-9.316877661349180906e-09,4.231791302761403927e-08,9.128145601615405157e-08,1.437217070845744041e-07,2.039589598093723440e-07,2.720221281026528361e-07,3.453794957734837604e-07,4.218243160714184174e-07,4.998572073929387533e-07,5.771057697506567068e-07,6.472354795818313542e-07,7.000606434811869631e-07,7.276640844639444931e-07,7.329658649780538663e-07,7.349628823466644170e-07,7.357260188103303138e-07,7.511106246037932429e-07,7.799444320641544520e-07,8.175628585881071128e-07,8.560608251872450294e-07,8.836093149327623253e-07,8.942294103224714895e-07,8.927621235752781824e-07,8.857916646413808590e-07,8.760353512231721896e-07,8.720902651022653889e-07,8.960496124803870619e-07,9.755046066455291023e-07,1.131253944487517947e-06,1.361130924676313380e-06,1.631441817737489700e-06,1.883757058215770787e-06,2.054785805049364519e-06,2.096547470185057850e-06,1.994767123449386349e-06,1.774604526369287547e-06,1.490768742774443167e-06,1.202558183985145868e-06,9.475025499190492396e-07,7.360551558788026009e-07,5.687672844042103409e-07,4.414198035702337684e-07,3.453993505491470046e-07,2.716414988875311776e-07,2.136115190858127188e-07,1.681275059981403555e-07,1.327285919447387492e-07,1.060199036148856327e-07,8.564523142975168279e-08,6.963602309105575699e-08,5.687951937743292415e-08,4.628280571531913102e-08,3.765691150100912814e-08,3.060085948988965301e-08,2.467475921617976223e-08,1.952333314508038798e-08,1.552593683417295785e-08,1.197601114834926869e-08,8.654758988539154217e-09,4.217122978621390651e-09,2.894632553730084892e-09,1.946086838753649989e-09,1.274694469885149413e-09,0.000000000000000000e+00
1.914534850481987390e-10,1.960715044219726608e-10,2.072881599616354794e-10,2.231433596588971000e-10,2.952128980508954538e-10,3.288163533275747055e-10,3.733518272052677221e-10,4.388163742718408403e-10,5.431283735700036207e-10,7.126018199025578562e-10,9.797428978752284645e-10,1.386405936701987968e-09,1.998955527987208629e-09,2.953870200819610170e-09,4.519932238122399451e-09,7.197286341818001023e-09,1.186104447315621276e-08,1.993847545362656142e-08,3.355778456058699047e-08,5.558301081433071117e-08,8.952427254017340683e-08,1.394137303655979027e-07,2.094934770621494726e-07,3.030224327163735133e-07,4.195590461521346478e-07,5.516402405551189293e-07,6.836259076131141745e-07,7.951863642724191443e-07,8.689142160304217810e-07,8.981470621106854634e-07,8.901905910015449142e-07,8.624863524110247934e-07,8.332947640233227237e-07,8.129380747181521466e-07,8.028395919890621677e-07,8.024558212545218416e-07,8.176862793891365843e-07,8.656426801535661684e-07,9.737984232383353728e-07,1.171567342010180960e-06,1.473132237809268273e-06,1.859446804553278418e-06,2.272817225919538317e-06,2.634530498751586549e-06,2.874283782473644718e-06,2.950220609523530573e-06,2.859035964126284229e-06,2.646254972053280601e-06,2.406065397229794827e-06,2.241380333612665668e-06,2.209331101955572829e-06,2.303709241984517009e-06,2.468385889563447911e-06,2.625763729626963573e-06,2.702685741322139996e-06,2.649887210611771039e-06,2.455145442707415125e-06,2.145468648874969602e-06,1.775959598267621118e-06,1.409385515984503092e-06,1.092911001311457762e-06,8.454313855742993650e-07,6.627377961752634148e-07,5.299353465753136697e-07,4.338088681653783270e-07,3.644493617790137887e-07,3.100985200247698197e-07,2.583889484879743790e-07,2.075113882645660980e-07,1.647299246547327867e-07,1.324287290703372955e-07,1.055510932059629795e-07,8.107579287168229827e-08,6.159261360356137346e-08,4.839222370641871739e-08,3.909796823928741657e-08,3.209393550656637842e-08,2.660960831535117574e-08,2.250746540671024837e-08,1.941655116021513739e-08,1.682303466650179310e-08,1.513991835130468702e-08,1.373147747245229224e-08,1.245519233899866888e-08,1.125639621042519937e-08,1.015315186118352118e-08,9.156649435345968167e-09,8.291512971014808168e-09,7.561567075774377409e-09,6.968327028286510530e-09,6.199748693859802970e-09,5.260180078270375545e-09,5.158779797097481323e-09,4.800667506923518433e-09,4.571192941565980778e-09,4.452120576545086431e-09,3.366372003983575318e-09,1.857971924686546668e-09,1.219994552388002026e-09,0.000000000000000000e+00
1.314024310385636593e-13,1.342482916828165874e-13,3.272244361196854789e-12,1.255875662573197746e-11,2.804611934368985924e-11,3.551372838952567914e-11,5.028267891073349415e-11,6.367255785022973632e-11,8.525534182642286693e-11,1.222132316846518819e-10,1.834955119576491607e-10,2.808958499354225291e-10,4.331018130506112159e-10,6.756553308746022585e-10,1.078049696075429923e-09,1.773321694848128022e-09,3.011938927565456324e-09,5.256260421926152108e-09,9.328706229765711530e-09,1.649339587057201374e-08,2.906397714113994592e-08,5.005093747264564097e-08,8.329524615116783737e-08,1.329127389593680412e-07,2.024052601186969322e-07,2.934171210291624726e-07,4.041739464242202713e-07,5.288325643356210175e-07,6.595023013311660381e-07,7.875108663859003826e-07,8.990830747653507099e-07,9.729393782274335833e-07,9.837793597992253386e-07,8.988666444226874438e-07,6.689884327368604704e-07,2.284256602492607207e-07,-4.990175584927934589e-07,-1.589321387292165111e-06,-3.085247524435776575e-06,-4.942206936724046779e-06,-6.982706300168829397e-06,-8.904581552957389738e-06,-1.035363963961726909e-05,-1.105934593150180942e-05,-1.089589181539543712e-05,-9.946990008880306073e-06,-8.477765813473203357e-06,-6.808543582029331933e-06,-5.192169899326274758e-06,-3.782826511538406059e-06,-2.648016574286119342e-06,-1.789360377908567477e-06,-1.169284002339414530e-06,-7.353800255341647541e-07,-4.375011475552908964e-07,-2.336284540153220436e-07,-9.144939472917438782e-08,2.060309452571257312e-08,1.290850536601238260e-07,2.534794322837110072e-07,4.083977126870913582e-07,6.042718944528145876e-07,8.483149048669858197e-07,1.143694624252574780e-06,1.486097674018254281e-06,1.859470953195385225e-06,2.234267612181590074e-06,2.569966011286913365e-06,2.819930974044957345e-06,2.957740430886873551e-06,2.907888817158457125e-06,2.699265211567583909e-06,2.372781743718739132e-06,1.990365399626897965e-06,1.611236164050427711e-06,1.270490053045740385e-06,9.777553561599149802e-07,7.344465444109579122e-07,5.434298698875036431e-07,3.984912873450388977e-07,2.896455849064164930e-07,2.091852803024332065e-07,1.507700324897556972e-07,1.094909378810141693e-07,8.111163483258070016e-08,6.185717222099937737e-08,4.822050990670975801e-08,3.878882719804292570e-08,3.162227357747310390e-08,2.627117537149073426e-08,2.144033911572057348e-08,1.801347461738033156e-08,1.473058487533622506e-08,1.194429147776722104e-08,9.104156137661091699e-09,6.967176993264823931e-09,4.987634323392520275e-09,3.609715295148803640e-09,1.328466061409595059e-09,0.000000000000000000e+00
3.427617104461763408e-20,2.244130833910070281e-11,2.757448598356288047e-11,3.024687335421960204e-11,4.450219594292056587e-11,5.050971091428372228e-11,6.732347393303655841e-11,8.189823918661336229e-11,1.056690084103121164e-10,1.453770528551337055e-10,2.097561650769418695e-10,3.101335670752580201e-10,4.653060291874918810e-10,7.128249027350093499e-10,1.128530597077746894e-09,1.860140053499614606e-09,3.185504747671042871e-09,5.604510374017719125e-09,9.961764581273566841e-09,1.756618034317557831e-08,3.026028902350238872e-08,5.044201809366710866e-08,8.110788794515898892e-08,1.258630728578578595e-07,1.884556712834456539e-07,2.709498189372678460e-07,3.698611795766012608e-07,4.724350498752791144e-07,5.587642449319187229e-07,6.106086213204480886e-07,6.186485040072087505e-07,5.839500238229130639e-07,5.173036969637323493e-07,4.359745614639521659e-07,3.575124280843987297e-07,2.943148933357895436e-07,2.513781747297707238e-07,2.267311322165686126e-07,2.138846190033886944e-07,2.058922613255326772e-07,1.988984400864349146e-07,1.938841107020977149e-07,1.967702850640049951e-07,2.164238755068514423e-07,2.611194518716001505e-07,3.359855143600333253e-07,4.438992694633092275e-07,5.894513122127135002e-07,7.812203173251499438e-07,1.027639012456670586e-06,1.326903531579590077e-06,1.655285842761162599e-06,1.963712269836758303e-06,2.189842989271844388e-06,2.280299646808867115e-06,2.213301639090874104e-06,2.008229130978714910e-06,1.716231311628879136e-06,1.396975112316494770e-06,1.099292564021430915e-06,8.516821782750330537e-07,6.652734348020742287e-07,5.391641543808135715e-07,4.635362245523522969e-07,4.246207169415819443e-07,4.075503470154676236e-07,3.963730825444522956e-07,3.799236040307194769e-07,3.550182654244325048e-07,3.227111316002120818e-07,2.844881888391909242e-07,2.435484187194119347e-07,2.038571073472642529e-07,1.665874505764131726e-07,1.317790373132316790e-07,9.932243187901952788e-08,7.337735890124838707e-08,5.501826965415148796e-08,4.158037425634644080e-08,3.156102285342598227e-08,2.380017924166252543e-08,1.829709037517206541e-08,1.449032274923442998e-08,1.211951526263215852e-08,1.068712648391141381e-08,9.795179236547728219e-09,8.961201545745529395e-09,8.334267065739725352e-09,7.675374087043487289e-09,7.004525750359160059e-09,6.251161598964597600e-09,5.539509663696382472e-09,4.876912097095684200e-09,3.864761346298194929e-09,2.733164755966138979e-09,1.882959308214733624e-09,8.165129121875835027e-10,4.276448544109649966e-10,5.516963655450195028e-11,0.000000000000000000e+00
1.295138223835004807e-20,3.799464647020998191e-11,4.959867705275328921e-11,5.759263639677766137e-11,6.486759529586176655e-11,8.347204696393108285e-11,9.680038406519772303e-11,1.170322082270387348e-10,1.490888418566327875e-10,2.020705238133095737e-10,2.868253572841235719e-10,4.171335891837571994e-10,6.159507925547390826e-10,9.299814834011100505e-10,1.454120027663983705e-09,2.372671394053189991e-09,4.028372356309994421e-09,7.026427778009363942e-09,1.235294177906287531e-08,2.144604224820926647e-08,3.609632411290392508e-08,5.811809409593000990e-08,8.890344179062359404e-08,1.290801260922440276e-07,1.783231429616906758e-07,2.351475390293508076e-07,2.965336876363144994e-07,3.570370813889185911e-07,4.070551339806813729e-07,4.332442616450422497e-07,4.265599177695190492e-07,3.930239087017267710e-07,3.507407462948423575e-07,3.174603533862254728e-07,3.066000174261051797e-07,3.298992257593167601e-07,3.970358276360266807e-07,5.080175089431596776e-07,6.494656925891020393e-07,7.959062762213814596e-07,9.145042782083343678e-07,9.779580316745271780e-07,9.762501199426607221e-07,9.181488499710115779e-07,8.234737514528654266e-07,7.145226836190176204e-07,6.123755539244913543e-07,5.342343238309944826e-07,4.903580194213522701e-07,4.843715985920556637e-07,5.162233623724332591e-07,5.869874409601132438e-07,7.101632059770258565e-07,9.291108443244855941e-07,1.325677731637604975e-06,2.004790229469913422e-06,3.055753261660482623e-06,4.497971102658876817e-06,6.221905883753040183e-06,7.958960559150871943e-06,9.346936957889541664e-06,1.008934850717975902e-05,1.010518229571279186e-05,9.566344433343826692e-06,8.807027651529602432e-06,8.172534959987143600e-06,7.888728685063306541e-06,7.991065555551708256e-06,8.325046698750285384e-06,8.616880017305166773e-06,8.597230125437852871e-06,8.118119949191147897e-06,7.201689489624640531e-06,6.003985931948886463e-06,4.727941726304749786e-06,3.542521535517402290e-06,2.545596208997895907e-06,1.771655235447217140e-06,1.209401360370188206e-06,8.197053053478540263e-07,5.569451883075258289e-07,3.812499403712319323e-07,2.619920487998045042e-07,1.787403643119484914e-07,1.201743868453229452e-07,8.001813272620512468e-08,5.345952308671603733e-08,3.585584994547621002e-08,2.550512750979807184e-08,1.878421520921573544e-08,1.415969647429272701e-08,1.086299248247307215e-08,8.077805167212077945e-09,5.858068414139489269e-09,4.164112734712368507e-09,2.805879985599876414e-09,1.451811507825556078e-09,1.119393030070627217e-09,0.000000000000000000e+00,0.000000000000000000e+00
1.313215348178047615e-11,5.974002043494485644e-11,6.400145220469140992e-11,9.409206959600373610e-11,1.047517614217016544e-10,1.186891599303469325e-10,1.367290516098053580e-10,1.635911124821409055e-10,2.060119438493059217e-10,2.798267674845868106e-10,3.930450393849072383e-10,5.670210770661129195e-10,8.318986056814606311e-10,1.251121041599839268e-09,1.953290766715212745e-09,3.186561180090404730e-09,5.403455755348454882e-09,9.374257896118256042e-09,1.629538740256394796e-08,2.783184868980585633e-08,4.603784431392614814e-08,7.311490796932941380e-08,1.108388854334732505e-07,1.593704865192209990e-07,2.165847725114942888e-07,2.808959376280718724e-07,3.558789608331796907e-07,4.504780765614641568e-07,5.752367094491524364e-07,7.359610317767964607e-07,9.242756354223662130e-07,1.114011538047513229e-06,1.270223342279398584e-06,1.362445084233743118e-06,1.371787252928711343e-06,1.294939035003367506e-06,1.147921361132991517e-06,9.612077274762438271e-07,7.687755504343136921e-07,5.978669189346891937e-07,4.646131489214307762e-07,3.737828247896153659e-07,3.202565590113983060e-07,2.934246736052369108e-07,2.833168560998997562e-07,2.827004912215393940e-07,2.847945360394401183e-07,2.829222829267399795e-07,6.288897692969520408e-07,1.003707276951203333e-06,1.693599670431628553e-06,2.834220564456631185e-06,4.428641139317490487e-06,5.996966684780812110e-06,5.945605171159254582e-06,8.760252708537580028e-07,-1.402220039404801886e-05,-4.026816550682591741e-05,-6.003965383113588566e-05,3.699746724850897112e-06,3.687491690790589433e-04,1.536862860533148812e-03,4.513258693016147967e-03,1.109784745030869581e-02,2.419360116455739756e-02,4.795638791244451887e-02,8.738770029693376795e-02,1.467976245962309967e-01,2.269500877017649187e-01,3.219886679268167962e-01,4.184726045382019533e-01,4.982859371040620489e-01,5.447193285978756405e-01,5.486953058981225428e-01,5.118061155275120955e-01,4.447333222864052193e-01,3.623949769633419971e-01,2.787751840659005720e-01,2.037418446101590397e-01,1.423060621618509047e-01,9.550590784444525083e-02,6.189075553185294926e-02,3.889807519051564216e-02,2.380685419442651884e-02,1.424358934109992182e-02,8.361339632494498367e-03,4.832214982463029808e-03,2.757416157027505095e-03,1.557110800660509902e-03,8.713573321414616992e-04,4.833982503685561372e-04,2.656950822533807929e-04,1.444632195132319213e-04,7.750973476891164123e-05,4.089395687744196346e-05,2.110855943975407250e-05,1.057379401707328454e-05,5.065395054034186124e-06,2.606943009178049716e-09,0.000000000000000000e+00
2.544184937513191150e-21,2.563764124280098272e-21,3.887043710254432080e-21,4.100899762042561918e-21,5.112071505193994803e-12,6.394678161556594575e-12,7.714636866749077505e-12,1.428383165776572979e-11,1.950742611261668173e-11,2.979967424176516579e-11,4.592358420852462864e-11,7.200380570222111552e-11,1.136069356403232689e-10,1.811634117808357596e-10,2.951403970148244897e-10,4.953690747428535683e-10,8.597774945986502196e-10,1.536157391345952055e-09,2.807660937879355669e-09,5.198822135213606718e-09,9.645318799614236435e-09,1.771999520508123582e-08,3.185090022326822973e-08,5.538640097763701585e-08,9.234021255293931593e-08,1.467090994928726783e-07,2.212832925674622162e-07,3.158271863725632061e-07,4.248329342097911901e-07,5.360343661554449173e-07,6.324614534895216386e-07,6.995992377144242511e-07,7.326907196274108492e-07,7.384135645932488172e-07,7.338238257393576897e-07,7.421542480726878305e-07,7.808208748754734753e-07,8.514472268771479465e-07,9.397045516754621575e-07,1.022331613305093166e-06,1.077471447966261656e-06,1.097318070345140060e-06,1.094526413743001478e-06,1.095533229053460356e-06,1.124866490170342362e-06,1.189766075328008528e-06,1.273527932281432055e-06,1.341354231777471292e-06,1.356569694211789185e-06,1.297957837729674361e-06,1.167292915218633238e-06,9.855236195135257402e-07,7.851492920951468790e-07,5.986879452996261322e-07,4.489655032779230197e-07,3.470633902890830813e-07,2.957148524487536255e-07,2.931897205246803551e-07,3.350457393322196370e-07,4.140532924181996568e-07,5.225010627465598193e-07,6.540385259255049334e-07,8.008179569377376198e-07,9.453378865822640810e-07,1.060628657407764560e-06,1.125469488917978443e-06,1.131584469488919260e-06,1.075791129184755296e-06,9.641229504698335462e-07,8.191008945546411803e-07,6.698995380825117573e-07,5.348152577886258110e-07,4.173803258108859852e-07,3.175571280978420500e-07,2.375776613709896836e-07,1.776484010565995645e-07,1.331921580250372449e-07,9.959959257439733497e-08,7.438956384605211891e-08,5.586172649844918329e-08,4.248290956824301587e-08,3.289799250603072281e-08,2.601851872113257539e-08,2.103484805340024647e-08,1.736404171906952826e-08,1.458454991231037487e-08,1.243235145639137688e-08,1.071506220386127609e-08,8.822497767155107371e-09,7.656666484644913848e-09,6.825247684203146007e-09,6.258021424129678098e-09,5.416177227285996496e-09,5.015244327177918861e-09,4.112343300918022523e-09,3.292892541470223720e-09,2.662866298752968138e-09,2.643765786223098207e-09,1.245716233648079783e-09,0.000000000000000000e+00
