s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
4.569417797029018402e-03,4.983806516975164413e-03,5.608812905848026276e-03,4.698590841144323349e-03,4.840431734919548035e-03,4.871294368058443069e-03,4.866579081863164902e-03,4.706998355686664581e-03,4.855901002883911133e-03,4.757445771247148514e-03,4.571055993437767029e-03,5.678124260157346725e-03,6.089640781283378601e-03,6.742038764059543610e-03,9.366353042423725128e-03,9.588377550244331360e-03,2.017773687839508057e-02,1.684990525245666504e-02,8.359397053718566895e-01,4.906657338142395020e-02,1.772278919816017151e-02,1.215025968849658966e-02,7.858506403863430023e-03,6.643947679549455643e-03,5.844549741595983505e-03,5.297975614666938782e-03,4.499772563576698303e-03,4.268011543899774551e-03,4.676341544836759567e-03,4.207551013678312302e-03,4.276691470295190811e-03,5.195814184844493866e-03,5.075329914689064026e-03,4.157933406531810760e-03,4.436704330146312714e-03,4.250849597156047821e-03,4.815688356757164001e-03,4.726556129753589630e-03,4.845865070819854736e-03,4.674799274653196335e-03,3.982477821409702301e-03,5.143464542925357819e-03,5.092374049127101898e-03,5.081892944872379303e-03,5.234345793724060059e-03,4.409024957567453384e-03,4.543410614132881165e-03,5.065890494734048843e-03,4.208778031170368195e-03,4.367772489786148071e-03,4.285053350031375885e-03,4.091301467269659042e-03,4.629713483154773712e-03,4.469024948775768280e-03,5.153627600520849228e-03,4.939888138324022293e-03,4.609581083059310913e-03,4.541679751127958298e-03,4.767707083374261856e-03,4.139985423535108566e-03,4.538666456937789917e-03,5.502574145793914795e-03,5.016485229134559631e-03,4.209829028695821762e-03,5.248666275292634964e-03,4.220100119709968567e-03,4.457460716366767883e-03,4.710267763584852219e-03,4.996971227228641510e-03,4.519136156886816025e-03,4.570539575070142746e-03,4.670249298214912415e-03,4.666909575462341309e-03,5.541360005736351013e-03,7.575520314276218414e-03,1.099136844277381897e-02,2.000979892909526825e-02,9.438984990119934082e-01,7.917443513870239258e-01,8.708175420761108398e-01,2.500975728034973145e-01,1.994668319821357727e-02,9.302464313805103302e-03,6.106188520789146423e-03,5.802839994430541992e-03,5.164581816643476486e-03,5.230367183685302734e-03,5.176691338419914246e-03,4.818291869014501572e-03,4.888366907835006714e-03,5.306146107614040375e-03,5.146451760083436966e-03,4.485366400331258774e-03,5.112067330628633499e-03,4.904842469841241837e-03,4.152653273195028305e-03,5.146281328052282333e-03,4.956672899425029755e-03,4.105641972273588181e-03,4.239072557538747787e-03
4.218357149511575699e-03,5.249002482742071152e-03,4.854947328567504883e-03,4.985036328434944153e-03,4.969810601323843002e-03,4.842416848987340927e-03,5.336255766451358795e-03,4.479240626096725464e-03,4.933715797960758209e-03,4.452148452401161194e-03,4.532203543931245804e-03,4.699230659753084183e-03,4.716365132480859756e-03,5.229198839515447617e-03,4.495506640523672104e-03,3.734022146090865135e-03,4.761306103318929672e-03,4.298998042941093445e-03,3.961575683206319809e-03,4.616048652678728104e-03,4.612732678651809692e-03,4.121290519833564758e-03,4.479885101318359375e-03,4.399377852678298950e-03,4.035016056150197983e-03,3.684233175590634346e-03,4.639167804270982742e-03,3.920722287148237228e-03,5.646613426506519318e-03,7.701150607317686081e-03,1.336533017456531525e-02,1.334771141409873962e-02,1.101109385490417480e-02,9.945729747414588928e-03,8.066572248935699463e-03,7.085111457854509354e-03,6.338997278362512589e-03,5.636472720652818680e-03,5.168328993022441864e-03,5.288746673613786697e-03,3.992109559476375580e-03,5.345681682229042053e-03,4.075719509273767471e-03,5.056605208665132523e-03,4.366830922663211823e-03,5.103768315166234970e-03,5.466541275382041931e-03,4.463586490601301193e-03,4.126920830458402634e-03,3.592397551983594894e-03,5.264471750706434250e-03,5.534101743251085281e-03,5.634447094053030014e-03,6.224129348993301392e-03,7.569980341941118240e-03,1.076205540448427200e-02,1.636199280619621277e-02,2.669025026261806488e-02,1.081435978412628174e-01,1.795648336410522461e-01,6.351452469825744629e-01,8.792214095592498779e-02,2.212902903556823730e-02,8.906099945306777954e-03,7.921215146780014038e-03,6.298619788140058517e-03,5.802949890494346619e-03,5.252200178802013397e-03,4.945115651935338974e-03,4.915209952741861343e-03,4.834447521716356277e-03,4.606544971466064453e-03,4.480359610170125961e-03,4.138788208365440369e-03,4.884332418441772461e-03,5.306342616677284241e-03,4.821231123059988022e-03,4.216709174215793610e-03,4.746355116367340088e-03,4.507366102188825607e-03,4.784458782523870468e-03,5.261651240289211273e-03,4.245258402079343796e-03,4.633930511772632599e-03,5.085262004286050797e-03,3.924530465155839920e-03,5.167559254914522171e-03,4.612960387021303177e-03,4.949965514242649078e-03,5.024490877985954285e-03,4.768831655383110046e-03,4.848185926675796509e-03,4.567386116832494736e-03,4.519964102655649185e-03,5.234208889305591583e-03,4.454423207789659500e-03,5.079783964902162552e-03,4.859406966716051102e-03,5.041695665568113327e-03,4.681966733187437057e-03
5.232367198914289474e-03,4.455123096704483032e-03,4.779983777552843094e-03,5.004337988793849945e-03,4.984721541404724121e-03,4.992492031306028366e-03,4.475635942071676254e-03,5.139118526130914688e-03,4.862579051405191422e-03,5.197396501898765564e-03,4.341248422861099243e-03,5.620489828288555145e-03,5.929020233452320099e-03,6.493315566331148148e-03,7.907964289188385010e-03,8.345749229192733765e-03,1.863832585513591766e-02,1.472842041403055191e-02,8.351479768753051758e-01,4.997744783759117126e-02,1.942403987050056458e-02,1.213546935468912125e-02,8.869778364896774292e-03,5.994391627609729767e-03,5.191059317439794540e-03,5.622779484838247299e-03,4.443599376827478409e-03,5.141120404005050659e-03,4.453330300748348236e-03,5.128251854330301285e-03,4.740380682051181793e-03,5.368650890886783600e-03,4.541066940873861313e-03,4.904446657747030258e-03,5.038252566009759903e-03,4.976294934749603271e-03,4.514568950980901718e-03,5.063042975962162018e-03,5.065385717898607254e-03,4.975997842848300934e-03,4.649455193430185318e-03,3.522562794387340546e-03,4.661300219595432281e-03,4.567247349768877029e-03,4.494497086852788925e-03,4.527466837316751480e-03,4.723504651337862015e-03,4.547456279397010803e-03,5.451218690723180771e-03,4.886920098215341568e-03,5.405372008681297302e-03,4.663869738578796387e-03,4.512405488640069962e-03,5.066445097327232361e-03,5.632107146084308624e-03,4.379509948194026947e-03,5.545347463339567184e-03,4.263407550752162933e-03,4.529702477157115936e-03,4.432710818946361542e-03,4.859895911067724228e-03,4.586721770465373993e-03,4.514371976256370544e-03,4.319156054407358170e-03,4.967694170773029327e-03,4.612491931766271591e-03,5.261583253741264343e-03,5.130417644977569580e-03,4.075174219906330109e-03,4.151578526943922043e-03,4.588359035551548004e-03,4.457261878997087479e-03,5.301462486386299133e-03,5.411776714026927948e-03,7.342965807765722275e-03,9.751213714480400085e-03,1.841483078896999359e-02,9.463998079299926758e-01,7.607421875000000000e-01,8.754926323890686035e-01,2.813962996006011963e-01,1.919258385896682739e-02,9.016043506562709808e-03,5.671413615345954895e-03,5.218612961471080780e-03,5.580382887274026871e-03,4.810113459825515747e-03,4.755380563437938690e-03,5.078263580799102783e-03,5.092333536595106125e-03,4.885417409241199493e-03,4.464103374630212784e-03,4.808095749467611313e-03,5.210835952311754227e-03,4.663289990276098251e-03,4.029824398458003998e-03,4.789826925843954086e-03,4.604756832122802734e-03,4.548140801489353180e-03,5.298073403537273407e-03
4.802017007023096085e-03,4.628259222954511642e-03,4.383845254778862000e-03,4.538593348115682602e-03,4.539892543107271194e-03,4.453535191714763641e-03,4.546258598566055298e-03,3.710692282766103745e-03,5.130320321768522263e-03,4.981189500540494919e-03,5.164738744497299194e-03,4.787507001310586929e-03,5.229178816080093384e-03,5.348567850887775421e-03,5.575653631240129471e-03,5.816668737679719925e-03,6.334457080811262131e-03,6.746979895979166031e-03,1.614861562848091125e-02,3.083415143191814423e-02,6.820678710937500000e-02,8.526999354362487793e-01,5.457786843180656433e-02,1.893642358481884003e-02,8.870382793247699738e-03,6.242021918296813965e-03,5.304231774061918259e-03,4.530762322247028351e-03,4.554316867142915726e-03,5.420402158051729202e-03,5.242518149316310883e-03,5.451422650367021561e-03,4.447864368557929993e-03,4.651370923966169357e-03,4.642515908926725388e-03,5.488777067512273788e-03,4.443795420229434967e-03,4.784599412232637405e-03,4.975275136530399323e-03,5.034147296100854874e-03,4.401109181344509125e-03,4.640918690711259842e-03,4.787057172507047653e-03,4.854205530136823654e-03,4.736238624900579453e-03,5.096260458230972290e-03,4.600704647600650787e-03,4.894468933343887329e-03,4.138607531785964966e-03,5.459147971123456955e-03,4.889888688921928406e-03,4.885090515017509460e-03,4.881957080215215683e-03,4.244175739586353302e-03,4.849554505199193954e-03,4.662849009037017822e-03,4.620480351150035858e-03,4.606530070304870605e-03,5.046201869845390320e-03,4.077652003616094589e-03,4.800932481884956360e-03,5.038546398282051086e-03,4.751258995383977890e-03,5.409323610365390778e-03,4.658146761357784271e-03,4.936087876558303833e-03,4.533070605248212814e-03,4.588814452290534973e-03,4.317872691899538040e-03,4.196198191493749619e-03,5.266737192869186401e-03,5.355190485715866089e-03,5.320877302438020706e-03,5.037286784499883652e-03,4.754207096993923187e-03,4.814760759472846985e-03,7.206355221569538116e-03,1.131127402186393738e-02,1.406434737145900726e-02,4.319672882556915283e-01,9.752665758132934570e-01,9.796116948127746582e-01,3.797141909599304199e-01,2.418019250035285950e-02,1.285235676914453506e-02,8.175017312169075012e-03,5.227043293416500092e-03,5.772740114480257034e-03,5.264049861580133438e-03,5.345593206584453583e-03,4.395932890474796295e-03,4.920929670333862305e-03,4.814616870135068893e-03,4.356005694717168808e-03,4.340574145317077637e-03,4.678237717598676682e-03,4.967839922755956650e-03,4.436057992279529572e-03,4.503956530243158340e-03,4.057758953422307968e-03
4.983638878911733627e-03,4.201816860586404800e-03,5.294903647154569626e-03,5.221487954258918762e-03,4.688426852226257324e-03,5.123694892972707748e-03,5.014274735003709793e-03,4.896273370832204819e-03,5.620619747787714005e-03,5.088172852993011475e-03,5.862394813448190689e-03,5.106972530484199524e-03,5.833007860928773880e-03,5.747387651354074478e-03,8.711401373147964478e-03,9.009928442537784576e-03,1.821700483560562134e-02,1.671552285552024841e-02,8.415088653564453125e-01,4.753177613019943237e-02,1.622374914586544037e-02,1.070278696715831757e-02,8.084516972303390503e-03,6.154718808829784393e-03,5.114527419209480286e-03,6.033039186149835587e-03,5.135382525622844696e-03,3.920463379472494125e-03,4.208320286124944687e-03,5.235435441136360168e-03,4.876701626926660538e-03,4.363573156297206879e-03,4.879097454249858856e-03,5.145024042576551437e-03,4.669628106057643890e-03,4.737511277198791504e-03,4.458351526409387589e-03,4.068647976964712143e-03,4.912722390145063400e-03,5.270275287330150604e-03,4.580238368362188339e-03,4.368942230939865112e-03,4.473815672099590302e-03,4.703809507191181183e-03,4.560995381325483322e-03,4.516365006566047668e-03,5.595759488642215729e-03,4.426958970725536346e-03,5.079593509435653687e-03,4.427060019224882126e-03,5.191086791455745697e-03,4.963768646121025085e-03,5.167969036847352982e-03,4.672142211347818375e-03,4.730436485260725021e-03,4.641881212592124939e-03,5.268968641757965088e-03,5.152679048478603363e-03,4.392157308757305145e-03,4.553557839244604111e-03,4.833750426769256592e-03,4.708470776677131653e-03,4.922017920762300491e-03,5.276133306324481964e-03,4.669359885156154633e-03,5.380197428166866302e-03,5.246886517852544785e-03,4.555335268378257751e-03,5.231434013694524765e-03,4.223165102303028107e-03,4.255083855241537094e-03,5.251928698271512985e-03,4.367421846836805344e-03,5.251816473901271820e-03,6.770305335521697998e-03,1.029444951564073563e-02,1.731332950294017792e-02,9.443790316581726074e-01,7.892825007438659668e-01,8.642969131469726562e-01,2.619970142841339111e-01,2.161233872175216675e-02,9.012014605104923248e-03,6.730106659233570099e-03,5.623320583254098892e-03,4.954298026859760284e-03,5.178744904696941376e-03,4.734254442155361176e-03,4.960404243320226669e-03,5.131624639034271240e-03,4.234013147652149200e-03,5.096270237118005753e-03,4.960747901350259781e-03,4.345855209976434708e-03,4.894644953310489655e-03,4.578829742968082428e-03,4.754913505166769028e-03,4.924917127937078476e-03,4.311812575906515121e-03,5.165527574717998505e-03
5.144319031387567520e-03,4.502883180975914001e-03,4.514740314334630966e-03,5.345767829567193985e-03,4.929826594889163971e-03,4.608073737472295761e-03,5.317614879459142685e-03,4.456000868231058121e-03,4.710327833890914917e-03,5.119071342051029205e-03,5.038995761424303055e-03,5.272788461297750473e-03,4.665747284889221191e-03,3.898900002241134644e-03,4.527522716671228409e-03,5.140483845025300980e-03,5.219261161983013153e-03,5.004814825952053070e-03,4.147896077483892441e-03,5.037327297031879425e-03,4.703354090452194214e-03,4.425799008458852768e-03,4.454636480659246445e-03,4.985807463526725769e-03,4.559915047138929367e-03,5.169018171727657318e-03,4.664241801947355270e-03,4.929705057293176651e-03,4.723430611193180084e-03,4.170262254774570465e-03,4.320300649851560593e-03,4.703184589743614197e-03,4.853327758610248566e-03,4.911011550575494766e-03,4.835925064980983734e-03,4.588746931403875351e-03,5.294679664075374603e-03,4.850408528000116348e-03,5.319315008819103241e-03,4.996679723262786865e-03,5.098526366055011749e-03,5.906133912503719330e-03,7.162799127399921417e-03,9.122300893068313599e-03,1.318476069718599319e-02,2.411386929452419281e-02,5.712059512734413147e-02,6.968069076538085938e-01,5.766011029481887817e-02,4.601326957345008850e-02,1.277331076562404633e-02,8.572649210691452026e-03,6.704930216073989868e-03,6.239221896976232529e-03,5.406420212239027023e-03,5.477900151163339615e-03,4.800018854439258575e-03,4.570135846734046936e-03,3.929542377591133118e-03,4.012640565633773804e-03,4.503582138568162918e-03,5.090864840894937515e-03,5.154378246515989304e-03,4.721780773252248764e-03,4.594330210238695145e-03,4.614874254912137985e-03,4.791427403688430786e-03,4.429574124515056610e-03,4.248990677297115326e-03,5.169189535081386566e-03,4.710898268967866898e-03,5.185320507735013962e-03,4.573054611682891846e-03,3.909327089786529541e-03,3.726184600964188576e-03,3.598913084715604782e-03,3.095921361818909645e-03,3.505020169541239738e-03,3.062268020585179329e-03,4.032609984278678894e-03,3.637894522398710251e-03,4.045506007969379425e-03,3.769322298467159271e-03,3.740964224562048912e-03,4.616830963641405106e-03,4.189860541373491287e-03,4.956797230988740921e-03,4.373995587229728699e-03,4.825618583709001541e-03,5.063312128186225891e-03,4.109443631023168564e-03,4.753981251269578934e-03,4.661623388528823853e-03,4.671512637287378311e-03,4.782862961292266846e-03,4.137862939387559891e-03,4.714973270893096924e-03,4.416814073920249939e-03,5.056418012827634811e-03,5.287886131554841995e-03
4.910109564661979675e-03,4.615137353539466858e-03,4.596849903464317322e-03,4.493673797696828842e-03,5.048462189733982086e-03,4.954718984663486481e-03,4.686539992690086365e-03,4.964515101164579391e-03,4.886321723461151123e-03,4.957070574164390564e-03,4.169196821749210358e-03,4.345147404819726944e-03,4.685674794018268585e-03,4.780164919793605804e-03,5.346538498997688293e-03,4.531663842499256134e-03,4.674674943089485168e-03,4.168232902884483337e-03,5.354052409529685974e-03,5.107999779284000397e-03,4.572985228151082993e-03,4.692025948315858841e-03,3.701966023072600365e-03,4.091122653335332870e-03,4.604350309818983078e-03,4.326797090470790863e-03,4.951609764248132706e-03,4.247969947755336761e-03,4.484091419726610184e-03,4.578842781484127045e-03,4.383393563330173492e-03,5.160910543054342270e-03,5.109638441354036331e-03,5.229127127677202225e-03,5.565505009144544601e-03,3.922031726688146591e-03,4.823670722544193268e-03,5.726786796003580093e-03,5.098741967231035233e-03,4.933533258736133575e-03,4.691818729043006897e-03,5.010343622416257858e-03,4.076593089848756790e-03,5.018011201173067093e-03,5.112019367516040802e-03,6.151181645691394806e-03,7.029423955827951431e-03,9.735695086419582367e-03,1.314127258956432343e-02,4.463511705398559570e-02,1.195190250873565674e-01,6.070920228958129883e-01,8.787414431571960449e-02,2.544095367193222046e-02,1.322073675692081451e-02,8.586330339312553406e-03,7.424464449286460876e-03,5.700810346752405167e-03,5.291734822094440460e-03,4.972178954631090164e-03,5.067131016403436661e-03,4.538033157587051392e-03,5.158890970051288605e-03,4.269055090844631195e-03,5.016125738620758057e-03,4.752262495458126068e-03,5.476058460772037506e-03,4.604096990078687668e-03,3.807276720181107521e-03,4.584660287946462631e-03,4.556349478662014008e-03,4.339758306741714478e-03,5.119294859468936920e-03,4.776795394718647003e-03,4.649559035897254944e-03,4.052187781780958176e-03,4.284739959985017776e-03,4.404706414788961411e-03,3.900252282619476318e-03,3.904099809005856514e-03,3.150700824335217476e-03,3.618838964030146599e-03,3.869227366521954536e-03,3.448890754953026772e-03,3.151750890538096428e-03,3.559155622497200966e-03,4.405737854540348053e-03,4.201296251267194748e-03,4.786907229572534561e-03,4.079306032508611679e-03,4.218877758830785751e-03,4.316831473261117935e-03,4.225241020321846008e-03,4.930928349494934082e-03,4.971978254616260529e-03,4.946112632751464844e-03,4.205232020467519760e-03,4.581260029226541519e-03,5.124453455209732056e-03,5.232625175267457962e-03
4.474321380257606506e-03,5.212361458688974380e-03,4.233880434185266495e-03,4.379587247967720032e-03,5.391351878643035889e-03,4.186305217444896698e-03,4.582145716995000839e-03,5.056408233940601349e-03,4.307446535676717758e-03,4.986656829714775085e-03,4.373717587441205978e-03,4.676561336964368820e-03,5.075553897768259048e-03,4.346528090536594391e-03,5.076779518276453018e-03,5.557664670050144196e-03,8.958120830357074738e-03,1.062452141195535660e-02,6.540713459253311157e-02,1.530255377292633057e-01,1.379421502351760864e-01,3.221498131752014160e-01,2.345553599298000336e-02,1.107015088200569153e-02,6.993697956204414368e-03,5.465294700115919113e-03,4.613411612808704376e-03,4.245216026902198792e-03,4.884703550487756729e-03,4.808865021914243698e-03,4.700457677245140076e-03,3.958790097385644913e-03,4.368263762444257736e-03,5.290982313454151154e-03,4.434904083609580994e-03,4.663524217903614044e-03,4.903357941657304764e-03,4.279825836420059204e-03,4.397692624479532242e-03,5.051529034972190857e-03,5.369386170059442520e-03,3.807041328400373459e-03,4.678082186728715897e-03,4.260691814124584198e-03,4.754450637847185135e-03,4.917925689369440079e-03,5.619514267891645432e-03,4.826035816222429276e-03,4.691584967076778412e-03,5.083889700472354889e-03,4.040095489472150803e-03,5.164760630577802658e-03,5.397514905780553818e-03,4.344483371824026108e-03,4.115419462323188782e-03,4.537712316960096359e-03,4.593237768858671188e-03,4.306973889470100403e-03,4.619936924427747726e-03,4.578792955726385117e-03,4.060573410242795944e-03,5.235006101429462433e-03,4.815377760678529739e-03,5.239328369498252869e-03,4.381573293358087540e-03,4.445170983672142029e-03,4.306984134018421173e-03,4.684320650994777679e-03,4.674056544899940491e-03,5.256796255707740784e-03,4.959957208484411240e-03,4.178040195256471634e-03,5.424308590590953827e-03,5.534768570214509964e-03,6.165937520563602448e-03,6.795217748731374741e-03,8.621300570666790009e-03,2.234316803514957428e-02,7.923227548599243164e-02,9.602006673812866211e-01,9.775329232215881348e-01,9.701463580131530762e-01,3.560240939259529114e-02,1.267528720200061798e-02,8.505763486027717590e-03,7.022849749773740768e-03,5.339303985238075256e-03,4.933961667120456696e-03,4.246848635375499725e-03,5.016451701521873474e-03,5.184363573789596558e-03,4.596138373017311096e-03,4.598715342581272125e-03,4.424129612743854523e-03,4.972424358129501343e-03,4.773423541337251663e-03,4.284192807972431183e-03,4.435883369296789169e-03,4.852620884776115417e-03,4.996096249669790268e-03
5.062036681920289993e-03,4.654780961573123932e-03,4.731794819235801697e-03,4.732911009341478348e-03,4.626063164323568344e-03,4.824989009648561478e-03,5.119797773659229279e-03,4.995015449821949005e-03,4.965952131897211075e-03,5.020272918045520782e-03,5.131702870130538940e-03,4.585977178066968918e-03,4.747436381876468658e-03,4.929812625050544739e-03,4.864268004894256592e-03,4.516322165727615356e-03,5.324178840965032578e-03,4.420228768140077591e-03,4.460513126105070114e-03,4.440054763108491898e-03,3.607320366427302361e-03,4.137493204325437546e-03,3.758397651836276054e-03,3.599400632083415985e-03,3.926314879208803177e-03,4.023437388241291046e-03,4.799155518412590027e-03,4.305013455450534821e-03,6.064028013497591019e-03,6.220511626452207565e-03,5.947778467088937759e-03,6.255479995161294937e-03,4.944320302456617355e-03,5.170367192476987839e-03,5.669989157468080521e-03,5.393252242356538773e-03,4.589661490172147751e-03,4.901511128991842270e-03,4.924767650663852692e-03,5.059729330241680145e-03,4.897265695035457611e-03,4.729455802589654922e-03,3.798376303166151047e-03,4.958931356668472290e-03,5.325257312506437302e-03,4.611863289028406143e-03,4.726185929030179977e-03,5.275735631585121155e-03,5.020194686949253082e-03,5.772545933723449707e-03,5.981212016195058823e-03,8.957117795944213867e-03,1.154570747166872025e-02,2.160438336431980133e-02,6.507250666618347168e-02,6.040636897087097168e-01,2.022506296634674072e-01,3.956684097647666931e-02,1.839853450655937195e-02,1.116556767374277115e-02,8.372828364372253418e-03,6.588214542716741562e-03,6.199617404490709305e-03,5.622053984552621841e-03,5.180951673537492752e-03,4.822697490453720093e-03,4.822681657969951630e-03,4.370489623397588730e-03,5.136693362146615982e-03,4.051499068737030029e-03,4.973242990672588348e-03,4.542546346783638000e-03,4.150494467467069626e-03,5.414503160864114761e-03,4.578955937176942825e-03,4.460055846720933914e-03,4.251339938491582870e-03,4.717749077826738358e-03,4.533821716904640198e-03,4.368456546217203140e-03,4.266206175088882446e-03,4.496003966778516769e-03,5.034761503338813782e-03,4.739209078252315521e-03,4.446673672646284103e-03,4.263448063284158707e-03,4.773708991706371307e-03,4.596489481627941132e-03,5.144262686371803284e-03,4.979903809726238251e-03,3.992691636085510254e-03,4.701774101704359055e-03,4.480286967009305954e-03,5.311668384820222855e-03,4.547892138361930847e-03,4.311532247811555862e-03,4.431616514921188354e-03,4.068682435899972916e-03,5.038660950958728790e-03,3.971967846155166626e-03
4.307898227125406265e-03,4.272774327546358109e-03,4.631722811609506607e-03,4.328472074121236801e-03,4.790924955159425735e-03,5.325684789568185806e-03,4.748736508190631866e-03,4.342392086982727051e-03,4.670659080147743225e-03,5.085913464426994324e-03,4.486237652599811554e-03,4.451719578355550766e-03,5.179034546017646790e-03,4.172916524112224579e-03,5.335544236004352570e-03,4.971671849489212036e-03,4.783648066222667694e-03,4.692967981100082397e-03,5.155586171895265579e-03,4.961619153618812561e-03,4.570407327264547348e-03,4.500045441091060638e-03,5.029284860938787460e-03,5.688155535608530045e-03,4.471072927117347717e-03,4.515233449637889862e-03,4.789652302861213684e-03,4.966659471392631531e-03,4.350660834461450577e-03,4.620936699211597443e-03,4.546068608760833740e-03,4.475712310522794724e-03,4.615137353539466858e-03,5.049077793955802917e-03,4.814529791474342346e-03,4.745576065033674240e-03,4.595272243022918701e-03,5.151154007762670517e-03,5.248828325420618057e-03,5.858969409018754959e-03,5.195693578571081161e-03,7.543209474533796310e-03,8.723622187972068787e-03,1.276890933513641357e-02,2.388924732804298401e-02,1.083281040191650391e-01,3.216661214828491211e-01,4.080885648727416992e-01,3.425063192844390869e-02,2.059797570109367371e-02,1.014587283134460449e-02,7.971627637743949890e-03,6.307621486485004425e-03,5.681291222572326660e-03,4.669663961976766586e-03,4.987264517694711685e-03,4.101637285202741623e-03,5.073883105069398880e-03,4.937415942549705505e-03,4.447997547686100006e-03,5.229223985224962234e-03,4.275755491107702255e-03,4.777899477630853653e-03,4.609738476574420929e-03,4.719813819974660873e-03,4.840271081775426865e-03,4.508945159614086151e-03,4.626550711691379547e-03,4.815702326595783234e-03,5.135170184075832367e-03,5.025363527238368988e-03,5.253099370747804642e-03,4.300737287849187851e-03,4.064746666699647903e-03,4.102938342839479446e-03,3.297384828329086304e-03,3.305697813630104065e-03,3.587413346394896507e-03,3.672896651551127434e-03,3.962066955864429474e-03,4.171694163233041763e-03,4.034883808344602585e-03,3.586845938116312027e-03,3.626042976975440979e-03,4.521981347352266312e-03,4.702309612184762955e-03,5.038874223828315735e-03,4.345184657722711563e-03,4.738738760352134705e-03,4.650283139199018478e-03,5.158511921763420105e-03,5.322931800037622452e-03,4.651728551834821701e-03,4.681331571191549301e-03,4.850928671658039093e-03,4.803338553756475449e-03,4.197262227535247803e-03,4.156551789492368698e-03,4.725710488855838776e-03,5.147429183125495911e-03
