s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
-3.536748542511523267e-03,4.879512328551918222e-03,-2.184828085466844830e-02,-2.704751059901539054e-03,2.516855383444147401e-02,-6.161391323962878662e-04,1.146780490521533136e-02,1.125268924951577237e-02,7.541227133026560427e-03,8.423239653665710869e-03,6.932613477769022925e-03,1.566624966535261690e-02,-7.046144589023609246e-03,1.970790164090776165e-03,-4.463735895604437759e-04,-1.455319853647387730e-02,-1.372804017376350397e-02,-4.434338830573877205e-02,-5.197322816678812823e-02,-6.512424184432166752e-02,-2.972911370646271617e-02,-3.802628589676395471e-02,-4.986030736317227652e-02,3.118316438754986999e-02,4.882428177383288034e-03,2.543837463727914236e-02,-3.625747021851886964e-03,1.139757378131614485e-02,-1.004581933164376030e-02,-4.099492252258547971e-03,-2.522498048264627812e-02,-2.633676821671160698e-02,-2.974281343883388926e-02,-2.103320339542906481e-02,-1.916132818596338189e-02,-2.288815082888595587e-02,-1.202375789887597142e-02,-9.245648248774973252e-03,-4.381074165134005854e-02,-4.178710422182733975e-02,-4.546784638763880226e-02,-4.444871106256031296e-02,-6.686727893451864524e-02,-5.127609486404417077e-02,-5.719420933913972604e-02,-7.192355523302851328e-02,-6.880169481746062354e-02,-6.753425469648478841e-02,-8.742062379101227243e-02,-8.516405528914405831e-02,-8.516606061325185384e-02,-8.857447125587480929e-02,-6.990699989643996137e-02,-7.080087087512820787e-02,-6.398280173822888661e-02,-6.003616921830057240e-02,-6.885672015769780940e-02,-6.104318613609208133e-02,-4.475188355058736661e-02,-4.459797255841166375e-02,-3.404361724520617305e-02,-2.668070728484905549e-02,-3.252408053259962101e-02,-9.976778748424536269e-03,-1.148900080588743759e-02,-1.563283201623169236e-02,-9.101233051920544492e-03,-1.317122232155077191e-02,-2.023876858652387447e-03,1.860594302595380833e-02,5.982450578786175505e-03,1.258934359156273740e-02,5.509694228067308838e-03,5.699780687221765382e-03,-1.818053547053215258e-02,-4.295069831942858324e-02,-1.226485814233770413e-02,-7.699535856190159455e-02,-7.882513881585458126e-02,-6.262734538962898279e-02,-5.171503178544576557e-02,-4.679564722457098258e-02,-2.929433247535950455e-02,-2.239754588694945273e-02,-3.969488414464278185e-03,6.206468088671170807e-03,-1.768215883573303997e-03,1.494704399257463893e-02,8.771123633332746083e-03,-4.799021703313863414e-03,7.554790237111347513e-03,1.090676483125853184e-02,-7.967868257618502398e-03,-1.146739993050413867e-02,7.341589359997922675e-04,1.809662464744458922e-03,1.904890016660323177e-02,1.052153556880515558e-03,-1.445226318976285639e-02,0.000000000000000000e+00
-6.514260869895826395e-03,-1.332037414641123357e-04,-8.974364194817254642e-03,-9.488102720635249385e-03,5.184581390936220634e-03,-3.050652693251024346e-03,-2.730311375595402459e-03,1.284350107597857088e-02,-1.526779165293734933e-02,2.159575892392442964e-02,9.695981930468371840e-03,8.954992182711628973e-03,3.209484994031591015e-02,3.211096617528738303e-03,5.546366623548706909e-02,3.589135583285381348e-02,4.936371738064287973e-02,1.773099956210595282e-02,3.481502521140700940e-02,2.025811980404517917e-02,1.318724077526622776e-03,2.846837494401535662e-02,3.979621327771021982e-02,1.795246297261546276e-02,-6.155391285277378617e-03,-1.077459666658914413e-02,-1.475989052672793851e-02,1.469918253494251550e-02,1.295654547245523973e-02,3.944945561459457101e-02,3.793613813663363615e-02,6.170168880702052439e-02,5.458096218968676999e-02,4.106580761458058365e-02,5.273991174023438810e-02,5.604087625972123399e-02,4.917254258035142628e-02,5.437884444508003096e-02,7.730949636305640971e-02,-3.414288737826764314e-02,-2.316960209361603254e-02,-3.312499480569195548e-02,-2.139874409421705509e-02,-2.656478769364673670e-02,-2.139246003245194594e-02,-2.993613394068332656e-02,-1.638993162996337308e-02,-2.984738901562080521e-02,-3.663740961987273920e-02,-3.215060417455070652e-02,-2.459447906175474610e-02,-1.999227971166784093e-02,-1.374348888948896501e-02,1.324787420004710503e-01,1.432447874566362689e-01,1.173030623461503719e-01,1.048195971620421996e-01,8.086469839505751322e-02,6.906058362478695312e-02,7.484819795841350654e-02,7.269276847542703590e-02,7.842660125464939735e-02,6.692777679957728765e-02,5.566772445316207907e-02,4.403460308810527163e-02,6.129709909277968743e-02,6.620525869379849382e-02,4.192686731498754260e-02,-1.012498469863055105e-02,-1.871514488199776602e-02,-1.403508414017158416e-02,-1.830642344882125192e-03,-1.873863081766079014e-04,1.797818972071687019e-02,2.948994399964755680e-02,6.734306205700689441e-02,5.610147905252380052e-02,6.218381501527991267e-02,6.854503191640963500e-02,6.400668810625566307e-02,6.539349352753950906e-02,7.242917505537245504e-02,4.040734534212795520e-02,3.770408811439721758e-02,3.614365742222459821e-02,3.510750379308479746e-02,1.310871996444244042e-02,2.858847042028886398e-02,2.165623829951460536e-02,1.338505440344309530e-02,-1.040531130644940100e-02,1.000945656193145440e-03,-5.300348755777328606e-03,1.803374934529076989e-02,-7.877036498266863987e-03,2.980447563640411905e-03,-2.097462362208174155e-02,-1.310449820709457848e-02,2.615033120047242227e-02,0.000000000000000000e+00
-2.854304570624122063e-04,-4.301916549764965569e-03,1.341853381343759361e-03,7.606067818930056790e-03,2.091937511383146209e-02,1.048693666746880124e-02,-1.691550948788411030e-02,-2.940227856008630850e-03,3.402518438695417442e-03,1.251775631678919525e-02,-1.094162536607438691e-04,9.521132093210201569e-03,1.853519002734649399e-03,3.043176283591724190e-03,-2.528333634370064521e-03,-6.686524864680193879e-03,-2.349296756202712624e-02,-8.729946562806074895e-02,-6.353036936220442243e-02,-5.347307253652087977e-02,-3.576276418183209349e-02,-7.708103208815915083e-03,-4.004802858644616187e-02,3.410288853194249487e-02,2.435961062270304914e-02,1.021069701057079372e-02,2.228249817423880522e-02,-1.493190878966653423e-02,-2.155985215773003651e-03,-2.897145818900497688e-02,-2.031179164471021495e-02,-6.083602612880293845e-03,-1.685127293366780674e-02,-6.925766170535939403e-03,-2.886442413390605602e-02,-3.856399350596843162e-02,-3.642986167411438325e-02,-3.904631096378220756e-02,-2.231842001136078585e-02,-4.389672347064969837e-02,-4.015430117855162129e-02,-6.272632814852625860e-02,-6.253881423021455388e-02,-6.569986447483060210e-02,-6.759182845942711404e-02,-8.540467165908351144e-02,-6.667623096525353288e-02,-8.732189045557682550e-02,-7.136686331802628847e-02,-8.682901763302706966e-02,-7.453184274240567952e-02,-7.751871556520437134e-02,-6.856763904016675848e-02,-7.879655325524222154e-02,-6.533408252388465953e-02,-8.009846649694064846e-02,-4.214903068875155284e-02,-4.014719406638144611e-02,-3.812872641182477040e-02,-4.367805783290572980e-02,-9.830121241592540068e-03,-2.525742599471838407e-02,-2.651440898822146619e-02,-2.324212489376796184e-02,-1.185354556659482667e-02,-1.775083246428119446e-02,-3.111422695208241815e-02,-2.772614807689009406e-02,7.090802581315013703e-03,-6.977734621881027770e-03,1.257302962346712374e-04,6.041266079768019444e-03,-8.609585016035590285e-04,9.523267818664894746e-03,-1.711720327861689442e-02,-3.382124312764064195e-02,-2.225841282009790451e-02,-8.138622471654269330e-02,-4.449569563084217194e-02,-7.351113825029055582e-02,-5.045797432897744517e-02,-5.220756358962622135e-02,-2.641080774909691439e-02,-2.414085584643478263e-02,5.554831333706671329e-03,-2.040042718669670546e-02,2.062799291477085406e-02,3.414060443380933976e-03,-1.026699228151710733e-02,9.096840400508709665e-03,-8.850130884860288663e-03,1.300597007146673395e-02,4.155868143328658032e-03,8.636868662818342549e-03,1.411465847740516442e-02,-1.012182864323137380e-02,-1.123659212130488465e-02,-1.817285720576881924e-02,-4.333524431460945479e-04,0.000000000000000000e+00
1.143571369661071889e-02,5.216383170216706833e-03,7.514843000924617371e-03,1.454158029712485957e-02,3.702072619651683633e-04,2.019036505623946398e-04,7.111994429266003774e-03,-2.178106414864063381e-02,5.304382128863472691e-03,4.114769063418862068e-03,4.890112270586510941e-03,1.514405915730068948e-02,2.522739538653550554e-03,-1.661722376760259951e-03,-1.276858379289136890e-02,-1.645048724155479154e-03,-4.016760681422568147e-02,-3.062818978211500481e-02,-3.921988282861967046e-02,-2.870988245012243145e-02,-2.911778329343809799e-02,-6.939183145390932783e-02,-4.974551602206919720e-02,-2.098951328682289660e-02,-2.521666812727214879e-02,-1.135382009781487483e-02,-1.705156996698983796e-02,-1.286709434750253839e-03,1.805243687889894824e-02,-8.099310272163144642e-03,7.674004810197271147e-03,4.212274403718845039e-03,-1.835247875374044005e-02,-2.673510079019048372e-02,-1.257240339100100870e-02,-1.641960680539934986e-03,-9.035333097982840150e-03,-3.179963787846899065e-02,-4.737612320673180444e-02,-4.325095917101827447e-02,-4.156665198692646029e-02,-4.685873426201287578e-02,-5.078842537300414656e-02,-6.055099621549737965e-02,-8.025475551992611312e-02,-6.737296495111677608e-02,-7.083923928068991405e-02,-7.845058380158163869e-02,-6.136743657759535786e-02,-8.042803029661113601e-02,-8.287196927269264990e-02,-7.747441091818701997e-02,-6.463660708238326558e-02,-6.887075309804610579e-02,-6.368227948679365535e-02,-4.794714038118180061e-02,-7.217801431616419072e-02,-5.950901835468555556e-02,-3.691578601688503408e-02,-5.620640005957888707e-02,-4.289579754840718712e-02,-2.240620650607590483e-02,-2.254707693450214850e-02,-3.616796193309528701e-02,-4.244956275783913317e-03,-1.642378242685628084e-02,-2.019521799314485250e-02,-3.748037891407796779e-02,-2.799147114799589026e-02,-1.119031797705273383e-02,2.735276843783675336e-03,2.120236926410242959e-02,2.917349661857518775e-02,2.510525299905499996e-02,3.652971846422785329e-02,3.433918114027183222e-02,-1.706533500412922913e-02,-4.143238180757444905e-02,-4.177848887482407680e-02,-4.405451196270429581e-02,-7.015264505755493263e-02,-5.932818490900935299e-02,-6.500839179109810240e-02,-8.018315179333600218e-02,-7.855281670407079919e-02,-5.887936549508787643e-02,-4.986362567380223793e-02,-3.594632181141881044e-02,-2.869693662643002866e-02,-2.550512108477714576e-02,-1.858522777126467990e-02,-5.058267762568791071e-03,1.387271806686156579e-02,6.832292419103131766e-03,6.893529750061879596e-03,4.183637602230040609e-03,3.195811115837387389e-02,2.923150959999378830e-03,2.266507207544163349e-02,0.000000000000000000e+00
1.198646640471550708e-02,7.266007884227452217e-03,1.793735653758353477e-02,6.262709907166925764e-03,2.482893726950640648e-03,5.552316785746663763e-03,6.850269669133895838e-03,-9.279240487197542089e-03,1.491712495785235161e-02,1.725846497883976732e-02,1.663981545250920249e-02,1.192800981103213568e-05,2.449384046243679221e-03,-1.237108205002832636e-03,-9.347132735262620937e-03,-2.211464118112785315e-02,-1.933317268595599256e-02,-5.055832770544054638e-02,-5.844243026457369983e-02,-5.247797443973504367e-02,-3.269274122472867056e-02,-5.827971877549887464e-02,-2.731193402005431883e-02,3.129135681828090765e-02,3.341443365422994832e-02,1.925842072786074569e-02,1.922205310287206440e-02,-1.081157024591791575e-02,3.708961299912669988e-03,-2.525937073664608068e-02,-2.040122682938009385e-02,-9.959206669952825816e-03,-2.716477532385778992e-02,-1.739512415639326431e-02,-2.940332521684839440e-02,-1.839012882921557332e-02,-2.844130188076776991e-02,-4.615381807266485947e-02,-2.455480021118233366e-02,-3.976366635916731701e-02,-3.722435825284665933e-02,-5.617659504590564318e-02,-5.357692826020366006e-02,-6.793686786548505663e-02,-6.854874292152830784e-02,-6.708502038664948541e-02,-8.123107919917461894e-02,-7.238447285061413994e-02,-7.103958319977914104e-02,-8.851709404281395133e-02,-7.292435261826023252e-02,-8.948062075752784283e-02,-8.510806993290026545e-02,-7.343954389530998883e-02,-5.859652053685624612e-02,-5.569889045076819450e-02,-6.502594033794023565e-02,-6.082541900965709319e-02,-3.786558374593525927e-02,-3.523911575132743917e-02,-3.611042249825297673e-02,-3.186158701532004062e-02,-2.891802262304418031e-02,-8.041685932931494016e-03,-3.661003546990669599e-02,-8.521747694866585801e-03,-1.903623119213981169e-02,-1.492526859051615008e-02,-1.307423580795574400e-02,-1.254150011312827814e-02,9.600021577693159183e-03,-1.770359619299458065e-02,1.802610629735072051e-02,-1.082209112400667195e-02,-1.192224686567081374e-02,-5.708506594426176160e-03,-3.129197357519711287e-02,-9.321407594588468348e-02,-5.773637176401277132e-02,-5.057735142509649923e-02,-5.890671764418293349e-02,-5.529102818612028486e-02,-3.046354591328321107e-02,-1.951087750998703333e-03,-2.442909768748095182e-03,-2.352285716271234565e-03,1.437161381092646149e-02,4.622606080763655770e-03,5.193597139488059442e-03,1.271735747447208000e-02,1.674321941388113785e-02,-7.011562389760735018e-04,2.929787549976858863e-03,2.717751274216670399e-02,-6.992105993260068139e-03,-4.606764121240714471e-04,4.480729503056723149e-03,4.286143613215421221e-03,1.012994255953690755e-02,0.000000000000000000e+00
-7.664281184080220036e-03,1.255496607477414595e-02,1.429603783579323599e-02,4.320528664224707049e-03,1.032254226186954914e-02,-3.025836600855020750e-03,5.868260853791553225e-03,2.300652049829889165e-03,2.560191769693575333e-04,-1.411666225825135637e-02,4.212965121845665441e-03,1.282560568197994681e-02,1.750684703027135386e-02,3.903772396530362510e-02,5.399585617007487959e-02,2.179799592492233026e-02,5.113168931570209047e-02,4.791583219593047865e-02,8.405038111302715054e-02,6.272193015282974404e-02,4.723131480098509416e-02,5.355818463605691027e-02,5.973302929887825546e-02,5.039869639942290425e-02,4.068942699424892007e-02,3.713204046442548228e-02,1.066802717349005052e-02,2.050347815668621294e-03,-1.311098947037651549e-02,-7.221822156511082877e-03,-2.117930556692372221e-02,-6.253759088992163692e-03,-2.449289201475846403e-02,-1.929517381541181326e-02,-1.452113704961630232e-02,-1.884061829587917181e-02,-1.295345930695181516e-02,-3.383004448965722805e-02,-1.382729885659880059e-02,-1.564111109932952645e-02,9.455190401859961402e-02,1.035093911306332187e-01,1.035135101178246558e-01,1.094740835816197799e-01,9.241533457183123690e-02,1.212769830116054992e-01,1.397010841420969485e-01,1.423264575748363348e-01,1.236252699964232177e-01,1.277099988002328157e-01,1.405392708192665652e-01,1.440662909163477334e-01,1.298948347716070983e-01,1.315678645491827337e-01,1.266927395099355924e-01,1.108395722291759533e-01,-2.495097250135402608e-02,-3.161716147467612259e-02,-1.473689631966213463e-02,-2.064055700735198395e-02,-1.101488858830442126e-02,-2.598875622424941939e-02,-1.785236392160552757e-02,-4.559796652711764486e-03,-1.752171265748016585e-02,-2.247306311641782475e-02,-2.957908944706573798e-02,-6.305064292069559166e-05,-1.499247474127539219e-02,-8.661753853241766637e-03,-8.729081436513921877e-03,-1.609146653149344172e-02,-9.085856900005902931e-03,-1.305845552665783199e-02,-5.899830235786820976e-02,-5.513103707791357222e-02,-6.759436247863982727e-02,-7.956077001348836608e-02,-5.884497951520132469e-02,-4.059394966913530689e-02,-4.747392436439234337e-02,-4.948123741111191271e-02,-3.878970874682895198e-02,-1.611605009000485755e-02,-1.371437805739270793e-02,9.526270975536569804e-03,1.457787441902626789e-02,2.439494722177996174e-03,1.007390274024159808e-02,8.835409241642621508e-03,-8.561752671297365516e-03,2.692492945674401089e-03,-5.642476134131872711e-03,-4.262223956338563775e-03,9.047619001029806249e-03,6.705456330715471765e-03,-1.256603907931645552e-02,4.543469776684453364e-03,8.131010276216876775e-03,0.000000000000000000e+00
-1.430893434558565616e-02,-6.944858548131601673e-03,-9.828487298018806148e-03,-5.423302587739594477e-03,7.474630643498734886e-04,-7.010784955066098195e-03,-7.986488030835733193e-03,1.602171115880795735e-02,3.060466117161883028e-03,-4.156538287740719801e-04,8.808407909602047198e-03,2.159300447485398844e-02,3.029873523716129780e-02,2.884452021564515301e-02,4.202810503442581946e-02,3.484402601168538893e-02,3.650410031937603023e-02,5.525927649417503723e-02,8.912583007846974770e-02,7.215761991436259182e-02,5.857940196337784594e-02,5.626477674536749241e-02,5.896555107308632665e-02,4.978592133777225842e-02,3.996082452767557580e-02,2.955176532166896297e-02,1.154164496894402939e-02,4.308407459399485648e-05,-1.321415840563588268e-02,-1.299889174401674952e-02,-3.203249906561164012e-02,-1.460017379046489247e-02,-1.993924328084357642e-02,-2.317281744067705915e-02,-1.854573601520115994e-02,-2.916543451177315300e-03,-8.224637184362663944e-03,-2.203993744950294778e-02,-1.203402786178076923e-02,-2.038530677580535980e-02,-3.049080540494071220e-02,-1.817156405179907314e-02,-6.421764780058756249e-03,-3.859141694344848245e-02,-3.485244260568268193e-02,1.178531882540338471e-01,1.200849417010363684e-01,1.201757500014263569e-01,1.353664925522960472e-01,1.336492019009418164e-01,1.288119917064881881e-01,1.308069751045419504e-01,1.357335036732217060e-01,1.331755005235342182e-01,1.273663098628690371e-01,1.014791471369185100e-01,1.179179055206118210e-01,8.472147610821913200e-02,7.978078986187463195e-02,6.566246408525117095e-02,-1.468363281627495763e-02,-8.283041718954973782e-04,-1.527660962798440061e-02,-1.483393587894634574e-02,-2.152316896744829386e-02,-1.605427284841176930e-02,-2.786285333603411019e-02,-2.306465262951213138e-02,-1.611983905077424631e-02,-1.912157305814322222e-02,-2.871832815676052947e-02,-1.418375804416960925e-03,8.515342413092402696e-03,2.005090578826926664e-02,1.672491025518063265e-02,3.716513921290253569e-02,-1.125998961957440196e-02,-4.617692736039065438e-02,-3.450072048317898155e-02,-4.683218950686027227e-02,-8.288620795924862839e-02,-8.177820702339043402e-02,-8.224185153430481343e-02,-8.746212236639785975e-02,-7.615085387415518325e-02,-6.624430852618627685e-02,-5.616171224886071928e-02,-2.959945321800870263e-02,-3.388491677702090699e-02,-2.593023947577408408e-02,-2.481131773631249648e-02,-1.469212348719607132e-02,-1.608456335053535385e-02,-2.164603399608284323e-02,-1.066472631225578657e-02,-1.231417540684530236e-02,-3.588672023430619206e-03,-2.280701868203920124e-02,-2.126942586205739054e-03,0.000000000000000000e+00
-1.731331935141605443e-03,-1.048419540481120016e-02,5.606958121605616630e-03,-3.579678220284544278e-03,-2.919400444539251059e-04,1.309246587078676145e-02,1.089341210498485403e-02,-7.240617314597931446e-03,-2.343741667988633037e-03,1.507128627238635277e-02,2.097179718714868232e-02,-8.717437351196351270e-03,1.461697550830628502e-02,-4.309347635599714184e-03,-3.215406010204343960e-03,-5.923181643132834767e-03,-2.878174975242973541e-02,-4.302072648160214230e-02,-2.787741061636049220e-02,-3.814088652512518524e-02,-6.101663195788965821e-02,-5.767441638688331623e-02,-2.746439055694251466e-02,-3.129391580763363212e-02,-2.501694084160095352e-02,9.044023809242173048e-04,1.834215672576758761e-03,2.536150399622793053e-02,3.070442271338440048e-03,2.240827162688030505e-03,-3.492100534342011675e-02,-2.356748502670758319e-02,-1.895438523928768063e-02,-1.729657382195105148e-02,-2.647338240579886690e-02,-2.740680257108996098e-02,-2.324134781319594362e-02,-3.689005756323600338e-02,-4.955695996499419331e-02,-4.604460782908081917e-02,-5.277091384346831865e-02,-6.572424122020971426e-02,-6.363279871198730675e-02,-6.389640478601255058e-02,-6.449816644941386290e-02,-7.259567095578652041e-02,-5.365349577486633326e-02,-7.154404809740186333e-02,-6.286387789056624431e-02,-8.702787062740832691e-02,-8.185976579505588324e-02,-8.974450773179681873e-02,-7.499412463509839977e-02,-7.877815286539162354e-02,-7.056693754223247739e-02,-6.059566976868822202e-02,-5.485368311955492182e-02,-3.340851550981790291e-02,-4.090056723990900811e-02,-3.825793503483476687e-02,-2.967510640890921522e-02,-3.519533126422674102e-02,-2.773805568384494005e-02,-1.487292393902592269e-02,-2.245954728960543670e-02,-3.876556670212578937e-02,-1.902190464116740309e-02,-5.846885373647942898e-03,-1.726728277840958864e-02,-2.059074877674499371e-02,3.451344494749012445e-03,-1.510150998961344452e-03,1.153452383340823791e-02,2.122644520749370628e-02,-6.940298263785316633e-03,-3.845266059907091749e-02,-3.655934899541583849e-02,-4.059974310575358708e-02,-4.453196943186668588e-02,-6.228370722861178987e-02,-8.554098708714708010e-02,-8.969957982578460887e-02,-3.854258924585460266e-02,-1.457190607746890708e-02,-2.791372367981785618e-02,5.056839823545852645e-03,1.261274693303663123e-03,-2.344496912290336323e-03,-2.199811559905338974e-03,-1.204201707998174900e-02,2.252173251775760939e-03,1.389605926182434226e-02,-1.683683954095996360e-02,6.374086963475755069e-03,-4.095741269291056433e-03,-1.148068279947801577e-02,1.767120556194769990e-03,-3.235683691265420214e-02,-4.136336104004756636e-04,0.000000000000000000e+00
-1.196143669503232573e-02,4.284451861381141646e-03,-3.328623675737301356e-03,-1.109813399870874032e-02,4.365043880532075947e-03,-1.073420996537845229e-02,4.306695641876146126e-03,1.071664944747262663e-02,6.147210571711623529e-03,4.660782830175444480e-03,4.747616301912605669e-03,8.761788892751094793e-03,-5.901400970886811273e-03,3.598045606095331278e-03,3.821363778955358392e-02,4.475221813020646006e-02,4.709864396554159366e-02,1.732146628640879663e-02,5.410543110300126274e-02,1.069217157095514459e-02,1.815952677087087977e-02,2.206709849983315430e-02,-3.688129343004523802e-02,-4.443951327879453600e-02,-4.478191559593513310e-02,-2.454954778947066388e-02,-2.092188182017644740e-02,-9.712356659982736545e-04,1.389988147055525383e-02,2.220638635762912233e-02,5.754949832089292783e-02,5.995101051985604612e-02,4.806450232235033593e-02,5.142260468939174184e-02,6.803695609115129050e-02,-7.366729075802749306e-03,-1.989714017510727743e-03,-9.501114022874740037e-03,-4.066591236505473668e-03,-6.992337154298046073e-03,-1.779365296724152654e-02,-4.313370803698480388e-02,-1.806533203396091733e-02,-1.684707967500031697e-02,-2.619648166255821725e-02,-3.803252489038595752e-02,-2.707152262735558132e-02,-2.936163104843935584e-02,-1.595237257468266542e-02,-2.868214300284668491e-02,1.128275505018244418e-01,1.305873976191098407e-01,1.246834591526771729e-01,1.435348556955136912e-01,1.428591673561704356e-01,1.185988509047553041e-01,1.049265749717546437e-01,9.341392425666070198e-02,7.550363174853259862e-02,5.691372744144718859e-02,6.276005407180053342e-02,6.777791637412852732e-02,5.934986784529779763e-02,5.867617444745684002e-02,5.550783987171582085e-02,-7.404372627321135353e-03,-1.366362314965230938e-02,-3.152225733260911184e-02,-1.253664842187207119e-02,-1.661671514354278595e-02,-5.235999642302252045e-03,1.165492380528777329e-02,2.209899860706360936e-02,1.560471658227739929e-02,3.615667881929859884e-02,4.378576381022675212e-02,4.371535622377555746e-02,5.450005714807117790e-02,6.744403152687539205e-02,5.796727073307246514e-02,8.867803806499784114e-02,7.550856842283816539e-02,6.341153192037460307e-02,4.582642221164714980e-02,4.670659412747753952e-02,3.622774122521553453e-02,1.353443451320898890e-02,6.170085485698854249e-04,9.773153648664278242e-03,9.334302002074102225e-03,1.634843746988157154e-02,-7.566092249306191099e-03,-1.829024094489130770e-03,6.452114229780078758e-03,-1.997141907408070145e-03,-1.010906267886615018e-03,3.010292342908550429e-03,-2.172383999469455415e-02,-1.746217668287274732e-02,0.000000000000000000e+00
-3.238160032293374482e-03,5.141219030174434823e-03,2.570062293267209256e-03,1.798701445175567362e-02,-3.616803796462833651e-03,-6.124553649418464779e-03,6.211997086234250127e-03,5.376308542744024851e-03,7.058129872537780534e-03,-8.088115615992220661e-03,1.179014319940893153e-02,2.274931510910970303e-02,2.387957013949125809e-02,1.257966322167913820e-02,4.368268519501165154e-02,5.059813134819045322e-02,3.736762846440345315e-02,4.638208615111593519e-02,5.873369077808764799e-02,6.774094967279375989e-02,6.019043327246303282e-02,6.086762545938322749e-02,6.479514958737571384e-02,5.243953271894750273e-02,3.213592101510234778e-02,4.121759060714224460e-02,1.225551129083314855e-03,7.868982043925296620e-04,-8.610102270997762111e-03,-1.748926025139521667e-02,-1.895360512024373348e-02,-1.879936274293112289e-02,-2.974998032304072490e-02,-2.651756290263215105e-02,-1.276498329229087958e-02,-1.584705821388500760e-02,-1.574393160939953698e-02,-1.972107038764824710e-02,-1.973820136472629466e-02,6.204147084811211660e-02,7.892189590138970479e-02,9.955999396392878342e-02,9.167201217516324219e-02,1.068916858395671382e-01,1.264020456066679010e-01,1.198142155325788993e-01,1.410664868471805666e-01,1.311481441158114936e-01,1.272812683770329079e-01,1.364274300335139301e-01,1.268766873988761701e-01,1.193335218613940374e-01,1.173592958726761282e-01,-2.219170852890698514e-02,-3.497709257703342928e-02,-3.331361866938447464e-02,-3.137043081369816216e-02,-2.119292198687435999e-02,-1.537462487738369687e-02,-2.059911068523318303e-02,-5.686196886381071972e-03,-3.580009369834496330e-02,-2.601117626521460419e-02,-4.116641664883056474e-03,-2.062901046747539838e-02,-1.131942420344879061e-02,4.466745774574050996e-03,-6.726604843251233340e-03,-4.012455616706612702e-03,-2.375110875066234473e-02,-1.006671414725316023e-02,8.604989808852232108e-03,-1.312336811706227985e-02,-4.906172476590773407e-02,-4.823352618582914253e-02,-6.311806440825039333e-02,-5.357277874133957452e-02,-7.460933719633150440e-02,-5.297592920634182356e-02,-3.867640006237094141e-02,2.556028788283220068e-02,3.322320398377486689e-02,3.235069794960498957e-02,2.772540418894333530e-02,3.033540036538059231e-02,7.755490547232236388e-03,2.491723297011387908e-02,1.292517346764404836e-02,2.540467949113088195e-02,3.000946340065365273e-02,-2.643645964210480145e-03,-9.105046346158237811e-03,7.791252017267455074e-03,7.695884503926633119e-03,-3.196297383725691266e-03,2.252033426162161622e-03,-1.534420318972320139e-02,1.149194245067749684e-02,-5.509815785929281229e-03,0.000000000000000000e+00
