s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
0.000000000000000000e+00,0.000000000000000000e+00,6.412526860437584020e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.060787348264683599e-02,0.000000000000000000e+00,9.103211494599371817e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.436031650871290311e-02,0.000000000000000000e+00,2.274360511864315093e-02,7.517745069511701239e-03,4.325403154968657932e-03,1.243347126825249983e-02,1.456457576787922870e-02,2.133885326946791117e-03,0.000000000000000000e+00,1.387806677320264220e-03,3.269602675164871158e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.096737806503190304e-03,7.678196200181428704e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.092639250577972718e-03,0.000000000000000000e+00,3.904652901849145485e-03,4.041957781145799622e-03,0.000000000000000000e+00,5.901673033922277822e-03,0.000000000000000000e+00,7.867044688141689585e-04,8.698572188101563740e-03,0.000000000000000000e+00,7.183957656152165083e-03,7.494035317190846091e-03,2.327496979142376632e-03,2.104647454431671921e-02,1.511268687566243163e-02,0.000000000000000000e+00,1.958422863694387478e-02,4.588991723730357492e-03,1.560412044499172660e-02,1.938289402550383289e-02,0.000000000000000000e+00,6.202494829481325009e-03,5.246449867076605211e-03,6.627590489677107066e-03,1.619632610080770641e-02,0.000000000000000000e+00,2.771928959386792991e-03,4.672494634251504741e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.728425279492970035e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.066586076293665059e-02,0.000000000000000000e+00,1.330132113069912303e-02,5.492504212979205935e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.866612380399978205e-03,4.180718354259966782e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.010274521260457081e-03,7.704220749514278238e-03,1.834071472569352018e-02,6.646254845543504014e-03,2.148143699292843350e-02,7.349508041304259748e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.673174549903802710e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.245193451800452600e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.179766363284654673e-04,6.514036244580967416e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.432200068766541878e-04,0.000000000000000000e+00,-2.917220579297344352e-03,0.000000000000000000e+00,0.000000000000000000e+00,-5.646943752682320739e-03,-1.306175023234593113e-02,-1.657069180216277915e-02,0.000000000000000000e+00,-8.592362030451900640e-03,-2.262890085822764907e-02,-3.449607674114714070e-03,-7.280777307112289154e-03,-1.160688960528862002e-02,-5.102083329441536863e-03,-1.547670318410755697e-02,-1.683188755396972103e-02,-1.700389391961920627e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.084177927801938113e-03,0.000000000000000000e+00,-6.786483679428328974e-04,-4.372067810980741209e-03,-1.985420722254047088e-02,-1.464609532182636203e-02,0.000000000000000000e+00,-5.756533287481227501e-03,-3.863741054291616739e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.271729167236351737e-03,0.000000000000000000e+00,0.000000000000000000e+00,-3.630225959810329250e-03,0.000000000000000000e+00,0.000000000000000000e+00,-4.324137358632983152e-03,0.000000000000000000e+00,0.000000000000000000e+00,-4.069478377288958393e-03,-3.612886451208122129e-03,0.000000000000000000e+00,-6.496915085607575524e-03,-9.028446858918952322e-03,-5.876785422337313380e-03,-1.302346385907395682e-02,-1.050484147101353634e-02,-2.663322365399227454e-02,-2.121075895685973697e-02,-1.404391495952455465e-02,-1.267604202306983618e-02,-7.913311180049106830e-03,-2.437927013259926640e-02,-3.082284467507662162e-03,-1.217953313670588900e-02,-1.681109816483672414e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.091233372444601335e-02,-1.757375535279276368e-02,-1.952215252634870168e-02,-6.306227203437930751e-03,-1.189893780978550086e-02,-1.098898988629725196e-02,-2.019527658100213341e-03,-6.857721519540199706e-03,-1.372309659810309890e-02,-3.853260624814204560e-03,-6.161905480586083589e-03,0.000000000000000000e+00,-3.206974746084584327e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.640379609070379274e-03,0.000000000000000000e+00,-1.569452647301683434e-03,-2.996159233197959182e-03,-2.174487855023277127e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.352113666329371355e-03,5.106743619686708591e-03,4.208221125059016798e-03,7.994144517515060222e-04,-1.686128037677269223e-02,1.718897639081638090e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.836215655796870391e-03,0.000000000000000000e+00,1.757411031678446714e-03,0.000000000000000000e+00,4.530144262576692865e-03,9.170056065104899984e-03,5.983728665595112670e-03,1.044800729381293973e-02,7.126729667489259228e-03,2.010111998145889742e-02,8.817296178801309336e-03,1.975872920897073226e-02,0.000000000000000000e+00,3.738319400013895635e-03,0.000000000000000000e+00,2.869775267545487257e-03,9.344555720629720008e-03,0.000000000000000000e+00,2.869923561011643309e-03,0.000000000000000000e+00,1.988790574001091105e-02,7.408698280738729158e-03,0.000000000000000000e+00,7.110194237190784611e-03,0.000000000000000000e+00,9.599606859933083186e-03,3.223757917670898310e-03,3.032019182119132655e-03,6.595362867103994955e-03,3.323268116429202099e-03,5.816827383312605723e-03,1.462228971275059304e-02,0.000000000000000000e+00,1.850082644467706400e-02,5.779591087100171415e-03,1.166466495143560905e-02,1.365217219175205929e-02,1.041526175779007926e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.245175149873496701e-02,1.245024921478289984e-02,1.773862949614072454e-02,1.554769845000567897e-02,1.381559680134352569e-02,2.010842816231628652e-02,1.184910407520192027e-02,-1.271825747350749380e-02,9.033407907015669411e-03,9.895978202650420469e-03,9.318607502369059131e-03,3.148977080963781539e-03,2.688515254232658191e-03,5.899656445568897400e-03,1.467594487394391790e-03,-1.940337810721633194e-02,1.100795866102847673e-02,2.393833421425121954e-03,4.953542598023587262e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.482141604812373115e-03,0.000000000000000000e+00,-2.072113051776759002e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.666249441030870554e-03,2.199432827093992376e-02,2.875735372370247581e-02,8.993706553977600521e-03,4.519828138269382095e-03,2.203498552344776429e-02,3.491712761677067886e-03,0.000000000000000000e+00,1.281882410270333145e-02,0.000000000000000000e+00,2.921824564496189325e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.293163927032636717e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.388457947996752859e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.039837745375561673e-02,0.000000000000000000e+00,1.069781293045478539e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.581363986448012460e-03,8.939642148911779856e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.008602466879839579e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.893234243501798447e-03,6.796467362188510566e-03,9.860654621763897260e-03,0.000000000000000000e+00,1.305995688804484009e-02,1.584293216498120285e-03,1.440970577795147936e-02,3.314110578701944324e-03,0.000000000000000000e+00,5.750205572255919287e-03,6.455051654887754981e-03,0.000000000000000000e+00,1.080583313642834165e-02,0.000000000000000000e+00,1.488119316316847789e-02,1.259826895137601543e-03,2.022480662688112829e-03,0.000000000000000000e+00,1.476138301005659390e-02,1.241566043155178586e-02,9.331082729115215343e-03,0.000000000000000000e+00,1.027616914668123826e-02,1.199692983345958426e-02,3.466533759214131261e-02,6.128682653747878628e-03,0.000000000000000000e+00,1.218574364516774970e-02,0.000000000000000000e+00,1.381339692952969142e-02,1.907785131884698338e-02,1.751863826934667301e-02,2.488590287162416401e-03,1.617514655472687690e-02,0.000000000000000000e+00,7.800697967447775202e-03,1.699310229102330566e-02,0.000000000000000000e+00,5.287174971657648825e-03,4.341325918462611566e-03,0.000000000000000000e+00,4.621040782202967198e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.098098986074703354e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.301050219569016453e-04,5.002801381006836620e-03,0.000000000000000000e+00,1.787088996323717149e-03,0.000000000000000000e+00,-1.915052433062161552e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.893455549179498515e-04,0.000000000000000000e+00,8.413618410483155591e-03,6.792963352168926786e-03,5.304252650016320902e-03,2.156336496461427193e-02,7.985997090365438977e-03,1.309596322902901316e-02,1.743455061410476015e-02,3.942798757044372465e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.315490074003228080e-03,4.165859124114212886e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.849511235710034729e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.343548721282699157e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.284249660265356752e-03,0.000000000000000000e+00,6.004957523207284792e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.479324076218636527e-02,0.000000000000000000e+00,1.531160769909084562e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.759518609053872390e-03,6.376115263878878725e-03,2.324396501824105982e-03,1.715663794942493686e-02,0.000000000000000000e+00,8.905897291059269860e-03,4.104662836047878738e-03,4.158506843243901102e-03,0.000000000000000000e+00,-1.838016065867390664e-02,0.000000000000000000e+00,4.039185225066486973e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.496859849338633919e-03,4.917232125156252229e-03,2.851394840532078118e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.778976540930030770e-03,2.071383354708456609e-03,0.000000000000000000e+00,9.863467298889386226e-03,5.825217056061106000e-03,7.973437145217551411e-03,8.814742628335328622e-04,1.647142533044212293e-02,0.000000000000000000e+00,1.160300368380252044e-02,0.000000000000000000e+00,6.684616813524228013e-03,1.754027690649108406e-02,7.914223477671476770e-03,1.575864291731100819e-02,4.632271547853904908e-03,3.790369520564145639e-03,1.815263323580141100e-02,1.698856795011374765e-02,2.235307307617995926e-03,1.778094457441328768e-03,0.000000000000000000e+00,5.934739516750353952e-03,1.561952291319830544e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.227519550772590562e-02,1.686254603523180962e-03,1.327974950920383923e-02,1.696529801183634112e-02,0.000000000000000000e+00,6.410665655423218590e-03,1.619434547063997726e-03,0.000000000000000000e+00,3.201829341589967903e-03,9.407365377763290265e-03,0.000000000000000000e+00,1.453701794265590402e-02,1.437628535924558026e-02,1.530232629090153007e-02,9.954172775034001233e-03,4.124504634288664318e-03,1.466098867128585830e-02,1.484914977416788850e-02,4.772171219444121260e-03,0.000000000000000000e+00,5.680152074352153718e-03,5.842708446915555187e-03,3.829021861698637952e-03,1.093027678635949407e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.492018327413306977e-03,1.137919027626338453e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-5.246614760118475246e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.324063297643417347e-03,0.000000000000000000e+00,-1.157284513490021774e-02,-4.641116372950303270e-03,0.000000000000000000e+00,0.000000000000000000e+00,-5.661810628581065430e-04,0.000000000000000000e+00,-1.170677072867409504e-02,0.000000000000000000e+00,-1.156441290470107408e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.742003125095908586e-02,-9.662746612778615879e-03,-4.953965460282139938e-03,-7.166842183055271986e-03,-6.148179381512335756e-03,-2.316146194260201158e-02,-2.577915650835564329e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.004987861050203102e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.442648003621141206e-03,-1.547725886496195691e-03,-9.321920815671437544e-04,0.000000000000000000e+00,-5.359647064066150324e-03,-1.294454870300029009e-02,0.000000000000000000e+00,-2.902344709081193519e-02,-2.939006041797030330e-02,-3.997318760130157134e-02,-4.363468704010649984e-02,-3.933908821609347073e-02,-3.033435249241066278e-02,-1.862452246868476907e-02,-2.866426100230040283e-02,-1.337566317385216474e-02,-6.335562653516896292e-03,0.000000000000000000e+00,-1.337490454192035230e-02,0.000000000000000000e+00,-5.239114974569681477e-03,0.000000000000000000e+00,0.000000000000000000e+00,-8.756604139949117696e-03,0.000000000000000000e+00,-5.026435194800858708e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.934844956911714597e-03,-2.842569158441027311e-03,-5.510001279222697529e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.139713131333299823e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.181768072307758100e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.296196761292720268e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.271826654124292411e-04,-4.704382206189405835e-03,-8.676101256651747029e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-7.706556947765268867e-03,1.810907259450127843e-02,-9.658694685664992452e-03,0.000000000000000000e+00,-2.378432633649285588e-03,-8.569789133338600109e-03,0.000000000000000000e+00,-9.444470155334646136e-03,0.000000000000000000e+00,-6.993282663722170944e-03,-1.954468260531928847e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.871259770502589626e-02,-1.174963682549075988e-02,-1.201842503067906964e-02,0.000000000000000000e+00,-7.401547492660504046e-03,-1.768670374259492459e-02,-1.464420610724946961e-02,-1.093296104962046544e-03,-1.790443664031732968e-02,-1.303626905822573290e-02,-6.232615007603182350e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.051453384753631495e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.885288476399578361e-03,-3.058016979440284291e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.194790460178502878e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.285709782061010206e-02,0.000000000000000000e+00,-2.107209461583371690e-02,-4.978054638961046385e-03,-1.344404585029831262e-02,-2.942651482984474237e-02,-2.217063329670336536e-02,-4.143544981936689298e-02,-4.295310914821490189e-02,-3.471490137111224450e-02,-2.658803248921109974e-02,-3.670081878684730570e-02,-1.485103186561778643e-02,-7.778128646458215556e-03,-2.206235497699011658e-02,0.000000000000000000e+00,-5.018715362467082372e-03,-3.337148634911746292e-03,0.000000000000000000e+00,0.000000000000000000e+00,-9.064032453381290488e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.912012212370872710e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.658645884464041431e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.798185105025897068e-02,-8.579742101243639785e-03,0.000000000000000000e+00,-5.475802932444956417e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.559183337511682588e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.357328983006445888e-03,0.000000000000000000e+00,0.000000000000000000e+00,-3.332914448361368187e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.147464476953907742e-03,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.258077880614271477e-03,4.265265528667865416e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.694092243027601918e-03,0.000000000000000000e+00,3.789681518695939104e-03,0.000000000000000000e+00,8.965198986915084989e-03,1.228768910489105512e-02,0.000000000000000000e+00,6.506338779705019698e-03,1.361263820116073026e-02,9.296337257902770324e-03,1.202222026263470231e-02,0.000000000000000000e+00,3.983914021339886313e-03,-1.534260003308943535e-02,5.153185606703586039e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.798048655062484444e-03,0.000000000000000000e+00,7.410903933908459182e-03,4.673380781158257419e-04,2.841331441270054242e-03,-9.732069059865261496e-05,9.278113500014182127e-03,1.324717855519219611e-02,0.000000000000000000e+00,4.437965919104148137e-03,7.823979337319557706e-03,7.007202389582717350e-04,2.716720338045738870e-02,1.481310215754529092e-02,0.000000000000000000e+00,1.547719063591718527e-02,7.560883240080484152e-03,8.418670349145403187e-03,1.322027860075759322e-02,1.562205930727892343e-02,2.012071531841675212e-02,1.260007520979447918e-02,7.015370209841585020e-03,1.059557624298695933e-02,1.210866390388472963e-02,8.008457576393027133e-03,7.539672711079012379e-04,1.258353949299074667e-02,8.421542734825607224e-05,0.000000000000000000e+00,5.211474193837061647e-03,7.099963311458399803e-03,0.000000000000000000e+00,-1.899466750051636427e-02,4.281206725759018061e-03,4.781522025960114122e-03,3.560463092871522794e-03,3.644172132379057578e-03,0.000000000000000000e+00,1.707484147232085636e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.193770070069327366e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.853586881518391238e-03,8.877957497299884121e-03,0.000000000000000000e+00,1.450021153086487186e-02,6.256828541987460857e-03,1.123979566589377276e-02,1.296286646391812784e-02,5.036487448101905490e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.592550043745749513e-03,8.664532502927597968e-03,1.214855880321716319e-02,0.000000000000000000e+00,7.499525523313965020e-03,0.000000000000000000e+00,2.474435285347263702e-02,1.027258827130095309e-02,0.000000000000000000e+00,2.423568030343103974e-03,0.000000000000000000e+00
-9.519274922073439615e-03,-1.022315607735355125e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.114638334049877777e-02,-3.130618209177693512e-02,-5.741394056757165298e-03,0.000000000000000000e+00,0.000000000000000000e+00,-6.817240014502623513e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.641363317110572373e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.927320876543239692e-04,-1.320796109641003691e-03,-3.318135606009298133e-03,-1.363223642550376313e-02,0.000000000000000000e+00,-7.974782673918212605e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.478360931102471798e-02,0.000000000000000000e+00,-9.044283340939762716e-03,0.000000000000000000e+00,-2.675538896393048205e-03,0.000000000000000000e+00,-1.226653727976267927e-02,0.000000000000000000e+00,-9.721097203896800210e-03,-3.225126268032507681e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.776453175642183968e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.930673391252581528e-03,-6.461096416922995633e-03,-4.134360735716602342e-03,-1.719606301347675892e-02,-1.354234686580974012e-02,-9.347804798434888873e-03,-1.654113607068305458e-02,-3.339066941636076313e-02,-1.579953033565351106e-02,-2.481434554847566920e-02,-1.788141930069186980e-02,-2.097085936040676835e-02,-1.300548767422454732e-02,-2.262755159759025081e-02,0.000000000000000000e+00,-6.823409003118785510e-03,-6.386280534636440409e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.812409063861325498e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.921605481969125950e-03,-1.069200108914675207e-02,0.000000000000000000e+00,-7.232112402572543619e-03,-3.923950996072789188e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.180931202583007655e-02,-1.310330415226718115e-02,0.000000000000000000e+00,-2.490529499366123112e-03,-1.974042359914890410e-02,-1.432751906337598191e-02,-5.947419414457227882e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.320933398451272778e-03,0.000000000000000000e+00,-9.254354339121417805e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.550229360257376898e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.276157504025078604e-03,-6.706072594923562225e-03,-1.314301988985981488e-02,0.000000000000000000e+00,-3.112026268515748206e-03,-1.220828708946783935e-02,1.571189531576504261e-02,1.694782473666586048e-02,-1.614141864502630433e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.229238169302797223e-03,0.000000000000000000e+00,-2.274569226802634209e-02,-4.083422816672075198e-03,-2.028668920538014009e-02,-1.725784611354683890e-02,-9.563602261923973002e-03,-4.984956437642969196e-03,-4.837375934139683670e-03,0.000000000000000000e+00,-1.077760732313592235e-02,0.000000000000000000e+00,-5.904644790113711128e-03,-1.203155453782969384e-02,-4.060552479500531553e-03,0.000000000000000000e+00,2.542337349039950484e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.631987475161893159e-03,0.000000000000000000e+00,-6.441228426399684889e-03,0.000000000000000000e+00,-1.244006057172953456e-02,-3.473978482102055287e-03,-2.429532861992625067e-02,-3.100167918225661678e-02,-3.397037535347730702e-02,-2.640593309266570446e-02,-3.283169693190636507e-02,-3.352714434547271471e-02,-4.413524586707397168e-02,-1.633896909860575730e-02,-8.742059099833880687e-03,-1.654631385214697104e-02,-9.075977542062012293e-03,-1.759748172390291493e-03,-1.825179159589765399e-02,-6.020101017327021686e-03,-4.804459862311372120e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.928856809034376445e-03,0.000000000000000000e+00,-4.493081924148038808e-03,0.000000000000000000e+00,0.000000000000000000e+00,-8.761059074342356784e-04,0.000000000000000000e+00,-1.510681207304296822e-03,-1.057439614882972265e-02,-2.562606331734256643e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.978363670600924440e-02,0.000000000000000000e+00,-1.168541696048238515e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.057180452794174191e-03,-9.791166390081956772e-03,-7.639217485016072673e-03,-7.779719617326125158e-03,-6.838261959416946922e-03,0.000000000000000000e+00,-6.133610899944866302e-03,2.021397759092000146e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.287318398472993453e-03,-4.770408674061865639e-03,0.000000000000000000e+00,-5.906604599586695592e-03,-2.266860645187107615e-03,0.000000000000000000e+00
