s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
1.437183562666177750e-02,1.161339879035949707e-02,1.355378888547420502e-02,1.319131441414356232e-02,1.266426313668489456e-02,1.262638717889785767e-02,1.405837852507829666e-02,1.387635990977287292e-02,1.118674129247665405e-02,1.275233086198568344e-02,1.231127139180898666e-02,1.364901382476091385e-02,1.453069038689136505e-02,1.152996532618999481e-02,1.379855629056692123e-02,1.191185042262077332e-02,1.309442613273859024e-02,1.326504070311784744e-02,1.225187722593545914e-02,1.340032927691936493e-02,1.383819431066513062e-02,1.144438143819570541e-02,1.421368401497602463e-02,1.311680115759372711e-02,1.349326130002737045e-02,1.359335985034704208e-02,1.200532633811235428e-02,1.177904196083545685e-02,1.369828823953866959e-02,1.256483048200607300e-02,1.193603035062551498e-02,1.144519075751304626e-02,1.176868379116058350e-02,1.436248421669006348e-02,1.293299347162246704e-02,1.476774737238883972e-02,1.367315370589494705e-02,1.246919110417366028e-02,1.376347523182630539e-02,1.092565618455410004e-02,1.401985157281160355e-02,1.416323520243167877e-02,1.200735662132501602e-02,1.332931127399206161e-02,1.236669719219207764e-02,1.411961950361728668e-02,1.477377023547887802e-02,1.309605874121189117e-02,1.463138498365879059e-02,1.259441021829843521e-02,1.258987467736005783e-02,1.216115709394216537e-02,1.390488259494304657e-02,1.154724322259426117e-02,1.213047932833433151e-02,1.367106288671493530e-02,1.159462984651327133e-02,1.248240936547517776e-02,1.276243198662996292e-02,1.293185539543628693e-02,1.280154753476381302e-02,1.319079287350177765e-02,1.348298881202936172e-02,1.446511596441268921e-02,1.193425338715314865e-02,1.232820190489292145e-02,1.406576950103044510e-02,1.284904871135950089e-02,1.419034507125616074e-02,1.418809127062559128e-02,1.358597632497549057e-02,1.225407607853412628e-02,1.241889502853155136e-02,1.329236757010221481e-02,1.218560058623552322e-02,1.411676499992609024e-02,1.401904039084911346e-02,1.304784230887889862e-02,1.271929498761892319e-02,1.356961484998464584e-02,1.335024088621139526e-02,1.263116765767335892e-02,1.317891851067543030e-02,1.251727063208818436e-02,1.205934584140777588e-02,1.425294857472181320e-02,1.305422373116016388e-02,1.265179738402366638e-02,1.201862934976816177e-02,1.270119380205869675e-02,1.408766210079193115e-02,1.268621161580085754e-02,1.381439808756113052e-02,1.203079335391521454e-02,1.350862346589565277e-02,1.399012934416532516e-02,1.252087298780679703e-02,1.252211630344390869e-02,1.433876156806945801e-02,1.322699151933193207e-02
5.351639701984822750e-04,4.542195820249617100e-04,2.306342357769608498e-04,3.635127795860171318e-04,4.848724056500941515e-04,9.415379463462159038e-05,4.604588320944458246e-04,2.875750651583075523e-04,3.779388207476586103e-04,1.203627180075272918e-04,1.171493495348840952e-04,4.000329354312270880e-04,4.630853945855051279e-04,3.940052411053329706e-04,2.593663812149316072e-04,2.780001959763467312e-04,4.670103371609002352e-04,5.239826859906315804e-04,5.204294575378298759e-04,4.462483630049973726e-04,4.619377432391047478e-04,3.720280656125396490e-04,5.159547436051070690e-04,4.300849395804107189e-04,4.284940659999847412e-04,3.157784231007099152e-04,4.428237734828144312e-04,1.618368842173367739e-04,5.349892890080809593e-04,3.993248101323843002e-04,1.571875764057040215e-04,2.368673158343881369e-04,2.100274141412228346e-04,2.290229604113847017e-04,5.752158467657864094e-04,5.114908330142498016e-03,9.986101388931274414e-01,9.938991069793701172e-01,9.933302998542785645e-01,9.833284616470336914e-01,5.916455388069152832e-01,9.994982481002807617e-01,9.505578279495239258e-01,9.989002943038940430e-01,8.455318808555603027e-01,1.528849243186414242e-03,6.225876277312636375e-04,6.929479837417602539e-01,6.419322453439235687e-03,2.175832400098443031e-03,3.097709966823458672e-03,7.156289066188037395e-04,8.432431495748460293e-04,4.253972438164055347e-04,2.351837902097031474e-04,4.822085611522197723e-04,4.818320157937705517e-04,5.282597849145531654e-04,2.084569132421165705e-04,5.203548353165388107e-04,4.879531916230916977e-04,5.351672880351543427e-04,5.104593001306056976e-04,3.750994510482996702e-04,5.194882978685200214e-04,3.867801278829574585e-04,4.941480001434683800e-04,1.927629054989665747e-04,4.921424551866948605e-04,5.302494391798973083e-04,1.211502094520255923e-04,4.748069914057850838e-04,4.461777280084788799e-04,4.127103602513670921e-04,2.609262301120907068e-04,4.111806338187307119e-04,3.357545065227895975e-04,5.017502699047327042e-04,5.264973733574151993e-04,4.158408846706151962e-04,2.236486616311594844e-04,4.999974044039845467e-04,2.691954141482710838e-04,2.769879938568919897e-04,1.117086721933446825e-04,2.894902136176824570e-04,4.984657862223684788e-04,4.775777051690965891e-04,4.644781874958425760e-04,4.011747951153665781e-04,4.280945868231356144e-04,3.341833071317523718e-04,2.294622827321290970e-04,1.591525651747360826e-04,1.833310816437005997e-04,5.373388412408530712e-04,3.548640233930200338e-04,4.957575001753866673e-04,4.573026672005653381e-04,2.033464988926425576e-04
1.768999063642695546e-04,4.435462469700723886e-04,3.919657319784164429e-04,2.341197541682049632e-04,4.181516123935580254e-04,4.182775737717747688e-04,3.704596892930567265e-04,3.120143665000796318e-04,4.817351000383496284e-04,3.766210284084081650e-04,5.354091408662497997e-04,5.224954220466315746e-04,2.969783381558954716e-04,5.201946478337049484e-04,5.370713188312947750e-04,5.047890008427202702e-04,5.369699792936444283e-04,4.419211472850292921e-04,5.244868807494640350e-04,3.200013015884906054e-04,4.645590088330209255e-04,3.721694229170680046e-04,5.122737493366003036e-04,4.698020347859710455e-04,4.137138603255152702e-04,1.957336498890072107e-04,1.246229367097839713e-04,2.444005222059786320e-04,5.351637373678386211e-04,1.501428923802450299e-04,4.367638321127742529e-04,3.525614156387746334e-04,4.931400762870907784e-04,4.788885125890374184e-04,1.761965977493673563e-04,2.450153115205466747e-04,4.895378369837999344e-04,4.537139320746064186e-04,2.809857251122593880e-04,3.472664975561201572e-04,4.479313793126493692e-04,3.319096285849809647e-04,4.943084204569458961e-04,5.319226766005158424e-04,4.436667368281632662e-04,4.444754449650645256e-04,4.736244736704975367e-04,4.901850479654967785e-04,1.732985838316380978e-04,5.992193473502993584e-04,1.764404936693608761e-03,1.128906151279807091e-03,9.971966743469238281e-01,2.511674538254737854e-02,1.065130457282066345e-01,9.936556816101074219e-01,9.987892508506774902e-01,8.828741847537457943e-04,8.228230476379394531e-01,7.089219093322753906e-01,9.977727532386779785e-01,9.993537068367004395e-01,9.981722831726074219e-01,9.989044666290283203e-01,1.301247719675302505e-02,2.776142358779907227e-01,6.824292540550231934e-01,9.478398715145885944e-04,5.025907885283231735e-04,2.510644262656569481e-04,4.270350618753582239e-04,3.585492668207734823e-04,1.832085981732234359e-04,2.394798939349129796e-04,3.028278588317334652e-04,2.940777048934251070e-04,5.043832934461534023e-04,4.236871609464287758e-04,3.797407844103872776e-04,4.966749111190438271e-04,4.616663500200957060e-04,5.338546470738947392e-04,1.549528242321684957e-04,3.267729771323502064e-04,5.038381204940378666e-04,5.353305605240166187e-04,4.011504934169352055e-04,5.233058473095297813e-04,1.428080140613019466e-04,5.142777226865291595e-04,3.846512991003692150e-04,5.267707165330648422e-04,3.601126954890787601e-04,2.989876957144588232e-04,1.909653219627216458e-04,3.526801010593771935e-04,5.315884482115507126e-04,5.255590076558291912e-04,5.332743749022483826e-04,3.894390247296541929e-04
1.213014777749776840e-02,1.355898007750511169e-02,1.280026510357856750e-02,1.222332194447517395e-02,1.224363315850496292e-02,1.313358917832374573e-02,1.423689909279346466e-02,1.160425134003162384e-02,1.308674365282058716e-02,1.280668936669826508e-02,1.150644663721323013e-02,1.391819398850202560e-02,1.334490347653627396e-02,1.190190389752388000e-02,1.149688195437192917e-02,1.240975782275199890e-02,1.221236586570739746e-02,1.344294287264347076e-02,1.349902525544166565e-02,1.161033380776643753e-02,1.347215380519628525e-02,1.378140971064567566e-02,1.319512072950601578e-02,1.241503003984689713e-02,1.445227954536676407e-02,1.360065583139657974e-02,1.285938918590545654e-02,1.316364668309688568e-02,1.221936196088790894e-02,1.300736423581838608e-02,1.362446788698434830e-02,1.263294089585542679e-02,1.414288952946662903e-02,1.227684784680604935e-02,1.311016175895929337e-02,1.386847998946905136e-02,1.467322837561368942e-02,1.329356897622346878e-02,1.368061453104019165e-02,1.484715938568115234e-02,1.358460355550050735e-02,1.262007001787424088e-02,1.337036211043596268e-02,1.317814365029335022e-02,1.371946651488542557e-02,1.315079350024461746e-02,1.416974235326051712e-02,1.263386849313974380e-02,1.398836076259613037e-02,1.239961106330156326e-02,1.278393436223268509e-02,1.419039815664291382e-02,1.200489606708288193e-02,1.152415107935667038e-02,1.210544910281896591e-02,1.348376926034688950e-02,1.397102139890193939e-02,1.334642432630062103e-02,1.509120129048824310e-02,1.173382997512817383e-02,1.286092028021812439e-02,1.429630070924758911e-02,1.263145357370376587e-02,1.359840575605630875e-02,1.342328358441591263e-02,1.332727354019880295e-02,1.266223192214965820e-02,1.345616672188043594e-02,1.366548985242843628e-02,1.257837377488613129e-02,1.308530289679765701e-02,1.451922953128814697e-02,1.355098932981491089e-02,1.261557359248399734e-02,1.272727921605110168e-02,1.200173422694206238e-02,9.934814646840095520e-03,1.172467134892940521e-02,1.345159765332937241e-02,1.404074858874082565e-02,1.360654924064874649e-02,1.160356216132640839e-02,1.449898630380630493e-02,1.250513549894094467e-02,1.341052167117595673e-02,1.303378865122795105e-02,1.402238942682743073e-02,1.371985487639904022e-02,1.539352256804704666e-02,1.262239925563335419e-02,1.386479567736387253e-02,1.333313155919313431e-02,1.233964413404464722e-02,1.211004517972469330e-02,1.318885106593370438e-02,1.143082231283187866e-02,1.353861764073371887e-02,1.174489315599203110e-02,1.082504354417324066e-02,1.335627306252717972e-02
1.259415410459041595e-02,1.380509883165359497e-02,1.323217619210481644e-02,1.329693384468555450e-02,1.305007748305797577e-02,1.201369892805814743e-02,1.449372805655002594e-02,1.283958088606595993e-02,1.282432209700345993e-02,1.307029835879802704e-02,1.446191407740116119e-02,1.214360073208808899e-02,1.388682890683412552e-02,1.247007120400667191e-02,1.494651008397340775e-02,1.276496704667806625e-02,1.354740280658006668e-02,1.497255079448223114e-02,1.266692951321601868e-02,1.397644728422164917e-02,1.329759787768125534e-02,1.369128096848726273e-02,1.220927760004997253e-02,1.396213471889495850e-02,1.288766227662563324e-02,1.422770135104656219e-02,1.348001416772603989e-02,1.233604177832603455e-02,1.309872791171073914e-02,1.220476999878883362e-02,1.376056391745805740e-02,1.405368652194738388e-02,1.289266254752874374e-02,1.040528435260057449e-02,1.354840211570262909e-02,1.093949936330318451e-02,1.422017347067594528e-02,1.368259731680154800e-02,1.393978111445903778e-02,1.322605088353157043e-02,1.236877031624317169e-02,1.369878463447093964e-02,1.350479852408170700e-02,1.297032553702592850e-02,1.396564859896898270e-02,1.341778505593538284e-02,1.404854096472263336e-02,1.285061426460742950e-02,1.501629129052162170e-02,1.317086536437273026e-02,1.303719915449619293e-02,1.249735336750745773e-02,1.315583847463130951e-02,1.227285899221897125e-02,1.373496185988187790e-02,1.130876317620277405e-02,1.196923851966857910e-02,1.345203444361686707e-02,1.264532469213008881e-02,1.283403299748897552e-02,1.238344702869653702e-02,1.397243887186050415e-02,1.340137049555778503e-02,1.257155835628509521e-02,1.436023507267236710e-02,1.325859501957893372e-02,1.098776608705520630e-02,1.348163094371557236e-02,1.387257501482963562e-02,1.162459235638380051e-02,1.208009943366050720e-02,1.143111288547515869e-02,1.343550905585289001e-02,1.302989386022090912e-02,1.309416722506284714e-02,1.300393696874380112e-02,1.435846742242574692e-02,1.261091791093349457e-02,1.213076990097761154e-02,1.347744558006525040e-02,1.251250319182872772e-02,1.257329899817705154e-02,1.274607051163911819e-02,1.318360120058059692e-02,1.279112137854099274e-02,1.285911072045564651e-02,1.488552615046501160e-02,1.160636264830827713e-02,1.348094549030065536e-02,1.257175952196121216e-02,1.262215618044137955e-02,1.326116453856229782e-02,1.183366682380437851e-02,1.464615855365991592e-02,1.231029629707336426e-02,1.454596500843763351e-02,1.333847083151340485e-02,1.384291332215070724e-02,1.354028563946485519e-02,1.403215061873197556e-02
4.988344153389334679e-04,3.065512573812156916e-04,3.710089076776057482e-04,3.069229423999786377e-04,3.602043725550174713e-04,3.385134332347661257e-04,2.008258161367848516e-04,3.291015746071934700e-04,2.776810142677277327e-04,5.322300712577998638e-04,5.261427140794694424e-04,2.618725411593914032e-04,1.781560858944430947e-04,5.162164452485740185e-04,5.056777736172080040e-04,2.476044173818081617e-04,2.494419750291854143e-04,3.858483687508851290e-04,1.601171388756483793e-04,1.932406157720834017e-04,5.137821426615118980e-04,5.297861644066870213e-04,4.227860772516578436e-04,3.636772453319281340e-04,2.057475066976621747e-04,2.768245758488774300e-04,5.114789819344878197e-04,4.574316553771495819e-04,2.149553474737331271e-04,3.935513959731906652e-04,5.194752011448144913e-04,3.804183797910809517e-04,3.321609692648053169e-04,2.702737110666930676e-04,5.598667194135487080e-04,3.524821077007800341e-04,2.014503115788102150e-03,3.786087036132812500e-03,1.042411476373672485e-01,5.817744135856628418e-01,5.149675998836755753e-03,9.989645481109619141e-01,9.731940031051635742e-01,9.990819692611694336e-01,9.961259961128234863e-01,1.102895569056272507e-02,1.959013985469937325e-03,9.877142906188964844e-01,9.690678715705871582e-01,9.871265292167663574e-01,9.979342222213745117e-01,2.391624897718429565e-01,7.118387222290039062e-01,2.609170333016663790e-04,5.164120811969041824e-04,5.852305330336093903e-04,1.547751744510605931e-04,1.468409609515219927e-04,4.972312599420547485e-04,5.049490137025713921e-04,5.335044115781784058e-04,1.587701408425346017e-04,4.428060783538967371e-04,5.327129620127379894e-04,2.872859477065503597e-04,4.933676682412624359e-04,1.788477966329082847e-04,3.566010855138301849e-04,2.814165491145104170e-04,8.523564611095935106e-05,5.273447022773325443e-04,5.026456201449036598e-04,4.015279118902981281e-04,4.218896792735904455e-04,5.150123033672571182e-04,1.652356731938198209e-04,3.975288709625601768e-04,3.321406838949769735e-04,1.473085285397246480e-04,1.451555144740268588e-04,4.483403754420578480e-04,5.172860110178589821e-04,3.577158204279839993e-04,2.105077874148264527e-04,2.450323663651943207e-04,3.130739496555179358e-04,5.328251863829791546e-04,4.902983200736343861e-04,2.359038044232875109e-04,4.905238747596740723e-04,1.463718217564746737e-04,4.079748759977519512e-04,5.216997233219444752e-04,1.042676012730225921e-04,5.033444613218307495e-04,4.033586592413485050e-04,5.076404195278882980e-04,5.278873140923678875e-04,4.466390237212181091e-04,2.552112273406237364e-04
1.376306824386119843e-02,1.313450373709201813e-02,1.234027184545993805e-02,1.267301384359598160e-02,1.311520952731370926e-02,1.282105688005685806e-02,1.156939938664436340e-02,1.387962885200977325e-02,1.230013184249401093e-02,1.170377712696790695e-02,1.225231587886810303e-02,1.159524079412221909e-02,1.408712472766637802e-02,1.240241434425115585e-02,1.326310541480779648e-02,1.345597114413976669e-02,1.443825569003820419e-02,1.293183118104934692e-02,1.279724575579166412e-02,1.064129453152418137e-02,1.327357534319162369e-02,1.203918922692537308e-02,1.333638001233339310e-02,1.295973919332027435e-02,1.424441114068031311e-02,1.311452966183423996e-02,1.253886148333549500e-02,1.358563173562288284e-02,1.308997254818677902e-02,1.197187788784503937e-02,1.277913898229598999e-02,1.374369673430919647e-02,1.231614314019680023e-02,1.429873984307050705e-02,1.402651052922010422e-02,1.351161580532789230e-02,1.213610265403985977e-02,1.169394701719284058e-02,1.316045783460140228e-02,1.255791634321212769e-02,1.401104126125574112e-02,1.300635375082492828e-02,1.359125692397356033e-02,1.304523274302482605e-02,1.358838099986314774e-02,1.233466528356075287e-02,1.380109414458274841e-02,1.247267238795757294e-02,1.325634960085153580e-02,1.427787262946367264e-02,1.238008774816989899e-02,1.298469118773937225e-02,1.334344688802957535e-02,1.285967975854873657e-02,1.224550232291221619e-02,1.504165492951869965e-02,1.389068923890590668e-02,1.473561208695173264e-02,1.382906176149845123e-02,1.233511324971914291e-02,1.404684968292713165e-02,1.321070734411478043e-02,1.293062046170234680e-02,1.336677744984626770e-02,1.391297951340675354e-02,1.195417996495962143e-02,1.199321728199720383e-02,1.258154213428497314e-02,1.359708141535520554e-02,1.214077509939670563e-02,1.281120628118515015e-02,1.263264380395412445e-02,1.274454593658447266e-02,1.231747027486562729e-02,1.269260328263044357e-02,1.234739366918802261e-02,1.252758968621492386e-02,1.213747542351484299e-02,1.283385138958692551e-02,1.505075674504041672e-02,1.350307743996381760e-02,1.279458962380886078e-02,1.291071530431509018e-02,1.344398688524961472e-02,1.344243809580802917e-02,1.310010254383087158e-02,1.156214904040098190e-02,1.338255126029253006e-02,1.346723549067974091e-02,1.275081746280193329e-02,1.258728932589292526e-02,1.346843410283327103e-02,1.219093427062034607e-02,1.358918566256761551e-02,1.248346175998449326e-02,1.260809134691953659e-02,1.400079485028982162e-02,1.248075161129236221e-02,1.498572155833244324e-02,1.380508020520210266e-02
1.337126083672046661e-02,1.179219223558902740e-02,1.327326335012912750e-02,1.349945645779371262e-02,1.260880939662456512e-02,1.247165165841579437e-02,1.261768769472837448e-02,1.336607988923788071e-02,1.420699153095483780e-02,1.244051754474639893e-02,1.262161508202552795e-02,1.289928425103425980e-02,1.320899091660976410e-02,1.325283106416463852e-02,1.265201717615127563e-02,1.366692315787076950e-02,1.302915811538696289e-02,1.392623968422412872e-02,1.291196886450052261e-02,1.351799257099628448e-02,1.306681148707866669e-02,1.435391325503587723e-02,1.341714709997177124e-02,1.131589803844690323e-02,1.241122465580701828e-02,1.356260199099779129e-02,1.433205138891935349e-02,1.343715842813253403e-02,1.426376029849052429e-02,1.327404938638210297e-02,1.365702226758003235e-02,1.229701563715934753e-02,1.277302205562591553e-02,1.507207565009593964e-02,1.199813839048147202e-02,1.200970355421304703e-02,1.230525411665439606e-02,1.375301368534564972e-02,1.263659261167049408e-02,1.441380754113197327e-02,1.368808094412088394e-02,1.295672543346881866e-02,1.421510707587003708e-02,1.184609625488519669e-02,1.457766070961952209e-02,1.210912130773067474e-02,1.159939542412757874e-02,1.337271556258201599e-02,1.135517563670873642e-02,1.155649404972791672e-02,1.304565556347370148e-02,1.324355602264404297e-02,1.373383775353431702e-02,1.314274594187736511e-02,1.386833563446998596e-02,1.366802211850881577e-02,1.416072528809309006e-02,1.318677142262458801e-02,1.402915548533201218e-02,1.368481665849685669e-02,1.147905644029378891e-02,1.380498241633176804e-02,1.245317142456769943e-02,1.409893762320280075e-02,1.222555618733167648e-02,1.328702829778194427e-02,1.186672784388065338e-02,1.442263089120388031e-02,1.274641789495944977e-02,1.333837583661079407e-02,1.209769584238529205e-02,1.324748806655406952e-02,1.326786167919635773e-02,1.340963132679462433e-02,1.402318757027387619e-02,1.430608704686164856e-02,1.310084853321313858e-02,1.394510455429553986e-02,1.249414030462503433e-02,1.189200486987829208e-02,1.381171587854623795e-02,1.294580195099115372e-02,1.394911110401153564e-02,1.364804431796073914e-02,1.400656253099441528e-02,1.347589958459138870e-02,1.260139048099517822e-02,1.346591301262378693e-02,1.288291998207569122e-02,1.277092378586530685e-02,1.202494930475950241e-02,1.368663180619478226e-02,1.324065215885639191e-02,1.258102711290121078e-02,1.401935052126646042e-02,1.332166232168674469e-02,1.480447221547365189e-02,1.349348854273557663e-02,1.237666606903076172e-02,1.222201529890298843e-02
4.231091879773885012e-04,4.701806174125522375e-04,4.609179741237312555e-04,2.455972135066986084e-04,5.199477309361100197e-04,3.982582711614668369e-04,3.693992330227047205e-04,3.753439232241362333e-04,4.589336749631911516e-04,4.947413690388202667e-04,3.053448454011231661e-04,5.273469723761081696e-04,3.756508813239634037e-04,5.238965386524796486e-04,3.365635348018258810e-04,5.324449739418923855e-04,3.829621418844908476e-04,4.715639224741607904e-04,4.940978251397609711e-04,2.498964022379368544e-04,4.563130787573754787e-04,4.173187189735472202e-04,3.662891394924372435e-04,3.157344763167202473e-04,2.932453353423625231e-04,5.243676132522523403e-04,5.301496130414307117e-04,4.066992842126637697e-04,4.507401317823678255e-04,4.549516888801008463e-04,4.596894141286611557e-04,4.151637840550392866e-04,2.637410070747137070e-04,3.849344793707132339e-04,5.202799220569431782e-04,3.985444491263478994e-04,5.254839197732508183e-04,4.893806180916726589e-04,5.159185966476798058e-04,5.318063776940107346e-04,2.951295755337923765e-04,5.117042455822229385e-04,5.214732373133301735e-04,3.118710010312497616e-04,4.502934752963483334e-04,4.263303417246788740e-04,2.794729953166097403e-04,3.971853002440184355e-04,4.908412229269742966e-04,6.141118938103318214e-04,8.919003605842590332e-02,1.974711893126368523e-03,9.992628693580627441e-01,5.154795050621032715e-01,6.115012168884277344e-01,9.985061287879943848e-01,9.991713762283325195e-01,5.867743166163563728e-04,8.205012083053588867e-01,7.326889038085937500e-01,9.994915723800659180e-01,9.993402361869812012e-01,9.988038539886474609e-01,9.841601252555847168e-01,9.378484101034700871e-04,9.195081074722111225e-04,9.141135960817337036e-04,1.442361972294747829e-04,2.802315575536340475e-04,2.762187214102596045e-04,3.451076045166701078e-04,4.669212503358721733e-04,2.691543486434966326e-04,2.834895567502826452e-04,3.902080643456429243e-04,3.273024340160191059e-04,3.537820884957909584e-04,2.602271270006895065e-04,4.346374043961986899e-05,5.340154748409986496e-04,3.275671042501926422e-04,5.092399660497903824e-04,2.408737927908077836e-04,4.373869160190224648e-04,4.931490402668714523e-04,3.449778014328330755e-04,3.287171130068600178e-04,5.203694454394280910e-04,2.507209428586065769e-04,4.547251446638256311e-04,5.035001668147742748e-04,4.695403331425040960e-04,3.334077773615717888e-04,3.464530454948544502e-04,1.280649594264104962e-04,4.908536211587488651e-04,4.889446427114307880e-04,3.903423785232007504e-04,4.488520207814872265e-04,5.354920867830514908e-04
1.409040298312902451e-02,1.344551052898168564e-02,1.375441066920757294e-02,1.135971024632453918e-02,1.170025300234556198e-02,1.381902489811182022e-02,1.360882818698883057e-02,1.344914827495813370e-02,1.345806661993265152e-02,1.164767984300851822e-02,1.323027722537517548e-02,1.471180189400911331e-02,1.397614460438489914e-02,1.473777927458286285e-02,1.204557716846466064e-02,1.377429068088531494e-02,1.244160626083612442e-02,1.197868119925260544e-02,1.252829190343618393e-02,1.263630203902721405e-02,1.260112971067428589e-02,1.337314955890178680e-02,1.429552678018808365e-02,1.229017134755849838e-02,1.368223689496517181e-02,1.439435128122568130e-02,1.337606180459260941e-02,1.087536104023456573e-02,1.401593722403049469e-02,1.413852907717227936e-02,1.234757434576749802e-02,1.213072519749403000e-02,1.301920320838689804e-02,1.302918232977390289e-02,1.374198496341705322e-02,1.302761863917112350e-02,1.260395999997854233e-02,1.540183648467063904e-02,1.199094578623771667e-02,1.394770108163356781e-02,1.451527327299118042e-02,1.519087422639131546e-02,1.282746251672506332e-02,1.381302066147327423e-02,1.154271047562360764e-02,1.290599536150693893e-02,1.316753774881362915e-02,1.337204780429601669e-02,1.354118436574935913e-02,1.243884861469268799e-02,1.348123792558908463e-02,1.324255391955375671e-02,1.362964790314435959e-02,1.388557534664869308e-02,1.288579497486352921e-02,1.325775869190692902e-02,1.364738401025533676e-02,1.383801270276308060e-02,1.280847471207380295e-02,1.241744402796030045e-02,1.306390389800071716e-02,1.346844621002674103e-02,1.309514697641134262e-02,1.061657909303903580e-02,1.199371460825204849e-02,1.316383853554725647e-02,1.324736326932907104e-02,1.333011966198682785e-02,1.231367699801921844e-02,1.185883022844791412e-02,1.381853129714727402e-02,1.243610028177499771e-02,1.447268947958946228e-02,1.347319222986698151e-02,1.189264934509992599e-02,1.338263321667909622e-02,1.426825299859046936e-02,1.308154687285423279e-02,1.296022627502679825e-02,1.276603620499372482e-02,1.362525671720504761e-02,1.372844539582729340e-02,1.170312054455280304e-02,1.351083442568778992e-02,1.249774172902107239e-02,1.376484893262386322e-02,1.214564312249422073e-02,1.318328455090522766e-02,1.411087252199649811e-02,1.187770348042249680e-02,1.372767705470323563e-02,1.336567569524049759e-02,1.431600749492645264e-02,1.272280979901552200e-02,1.151967048645019531e-02,1.289756689220666885e-02,1.374149322509765625e-02,1.397587638348340988e-02,1.487971656024456024e-02,1.177492365241050720e-02
