s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
-1.841043950326191891e-02,-1.087845889607329426e-02,-5.917317405744423366e-03,-7.937955721892651570e-03,5.486961678247500099e-03,1.175637597167449597e-03,-5.506489128051936938e-03,-4.489882522405811696e-04,-7.230926167681094203e-03,-5.167615491488236797e-03,-2.148663329096308239e-03,-9.961326419470326043e-03,-6.810620344226549910e-03,-6.016395391530546602e-03,-3.468141488570499267e-03,-1.451723279947131871e-02,-1.415601162380316323e-02,-1.572831554964912101e-02,-1.632170712019403655e-02,-1.424061868128112529e-02,-1.468481734475024676e-02,-9.698207895527926475e-03,-1.074130604448640842e-02,-3.822864812442400718e-03,-4.537634658181097756e-03,-2.997231324619711260e-03,-1.200089440077919522e-03,-3.185610297495410428e-03,1.164689620307710234e-02,3.478508318654056214e-03,2.060127786581447684e-03,1.983331310497278566e-03,-2.973172656393166546e-04,-5.972233593086129222e-03,-1.733018267670557652e-02,-3.505734485183998814e-03,-1.283127765696689959e-02,-1.062438029727609361e-02,-9.848373434162054074e-03,-3.507439219776525320e-03,1.122930886689162914e-03,-1.741657943923916865e-03,-2.317012889570054142e-03,3.087370529491641051e-04,-3.331921106835963094e-03,-3.816345724889512632e-04,-1.506351816281308563e-03,-1.967067243994371443e-03,-1.641346014483795798e-03,-3.976623408199665352e-03,-5.847401344772652602e-03,-1.170428222256951478e-02,-1.418141647521695484e-02,-7.538367459972477452e-03,-1.020635119859678031e-02,-9.407783631722989315e-03,-5.556885992989255181e-03,-3.715128203971959815e-03,-8.535593456758260728e-03,-1.117943538013541939e-02,-1.242409978080098905e-02,-1.675780173043217233e-02,-1.196679568606071054e-02,-6.902317413230223304e-03,-1.149357438481298822e-02,-6.056968733943056751e-03,-1.951984479683906495e-02,-3.365862271796824477e-03,-6.319890543440368977e-03,-6.844859577324073976e-03,-4.006659886302648549e-03,-1.382762341360243728e-03,1.483130081422274974e-05,3.962832648868749863e-03,4.667950592384530889e-03,-8.298616524961926338e-03,-6.766075180662757191e-03,-6.049685197129310230e-03,-1.200397857473607666e-02,-9.052966618335064539e-03,-1.008870911779484979e-02,-1.877693576792268532e-02,-1.417234492776308502e-02,-1.491666517547299980e-02,-8.743814601951890170e-03,-1.215470336498166402e-02,-7.628516049966519753e-03,-6.641620313428788121e-03,-1.446866685709233095e-02,-4.230764006139208638e-03,-2.347202686597570954e-03,-1.108254740513344230e-02,-2.899011741062525530e-03,-4.121201773258146434e-03,-2.294253715859521838e-03,-5.945457427259047065e-03,5.737514535668823516e-03,-2.041643544685023317e-03,-1.172187314661890176e-02,0.000000000000000000e+00
-1.161750173023349403e-02,-5.735351241523473607e-03,5.547815199439183262e-03,-2.046322170830610233e-03,-5.112857427428441764e-03,-1.914073281054575523e-03,-4.607940589847026947e-04,-3.674171399476389849e-03,-5.289653779434087648e-03,-6.153614566389468271e-03,4.129309970575302806e-04,-8.319036534032694941e-03,-6.294870019086584029e-03,-8.096559561192328419e-03,-1.307704111463113723e-02,-1.339713571975325972e-02,-1.060850867416883447e-02,-1.457714786706783283e-02,1.961858701208903100e-02,1.891963477821827222e-02,1.934919789890654149e-02,2.126754735361000362e-02,1.966118509421244456e-02,2.159814474389012973e-02,1.462135783504565044e-02,7.671469521265473698e-03,3.112941366743706296e-03,-7.018751876463429767e-03,-6.724296043814639683e-03,-4.970304791278867124e-03,9.331762805561851989e-03,-2.375605666874119979e-03,1.118650704362251537e-02,1.419761404456334336e-02,1.932558643497633843e-02,2.010436705032888141e-02,2.402835700054278129e-02,1.791193569354748022e-02,1.767580144624279759e-02,1.425316932655106179e-02,1.232603514533831511e-02,1.756262252197413748e-02,1.998300131960152257e-02,2.229701821376761650e-02,1.987784731639523350e-02,1.297655283048497823e-02,7.822967256912376904e-03,1.918282049616849144e-02,1.488679253393720980e-02,1.701869389139855360e-02,2.284975664256847991e-02,1.738854542908721199e-02,1.741891200321415631e-02,1.263522584577142678e-02,3.264217764560639872e-03,4.536447522323683638e-04,-1.180378679581896989e-03,1.276281217079406304e-03,3.031365702361828369e-04,1.320833611730730947e-03,-5.087727951544416399e-03,-3.341760851977836413e-03,4.421794813995995007e-04,-1.872717863510583438e-03,-4.014598545080514877e-03,9.524320423495505339e-04,-3.249907002511908879e-03,-3.678644993656177858e-04,-8.045525408193825515e-03,-4.319309157980857038e-03,-3.063615275662042131e-04,4.245023091815110748e-03,-3.018403148160077321e-03,3.738101432672096252e-03,4.431227928322654464e-04,-6.825150292135293700e-03,-5.669941833232785243e-03,-7.958697383812551873e-03,-1.061313240019306527e-02,-9.350625235629369744e-03,-1.418448492599882170e-02,-1.412968717515740262e-02,-1.543400233844456279e-02,-1.177882858217253921e-02,-1.493300378422063833e-02,-1.206050654375590177e-02,-8.779582788406022076e-03,-8.567658071460305252e-03,-5.632241501929631175e-03,-7.063774798505706096e-03,2.502408517059625821e-03,-1.044798753283974688e-03,-3.611524468750189776e-04,-3.449806748336652767e-03,-3.138381461076948740e-03,-6.200097352733868056e-03,1.664883522322981989e-03,-7.193682862579435251e-04,1.702076028813620870e-02,0.000000000000000000e+00
-1.053409221653052452e-02,-1.098920510192688028e-02,-9.894554207926559500e-03,6.363237515501501615e-03,-2.042100303441668312e-03,5.559909326380254452e-03,-5.648363254489771265e-03,-2.826955667282327837e-03,-4.015350937745524457e-03,-1.089024140674201739e-03,-5.817329761951442468e-03,-4.358562267088659202e-03,-5.293357716794825155e-03,-9.778794744094466973e-03,-1.183055864484431306e-02,-1.028737630446125047e-02,-1.500355132581928687e-02,-1.401884951297116370e-02,-1.196916813063511956e-02,-1.379794524963219929e-02,-1.398894661278545816e-02,-1.033776867822117085e-02,-6.714024554371859042e-03,-6.451898380211992280e-03,-3.205838485378265709e-03,-4.024937741835290378e-03,5.238103882828910022e-05,-4.559414789535647279e-03,2.726148768740775316e-03,-7.908930166492536768e-04,-8.906214887371350850e-03,-1.501903209525225691e-03,-3.695085521409859162e-03,-6.886375629221805870e-03,-5.923426782545796257e-03,-1.359891430734891035e-02,-1.192537603534396008e-02,-4.759381859881814218e-03,-3.943802195120939096e-03,-1.346914876253741539e-02,2.427128152989535288e-03,-1.244194077322724641e-02,-3.541553560827085528e-03,-9.583486033070329462e-04,3.191648448562093882e-04,-2.225625030124264367e-03,-3.120470535523759640e-03,-1.440265031035699219e-03,-4.166677969489764218e-03,2.138431599093284716e-02,1.668932051639264447e-02,2.111340390889035468e-02,2.294614105898194409e-02,1.526519825985579899e-02,1.695593867939410720e-02,1.558088198230583345e-02,1.691959259792723269e-02,9.024562367073418398e-03,1.802997119729617820e-02,1.459071246933293237e-02,1.968089443370961769e-02,2.390453989072836155e-02,1.925137730020554799e-02,1.904237831350789889e-02,1.567862280511956447e-02,1.558560950811862904e-02,2.131275798448983155e-02,1.593500722841227971e-02,3.338869372866982467e-03,1.568192407945777139e-03,7.639870983513361892e-03,-1.840038848799254844e-03,3.054561830389184406e-03,-3.192280652705374155e-03,8.569356002477818493e-03,7.661455939108523759e-03,1.491235642494112036e-02,1.231506826194976763e-02,1.716768725339130192e-02,1.682780783555164889e-02,1.913600565204661222e-02,1.925183490223833158e-02,1.587534691179086355e-02,-1.583690802368576192e-02,-1.090021126892189857e-02,-5.204909466043253219e-03,-8.007581815881232093e-03,-6.991496356968085989e-03,-6.128434552922511908e-03,-8.977479293505655558e-03,6.946621368028400769e-04,-3.966597781164726312e-03,-4.824277453696288950e-03,1.497641372564144108e-03,-3.533311669362464245e-03,5.251274004850328475e-04,-1.584498568961186481e-03,-8.910354723183759942e-03,-1.523638247006884466e-02,0.000000000000000000e+00
-1.681957799059478290e-03,-1.138394555673882640e-02,-6.523881696675067066e-03,-7.719558625447902299e-03,-8.177833046862766075e-03,-9.377609294073713589e-03,-1.010958929856735182e-02,-9.400932892818118563e-04,-5.265145308823783107e-03,-4.014407242474562348e-03,-5.739793612436323855e-03,-9.116685058492435961e-03,-7.169639420506569022e-03,-9.629666778585035253e-03,-4.780272237927268505e-03,-1.094684455424254493e-02,-1.615618463476452965e-02,-1.585460727235890946e-02,-1.398325038630582329e-02,-1.081659910690196957e-02,-1.062617711166950751e-02,-1.448130906552458873e-02,-7.384280708309296642e-03,-8.744276728700121556e-03,-6.485681881954752370e-03,-6.500466251279693117e-03,2.267164658530491754e-03,4.261749776623932270e-03,4.110875922848471198e-03,-2.701230844661193088e-04,-4.667443829629750601e-03,5.983404280457499348e-04,-2.310369338825097370e-03,-1.599993582890030155e-03,-8.239402654718008812e-03,-1.042897681048368663e-02,-1.162437337565439162e-02,-1.086121615388646079e-02,-1.073560950564432341e-02,-1.146676214216104002e-02,-1.352513744242029095e-02,-1.077251566607739103e-02,-1.341029331028512940e-02,-1.263973026570273765e-02,-5.806669464435485276e-03,1.360194458554462964e-03,-1.007172030835113514e-03,-7.076515085760993161e-03,-1.121001643475459490e-02,-1.245725954618748937e-02,-1.147787829912547825e-02,-8.316208417768283789e-03,-7.278551846070254946e-03,-9.610858031128413984e-03,-8.614021975019337321e-03,-9.038635876710277017e-03,-3.792059628014498446e-03,1.005718827891251927e-03,-5.386110884884924392e-03,9.078804817544663041e-04,5.124185116549126104e-04,-5.004013477267465863e-03,-2.983951640039209010e-03,7.153952374800931708e-04,-2.066751477961778147e-03,-1.973978312046778972e-03,-4.530310677210481335e-03,-7.826342165403310860e-03,-2.128715711843069073e-03,-6.320267645141788154e-03,-5.602111299033802824e-03,6.402069154214627428e-05,2.338243963214210643e-05,-3.425274776765739691e-03,-1.233238178041152350e-03,-6.225137094866387694e-03,-6.753601273953126378e-03,-4.455578157837464422e-03,1.879233696532360987e-03,-5.035373553064574279e-03,-4.102291845975866713e-03,-1.311875447202258752e-02,-1.769374622779585488e-02,3.943844135023424902e-03,-4.648835154655038375e-03,7.543015926406835929e-03,2.566296794166947944e-03,2.052738534018827121e-03,-1.121459521261554577e-02,-1.832108680769993156e-03,-4.051480863633806495e-03,-2.421092870636864808e-03,-7.022431841540311380e-03,1.223619484619646288e-03,-9.258544413474288290e-03,-3.199207076446485346e-03,-3.903719920610734719e-03,-3.272289622391168825e-04,-1.220758943630561233e-03,0.000000000000000000e+00
1.004503131451894675e-02,-3.273492078990056925e-03,-6.956600650244205986e-03,-1.761602935782015811e-03,1.039081763191080331e-02,5.558329812845595394e-03,4.074534334240080373e-03,-5.462006072924904983e-03,-2.091701369703518297e-03,-2.541081275822679088e-03,4.336684507526049012e-04,-9.766190574833060606e-03,-1.105867626477118407e-02,-1.047332675204935663e-02,-1.044681375055651028e-02,-1.576137052983958217e-02,-1.042817930206424958e-02,-1.491938620596748935e-02,-1.695517685564884927e-02,-1.830618962210644324e-02,-1.688961857241609230e-02,-7.434688876777879527e-03,-8.049552076062043565e-03,2.721223057226714731e-03,-7.640144003141343711e-03,3.095943059414077696e-03,5.660808922703519305e-03,2.569214677356257241e-03,2.215685529387485028e-03,3.077346390158034253e-03,-4.163326864344694955e-03,-1.798201796552085716e-03,-6.515360923421719720e-03,-7.184422729594823996e-03,-1.274925408370571056e-02,-9.570349813019589716e-03,-1.467483790687461147e-02,-1.000420134998983995e-02,-1.213856272717710877e-02,-1.179090822538531036e-02,-7.909705718365328542e-03,-4.549313881431114870e-03,-4.685458303697271308e-03,-6.133833616463572024e-03,-3.843584749151772884e-03,6.394076098542043126e-05,-4.968586129366306392e-03,1.324457716457883710e-03,1.360981366354349457e-03,-4.733157364210328552e-03,-3.965195852901249110e-03,-3.348818438481295477e-03,-1.133340914180709300e-02,-6.249805879603454080e-03,-6.514158170724946260e-03,-3.635103987047320385e-03,-4.499346852302365390e-03,-2.255246118645712426e-03,-1.184254828100768549e-02,-8.768721886858130490e-03,-1.020923291956816331e-02,-7.490423151925970462e-03,-8.978698876356163219e-03,-8.490640538057781309e-03,-1.272361474971512446e-02,-1.109694491639245939e-02,-1.868315335640964234e-02,-1.401183879086069332e-02,8.450507859812504295e-04,-1.391055032785136350e-03,-1.283753698950723145e-02,-1.141015222545997253e-03,-1.397878976086530146e-03,-1.649105201104674248e-03,-1.078883847304803675e-02,-2.893041592270804291e-03,-5.148622387741239557e-03,-8.459914842867689508e-03,-1.474904091300073029e-02,-8.942271593336820548e-03,-1.939691778961365534e-02,-1.504044285204396425e-02,-1.188504212914357275e-02,-1.901100670838493795e-02,-1.640648308368029482e-02,-1.005798928911122089e-02,-5.440005982887950210e-03,-3.166511326956537257e-03,-3.755884700425232269e-03,-6.872611977601081508e-03,-8.606068598920837975e-03,-5.119756474531124077e-03,-6.802085057050033350e-03,2.135074435178987724e-03,-3.870233281069395456e-03,-3.468361066801964668e-03,-2.093420677000503317e-03,1.570342278066242173e-02,-1.539727772734311891e-02,0.000000000000000000e+00
-1.953660268458244989e-02,-6.227382363302636295e-03,-1.446331728103170122e-03,2.188004604124232748e-03,-2.575097634655394902e-04,-3.159325063412370994e-03,5.330383103636521409e-03,-8.348226134271852575e-03,-6.576420184550752640e-03,-4.180045642645070260e-03,-1.756601229971194861e-03,-1.227949987133218970e-02,-1.103982105038543715e-02,-8.259482996845632363e-03,-1.289861755298535133e-02,-1.021809491007756067e-02,-1.602528635892300907e-02,-1.680594927671056130e-02,-1.467466193481359836e-02,-1.454964402431814519e-02,-1.151953321189851023e-03,-9.867388919617655837e-03,-7.973599925056565688e-03,-8.521439120404596460e-03,7.547442432273420310e-04,-4.740385642145163170e-03,-1.433160388413549046e-04,2.887383735791307967e-03,6.039359244062956697e-03,1.909857876309952818e-03,-3.537484267695958744e-03,5.162542975636683421e-03,5.863048461090829624e-03,1.032494058101269922e-02,2.312566258505032932e-02,2.253899494474443516e-02,2.191755776512597023e-02,1.551398661471222080e-02,1.906767747218853296e-02,1.827780970084365297e-02,1.609336555007915073e-02,1.956226335285941517e-02,1.679939265364278206e-02,2.140002489097797903e-02,1.851139209868755964e-02,7.449533227543691724e-03,1.447346616928598534e-02,1.621064209944932111e-02,2.110194068897767311e-02,2.051735135527591250e-02,2.059372254468775851e-02,2.174921628483131308e-02,2.860572303342728481e-02,1.684534537971937515e-02,1.386927263402873423e-02,1.128164809063827512e-03,-1.024558262241206680e-03,-7.511603318487105772e-04,-6.694843216939590442e-04,-1.005869398674041426e-03,-5.023566514583494881e-03,2.087604757768115032e-04,-4.951399170623377831e-03,-7.022977792814954004e-03,1.788471907128133488e-03,-1.675174687289988354e-03,3.068948643158408420e-04,-1.257247707240928113e-03,1.211642713793469397e-03,-2.312525936701160818e-03,-3.544413277039547717e-03,7.053532041889933307e-04,-5.618009068404217383e-03,1.385599440744253539e-03,-3.270856236542463939e-03,6.851837943920944390e-04,-7.658007985376488400e-03,-5.655826340201655991e-03,-8.126002171999659532e-03,-1.254999440391741002e-02,-1.629187643746905084e-02,-1.208011807451379351e-02,-1.787992742631492465e-02,-1.590247869834178138e-02,-1.083642958335093512e-02,-1.108321394103750288e-02,-8.053477685066706346e-03,-6.464703533964237872e-03,-6.804993213697440452e-03,-9.474033435471648085e-03,-2.794927215301367448e-03,-2.900045844314481144e-03,-8.055227267605085534e-03,-1.749839283856346409e-03,1.960590338829900237e-03,-5.780155769566052738e-03,-1.164269312513533175e-03,-6.478787983183755504e-03,2.439265894711983677e-03,0.000000000000000000e+00
4.401007611311236190e-03,2.717103327958201187e-03,-5.500891088798577806e-03,-7.379536033843378962e-04,7.970165121805795894e-03,2.675223672711854114e-03,-5.163658782534158789e-03,-7.047807341367124355e-03,-5.220403478933808607e-03,-2.922681359219006861e-03,-1.976778361226409677e-03,-4.801517456969084038e-03,-8.122829271230485801e-03,-7.500158888790174963e-03,-9.682618000736657737e-03,-1.571580860749353589e-02,-1.091956274077472179e-02,-1.389239029676050431e-02,-1.872042102412589323e-02,-1.324111047690556923e-02,-6.210180760362993095e-03,-9.442261087868674546e-03,-1.283476664692530418e-02,-1.225727416269660648e-02,-5.280697803457690132e-03,-2.856598550499254595e-04,2.547706255819790974e-04,2.551732550630059042e-03,3.457332212423316811e-03,-1.296305886075043400e-03,-5.463596513107933997e-03,-2.529464296875447550e-04,-9.340270748216791818e-03,-6.714004320258354537e-03,-1.074991157802686684e-02,-9.312535607983766020e-03,-5.153117953467331591e-03,-1.137001553723542176e-02,-1.013103091205301565e-02,-1.083452718402648680e-02,-1.275998901480079710e-02,-9.208002704293472354e-03,-8.735940796440334888e-03,-1.223419161572712396e-02,-8.221023885792631131e-03,-6.446027131262308321e-03,-7.071359771190235954e-03,-3.905762125055401920e-03,-4.382001799151814120e-03,-4.819425284046369336e-03,-1.154712201978236666e-02,-7.345360109993501717e-03,-2.241332426666794737e-03,-3.973287689939423127e-03,-4.603218149578444315e-03,-1.139329381729790045e-03,1.556620305166357774e-03,7.537524301454066010e-04,2.956612020503941165e-04,-5.091905826492501043e-03,-1.174376744313421423e-03,5.515733230902526848e-05,-4.338297857608885456e-03,-7.624549655068876310e-03,-9.456591667225587800e-04,-5.065094172728736716e-03,-5.211109156188932674e-03,-1.233331272458544799e-02,-1.654628461963763035e-03,4.574132209065216921e-04,-3.988612949115721666e-03,-1.471403253458543900e-03,-2.345286498771624508e-03,7.727837837840025211e-03,-5.785474919386517957e-03,-8.757560649580510212e-03,-3.147286637519509413e-03,-1.058194416544131801e-02,-3.048396767066931766e-03,-6.651014110047702085e-03,-1.809772020237778931e-02,-1.230464943446016486e-02,-1.454367369336332684e-02,-1.552671570952607674e-02,-1.724935545506771015e-02,-1.456308806063916737e-02,-1.007529233954437484e-02,-9.839832693528545102e-03,-8.080075064411757976e-03,-9.284478922361552242e-03,-2.387513684357466057e-03,-8.786543232771427741e-04,-2.501817578821032267e-03,4.233065874576748093e-03,-4.958595470623052351e-03,1.918857693835199034e-04,-5.693362715756471876e-03,7.797917900790663978e-03,-1.158126163077987866e-02,0.000000000000000000e+00
2.303337754425876724e-03,-6.844400290217555333e-03,-3.621691525600258862e-03,1.000054360145489693e-02,8.790042999547623137e-03,-2.192777123919702545e-03,-1.759810133328760032e-03,-7.644020136063394344e-04,-2.682064518770893059e-03,-2.453953121709019202e-03,-4.022957996233926157e-04,5.593535307735117076e-03,4.224042710193292097e-03,7.494016569478770609e-03,1.229827300009582285e-02,1.706397693754571621e-02,1.829558190030085296e-02,2.075110300526440688e-02,2.442977136521751538e-02,2.571869899066666840e-02,1.796423521891901687e-02,2.251890560395929802e-02,1.878318796599105778e-02,1.577550974657448285e-02,1.484908251148569537e-02,1.110479112008772029e-02,-1.273017595322154839e-03,-4.299685289577270288e-03,-1.373917016274484038e-02,-1.243429262826277124e-02,6.160073228009619282e-03,6.657931984535902202e-03,-5.525152489913968956e-03,1.751063880744589858e-03,-7.486226201934872808e-03,3.780712268865470994e-03,-7.057499817902184412e-03,-6.363542898541156220e-03,-1.165323348250173197e-02,-7.713181198029176767e-03,-1.066166161848047106e-02,-1.146055453840883268e-02,-1.508865517771624219e-02,-1.207145372898518754e-02,-1.402453274719222230e-02,-8.564292271392501613e-03,-8.348347215857938181e-03,-1.961340404107034946e-02,-7.016976840322484629e-03,-1.131178962663874181e-02,-1.561343892697467962e-02,-3.027315773121169989e-03,-1.626792534514840197e-02,-9.910176823100550966e-03,-9.731213913926055337e-03,-8.825575404090114234e-03,-1.140884079718355350e-02,-5.662467619989728848e-03,-6.290758989730031898e-03,-3.839847754083713406e-03,-9.554270670384163236e-03,-8.509353171145582831e-03,-9.581759141470694990e-03,-6.871591063423247367e-03,-1.326330920838643748e-03,-2.670194607046788137e-03,-8.859859222450113328e-03,-8.016711844439748311e-03,-2.963048177330923193e-03,-2.763272077826798602e-03,-3.465435787554046933e-03,-6.142889311977630697e-03,5.128225642877570550e-04,4.412160695500658841e-03,-7.762940650063108669e-03,-4.018227339481336355e-03,-8.278418009217610243e-03,-1.319612587691648166e-02,-1.211279995144133072e-02,-1.596897108173409713e-02,-1.038820583375166251e-02,-2.130067329707798982e-02,-1.126001674880065459e-02,-1.549814537065455876e-02,-1.313840813043035648e-02,-1.306446417508848150e-02,-1.202116909940643096e-02,-7.089098518299625715e-03,-8.196013810814566786e-03,-6.850321152913041965e-03,-7.905518423673103812e-03,4.698704624037903545e-03,-2.972537585293355371e-03,-4.173061051910911812e-03,3.072116925408284894e-03,4.870200571962201436e-03,-1.032308767519131767e-02,6.836314387245148727e-03,1.113404117364882873e-02,0.000000000000000000e+00
7.917781970821250251e-03,3.618377068066044432e-03,-4.713887350325291284e-03,-8.880893969272564067e-03,-6.675466381879603152e-03,3.899302235616835394e-03,-6.461193486429675677e-03,1.526188097949669363e-03,3.452647456642386325e-03,-6.955263450279605859e-03,-1.448296474348397542e-03,-7.028142789580150637e-03,-3.252467964028300535e-03,-1.090317427491561096e-02,-9.871343775469542184e-03,-1.329192904691007225e-02,-1.564185514002190691e-02,-1.736746132814711088e-02,-1.520593395558705700e-02,-1.637507330293333854e-02,-1.383905642052328175e-02,-1.195185466072247113e-02,-8.306395993791395801e-03,-6.391617836181584522e-03,-5.136439684161789310e-03,-1.619877601241384839e-03,2.405836552350992211e-04,-1.565155338601913258e-04,3.096316967267245465e-03,3.731375337061880459e-03,-4.531118133399796195e-03,-2.151819652032701397e-03,-7.369549872435340529e-03,-5.860194469971485333e-03,-8.902179325059152853e-03,-6.088698800063305563e-03,-1.271550222854558355e-02,-1.387899086015268076e-02,-3.032316533552667937e-03,2.724026921711251970e-04,-3.293379665976648319e-03,-4.163973305492707153e-03,3.753922012056979361e-03,4.468684781961936394e-04,1.559883507444840244e-03,-5.143331555909823284e-04,5.328240234292580708e-03,2.070201313535844495e-02,1.437034058433061222e-02,1.653047905381116109e-02,1.952281461036379367e-02,1.759016053242152752e-02,2.301452925786604334e-02,1.771728712695812974e-02,1.489334207394146271e-02,1.579707241168847726e-02,1.431633342232454045e-02,5.484964649752775180e-03,1.169565865195077402e-02,1.237828948011300730e-02,1.913775704181845672e-02,2.505103729016866509e-02,1.899980997310759742e-02,1.522697383764090411e-02,1.338675458698462134e-02,1.554302666199200954e-02,1.786232058282137547e-02,1.859675139348284517e-02,6.442254831714495575e-03,4.164892224321156168e-03,6.494729356089642448e-03,-4.202525733394938887e-03,1.989406333041290279e-03,-4.033225742141378391e-03,6.647826183369088919e-03,7.911863560800263748e-03,1.269793077598526873e-02,1.390204912580977024e-02,1.743656799167996388e-02,1.915933297246565081e-02,1.488133083131980283e-02,1.781422250950105701e-02,-1.634853048795036068e-02,-1.393944834267819496e-02,-1.102753976700663989e-02,-7.642840030455063521e-03,-8.932852512490379801e-03,-6.838741093861501648e-03,-8.013166544800489829e-03,-7.510325119531928613e-03,1.212251123100368784e-03,-3.512650589921741204e-03,-5.665385433818333465e-04,-2.451441649915808187e-03,3.809167201677332408e-03,8.601535527245960863e-03,2.889245299450224087e-03,1.078111267899723412e-02,-1.043547632737984628e-02,0.000000000000000000e+00
-2.778704744684008148e-04,3.818829477012656085e-03,2.277503747272225602e-03,-1.143316197386032637e-04,-4.501157523132246928e-04,-6.538241546325328050e-04,-2.226509705463063614e-03,-4.413289486809942111e-03,-1.019364212773190767e-02,-3.065775975722526830e-03,-9.452007279157230435e-03,-4.574503813559197170e-03,-1.366007261913335276e-02,-4.511576369171189059e-03,-1.269296528914886334e-02,-1.379490164950697949e-02,-1.028576607941676137e-02,-1.118183850212980598e-02,-1.535600107970006532e-02,-1.404744079622432390e-02,-1.050358118073313127e-02,-1.577918741177463183e-02,-7.123961206135462701e-03,-9.298774295475570328e-03,-1.130299017292637868e-02,-1.962326239236694171e-03,-9.819994662684670885e-04,1.901565705674510389e-03,1.422190479096180305e-03,1.033986556622191241e-03,-4.627061938854611263e-03,-7.386919693462405158e-04,-7.021686177694582212e-03,-1.178077521444816610e-02,-7.272558239977298597e-03,-7.473950616911705785e-03,-7.235173320037392546e-03,-1.672612797559926145e-02,-9.131237852020863965e-03,-3.715092418361211259e-03,-1.089887726937619275e-02,-1.416583469947922842e-02,-9.880360699994022305e-03,-1.319627040230300467e-02,-9.889506036872183423e-03,-7.435791307693027929e-03,-4.778512825367562875e-03,-1.203778259443049822e-02,-1.169315135498600819e-02,-6.677667265723915939e-03,-1.517355186344114190e-02,-1.717802263044364980e-02,-1.503532413574672384e-02,-6.909226316919711043e-03,-9.897962183857248603e-03,-8.898672801016525510e-03,-1.111421872781637871e-02,-7.578910526755360151e-03,-7.651638605581028568e-03,-5.015009704255722275e-03,-6.003979076121764707e-03,-1.135491421424355239e-02,-1.102456204288067114e-02,-7.885448956623731381e-03,-6.780218320615467517e-03,-4.892332487044233173e-03,-2.904381256786576094e-03,-1.394635551981512032e-02,3.392218807695876557e-03,1.960379197977046715e-06,9.737706808825585120e-03,-1.943118724654394405e-03,4.179574127841127686e-04,-1.171493425226020381e-02,5.082814225091124294e-03,9.407146140928430295e-03,9.374563235280663695e-03,1.471764710277981801e-02,1.617810287836482855e-02,1.860574958967477557e-02,1.489336443153493200e-02,1.921767238243230619e-02,1.336254883080888883e-02,1.531378891071794035e-02,1.027591428431847038e-02,1.115612576987152008e-02,8.204154237568022506e-03,4.844481340956345930e-03,3.923191974896762628e-03,3.738114553809405733e-03,2.462811139436543121e-03,3.591975581144938451e-03,-6.774501225068534603e-03,7.240367436702054016e-03,-1.762348251897977690e-03,-2.241347961696057729e-03,3.812339325377397860e-03,-5.803275662741361890e-03,-1.203852216391125898e-02,0.000000000000000000e+00
