s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
5.664959028992000434e-04,0.000000000000000000e+00,1.465503189878231138e-03,1.343454602458216129e-04,0.000000000000000000e+00,1.882676114506653953e-03,0.000000000000000000e+00,5.101891597320107330e-03,0.000000000000000000e+00,3.088490840731566989e-03,1.933657620183826253e-03,1.183735014611497771e-03,0.000000000000000000e+00,7.958416566950010651e-03,0.000000000000000000e+00,3.807150428380701168e-03,0.000000000000000000e+00,2.423556877017757349e-03,4.926374713652648119e-03,7.215636270990977152e-03,4.092272349285386301e-03,7.737913133590346160e-03,7.797819294299124238e-03,2.380319856119111899e-03,5.328311705285637689e-03,7.135862699052530900e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.207159483030522118e-03,4.684160991502844817e-03,0.000000000000000000e+00,8.298722991680496097e-03,1.204382481834120888e-02,1.629035595036354422e-02,9.305937105415607036e-03,1.357704461804720708e-02,1.331306648904223566e-02,1.345063808447338749e-02,1.463735436928165212e-02,7.576296590296682787e-03,0.000000000000000000e+00,1.328781596672570786e-02,8.078361391270161285e-03,7.187874866808191543e-03,6.277272309657688787e-04,1.025662067103602637e-02,7.880678783026479062e-03,9.940731544849756851e-03,1.379040197646802524e-02,9.839939843044431811e-03,1.585002499983509394e-02,1.140667625944374874e-02,1.197607920871915366e-02,1.043578180110238396e-02,9.947587900666021721e-03,1.627855757600243924e-03,5.618297817123973914e-03,1.710487868456345151e-03,6.730932784648757661e-03,1.275958547000205501e-02,9.297156322857547117e-03,5.631898846946953308e-03,7.807837716750087864e-03,1.194968645865379653e-02,1.122508295416024815e-02,1.337140122255325858e-02,5.240717807765971070e-03,0.000000000000000000e+00,1.511150321562015897e-03,0.000000000000000000e+00,1.362565005788934913e-03,0.000000000000000000e+00,3.533880884970780345e-03,0.000000000000000000e+00,5.786353214949607748e-03,4.455012341843311852e-03,8.549935991028767557e-03,6.253823410288406048e-03,3.600247305867443348e-03,6.857432138742486361e-03,5.600158011122680080e-03,7.620524457632227300e-03,0.000000000000000000e+00,1.425713773967107745e-03,0.000000000000000000e+00,4.850743809879265456e-03,7.094396072188091651e-04,1.660781983964243480e-03,0.000000000000000000e+00,1.817918173071392252e-03,3.176694740414598428e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.716258614294585705e-03,4.436421439971804936e-03,9.751635648346246299e-04,2.087753304660155962e-03,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.341519999514974498e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.896689519124666878e-03,-1.850796208592263292e-03,0.000000000000000000e+00,-1.476144592093983632e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.102962151794771084e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.994861765175094059e-03,-6.773493289823392938e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.901976252761800740e-03,-2.146167545572803120e-03,0.000000000000000000e+00,-1.945175811043448055e-03,0.000000000000000000e+00,-2.290459610275050878e-03,-9.068263723576634391e-03,-1.714320221349036055e-02,-1.576086566462474997e-02,-2.096449229660474894e-02,-2.786078106004696853e-02,-2.166067704064286725e-02,-2.838885838966412334e-02,-2.170116891113946928e-02,-3.015548482038868730e-02,-2.091292583192805310e-02,-3.977706341471635987e-02,-2.333406085643834060e-02,-1.813638400191994876e-02,-7.580600746410870450e-03,-2.699264646987271921e-02,-1.743170598609564137e-02,-1.714796324082420997e-02,-1.422177888533971910e-02,-1.383944543576678607e-02,-1.204337216852323367e-02,-1.070616105588909593e-02,-2.834446135601260269e-03,-6.034653379931864681e-04,-5.503009280792274527e-03,0.000000000000000000e+00,0.000000000000000000e+00,-5.223398736056150682e-04,0.000000000000000000e+00,0.000000000000000000e+00,-4.027069300094724552e-03,0.000000000000000000e+00,-4.041833535946531830e-03,0.000000000000000000e+00,-5.358798632441562348e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.267145454961746132e-03,0.000000000000000000e+00,0.000000000000000000e+00,-4.356480765960180079e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.245548761902533386e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.071916071341106669e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.462404215912044947e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.669441003862521221e-03,0.000000000000000000e+00,-4.434437805741126004e-03,-3.694511882879267239e-03,0.000000000000000000e+00,0.000000000000000000e+00,-5.976342354207984063e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.028439470637307687e-03,0.000000000000000000e+00,-1.080156325935006933e-03,-1.344792533257178901e-04,0.000000000000000000e+00,-1.544814827603534354e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.143557593962091223e-03,-5.502883620891983740e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.028856594661058194e-03,-3.816321112913530211e-03,-1.705145542399335440e-03,-4.568566895180488363e-04,0.000000000000000000e+00,-1.039317166704044337e-02,0.000000000000000000e+00,-3.547629922787443740e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.254944008403694453e-03,0.000000000000000000e+00,0.000000000000000000e+00,-5.541218619763074726e-04,0.000000000000000000e+00,-2.838842952556465404e-03,0.000000000000000000e+00,-5.626541256162166660e-03,-6.416089837613707381e-03,-8.789079169620094001e-03,-7.842084378525751576e-03,-6.050679852374257761e-03,-8.720725242393392168e-03,-8.421296764641652069e-03,-2.890854409276965784e-02,-1.579172045891502618e-02,-1.085899588908794539e-02,-1.973270950594618531e-02,-2.675802744925220508e-02,-1.187282682482552684e-02,-1.895487501581881798e-02,-1.716525671268925510e-02,-2.585481394911584574e-02,-3.108040307464433882e-02,-2.403371579469877270e-02,-1.952033675248235345e-02,-2.080456936708893062e-02,-2.627206683777722623e-02,-2.363473923124193715e-02,-1.492485422664724740e-02,-1.814368512953169754e-03,0.000000000000000000e+00,-1.481134688879535716e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.829965381949701292e-03,0.000000000000000000e+00,-1.540137972189423166e-03,-3.243413391240991539e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.671844983144873342e-03,-1.212283574411535461e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.075320351739550082e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.838465633696676010e-03,-2.387997815210525163e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.093750646571357343e-03,0.000000000000000000e+00,-2.298376067476737283e-03,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.612365441649117770e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.615719944629283589e-04,0.000000000000000000e+00,9.664630681851776872e-03,4.383952433891447065e-03,6.317507938831290470e-03,1.303674203303295531e-03,8.364134307440429517e-03,8.157729773100363957e-03,1.206815096929869657e-02,5.251950997303495017e-03,3.419761144872968117e-03,3.089256796376782521e-03,7.355758816194379879e-03,9.115612046710297456e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.046921550343974605e-03,1.963462233782214961e-03,9.545189135069520603e-03,5.813363339176397249e-03,1.503810600226723748e-02,1.288382266244431085e-02,1.565990942118572482e-02,1.375224254371387733e-02,1.567789833137955835e-02,1.151921773951308792e-02,7.225029249000203269e-03,1.572515631423151983e-02,1.175847066381480177e-02,1.669301528720085193e-02,9.811962505499038922e-03,6.705448015544401841e-03,5.947473902858546602e-03,1.223352898625607033e-02,1.634875452508610660e-02,7.918953508790516072e-03,1.891009748818439640e-02,9.155126338240449080e-03,1.721101437488986585e-02,9.984446860226703357e-03,5.301427487823917595e-03,1.147079738467807197e-02,6.842614761374210541e-03,6.748855273801146470e-03,6.876855967791972724e-03,7.575303300618396740e-03,2.432523483150733634e-03,1.248026256116840926e-02,1.027185108914352440e-02,0.000000000000000000e+00,2.566666096170455713e-03,5.680099068046728927e-03,9.858591955784479222e-04,4.814007971505357419e-03,0.000000000000000000e+00,5.855103347825185711e-04,3.430334659300704470e-03,0.000000000000000000e+00,1.393149040775337744e-03,0.000000000000000000e+00,2.116171485302964506e-03,5.019916072527608186e-03,0.000000000000000000e+00,9.605003185387983589e-03,5.717649529547452758e-03,0.000000000000000000e+00,3.721397525296488151e-03,5.355979130135135602e-03,4.536124383386186398e-03,7.240566225601430261e-03,9.838730808147677642e-04,5.612360337884314543e-03,4.008814894885248670e-04,1.148164097239501302e-03,2.605877454465027609e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.295536291152921127e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.873545585511949607e-03,0.000000000000000000e+00
6.648147476459528166e-03,0.000000000000000000e+00,1.653288101567063073e-03,4.197726362761278196e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.412293142710742799e-03,0.000000000000000000e+00,1.471764510425320471e-03,3.194986707294414363e-03,0.000000000000000000e+00,2.868144237031453048e-03,0.000000000000000000e+00,6.709914532458470526e-03,5.554756082786868610e-03,2.480436791323478024e-03,5.343427649176168970e-03,7.863891238238510106e-03,3.957720465241552389e-03,6.460738692309231368e-03,9.880851659228907097e-03,7.283768473342694394e-03,7.152841949773156016e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.559438015412752510e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.018978179500465209e-03,2.982862679285283591e-03,4.604465419429753376e-03,4.190775472123715872e-03,1.238505843879422058e-02,5.631024704089208910e-03,2.279358088812606306e-02,8.123729340560555123e-03,8.886276672327865500e-03,7.754617404933807079e-03,7.572726927040838302e-03,4.799778844193657024e-03,7.263251169837491375e-03,1.095146363170973469e-02,5.254269312702883332e-03,1.607525411034274598e-03,6.384182445940952966e-03,1.345652879549909253e-02,9.223300837626902116e-04,1.361637752024544290e-02,1.254401346280502316e-02,1.049713780263330024e-02,1.143256613747787448e-02,8.974018956941290370e-03,1.294122829442188871e-02,1.326383456637722502e-02,1.265673834700363487e-02,4.044758397364067726e-03,1.566679799202641901e-02,6.048178054527474090e-03,5.714521762801655358e-03,1.633111558514774644e-02,1.257055014699882609e-02,1.417977552583817025e-02,5.135089973983295725e-03,1.115284983828475351e-02,1.234168129819914264e-02,8.740187991876750828e-03,1.996600314445852453e-03,0.000000000000000000e+00,8.579782093551716060e-03,2.658991029446319820e-03,6.087626701997105039e-03,0.000000000000000000e+00,3.287265017233129138e-03,0.000000000000000000e+00,4.082420493550453777e-03,0.000000000000000000e+00,1.170383197628728153e-03,6.833349581873572609e-03,5.923125381288266156e-03,3.564594117536836956e-03,2.874151745966255916e-03,5.331006619546549592e-03,1.818975216211243806e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.379460885825472882e-04,6.316093373084405438e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.076649412876152456e-04,0.000000000000000000e+00,1.346860560901830262e-03,2.668998115352483325e-03,1.273394696624685629e-03,4.443462792033114894e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.275992546928562454e-03,0.000000000000000000e+00,-4.491154885157506993e-03,0.000000000000000000e+00,-3.531798067054156554e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.604419901139258031e-03,0.000000000000000000e+00,-1.786315974150191194e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.596579549570635428e-03,0.000000000000000000e+00,-5.785628750570537271e-03,-4.919597949212206611e-03,-6.130739392190852344e-03,-8.159506203695432447e-04,0.000000000000000000e+00,0.000000000000000000e+00,-8.366753506566515508e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.743307418936941966e-03,0.000000000000000000e+00,-4.294393210609065425e-03,-7.436577232311232521e-03,-3.221427110338223598e-03,-1.924504234376898243e-02,-1.667593357340936555e-02,-1.910027697383534506e-02,-1.561630596746732547e-02,-2.235274603269627944e-02,-2.767579229937288526e-02,-2.091198554397322162e-02,-3.101345941755025148e-02,-2.794469762967899396e-02,-1.726238113943179275e-02,-2.069101063410801189e-02,-2.334748908154088420e-02,-1.464772919359266790e-02,-2.008542814629846185e-02,-2.490466515616045901e-02,-2.753596857823585944e-02,-2.042182901412118584e-02,-8.776750608721933800e-03,-8.497850149096673744e-03,-6.320567866515611893e-03,-8.622611148793431213e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.319820363068286651e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.140963667857940067e-03,-2.455107054935503838e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.713557116252501650e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.418273225235259560e-03,-1.880735096507907267e-03,-9.060367300127852852e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.440772759521231405e-03,0.000000000000000000e+00,-1.140388258408786548e-03,-1.177232878989908915e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.804961249944891932e-04,0.000000000000000000e+00,-5.258509814133893734e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.117353152738380762e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.763929546594207413e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.375195107428125507e-03,2.519061580278616347e-03,1.905575135314509228e-03,0.000000000000000000e+00,1.946580609812328944e-03,3.113602310593419076e-04,9.692002838501342921e-04,4.029385870366733458e-03,0.000000000000000000e+00,5.381198506833897999e-03,9.507217419745379178e-03,1.077410619249901877e-02,0.000000000000000000e+00,8.366165944083788636e-03,7.988418038089053347e-03,4.078885942345476801e-03,1.182424156903284784e-02,3.482786055934664754e-03,4.920112068548337936e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.187959039408399087e-03,4.042167045989274177e-03,3.028384890583161321e-03,6.457695254001277751e-03,1.678647895011715907e-02,1.384220811992154659e-02,1.183034782838125049e-02,1.312286744629247159e-02,1.205519027217841557e-02,1.057758526311533033e-02,7.956331509113390849e-03,1.091449419794391501e-02,1.405366974920413056e-02,1.363308494929911865e-02,1.560589330947093067e-02,1.144332237112916789e-02,6.539095531295838898e-03,8.800753074825452826e-03,1.125420158102866455e-02,8.245021054512267911e-03,1.198218333389788892e-02,8.602255967354126981e-03,1.227154541937350296e-02,6.788565370700671425e-03,2.711389421774554331e-03,7.077048662349580410e-03,6.210957135631037240e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.023106287637009018e-03,2.792858750063374751e-03,1.041813198196962775e-02,7.182441735906819336e-03,7.496394676286196289e-03,1.422754556125734038e-02,1.267283468175307848e-02,1.107906217195313986e-02,1.164961101676071503e-02,0.000000000000000000e+00,5.128501175419686309e-03,2.909229801544562649e-03,0.000000000000000000e+00,3.445766569963600034e-03,1.893480666661168446e-03,2.920422938353511855e-03,1.811475182541846113e-03,3.487713375662365722e-03,3.188065019029783301e-03,9.619476006355300035e-03,5.019729786851279130e-03,4.037513853137400521e-03,5.222410634031279114e-03,4.384793172425800745e-03,7.229279864190085725e-03,7.917547562313647508e-03,4.643300082408721718e-04,3.577395463863763947e-03,0.000000000000000000e+00,8.663422595006839422e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.191065040843542810e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.494455687298227531e-04,3.419810520391974862e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.769158818237632935e-03,0.000000000000000000e+00,8.091628490718122402e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.781708993587275747e-04,1.401839233920981753e-03,3.395198680624045284e-03,4.957490251781201951e-04,0.000000000000000000e+00,2.411077835686743082e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.057737962477531268e-02,3.057697797598648431e-03,4.466855945747864182e-03,0.000000000000000000e+00,5.511518742895550604e-03,3.124132365634101072e-03,0.000000000000000000e+00,6.507681830064490636e-03,7.523063652832652493e-03,3.706327673955640140e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.402780743996544233e-03,7.347932421221161844e-03,0.000000000000000000e+00,8.661552720674939310e-03,1.232351713323889819e-02,8.793140836300124275e-03,1.522312838658118270e-02,1.457954616610300513e-02,1.440365949537741885e-02,1.800669084897567329e-02,6.910934114245370630e-03,2.076992287827307548e-02,1.432364804986811617e-02,7.457128405366114307e-03,3.513143030331483674e-03,9.456199679082104986e-03,8.196741363075299436e-03,1.067999929960668226e-02,1.506767972777899728e-02,1.374485528161193543e-02,1.081905927277667864e-02,1.336800620264979797e-02,9.554767802436615887e-03,3.362728691782175539e-03,1.157524026932166272e-02,1.098666988824597776e-02,7.754286028711560030e-03,1.516562203826975208e-03,1.413506694209958753e-03,1.095890443014673615e-02,1.174049744873121442e-02,1.688804810620034291e-02,9.989073379902790872e-03,1.045269484735224241e-02,1.161891585343766305e-02,1.763836591681274685e-02,9.828414167156570430e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.622105924295312585e-03,0.000000000000000000e+00,9.483566141773577818e-03,0.000000000000000000e+00,2.831012440546199285e-03,1.169895975437661856e-03,5.178159423285654678e-03,6.004062112737670875e-03,3.539739335700821388e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.372649657582022842e-03,1.700815601367436369e-03,6.031422075123873960e-03,3.067658175279243393e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.149911328449438663e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.439299597025282318e-03,0.000000000000000000e+00,1.646800888876476243e-03,0.000000000000000000e+00,2.926980314335025923e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.423444586981294613e-03,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.849508368477452314e-04,0.000000000000000000e+00,0.000000000000000000e+00,-5.760384453879434374e-03,0.000000000000000000e+00,0.000000000000000000e+00,-3.503595316646304636e-03,0.000000000000000000e+00,-4.838451849318581299e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.300311386124540607e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.604558861746498685e-03,0.000000000000000000e+00,-7.211327314908463904e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.135616090154881852e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.839872376079180263e-03,0.000000000000000000e+00,-1.229835264356866562e-03,-3.583105661458906369e-03,-3.215552209273560280e-03,0.000000000000000000e+00,-6.743413936755977660e-03,0.000000000000000000e+00,-1.243325257027919073e-02,-1.668387946366133717e-02,-2.092214749848480757e-02,-2.081749500983837153e-02,-2.871923707332786971e-02,-1.123596720597246079e-02,-1.933145235797497502e-02,-2.647772587266433719e-02,-1.812547048185266657e-02,-5.543486005068522238e-03,-2.435186216656971131e-02,-1.326500495984500941e-02,-2.698117790311510555e-02,-3.251763642510338559e-02,-2.647645023668519088e-02,-2.800749515928913774e-02,-1.506085732206421945e-02,-2.001339317950463076e-02,-9.463741665758581417e-03,-5.600520807636157061e-03,-7.058707734598504424e-03,0.000000000000000000e+00,-3.745714422477869343e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.104240942362040283e-03,-4.818367976312798451e-04,0.000000000000000000e+00,-3.580321968850691539e-03,-1.115533839262513975e-02,-4.081376424243476561e-03,0.000000000000000000e+00,-1.064106510967145758e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.377471783098699526e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.303273710405928307e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.798002853587679764e-03,-1.390969443363587743e-03,-3.280534657652323105e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.776524166527892024e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.109062667206876684e-03,4.384483143737460953e-03,0.000000000000000000e+00,2.254929600079585983e-03,2.528815467588117760e-03,1.818015104008790378e-03,4.964221030864301998e-03,5.902342276645339975e-03,0.000000000000000000e+00,5.018165267559243636e-03,2.726653848330165553e-03,5.367778365992732781e-03,2.381694579316945282e-03,3.946120194609437082e-03,7.103729503570332601e-03,5.810906547976661674e-03,6.229561233657698871e-03,5.622206681602286149e-03,6.147264352223041906e-03,5.227666724025394063e-03,0.000000000000000000e+00,3.193063826094320011e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.906132520830431415e-03,1.897972091766416888e-03,2.739023936172854667e-03,1.188059386961620723e-02,1.396877757929664010e-02,5.761481664068719005e-03,2.017317892897048381e-02,1.033867346749602067e-02,2.897186128771822577e-03,1.325504649478657232e-02,6.831224353444416419e-03,1.318893725058443989e-02,9.455689971007853745e-03,1.883580218911601323e-02,9.265262504955643075e-03,1.838701466689438707e-02,1.066400076989981738e-02,7.618787213158131899e-03,7.831320713110972304e-03,1.029521746704924884e-02,1.810715021005693953e-02,1.238569607255593508e-02,1.060396320805777684e-02,7.215677578001594705e-03,6.483612134594300691e-03,1.279056434583051780e-02,1.432104691375025302e-02,5.619859937288834706e-03,4.460594310695134568e-03,2.324850111910711434e-03,8.291692600583933093e-03,1.285662602572981705e-02,1.705969879842227435e-02,4.095139243735855528e-03,5.647582769609527098e-03,0.000000000000000000e+00,4.474235641511052630e-03,5.411437383371825449e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.045491752610918007e-03,0.000000000000000000e+00,2.976570900189212665e-03,2.320827806622287326e-03,3.644434474249474976e-03,0.000000000000000000e+00,6.329832056118749051e-03,0.000000000000000000e+00,8.512013481844753898e-03,7.264978084272179573e-03,5.343038489967848886e-03,7.726651800552698096e-03,0.000000000000000000e+00,8.711801887451575688e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.326047500747539257e-03,0.000000000000000000e+00,1.368708756107950286e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.725640088063640221e-03,3.523867425636595385e-04,2.173263083102949800e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
