s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
6.785190198570489883e-03,8.192394860088825226e-03,7.799074985086917877e-03,7.311819586902856827e-03,6.691003218293190002e-03,7.577219512313604355e-03,7.263310253620147705e-03,7.051344495266675949e-03,6.922340486198663712e-03,7.047412917017936707e-03,7.656333036720752716e-03,7.101271301507949829e-03,7.811120245605707169e-03,6.887830793857574463e-03,7.142870221287012100e-03,7.108759135007858276e-03,7.227058522403240204e-03,7.329829037189483643e-03,6.243634968996047974e-03,6.644221022725105286e-03,7.234479766339063644e-03,6.919509265571832657e-03,6.930802483111619949e-03,6.994327064603567123e-03,7.953931577503681183e-03,6.721260491758584976e-03,7.349558640271425247e-03,7.440976798534393311e-03,7.454152684658765793e-03,6.635770201683044434e-03,6.527012214064598083e-03,7.251362316310405731e-03,6.918512750416994095e-03,7.037652656435966492e-03,6.534226704388856888e-03,8.219292387366294861e-03,6.900491192936897278e-03,7.867775857448577881e-03,6.883549038320779800e-03,6.925399880856275558e-03,7.854149676859378815e-03,7.905960083007812500e-03,6.664803717285394669e-03,8.020350709557533264e-03,7.143962662667036057e-03,6.937961094081401825e-03,7.348340470343828201e-03,7.740879897028207779e-03,6.861727219074964523e-03,6.882343441247940063e-03,7.256125099956989288e-03,7.124446798115968704e-03,7.129535079002380371e-03,8.011546917259693146e-03,6.857939064502716064e-03,7.740580011159181595e-03,7.141406182199716568e-03,8.161805570125579834e-03,7.850557565689086914e-03,6.855565588921308517e-03,6.307522766292095184e-03,7.036549504846334457e-03,7.970941253006458282e-03,7.608170155435800552e-03,7.758197374641895294e-03,7.964491844177246094e-03,6.043215747922658920e-03,6.891468074172735214e-03,6.988507229834794998e-03,6.688309833407402039e-03,7.149081211537122726e-03,6.325786467641592026e-03,7.446585688740015030e-03,7.638562470674514771e-03,8.601109497249126434e-03,6.719764322042465210e-03,7.033918052911758423e-03,7.406154181808233261e-03,7.170914672315120697e-03,6.669676396995782852e-03,7.391180377453565598e-03,7.076740264892578125e-03,7.304638158529996872e-03,7.318817544728517532e-03,6.899102125316858292e-03,7.272221148014068604e-03,6.429664790630340576e-03,7.247867994010448456e-03,6.695302203297615051e-03,7.378464564681053162e-03,6.750639528036117554e-03,7.924483157694339752e-03,6.942236796021461487e-03,7.676048669964075089e-03,7.100522052496671677e-03,6.679458543658256531e-03,7.075025234371423721e-03,6.833453197032213211e-03,7.435907609760761261e-03,7.324342150241136551e-03
8.507376536726951599e-03,6.671572104096412659e-03,6.623124238103628159e-03,7.103759795427322388e-03,6.572525482624769211e-03,7.220837753266096115e-03,7.744044531136751175e-03,7.516427431255578995e-03,7.646199781447649002e-03,7.016265764832496643e-03,6.949196103960275650e-03,6.677560042589902878e-03,7.571412716060876846e-03,7.928799837827682495e-03,7.648566272109746933e-03,7.547516841441392899e-03,7.806815672665834427e-03,7.075352594256401062e-03,7.464581169188022614e-03,8.033867925405502319e-03,6.920010317116975784e-03,7.334125693887472153e-03,7.918738760054111481e-03,6.526505108922719955e-03,7.551642600446939468e-03,6.575184874236583710e-03,8.109367452561855316e-03,8.051923476159572601e-03,7.011609617620706558e-03,6.966212764382362366e-03,7.644159253686666489e-03,7.714773062616586685e-03,7.045747712254524231e-03,7.368688005954027176e-03,7.646156009286642075e-03,8.019034750759601593e-03,7.026824168860912323e-03,6.748910993337631226e-03,7.428464479744434357e-03,7.307144813239574432e-03,6.816599983721971512e-03,7.298592943698167801e-03,7.536362856626510620e-03,7.420501671731472015e-03,6.752276793122291565e-03,7.316607981920242310e-03,7.476723287254571915e-03,7.442086003720760345e-03,7.314086426049470901e-03,7.143242750316858292e-03,7.595442701131105423e-03,6.186091806739568710e-03,7.021187338978052139e-03,7.922800257802009583e-03,7.150137331336736679e-03,7.407858036458492279e-03,8.349715732038021088e-03,8.205365389585494995e-03,6.763466168195009232e-03,6.302972324192523956e-03,6.853481754660606384e-03,7.124014664441347122e-03,7.935771718621253967e-03,6.944942753762006760e-03,7.221138570457696915e-03,6.995111703872680664e-03,6.801820825785398483e-03,6.953428965061903000e-03,7.284383289515972137e-03,7.475796155631542206e-03,6.844539660960435867e-03,7.122966460883617401e-03,8.302003145217895508e-03,7.507940288633108139e-03,6.842299830168485641e-03,7.007513660937547684e-03,7.322224322706460953e-03,8.030243217945098877e-03,7.629228290170431137e-03,7.755217608064413071e-03,6.808192469179630280e-03,6.870630197227001190e-03,6.709002424031496048e-03,6.274925544857978821e-03,7.656202651560306549e-03,8.035099133849143982e-03,6.972080096602439880e-03,7.100757211446762085e-03,7.263950537890195847e-03,7.137840148061513901e-03,7.363758515566587448e-03,7.754770573228597641e-03,7.865628227591514587e-03,7.391701452434062958e-03,7.918094284832477570e-03,7.809405680745840073e-03,6.539103575050830841e-03,7.365989964455366135e-03,7.013574708253145218e-03,6.724721286445856094e-03
7.032889407128095627e-03,8.051428012549877167e-03,7.360109593719244003e-03,7.524018641561269760e-03,6.818446796387434006e-03,7.319881115108728409e-03,6.951638497412204742e-03,6.086581852287054062e-03,7.949444465339183807e-03,7.155156228691339493e-03,6.810991559177637100e-03,7.877981290221214294e-03,6.789593957364559174e-03,6.560640409588813782e-03,7.536427117884159088e-03,7.344446144998073578e-03,7.154444698244333267e-03,6.866785231977701187e-03,7.246108260005712509e-03,7.352171465754508972e-03,6.833682768046855927e-03,6.692219991236925125e-03,7.165304850786924362e-03,7.214298471808433533e-03,7.973026484251022339e-03,6.368466187268495560e-03,7.134657353162765503e-03,7.441783789545297623e-03,8.035570383071899414e-03,7.619742304086685181e-03,6.959385238587856293e-03,7.177850697189569473e-03,7.527604233473539352e-03,7.749631535261869431e-03,7.849810644984245300e-03,6.730616558343172073e-03,7.458161562681198120e-03,6.662629079073667526e-03,6.267229095101356506e-03,7.656366564333438873e-03,6.172898691147565842e-03,6.706343498080968857e-03,7.736325729638338089e-03,6.762204691767692566e-03,6.781199946999549866e-03,7.097980938851833344e-03,6.997609511017799377e-03,7.633597590029239655e-03,7.901918143033981323e-03,6.970657035708427429e-03,6.791958119720220566e-03,6.894043646752834320e-03,6.826812401413917542e-03,8.085170760750770569e-03,7.225112058222293854e-03,7.191595155745744705e-03,6.259900983422994614e-03,7.665200624614953995e-03,7.270541507750749588e-03,7.699045352637767792e-03,8.732702583074569702e-03,7.628903258591890335e-03,7.163280621170997620e-03,7.887740619480609894e-03,7.142626680433750153e-03,7.262409664690494537e-03,6.970944814383983612e-03,7.086433004587888718e-03,7.835660129785537720e-03,6.868980359286069870e-03,6.851478945463895798e-03,7.076153531670570374e-03,6.593918427824974060e-03,8.281946182250976562e-03,7.280594203621149063e-03,7.142261601984500885e-03,6.640625186264514923e-03,6.308870855718851089e-03,6.697709206491708755e-03,6.968050729483366013e-03,7.733884267508983612e-03,7.353842258453369141e-03,7.240450941026210785e-03,7.235804572701454163e-03,7.126737851649522781e-03,7.710208185017108917e-03,6.882985122501850128e-03,6.812843494117259979e-03,7.466238457709550858e-03,6.731018424034118652e-03,6.955642253160476685e-03,7.891536690294742584e-03,7.110109087079763412e-03,6.439255550503730774e-03,6.961059290915727615e-03,6.840016227215528488e-03,7.160408888012170792e-03,7.657130248844623566e-03,6.878788582980632782e-03,7.083504926413297653e-03
7.827779278159141541e-03,7.374515756964683533e-03,7.428913842886686325e-03,7.558747194707393646e-03,7.244822569191455841e-03,6.257932167500257492e-03,6.762281525880098343e-03,7.131983060389757156e-03,6.156985647976398468e-03,7.978380657732486725e-03,7.039315532892942429e-03,6.213499698787927628e-03,7.809874601662158966e-03,7.845975458621978760e-03,6.462274584919214249e-03,6.269822362810373306e-03,6.551667116582393646e-03,7.347822654992341995e-03,7.354203611612319946e-03,6.593818310648202896e-03,8.177403360605239868e-03,7.561984471976757050e-03,7.089765742421150208e-03,7.799019105732440948e-03,7.413593120872974396e-03,6.766907870769500732e-03,7.579719647765159607e-03,6.763171870261430740e-03,7.509230636060237885e-03,6.058638915419578552e-03,8.176648989319801331e-03,7.282683160156011581e-03,7.713305298238992691e-03,6.452686619013547897e-03,7.220239844173192978e-03,6.309014745056629181e-03,7.570274174213409424e-03,7.186850532889366150e-03,6.570458412170410156e-03,8.447332307696342468e-03,7.125914096832275391e-03,6.741297896951436996e-03,7.971272803843021393e-03,7.265490945428609848e-03,7.171729113906621933e-03,7.012021262198686600e-03,7.616916205734014511e-03,8.095357567071914673e-03,7.150429300963878632e-03,7.207971997559070587e-03,8.013172075152397156e-03,6.460097618401050568e-03,7.174969650804996490e-03,6.807073485106229782e-03,7.248132955282926559e-03,7.279609329998493195e-03,7.666846737265586853e-03,7.473326753824949265e-03,7.214264478534460068e-03,6.617981940507888794e-03,7.163540925830602646e-03,7.437023334205150604e-03,7.178200408816337585e-03,7.414245512336492538e-03,7.943365722894668579e-03,6.995002739131450653e-03,7.151254452764987946e-03,7.343136239796876907e-03,7.607043255120515823e-03,7.299470715224742889e-03,7.690488826483488083e-03,7.778919767588376999e-03,7.600188720971345901e-03,7.244424894452095032e-03,6.657313555479049683e-03,7.858331315219402313e-03,7.702609058469533920e-03,7.429006043821573257e-03,7.465733680874109268e-03,7.405162788927555084e-03,7.668105419725179672e-03,6.812213920056819916e-03,7.562585640698671341e-03,7.160893175750970840e-03,7.493879646062850952e-03,7.037999574095010757e-03,7.478114217519760132e-03,7.882085628807544708e-03,6.853445898741483688e-03,7.355951704084873199e-03,8.107684552669525146e-03,7.526792585849761963e-03,7.781507913023233414e-03,7.820789702236652374e-03,8.317567408084869385e-03,8.111343719065189362e-03,6.201853975653648376e-03,7.321659009903669357e-03,6.818650290369987488e-03,8.250342682003974915e-03
6.684278137981891632e-03,7.280205376446247101e-03,6.888378877192735672e-03,7.548348512500524521e-03,7.159137632697820663e-03,7.320082280784845352e-03,7.704230491071939468e-03,7.600022945553064346e-03,6.745947990566492081e-03,7.448683027178049088e-03,6.765654776245355606e-03,7.429712451994419098e-03,6.926380563527345657e-03,6.137097254395484924e-03,7.039855699986219406e-03,7.588207256048917770e-03,7.743737194687128067e-03,7.731410674750804901e-03,7.269646506756544113e-03,7.747137919068336487e-03,7.540707942098379135e-03,6.100183818489313126e-03,7.520554587244987488e-03,7.817327044904232025e-03,7.404320873320102692e-03,7.175400853157043457e-03,6.772582884877920151e-03,7.628169376403093338e-03,7.501089479774236679e-03,7.054266519844532013e-03,6.892979145050048828e-03,7.058158982545137405e-03,7.910341024398803711e-03,7.720232009887695312e-03,7.278368342667818069e-03,6.956053432077169418e-03,7.113708648830652237e-03,7.856349460780620575e-03,6.920537911355495453e-03,6.994899827986955643e-03,7.097126916050910950e-03,6.734857801347970963e-03,7.058212067931890488e-03,6.547946948558092117e-03,6.440110038965940475e-03,7.700578775256872177e-03,6.709113717079162598e-03,7.104529999196529388e-03,7.010564208030700684e-03,7.593088317662477493e-03,7.068348117172718048e-03,6.789131090044975281e-03,7.825786247849464417e-03,7.472527213394641876e-03,6.535944994539022446e-03,7.264782208949327469e-03,7.946454919874668121e-03,6.401060614734888077e-03,7.667089812457561493e-03,6.646689027547836304e-03,6.769529543817043304e-03,7.581631187349557877e-03,5.917208269238471985e-03,7.402520161122083664e-03,8.287462405860424042e-03,7.886505685746669769e-03,7.093250285834074020e-03,6.742829922586679459e-03,8.454156108200550079e-03,7.826008833944797516e-03,7.756138220429420471e-03,7.164233364164829254e-03,6.922990083694458008e-03,6.805987097322940826e-03,7.889480330049991608e-03,7.126160431653261185e-03,6.956271361559629440e-03,6.634968798607587814e-03,6.403469480574131012e-03,7.203814107924699783e-03,7.277830969542264938e-03,6.525265518575906754e-03,7.385930977761745453e-03,7.794917095452547073e-03,6.851446814835071564e-03,7.131591439247131348e-03,7.610261905938386917e-03,6.603408139199018478e-03,7.493318989872932434e-03,6.271382328122854233e-03,7.130568381398916245e-03,7.581100799143314362e-03,7.023255806416273117e-03,7.558832410722970963e-03,7.520888466387987137e-03,7.092054933309555054e-03,7.404913194477558136e-03,7.416716776788234711e-03,7.311601657420396805e-03,7.579253520816564560e-03
7.653733249753713608e-03,6.737581919878721237e-03,8.121627382934093475e-03,7.219949271529912949e-03,7.157117594033479691e-03,7.620031014084815979e-03,7.308660540729761124e-03,7.281539030373096466e-03,7.838269695639610291e-03,7.531831040978431702e-03,7.911650463938713074e-03,7.191129028797149658e-03,6.944024935364723206e-03,6.479493808001279831e-03,6.910769268870353699e-03,6.326142698526382446e-03,6.572615820914506912e-03,7.431868463754653931e-03,7.671405095607042313e-03,6.907598581165075302e-03,7.443470414727926254e-03,7.779332809150218964e-03,7.413301151245832443e-03,7.193311117589473724e-03,7.501746527850627899e-03,6.197608076035976410e-03,8.373014628887176514e-03,7.180031854659318924e-03,7.799734827131032944e-03,7.469388190656900406e-03,7.239676546305418015e-03,6.679493002593517303e-03,6.776102352887392044e-03,7.219880819320678711e-03,8.079826831817626953e-03,7.359016221016645432e-03,7.502488326281309128e-03,7.398957386612892151e-03,7.217785809189081192e-03,8.197115734219551086e-03,8.072721771895885468e-03,6.984448060393333435e-03,7.201849948614835739e-03,8.111512288451194763e-03,6.770629901438951492e-03,8.016368374228477478e-03,7.864326238632202148e-03,7.437156513333320618e-03,7.722691167145967484e-03,6.980259437114000320e-03,6.734844762831926346e-03,7.129521109163761139e-03,7.161533925682306290e-03,6.829460151493549347e-03,7.453863508999347687e-03,7.905548438429832458e-03,7.072596345096826553e-03,8.026373572647571564e-03,7.176657207310199738e-03,7.313591893762350082e-03,7.360872812569141388e-03,8.025534451007843018e-03,7.631618063896894455e-03,6.447582971304655075e-03,7.391565479338169098e-03,7.532422430813312531e-03,8.604489266872406006e-03,7.115530315786600113e-03,7.192973978817462921e-03,7.736921776086091995e-03,7.212246302515268326e-03,7.206873502582311630e-03,7.576860953122377396e-03,5.914471577852964401e-03,6.395698525011539459e-03,6.991138216108083725e-03,6.434089969843626022e-03,6.368402391672134399e-03,7.316472474485635757e-03,7.426327094435691833e-03,7.507706526666879654e-03,7.830278947949409485e-03,6.105653475970029831e-03,7.434112485498189926e-03,7.328048814088106155e-03,6.911639589816331863e-03,6.879071705043315887e-03,7.836950011551380157e-03,7.666955236345529556e-03,6.860057357698678970e-03,6.724928505718708038e-03,7.726129610091447830e-03,7.483682595193386078e-03,7.570047862827777863e-03,6.718357559293508530e-03,6.918100174516439438e-03,7.378171198070049286e-03,7.528830319643020630e-03,6.745839491486549377e-03,7.730024866759777069e-03
7.500461302697658539e-03,7.308266125619411469e-03,7.276070769876241684e-03,7.450160570442676544e-03,7.447657175362110138e-03,7.345124613493680954e-03,8.038413710892200470e-03,7.893922738730907440e-03,7.642990443855524063e-03,6.251642480492591858e-03,7.273181807249784470e-03,6.356163416057825089e-03,6.873955950140953064e-03,7.425978779792785645e-03,7.050796877592802048e-03,7.684973999857902527e-03,6.824763026088476181e-03,7.232414092868566513e-03,7.800236809998750687e-03,6.873493548482656479e-03,7.455479819327592850e-03,7.567157968878746033e-03,7.709773723036050797e-03,7.617164868861436844e-03,6.826485972851514816e-03,6.566034164279699326e-03,6.137242540717124939e-03,7.631094660609960556e-03,6.275389343500137329e-03,6.440463475883007050e-03,6.919725332409143448e-03,7.477296516299247742e-03,6.784040480852127075e-03,7.954992353916168213e-03,7.654062006622552872e-03,7.903772406280040741e-03,6.379642989486455917e-03,6.752846296876668930e-03,7.066023070365190506e-03,6.509738042950630188e-03,6.168892607092857361e-03,6.946031469851732254e-03,7.464556489139795303e-03,6.279866211116313934e-03,7.715394254773855209e-03,6.649618037045001984e-03,6.580681540071964264e-03,7.395932450890541077e-03,7.678977213799953461e-03,7.534529548138380051e-03,7.231616880744695663e-03,6.787581369280815125e-03,7.978636771440505981e-03,8.127676323056221008e-03,7.857178337872028351e-03,7.028245367109775543e-03,7.175709586590528488e-03,7.089047227054834366e-03,6.867341231554746628e-03,7.147108670324087143e-03,7.138901390135288239e-03,6.594899110496044159e-03,7.553558330982923508e-03,8.208031766116619110e-03,7.980799302458763123e-03,7.458447478711605072e-03,7.822651416063308716e-03,6.697471253573894501e-03,7.055853493511676788e-03,7.403410039842128754e-03,7.048577070236206055e-03,7.531192619353532791e-03,7.270097266882658005e-03,6.509901490062475204e-03,7.192987482994794846e-03,7.299162913113832474e-03,6.953195203095674515e-03,7.659565191715955734e-03,7.856260985136032104e-03,7.460894063115119934e-03,7.239679805934429169e-03,7.733555044978857040e-03,6.799170281738042831e-03,7.415473926812410355e-03,7.091866806149482727e-03,7.808456197381019592e-03,7.618473842740058899e-03,6.754384841769933701e-03,7.522102911025285721e-03,7.391477935016155243e-03,7.536818739026784897e-03,8.083848282694816589e-03,7.438374683260917664e-03,7.240554317831993103e-03,8.041722699999809265e-03,6.603310815989971161e-03,7.473563309758901596e-03,7.269260939210653305e-03,8.402021601796150208e-03,6.745344027876853943e-03
7.382600102573633194e-03,7.936097681522369385e-03,7.946244440972805023e-03,7.669909391552209854e-03,6.955417804419994354e-03,6.465404294431209564e-03,7.045924663543701172e-03,8.031151257455348969e-03,7.565292064100503922e-03,6.954499054700136185e-03,7.426994387060403824e-03,6.187105551362037659e-03,7.507911883294582367e-03,6.475992500782012939e-03,7.314010523259639740e-03,6.968650966882705688e-03,6.889226380735635757e-03,7.807418238371610641e-03,6.862831767648458481e-03,8.210722357034683228e-03,7.357985246926546097e-03,7.013811264187097549e-03,7.567813154309988022e-03,8.040105924010276794e-03,6.954110693186521530e-03,6.666151806712150574e-03,7.360061164945363998e-03,6.864781957119703293e-03,7.736061699688434601e-03,7.100407499819993973e-03,7.670123595744371414e-03,7.034034468233585358e-03,7.425016257911920547e-03,7.751673925668001175e-03,6.970894988626241684e-03,6.728417240083217621e-03,6.565713789314031601e-03,7.283486891537904739e-03,7.483059540390968323e-03,7.045257370918989182e-03,6.927314680069684982e-03,7.307574152946472168e-03,8.374729193747043610e-03,7.708635646849870682e-03,7.676342502236366272e-03,6.347562652081251144e-03,6.621493492275476456e-03,7.415077183395624161e-03,7.744137197732925415e-03,7.652439642697572708e-03,7.083138916641473770e-03,7.397623732686042786e-03,6.965051870793104172e-03,7.178730331361293793e-03,6.598270963877439499e-03,7.577768992632627487e-03,7.276146672666072845e-03,7.599127478897571564e-03,7.154854480177164078e-03,7.404233794659376144e-03,7.432150188833475113e-03,7.178248371928930283e-03,7.356327492743730545e-03,7.047472987323999405e-03,7.299899589270353317e-03,7.605102844536304474e-03,8.066912181675434113e-03,7.347085047513246536e-03,7.645396050065755844e-03,8.098501712083816528e-03,7.086876314133405685e-03,7.777392864227294922e-03,7.412989158183336258e-03,7.479823660105466843e-03,7.441607769578695297e-03,7.335406262427568436e-03,7.406045682728290558e-03,8.084096945822238922e-03,7.160669192671775818e-03,6.523695308715105057e-03,6.956258323043584824e-03,7.718292530626058578e-03,7.449617609381675720e-03,7.397850975394248962e-03,7.131223566830158234e-03,7.081961724907159805e-03,7.818873971700668335e-03,7.162592373788356781e-03,7.545644883066415787e-03,7.558718323707580566e-03,7.283104117959737778e-03,8.089107461273670197e-03,6.215080618858337402e-03,7.826923392713069916e-03,6.885775830596685410e-03,7.639259565621614456e-03,6.875127553939819336e-03,6.688205525279045105e-03,6.777710281312465668e-03,6.659805309027433395e-03
6.418729666620492935e-03,7.448707241564989090e-03,6.636404898017644882e-03,7.164355367422103882e-03,6.487866863608360291e-03,7.287898100912570953e-03,7.261365186423063278e-03,7.038645911961793900e-03,7.014411967247724533e-03,6.411137524992227554e-03,6.891699973493814468e-03,7.010371424257755280e-03,7.453571073710918427e-03,7.097472902387380600e-03,8.077839389443397522e-03,6.616380065679550171e-03,6.863898131996393204e-03,7.488643284887075424e-03,7.374344859272241592e-03,6.234603002667427063e-03,7.389207836240530014e-03,6.706594023853540421e-03,7.173508871346712112e-03,7.234472315758466721e-03,6.707572843879461288e-03,6.634949706494808197e-03,8.368324488401412964e-03,7.855870760977268219e-03,6.727598607540130615e-03,7.687585894018411636e-03,7.482461631298065186e-03,7.360817398875951767e-03,7.719958201050758362e-03,7.902258075773715973e-03,6.818395107984542847e-03,8.145870640873908997e-03,6.473440211266279221e-03,8.278070017695426941e-03,7.614801172167062759e-03,6.962127052247524261e-03,7.073835469782352448e-03,7.355373818427324295e-03,7.385043893009424210e-03,7.364626508206129074e-03,8.280047215521335602e-03,7.629184518009424210e-03,6.910277996212244034e-03,7.259965408593416214e-03,6.574331317096948624e-03,7.146367803215980530e-03,7.427873089909553528e-03,6.773435976356267929e-03,6.396634969860315323e-03,6.472787354141473770e-03,6.258925423026084900e-03,6.577708758413791656e-03,8.266854099929332733e-03,7.530298549681901932e-03,6.165672093629837036e-03,7.280656602233648300e-03,7.653475739061832428e-03,7.787061855196952820e-03,7.056226953864097595e-03,7.082129362970590591e-03,8.081389591097831726e-03,6.955111864954233170e-03,6.858813110738992691e-03,7.540294434875249863e-03,7.724284194409847260e-03,7.513673976063728333e-03,7.329300977289676666e-03,7.380871102213859558e-03,6.653234828263521194e-03,7.463687565177679062e-03,7.940499112010002136e-03,6.723953876644372940e-03,7.191445212811231613e-03,6.334510631859302521e-03,6.278497632592916489e-03,7.083665579557418823e-03,7.354910951107740402e-03,6.992919836193323135e-03,7.143313530832529068e-03,6.504891905933618546e-03,7.673426996916532516e-03,7.398201618343591690e-03,7.016006857156753540e-03,7.595114875584840775e-03,7.328731939196586609e-03,7.882037200033664703e-03,7.663517259061336517e-03,7.084920071065425873e-03,7.820789702236652374e-03,6.554719060659408569e-03,7.523946929723024368e-03,6.885899696499109268e-03,7.907279767096042633e-03,7.462243083864450455e-03,7.965886034071445465e-03,7.013419643044471741e-03
7.215691730380058289e-03,6.206839811056852341e-03,7.178210653364658356e-03,7.261979859322309494e-03,6.890998221933841705e-03,5.991113837808370590e-03,7.579013239592313766e-03,7.989487610757350922e-03,6.925737019628286362e-03,7.535673677921295166e-03,7.939508184790611267e-03,7.137383799999952316e-03,7.022812962532043457e-03,7.483616005629301071e-03,6.437349133193492889e-03,6.501549389213323593e-03,7.214034907519817352e-03,6.515028886497020721e-03,6.593768484890460968e-03,6.662493105977773666e-03,7.033349014818668365e-03,6.141520105302333832e-03,7.244246080517768860e-03,6.944617256522178650e-03,7.001245860010385513e-03,7.664151489734649658e-03,7.066996768116950989e-03,7.310577202588319778e-03,6.700866390019655228e-03,6.865796633064746857e-03,7.757875137031078339e-03,6.933153606951236725e-03,6.678676698356866837e-03,7.622415199875831604e-03,7.372634019702672958e-03,7.397392299026250839e-03,6.629238836467266083e-03,7.067324593663215637e-03,7.512941956520080566e-03,6.937685422599315643e-03,7.919005118310451508e-03,7.646083831787109375e-03,7.368901278823614120e-03,7.254015654325485229e-03,7.509828079491853714e-03,7.210269570350646973e-03,6.695225369185209274e-03,7.601490709930658340e-03,7.009206339716911316e-03,6.674685515463352203e-03,6.447353865951299667e-03,6.295391358435153961e-03,6.754030007869005203e-03,6.634082645177841187e-03,7.662505377084016800e-03,6.584067828953266144e-03,8.241997100412845612e-03,6.603639572858810425e-03,7.187310140579938889e-03,7.760264445096254349e-03,7.768048904836177826e-03,8.015151135623455048e-03,7.822873070836067200e-03,7.439029868692159653e-03,7.878917269408702850e-03,7.482486311346292496e-03,7.574426475912332535e-03,6.892542354762554169e-03,7.507400121539831161e-03,6.463535595685243607e-03,7.280664052814245224e-03,7.874810136854648590e-03,7.597653660923242569e-03,6.439407821744680405e-03,6.556411273777484894e-03,6.796349771320819855e-03,7.514904253184795380e-03,6.971581839025020599e-03,6.928502582013607025e-03,7.527761626988649368e-03,7.191731128841638565e-03,8.340352214872837067e-03,7.700454909354448318e-03,6.134288385510444641e-03,7.231856230646371841e-03,7.219166960567235947e-03,5.855271127074956894e-03,6.069163791835308075e-03,7.792266551405191422e-03,7.311127148568630219e-03,6.978536956012248993e-03,8.114309981465339661e-03,8.169989101588726044e-03,7.395722903311252594e-03,6.424744613468647003e-03,6.799444090574979782e-03,7.090188097208738327e-03,6.997490767389535904e-03,6.516335066407918930e-03,6.742393132299184799e-03
