s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
-2.369767332249007874e-03,-2.204775289800355118e-03,-8.074126222130143318e-03,7.419676169574315576e-03,-2.527045917695444708e-03,2.478007164622075039e-03,-2.557823445150685712e-03,1.841061944676975490e-03,5.112673422238500111e-03,4.822569468331031582e-03,1.138486636561624084e-02,1.676770835589732819e-02,2.359894792521830334e-02,2.854761623811717663e-02,4.062103935058558601e-02,4.544123845042794679e-02,3.621832923889486272e-02,4.821592474129669098e-02,4.676143382092874667e-02,3.833442870688612975e-02,2.685463413021372744e-02,-6.493009511158259923e-03,-1.509551659063247155e-03,6.013718263599149814e-03,-1.773477955323093935e-03,2.798375142790892472e-03,-1.163886594822218868e-03,-5.637242324943781725e-03,-6.590712031868481034e-04,1.901707310811884570e-03,-1.938821233814192694e-03,-1.955350210680418220e-03,-3.625229493057135696e-03,-2.665431539461019916e-03,-5.703072438946084344e-03,-6.416199395731646271e-03,-9.129783660051645974e-03,-5.636229137481170957e-03,-4.554016067129010824e-03,-1.485801590685585432e-03,-1.506470419023479097e-03,-8.043420560796761586e-04,6.482527284123336050e-03,1.609087900914506902e-02,7.073331222808256630e-03,8.809970273007384362e-03,8.245140785552286175e-03,5.343046406856500480e-03,5.671614018408291553e-03,9.649481540064950777e-03,9.136090787644117819e-03,6.136526585824813793e-03,4.352589915650296494e-03,1.947597220937968355e-04,-4.196521288203608480e-03,-2.248072982759979129e-03,-4.621831021248146328e-03,-1.899092987312853663e-03,-3.152463593148094323e-03,-1.131368379575078183e-03,-4.091238855988811596e-03,-5.050296235151919763e-03,-6.246288725282773957e-03,-6.117671481914790065e-03,-3.714967211629731109e-03,-6.799022900012409269e-03,-9.632323902041016244e-04,-6.173473990933686303e-03,-3.243812124295832738e-03,-4.495548243804164609e-03,-1.956164055813552818e-03,-1.068087007966486094e-03,9.421248796887685736e-04,-3.607084238962794415e-03,-5.021567120638029759e-05,-3.306977767587890391e-03,-7.373740794468425230e-03,-5.895455825942689208e-03,-1.591381795686109407e-02,-1.161536659203414243e-02,-2.047762720688263774e-02,-2.590788840672198987e-02,-2.455256189758647789e-02,-2.597891415247622487e-02,-3.278793217772377894e-02,-2.829297177005158162e-02,-2.172211691564659986e-02,-1.879364606764506035e-02,-1.442599844049084236e-02,-4.105742403853875587e-03,-6.266625225220899716e-03,-7.857827898069946054e-04,-7.479196645251031230e-04,-6.729340120342743904e-03,-8.780409438645055478e-03,5.484278824950295991e-03,-4.908002192994470950e-03,-8.579397564690522532e-03,1.168794022935596257e-03,0.000000000000000000e+00
-1.693965203446919001e-03,5.245792218868824096e-04,-2.862005332294506512e-03,-4.357428244716602013e-03,-3.616202569432685251e-03,-5.177563351103236372e-03,-4.207758549565942911e-03,1.928517892816461856e-03,-5.573051610633732687e-03,-2.775939769412045198e-03,-1.201854868913615135e-02,-1.578081160387927520e-02,-1.159226126350643322e-02,-1.045659830849206100e-02,-3.356283550313026755e-03,-1.418196596423940310e-02,-1.169364968614113563e-02,-1.274128768146047877e-02,-7.854548267354819965e-03,-1.090842916086765500e-02,-6.618680076880964318e-03,-5.495667178134265238e-03,-2.730171055447849857e-03,1.906020552745699929e-03,1.452761508363535452e-02,5.532752269247806498e-03,4.362914073664839708e-03,-3.748215657466147117e-03,-7.378043333164013666e-03,-3.431360702988685545e-03,6.902990100327929465e-03,1.810481563621157844e-03,-4.882520979722616838e-03,1.051265538293187163e-03,1.977535504811598656e-03,-1.268520331918395524e-03,-7.012015561132016635e-03,-5.928950749574964270e-03,-2.618051266362682490e-03,-3.340957053756167788e-03,-7.832291400388032314e-04,-2.290354902449524539e-04,-2.358869992510091457e-03,-6.114329066242943367e-03,-8.250899223091052699e-04,-6.126639629460700273e-03,-6.564487568140842458e-03,-7.330815213653722393e-03,-7.458104111804095618e-03,3.178584274041450480e-03,-4.653715859761193771e-03,-3.827084576174616826e-03,1.083781027657452741e-03,9.331244945936279650e-03,7.629306365236301901e-03,5.511621923810756593e-03,8.483395450021092785e-03,4.172282943760802394e-03,1.239304943338185964e-02,1.008839939299793591e-02,5.041538575109982129e-03,1.467095435374069987e-02,1.403574366308181845e-02,-4.644211690665535699e-03,-1.576874063759782746e-04,-1.168061385186436102e-03,-2.695088152535115612e-03,3.407573608897648994e-03,7.230413530419122240e-04,1.947817765530160655e-03,3.252646525006779900e-03,-7.933723372074867391e-04,2.467258504433908223e-03,-2.367464238900856676e-03,5.948203306564674685e-03,-7.641163217184098258e-03,-4.062093892431044122e-03,-1.273392963163737408e-02,-1.520304612516517641e-02,-1.561459614714747618e-02,-2.243071153800445597e-02,-2.519822816366416862e-02,-2.661742934915396763e-02,-2.730303172668764253e-02,-3.206888036288405713e-02,-2.084743712071461530e-02,-2.153222006979831765e-02,-1.473713937011843569e-02,-8.169478889838297647e-03,-9.492197963187070861e-03,-1.091789253532701471e-03,-3.538904004722838274e-03,5.685182000307213235e-04,-2.376900865012481281e-03,-1.423922723850267911e-03,-1.022238910679404682e-03,4.142330871030692509e-03,6.688773126262993404e-03,1.010113297737479966e-02,0.000000000000000000e+00
1.238252137931353421e-03,-1.450612216623419718e-03,5.045463238329245259e-03,-6.128738837144832516e-03,-5.493437973152147483e-05,4.615064369230745256e-03,3.829009745804393908e-03,-5.688232235259396696e-03,-9.095092942598911618e-04,-6.167249183755651835e-04,-8.098286083832740775e-03,-1.287279683756797910e-02,-1.301572052763018753e-02,-1.662703807647485793e-02,-2.696591064958349035e-02,-2.555308604812311576e-02,-2.309650605427229081e-02,-2.778160913796458645e-02,-2.734893897581744046e-02,-2.795709769675183351e-02,-1.161355501832409161e-02,-1.862482022295725015e-02,-1.291301238979856991e-02,-6.625571972460098796e-03,-3.406313574630879994e-03,-1.850835900044324770e-03,-1.245861051856610819e-03,8.980699959018308750e-04,2.975010834755619383e-03,-1.205151948539092549e-03,-3.062291785207047791e-03,-4.265549431972617822e-03,1.862038261072778463e-04,-5.733448991327190838e-03,-1.391478575716894326e-03,-7.959112438849298005e-03,-2.545416163062444621e-03,3.994950672043932373e-03,-3.333953405907973642e-03,-3.707848759846775043e-03,-1.508923748147752856e-03,1.251329480802736149e-02,1.004090367764160635e-02,1.100953430622903829e-02,8.352619638607422514e-03,3.761669032699738353e-04,4.614339175774463848e-03,8.264011444117565566e-03,5.322364259948218768e-03,6.861639426886367507e-03,1.189259334707313751e-02,6.175295056110902299e-04,1.633999646509594686e-03,-7.717322203872591319e-04,-4.395789477808173008e-03,-7.755053043661847174e-03,-7.175012109387655761e-03,-5.052170514619425991e-03,1.553058131825896292e-04,7.885818444146026982e-04,1.549956191708445029e-03,-7.084702906862882545e-03,-4.860739310636764780e-03,-9.216058315669583417e-03,-5.779235333995249614e-03,-8.305175507788047432e-03,-3.165987002052551152e-03,-1.952279845952566368e-03,-1.218836762196919780e-03,-1.482894737536591921e-03,-2.672367749423780231e-04,-3.208205495969550583e-03,1.013743989271532857e-03,-3.059824582125859720e-03,-3.407042362738836464e-04,5.742460009137056141e-03,1.276540982873346566e-02,1.299783712569034175e-02,1.827859887474912043e-02,2.024127173492044560e-02,3.085153897080335217e-02,3.617232817046425047e-02,3.921703940312332853e-02,3.707670786689781783e-02,4.521896898979159418e-02,3.151002733691001673e-02,2.162696804414173529e-02,1.777200815699394795e-02,1.055237313972866471e-02,1.387260199454124800e-02,5.037199668774534900e-03,-4.481840638578682944e-03,-2.635774144699545331e-03,1.880102168995544804e-03,-1.187325687112749653e-03,4.970893719361977638e-03,-3.182875698223869721e-03,5.524563218220198552e-03,2.244551031627924683e-03,0.000000000000000000e+00
3.631037998042828657e-03,-1.029453585958204481e-04,-6.472960497444487987e-04,8.810550424749890750e-04,2.879168217126241124e-03,2.686042114944225175e-03,-6.095175701443678734e-03,-1.688596194043093116e-03,-1.493781761078079480e-03,-6.788551542940551332e-03,-6.684642576263860603e-03,-9.840683035762418443e-03,-1.220731789606220238e-02,-1.447398948611307475e-02,-2.956737019836090316e-02,-3.077867195754040164e-02,-2.421216981735915472e-02,-2.530071223939543701e-02,-2.848674857257202028e-02,-2.591519405058141309e-02,-1.454948922465493406e-02,-1.713021166211082733e-02,-1.424236703958727847e-02,-4.899803998863601524e-03,-6.416727944103224092e-03,-5.915103802029423458e-03,-5.405055588367481878e-04,8.366493624881287793e-04,6.185577124324377445e-03,6.510618786160192635e-03,1.925688698249514033e-03,5.475615618586362338e-04,1.714007555196917767e-03,-1.296399307515701651e-03,1.428851067355428823e-03,1.737715932332005095e-02,1.362153949926994678e-02,5.648570094858158114e-03,1.024287488710931560e-02,1.031340365951320497e-02,8.515620661032259966e-03,1.739562215598441236e-02,-9.302980459655524120e-04,-2.664634188099523297e-03,-9.474089889211675638e-04,2.873914026083492987e-03,-4.676095471682653777e-03,-4.290240002332431843e-03,-1.835979560521998778e-03,-5.504111462566761703e-03,-7.184639274910467263e-03,-6.089495762716389503e-03,-1.156086992318537329e-02,-3.758356188772040123e-03,-6.360122319007662037e-04,-4.671669890148703701e-03,-3.282749934131642434e-03,-9.210505342386949429e-03,-4.140836026289881032e-03,7.988220162900595009e-04,2.015180931186028989e-03,1.550469125415273718e-03,-4.907011191123656718e-05,-3.488517843850548472e-03,1.145019406217654898e-02,1.597660632121119736e-02,1.639326406544532044e-02,1.476223229312467397e-02,3.871845698981158605e-03,5.206973425151335301e-04,5.947765105885903167e-03,3.051205290261784636e-03,-5.292392257850929123e-04,-3.001564174594124283e-03,3.686326971654207800e-03,5.704559180257381609e-03,-1.460844971917099090e-03,-5.222385229148768064e-03,-1.073303580306225226e-03,-7.187198420771354068e-03,-4.228452045343212423e-03,-7.485824506408035595e-03,-9.869083669762933331e-03,-8.090385615923342127e-03,-2.756923408681618073e-02,-2.956594224381492442e-02,-1.613140140220076235e-02,-1.920846683238288874e-02,-2.041028228591673654e-02,-8.692800778425270949e-03,-9.839707841237593094e-03,-8.579484192960323136e-03,4.110579972323669118e-03,3.225708738856191814e-03,-3.461061594538861804e-03,4.081195981609002875e-04,4.838967129415655826e-04,-3.610678679311928301e-03,9.576410580623867172e-03,0.000000000000000000e+00
1.966684212718550033e-03,5.025900800011580231e-03,-1.169679947700833899e-03,-6.890467608237240251e-04,-3.091827841476968775e-06,5.839194441066819161e-03,-4.819014542655607018e-03,-3.434601214181631432e-03,-1.772682937744414705e-03,4.677501245563827660e-03,-1.015214074473261719e-03,-5.018787848964041676e-03,-6.626935540673666893e-03,-1.028853487145405324e-02,-9.841688866518668796e-03,-8.137352435284459992e-03,-9.369321652850832322e-03,-1.059252975331984210e-02,-1.474328764892641509e-02,-8.522125204400472429e-03,2.589674551076843675e-02,3.599952641341535448e-02,1.979070480992394659e-02,1.524465718783907763e-02,6.004206796135730037e-03,7.410689281032632747e-03,3.677002230493050822e-03,-4.280445135519914644e-03,-2.038098198117115067e-03,2.899853908479833875e-03,4.270980309358200257e-03,2.693391697158258914e-03,7.562758429177459567e-04,-5.841385935807569610e-03,-5.682419033296827286e-03,-9.578759860918047847e-03,-4.261987076916196569e-03,-1.705196346565057653e-03,3.833808016121519882e-04,-5.708451060805844537e-03,3.285811090345958497e-04,-8.348190212418529071e-03,-4.918748815226179662e-03,-2.815804852877266083e-03,-9.219294121467699887e-03,-5.905152666582581984e-04,1.078465081758141512e-03,-1.510009162777608974e-03,2.688801929370051723e-04,3.758158568557747482e-03,9.020292770205412536e-03,8.476883355356644445e-03,1.311974842090721932e-02,8.226558727722507389e-03,9.770992100049311763e-03,4.968338261447071552e-03,1.299465034189269640e-02,1.604690803898758738e-03,5.547567216288377392e-04,-1.360279960781563512e-03,-1.285038185756088745e-03,2.082934551787292280e-04,-1.665358476716788470e-03,1.132950650844107747e-03,-1.893465718745506680e-03,-2.494575471248010844e-03,-5.296735254671027654e-03,-3.951799835575522599e-03,-2.449804141938274047e-04,2.829476051247425505e-04,-1.093071881579232938e-03,-1.360716996359558756e-03,-2.125272982372434800e-03,3.978240956396251332e-03,-8.369028851531030945e-04,-6.627954722314390729e-03,-4.201915578116764173e-03,-5.736196191989495312e-03,-1.634896648001304964e-02,-1.092875004630287743e-02,-2.346569270498513604e-02,-1.983424867367869146e-02,-2.465351025766604476e-02,-2.924121769714615321e-02,-3.043705016271248953e-02,-1.996827002406606488e-02,-1.613878449680490601e-02,-1.869293721553191151e-02,-1.282708117677549414e-02,-9.372557203997187308e-03,-7.571787586222815045e-03,-6.446806142966759329e-05,1.989085782492142941e-03,3.733531404186456008e-03,4.316841987215411063e-03,9.929043581627227527e-04,3.378942713541859943e-03,4.363782004177973149e-03,5.304341035365690588e-04,0.000000000000000000e+00
-9.286182339271102995e-03,6.243959128927585936e-03,5.473086226537197257e-03,9.736090567412655035e-04,4.197241565212196050e-04,-1.904623388350985521e-03,7.157497701251147289e-04,-9.356440863189680480e-04,-8.938009868780655287e-03,-5.737153059612270893e-03,-9.067853364993433765e-03,-1.642381857057182218e-02,-1.723124983338593721e-02,-1.823606867828976574e-02,-2.352649042694709286e-02,-2.930020166149489153e-02,-2.337953750414476298e-02,-2.350760641900974390e-02,-2.141116531241438192e-02,-2.371190176869155189e-02,-1.769391310439135528e-02,3.692713545305589557e-03,-9.328382142704776461e-03,-8.162103435029351498e-03,-6.674346014368009658e-03,-1.670033325798008601e-03,-1.054309915046071269e-03,-2.164426720048465028e-04,4.595269939411198053e-03,-6.543914085382740442e-03,-5.053838858412977586e-03,3.667071163755585960e-03,-1.249672079051701015e-03,6.042649106200688632e-03,1.698346640664922386e-02,1.385032490844368726e-02,1.179794976917811211e-02,1.267909395250327829e-02,1.484418542159310350e-02,7.495975912353908775e-03,4.006280564779934709e-03,-2.438144144050908083e-03,5.888129571741858477e-03,-4.446911386436804871e-03,-9.252919308004974031e-04,-9.577604793962617852e-03,-4.544031120968260173e-03,-4.659200533750436704e-03,-5.212009737246699539e-03,-8.349562238532129421e-03,-3.343364127959754049e-03,-4.898311082108108318e-03,-7.969256315197350074e-03,-5.335174136028199808e-03,-3.217548059684033519e-03,-3.383542189865966499e-03,-5.680190400975536520e-03,-1.692614893315770260e-04,5.101799802743173760e-04,-2.354299854573876742e-03,5.707214626744575893e-03,8.498545182688971300e-03,1.020102681401378018e-02,1.226123674154246980e-02,6.273895727202420496e-03,1.185551202669104208e-02,1.209064436040908561e-02,7.051016304486670480e-03,3.419008874775551765e-03,-6.384477321847414335e-04,5.380338095463770703e-03,-2.533897844008733361e-03,1.394358202288339347e-03,7.910090773096216648e-04,2.902360273581087568e-03,3.977027374780259619e-04,-2.206974941516441635e-03,-1.667940777906242594e-03,-3.492570476329584245e-03,-6.699673163334006649e-03,-1.009272285505383518e-02,-2.073236918813245108e-02,-2.475101150588282853e-02,-2.675014070865798163e-02,-3.326455940199324335e-02,-2.329660581715981699e-02,-2.441079447952963083e-02,-1.636759342165700765e-02,-1.690891513188649831e-02,-8.486520578762460701e-03,-5.387834017771190968e-03,-6.218250938771816179e-03,-7.388098247027719955e-04,1.297525069832909314e-03,-5.451942314207082647e-04,-1.076555902189952176e-03,-6.054315350868918338e-03,6.987308637798807058e-03,4.706323021590303433e-03,0.000000000000000000e+00
4.230048957034829131e-03,-2.641219476725896811e-04,-5.984460823860871491e-03,3.303121462081433889e-04,1.673940750605034029e-04,6.681762013554925356e-04,-4.550752502007920398e-03,-4.785742403777239022e-03,-4.937609947608235725e-03,-5.092324439104353208e-03,-1.268746386802281807e-02,-1.383853142354414360e-02,-1.649427574729854518e-02,-2.003905265858824114e-02,-2.086566297044355894e-02,-2.700745297473527290e-02,-2.434538624591074674e-02,-2.536325560092718076e-02,-2.690095830962338855e-02,-1.181327808186504076e-02,-3.181186933678272193e-03,-7.630856161413610006e-03,-2.513734336722156341e-03,-2.466683352688008903e-03,-3.728567671196544430e-04,2.372837279812159590e-03,-1.666328551284732126e-04,1.648301388492983896e-03,-5.960133965214470253e-03,-3.986066510504170969e-03,7.351509377559880057e-03,2.009023853064030845e-03,1.015247354613522593e-04,4.762368682113248160e-03,1.324040259023488014e-02,1.242638457845064368e-02,7.929691702674364004e-03,1.289429772609229294e-02,2.671700895771282180e-03,8.590395366486569192e-03,-5.607979968919396888e-03,1.784498592241853679e-03,1.083230372995747049e-03,3.409128761295867911e-03,-2.059146073082999268e-03,-3.874917548127058790e-03,-8.427186851969551903e-03,-4.466062607794435250e-03,-7.828768463935934646e-03,-9.222262799434569058e-03,-7.691792950449567387e-03,-8.496830925144256697e-03,-1.037393823012454017e-02,-4.654183238067667247e-03,-3.895905973879103951e-03,7.509738354526642378e-04,-3.746913626718236488e-03,-6.232850009771881937e-03,-1.549414403334910002e-03,6.604262250512208700e-03,9.133745040961042255e-03,1.510625044051157502e-02,9.016226794725756138e-03,1.282114895467707447e-02,6.059225999714353515e-03,9.153454575063307841e-03,1.273505852851644291e-02,1.275164673671994563e-02,3.273498852960820150e-03,-1.239331729117654256e-03,-4.866620257411412818e-03,-3.695161898848349242e-03,-1.434346320995024076e-06,-2.556570467027325429e-03,-8.673177738604138584e-03,-7.204964429540081788e-03,-5.948486181179878617e-03,-1.601200893950430193e-02,2.229694950023836802e-02,-1.555636600940794693e-02,-2.483618845877383699e-02,-2.506895913276421806e-02,-2.569319461072779032e-02,-2.913756517384381850e-02,-3.039967870526501248e-02,-2.287355657173325771e-02,-2.033738050411418655e-02,-1.809865521120326143e-02,-1.712661970893400790e-02,-8.057083918522696744e-03,-7.981430106697979740e-03,-4.414599804306590901e-03,-5.862080647684575659e-03,-2.091113184440629783e-03,-1.422136788260284579e-03,-1.025074191781348565e-03,-2.922952357432367053e-04,5.331175799383672601e-03,1.417927040845567109e-02,0.000000000000000000e+00
5.684534694661529455e-03,4.299526524664669912e-03,-5.203483708945171732e-03,-9.545541735881904076e-04,5.491096835313433004e-03,1.338922920323221914e-03,-4.749833446373440994e-03,3.462461409582666405e-03,-8.547383644631213404e-03,-1.344864640318946388e-03,-9.496966626061130803e-03,-1.644652445940147575e-02,-1.375636367994608963e-02,-2.138072657313866767e-02,-2.325247283599351372e-02,-2.928875269241242030e-02,-2.542004601221097351e-02,-2.572764866953963780e-02,-2.719697423513417825e-02,-2.442066142510103399e-02,-1.852574829325366254e-02,-2.029299252509397800e-02,-1.200655557926628113e-02,-1.274603276677729533e-02,-5.281251848431975544e-03,-5.445465683486433494e-04,2.982586933447625471e-04,-1.029464590507288122e-04,3.317832098598082115e-03,4.163943783888575390e-03,-2.200220660458756822e-03,3.405136328676729943e-03,-2.876119878607459254e-03,9.481215797932872856e-04,-8.993453604433479173e-03,-8.377269430208616682e-03,-5.155641844714651395e-03,-8.220953642552269666e-03,-5.038244446206364274e-03,-4.916135203121667352e-03,-3.580762598134539215e-03,7.989407493273557165e-05,-6.274293522995770186e-03,-2.741451118391097057e-03,-3.134516599330550417e-03,-3.219673904819198018e-03,5.693360024952289974e-03,-6.781644177655315672e-04,7.818486069496873025e-03,1.129268444712131815e-02,9.152911437462192892e-03,6.817905843546427126e-03,1.188470301648416987e-02,1.104456441795442431e-02,1.146639619812361843e-02,9.067592964876984921e-03,1.037560357128046451e-02,5.948646418333691614e-03,-2.160506834564436749e-05,4.945989431902141466e-05,4.104566250490861157e-03,-3.428785680708225630e-03,1.400953249946545803e-03,-1.002753175056156874e-02,-6.011716209465699408e-03,-6.229022612461598656e-03,-6.365589988530869631e-03,-4.403888290634010681e-03,8.887943404716492005e-06,4.704263549667552120e-03,-4.748727390918153213e-03,-1.368696782284687958e-03,2.385484987719506660e-03,-1.381445608551596727e-03,2.116144762291465823e-04,-4.759724016105871744e-03,1.292100126815246908e-03,-8.941786729214272695e-04,2.421081873852208577e-02,2.149670170184526941e-02,3.084681106047460278e-02,4.316403754865046766e-02,4.032587650693528203e-02,4.001341678044168654e-02,4.733514613518363667e-02,2.882273892969584514e-02,3.163299176224582815e-02,1.756147197456757805e-02,1.320733935869207280e-02,8.041729693237159582e-03,1.047476938598590826e-02,3.746860707532766177e-03,3.003730646510483415e-04,-2.673451039305835795e-03,-4.318494038735351710e-03,-6.937955150790929646e-04,-5.932462025716612325e-04,-4.286596745734019831e-04,1.083053556684762317e-02,0.000000000000000000e+00
-3.092993483815453890e-03,-6.888637141374207018e-03,-1.965921317689842997e-03,2.399000578895434284e-03,-2.470302400707137676e-04,-6.510461650691301994e-04,-8.146516408832698512e-04,-8.251120261107046383e-03,-3.948116197552632017e-03,-5.154952610034290415e-03,-4.955184273034759362e-03,-8.872455994012999961e-03,-1.640906775713777202e-02,-1.755135041004291657e-02,-2.366834352255341861e-02,-2.538459055601175254e-02,-2.213939963519697199e-02,-2.393329831655474291e-02,-2.327770861986229456e-02,-2.384722714187062151e-02,-1.656331735306661862e-02,-2.015449209540734130e-02,-1.131267536691719401e-02,-8.529680127404471943e-03,-6.386970193835146345e-03,-1.011937554660062924e-02,4.619124144781626418e-03,-5.176211251427692908e-03,1.599183838908423421e-04,-9.049142596296475775e-04,4.661582113039335973e-04,2.336625867776699183e-03,-2.124719855205486896e-03,-3.571561647880412113e-05,1.129889531305232168e-02,1.217449200198701155e-02,1.792409113479028274e-02,1.171984710998283906e-02,5.667533575447566106e-03,1.475211675483344316e-02,6.763938836144282873e-03,1.200459902467095746e-02,4.747675863266473742e-03,1.021024051146877769e-02,2.107157801412017171e-03,2.516124333725393031e-03,-1.729395061392611154e-03,-4.144931364434022159e-03,5.399367094727450678e-04,-6.536335525165342525e-03,-8.250497973244293182e-03,-7.756730894316833137e-03,-7.029497929483409513e-03,-4.255609517277197246e-03,-6.133086971038817330e-03,-4.368769883830657744e-03,-4.806166268867593724e-03,-3.313637112020799674e-03,-2.960385123486351626e-03,-1.253517516418401097e-03,-3.167294441784003663e-03,1.001657859022752652e-03,-3.216525041584132865e-03,-1.081892242661307377e-03,-1.970434559724870693e-03,8.123093589212045107e-03,1.278493700051544155e-02,1.738553453311428645e-02,4.030432774817464120e-03,1.056685555346151446e-02,7.290933755802558001e-03,-2.051325322245200306e-04,-2.197826599753819471e-03,-4.822338601728655823e-05,2.937015100953176009e-04,-2.981181135690444840e-03,-4.704638947838031722e-03,-1.338971373261723828e-03,-3.048489067143263318e-03,-3.420761320754502413e-03,-7.027077273481623261e-03,-1.019966869917745753e-02,-1.177237972403913716e-02,-6.445379906394771083e-03,-3.008870826930537881e-02,-2.281946147671950684e-02,-1.791223003712659120e-02,-1.279922580379967353e-02,-1.468191899750053049e-02,-7.016741594130467864e-03,-4.151056078951199935e-03,-4.891847655550760759e-03,-1.947482853776871413e-03,1.564860047616540868e-03,3.563490414137271238e-03,8.279861733152824380e-03,-2.118778737453392604e-03,-1.470552121248538523e-03,-6.617234478800991526e-03,0.000000000000000000e+00
4.672234529544032691e-03,-3.311889204144593309e-03,-2.174754928198584930e-03,-9.785253858880680819e-04,3.463353890233195065e-03,-5.369527398381875987e-05,-2.622067856538410572e-03,-7.627132680013834964e-04,3.598881260646437114e-03,7.339479407674722421e-03,8.357201058851586664e-03,1.558414458763685354e-02,1.965267996085577618e-02,3.132440468893724766e-02,3.712848077376740275e-02,4.346659389642385657e-02,4.826456233560858650e-02,4.521678012302002975e-02,4.098796819595961621e-02,3.905299467810764702e-02,3.195078172081128320e-02,3.576907353778953358e-02,1.940054749825646102e-02,1.662251078886354053e-02,9.134646456803147130e-03,4.912518972960781653e-03,4.910399204039776581e-03,4.452584324880909519e-05,-2.202176806012119160e-03,-3.025188925709732662e-03,-4.759479722732932365e-04,-9.335513678210028430e-04,-9.850761048885278617e-04,-1.128417520172548313e-03,-1.955491097772293907e-03,-7.184002089740459951e-03,-8.044995045979894469e-03,-6.271139172177592723e-03,-8.965145484689761302e-03,-2.205377093843051070e-03,-2.112363424106472078e-03,-3.530983629141832506e-03,-3.499738369798006087e-03,-8.355892833496027586e-03,-1.966356124241304577e-03,-2.851420203282675325e-03,-9.288563124219117312e-04,-4.945016845072865846e-03,3.244607761567371278e-03,7.960699351789765621e-03,4.337846305070097892e-03,7.787192384273223557e-03,6.584143121388662777e-03,2.441152068106271309e-03,9.197366749363474706e-04,2.893342273741801498e-03,-9.211032760599298461e-04,3.513042801177912282e-03,-5.800042084976762217e-04,1.308041435528370551e-03,-1.898381829848278402e-03,-7.199478468883811592e-03,-6.965976520087514313e-03,-8.107938007062861011e-03,-5.051344253897443147e-03,-1.614383567796894188e-03,-9.984663464175884753e-03,-3.956989806229453156e-03,2.955209454654326214e-03,-4.036802964667915786e-03,-2.262856126141347089e-03,2.355040980104549687e-03,6.208566432458364039e-04,1.968228333267326748e-03,-3.975045857475029316e-03,-4.107896040893853178e-03,-1.433554921967891650e-03,-1.047092362494659451e-02,-1.477110000819927167e-02,-1.701712831439042631e-02,-1.920829460161901925e-02,-2.425561862165599714e-02,-2.920055122597248198e-02,-2.825082465183419503e-02,-3.099788722354661699e-02,-2.100756121048659095e-02,-1.969460709228715994e-02,-2.148915657081360356e-02,-7.802742776092577021e-03,-6.923084614212025346e-03,-3.978396921135201464e-03,-6.383121999879635099e-03,-1.200476122617502323e-03,-2.156352482451216399e-03,-6.393662347139324707e-03,-3.707927239766953004e-03,4.414060135668868533e-03,8.434678356133860824e-04,-1.366272860022526257e-03,0.000000000000000000e+00
