s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.336682663457110926e-03,-1.835439494358546628e-03,-4.113654423189555889e-03,-7.089037484955399912e-03,-1.002972440766141185e-02,-1.461153834065429848e-02,-1.915453428232624308e-02,-2.303336180765262406e-02,-2.420677749441267970e-02,-2.274599012864049474e-02,-1.887319088872317988e-02,-1.251259645096604312e-02,-6.209975875966531472e-03,0.000000000000000000e+00,2.323444418780262234e-03,3.310203934040134577e-03,2.168263250124194061e-03,0.000000000000000000e+00,7.824491892960139250e-04,0.000000000000000000e+00,-1.445373460707312374e-03,-1.227039560732752846e-03,6.782860427871247044e-04,0.000000000000000000e+00,1.269655368900294602e-03,7.503698085731748575e-04,2.852789436260549927e-03,2.667318305307310802e-03,3.025405876214382409e-03,2.956946861054072020e-03,1.207440854104076255e-03,9.634947753232366713e-04,0.000000000000000000e+00,-2.401437538458312416e-03,-5.103477406016324221e-03,-1.040261653442684994e-02,-1.137106557703191148e-02,-9.333002227988544675e-03,-1.014459241843155418e-02,-1.440349536286821865e-02,-1.188855865042301625e-02,-1.009186621984726681e-02,-8.533070948420240151e-03,-3.101407957816791627e-03,-1.152019747726240953e-03,2.240395073025982023e-03,3.098890040922596453e-03,3.580172734954877728e-03,3.100558315316776815e-03,1.814406040016086109e-03,2.643182508205235703e-03,2.477221666950189458e-03,2.453078992800897945e-03,3.670939922280441053e-03,2.877368209733660934e-03,2.686389522528768049e-03,2.315346757519521313e-03,2.520641778141093775e-03,3.557564308230873155e-03,2.827688340005751928e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.416924545579634487e-04,0.000000000000000000e+00,9.220694756016120999e-04,0.000000000000000000e+00,2.998335791013523322e-03,1.525234897523854161e-03,4.225052198336808756e-03,5.519909844591884204e-03,9.164477439236998202e-03,1.051029701121261421e-02,1.570917945286541550e-02,1.985184540002552650e-02,2.127129611620588029e-02,2.185015353994277515e-02,2.110189816145489894e-02,1.548208935812128012e-02,1.099484204777147200e-02,8.141650535604907923e-03,5.952986160427032290e-03,3.685479319130685605e-03,1.706282347633440201e-03,1.261714161905971854e-03,0.000000000000000000e+00,7.765584861854028104e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.400670040047727105e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.256578304962347570e-04,1.248406039391651481e-03,1.774408163775488068e-03,3.122202286274897154e-03,3.971010241732694269e-03,5.524160742621693487e-03,8.008898392662614635e-03,1.020495893766946993e-02,9.976734094662716157e-03,9.607216420780273491e-03,9.407624545331200183e-03,6.932872149215933526e-03,3.916917019466972100e-03,2.278422302503653202e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.585177664117051521e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.594450109242889935e-04,0.000000000000000000e+00,7.509783769113091484e-04,4.061571968172819624e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.410123834437199998e-03,1.690245111390238121e-03,1.835913890164127520e-03,1.468142280049263698e-03,9.074777936903376946e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.228905204328104558e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.967540788939645707e-04,7.489354809609959085e-04,1.398601145821485713e-03,2.134704803277513805e-03,5.379746138507616321e-03,7.156916406529868942e-03,8.523091666163174970e-03,9.150224206590590326e-03,9.072734353021395803e-03,7.044677353465720292e-03,4.822945740429800295e-03,3.414650973594331868e-03,2.653143516568923221e-03,4.809177139800113743e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.441374834998214709e-03,0.000000000000000000e+00,2.996411971385093929e-03,4.708527560375151341e-03,5.443523816364961333e-03,7.850147136645956730e-03,1.128838000170168804e-02,1.247372788122838062e-02,1.298861534112174046e-02,1.432290476690986983e-02,1.384945432249147512e-02,1.235294587221274706e-02,8.218896016763260759e-03,8.485613883650208050e-03,5.465416418382599249e-03,2.725970770379859166e-03,2.003896162926524505e-03,9.493646338619120273e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.729617037707618515e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.677723368671396292e-03,-3.966501579807142283e-03,-6.696992593150344515e-03,-5.392738454366481290e-03,-4.403138398436900677e-03,-3.745945976121583827e-03,-5.635893377389935600e-03,-3.995102523204159192e-03,-3.296597554904433670e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.352882388280882836e-03,1.110111557340628073e-03,0.000000000000000000e+00,1.589762743541245707e-03,1.599310364974793064e-03,1.365687631946103930e-03,1.052501883866853796e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.415668813804377361e-03,0.000000000000000000e+00,-4.639198025060763120e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.904649374326759726e-03,6.098157300176316846e-03,8.797473321198510596e-03,9.382605096788211585e-03,7.275734582978484778e-03,6.365346191685526851e-03,5.285343541109792029e-03,3.712970351913872508e-03,2.295360373465651395e-03,0.000000000000000000e+00,7.711951995320043274e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.521205756942535903e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.779688962377373729e-03,2.849622914773794480e-03,4.722344756962162937e-03,6.064122976426195022e-03,8.348921174289328229e-03,1.002578597574271813e-02,1.029584096723623610e-02,1.099739763433202344e-02,1.080019400435452276e-02,9.128323146135194910e-03,6.942238748155915573e-03,5.352338861067396092e-03,3.866416455203247615e-03,1.708181860837813815e-03,1.410772593017611820e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.165815106796422196e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.746203349266159388e-03,1.407123057442657976e-03,2.422064108775531799e-03,2.515407398895469493e-03,2.388203821050330355e-03,3.388387717246407749e-03,2.267371825132480367e-03,1.566042546510076905e-03,7.173557452263973344e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.195415299829018507e-03,-7.229444223155710725e-03,-8.443191021595644608e-03,0.000000000000000000e+00,0.000000000000000000e+00,-4.876265594927070568e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.307371863003934709e-03,3.605554294146412486e-03,5.550152319788510813e-03,8.542005389588352982e-03,8.835326666254444961e-03,1.029953039265796289e-02,9.874252199072702796e-03,6.698414989280199183e-03,4.720543765887638687e-03,3.489211012192572348e-03,2.768599591197531962e-03,1.320697186687036506e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.106267177953075206e-03,0.000000000000000000e+00,2.640825283675577242e-03,4.926703213849782659e-03,5.509800975243461969e-03,8.629072102268028899e-03,9.626950754468453428e-03,1.149227098076886604e-02,1.039279764573729226e-02,8.962753405339671936e-03,6.699018282028856158e-03,1.950678369656554459e-03,0.000000000000000000e+00,-4.662025224475303126e-03,-4.721392473387505881e-03,-4.734526947981560624e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.086091446968857292e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.305527285205598140e-04,0.000000000000000000e+00,1.199722639200944199e-03,0.000000000000000000e+00,6.266794584417977564e-04,0.000000000000000000e+00,2.001407642011591645e-03,2.543024961778487213e-03,1.862840836008748495e-03,1.042688444322682328e-03,1.580886691556981048e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.425394512540954131e-03,-3.879620786158592509e-03,-6.995364567000231064e-03,-6.619294905533158399e-03,-5.839907948024163596e-03,-6.057220271144268808e-03,-4.728066399493698058e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.258890988959548290e-03,1.634259611522148777e-03,2.362490521022306972e-03,4.830817656253061712e-03,5.662563208043615987e-03,8.496705005861526772e-03,1.092629825630665914e-02,1.278569520484783804e-02,1.288710783192204001e-02,1.224736931103103527e-02,9.450536310880858215e-03,7.577510285340456099e-03,5.820637948156245391e-03,3.873325755055097817e-03,2.245924781769409462e-03,1.305969512067267635e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.680052727266789947e-04,1.261755627923494272e-03,2.418998162150701181e-03,3.991849260886123907e-03,5.705184490172349188e-03,7.691403944567673512e-03,1.080893195051115668e-02,1.128798993220658103e-02,1.206151081518498647e-02,1.199657148829670616e-02,1.204870238150647366e-02,1.014753379233387931e-02,7.430188340263751967e-03,7.142642432428319976e-03,4.668226781494394517e-03,2.814317827515372406e-03,1.535718495243143522e-03,4.499120750917351419e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.302725154662902535e-03,-4.498659219087430827e-03,-5.121336436055737296e-03,-5.828117362055490469e-03,-4.360027745690386869e-03,-3.282437388473752327e-03,-2.739197520768794913e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.219920700941470870e-03,1.592191656308722392e-03,1.065672077393858830e-03,1.945830126846591346e-03,3.200695063073064062e-03,3.391990531275465570e-03,3.142149493090343193e-03,4.068904051297506097e-03,3.431963427568365810e-03,4.151400691319542813e-03,2.350268844871161722e-03,1.758420562799234421e-03,1.913037959963129198e-03,1.026562158256111301e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.123186167788471523e-03,-5.055906347917138444e-03,-6.608066263554542019e-03,-6.252696916219213641e-03,-9.540518922032253935e-03,-1.091824098308182001e-02,-9.131325491366013014e-03,-2.831896906483555298e-03,-2.282557976959899426e-03,-2.677434925092571361e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.176603000584100500e-03,1.791222240007106503e-03,3.775338549573001301e-03,4.616391923262838648e-03,7.175835893566559487e-03,9.298802097054525984e-03,1.015990767761580649e-02,1.120655307460874384e-02,1.085348601109821162e-02,7.848086364884890309e-03,6.005362465696009733e-03,4.669077717528703764e-03,3.544125629567879132e-03,2.151922657827112784e-03,1.173484462569970854e-03,6.395929875442907253e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.032328394110149955e-04,1.266595835619381549e-03,2.454425962856242316e-03,4.074171989576786529e-03,5.314092863234712305e-03,6.808428644878690428e-03,9.719057238967874698e-03,1.116830235705025369e-02,1.200428801532256451e-02,1.226991717542740869e-02,1.246879457582589223e-02,1.018522026193589836e-02,7.622098741165081459e-03,6.701620504978631973e-03,4.418815142166267022e-03,2.599398411312724491e-03,1.069796148799435909e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.036340586621993493e-04,-2.768590255887969261e-03,0.000000000000000000e+00,-3.353191524918068371e-03,-5.931777094967104549e-03,-1.136261542099730078e-02,-1.018124005114516561e-02,-9.702115574068791506e-03,-6.491338310321708577e-03,-4.507689975235647066e-03,-3.279702107697505219e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.474028933473218051e-03,1.616021650783592417e-03,1.769687588635757147e-03,1.598585481165121875e-03,2.611839919439522262e-03,3.090786400288848823e-03,3.520590547184451052e-03,4.072092921935411072e-03,3.425200684003277402e-03,3.913748681712958533e-03,2.491843590859932692e-03,1.841054107787231352e-03,1.940147445246410626e-03,1.236862104349489367e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.484658484629145694e-03,-3.554989760932535450e-03,-4.208589840343603290e-03,-3.339857655027669153e-03,-4.092573242135948836e-03,-4.592612190851465964e-03,-3.095441893558776442e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.685026156174498038e-04,1.926587245882351376e-03,3.906550912604955100e-03,5.185432896417804804e-03,6.603318730658721408e-03,9.188448331421673193e-03,1.017514419510711678e-02,1.098677144554915594e-02,1.064110749317665958e-02,7.850045802028346453e-03,5.800467714387918736e-03,4.982943214663013154e-03,3.535652257553811850e-03,2.353163386268286583e-03,1.174621883898885333e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.038632133286562738e-04,0.000000000000000000e+00,7.731539549134880743e-04,0.000000000000000000e+00,4.518369727415155399e-04,4.358740499797882605e-04,0.000000000000000000e+00,1.087707092275767579e-03,2.997561074757812069e-03,3.103870853435091587e-03,7.119034591477503907e-03,8.677851722187490680e-03,1.258282423155810369e-02,1.668922202997711463e-02,2.062229313939423214e-02,2.130137604508345467e-02,2.257253867894037924e-02,2.425308846877154839e-02,2.168154583834180915e-02,1.528944918994341526e-02,1.494871570363204109e-02,1.146744842101250945e-02,6.358326890654002021e-03,3.599916363558609746e-03,1.580102670783014533e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.286032556049182714e-03,0.000000000000000000e+00,1.630261761777415707e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.548458398772408710e-03,1.451736929584199025e-03,2.266554460250596367e-03,2.592786504651532938e-03,3.193994357670135609e-03,3.068232337789492288e-03,2.838939952152421103e-03,2.485139402323191180e-03,4.354634184497187949e-03,2.301520959081012133e-03,4.887501611118148098e-03,2.967727836927767406e-03,1.380054559505424980e-03,0.000000000000000000e+00,-8.839593067612263634e-04,-3.548022995577645999e-03,-6.086963368885249526e-03,-1.114380096450208989e-02,-1.053863817104338033e-02,-1.449386380523635942e-02,-1.036777956737520469e-02,-9.162279441892653281e-03,-8.922375840039168185e-03,-6.999036705102748904e-03,-2.050060135853152329e-03,-2.271941075577685147e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.394540425140840170e-03,2.274837203956302841e-03,2.132456087049800983e-03,1.495438788486215965e-03,2.046498572074949805e-03,2.809897951040057039e-03,2.595103565617950560e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.705457518518762428e-04,3.050887092648623539e-04,1.217523813305392954e-03,0.000000000000000000e+00,8.627926022068393291e-04,9.830561330558160952e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.463299252165549704e-03,-6.826817750540158450e-03,-1.224928239749662265e-02,-1.777402132186473027e-02,-2.121653978633845222e-02,-2.313870470279650801e-02,-2.222647949051848731e-02,-1.573727564999365114e-02,-1.258356991534411579e-02,-8.921789099617707594e-03,-5.801525066584696175e-03,-3.199688319033069939e-03,-1.490912004972887173e-03,-1.379292071563717470e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.580421452391891690e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.011935707582460875e-04,0.000000000000000000e+00,1.633889468547172763e-03,2.541910973508143545e-03,4.375153567940243127e-03,5.990255518510276267e-03,7.426093125763082170e-03,9.880856799121380540e-03,1.141259977480685306e-02,1.151448776359223491e-02,1.262820103272412064e-02,1.292877131734225526e-02,1.029744679425663445e-02,7.530375845304165816e-03,6.941582242354082943e-03,4.931281659625030844e-03,3.086299626202923529e-03,1.551266993161007357e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.302141848916876676e-03,-6.183406989099984874e-03,-8.823318515756815861e-03,-8.627915587666512565e-03,-8.465315920144336759e-03,-8.817361465952897048e-03,-5.974385011315391791e-03,-7.832378807727621850e-03,-4.215374090109455518e-03,-3.964260054229604147e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.197118363796463081e-03,2.764600737868203040e-03,3.724992767418097706e-03,4.448611522308784649e-03,3.673038521913585264e-03,4.197489338216370269e-03,2.266334262193664406e-03,1.618116679494831234e-03,1.565043985001360327e-03,1.594442793060799057e-03,0.000000000000000000e+00,8.117427996965909109e-04,0.000000000000000000e+00,5.354020981647167332e-04,3.222339829128950672e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.774195311846930356e-03,-3.960543567785336505e-03,-4.258881697871974570e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.121736948497043862e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.477297176592203387e-03,4.121032609112049161e-03,6.352827317855427869e-03,9.619477302189621826e-03,1.031280372795535805e-02,1.146154006559402250e-02,1.127694997951912692e-02,8.331073889884188510e-03,5.645327650606810077e-03,5.196070867263327675e-03,3.689370191238883212e-03,1.585469481627355126e-03,1.029309470373385160e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.698924450548560268e-04,0.000000000000000000e+00,1.456444685990042863e-03,8.228086816223859892e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.494879761669353775e-04,1.828316242218477232e-03,9.221042190220660878e-04,1.634317427636762738e-03,3.124759460500133642e-03,3.439264900094018886e-03,4.046753798052921645e-03,2.980946987996155751e-03,-2.944258585921947623e-03,-9.711601042988475888e-03,-2.112923861692219546e-02,-3.404794137479357635e-02,-4.762329515453955081e-02,-5.484232821232502136e-02,-4.937829423670159201e-02,-5.333302580043838836e-02,-3.904587604484884011e-02,-2.455117054256613501e-02,-1.439936986898153470e-02,-6.789176267881436716e-03,0.000000000000000000e+00,9.912066108221260705e-04,4.008921099874157914e-04,0.000000000000000000e+00,1.202463826772847419e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.264228265259085625e-03,3.908162507275656124e-03,5.138856849053449749e-03,4.919137888954543299e-03,4.642641659552792892e-03,1.655531694827059187e-03,2.997771957281597077e-03,3.169932420614183545e-03,5.747045423883569842e-03,3.031328569414998460e-03,6.648833653448253667e-03,4.123066093106799064e-03,1.856885801025523648e-03,2.074833568924041010e-03,2.885058334276872048e-03,8.486908571004257154e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.850235368301945828e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.103483588180869637e-03,7.964996529887923699e-04,2.322913882631003242e-03,3.268786054685694428e-03,3.684257215650570995e-03,2.316475847993077798e-03,1.514061902745333921e-03,2.165558259034673638e-03,4.214639390876515242e-03,2.903402200583610291e-03,2.220907023210249090e-03,0.000000000000000000e+00,1.445289328119018710e-03,0.000000000000000000e+00,1.315584328322123029e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.250184520009469204e-03,4.125340330938568993e-03,5.950851794853325577e-03,1.049207331504140722e-02,1.164940502064636466e-02,1.587349476241651028e-02,2.011735135870163643e-02,2.126285998849636316e-02,2.084046918039900165e-02,2.205194762398209746e-02,1.566013619903051934e-02,1.091988793777643602e-02,9.202778309977411794e-03,5.644431577343825626e-03,4.136371850923825991e-03,1.580245212199075239e-03,7.565668335721836835e-04,0.000000000000000000e+00,1.076484810851416341e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
